context: We're Gonna Be *** response:	I know I know, let's play hide and seek!
context: You dropped this.\It's broken!\Oh, I remember now!\DAD took it out because he wanted to use it for his diet!\Dad...wanted this?\Oh, that's that thing you like...the Gachi Rangers?\Y-You knew?\Your daddy knows everything about his daughters, sweetheart. response:	Including the fact that MITSUBA wants one that looks just like it.
context: It's broken!\Oh, I remember now!\DAD took it out because he wanted to use it for his diet!\Dad...wanted this?\Oh, that's that thing you like...the Gachi Rangers?\Y-You knew?\Your daddy knows everything about his daughters, sweetheart.\Including the fact that MITSUBA wants one that looks just like it. response:	Hey, come on!
context: Oh, I remember now!\DAD took it out because he wanted to use it for his diet!\Dad...wanted this?\Oh, that's that thing you like...the Gachi Rangers?\Y-You knew?\Your daddy knows everything about his daughters, sweetheart.\Including the fact that MITSUBA wants one that looks just like it.\Hey, come on! response:	Open up! I'm sorry!
context: DAD took it out because he wanted to use it for his diet!\Dad...wanted this?\Oh, that's that thing you like...the Gachi Rangers?\Y-You knew?\Your daddy knows everything about his daughters, sweetheart.\Including the fact that MITSUBA wants one that looks just like it.\Hey, come on!\Open up! I'm sorry! response:	I'm...I'm sorrry!
context: Dad...wanted this?\Oh, that's that thing you like...the Gachi Rangers?\Y-You knew?\Your daddy knows everything about his daughters, sweetheart.\Including the fact that MITSUBA wants one that looks just like it.\Hey, come on!\Open up! I'm sorry!\I'm...I'm sorrry! response:	Mitsudomoe...
context: Oh, that's that thing you like...the Gachi Rangers?\Y-You knew?\Your daddy knows everything about his daughters, sweetheart.\Including the fact that MITSUBA wants one that looks just like it.\Hey, come on!\Open up! I'm sorry!\I'm...I'm sorrry!\Mitsudomoe... response:	Micchan, I bought you some pudding.
context: Y-You knew?\Your daddy knows everything about his daughters, sweetheart.\Including the fact that MITSUBA wants one that looks just like it.\Hey, come on!\Open up! I'm sorry!\I'm...I'm sorrry!\Mitsudomoe...\Micchan, I bought you some pudding. response:	Can you eat?
context: Your daddy knows everything about his daughters, sweetheart.\Including the fact that MITSUBA wants one that looks just like it.\Hey, come on!\Open up! I'm sorry!\I'm...I'm sorrry!\Mitsudomoe...\Micchan, I bought you some pudding.\Can you eat? response:	Not THAT one!
context: Including the fact that MITSUBA wants one that looks just like it.\Hey, come on!\Open up! I'm sorry!\I'm...I'm sorrry!\Mitsudomoe...\Micchan, I bought you some pudding.\Can you eat?\Not THAT one! response:	I said I wanted the kind with whipped cream on top!
context: Hey, come on!\Open up! I'm sorry!\I'm...I'm sorrry!\Mitsudomoe...\Micchan, I bought you some pudding.\Can you eat?\Not THAT one!\I said I wanted the kind with whipped cream on top! response:	No you didn't.
context: Open up! I'm sorry!\I'm...I'm sorrry!\Mitsudomoe...\Micchan, I bought you some pudding.\Can you eat?\Not THAT one!\I said I wanted the kind with whipped cream on top!\No you didn't. response:	Did too!
context: I'm...I'm sorrry!\Mitsudomoe...\Micchan, I bought you some pudding.\Can you eat?\Not THAT one!\I said I wanted the kind with whipped cream on top!\No you didn't.\Did too! response:	Did not.
context: Mitsudomoe...\Micchan, I bought you some pudding.\Can you eat?\Not THAT one!\I said I wanted the kind with whipped cream on top!\No you didn't.\Did too!\Did not. response:	Did too!
context: Micchan, I bought you some pudding.\Can you eat?\Not THAT one!\I said I wanted the kind with whipped cream on top!\No you didn't.\Did too!\Did not.\Did too! response:	Did not.
context: Can you eat?\Not THAT one!\I said I wanted the kind with whipped cream on top!\No you didn't.\Did too!\Did not.\Did too!\Did not. response:	You useless excuse for a sister!
context: Not THAT one!\I said I wanted the kind with whipped cream on top!\No you didn't.\Did too!\Did not.\Did too!\Did not.\You useless excuse for a sister! response:	Wipe that look off your face! You got a problem?
context: I said I wanted the kind with whipped cream on top!\No you didn't.\Did too!\Did not.\Did too!\Did not.\You useless excuse for a sister!\Wipe that look off your face! You got a problem? response:	Do you see what this says?!
context: No you didn't.\Did too!\Did not.\Did too!\Did not.\You useless excuse for a sister!\Wipe that look off your face! You got a problem?\Do you see what this says?! response:	39 degrees, 39 degrees!
context: Did too!\Did not.\Did too!\Did not.\You useless excuse for a sister!\Wipe that look off your face! You got a problem?\Do you see what this says?!\39 degrees, 39 degrees! response:	You need to be kinder to the infirmed!
context: Did not.\Did too!\Did not.\You useless excuse for a sister!\Wipe that look off your face! You got a problem?\Do you see what this says?!\39 degrees, 39 degrees!\You need to be kinder to the infirmed! response:	And stop trying to look sick when you're really healthy!
context: Did too!\Did not.\You useless excuse for a sister!\Wipe that look off your face! You got a problem?\Do you see what this says?!\39 degrees, 39 degrees!\You need to be kinder to the infirmed!\And stop trying to look sick when you're really healthy! response:	What is she talking about?
context: Did not.\You useless excuse for a sister!\Wipe that look off your face! You got a problem?\Do you see what this says?!\39 degrees, 39 degrees!\You need to be kinder to the infirmed!\And stop trying to look sick when you're really healthy!\What is she talking about? response:	Oh, I'll eat that later. Make sure you set it aside.
context: You useless excuse for a sister!\Wipe that look off your face! You got a problem?\Do you see what this says?!\39 degrees, 39 degrees!\You need to be kinder to the infirmed!\And stop trying to look sick when you're really healthy!\What is she talking about?\Oh, I'll eat that later. Make sure you set it aside. response:	You guys?
context: Wipe that look off your face! You got a problem?\Do you see what this says?!\39 degrees, 39 degrees!\You need to be kinder to the infirmed!\And stop trying to look sick when you're really healthy!\What is she talking about?\Oh, I'll eat that later. Make sure you set it aside.\You guys? response:	Hello.
context: Do you see what this says?!\39 degrees, 39 degrees!\You need to be kinder to the infirmed!\And stop trying to look sick when you're really healthy!\What is she talking about?\Oh, I'll eat that later. Make sure you set it aside.\You guys?\Hello. response:	Wh-What're you doing here?!
context: 39 degrees, 39 degrees!\You need to be kinder to the infirmed!\And stop trying to look sick when you're really healthy!\What is she talking about?\Oh, I'll eat that later. Make sure you set it aside.\You guys?\Hello.\Wh-What're you doing here?! response:	To visit.
context: You need to be kinder to the infirmed!\And stop trying to look sick when you're really healthy!\What is she talking about?\Oh, I'll eat that later. Make sure you set it aside.\You guys?\Hello.\Wh-What're you doing here?!\To visit. response:	Nuh-uh!
context: And stop trying to look sick when you're really healthy!\What is she talking about?\Oh, I'll eat that later. Make sure you set it aside.\You guys?\Hello.\Wh-What're you doing here?!\To visit.\Nuh-uh! response:	We're here to observe Mitsuba in her weakened state.
context: What is she talking about?\Oh, I'll eat that later. Make sure you set it aside.\You guys?\Hello.\Wh-What're you doing here?!\To visit.\Nuh-uh!\We're here to observe Mitsuba in her weakened state. response:	I made some tea.
context: Oh, I'll eat that later. Make sure you set it aside.\You guys?\Hello.\Wh-What're you doing here?!\To visit.\Nuh-uh!\We're here to observe Mitsuba in her weakened state.\I made some tea. response:	Oh, thank you!
context: You guys?\Hello.\Wh-What're you doing here?!\To visit.\Nuh-uh!\We're here to observe Mitsuba in her weakened state.\I made some tea.\Oh, thank you! response:	Did you make sure to add poison?
context: Hello.\Wh-What're you doing here?!\To visit.\Nuh-uh!\We're here to observe Mitsuba in her weakened state.\I made some tea.\Oh, thank you!\Did you make sure to add poison? response:	Quit being such a pain!
context: Wh-What're you doing here?!\To visit.\Nuh-uh!\We're here to observe Mitsuba in her weakened state.\I made some tea.\Oh, thank you!\Did you make sure to add poison?\Quit being such a pain! response:	She seems fine.
context: To visit.\Nuh-uh!\We're here to observe Mitsuba in her weakened state.\I made some tea.\Oh, thank you!\Did you make sure to add poison?\Quit being such a pain!\She seems fine. response:	The cold seems to be making you twice as annoying as normal.
context: Nuh-uh!\We're here to observe Mitsuba in her weakened state.\I made some tea.\Oh, thank you!\Did you make sure to add poison?\Quit being such a pain!\She seems fine.\The cold seems to be making you twice as annoying as normal. response:	I wonder why.
context: We're here to observe Mitsuba in her weakened state.\I made some tea.\Oh, thank you!\Did you make sure to add poison?\Quit being such a pain!\She seems fine.\The cold seems to be making you twice as annoying as normal.\I wonder why. response:	Get outta my house!
context: I made some tea.\Oh, thank you!\Did you make sure to add poison?\Quit being such a pain!\She seems fine.\The cold seems to be making you twice as annoying as normal.\I wonder why.\Get outta my house! response:	After I've enjoyed seeing you weak and helpless a little longer.
context: Oh, thank you!\Did you make sure to add poison?\Quit being such a pain!\She seems fine.\The cold seems to be making you twice as annoying as normal.\I wonder why.\Get outta my house!\After I've enjoyed seeing you weak and helpless a little longer. response:	Whatever, at least now you can't climb up and bug me!
context: Did you make sure to add poison?\Quit being such a pain!\She seems fine.\The cold seems to be making you twice as annoying as normal.\I wonder why.\Get outta my house!\After I've enjoyed seeing you weak and helpless a little longer.\Whatever, at least now you can't climb up and bug me! response:	See? She's fine.
context: Quit being such a pain!\She seems fine.\The cold seems to be making you twice as annoying as normal.\I wonder why.\Get outta my house!\After I've enjoyed seeing you weak and helpless a little longer.\Whatever, at least now you can't climb up and bug me!\See? She's fine. response:	That's right, we changed seats in class today!
context: She seems fine.\The cold seems to be making you twice as annoying as normal.\I wonder why.\Get outta my house!\After I've enjoyed seeing you weak and helpless a little longer.\Whatever, at least now you can't climb up and bug me!\See? She's fine.\That's right, we changed seats in class today! response:	You did?
context: The cold seems to be making you twice as annoying as normal.\I wonder why.\Get outta my house!\After I've enjoyed seeing you weak and helpless a little longer.\Whatever, at least now you can't climb up and bug me!\See? She's fine.\That's right, we changed seats in class today!\You did? response:	It was my idea, I wanted to do it while your noisy butt was stuck at home.
context: I wonder why.\Get outta my house!\After I've enjoyed seeing you weak and helpless a little longer.\Whatever, at least now you can't climb up and bug me!\See? She's fine.\That's right, we changed seats in class today!\You did?\It was my idea, I wanted to do it while your noisy butt was stuck at home. response:	Die.
context: Get outta my house!\After I've enjoyed seeing you weak and helpless a little longer.\Whatever, at least now you can't climb up and bug me!\See? She's fine.\That's right, we changed seats in class today!\You did?\It was my idea, I wanted to do it while your noisy butt was stuck at home.\Die. response:	What's your problem?
context: After I've enjoyed seeing you weak and helpless a little longer.\Whatever, at least now you can't climb up and bug me!\See? She's fine.\That's right, we changed seats in class today!\You did?\It was my idea, I wanted to do it while your noisy butt was stuck at home.\Die.\What's your problem? response:	Climb up here and stop me if you don't like it, doofus!
context: Whatever, at least now you can't climb up and bug me!\See? She's fine.\That's right, we changed seats in class today!\You did?\It was my idea, I wanted to do it while your noisy butt was stuck at home.\Die.\What's your problem?\Climb up here and stop me if you don't like it, doofus! response:	What was that?!
context: See? She's fine.\That's right, we changed seats in class today!\You did?\It was my idea, I wanted to do it while your noisy butt was stuck at home.\Die.\What's your problem?\Climb up here and stop me if you don't like it, doofus!\What was that?! response:	They're like little kids.
context: That's right, we changed seats in class today!\You did?\It was my idea, I wanted to do it while your noisy butt was stuck at home.\Die.\What's your problem?\Climb up here and stop me if you don't like it, doofus!\What was that?!\They're like little kids. response:	Please don't fight, you two!
context: You did?\It was my idea, I wanted to do it while your noisy butt was stuck at home.\Die.\What's your problem?\Climb up here and stop me if you don't like it, doofus!\What was that?!\They're like little kids.\Please don't fight, you two! response:	Sugi-chan bought you some pudding, Micchan!
context: It was my idea, I wanted to do it while your noisy butt was stuck at home.\Die.\What's your problem?\Climb up here and stop me if you don't like it, doofus!\What was that?!\They're like little kids.\Please don't fight, you two!\Sugi-chan bought you some pudding, Micchan! response:	No, I-
context: Die.\What's your problem?\Climb up here and stop me if you don't like it, doofus!\What was that?!\They're like little kids.\Please don't fight, you two!\Sugi-chan bought you some pudding, Micchan!\No, I- response:	So please stop being mad and come eat with us!
context: What's your problem?\Climb up here and stop me if you don't like it, doofus!\What was that?!\They're like little kids.\Please don't fight, you two!\Sugi-chan bought you some pudding, Micchan!\No, I-\So please stop being mad and come eat with us! response:	What're you saying?! I only bought that so I could eat it in front of Mitsuba!
context: Climb up here and stop me if you don't like it, doofus!\What was that?!\They're like little kids.\Please don't fight, you two!\Sugi-chan bought you some pudding, Micchan!\No, I-\So please stop being mad and come eat with us!\What're you saying?! I only bought that so I could eat it in front of Mitsuba! response:	Come on, Micchan!
context: What was that?!\They're like little kids.\Please don't fight, you two!\Sugi-chan bought you some pudding, Micchan!\No, I-\So please stop being mad and come eat with us!\What're you saying?! I only bought that so I could eat it in front of Mitsuba!\Come on, Micchan! response:	What's wrong?
context: They're like little kids.\Please don't fight, you two!\Sugi-chan bought you some pudding, Micchan!\No, I-\So please stop being mad and come eat with us!\What're you saying?! I only bought that so I could eat it in front of Mitsuba!\Come on, Micchan!\What's wrong? response:	Uh oh, she looks really sick.
context: Please don't fight, you two!\Sugi-chan bought you some pudding, Micchan!\No, I-\So please stop being mad and come eat with us!\What're you saying?! I only bought that so I could eat it in front of Mitsuba!\Come on, Micchan!\What's wrong?\Uh oh, she looks really sick. response:	Oh no, is it because of us?
context: Sugi-chan bought you some pudding, Micchan!\No, I-\So please stop being mad and come eat with us!\What're you saying?! I only bought that so I could eat it in front of Mitsuba!\Come on, Micchan!\What's wrong?\Uh oh, she looks really sick.\Oh no, is it because of us? response:	I-It serves her right.
context: No, I-\So please stop being mad and come eat with us!\What're you saying?! I only bought that so I could eat it in front of Mitsuba!\Come on, Micchan!\What's wrong?\Uh oh, she looks really sick.\Oh no, is it because of us?\I-It serves her right. response:	Look, we'd better do something.
context: So please stop being mad and come eat with us!\What're you saying?! I only bought that so I could eat it in front of Mitsuba!\Come on, Micchan!\What's wrong?\Uh oh, she looks really sick.\Oh no, is it because of us?\I-It serves her right.\Look, we'd better do something. response:	I've got medicine.
context: What're you saying?! I only bought that so I could eat it in front of Mitsuba!\Come on, Micchan!\What's wrong?\Uh oh, she looks really sick.\Oh no, is it because of us?\I-It serves her right.\Look, we'd better do something.\I've got medicine. response:	Whoa...didn't see you there, Youngest.
context: Come on, Micchan!\What's wrong?\Uh oh, she looks really sick.\Oh no, is it because of us?\I-It serves her right.\Look, we'd better do something.\I've got medicine.\Whoa...didn't see you there, Youngest. response:	Good, let's give her the medicine then!
context: What's wrong?\Uh oh, she looks really sick.\Oh no, is it because of us?\I-It serves her right.\Look, we'd better do something.\I've got medicine.\Whoa...didn't see you there, Youngest.\Good, let's give her the medicine then! response:	It takes effect immediately.
context: Uh oh, she looks really sick.\Oh no, is it because of us?\I-It serves her right.\Look, we'd better do something.\I've got medicine.\Whoa...didn't see you there, Youngest.\Good, let's give her the medicine then!\It takes effect immediately. response:	So it's fast-acting? That's just what we need!
context: Oh no, is it because of us?\I-It serves her right.\Look, we'd better do something.\I've got medicine.\Whoa...didn't see you there, Youngest.\Good, let's give her the medicine then!\It takes effect immediately.\So it's fast-acting? That's just what we need! response:	It's a suppository.
context: I-It serves her right.\Look, we'd better do something.\I've got medicine.\Whoa...didn't see you there, Youngest.\Good, let's give her the medicine then!\It takes effect immediately.\So it's fast-acting? That's just what we need!\It's a suppository. response:	The kind you put up your butt?
context: Look, we'd better do something.\I've got medicine.\Whoa...didn't see you there, Youngest.\Good, let's give her the medicine then!\It takes effect immediately.\So it's fast-acting? That's just what we need!\It's a suppository.\The kind you put up your butt? response:	Come on, this is no time to chicken out!
context: I've got medicine.\Whoa...didn't see you there, Youngest.\Good, let's give her the medicine then!\It takes effect immediately.\So it's fast-acting? That's just what we need!\It's a suppository.\The kind you put up your butt?\Come on, this is no time to chicken out! response:	We're all girls here!
context: Whoa...didn't see you there, Youngest.\Good, let's give her the medicine then!\It takes effect immediately.\So it's fast-acting? That's just what we need!\It's a suppository.\The kind you put up your butt?\Come on, this is no time to chicken out!\We're all girls here! response:	Th-That's true! We can't let Micchan die!
context: Good, let's give her the medicine then!\It takes effect immediately.\So it's fast-acting? That's just what we need!\It's a suppository.\The kind you put up your butt?\Come on, this is no time to chicken out!\We're all girls here!\Th-That's true! We can't let Micchan die! response:	Sure we can.
context: It takes effect immediately.\So it's fast-acting? That's just what we need!\It's a suppository.\The kind you put up your butt?\Come on, this is no time to chicken out!\We're all girls here!\Th-That's true! We can't let Micchan die!\Sure we can. response:	We can't get up there without the ladder.
context: So it's fast-acting? That's just what we need!\It's a suppository.\The kind you put up your butt?\Come on, this is no time to chicken out!\We're all girls here!\Th-That's true! We can't let Micchan die!\Sure we can.\We can't get up there without the ladder. response:	Micchan pulled it up...
context: It's a suppository.\The kind you put up your butt?\Come on, this is no time to chicken out!\We're all girls here!\Th-That's true! We can't let Micchan die!\Sure we can.\We can't get up there without the ladder.\Micchan pulled it up... response:	Okay, you can sit on my shoulders, Youngest.
context: The kind you put up your butt?\Come on, this is no time to chicken out!\We're all girls here!\Th-That's true! We can't let Micchan die!\Sure we can.\We can't get up there without the ladder.\Micchan pulled it up...\Okay, you can sit on my shoulders, Youngest. response:	Come on, hurry!
context: Come on, this is no time to chicken out!\We're all girls here!\Th-That's true! We can't let Micchan die!\Sure we can.\We can't get up there without the ladder.\Micchan pulled it up...\Okay, you can sit on my shoulders, Youngest.\Come on, hurry! response:	Okay, one, two...
context: We're all girls here!\Th-That's true! We can't let Micchan die!\Sure we can.\We can't get up there without the ladder.\Micchan pulled it up...\Okay, you can sit on my shoulders, Youngest.\Come on, hurry!\Okay, one, two... response:	I'll get it!
context: Th-That's true! We can't let Micchan die!\Sure we can.\We can't get up there without the ladder.\Micchan pulled it up...\Okay, you can sit on my shoulders, Youngest.\Come on, hurry!\Okay, one, two...\I'll get it! response:	Let's see...where...
context: Sure we can.\We can't get up there without the ladder.\Micchan pulled it up...\Okay, you can sit on my shoulders, Youngest.\Come on, hurry!\Okay, one, two...\I'll get it!\Let's see...where... response:	Huh?
context: We can't get up there without the ladder.\Micchan pulled it up...\Okay, you can sit on my shoulders, Youngest.\Come on, hurry!\Okay, one, two...\I'll get it!\Let's see...where...\Huh? response:	It's a porno magazine!
context: Micchan pulled it up...\Okay, you can sit on my shoulders, Youngest.\Come on, hurry!\Okay, one, two...\I'll get it!\Let's see...where...\Huh?\It's a porno magazine! response:	It must be Futaba's.
context: Okay, you can sit on my shoulders, Youngest.\Come on, hurry!\Okay, one, two...\I'll get it!\Let's see...where...\Huh?\It's a porno magazine!\It must be Futaba's. response:	It's mine.
context: Come on, hurry!\Okay, one, two...\I'll get it!\Let's see...where...\Huh?\It's a porno magazine!\It must be Futaba's.\It's mine. response:	Sugi-chan, get it!
context: Okay, one, two...\I'll get it!\Let's see...where...\Huh?\It's a porno magazine!\It must be Futaba's.\It's mine.\Sugi-chan, get it! response:	No way! Mitsuba can croak for all I care.
context: I'll get it!\Let's see...where...\Huh?\It's a porno magazine!\It must be Futaba's.\It's mine.\Sugi-chan, get it!\No way! Mitsuba can croak for all I care. response:	I'll get it.
context: Let's see...where...\Huh?\It's a porno magazine!\It must be Futaba's.\It's mine.\Sugi-chan, get it!\No way! Mitsuba can croak for all I care.\I'll get it. response:	How many of those do you have?!
context: Huh?\It's a porno magazine!\It must be Futaba's.\It's mine.\Sugi-chan, get it!\No way! Mitsuba can croak for all I care.\I'll get it.\How many of those do you have?! response:	I can't...reach it...
context: It's a porno magazine!\It must be Futaba's.\It's mine.\Sugi-chan, get it!\No way! Mitsuba can croak for all I care.\I'll get it.\How many of those do you have?!\I can't...reach it... response:	We need to move the bed.
context: It must be Futaba's.\It's mine.\Sugi-chan, get it!\No way! Mitsuba can croak for all I care.\I'll get it.\How many of those do you have?!\I can't...reach it...\We need to move the bed. response:	Don't you have anything else you can give her?
context: It's mine.\Sugi-chan, get it!\No way! Mitsuba can croak for all I care.\I'll get it.\How many of those do you have?!\I can't...reach it...\We need to move the bed.\Don't you have anything else you can give her? response:	That was the only one.
context: Sugi-chan, get it!\No way! Mitsuba can croak for all I care.\I'll get it.\How many of those do you have?!\I can't...reach it...\We need to move the bed.\Don't you have anything else you can give her?\That was the only one. response:	It'll be hard to move this big bed...
context: No way! Mitsuba can croak for all I care.\I'll get it.\How many of those do you have?!\I can't...reach it...\We need to move the bed.\Don't you have anything else you can give her?\That was the only one.\It'll be hard to move this big bed... response:	We need help, Sugisaki.
context: I'll get it.\How many of those do you have?!\I can't...reach it...\We need to move the bed.\Don't you have anything else you can give her?\That was the only one.\It'll be hard to move this big bed...\We need help, Sugisaki. response:	Let's do it.
context: How many of those do you have?!\I can't...reach it...\We need to move the bed.\Don't you have anything else you can give her?\That was the only one.\It'll be hard to move this big bed...\We need help, Sugisaki.\Let's do it. response:	Here goes...
context: I can't...reach it...\We need to move the bed.\Don't you have anything else you can give her?\That was the only one.\It'll be hard to move this big bed...\We need help, Sugisaki.\Let's do it.\Here goes... response:	One, two...
context: We need to move the bed.\Don't you have anything else you can give her?\That was the only one.\It'll be hard to move this big bed...\We need help, Sugisaki.\Let's do it.\Here goes...\One, two... response:	It won't even budge!
context: Don't you have anything else you can give her?\That was the only one.\It'll be hard to move this big bed...\We need help, Sugisaki.\Let's do it.\Here goes...\One, two...\It won't even budge! response:	It's'cuz Micchan's up there...
context: That was the only one.\It'll be hard to move this big bed...\We need help, Sugisaki.\Let's do it.\Here goes...\One, two...\It won't even budge!\It's'cuz Micchan's up there... response:	We need a hand, Sugisaki!
context: It'll be hard to move this big bed...\We need help, Sugisaki.\Let's do it.\Here goes...\One, two...\It won't even budge!\It's'cuz Micchan's up there...\We need a hand, Sugisaki! response:	Sugisaki!
context: We need help, Sugisaki.\Let's do it.\Here goes...\One, two...\It won't even budge!\It's'cuz Micchan's up there...\We need a hand, Sugisaki!\Sugisaki! response:	One, two...
context: Let's do it.\Here goes...\One, two...\It won't even budge!\It's'cuz Micchan's up there...\We need a hand, Sugisaki!\Sugisaki!\One, two... response:	One, two...
context: Here goes...\One, two...\It won't even budge!\It's'cuz Micchan's up there...\We need a hand, Sugisaki!\Sugisaki!\One, two...\One, two... response:	It's no good! Won't budge!
context: One, two...\It won't even budge!\It's'cuz Micchan's up there...\We need a hand, Sugisaki!\Sugisaki!\One, two...\One, two...\It's no good! Won't budge! response:	One, two...
context: It won't even budge!\It's'cuz Micchan's up there...\We need a hand, Sugisaki!\Sugisaki!\One, two...\One, two...\It's no good! Won't budge!\One, two... response:	Sugi-chan!
context: It's'cuz Micchan's up there...\We need a hand, Sugisaki!\Sugisaki!\One, two...\One, two...\It's no good! Won't budge!\One, two...\Sugi-chan! response:	One, two...
context: We need a hand, Sugisaki!\Sugisaki!\One, two...\One, two...\It's no good! Won't budge!\One, two...\Sugi-chan!\One, two... response:	It's up!
context: Sugisaki!\One, two...\One, two...\It's no good! Won't budge!\One, two...\Sugi-chan!\One, two...\It's up! response:	Sugi-chan!
context: One, two...\One, two...\It's no good! Won't budge!\One, two...\Sugi-chan!\One, two...\It's up!\Sugi-chan! response:	Quit messing around, come on!
context: One, two...\It's no good! Won't budge!\One, two...\Sugi-chan!\One, two...\It's up!\Sugi-chan!\Quit messing around, come on! response:	Got it!
context: It's no good! Won't budge!\One, two...\Sugi-chan!\One, two...\It's up!\Sugi-chan!\Quit messing around, come on!\Got it! response:	All right!
context: One, two...\Sugi-chan!\One, two...\It's up!\Sugi-chan!\Quit messing around, come on!\Got it!\All right! response:	Her fever's down.
context: Sugi-chan!\One, two...\It's up!\Sugi-chan!\Quit messing around, come on!\Got it!\All right!\Her fever's down. response:	Thank goodness.
context: One, two...\It's up!\Sugi-chan!\Quit messing around, come on!\Got it!\All right!\Her fever's down.\Thank goodness. response:	Really...making us all run around like crazy...
context: It's up!\Sugi-chan!\Quit messing around, come on!\Got it!\All right!\Her fever's down.\Thank goodness.\Really...making us all run around like crazy... response:	You're stronger than you look, Sugisaki!
context: Sugi-chan!\Quit messing around, come on!\Got it!\All right!\Her fever's down.\Thank goodness.\Really...making us all run around like crazy...\You're stronger than you look, Sugisaki! response:	Sh-Shut up!
context: Quit messing around, come on!\Got it!\All right!\Her fever's down.\Thank goodness.\Really...making us all run around like crazy...\You're stronger than you look, Sugisaki!\Sh-Shut up! response:	I'm home.
context: Got it!\All right!\Her fever's down.\Thank goodness.\Really...making us all run around like crazy...\You're stronger than you look, Sugisaki!\Sh-Shut up!\I'm home. response:	You wouldn't happen to know
context: All right!\Her fever's down.\Thank goodness.\Really...making us all run around like crazy...\You're stronger than you look, Sugisaki!\Sh-Shut up!\I'm home.\You wouldn't happen to know response:	where my hemorrhoid medicine is, do you?
context: Her fever's down.\Thank goodness.\Really...making us all run around like crazy...\You're stronger than you look, Sugisaki!\Sh-Shut up!\I'm home.\You wouldn't happen to know\where my hemorrhoid medicine is, do you? response:	What am I thinking, of course you don't.
context: Thank goodness.\Really...making us all run around like crazy...\You're stronger than you look, Sugisaki!\Sh-Shut up!\I'm home.\You wouldn't happen to know\where my hemorrhoid medicine is, do you?\What am I thinking, of course you don't. response:	Shoot, I only had one left, too.
context: Really...making us all run around like crazy...\You're stronger than you look, Sugisaki!\Sh-Shut up!\I'm home.\You wouldn't happen to know\where my hemorrhoid medicine is, do you?\What am I thinking, of course you don't.\Shoot, I only had one left, too. response:	Aah...It feels like there's a cool breeze on my butt...
context: You're stronger than you look, Sugisaki!\Sh-Shut up!\I'm home.\You wouldn't happen to know\where my hemorrhoid medicine is, do you?\What am I thinking, of course you don't.\Shoot, I only had one left, too.\Aah...It feels like there's a cool breeze on my butt... response:	The next day Micchan was completely cured
context: Sh-Shut up!\I'm home.\You wouldn't happen to know\where my hemorrhoid medicine is, do you?\What am I thinking, of course you don't.\Shoot, I only had one left, too.\Aah...It feels like there's a cool breeze on my butt...\The next day Micchan was completely cured response:	and she lived happily ever after.
context: I'm home.\You wouldn't happen to know\where my hemorrhoid medicine is, do you?\What am I thinking, of course you don't.\Shoot, I only had one left, too.\Aah...It feels like there's a cool breeze on my butt...\The next day Micchan was completely cured\and she lived happily ever after. response:	Is something bothering you, Sugi-chan?
context: You wouldn't happen to know\where my hemorrhoid medicine is, do you?\What am I thinking, of course you don't.\Shoot, I only had one left, too.\Aah...It feels like there's a cool breeze on my butt...\The next day Micchan was completely cured\and she lived happily ever after.\Is something bothering you, Sugi-chan? response:	I can't let Mitsuba find out, I just can't!
context: where my hemorrhoid medicine is, do you?\What am I thinking, of course you don't.\Shoot, I only had one left, too.\Aah...It feels like there's a cool breeze on my butt...\The next day Micchan was completely cured\and she lived happily ever after.\Is something bothering you, Sugi-chan?\I can't let Mitsuba find out, I just can't! response:	If she...If Mitsuba...it's all over!
context: What am I thinking, of course you don't.\Shoot, I only had one left, too.\Aah...It feels like there's a cool breeze on my butt...\The next day Micchan was completely cured\and she lived happily ever after.\Is something bothering you, Sugi-chan?\I can't let Mitsuba find out, I just can't!\If she...If Mitsuba...it's all over! response:	Episode 11 Things get WEIRD in 5 seconds
context: Shoot, I only had one left, too.\Aah...It feels like there's a cool breeze on my butt...\The next day Micchan was completely cured\and she lived happily ever after.\Is something bothering you, Sugi-chan?\I can't let Mitsuba find out, I just can't!\If she...If Mitsuba...it's all over!\Episode 11 Things get WEIRD in 5 seconds response:	Sugi-chan's broken!
