context: If doing that means no one will cry, then... response:	You certainly took your time getting here, Emiya Shirou.
context: willing to lay down his life for others.\In the end,\I was set up as the mastermind behind a conflict and sent to the gallows.\You must be lying, Archer...\That was how you died?\If I had any sins, surely I fully atoned for them in that moment.\It's not as if I ever wanted gratitude.\I never wanted to be celebrated as a hero, either. response:	I simply wanted an outcome where everyone was happy.
context: In the end,\I was set up as the mastermind behind a conflict and sent to the gallows.\You must be lying, Archer...\That was how you died?\If I had any sins, surely I fully atoned for them in that moment.\It's not as if I ever wanted gratitude.\I never wanted to be celebrated as a hero, either.\I simply wanted an outcome where everyone was happy. response:	But that was never given to me, either.
context: I was set up as the mastermind behind a conflict and sent to the gallows.\You must be lying, Archer...\That was how you died?\If I had any sins, surely I fully atoned for them in that moment.\It's not as if I ever wanted gratitude.\I never wanted to be celebrated as a hero, either.\I simply wanted an outcome where everyone was happy.\But that was never given to me, either. response:	Neither in life, nor afterward.
context: You must be lying, Archer...\That was how you died?\If I had any sins, surely I fully atoned for them in that moment.\It's not as if I ever wanted gratitude.\I never wanted to be celebrated as a hero, either.\I simply wanted an outcome where everyone was happy.\But that was never given to me, either.\Neither in life, nor afterward. response:	I knew that Guardians were, essentially, automatic-defense mechanisms.
context: That was how you died?\If I had any sins, surely I fully atoned for them in that moment.\It's not as if I ever wanted gratitude.\I never wanted to be celebrated as a hero, either.\I simply wanted an outcome where everyone was happy.\But that was never given to me, either.\Neither in life, nor afterward.\I knew that Guardians were, essentially, automatic-defense mechanisms. response:	That after death, those who offer themselves to be Guardians
context: If I had any sins, surely I fully atoned for them in that moment.\It's not as if I ever wanted gratitude.\I never wanted to be celebrated as a hero, either.\I simply wanted an outcome where everyone was happy.\But that was never given to me, either.\Neither in life, nor afterward.\I knew that Guardians were, essentially, automatic-defense mechanisms.\That after death, those who offer themselves to be Guardians response:	are removed from the cycle of death and rebirth,
context: It's not as if I ever wanted gratitude.\I never wanted to be celebrated as a hero, either.\I simply wanted an outcome where everyone was happy.\But that was never given to me, either.\Neither in life, nor afterward.\I knew that Guardians were, essentially, automatic-defense mechanisms.\That after death, those who offer themselves to be Guardians\are removed from the cycle of death and rebirth, response:	becoming tools that safeguard human history.
context: I never wanted to be celebrated as a hero, either.\I simply wanted an outcome where everyone was happy.\But that was never given to me, either.\Neither in life, nor afterward.\I knew that Guardians were, essentially, automatic-defense mechanisms.\That after death, those who offer themselves to be Guardians\are removed from the cycle of death and rebirth,\becoming tools that safeguard human history. response:	I thought it would still be worth it if I could save someone,
context: I simply wanted an outcome where everyone was happy.\But that was never given to me, either.\Neither in life, nor afterward.\I knew that Guardians were, essentially, automatic-defense mechanisms.\That after death, those who offer themselves to be Guardians\are removed from the cycle of death and rebirth,\becoming tools that safeguard human history.\I thought it would still be worth it if I could save someone, response:	one person who was in trouble.
context: But that was never given to me, either.\Neither in life, nor afterward.\I knew that Guardians were, essentially, automatic-defense mechanisms.\That after death, those who offer themselves to be Guardians\are removed from the cycle of death and rebirth,\becoming tools that safeguard human history.\I thought it would still be worth it if I could save someone,\one person who was in trouble. response:	But it's nothing like that!
context: Neither in life, nor afterward.\I knew that Guardians were, essentially, automatic-defense mechanisms.\That after death, those who offer themselves to be Guardians\are removed from the cycle of death and rebirth,\becoming tools that safeguard human history.\I thought it would still be worth it if I could save someone,\one person who was in trouble.\But it's nothing like that! response:	Bastard!
context: I knew that Guardians were, essentially, automatic-defense mechanisms.\That after death, those who offer themselves to be Guardians\are removed from the cycle of death and rebirth,\becoming tools that safeguard human history.\I thought it would still be worth it if I could save someone,\one person who was in trouble.\But it's nothing like that!\Bastard! response:	I hope you get lost in the afterlife, you crappy priest!
context: That after death, those who offer themselves to be Guardians\are removed from the cycle of death and rebirth,\becoming tools that safeguard human history.\I thought it would still be worth it if I could save someone,\one person who was in trouble.\But it's nothing like that!\Bastard!\I hope you get lost in the afterlife, you crappy priest! response:	Even Hell wouldn't want anything to do with you!
context: are removed from the cycle of death and rebirth,\becoming tools that safeguard human history.\I thought it would still be worth it if I could save someone,\one person who was in trouble.\But it's nothing like that!\Bastard!\I hope you get lost in the afterlife, you crappy priest!\Even Hell wouldn't want anything to do with you! response:	Purgatory would call you a bad influence and pass you off somewhere else!
context: becoming tools that safeguard human history.\I thought it would still be worth it if I could save someone,\one person who was in trouble.\But it's nothing like that!\Bastard!\I hope you get lost in the afterlife, you crappy priest!\Even Hell wouldn't want anything to do with you!\Purgatory would call you a bad influence and pass you off somewhere else! response:	And you aren't suited to Heaven,
context: I thought it would still be worth it if I could save someone,\one person who was in trouble.\But it's nothing like that!\Bastard!\I hope you get lost in the afterlife, you crappy priest!\Even Hell wouldn't want anything to do with you!\Purgatory would call you a bad influence and pass you off somewhere else!\And you aren't suited to Heaven, response:	so a eunuch like you should tangle himself in a bed of thorns outside the gates!
context: one person who was in trouble.\But it's nothing like that!\Bastard!\I hope you get lost in the afterlife, you crappy priest!\Even Hell wouldn't want anything to do with you!\Purgatory would call you a bad influence and pass you off somewhere else!\And you aren't suited to Heaven,\so a eunuch like you should tangle himself in a bed of thorns outside the gates! response:	Kotomine, you know that Tohsaka's been given to me, right?
context: But it's nothing like that!\Bastard!\I hope you get lost in the afterlife, you crappy priest!\Even Hell wouldn't want anything to do with you!\Purgatory would call you a bad influence and pass you off somewhere else!\And you aren't suited to Heaven,\so a eunuch like you should tangle himself in a bed of thorns outside the gates!\Kotomine, you know that Tohsaka's been given to me, right? response:	I'm the only one who has business with her.
context: Bastard!\I hope you get lost in the afterlife, you crappy priest!\Even Hell wouldn't want anything to do with you!\Purgatory would call you a bad influence and pass you off somewhere else!\And you aren't suited to Heaven,\so a eunuch like you should tangle himself in a bed of thorns outside the gates!\Kotomine, you know that Tohsaka's been given to me, right?\I'm the only one who has business with her. response:	No, I have business with her, as well.
context: I hope you get lost in the afterlife, you crappy priest!\Even Hell wouldn't want anything to do with you!\Purgatory would call you a bad influence and pass you off somewhere else!\And you aren't suited to Heaven,\so a eunuch like you should tangle himself in a bed of thorns outside the gates!\Kotomine, you know that Tohsaka's been given to me, right?\I'm the only one who has business with her.\No, I have business with her, as well. response:	You see, I require her to become the Holy Grail.
context: Even Hell wouldn't want anything to do with you!\Purgatory would call you a bad influence and pass you off somewhere else!\And you aren't suited to Heaven,\so a eunuch like you should tangle himself in a bed of thorns outside the gates!\Kotomine, you know that Tohsaka's been given to me, right?\I'm the only one who has business with her.\No, I have business with her, as well.\You see, I require her to become the Holy Grail. response:	Once Archer and Saber are gone, the time will finally be right.
context: Purgatory would call you a bad influence and pass you off somewhere else!\And you aren't suited to Heaven,\so a eunuch like you should tangle himself in a bed of thorns outside the gates!\Kotomine, you know that Tohsaka's been given to me, right?\I'm the only one who has business with her.\No, I have business with her, as well.\You see, I require her to become the Holy Grail.\Once Archer and Saber are gone, the time will finally be right. response:	I do not want her to lose her freshness through unnecessary fighting.
context: And you aren't suited to Heaven,\so a eunuch like you should tangle himself in a bed of thorns outside the gates!\Kotomine, you know that Tohsaka's been given to me, right?\I'm the only one who has business with her.\No, I have business with her, as well.\You see, I require her to become the Holy Grail.\Once Archer and Saber are gone, the time will finally be right.\I do not want her to lose her freshness through unnecessary fighting. response:	Let us get this over with quickly.
context: so a eunuch like you should tangle himself in a bed of thorns outside the gates!\Kotomine, you know that Tohsaka's been given to me, right?\I'm the only one who has business with her.\No, I have business with her, as well.\You see, I require her to become the Holy Grail.\Once Archer and Saber are gone, the time will finally be right.\I do not want her to lose her freshness through unnecessary fighting.\Let us get this over with quickly. response:	Lancer, dispose of that trash.
context: Kotomine, you know that Tohsaka's been given to me, right?\I'm the only one who has business with her.\No, I have business with her, as well.\You see, I require her to become the Holy Grail.\Once Archer and Saber are gone, the time will finally be right.\I do not want her to lose her freshness through unnecessary fighting.\Let us get this over with quickly.\Lancer, dispose of that trash. response:	The vessel has no need of a heart.
context: I'm the only one who has business with her.\No, I have business with her, as well.\You see, I require her to become the Holy Grail.\Once Archer and Saber are gone, the time will finally be right.\I do not want her to lose her freshness through unnecessary fighting.\Let us get this over with quickly.\Lancer, dispose of that trash.\The vessel has no need of a heart. response:	Guardians don't save humans.
context: No, I have business with her, as well.\You see, I require her to become the Holy Grail.\Once Archer and Saber are gone, the time will finally be right.\I do not want her to lose her freshness through unnecessary fighting.\Let us get this over with quickly.\Lancer, dispose of that trash.\The vessel has no need of a heart.\Guardians don't save humans. response:	Guardians simply clean up the messes.
context: You see, I require her to become the Holy Grail.\Once Archer and Saber are gone, the time will finally be right.\I do not want her to lose her freshness through unnecessary fighting.\Let us get this over with quickly.\Lancer, dispose of that trash.\The vessel has no need of a heart.\Guardians don't save humans.\Guardians simply clean up the messes. response:	They're beings that use their power
context: Once Archer and Saber are gone, the time will finally be right.\I do not want her to lose her freshness through unnecessary fighting.\Let us get this over with quickly.\Lancer, dispose of that trash.\The vessel has no need of a heart.\Guardians don't save humans.\Guardians simply clean up the messes.\They're beings that use their power response:	to negate events that have already transpired,
context: I do not want her to lose her freshness through unnecessary fighting.\Let us get this over with quickly.\Lancer, dispose of that trash.\The vessel has no need of a heart.\Guardians don't save humans.\Guardians simply clean up the messes.\They're beings that use their power\to negate events that have already transpired, response:	disasters of humanity's own making.
context: Let us get this over with quickly.\Lancer, dispose of that trash.\The vessel has no need of a heart.\Guardians don't save humans.\Guardians simply clean up the messes.\They're beings that use their power\to negate events that have already transpired,\disasters of humanity's own making. response:	They're butchers that kill anyone who threatens the human world,
context: Lancer, dispose of that trash.\The vessel has no need of a heart.\Guardians don't save humans.\Guardians simply clean up the messes.\They're beings that use their power\to negate events that have already transpired,\disasters of humanity's own making.\They're butchers that kill anyone who threatens the human world, response:	without distinguishing good and evil.
context: The vessel has no need of a heart.\Guardians don't save humans.\Guardians simply clean up the messes.\They're beings that use their power\to negate events that have already transpired,\disasters of humanity's own making.\They're butchers that kill anyone who threatens the human world,\without distinguishing good and evil. response:	What a joke...
context: Guardians don't save humans.\Guardians simply clean up the messes.\They're beings that use their power\to negate events that have already transpired,\disasters of humanity's own making.\They're butchers that kill anyone who threatens the human world,\without distinguishing good and evil.\What a joke... response:	How is that any different than when I was powerless?
context: Guardians simply clean up the messes.\They're beings that use their power\to negate events that have already transpired,\disasters of humanity's own making.\They're butchers that kill anyone who threatens the human world,\without distinguishing good and evil.\What a joke...\How is that any different than when I was powerless? response:	To save as many lives as possible...
context: They're beings that use their power\to negate events that have already transpired,\disasters of humanity's own making.\They're butchers that kill anyone who threatens the human world,\without distinguishing good and evil.\What a joke...\How is that any different than when I was powerless?\To save as many lives as possible... response:	Are you saying that you were unable to fulfill that wish even once?
context: to negate events that have already transpired,\disasters of humanity's own making.\They're butchers that kill anyone who threatens the human world,\without distinguishing good and evil.\What a joke...\How is that any different than when I was powerless?\To save as many lives as possible...\Are you saying that you were unable to fulfill that wish even once? response:	I am.
context: disasters of humanity's own making.\They're butchers that kill anyone who threatens the human world,\without distinguishing good and evil.\What a joke...\How is that any different than when I was powerless?\To save as many lives as possible...\Are you saying that you were unable to fulfill that wish even once?\I am. response:	I've culled the very people I wanted to save.
context: They're butchers that kill anyone who threatens the human world,\without distinguishing good and evil.\What a joke...\How is that any different than when I was powerless?\To save as many lives as possible...\Are you saying that you were unable to fulfill that wish even once?\I am.\I've culled the very people I wanted to save. response:	Because of the stupid ideal of becoming a hero of justice.
context: without distinguishing good and evil.\What a joke...\How is that any different than when I was powerless?\To save as many lives as possible...\Are you saying that you were unable to fulfill that wish even once?\I am.\I've culled the very people I wanted to save.\Because of the stupid ideal of becoming a hero of justice. response:	I'm sick of cleaning up after humanity.
context: What a joke...\How is that any different than when I was powerless?\To save as many lives as possible...\Are you saying that you were unable to fulfill that wish even once?\I am.\I've culled the very people I wanted to save.\Because of the stupid ideal of becoming a hero of justice.\I'm sick of cleaning up after humanity. response:	But as a Heroic Spirit, I'm doomed to repeat that for all eternity.
context: How is that any different than when I was powerless?\To save as many lives as possible...\Are you saying that you were unable to fulfill that wish even once?\I am.\I've culled the very people I wanted to save.\Because of the stupid ideal of becoming a hero of justice.\I'm sick of cleaning up after humanity.\But as a Heroic Spirit, I'm doomed to repeat that for all eternity. response:	If I'd never existed...
context: To save as many lives as possible...\Are you saying that you were unable to fulfill that wish even once?\I am.\I've culled the very people I wanted to save.\Because of the stupid ideal of becoming a hero of justice.\I'm sick of cleaning up after humanity.\But as a Heroic Spirit, I'm doomed to repeat that for all eternity.\If I'd never existed... response:	If I could disappear, that might...
context: Are you saying that you were unable to fulfill that wish even once?\I am.\I've culled the very people I wanted to save.\Because of the stupid ideal of becoming a hero of justice.\I'm sick of cleaning up after humanity.\But as a Heroic Spirit, I'm doomed to repeat that for all eternity.\If I'd never existed...\If I could disappear, that might... response:	If you kill a human destined to be a hero,
context: I am.\I've culled the very people I wanted to save.\Because of the stupid ideal of becoming a hero of justice.\I'm sick of cleaning up after humanity.\But as a Heroic Spirit, I'm doomed to repeat that for all eternity.\If I'd never existed...\If I could disappear, that might...\If you kill a human destined to be a hero, response:	you think that that hero will never be born?
context: I've culled the very people I wanted to save.\Because of the stupid ideal of becoming a hero of justice.\I'm sick of cleaning up after humanity.\But as a Heroic Spirit, I'm doomed to repeat that for all eternity.\If I'd never existed...\If I could disappear, that might...\If you kill a human destined to be a hero,\you think that that hero will never be born? response:	I've waited for that opportunity, hoping the day would come.
context: Because of the stupid ideal of becoming a hero of justice.\I'm sick of cleaning up after humanity.\But as a Heroic Spirit, I'm doomed to repeat that for all eternity.\If I'd never existed...\If I could disappear, that might...\If you kill a human destined to be a hero,\you think that that hero will never be born?\I've waited for that opportunity, hoping the day would come. response:	It will not work.
context: I'm sick of cleaning up after humanity.\But as a Heroic Spirit, I'm doomed to repeat that for all eternity.\If I'd never existed...\If I could disappear, that might...\If you kill a human destined to be a hero,\you think that that hero will never be born?\I've waited for that opportunity, hoping the day would come.\It will not work. response:	You already exist as a Guardian.
context: But as a Heroic Spirit, I'm doomed to repeat that for all eternity.\If I'd never existed...\If I could disappear, that might...\If you kill a human destined to be a hero,\you think that that hero will never be born?\I've waited for that opportunity, hoping the day would come.\It will not work.\You already exist as a Guardian. response:	You are outside the confines of time.
context: If I'd never existed...\If I could disappear, that might...\If you kill a human destined to be a hero,\you think that that hero will never be born?\I've waited for that opportunity, hoping the day would come.\It will not work.\You already exist as a Guardian.\You are outside the confines of time. response:	Even if you eliminate this Shirou, you will not disappear.
context: If I could disappear, that might...\If you kill a human destined to be a hero,\you think that that hero will never be born?\I've waited for that opportunity, hoping the day would come.\It will not work.\You already exist as a Guardian.\You are outside the confines of time.\Even if you eliminate this Shirou, you will not disappear. response:	Perhaps...
context: If you kill a human destined to be a hero,\you think that that hero will never be born?\I've waited for that opportunity, hoping the day would come.\It will not work.\You already exist as a Guardian.\You are outside the confines of time.\Even if you eliminate this Shirou, you will not disappear.\Perhaps... response:	But it isn't beyond the realm of possibility.
context: you think that that hero will never be born?\I've waited for that opportunity, hoping the day would come.\It will not work.\You already exist as a Guardian.\You are outside the confines of time.\Even if you eliminate this Shirou, you will not disappear.\Perhaps...\But it isn't beyond the realm of possibility. response:	If I destroy not only his flesh, but also his spirit,
context: I've waited for that opportunity, hoping the day would come.\It will not work.\You already exist as a Guardian.\You are outside the confines of time.\Even if you eliminate this Shirou, you will not disappear.\Perhaps...\But it isn't beyond the realm of possibility.\If I destroy not only his flesh, but also his spirit, response:	at the very least,
context: It will not work.\You already exist as a Guardian.\You are outside the confines of time.\Even if you eliminate this Shirou, you will not disappear.\Perhaps...\But it isn't beyond the realm of possibility.\If I destroy not only his flesh, but also his spirit,\at the very least, response:	the mistake that is the hero of justice will not appear in this world.
context: You already exist as a Guardian.\You are outside the confines of time.\Even if you eliminate this Shirou, you will not disappear.\Perhaps...\But it isn't beyond the realm of possibility.\If I destroy not only his flesh, but also his spirit,\at the very least,\the mistake that is the hero of justice will not appear in this world. response:	What's the matter, Emiya Shirou?
context: You are outside the confines of time.\Even if you eliminate this Shirou, you will not disappear.\Perhaps...\But it isn't beyond the realm of possibility.\If I destroy not only his flesh, but also his spirit,\at the very least,\the mistake that is the hero of justice will not appear in this world.\What's the matter, Emiya Shirou? response:	If I'm so unacceptable to you,
context: Even if you eliminate this Shirou, you will not disappear.\Perhaps...\But it isn't beyond the realm of possibility.\If I destroy not only his flesh, but also his spirit,\at the very least,\the mistake that is the hero of justice will not appear in this world.\What's the matter, Emiya Shirou?\If I'm so unacceptable to you, response:	kill yourself right here and end it!
context: Perhaps...\But it isn't beyond the realm of possibility.\If I destroy not only his flesh, but also his spirit,\at the very least,\the mistake that is the hero of justice will not appear in this world.\What's the matter, Emiya Shirou?\If I'm so unacceptable to you,\kill yourself right here and end it! response:	Shirou!
context: But it isn't beyond the realm of possibility.\If I destroy not only his flesh, but also his spirit,\at the very least,\the mistake that is the hero of justice will not appear in this world.\What's the matter, Emiya Shirou?\If I'm so unacceptable to you,\kill yourself right here and end it!\Shirou! response:	What's the matter, Lancer?
context: If I destroy not only his flesh, but also his spirit,\at the very least,\the mistake that is the hero of justice will not appear in this world.\What's the matter, Emiya Shirou?\If I'm so unacceptable to you,\kill yourself right here and end it!\Shirou!\What's the matter, Lancer? response:	Your target is a little girl.
context: at the very least,\the mistake that is the hero of justice will not appear in this world.\What's the matter, Emiya Shirou?\If I'm so unacceptable to you,\kill yourself right here and end it!\Shirou!\What's the matter, Lancer?\Your target is a little girl. response:	Killing her should be simple.
context: the mistake that is the hero of justice will not appear in this world.\What's the matter, Emiya Shirou?\If I'm so unacceptable to you,\kill yourself right here and end it!\Shirou!\What's the matter, Lancer?\Your target is a little girl.\Killing her should be simple. response:	I refuse.
context: What's the matter, Emiya Shirou?\If I'm so unacceptable to you,\kill yourself right here and end it!\Shirou!\What's the matter, Lancer?\Your target is a little girl.\Killing her should be simple.\I refuse. response:	I can't obey you this time.
context: If I'm so unacceptable to you,\kill yourself right here and end it!\Shirou!\What's the matter, Lancer?\Your target is a little girl.\Killing her should be simple.\I refuse.\I can't obey you this time. response:	What?
context: kill yourself right here and end it!\Shirou!\What's the matter, Lancer?\Your target is a little girl.\Killing her should be simple.\I refuse.\I can't obey you this time.\What? response:	If you want to make me do it,
context: Shirou!\What's the matter, Lancer?\Your target is a little girl.\Killing her should be simple.\I refuse.\I can't obey you this time.\What?\If you want to make me do it, response:	you'll have to use a Command Seal.
context: What's the matter, Lancer?\Your target is a little girl.\Killing her should be simple.\I refuse.\I can't obey you this time.\What?\If you want to make me do it,\you'll have to use a Command Seal. response:	You leave me no choice, then.
context: Your target is a little girl.\Killing her should be simple.\I refuse.\I can't obey you this time.\What?\If you want to make me do it,\you'll have to use a Command Seal.\You leave me no choice, then. response:	In that case, I order you by Command Seal.
context: Killing her should be simple.\I refuse.\I can't obey you this time.\What?\If you want to make me do it,\you'll have to use a Command Seal.\You leave me no choice, then.\In that case, I order you by Command Seal. response:	Sorry, Emiya-kun...
context: I refuse.\I can't obey you this time.\What?\If you want to make me do it,\you'll have to use a Command Seal.\You leave me no choice, then.\In that case, I order you by Command Seal.\Sorry, Emiya-kun... response:	I'm leaving this fight before you.
context: I can't obey you this time.\What?\If you want to make me do it,\you'll have to use a Command Seal.\You leave me no choice, then.\In that case, I order you by Command Seal.\Sorry, Emiya-kun...\I'm leaving this fight before you. response:	Kill yourself, Lancer.
context: What?\If you want to make me do it,\you'll have to use a Command Seal.\You leave me no choice, then.\In that case, I order you by Command Seal.\Sorry, Emiya-kun...\I'm leaving this fight before you.\Kill yourself, Lancer. response:	Lancer!
context: If you want to make me do it,\you'll have to use a Command Seal.\You leave me no choice, then.\In that case, I order you by Command Seal.\Sorry, Emiya-kun...\I'm leaving this fight before you.\Kill yourself, Lancer.\Lancer! response:	Archer, do you have regrets?
context: you'll have to use a Command Seal.\You leave me no choice, then.\In that case, I order you by Command Seal.\Sorry, Emiya-kun...\I'm leaving this fight before you.\Kill yourself, Lancer.\Lancer!\Archer, do you have regrets? response:	Of course I do.
context: You leave me no choice, then.\In that case, I order you by Command Seal.\Sorry, Emiya-kun...\I'm leaving this fight before you.\Kill yourself, Lancer.\Lancer!\Archer, do you have regrets?\Of course I do. response:	Then I guess we're two different people, after all.
context: In that case, I order you by Command Seal.\Sorry, Emiya-kun...\I'm leaving this fight before you.\Kill yourself, Lancer.\Lancer!\Archer, do you have regrets?\Of course I do.\Then I guess we're two different people, after all. response:	What?
context: Sorry, Emiya-kun...\I'm leaving this fight before you.\Kill yourself, Lancer.\Lancer!\Archer, do you have regrets?\Of course I do.\Then I guess we're two different people, after all.\What? response:	No matter what happens to me, I'll never regret a thing.
context: I'm leaving this fight before you.\Kill yourself, Lancer.\Lancer!\Archer, do you have regrets?\Of course I do.\Then I guess we're two different people, after all.\What?\No matter what happens to me, I'll never regret a thing. response:	And that's why I'll never accept you.
context: Kill yourself, Lancer.\Lancer!\Archer, do you have regrets?\Of course I do.\Then I guess we're two different people, after all.\What?\No matter what happens to me, I'll never regret a thing.\And that's why I'll never accept you. response:	If you're my ideal,
context: Lancer!\Archer, do you have regrets?\Of course I do.\Then I guess we're two different people, after all.\What?\No matter what happens to me, I'll never regret a thing.\And that's why I'll never accept you.\If you're my ideal, response:	then I'll just have to get rid of that mistaken ideal myself!
context: Archer, do you have regrets?\Of course I do.\Then I guess we're two different people, after all.\What?\No matter what happens to me, I'll never regret a thing.\And that's why I'll never accept you.\If you're my ideal,\then I'll just have to get rid of that mistaken ideal myself! response:	That way of thinking is where all of this started.
context: Of course I do.\Then I guess we're two different people, after all.\What?\No matter what happens to me, I'll never regret a thing.\And that's why I'll never accept you.\If you're my ideal,\then I'll just have to get rid of that mistaken ideal myself!\That way of thinking is where all of this started. response:	One day, you will reach the point where you become me.
context: Then I guess we're two different people, after all.\What?\No matter what happens to me, I'll never regret a thing.\And that's why I'll never accept you.\If you're my ideal,\then I'll just have to get rid of that mistaken ideal myself!\That way of thinking is where all of this started.\One day, you will reach the point where you become me. response:	I won't.
context: What?\No matter what happens to me, I'll never regret a thing.\And that's why I'll never accept you.\If you're my ideal,\then I'll just have to get rid of that mistaken ideal myself!\That way of thinking is where all of this started.\One day, you will reach the point where you become me.\I won't. response:	That day will never come.
context: No matter what happens to me, I'll never regret a thing.\And that's why I'll never accept you.\If you're my ideal,\then I'll just have to get rid of that mistaken ideal myself!\That way of thinking is where all of this started.\One day, you will reach the point where you become me.\I won't.\That day will never come. response:	That's true...
context: And that's why I'll never accept you.\If you're my ideal,\then I'll just have to get rid of that mistaken ideal myself!\That way of thinking is where all of this started.\One day, you will reach the point where you become me.\I won't.\That day will never come.\That's true... response:	I suppose it won't.
context: If you're my ideal,\then I'll just have to get rid of that mistaken ideal myself!\That way of thinking is where all of this started.\One day, you will reach the point where you become me.\I won't.\That day will never come.\That's true...\I suppose it won't. response:	If you won't run from here, in any event, you have no future.
context: then I'll just have to get rid of that mistaken ideal myself!\That way of thinking is where all of this started.\One day, you will reach the point where you become me.\I won't.\That day will never come.\That's true...\I suppose it won't.\If you won't run from here, in any event, you have no future. response:	Archer!
context: That way of thinking is where all of this started.\One day, you will reach the point where you become me.\I won't.\That day will never come.\That's true...\I suppose it won't.\If you won't run from here, in any event, you have no future.\Archer! response:	It's okay, Saber.
context: One day, you will reach the point where you become me.\I won't.\That day will never come.\That's true...\I suppose it won't.\If you won't run from here, in any event, you have no future.\Archer!\It's okay, Saber. response:	Thanks.
context: I won't.\That day will never come.\That's true...\I suppose it won't.\If you won't run from here, in any event, you have no future.\Archer!\It's okay, Saber.\Thanks. response:	But I'd like for you to stand back.
context: That day will never come.\That's true...\I suppose it won't.\If you won't run from here, in any event, you have no future.\Archer!\It's okay, Saber.\Thanks.\But I'd like for you to stand back. response:	This is a fight I need to have.
context: That's true...\I suppose it won't.\If you won't run from here, in any event, you have no future.\Archer!\It's okay, Saber.\Thanks.\But I'd like for you to stand back.\This is a fight I need to have. response:	Trace...
context: I suppose it won't.\If you won't run from here, in any event, you have no future.\Archer!\It's okay, Saber.\Thanks.\But I'd like for you to stand back.\This is a fight I need to have.\Trace... response:	on.
context: If you won't run from here, in any event, you have no future.\Archer!\It's okay, Saber.\Thanks.\But I'd like for you to stand back.\This is a fight I need to have.\Trace...\on. response:	Can you keep up with my blade works?
context: Archer!\It's okay, Saber.\Thanks.\But I'd like for you to stand back.\This is a fight I need to have.\Trace...\on.\Can you keep up with my blade works? response:	If your precision is even slightly off, it will spell your death.
context: It's okay, Saber.\Thanks.\But I'd like for you to stand back.\This is a fight I need to have.\Trace...\on.\Can you keep up with my blade works?\If your precision is even slightly off, it will spell your death. response:	I will take your heart.
context: Thanks.\But I'd like for you to stand back.\This is a fight I need to have.\Trace...\on.\Can you keep up with my blade works?\If your precision is even slightly off, it will spell your death.\I will take your heart. response:	Once useless, always useless, I suppose...
context: But I'd like for you to stand back.\This is a fight I need to have.\Trace...\on.\Can you keep up with my blade works?\If your precision is even slightly off, it will spell your death.\I will take your heart.\Once useless, always useless, I suppose... response:	I admired his wish to save someone because it was beautiful!
context: This is a fight I need to have.\Trace...\on.\Can you keep up with my blade works?\If your precision is even slightly off, it will spell your death.\I will take your heart.\Once useless, always useless, I suppose...\I admired his wish to save someone because it was beautiful! response:	I don't want to become one... I'm going to become one!
context: Trace...\on.\Can you keep up with my blade works?\If your precision is even slightly off, it will spell your death.\I will take your heart.\Once useless, always useless, I suppose...\I admired his wish to save someone because it was beautiful!\I don't want to become one... I'm going to become one! response:	Next Time Unlimited Blade Works.
