context: How irresponsible. response:	You don't care if she dies or succeeds?
context: We'll see.\Every being of the night, including she and you, are my adorable little children.\Well then, good day.\Toodles!\Don't you dare think of setting foot there, even if the queen allows it.\It's no place for a half-baked creature with a shell of flesh.\Those with shells bring only calamity.\I know. response:	I would never ask to be invited.
context: Every being of the night, including she and you, are my adorable little children.\Well then, good day.\Toodles!\Don't you dare think of setting foot there, even if the queen allows it.\It's no place for a half-baked creature with a shell of flesh.\Those with shells bring only calamity.\I know.\I would never ask to be invited. response:	Elias?
context: Well then, good day.\Toodles!\Don't you dare think of setting foot there, even if the queen allows it.\It's no place for a half-baked creature with a shell of flesh.\Those with shells bring only calamity.\I know.\I would never ask to be invited.\Elias? response:	You sure are harsh to everyone that isn't a fairy.
context: Toodles!\Don't you dare think of setting foot there, even if the queen allows it.\It's no place for a half-baked creature with a shell of flesh.\Those with shells bring only calamity.\I know.\I would never ask to be invited.\Elias?\You sure are harsh to everyone that isn't a fairy. response:	Damn shelled being...
context: Don't you dare think of setting foot there, even if the queen allows it.\It's no place for a half-baked creature with a shell of flesh.\Those with shells bring only calamity.\I know.\I would never ask to be invited.\Elias?\You sure are harsh to everyone that isn't a fairy.\Damn shelled being... response:	Think of all the people and spirits that were lost because of him.
context: It's no place for a half-baked creature with a shell of flesh.\Those with shells bring only calamity.\I know.\I would never ask to be invited.\Elias?\You sure are harsh to everyone that isn't a fairy.\Damn shelled being...\Think of all the people and spirits that were lost because of him. response:	The humans were guilty back then.
context: Those with shells bring only calamity.\I know.\I would never ask to be invited.\Elias?\You sure are harsh to everyone that isn't a fairy.\Damn shelled being...\Think of all the people and spirits that were lost because of him.\The humans were guilty back then. response:	It's always those of us in the humans' shadows that get the short end of the stick.
context: I know.\I would never ask to be invited.\Elias?\You sure are harsh to everyone that isn't a fairy.\Damn shelled being...\Think of all the people and spirits that were lost because of him.\The humans were guilty back then.\It's always those of us in the humans' shadows that get the short end of the stick. response:	Well, then, why don't we bet on whether or not it'll work out between those two, Titania?
context: I would never ask to be invited.\Elias?\You sure are harsh to everyone that isn't a fairy.\Damn shelled being...\Think of all the people and spirits that were lost because of him.\The humans were guilty back then.\It's always those of us in the humans' shadows that get the short end of the stick.\Well, then, why don't we bet on whether or not it'll work out between those two, Titania? response:	Far wiser to bet on the number of children.
context: Elias?\You sure are harsh to everyone that isn't a fairy.\Damn shelled being...\Think of all the people and spirits that were lost because of him.\The humans were guilty back then.\It's always those of us in the humans' shadows that get the short end of the stick.\Well, then, why don't we bet on whether or not it'll work out between those two, Titania?\Far wiser to bet on the number of children. response:	True.
context: You sure are harsh to everyone that isn't a fairy.\Damn shelled being...\Think of all the people and spirits that were lost because of him.\The humans were guilty back then.\It's always those of us in the humans' shadows that get the short end of the stick.\Well, then, why don't we bet on whether or not it'll work out between those two, Titania?\Far wiser to bet on the number of children.\True. response:	I'm finally out of the forest.
context: Damn shelled being...\Think of all the people and spirits that were lost because of him.\The humans were guilty back then.\It's always those of us in the humans' shadows that get the short end of the stick.\Well, then, why don't we bet on whether or not it'll work out between those two, Titania?\Far wiser to bet on the number of children.\True.\I'm finally out of the forest. response:	Fairy magic is such a pain.
context: Think of all the people and spirits that were lost because of him.\The humans were guilty back then.\It's always those of us in the humans' shadows that get the short end of the stick.\Well, then, why don't we bet on whether or not it'll work out between those two, Titania?\Far wiser to bet on the number of children.\True.\I'm finally out of the forest.\Fairy magic is such a pain. response:	Simon-san.
context: The humans were guilty back then.\It's always those of us in the humans' shadows that get the short end of the stick.\Well, then, why don't we bet on whether or not it'll work out between those two, Titania?\Far wiser to bet on the number of children.\True.\I'm finally out of the forest.\Fairy magic is such a pain.\Simon-san. response:	Chise-kun!
context: It's always those of us in the humans' shadows that get the short end of the stick.\Well, then, why don't we bet on whether or not it'll work out between those two, Titania?\Far wiser to bet on the number of children.\True.\I'm finally out of the forest.\Fairy magic is such a pain.\Simon-san.\Chise-kun! response:	You're finally awake.
context: Well, then, why don't we bet on whether or not it'll work out between those two, Titania?\Far wiser to bet on the number of children.\True.\I'm finally out of the forest.\Fairy magic is such a pain.\Simon-san.\Chise-kun!\You're finally awake. response:	We were worried about you.
context: Far wiser to bet on the number of children.\True.\I'm finally out of the forest.\Fairy magic is such a pain.\Simon-san.\Chise-kun!\You're finally awake.\We were worried about you. response:	Sorry.
context: True.\I'm finally out of the forest.\Fairy magic is such a pain.\Simon-san.\Chise-kun!\You're finally awake.\We were worried about you.\Sorry. response:	Shoot, the sisters are going to yell at me.
context: I'm finally out of the forest.\Fairy magic is such a pain.\Simon-san.\Chise-kun!\You're finally awake.\We were worried about you.\Sorry.\Shoot, the sisters are going to yell at me. response:	I'll be going now.
context: Fairy magic is such a pain.\Simon-san.\Chise-kun!\You're finally awake.\We were worried about you.\Sorry.\Shoot, the sisters are going to yell at me.\I'll be going now. response:	Too bad I can't stay for dinner.
context: Simon-san.\Chise-kun!\You're finally awake.\We were worried about you.\Sorry.\Shoot, the sisters are going to yell at me.\I'll be going now.\Too bad I can't stay for dinner. response:	Are you really my watchdog?
context: Chise-kun!\You're finally awake.\We were worried about you.\Sorry.\Shoot, the sisters are going to yell at me.\I'll be going now.\Too bad I can't stay for dinner.\Are you really my watchdog? response:	I'm kidding.
context: You're finally awake.\We were worried about you.\Sorry.\Shoot, the sisters are going to yell at me.\I'll be going now.\Too bad I can't stay for dinner.\Are you really my watchdog?\I'm kidding. response:	Well, then, Chise-kun, take care of yourself.
context: We were worried about you.\Sorry.\Shoot, the sisters are going to yell at me.\I'll be going now.\Too bad I can't stay for dinner.\Are you really my watchdog?\I'm kidding.\Well, then, Chise-kun, take care of yourself. response:	He's a good person.
context: Sorry.\Shoot, the sisters are going to yell at me.\I'll be going now.\Too bad I can't stay for dinner.\Are you really my watchdog?\I'm kidding.\Well, then, Chise-kun, take care of yourself.\He's a good person. response:	He's just stupid.
context: Shoot, the sisters are going to yell at me.\I'll be going now.\Too bad I can't stay for dinner.\Are you really my watchdog?\I'm kidding.\Well, then, Chise-kun, take care of yourself.\He's a good person.\He's just stupid. response:	He hasn't changed at all in ten years.
context: I'll be going now.\Too bad I can't stay for dinner.\Are you really my watchdog?\I'm kidding.\Well, then, Chise-kun, take care of yourself.\He's a good person.\He's just stupid.\He hasn't changed at all in ten years. response:	Ten years...
context: Too bad I can't stay for dinner.\Are you really my watchdog?\I'm kidding.\Well, then, Chise-kun, take care of yourself.\He's a good person.\He's just stupid.\He hasn't changed at all in ten years.\Ten years... response:	I wish you'd bought me ten years ago.
context: Are you really my watchdog?\I'm kidding.\Well, then, Chise-kun, take care of yourself.\He's a good person.\He's just stupid.\He hasn't changed at all in ten years.\Ten years...\I wish you'd bought me ten years ago. response:	Even though we're going to be spending far more than ten years going forward?
context: I'm kidding.\Well, then, Chise-kun, take care of yourself.\He's a good person.\He's just stupid.\He hasn't changed at all in ten years.\Ten years...\I wish you'd bought me ten years ago.\Even though we're going to be spending far more than ten years going forward? response:	I hope your experiment succeeds.
context: Well, then, Chise-kun, take care of yourself.\He's a good person.\He's just stupid.\He hasn't changed at all in ten years.\Ten years...\I wish you'd bought me ten years ago.\Even though we're going to be spending far more than ten years going forward?\I hope your experiment succeeds. response:	It will.
context: He's a good person.\He's just stupid.\He hasn't changed at all in ten years.\Ten years...\I wish you'd bought me ten years ago.\Even though we're going to be spending far more than ten years going forward?\I hope your experiment succeeds.\It will. response:	Will it?
context: He's just stupid.\He hasn't changed at all in ten years.\Ten years...\I wish you'd bought me ten years ago.\Even though we're going to be spending far more than ten years going forward?\I hope your experiment succeeds.\It will.\Will it? response:	We'll make it.
context: He hasn't changed at all in ten years.\Ten years...\I wish you'd bought me ten years ago.\Even though we're going to be spending far more than ten years going forward?\I hope your experiment succeeds.\It will.\Will it?\We'll make it. response:	Now, Silver is waiting.
context: Ten years...\I wish you'd bought me ten years ago.\Even though we're going to be spending far more than ten years going forward?\I hope your experiment succeeds.\It will.\Will it?\We'll make it.\Now, Silver is waiting. response:	Let's go home.
context: I wish you'd bought me ten years ago.\Even though we're going to be spending far more than ten years going forward?\I hope your experiment succeeds.\It will.\Will it?\We'll make it.\Now, Silver is waiting.\Let's go home. response:	What's this?
context: Even though we're going to be spending far more than ten years going forward?\I hope your experiment succeeds.\It will.\Will it?\We'll make it.\Now, Silver is waiting.\Let's go home.\What's this? response:	It's out of season, but it's a Christmas pudding.
context: I hope your experiment succeeds.\It will.\Will it?\We'll make it.\Now, Silver is waiting.\Let's go home.\What's this?\It's out of season, but it's a Christmas pudding. response:	She's aged it since the day you came home.
context: It will.\Will it?\We'll make it.\Now, Silver is waiting.\Let's go home.\What's this?\It's out of season, but it's a Christmas pudding.\She's aged it since the day you came home. response:	It's good.
context: Will it?\We'll make it.\Now, Silver is waiting.\Let's go home.\What's this?\It's out of season, but it's a Christmas pudding.\She's aged it since the day you came home.\It's good. response:	Isabelle...
context: We'll make it.\Now, Silver is waiting.\Let's go home.\What's this?\It's out of season, but it's a Christmas pudding.\She's aged it since the day you came home.\It's good.\Isabelle... response:	The girl and the mage set out to fulfill their final task.
context: Now, Silver is waiting.\Let's go home.\What's this?\It's out of season, but it's a Christmas pudding.\She's aged it since the day you came home.\It's good.\Isabelle...\The girl and the mage set out to fulfill their final task. response:	The sorcerer Joseph's schemes are set in motion in pursuit of the masterless black dog.
context: Let's go home.\What's this?\It's out of season, but it's a Christmas pudding.\She's aged it since the day you came home.\It's good.\Isabelle...\The girl and the mage set out to fulfill their final task.\The sorcerer Joseph's schemes are set in motion in pursuit of the masterless black dog. response:	Don't mess up next time.
