context: Scrambled Eggs response:	Let's do this, then.
context: What's wrong?\Ichika...\Don't cry.\I know, it's been a while. Let's go to our secret place.\Dad.\He'd never expect us to be up here.\What do I do?\I'm supposed to stop him for Nino. response:	Um...
context: Ichika...\Don't cry.\I know, it's been a while. Let's go to our secret place.\Dad.\He'd never expect us to be up here.\What do I do?\I'm supposed to stop him for Nino.\Um... response:	Ichika.
context: Don't cry.\I know, it's been a while. Let's go to our secret place.\Dad.\He'd never expect us to be up here.\What do I do?\I'm supposed to stop him for Nino.\Um...\Ichika. response:	I don't know what's going on, but...
context: I know, it's been a while. Let's go to our secret place.\Dad.\He'd never expect us to be up here.\What do I do?\I'm supposed to stop him for Nino.\Um...\Ichika.\I don't know what's going on, but... response:	But...
context: Dad.\He'd never expect us to be up here.\What do I do?\I'm supposed to stop him for Nino.\Um...\Ichika.\I don't know what's going on, but...\But... response:	It still gets chilly at night.
context: He'd never expect us to be up here.\What do I do?\I'm supposed to stop him for Nino.\Um...\Ichika.\I don't know what's going on, but...\But...\It still gets chilly at night. response:	You shouldn't have come out so lightly dressed.
context: What do I do?\I'm supposed to stop him for Nino.\Um...\Ichika.\I don't know what's going on, but...\But...\It still gets chilly at night.\You shouldn't have come out so lightly dressed. response:	Your nose is running.
context: I'm supposed to stop him for Nino.\Um...\Ichika.\I don't know what's going on, but...\But...\It still gets chilly at night.\You shouldn't have come out so lightly dressed.\Your nose is running. response:	I-I can handle it myself!
context: Um...\Ichika.\I don't know what's going on, but...\But...\It still gets chilly at night.\You shouldn't have come out so lightly dressed.\Your nose is running.\I-I can handle it myself! response:	You're always such a child.
context: Ichika.\I don't know what's going on, but...\But...\It still gets chilly at night.\You shouldn't have come out so lightly dressed.\Your nose is running.\I-I can handle it myself!\You're always such a child. response:	Thanks.
context: I don't know what's going on, but...\But...\It still gets chilly at night.\You shouldn't have come out so lightly dressed.\Your nose is running.\I-I can handle it myself!\You're always such a child.\Thanks. response:	You're trying to cheer me up, right?
context: But...\It still gets chilly at night.\You shouldn't have come out so lightly dressed.\Your nose is running.\I-I can handle it myself!\You're always such a child.\Thanks.\You're trying to cheer me up, right? response:	I'm all right, though.
context: It still gets chilly at night.\You shouldn't have come out so lightly dressed.\Your nose is running.\I-I can handle it myself!\You're always such a child.\Thanks.\You're trying to cheer me up, right?\I'm all right, though. response:	I have to go after Dad.
context: You shouldn't have come out so lightly dressed.\Your nose is running.\I-I can handle it myself!\You're always such a child.\Thanks.\You're trying to cheer me up, right?\I'm all right, though.\I have to go after Dad. response:	Wait.
context: Your nose is running.\I-I can handle it myself!\You're always such a child.\Thanks.\You're trying to cheer me up, right?\I'm all right, though.\I have to go after Dad.\Wait. response:	Are you trying to be tough?
context: I-I can handle it myself!\You're always such a child.\Thanks.\You're trying to cheer me up, right?\I'm all right, though.\I have to go after Dad.\Wait.\Are you trying to be tough? response:	I'm worried.
context: You're always such a child.\Thanks.\You're trying to cheer me up, right?\I'm all right, though.\I have to go after Dad.\Wait.\Are you trying to be tough?\I'm worried. response:	Sorry if I'm just overthinking it.
context: Thanks.\You're trying to cheer me up, right?\I'm all right, though.\I have to go after Dad.\Wait.\Are you trying to be tough?\I'm worried.\Sorry if I'm just overthinking it. response:	Where has everyone gone?
context: You're trying to cheer me up, right?\I'm all right, though.\I have to go after Dad.\Wait.\Are you trying to be tough?\I'm worried.\Sorry if I'm just overthinking it.\Where has everyone gone? response:	What if they're with Futaro?
context: I'm all right, though.\I have to go after Dad.\Wait.\Are you trying to be tough?\I'm worried.\Sorry if I'm just overthinking it.\Where has everyone gone?\What if they're with Futaro? response:	There's no reason to see him so late at night.
context: I have to go after Dad.\Wait.\Are you trying to be tough?\I'm worried.\Sorry if I'm just overthinking it.\Where has everyone gone?\What if they're with Futaro?\There's no reason to see him so late at night. response:	Midnight, courtyard
context: Wait.\Are you trying to be tough?\I'm worried.\Sorry if I'm just overthinking it.\Where has everyone gone?\What if they're with Futaro?\There's no reason to see him so late at night.\Midnight, courtyard response:	Or maybe there is.
context: Are you trying to be tough?\I'm worried.\Sorry if I'm just overthinking it.\Where has everyone gone?\What if they're with Futaro?\There's no reason to see him so late at night.\Midnight, courtyard\Or maybe there is. response:	Miku.
context: I'm worried.\Sorry if I'm just overthinking it.\Where has everyone gone?\What if they're with Futaro?\There's no reason to see him so late at night.\Midnight, courtyard\Or maybe there is.\Miku. response:	Just waiting here won't help.
context: Sorry if I'm just overthinking it.\Where has everyone gone?\What if they're with Futaro?\There's no reason to see him so late at night.\Midnight, courtyard\Or maybe there is.\Miku.\Just waiting here won't help. response:	Why don't we go to the baths?
context: Where has everyone gone?\What if they're with Futaro?\There's no reason to see him so late at night.\Midnight, courtyard\Or maybe there is.\Miku.\Just waiting here won't help.\Why don't we go to the baths? response:	I've been thinking about the old days since we got here.
context: What if they're with Futaro?\There's no reason to see him so late at night.\Midnight, courtyard\Or maybe there is.\Miku.\Just waiting here won't help.\Why don't we go to the baths?\I've been thinking about the old days since we got here. response:	Like how Grandpa used to be really scary.
context: There's no reason to see him so late at night.\Midnight, courtyard\Or maybe there is.\Miku.\Just waiting here won't help.\Why don't we go to the baths?\I've been thinking about the old days since we got here.\Like how Grandpa used to be really scary. response:	Or how Mom scolded us all the time for our mischief.
context: Midnight, courtyard\Or maybe there is.\Miku.\Just waiting here won't help.\Why don't we go to the baths?\I've been thinking about the old days since we got here.\Like how Grandpa used to be really scary.\Or how Mom scolded us all the time for our mischief. response:	You've always been rambunctious.
context: Or maybe there is.\Miku.\Just waiting here won't help.\Why don't we go to the baths?\I've been thinking about the old days since we got here.\Like how Grandpa used to be really scary.\Or how Mom scolded us all the time for our mischief.\You've always been rambunctious. response:	Oh, come on.
context: Miku.\Just waiting here won't help.\Why don't we go to the baths?\I've been thinking about the old days since we got here.\Like how Grandpa used to be really scary.\Or how Mom scolded us all the time for our mischief.\You've always been rambunctious.\Oh, come on. response:	You were the one who got in the most trouble.
context: Just waiting here won't help.\Why don't we go to the baths?\I've been thinking about the old days since we got here.\Like how Grandpa used to be really scary.\Or how Mom scolded us all the time for our mischief.\You've always been rambunctious.\Oh, come on.\You were the one who got in the most trouble. response:	W-Was I?
context: Why don't we go to the baths?\I've been thinking about the old days since we got here.\Like how Grandpa used to be really scary.\Or how Mom scolded us all the time for our mischief.\You've always been rambunctious.\Oh, come on.\You were the one who got in the most trouble.\W-Was I? response:	Don't tell me you forgot.
context: I've been thinking about the old days since we got here.\Like how Grandpa used to be really scary.\Or how Mom scolded us all the time for our mischief.\You've always been rambunctious.\Oh, come on.\You were the one who got in the most trouble.\W-Was I?\Don't tell me you forgot. response:	Even among us identical twins, you were the big bully figure.
context: Like how Grandpa used to be really scary.\Or how Mom scolded us all the time for our mischief.\You've always been rambunctious.\Oh, come on.\You were the one who got in the most trouble.\W-Was I?\Don't tell me you forgot.\Even among us identical twins, you were the big bully figure. response:	I lost count of the number of times you stole my snacks.
context: Or how Mom scolded us all the time for our mischief.\You've always been rambunctious.\Oh, come on.\You were the one who got in the most trouble.\W-Was I?\Don't tell me you forgot.\Even among us identical twins, you were the big bully figure.\I lost count of the number of times you stole my snacks. response:	S-Sorry.
context: You've always been rambunctious.\Oh, come on.\You were the one who got in the most trouble.\W-Was I?\Don't tell me you forgot.\Even among us identical twins, you were the big bully figure.\I lost count of the number of times you stole my snacks.\S-Sorry. response:	The stickers I'd been collecting were on your backpack.
context: Oh, come on.\You were the one who got in the most trouble.\W-Was I?\Don't tell me you forgot.\Even among us identical twins, you were the big bully figure.\I lost count of the number of times you stole my snacks.\S-Sorry.\The stickers I'd been collecting were on your backpack. response:	I'm sorry.
context: You were the one who got in the most trouble.\W-Was I?\Don't tell me you forgot.\Even among us identical twins, you were the big bully figure.\I lost count of the number of times you stole my snacks.\S-Sorry.\The stickers I'd been collecting were on your backpack.\I'm sorry. response:	And I saw people who I tried to be friends with talking to you the next day.
context: W-Was I?\Don't tell me you forgot.\Even among us identical twins, you were the big bully figure.\I lost count of the number of times you stole my snacks.\S-Sorry.\The stickers I'd been collecting were on your backpack.\I'm sorry.\And I saw people who I tried to be friends with talking to you the next day. response:	I-I guess I've grown up since then.
context: Don't tell me you forgot.\Even among us identical twins, you were the big bully figure.\I lost count of the number of times you stole my snacks.\S-Sorry.\The stickers I'd been collecting were on your backpack.\I'm sorry.\And I saw people who I tried to be friends with talking to you the next day.\I-I guess I've grown up since then. response:	It's so weird.
context: Even among us identical twins, you were the big bully figure.\I lost count of the number of times you stole my snacks.\S-Sorry.\The stickers I'd been collecting were on your backpack.\I'm sorry.\And I saw people who I tried to be friends with talking to you the next day.\I-I guess I've grown up since then.\It's so weird. response:	I've stayed a kid this whole time.
context: I lost count of the number of times you stole my snacks.\S-Sorry.\The stickers I'd been collecting were on your backpack.\I'm sorry.\And I saw people who I tried to be friends with talking to you the next day.\I-I guess I've grown up since then.\It's so weird.\I've stayed a kid this whole time. response:	How come you were able to grow up?
context: S-Sorry.\The stickers I'd been collecting were on your backpack.\I'm sorry.\And I saw people who I tried to be friends with talking to you the next day.\I-I guess I've grown up since then.\It's so weird.\I've stayed a kid this whole time.\How come you were able to grow up? response:	That's because...
context: The stickers I'd been collecting were on your backpack.\I'm sorry.\And I saw people who I tried to be friends with talking to you the next day.\I-I guess I've grown up since then.\It's so weird.\I've stayed a kid this whole time.\How come you were able to grow up?\That's because... response:	I saw Itsuki-chan in so much pain after Mom died.
context: I'm sorry.\And I saw people who I tried to be friends with talking to you the next day.\I-I guess I've grown up since then.\It's so weird.\I've stayed a kid this whole time.\How come you were able to grow up?\That's because...\I saw Itsuki-chan in so much pain after Mom died. response:	I had no choice.
context: And I saw people who I tried to be friends with talking to you the next day.\I-I guess I've grown up since then.\It's so weird.\I've stayed a kid this whole time.\How come you were able to grow up?\That's because...\I saw Itsuki-chan in so much pain after Mom died.\I had no choice. response:	I had to be the older sister.
context: I-I guess I've grown up since then.\It's so weird.\I've stayed a kid this whole time.\How come you were able to grow up?\That's because...\I saw Itsuki-chan in so much pain after Mom died.\I had no choice.\I had to be the older sister. response:	Yeah. I'm glad you're my older sister.
context: It's so weird.\I've stayed a kid this whole time.\How come you were able to grow up?\That's because...\I saw Itsuki-chan in so much pain after Mom died.\I had no choice.\I had to be the older sister.\Yeah. I'm glad you're my older sister. response:	I've been wanting to say this.
context: I've stayed a kid this whole time.\How come you were able to grow up?\That's because...\I saw Itsuki-chan in so much pain after Mom died.\I had no choice.\I had to be the older sister.\Yeah. I'm glad you're my older sister.\I've been wanting to say this. response:	As a kid, you were the mean bully, always wanting to take things from other people.
context: How come you were able to grow up?\That's because...\I saw Itsuki-chan in so much pain after Mom died.\I had no choice.\I had to be the older sister.\Yeah. I'm glad you're my older sister.\I've been wanting to say this.\As a kid, you were the mean bully, always wanting to take things from other people. response:	But you were the leader of us sisters.
context: That's because...\I saw Itsuki-chan in so much pain after Mom died.\I had no choice.\I had to be the older sister.\Yeah. I'm glad you're my older sister.\I've been wanting to say this.\As a kid, you were the mean bully, always wanting to take things from other people.\But you were the leader of us sisters. response:	I've always thought of you as our big sis.
context: I saw Itsuki-chan in so much pain after Mom died.\I had no choice.\I had to be the older sister.\Yeah. I'm glad you're my older sister.\I've been wanting to say this.\As a kid, you were the mean bully, always wanting to take things from other people.\But you were the leader of us sisters.\I've always thought of you as our big sis. response:	So...
context: I had no choice.\I had to be the older sister.\Yeah. I'm glad you're my older sister.\I've been wanting to say this.\As a kid, you were the mean bully, always wanting to take things from other people.\But you were the leader of us sisters.\I've always thought of you as our big sis.\So... response:	Wait, what was I trying to say?
context: I had to be the older sister.\Yeah. I'm glad you're my older sister.\I've been wanting to say this.\As a kid, you were the mean bully, always wanting to take things from other people.\But you were the leader of us sisters.\I've always thought of you as our big sis.\So...\Wait, what was I trying to say? response:	I don't want you to hold back.
context: Yeah. I'm glad you're my older sister.\I've been wanting to say this.\As a kid, you were the mean bully, always wanting to take things from other people.\But you were the leader of us sisters.\I've always thought of you as our big sis.\So...\Wait, what was I trying to say?\I don't want you to hold back. response:	I want you to do what you want to do, I guess.
context: I've been wanting to say this.\As a kid, you were the mean bully, always wanting to take things from other people.\But you were the leader of us sisters.\I've always thought of you as our big sis.\So...\Wait, what was I trying to say?\I don't want you to hold back.\I want you to do what you want to do, I guess. response:	What I want to do?
context: As a kid, you were the mean bully, always wanting to take things from other people.\But you were the leader of us sisters.\I've always thought of you as our big sis.\So...\Wait, what was I trying to say?\I don't want you to hold back.\I want you to do what you want to do, I guess.\What I want to do? response:	I wanted these times to go on forever.
context: But you were the leader of us sisters.\I've always thought of you as our big sis.\So...\Wait, what was I trying to say?\I don't want you to hold back.\I want you to do what you want to do, I guess.\What I want to do?\I wanted these times to go on forever. response:	I always wanted to be here in this comfort zone.
context: I've always thought of you as our big sis.\So...\Wait, what was I trying to say?\I don't want you to hold back.\I want you to do what you want to do, I guess.\What I want to do?\I wanted these times to go on forever.\I always wanted to be here in this comfort zone. response:	But the truth is...
context: So...\Wait, what was I trying to say?\I don't want you to hold back.\I want you to do what you want to do, I guess.\What I want to do?\I wanted these times to go on forever.\I always wanted to be here in this comfort zone.\But the truth is... response:	I didn't want anyone else to take him.
context: Wait, what was I trying to say?\I don't want you to hold back.\I want you to do what you want to do, I guess.\What I want to do?\I wanted these times to go on forever.\I always wanted to be here in this comfort zone.\But the truth is...\I didn't want anyone else to take him. response:	Wait... what?
context: I don't want you to hold back.\I want you to do what you want to do, I guess.\What I want to do?\I wanted these times to go on forever.\I always wanted to be here in this comfort zone.\But the truth is...\I didn't want anyone else to take him.\Wait... what? response:	I was actually cold, too.
context: I want you to do what you want to do, I guess.\What I want to do?\I wanted these times to go on forever.\I always wanted to be here in this comfort zone.\But the truth is...\I didn't want anyone else to take him.\Wait... what?\I was actually cold, too. response:	You're taking it back after you lent it to me?!
context: What I want to do?\I wanted these times to go on forever.\I always wanted to be here in this comfort zone.\But the truth is...\I didn't want anyone else to take him.\Wait... what?\I was actually cold, too.\You're taking it back after you lent it to me?! response:	Okay, let's go back inside.
context: I wanted these times to go on forever.\I always wanted to be here in this comfort zone.\But the truth is...\I didn't want anyone else to take him.\Wait... what?\I was actually cold, too.\You're taking it back after you lent it to me?!\Okay, let's go back inside. response:	Okay.
context: I always wanted to be here in this comfort zone.\But the truth is...\I didn't want anyone else to take him.\Wait... what?\I was actually cold, too.\You're taking it back after you lent it to me?!\Okay, let's go back inside.\Okay. response:	So, didn't you have to go see Dad?
context: But the truth is...\I didn't want anyone else to take him.\Wait... what?\I was actually cold, too.\You're taking it back after you lent it to me?!\Okay, let's go back inside.\Okay.\So, didn't you have to go see Dad? response:	Nah.
context: I didn't want anyone else to take him.\Wait... what?\I was actually cold, too.\You're taking it back after you lent it to me?!\Okay, let's go back inside.\Okay.\So, didn't you have to go see Dad?\Nah. response:	I'm good now.
context: Wait... what?\I was actually cold, too.\You're taking it back after you lent it to me?!\Okay, let's go back inside.\Okay.\So, didn't you have to go see Dad?\Nah.\I'm good now. response:	Huh?
context: I was actually cold, too.\You're taking it back after you lent it to me?!\Okay, let's go back inside.\Okay.\So, didn't you have to go see Dad?\Nah.\I'm good now.\Huh? response:	What are you doing here?
context: You're taking it back after you lent it to me?!\Okay, let's go back inside.\Okay.\So, didn't you have to go see Dad?\Nah.\I'm good now.\Huh?\What are you doing here? response:	Um...
context: Okay, let's go back inside.\Okay.\So, didn't you have to go see Dad?\Nah.\I'm good now.\Huh?\What are you doing here?\Um... response:	Itsuki.
context: Okay.\So, didn't you have to go see Dad?\Nah.\I'm good now.\Huh?\What are you doing here?\Um...\Itsuki. response:	Miku.
context: So, didn't you have to go see Dad?\Nah.\I'm good now.\Huh?\What are you doing here?\Um...\Itsuki.\Miku. response:	That's what I was about to say!
context: Nah.\I'm good now.\Huh?\What are you doing here?\Um...\Itsuki.\Miku.\That's what I was about to say! response:	You said it first!
context: I'm good now.\Huh?\What are you doing here?\Um...\Itsuki.\Miku.\That's what I was about to say!\You said it first! response:	I was about to say it!
context: Huh?\What are you doing here?\Um...\Itsuki.\Miku.\That's what I was about to say!\You said it first!\I was about to say it! response:	Um, what are you...
context: What are you doing here?\Um...\Itsuki.\Miku.\That's what I was about to say!\You said it first!\I was about to say it!\Um, what are you... response:	Just a little more!
context: Um...\Itsuki.\Miku.\That's what I was about to say!\You said it first!\I was about to say it!\Um, what are you...\Just a little more! response:	Just give me a little longer!
context: Itsuki.\Miku.\That's what I was about to say!\You said it first!\I was about to say it!\Um, what are you...\Just a little more!\Just give me a little longer! response:	Your grandpa's about to teach me!
context: Miku.\That's what I was about to say!\You said it first!\I was about to say it!\Um, what are you...\Just a little more!\Just give me a little longer!\Your grandpa's about to teach me! response:	Hold up!
context: That's what I was about to say!\You said it first!\I was about to say it!\Um, what are you...\Just a little more!\Just give me a little longer!\Your grandpa's about to teach me!\Hold up! response:	I don't believe it.
context: You said it first!\I was about to say it!\Um, what are you...\Just a little more!\Just give me a little longer!\Your grandpa's about to teach me!\Hold up!\I don't believe it. response:	He has no intention of figuring it out himself.
context: I was about to say it!\Um, what are you...\Just a little more!\Just give me a little longer!\Your grandpa's about to teach me!\Hold up!\I don't believe it.\He has no intention of figuring it out himself. response:	What can he do?
context: Um, what are you...\Just a little more!\Just give me a little longer!\Your grandpa's about to teach me!\Hold up!\I don't believe it.\He has no intention of figuring it out himself.\What can he do? response:	There's no way he can learn to tell us apart after just half a year.
context: Just a little more!\Just give me a little longer!\Your grandpa's about to teach me!\Hold up!\I don't believe it.\He has no intention of figuring it out himself.\What can he do?\There's no way he can learn to tell us apart after just half a year. response:	Please, Grandpa, tell me already.
context: Just give me a little longer!\Your grandpa's about to teach me!\Hold up!\I don't believe it.\He has no intention of figuring it out himself.\What can he do?\There's no way he can learn to tell us apart after just half a year.\Please, Grandpa, tell me already. response:	Isn't there a trick or something to telling them apart?
context: Your grandpa's about to teach me!\Hold up!\I don't believe it.\He has no intention of figuring it out himself.\What can he do?\There's no way he can learn to tell us apart after just half a year.\Please, Grandpa, tell me already.\Isn't there a trick or something to telling them apart? response:	Love.
context: Hold up!\I don't believe it.\He has no intention of figuring it out himself.\What can he do?\There's no way he can learn to tell us apart after just half a year.\Please, Grandpa, tell me already.\Isn't there a trick or something to telling them apart?\Love. response:	You can tell them apart if you have love.
context: I don't believe it.\He has no intention of figuring it out himself.\What can he do?\There's no way he can learn to tell us apart after just half a year.\Please, Grandpa, tell me already.\Isn't there a trick or something to telling them apart?\Love.\You can tell them apart if you have love. response:	So he's the one who started it!
context: He has no intention of figuring it out himself.\What can he do?\There's no way he can learn to tell us apart after just half a year.\Please, Grandpa, tell me already.\Isn't there a trick or something to telling them apart?\Love.\You can tell them apart if you have love.\So he's the one who started it! response:	Grandpa
context: What can he do?\There's no way he can learn to tell us apart after just half a year.\Please, Grandpa, tell me already.\Isn't there a trick or something to telling them apart?\Love.\You can tell them apart if you have love.\So he's the one who started it!\Grandpa response:	Mother
context: There's no way he can learn to tell us apart after just half a year.\Please, Grandpa, tell me already.\Isn't there a trick or something to telling them apart?\Love.\You can tell them apart if you have love.\So he's the one who started it!\Grandpa\Mother response:	Children
context: Please, Grandpa, tell me already.\Isn't there a trick or something to telling them apart?\Love.\You can tell them apart if you have love.\So he's the one who started it!\Grandpa\Mother\Children response:	Over a long time, you learn to identify their mannerisms, voice, subtle habits...
context: Isn't there a trick or something to telling them apart?\Love.\You can tell them apart if you have love.\So he's the one who started it!\Grandpa\Mother\Children\Over a long time, you learn to identify their mannerisms, voice, subtle habits... response:	That is tantamount to love.
context: Love.\You can tell them apart if you have love.\So he's the one who started it!\Grandpa\Mother\Children\Over a long time, you learn to identify their mannerisms, voice, subtle habits...\That is tantamount to love. response:	You said you wanted to tell my grandkids apart.
context: You can tell them apart if you have love.\So he's the one who started it!\Grandpa\Mother\Children\Over a long time, you learn to identify their mannerisms, voice, subtle habits...\That is tantamount to love.\You said you wanted to tell my grandkids apart. response:	There is no silver bullet.
context: So he's the one who started it!\Grandpa\Mother\Children\Over a long time, you learn to identify their mannerisms, voice, subtle habits...\That is tantamount to love.\You said you wanted to tell my grandkids apart.\There is no silver bullet. response:	Why do you want to tell my grandkids apart?
context: Grandpa\Mother\Children\Over a long time, you learn to identify their mannerisms, voice, subtle habits...\That is tantamount to love.\You said you wanted to tell my grandkids apart.\There is no silver bullet.\Why do you want to tell my grandkids apart? response:	What is it you want to accomplish by being able to tell them apart?
context: Mother\Children\Over a long time, you learn to identify their mannerisms, voice, subtle habits...\That is tantamount to love.\You said you wanted to tell my grandkids apart.\There is no silver bullet.\Why do you want to tell my grandkids apart?\What is it you want to accomplish by being able to tell them apart? response:	Do you have the commitment to face them in good faith?
context: Children\Over a long time, you learn to identify their mannerisms, voice, subtle habits...\That is tantamount to love.\You said you wanted to tell my grandkids apart.\There is no silver bullet.\Why do you want to tell my grandkids apart?\What is it you want to accomplish by being able to tell them apart?\Do you have the commitment to face them in good faith? response:	Can I assume you're the Itsuki I talked to on the first night?
context: Over a long time, you learn to identify their mannerisms, voice, subtle habits...\That is tantamount to love.\You said you wanted to tell my grandkids apart.\There is no silver bullet.\Why do you want to tell my grandkids apart?\What is it you want to accomplish by being able to tell them apart?\Do you have the commitment to face them in good faith?\Can I assume you're the Itsuki I talked to on the first night? response:	Yes.
context: That is tantamount to love.\You said you wanted to tell my grandkids apart.\There is no silver bullet.\Why do you want to tell my grandkids apart?\What is it you want to accomplish by being able to tell them apart?\Do you have the commitment to face them in good faith?\Can I assume you're the Itsuki I talked to on the first night?\Yes. response:	I am...
context: You said you wanted to tell my grandkids apart.\There is no silver bullet.\Why do you want to tell my grandkids apart?\What is it you want to accomplish by being able to tell them apart?\Do you have the commitment to face them in good faith?\Can I assume you're the Itsuki I talked to on the first night?\Yes.\I am... response:	Hold it.
context: There is no silver bullet.\Why do you want to tell my grandkids apart?\What is it you want to accomplish by being able to tell them apart?\Do you have the commitment to face them in good faith?\Can I assume you're the Itsuki I talked to on the first night?\Yes.\I am...\Hold it. response:	I never did figure out how to win the quintuplet game.
context: Why do you want to tell my grandkids apart?\What is it you want to accomplish by being able to tell them apart?\Do you have the commitment to face them in good faith?\Can I assume you're the Itsuki I talked to on the first night?\Yes.\I am...\Hold it.\I never did figure out how to win the quintuplet game. response:	Victory is yours.
context: What is it you want to accomplish by being able to tell them apart?\Do you have the commitment to face them in good faith?\Can I assume you're the Itsuki I talked to on the first night?\Yes.\I am...\Hold it.\I never did figure out how to win the quintuplet game.\Victory is yours. response:	But I don't like being a loser.
context: Do you have the commitment to face them in good faith?\Can I assume you're the Itsuki I talked to on the first night?\Yes.\I am...\Hold it.\I never did figure out how to win the quintuplet game.\Victory is yours.\But I don't like being a loser. response:	I want a rematch.
context: Can I assume you're the Itsuki I talked to on the first night?\Yes.\I am...\Hold it.\I never did figure out how to win the quintuplet game.\Victory is yours.\But I don't like being a loser.\I want a rematch. response:	I'm going to figure you out myself, even if I get no one else.
context: Yes.\I am...\Hold it.\I never did figure out how to win the quintuplet game.\Victory is yours.\But I don't like being a loser.\I want a rematch.\I'm going to figure you out myself, even if I get no one else. response:	That's my show of commitment to facing you sisters in good faith.
context: I am...\Hold it.\I never did figure out how to win the quintuplet game.\Victory is yours.\But I don't like being a loser.\I want a rematch.\I'm going to figure you out myself, even if I get no one else.\That's my show of commitment to facing you sisters in good faith. response:	Itsuki has told you what's going on, correct?
context: Hold it.\I never did figure out how to win the quintuplet game.\Victory is yours.\But I don't like being a loser.\I want a rematch.\I'm going to figure you out myself, even if I get no one else.\That's my show of commitment to facing you sisters in good faith.\Itsuki has told you what's going on, correct? response:	Yes.
context: I never did figure out how to win the quintuplet game.\Victory is yours.\But I don't like being a loser.\I want a rematch.\I'm going to figure you out myself, even if I get no one else.\That's my show of commitment to facing you sisters in good faith.\Itsuki has told you what's going on, correct?\Yes. response:	First, Yotsuba's problem is with this trip itself.
context: Victory is yours.\But I don't like being a loser.\I want a rematch.\I'm going to figure you out myself, even if I get no one else.\That's my show of commitment to facing you sisters in good faith.\Itsuki has told you what's going on, correct?\Yes.\First, Yotsuba's problem is with this trip itself. response:	Therefore, at the end of today, she no longer has to worry.
context: But I don't like being a loser.\I want a rematch.\I'm going to figure you out myself, even if I get no one else.\That's my show of commitment to facing you sisters in good faith.\Itsuki has told you what's going on, correct?\Yes.\First, Yotsuba's problem is with this trip itself.\Therefore, at the end of today, she no longer has to worry. response:	And you aren't Yotsuba.
context: I want a rematch.\I'm going to figure you out myself, even if I get no one else.\That's my show of commitment to facing you sisters in good faith.\Itsuki has told you what's going on, correct?\Yes.\First, Yotsuba's problem is with this trip itself.\Therefore, at the end of today, she no longer has to worry.\And you aren't Yotsuba. response:	She isn't as perfect an impersonator as you.
context: I'm going to figure you out myself, even if I get no one else.\That's my show of commitment to facing you sisters in good faith.\Itsuki has told you what's going on, correct?\Yes.\First, Yotsuba's problem is with this trip itself.\Therefore, at the end of today, she no longer has to worry.\And you aren't Yotsuba.\She isn't as perfect an impersonator as you. response:	Correct.
context: That's my show of commitment to facing you sisters in good faith.\Itsuki has told you what's going on, correct?\Yes.\First, Yotsuba's problem is with this trip itself.\Therefore, at the end of today, she no longer has to worry.\And you aren't Yotsuba.\She isn't as perfect an impersonator as you.\Correct. response:	Next, Nino...
context: Itsuki has told you what's going on, correct?\Yes.\First, Yotsuba's problem is with this trip itself.\Therefore, at the end of today, she no longer has to worry.\And you aren't Yotsuba.\She isn't as perfect an impersonator as you.\Correct.\Next, Nino... response:	She wasn't quite perfect.
context: Yes.\First, Yotsuba's problem is with this trip itself.\Therefore, at the end of today, she no longer has to worry.\And you aren't Yotsuba.\She isn't as perfect an impersonator as you.\Correct.\Next, Nino...\She wasn't quite perfect. response:	She forgot to remove her pedicure.
context: First, Yotsuba's problem is with this trip itself.\Therefore, at the end of today, she no longer has to worry.\And you aren't Yotsuba.\She isn't as perfect an impersonator as you.\Correct.\Next, Nino...\She wasn't quite perfect.\She forgot to remove her pedicure. response:	Please stop, Futaro.
context: Therefore, at the end of today, she no longer has to worry.\And you aren't Yotsuba.\She isn't as perfect an impersonator as you.\Correct.\Next, Nino...\She wasn't quite perfect.\She forgot to remove her pedicure.\Please stop, Futaro. response:	This is pointless.
context: And you aren't Yotsuba.\She isn't as perfect an impersonator as you.\Correct.\Next, Nino...\She wasn't quite perfect.\She forgot to remove her pedicure.\Please stop, Futaro.\This is pointless. response:	That leg...
context: She isn't as perfect an impersonator as you.\Correct.\Next, Nino...\She wasn't quite perfect.\She forgot to remove her pedicure.\Please stop, Futaro.\This is pointless.\That leg... response:	It was you, Miku?
context: Correct.\Next, Nino...\She wasn't quite perfect.\She forgot to remove her pedicure.\Please stop, Futaro.\This is pointless.\That leg...\It was you, Miku? response:	Oh.
context: Next, Nino...\She wasn't quite perfect.\She forgot to remove her pedicure.\Please stop, Futaro.\This is pointless.\That leg...\It was you, Miku?\Oh. response:	My bruise never went away.
context: She wasn't quite perfect.\She forgot to remove her pedicure.\Please stop, Futaro.\This is pointless.\That leg...\It was you, Miku?\Oh.\My bruise never went away. response:	Miku...
context: She forgot to remove her pedicure.\Please stop, Futaro.\This is pointless.\That leg...\It was you, Miku?\Oh.\My bruise never went away.\Miku... response:	You were always the most cooperative.
context: Please stop, Futaro.\This is pointless.\That leg...\It was you, Miku?\Oh.\My bruise never went away.\Miku...\You were always the most cooperative. response:	Why are you trying to end your relationship with Uesugi-kun?
context: This is pointless.\That leg...\It was you, Miku?\Oh.\My bruise never went away.\Miku...\You were always the most cooperative.\Why are you trying to end your relationship with Uesugi-kun? response:	I have to apologize to you first.
context: That leg...\It was you, Miku?\Oh.\My bruise never went away.\Miku...\You were always the most cooperative.\Why are you trying to end your relationship with Uesugi-kun?\I have to apologize to you first. response:	I was in a panic because Grandpa was there.
