context: If I were to borrow Tendo's words... response:	I'm starting to get into it.
context: That's a block that got in the way of a receive.\U-Ushijima-san, you just got stopped by a nameless first-year.\Guess you've still got a ways to go.\I guess so.\Ushijima-san is a great ace that's always marked.\Of course, he's going to be stopped sometimes.\But to think that tiny first-year did it...\Hinata, you're serving next. response:	Right!
context: U-Ushijima-san, you just got stopped by a nameless first-year.\Guess you've still got a ways to go.\I guess so.\Ushijima-san is a great ace that's always marked.\Of course, he's going to be stopped sometimes.\But to think that tiny first-year did it...\Hinata, you're serving next.\Right! response:	He actually had the instinct to jump back at that moment...
context: Guess you've still got a ways to go.\I guess so.\Ushijima-san is a great ace that's always marked.\Of course, he's going to be stopped sometimes.\But to think that tiny first-year did it...\Hinata, you're serving next.\Right!\He actually had the instinct to jump back at that moment... response:	Yeah!
context: I guess so.\Ushijima-san is a great ace that's always marked.\Of course, he's going to be stopped sometimes.\But to think that tiny first-year did it...\Hinata, you're serving next.\Right!\He actually had the instinct to jump back at that moment...\Yeah! response:	Narita-san, come in whenever you'd like. I'll follow you.
context: Ushijima-san is a great ace that's always marked.\Of course, he's going to be stopped sometimes.\But to think that tiny first-year did it...\Hinata, you're serving next.\Right!\He actually had the instinct to jump back at that moment...\Yeah!\Narita-san, come in whenever you'd like. I'll follow you. response:	R-Right.
context: Of course, he's going to be stopped sometimes.\But to think that tiny first-year did it...\Hinata, you're serving next.\Right!\He actually had the instinct to jump back at that moment...\Yeah!\Narita-san, come in whenever you'd like. I'll follow you.\R-Right. response:	Get out there!
context: But to think that tiny first-year did it...\Hinata, you're serving next.\Right!\He actually had the instinct to jump back at that moment...\Yeah!\Narita-san, come in whenever you'd like. I'll follow you.\R-Right.\Get out there! response:	We're counting on you!
context: Hinata, you're serving next.\Right!\He actually had the instinct to jump back at that moment...\Yeah!\Narita-san, come in whenever you'd like. I'll follow you.\R-Right.\Get out there!\We're counting on you! response:	Go, Yamaguchi!
context: Right!\He actually had the instinct to jump back at that moment...\Yeah!\Narita-san, come in whenever you'd like. I'll follow you.\R-Right.\Get out there!\We're counting on you!\Go, Yamaguchi! response:	Don't hold back.
context: He actually had the instinct to jump back at that moment...\Yeah!\Narita-san, come in whenever you'd like. I'll follow you.\R-Right.\Get out there!\We're counting on you!\Go, Yamaguchi!\Don't hold back. response:	There's not a single thing for you to be scared about.
context: Yeah!\Narita-san, come in whenever you'd like. I'll follow you.\R-Right.\Get out there!\We're counting on you!\Go, Yamaguchi!\Don't hold back.\There's not a single thing for you to be scared about. response:	I'll be aiming straight down diagonally to the other side, right at Ushiwaka,
context: Narita-san, come in whenever you'd like. I'll follow you.\R-Right.\Get out there!\We're counting on you!\Go, Yamaguchi!\Don't hold back.\There's not a single thing for you to be scared about.\I'll be aiming straight down diagonally to the other side, right at Ushiwaka, response:	but there's no point if the serve is soft.
context: R-Right.\Get out there!\We're counting on you!\Go, Yamaguchi!\Don't hold back.\There's not a single thing for you to be scared about.\I'll be aiming straight down diagonally to the other side, right at Ushiwaka,\but there's no point if the serve is soft. response:	Hayato!
context: Get out there!\We're counting on you!\Go, Yamaguchi!\Don't hold back.\There's not a single thing for you to be scared about.\I'll be aiming straight down diagonally to the other side, right at Ushiwaka,\but there's no point if the serve is soft.\Hayato! response:	Damn it!
context: We're counting on you!\Go, Yamaguchi!\Don't hold back.\There's not a single thing for you to be scared about.\I'll be aiming straight down diagonally to the other side, right at Ushiwaka,\but there's no point if the serve is soft.\Hayato!\Damn it! response:	Chance ball!
context: Go, Yamaguchi!\Don't hold back.\There's not a single thing for you to be scared about.\I'll be aiming straight down diagonally to the other side, right at Ushiwaka,\but there's no point if the serve is soft.\Hayato!\Damn it!\Chance ball! response:	Got it!
context: Don't hold back.\There's not a single thing for you to be scared about.\I'll be aiming straight down diagonally to the other side, right at Ushiwaka,\but there's no point if the serve is soft.\Hayato!\Damn it!\Chance ball!\Got it! response:	Here we go!
context: There's not a single thing for you to be scared about.\I'll be aiming straight down diagonally to the other side, right at Ushiwaka,\but there's no point if the serve is soft.\Hayato!\Damn it!\Chance ball!\Got it!\Here we go! response:	Synchronized attack!
context: I'll be aiming straight down diagonally to the other side, right at Ushiwaka,\but there's no point if the serve is soft.\Hayato!\Damn it!\Chance ball!\Got it!\Here we go!\Synchronized attack! response:	Come on! Come right over here!
context: but there's no point if the serve is soft.\Hayato!\Damn it!\Chance ball!\Got it!\Here we go!\Synchronized attack!\Come on! Come right over here! response:	All right
context: Hayato!\Damn it!\Chance ball!\Got it!\Here we go!\Synchronized attack!\Come on! Come right over here!\All right response:	Shiratorizawa Karasuno
context: Damn it!\Chance ball!\Got it!\Here we go!\Synchronized attack!\Come on! Come right over here!\All right\Shiratorizawa Karasuno response:	All right!
context: Chance ball!\Got it!\Here we go!\Synchronized attack!\Come on! Come right over here!\All right\Shiratorizawa Karasuno\All right! response:	He touched the net! Lucky!
context: Got it!\Here we go!\Synchronized attack!\Come on! Come right over here!\All right\Shiratorizawa Karasuno\All right!\He touched the net! Lucky! response:	I don't think that's all.
context: Here we go!\Synchronized attack!\Come on! Come right over here!\All right\Shiratorizawa Karasuno\All right!\He touched the net! Lucky!\I don't think that's all. response:	If we keep hitting them hard,
context: Synchronized attack!\Come on! Come right over here!\All right\Shiratorizawa Karasuno\All right!\He touched the net! Lucky!\I don't think that's all.\If we keep hitting them hard, response:	they're going to start pushing back.
context: Come on! Come right over here!\All right\Shiratorizawa Karasuno\All right!\He touched the net! Lucky!\I don't think that's all.\If we keep hitting them hard,\they're going to start pushing back. response:	Damn it...
context: All right\Shiratorizawa Karasuno\All right!\He touched the net! Lucky!\I don't think that's all.\If we keep hitting them hard,\they're going to start pushing back.\Damn it... response:	We're counting on you.
context: Shiratorizawa Karasuno\All right!\He touched the net! Lucky!\I don't think that's all.\If we keep hitting them hard,\they're going to start pushing back.\Damn it...\We're counting on you. response:	Wakatoshi!
context: All right!\He touched the net! Lucky!\I don't think that's all.\If we keep hitting them hard,\they're going to start pushing back.\Damn it...\We're counting on you.\Wakatoshi! response:	Slowly. Slowly.
context: He touched the net! Lucky!\I don't think that's all.\If we keep hitting them hard,\they're going to start pushing back.\Damn it...\We're counting on you.\Wakatoshi!\Slowly. Slowly. response:	Ready, and...
context: I don't think that's all.\If we keep hitting them hard,\they're going to start pushing back.\Damn it...\We're counting on you.\Wakatoshi!\Slowly. Slowly.\Ready, and... response:	Despite all these barriers, it's still not enough to stop him?
context: If we keep hitting them hard,\they're going to start pushing back.\Damn it...\We're counting on you.\Wakatoshi!\Slowly. Slowly.\Ready, and...\Despite all these barriers, it's still not enough to stop him? response:	Got it!
context: they're going to start pushing back.\Damn it...\We're counting on you.\Wakatoshi!\Slowly. Slowly.\Ready, and...\Despite all these barriers, it's still not enough to stop him?\Got it! response:	It didn't match...
context: Damn it...\We're counting on you.\Wakatoshi!\Slowly. Slowly.\Ready, and...\Despite all these barriers, it's still not enough to stop him?\Got it!\It didn't match... response:	Shiratorizawa Karasuno
context: We're counting on you.\Wakatoshi!\Slowly. Slowly.\Ready, and...\Despite all these barriers, it's still not enough to stop him?\Got it!\It didn't match...\Shiratorizawa Karasuno response:	All right! We caught up!
context: Wakatoshi!\Slowly. Slowly.\Ready, and...\Despite all these barriers, it's still not enough to stop him?\Got it!\It didn't match...\Shiratorizawa Karasuno\All right! We caught up! response:	That was a little high. I'll correct it.
context: Slowly. Slowly.\Ready, and...\Despite all these barriers, it's still not enough to stop him?\Got it!\It didn't match...\Shiratorizawa Karasuno\All right! We caught up!\That was a little high. I'll correct it. response:	No, uh... sure.
context: Ready, and...\Despite all these barriers, it's still not enough to stop him?\Got it!\It didn't match...\Shiratorizawa Karasuno\All right! We caught up!\That was a little high. I'll correct it.\No, uh... sure. response:	You're using a quick when you just matched up
context: Despite all these barriers, it's still not enough to stop him?\Got it!\It didn't match...\Shiratorizawa Karasuno\All right! We caught up!\That was a little high. I'll correct it.\No, uh... sure.\You're using a quick when you just matched up response:	for the first time today?!
context: Got it!\It didn't match...\Shiratorizawa Karasuno\All right! We caught up!\That was a little high. I'll correct it.\No, uh... sure.\You're using a quick when you just matched up\for the first time today?! response:	Yamaguchi, one more!
context: It didn't match...\Shiratorizawa Karasuno\All right! We caught up!\That was a little high. I'll correct it.\No, uh... sure.\You're using a quick when you just matched up\for the first time today?!\Yamaguchi, one more! response:	It's long!
context: Shiratorizawa Karasuno\All right! We caught up!\That was a little high. I'll correct it.\No, uh... sure.\You're using a quick when you just matched up\for the first time today?!\Yamaguchi, one more!\It's long! response:	Out!
context: All right! We caught up!\That was a little high. I'll correct it.\No, uh... sure.\You're using a quick when you just matched up\for the first time today?!\Yamaguchi, one more!\It's long!\Out! response:	All right!
context: That was a little high. I'll correct it.\No, uh... sure.\You're using a quick when you just matched up\for the first time today?!\Yamaguchi, one more!\It's long!\Out!\All right! response:	Sorry. I judged that too late.
context: No, uh... sure.\You're using a quick when you just matched up\for the first time today?!\Yamaguchi, one more!\It's long!\Out!\All right!\Sorry. I judged that too late. response:	No, um... Damn!
context: You're using a quick when you just matched up\for the first time today?!\Yamaguchi, one more!\It's long!\Out!\All right!\Sorry. I judged that too late.\No, um... Damn! response:	Yamaguchi!
context: for the first time today?!\Yamaguchi, one more!\It's long!\Out!\All right!\Sorry. I judged that too late.\No, um... Damn!\Yamaguchi! response:	Nice serve, Yamaguchi!
context: Yamaguchi, one more!\It's long!\Out!\All right!\Sorry. I judged that too late.\No, um... Damn!\Yamaguchi!\Nice serve, Yamaguchi! response:	Thanks!
context: It's long!\Out!\All right!\Sorry. I judged that too late.\No, um... Damn!\Yamaguchi!\Nice serve, Yamaguchi!\Thanks! response:	Time
context: Out!\All right!\Sorry. I judged that too late.\No, um... Damn!\Yamaguchi!\Nice serve, Yamaguchi!\Thanks!\Time response:	What's the matter, Goshiki?
context: All right!\Sorry. I judged that too late.\No, um... Damn!\Yamaguchi!\Nice serve, Yamaguchi!\Thanks!\Time\What's the matter, Goshiki? response:	Why would you have any reason to panic with all of your talent?
context: Sorry. I judged that too late.\No, um... Damn!\Yamaguchi!\Nice serve, Yamaguchi!\Thanks!\Time\What's the matter, Goshiki?\Why would you have any reason to panic with all of your talent? response:	Shiratorizawa!
context: No, um... Damn!\Yamaguchi!\Nice serve, Yamaguchi!\Thanks!\Time\What's the matter, Goshiki?\Why would you have any reason to panic with all of your talent?\Shiratorizawa! response:	Shiratorizawa!
context: Yamaguchi!\Nice serve, Yamaguchi!\Thanks!\Time\What's the matter, Goshiki?\Why would you have any reason to panic with all of your talent?\Shiratorizawa!\Shiratorizawa! response:	Shiratorizawa!
context: Nice serve, Yamaguchi!\Thanks!\Time\What's the matter, Goshiki?\Why would you have any reason to panic with all of your talent?\Shiratorizawa!\Shiratorizawa!\Shiratorizawa! response:	Shiratorizawa!
context: Thanks!\Time\What's the matter, Goshiki?\Why would you have any reason to panic with all of your talent?\Shiratorizawa!\Shiratorizawa!\Shiratorizawa!\Shiratorizawa! response:	Right.
context: Time\What's the matter, Goshiki?\Why would you have any reason to panic with all of your talent?\Shiratorizawa!\Shiratorizawa!\Shiratorizawa!\Shiratorizawa!\Right. response:	We're going to stop it this time.
context: What's the matter, Goshiki?\Why would you have any reason to panic with all of your talent?\Shiratorizawa!\Shiratorizawa!\Shiratorizawa!\Shiratorizawa!\Right.\We're going to stop it this time. response:	He doesn't dress up his words, nor do they have any other meaning.
context: Why would you have any reason to panic with all of your talent?\Shiratorizawa!\Shiratorizawa!\Shiratorizawa!\Shiratorizawa!\Right.\We're going to stop it this time.\He doesn't dress up his words, nor do they have any other meaning. response:	Right!
context: Shiratorizawa!\Shiratorizawa!\Shiratorizawa!\Shiratorizawa!\Right.\We're going to stop it this time.\He doesn't dress up his words, nor do they have any other meaning.\Right! response:	No encouragement, just the truth.
context: Shiratorizawa!\Shiratorizawa!\Shiratorizawa!\Right.\We're going to stop it this time.\He doesn't dress up his words, nor do they have any other meaning.\Right!\No encouragement, just the truth. response:	Shiratorizawa!
context: Shiratorizawa!\Shiratorizawa!\Right.\We're going to stop it this time.\He doesn't dress up his words, nor do they have any other meaning.\Right!\No encouragement, just the truth.\Shiratorizawa! response:	No more words are needed from the great ace to the other ace.
context: Shiratorizawa!\Right.\We're going to stop it this time.\He doesn't dress up his words, nor do they have any other meaning.\Right!\No encouragement, just the truth.\Shiratorizawa!\No more words are needed from the great ace to the other ace. response:	They turned it around!
context: Right.\We're going to stop it this time.\He doesn't dress up his words, nor do they have any other meaning.\Right!\No encouragement, just the truth.\Shiratorizawa!\No more words are needed from the great ace to the other ace.\They turned it around! response:	Shiratorizawa Karasuno
context: We're going to stop it this time.\He doesn't dress up his words, nor do they have any other meaning.\Right!\No encouragement, just the truth.\Shiratorizawa!\No more words are needed from the great ace to the other ace.\They turned it around!\Shiratorizawa Karasuno response:	They just scored three points in a row!
context: He doesn't dress up his words, nor do they have any other meaning.\Right!\No encouragement, just the truth.\Shiratorizawa!\No more words are needed from the great ace to the other ace.\They turned it around!\Shiratorizawa Karasuno\They just scored three points in a row! response:	Holy crap! They might just make it all the way!
context: Right!\No encouragement, just the truth.\Shiratorizawa!\No more words are needed from the great ace to the other ace.\They turned it around!\Shiratorizawa Karasuno\They just scored three points in a row!\Holy crap! They might just make it all the way! response:	Win...
context: No encouragement, just the truth.\Shiratorizawa!\No more words are needed from the great ace to the other ace.\They turned it around!\Shiratorizawa Karasuno\They just scored three points in a row!\Holy crap! They might just make it all the way!\Win... response:	Win, Karasuno!
context: Shiratorizawa!\No more words are needed from the great ace to the other ace.\They turned it around!\Shiratorizawa Karasuno\They just scored three points in a row!\Holy crap! They might just make it all the way!\Win...\Win, Karasuno! response:	All right!
context: No more words are needed from the great ace to the other ace.\They turned it around!\Shiratorizawa Karasuno\They just scored three points in a row!\Holy crap! They might just make it all the way!\Win...\Win, Karasuno!\All right! response:	That's perfect, Ohira-san.
context: They turned it around!\Shiratorizawa Karasuno\They just scored three points in a row!\Holy crap! They might just make it all the way!\Win...\Win, Karasuno!\All right!\That's perfect, Ohira-san. response:	All right!
context: Shiratorizawa Karasuno\They just scored three points in a row!\Holy crap! They might just make it all the way!\Win...\Win, Karasuno!\All right!\That's perfect, Ohira-san.\All right! response:	Whoa... That angle was brutal.
context: They just scored three points in a row!\Holy crap! They might just make it all the way!\Win...\Win, Karasuno!\All right!\That's perfect, Ohira-san.\All right!\Whoa... That angle was brutal. response:	Nice kill, Goshiki!
context: Holy crap! They might just make it all the way!\Win...\Win, Karasuno!\All right!\That's perfect, Ohira-san.\All right!\Whoa... That angle was brutal.\Nice kill, Goshiki! response:	They got that precisely through that incomplete block.
context: Win...\Win, Karasuno!\All right!\That's perfect, Ohira-san.\All right!\Whoa... That angle was brutal.\Nice kill, Goshiki!\They got that precisely through that incomplete block. response:	Goshiki!
context: Win, Karasuno!\All right!\That's perfect, Ohira-san.\All right!\Whoa... That angle was brutal.\Nice kill, Goshiki!\They got that precisely through that incomplete block.\Goshiki! response:	Goshiki!
context: All right!\That's perfect, Ohira-san.\All right!\Whoa... That angle was brutal.\Nice kill, Goshiki!\They got that precisely through that incomplete block.\Goshiki!\Goshiki! response:	I'm sure he wanted to make up for his last serve receive.
context: That's perfect, Ohira-san.\All right!\Whoa... That angle was brutal.\Nice kill, Goshiki!\They got that precisely through that incomplete block.\Goshiki!\Goshiki!\I'm sure he wanted to make up for his last serve receive. response:	Great job, Yamaguchi! Leave the rest to me!
context: All right!\Whoa... That angle was brutal.\Nice kill, Goshiki!\They got that precisely through that incomplete block.\Goshiki!\Goshiki!\I'm sure he wanted to make up for his last serve receive.\Great job, Yamaguchi! Leave the rest to me! response:	But you're going to be switching immediately with Nishinoya-san.
context: Whoa... That angle was brutal.\Nice kill, Goshiki!\They got that precisely through that incomplete block.\Goshiki!\Goshiki!\I'm sure he wanted to make up for his last serve receive.\Great job, Yamaguchi! Leave the rest to me!\But you're going to be switching immediately with Nishinoya-san. response:	Tsutomu, keep calm!
context: Nice kill, Goshiki!\They got that precisely through that incomplete block.\Goshiki!\Goshiki!\I'm sure he wanted to make up for his last serve receive.\Great job, Yamaguchi! Leave the rest to me!\But you're going to be switching immediately with Nishinoya-san.\Tsutomu, keep calm! response:	Be Courageous Warriors
context: They got that precisely through that incomplete block.\Goshiki!\Goshiki!\I'm sure he wanted to make up for his last serve receive.\Great job, Yamaguchi! Leave the rest to me!\But you're going to be switching immediately with Nishinoya-san.\Tsutomu, keep calm!\Be Courageous Warriors response:	I know!
context: Goshiki!\Goshiki!\I'm sure he wanted to make up for his last serve receive.\Great job, Yamaguchi! Leave the rest to me!\But you're going to be switching immediately with Nishinoya-san.\Tsutomu, keep calm!\Be Courageous Warriors\I know! response:	Here we go.
context: Goshiki!\I'm sure he wanted to make up for his last serve receive.\Great job, Yamaguchi! Leave the rest to me!\But you're going to be switching immediately with Nishinoya-san.\Tsutomu, keep calm!\Be Courageous Warriors\I know!\Here we go. response:	Bring it!
context: I'm sure he wanted to make up for his last serve receive.\Great job, Yamaguchi! Leave the rest to me!\But you're going to be switching immediately with Nishinoya-san.\Tsutomu, keep calm!\Be Courageous Warriors\I know!\Here we go.\Bring it! response:	Damn it!
context: Great job, Yamaguchi! Leave the rest to me!\But you're going to be switching immediately with Nishinoya-san.\Tsutomu, keep calm!\Be Courageous Warriors\I know!\Here we go.\Bring it!\Damn it! response:	Isn't that 8 supposed to be the impulsive type?!
context: But you're going to be switching immediately with Nishinoya-san.\Tsutomu, keep calm!\Be Courageous Warriors\I know!\Here we go.\Bring it!\Damn it!\Isn't that 8 supposed to be the impulsive type?! response:	Tsutomu is our only first-year that's in the starting lineup.
context: Tsutomu, keep calm!\Be Courageous Warriors\I know!\Here we go.\Bring it!\Damn it!\Isn't that 8 supposed to be the impulsive type?!\Tsutomu is our only first-year that's in the starting lineup. response:	Don't underestimate him.
context: Be Courageous Warriors\I know!\Here we go.\Bring it!\Damn it!\Isn't that 8 supposed to be the impulsive type?!\Tsutomu is our only first-year that's in the starting lineup.\Don't underestimate him. response:	Noya-san!
context: I know!\Here we go.\Bring it!\Damn it!\Isn't that 8 supposed to be the impulsive type?!\Tsutomu is our only first-year that's in the starting lineup.\Don't underestimate him.\Noya-san! response:	All right!
context: Here we go.\Bring it!\Damn it!\Isn't that 8 supposed to be the impulsive type?!\Tsutomu is our only first-year that's in the starting lineup.\Don't underestimate him.\Noya-san!\All right! response:	Shiratorizawa Karasuno
context: Bring it!\Damn it!\Isn't that 8 supposed to be the impulsive type?!\Tsutomu is our only first-year that's in the starting lineup.\Don't underestimate him.\Noya-san!\All right!\Shiratorizawa Karasuno response:	Nice kill, Ushijima!
context: Damn it!\Isn't that 8 supposed to be the impulsive type?!\Tsutomu is our only first-year that's in the starting lineup.\Don't underestimate him.\Noya-san!\All right!\Shiratorizawa Karasuno\Nice kill, Ushijima! response:	They've got Karasuno cornered.
context: Isn't that 8 supposed to be the impulsive type?!\Tsutomu is our only first-year that's in the starting lineup.\Don't underestimate him.\Noya-san!\All right!\Shiratorizawa Karasuno\Nice kill, Ushijima!\They've got Karasuno cornered. response:	Ushijima! Ushijima!
context: Tsutomu is our only first-year that's in the starting lineup.\Don't underestimate him.\Noya-san!\All right!\Shiratorizawa Karasuno\Nice kill, Ushijima!\They've got Karasuno cornered.\Ushijima! Ushijima! response:	Not to mention Glasses isn't here, either.
context: Don't underestimate him.\Noya-san!\All right!\Shiratorizawa Karasuno\Nice kill, Ushijima!\They've got Karasuno cornered.\Ushijima! Ushijima!\Not to mention Glasses isn't here, either. response:	I wonder how they're gonna survive this match point.
context: Noya-san!\All right!\Shiratorizawa Karasuno\Nice kill, Ushijima!\They've got Karasuno cornered.\Ushijima! Ushijima!\Not to mention Glasses isn't here, either.\I wonder how they're gonna survive this match point. response:	One more point! One more point!
context: All right!\Shiratorizawa Karasuno\Nice kill, Ushijima!\They've got Karasuno cornered.\Ushijima! Ushijima!\Not to mention Glasses isn't here, either.\I wonder how they're gonna survive this match point.\One more point! One more point! response:	One more point! One more point!
context: Shiratorizawa Karasuno\Nice kill, Ushijima!\They've got Karasuno cornered.\Ushijima! Ushijima!\Not to mention Glasses isn't here, either.\I wonder how they're gonna survive this match point.\One more point! One more point!\One more point! One more point! response:	Nice receive!
context: Nice kill, Ushijima!\They've got Karasuno cornered.\Ushijima! Ushijima!\Not to mention Glasses isn't here, either.\I wonder how they're gonna survive this match point.\One more point! One more point!\One more point! One more point!\Nice receive! response:	Synchronized attack!
context: They've got Karasuno cornered.\Ushijima! Ushijima!\Not to mention Glasses isn't here, either.\I wonder how they're gonna survive this match point.\One more point! One more point!\One more point! One more point!\Nice receive!\Synchronized attack! response:	All right!
context: Ushijima! Ushijima!\Not to mention Glasses isn't here, either.\I wonder how they're gonna survive this match point.\One more point! One more point!\One more point! One more point!\Nice receive!\Synchronized attack!\All right! response:	You actually made the guy who just received the ball hit it again?
context: Not to mention Glasses isn't here, either.\I wonder how they're gonna survive this match point.\One more point! One more point!\One more point! One more point!\Nice receive!\Synchronized attack!\All right!\You actually made the guy who just received the ball hit it again? response:	Shiratorizawa Karasuno
context: I wonder how they're gonna survive this match point.\One more point! One more point!\One more point! One more point!\Nice receive!\Synchronized attack!\All right!\You actually made the guy who just received the ball hit it again?\Shiratorizawa Karasuno response:	A deuce...
context: One more point! One more point!\One more point! One more point!\Nice receive!\Synchronized attack!\All right!\You actually made the guy who just received the ball hit it again?\Shiratorizawa Karasuno\A deuce... response:	They should be running out of stamina any time now,
context: One more point! One more point!\Nice receive!\Synchronized attack!\All right!\You actually made the guy who just received the ball hit it again?\Shiratorizawa Karasuno\A deuce...\They should be running out of stamina any time now, response:	and they're all still able to run like that...
context: Nice receive!\Synchronized attack!\All right!\You actually made the guy who just received the ball hit it again?\Shiratorizawa Karasuno\A deuce...\They should be running out of stamina any time now,\and they're all still able to run like that... response:	Messing with us with numbers...
context: Synchronized attack!\All right!\You actually made the guy who just received the ball hit it again?\Shiratorizawa Karasuno\A deuce...\They should be running out of stamina any time now,\and they're all still able to run like that...\Messing with us with numbers... response:	I have no choice but to admit that it's an effective attack.
context: All right!\You actually made the guy who just received the ball hit it again?\Shiratorizawa Karasuno\A deuce...\They should be running out of stamina any time now,\and they're all still able to run like that...\Messing with us with numbers...\I have no choice but to admit that it's an effective attack. response:	Coach!
context: You actually made the guy who just received the ball hit it again?\Shiratorizawa Karasuno\A deuce...\They should be running out of stamina any time now,\and they're all still able to run like that...\Messing with us with numbers...\I have no choice but to admit that it's an effective attack.\Coach! response:	I won't lose to anyone in receiving,
context: Shiratorizawa Karasuno\A deuce...\They should be running out of stamina any time now,\and they're all still able to run like that...\Messing with us with numbers...\I have no choice but to admit that it's an effective attack.\Coach!\I won't lose to anyone in receiving, response:	and I can jump really well, so I'm confident in my attacks, too!
context: A deuce...\They should be running out of stamina any time now,\and they're all still able to run like that...\Messing with us with numbers...\I have no choice but to admit that it's an effective attack.\Coach!\I won't lose to anyone in receiving,\and I can jump really well, so I'm confident in my attacks, too! response:	Right. Now you just have to get a bit taller...
context: They should be running out of stamina any time now,\and they're all still able to run like that...\Messing with us with numbers...\I have no choice but to admit that it's an effective attack.\Coach!\I won't lose to anyone in receiving,\and I can jump really well, so I'm confident in my attacks, too!\Right. Now you just have to get a bit taller... response:	I'm so small, I can't even fight?
context: and they're all still able to run like that...\Messing with us with numbers...\I have no choice but to admit that it's an effective attack.\Coach!\I won't lose to anyone in receiving,\and I can jump really well, so I'm confident in my attacks, too!\Right. Now you just have to get a bit taller...\I'm so small, I can't even fight? response:	I'm going to lose to someone just because they're tall?
context: Messing with us with numbers...\I have no choice but to admit that it's an effective attack.\Coach!\I won't lose to anyone in receiving,\and I can jump really well, so I'm confident in my attacks, too!\Right. Now you just have to get a bit taller...\I'm so small, I can't even fight?\I'm going to lose to someone just because they're tall? response:	One more!
context: I have no choice but to admit that it's an effective attack.\Coach!\I won't lose to anyone in receiving,\and I can jump really well, so I'm confident in my attacks, too!\Right. Now you just have to get a bit taller...\I'm so small, I can't even fight?\I'm going to lose to someone just because they're tall?\One more! response:	One more, please!
context: Coach!\I won't lose to anyone in receiving,\and I can jump really well, so I'm confident in my attacks, too!\Right. Now you just have to get a bit taller...\I'm so small, I can't even fight?\I'm going to lose to someone just because they're tall?\One more!\One more, please! response:	No one here is just big.
context: I won't lose to anyone in receiving,\and I can jump really well, so I'm confident in my attacks, too!\Right. Now you just have to get a bit taller...\I'm so small, I can't even fight?\I'm going to lose to someone just because they're tall?\One more!\One more, please!\No one here is just big. response:	I understand that.
context: and I can jump really well, so I'm confident in my attacks, too!\Right. Now you just have to get a bit taller...\I'm so small, I can't even fight?\I'm going to lose to someone just because they're tall?\One more!\One more, please!\No one here is just big.\I understand that. response:	I envy them, and they annoy me,
context: Right. Now you just have to get a bit taller...\I'm so small, I can't even fight?\I'm going to lose to someone just because they're tall?\One more!\One more, please!\No one here is just big.\I understand that.\I envy them, and they annoy me, response:	yet I admire them greatly.
context: I'm so small, I can't even fight?\I'm going to lose to someone just because they're tall?\One more!\One more, please!\No one here is just big.\I understand that.\I envy them, and they annoy me,\yet I admire them greatly. response:	Do I want a way to fight, even though I'm small?
context: I'm going to lose to someone just because they're tall?\One more!\One more, please!\No one here is just big.\I understand that.\I envy them, and they annoy me,\yet I admire them greatly.\Do I want a way to fight, even though I'm small? response:	No, I...
context: One more!\One more, please!\No one here is just big.\I understand that.\I envy them, and they annoy me,\yet I admire them greatly.\Do I want a way to fight, even though I'm small?\No, I... response:	If they don't break, Karasuno's going to continue to be in danger.
context: One more, please!\No one here is just big.\I understand that.\I envy them, and they annoy me,\yet I admire them greatly.\Do I want a way to fight, even though I'm small?\No, I...\If they don't break, Karasuno's going to continue to be in danger. response:	Their stamina and concentration's could run out at any moment.
context: No one here is just big.\I understand that.\I envy them, and they annoy me,\yet I admire them greatly.\Do I want a way to fight, even though I'm small?\No, I...\If they don't break, Karasuno's going to continue to be in danger.\Their stamina and concentration's could run out at any moment. response:	No matter what it takes, just get the ball up from Shiratorizawa's powerful cannon
context: I understand that.\I envy them, and they annoy me,\yet I admire them greatly.\Do I want a way to fight, even though I'm small?\No, I...\If they don't break, Karasuno's going to continue to be in danger.\Their stamina and concentration's could run out at any moment.\No matter what it takes, just get the ball up from Shiratorizawa's powerful cannon response:	any way you can.
context: I envy them, and they annoy me,\yet I admire them greatly.\Do I want a way to fight, even though I'm small?\No, I...\If they don't break, Karasuno's going to continue to be in danger.\Their stamina and concentration's could run out at any moment.\No matter what it takes, just get the ball up from Shiratorizawa's powerful cannon\any way you can. response:	Daichi-san, nice serve!
context: yet I admire them greatly.\Do I want a way to fight, even though I'm small?\No, I...\If they don't break, Karasuno's going to continue to be in danger.\Their stamina and concentration's could run out at any moment.\No matter what it takes, just get the ball up from Shiratorizawa's powerful cannon\any way you can.\Daichi-san, nice serve! response:	It's short!
context: Do I want a way to fight, even though I'm small?\No, I...\If they don't break, Karasuno's going to continue to be in danger.\Their stamina and concentration's could run out at any moment.\No matter what it takes, just get the ball up from Shiratorizawa's powerful cannon\any way you can.\Daichi-san, nice serve!\It's short! response:	There has to be a limit to aiming for the damn net!
context: No, I...\If they don't break, Karasuno's going to continue to be in danger.\Their stamina and concentration's could run out at any moment.\No matter what it takes, just get the ball up from Shiratorizawa's powerful cannon\any way you can.\Daichi-san, nice serve!\It's short!\There has to be a limit to aiming for the damn net! response:	Goshiki!
context: If they don't break, Karasuno's going to continue to be in danger.\Their stamina and concentration's could run out at any moment.\No matter what it takes, just get the ball up from Shiratorizawa's powerful cannon\any way you can.\Daichi-san, nice serve!\It's short!\There has to be a limit to aiming for the damn net!\Goshiki! response:	Right!
