context: Fairy Tail has been completely absorbed by the hyperspace magic Anima, response:	which was used by an alternate world Edolas
context: At the same time, another Earthland wizard can be seen entering Louen.\So then, where should I start?\Guess I should get it over with and ask.\Hey. I'd like to ask you something.\Hey, wait!\This Edolas place don't got a lot of friendly people, do it?\Looks like there's always some kiddies rarin' to play with me though, no matter where I go.\You got a problem with us, bud? response:	You damn fly!
context: So then, where should I start?\Guess I should get it over with and ask.\Hey. I'd like to ask you something.\Hey, wait!\This Edolas place don't got a lot of friendly people, do it?\Looks like there's always some kiddies rarin' to play with me though, no matter where I go.\You got a problem with us, bud?\You damn fly! response:	Damn fly? Me?
context: Guess I should get it over with and ask.\Hey. I'd like to ask you something.\Hey, wait!\This Edolas place don't got a lot of friendly people, do it?\Looks like there's always some kiddies rarin' to play with me though, no matter where I go.\You got a problem with us, bud?\You damn fly!\Damn fly? Me? response:	Ain't nobody else here but you!
context: Hey. I'd like to ask you something.\Hey, wait!\This Edolas place don't got a lot of friendly people, do it?\Looks like there's always some kiddies rarin' to play with me though, no matter where I go.\You got a problem with us, bud?\You damn fly!\Damn fly? Me?\Ain't nobody else here but you! response:	If ya don't like fly, how about maggot?
context: Hey, wait!\This Edolas place don't got a lot of friendly people, do it?\Looks like there's always some kiddies rarin' to play with me though, no matter where I go.\You got a problem with us, bud?\You damn fly!\Damn fly? Me?\Ain't nobody else here but you!\If ya don't like fly, how about maggot? response:	I'm not laughing.
context: This Edolas place don't got a lot of friendly people, do it?\Looks like there's always some kiddies rarin' to play with me though, no matter where I go.\You got a problem with us, bud?\You damn fly!\Damn fly? Me?\Ain't nobody else here but you!\If ya don't like fly, how about maggot?\I'm not laughing. response:	Y-You bastard!
context: Looks like there's always some kiddies rarin' to play with me though, no matter where I go.\You got a problem with us, bud?\You damn fly!\Damn fly? Me?\Ain't nobody else here but you!\If ya don't like fly, how about maggot?\I'm not laughing.\Y-You bastard! response:	Ow!
context: You got a problem with us, bud?\You damn fly!\Damn fly? Me?\Ain't nobody else here but you!\If ya don't like fly, how about maggot?\I'm not laughing.\Y-You bastard!\Ow! response:	A huge lacrima showed up recently.
context: You damn fly!\Damn fly? Me?\Ain't nobody else here but you!\If ya don't like fly, how about maggot?\I'm not laughing.\Y-You bastard!\Ow!\A huge lacrima showed up recently. response:	Where is it?
context: Damn fly? Me?\Ain't nobody else here but you!\If ya don't like fly, how about maggot?\I'm not laughing.\Y-You bastard!\Ow!\A huge lacrima showed up recently.\Where is it? response:	Spit it out!
context: Ain't nobody else here but you!\If ya don't like fly, how about maggot?\I'm not laughing.\Y-You bastard!\Ow!\A huge lacrima showed up recently.\Where is it?\Spit it out! response:	I-I don't know!
context: If ya don't like fly, how about maggot?\I'm not laughing.\Y-You bastard!\Ow!\A huge lacrima showed up recently.\Where is it?\Spit it out!\I-I don't know! response:	Is that so?
context: I'm not laughing.\Y-You bastard!\Ow!\A huge lacrima showed up recently.\Where is it?\Spit it out!\I-I don't know!\Is that so? response:	Then you get a second helping...
context: Y-You bastard!\Ow!\A huge lacrima showed up recently.\Where is it?\Spit it out!\I-I don't know!\Is that so?\Then you get a second helping... response:	Wait! We really don't know!
context: Ow!\A huge lacrima showed up recently.\Where is it?\Spit it out!\I-I don't know!\Is that so?\Then you get a second helping...\Wait! We really don't know! response:	Right? Right?
context: A huge lacrima showed up recently.\Where is it?\Spit it out!\I-I don't know!\Is that so?\Then you get a second helping...\Wait! We really don't know!\Right? Right? response:	Yeah, yeah...
context: Where is it?\Spit it out!\I-I don't know!\Is that so?\Then you get a second helping...\Wait! We really don't know!\Right? Right?\Yeah, yeah... response:	Fine, then.
context: Spit it out!\I-I don't know!\Is that so?\Then you get a second helping...\Wait! We really don't know!\Right? Right?\Yeah, yeah...\Fine, then. response:	I'll ask someone else.
context: I-I don't know!\Is that so?\Then you get a second helping...\Wait! We really don't know!\Right? Right?\Yeah, yeah...\Fine, then.\I'll ask someone else. response:	Get lost, you guys.
context: Is that so?\Then you get a second helping...\Wait! We really don't know!\Right? Right?\Yeah, yeah...\Fine, then.\I'll ask someone else.\Get lost, you guys. response:	Wait, Gajeel, since when did you get so strong?
context: Then you get a second helping...\Wait! We really don't know!\Right? Right?\Yeah, yeah...\Fine, then.\I'll ask someone else.\Get lost, you guys.\Wait, Gajeel, since when did you get so strong? response:	Yeah.
context: Wait! We really don't know!\Right? Right?\Yeah, yeah...\Fine, then.\I'll ask someone else.\Get lost, you guys.\Wait, Gajeel, since when did you get so strong?\Yeah. response:	I mean, until just recently, you'd never get in a fight.
context: Right? Right?\Yeah, yeah...\Fine, then.\I'll ask someone else.\Get lost, you guys.\Wait, Gajeel, since when did you get so strong?\Yeah.\I mean, until just recently, you'd never get in a fight. response:	Could it be another me that's here in Edolas?
context: Yeah, yeah...\Fine, then.\I'll ask someone else.\Get lost, you guys.\Wait, Gajeel, since when did you get so strong?\Yeah.\I mean, until just recently, you'd never get in a fight.\Could it be another me that's here in Edolas? response:	Tell me, what's the Gajeel here do?
context: Fine, then.\I'll ask someone else.\Get lost, you guys.\Wait, Gajeel, since when did you get so strong?\Yeah.\I mean, until just recently, you'd never get in a fight.\Could it be another me that's here in Edolas?\Tell me, what's the Gajeel here do? response:	Huh?
context: I'll ask someone else.\Get lost, you guys.\Wait, Gajeel, since when did you get so strong?\Yeah.\I mean, until just recently, you'd never get in a fight.\Could it be another me that's here in Edolas?\Tell me, what's the Gajeel here do?\Huh? response:	I just happen to look like him.
context: Get lost, you guys.\Wait, Gajeel, since when did you get so strong?\Yeah.\I mean, until just recently, you'd never get in a fight.\Could it be another me that's here in Edolas?\Tell me, what's the Gajeel here do?\Huh?\I just happen to look like him. response:	You're joking, right?
context: Wait, Gajeel, since when did you get so strong?\Yeah.\I mean, until just recently, you'd never get in a fight.\Could it be another me that's here in Edolas?\Tell me, what's the Gajeel here do?\Huh?\I just happen to look like him.\You're joking, right? response:	You look identical.
context: Yeah.\I mean, until just recently, you'd never get in a fight.\Could it be another me that's here in Edolas?\Tell me, what's the Gajeel here do?\Huh?\I just happen to look like him.\You're joking, right?\You look identical. response:	Whatever, just answer me.
context: I mean, until just recently, you'd never get in a fight.\Could it be another me that's here in Edolas?\Tell me, what's the Gajeel here do?\Huh?\I just happen to look like him.\You're joking, right?\You look identical.\Whatever, just answer me. response:	What does Gajeel usually do?
context: Could it be another me that's here in Edolas?\Tell me, what's the Gajeel here do?\Huh?\I just happen to look like him.\You're joking, right?\You look identical.\Whatever, just answer me.\What does Gajeel usually do? response:	He's a freelance writer here in Edolas with a terrible reputation.
context: Tell me, what's the Gajeel here do?\Huh?\I just happen to look like him.\You're joking, right?\You look identical.\Whatever, just answer me.\What does Gajeel usually do?\He's a freelance writer here in Edolas with a terrible reputation. response:	Writer?
context: Huh?\I just happen to look like him.\You're joking, right?\You look identical.\Whatever, just answer me.\What does Gajeel usually do?\He's a freelance writer here in Edolas with a terrible reputation.\Writer? response:	All he does is write articles in magazines and newspapers criticizing the kingdom.
context: I just happen to look like him.\You're joking, right?\You look identical.\Whatever, just answer me.\What does Gajeel usually do?\He's a freelance writer here in Edolas with a terrible reputation.\Writer?\All he does is write articles in magazines and newspapers criticizing the kingdom. response:	That's why he's hated by all the people in town.
context: You're joking, right?\You look identical.\Whatever, just answer me.\What does Gajeel usually do?\He's a freelance writer here in Edolas with a terrible reputation.\Writer?\All he does is write articles in magazines and newspapers criticizing the kingdom.\That's why he's hated by all the people in town. response:	So that's why no one would talk with me.
context: You look identical.\Whatever, just answer me.\What does Gajeel usually do?\He's a freelance writer here in Edolas with a terrible reputation.\Writer?\All he does is write articles in magazines and newspapers criticizing the kingdom.\That's why he's hated by all the people in town.\So that's why no one would talk with me. response:	A freelance writer, huh?
context: Whatever, just answer me.\What does Gajeel usually do?\He's a freelance writer here in Edolas with a terrible reputation.\Writer?\All he does is write articles in magazines and newspapers criticizing the kingdom.\That's why he's hated by all the people in town.\So that's why no one would talk with me.\A freelance writer, huh? response:	I kinda want to meet this guy.
context: What does Gajeel usually do?\He's a freelance writer here in Edolas with a terrible reputation.\Writer?\All he does is write articles in magazines and newspapers criticizing the kingdom.\That's why he's hated by all the people in town.\So that's why no one would talk with me.\A freelance writer, huh?\I kinda want to meet this guy. response:	There's a whole lot of iffy-looking things lined up.
context: He's a freelance writer here in Edolas with a terrible reputation.\Writer?\All he does is write articles in magazines and newspapers criticizing the kingdom.\That's why he's hated by all the people in town.\So that's why no one would talk with me.\A freelance writer, huh?\I kinda want to meet this guy.\There's a whole lot of iffy-looking things lined up. response:	This shop stinks of mold.
context: Writer?\All he does is write articles in magazines and newspapers criticizing the kingdom.\That's why he's hated by all the people in town.\So that's why no one would talk with me.\A freelance writer, huh?\I kinda want to meet this guy.\There's a whole lot of iffy-looking things lined up.\This shop stinks of mold. response:	That's because we have some antique items with a long history!
context: All he does is write articles in magazines and newspapers criticizing the kingdom.\That's why he's hated by all the people in town.\So that's why no one would talk with me.\A freelance writer, huh?\I kinda want to meet this guy.\There's a whole lot of iffy-looking things lined up.\This shop stinks of mold.\That's because we have some antique items with a long history! response:	Mold, damage, smell... It's all part of their mystique, dear customers.
context: That's why he's hated by all the people in town.\So that's why no one would talk with me.\A freelance writer, huh?\I kinda want to meet this guy.\There's a whole lot of iffy-looking things lined up.\This shop stinks of mold.\That's because we have some antique items with a long history!\Mold, damage, smell... It's all part of their mystique, dear customers. response:	I don't care about mystique.
context: So that's why no one would talk with me.\A freelance writer, huh?\I kinda want to meet this guy.\There's a whole lot of iffy-looking things lined up.\This shop stinks of mold.\That's because we have some antique items with a long history!\Mold, damage, smell... It's all part of their mystique, dear customers.\I don't care about mystique. response:	All I care about is whether they're useful.
context: A freelance writer, huh?\I kinda want to meet this guy.\There's a whole lot of iffy-looking things lined up.\This shop stinks of mold.\That's because we have some antique items with a long history!\Mold, damage, smell... It's all part of their mystique, dear customers.\I don't care about mystique.\All I care about is whether they're useful. response:	There's a bunch of imitations out there, so be real careful when you buy anything.
context: I kinda want to meet this guy.\There's a whole lot of iffy-looking things lined up.\This shop stinks of mold.\That's because we have some antique items with a long history!\Mold, damage, smell... It's all part of their mystique, dear customers.\I don't care about mystique.\All I care about is whether they're useful.\There's a bunch of imitations out there, so be real careful when you buy anything. response:	Hey, old dude, you got any fire magic?
context: There's a whole lot of iffy-looking things lined up.\This shop stinks of mold.\That's because we have some antique items with a long history!\Mold, damage, smell... It's all part of their mystique, dear customers.\I don't care about mystique.\All I care about is whether they're useful.\There's a bunch of imitations out there, so be real careful when you buy anything.\Hey, old dude, you got any fire magic? response:	In that case, I have just the thing!
context: This shop stinks of mold.\That's because we have some antique items with a long history!\Mold, damage, smell... It's all part of their mystique, dear customers.\I don't care about mystique.\All I care about is whether they're useful.\There's a bunch of imitations out there, so be real careful when you buy anything.\Hey, old dude, you got any fire magic?\In that case, I have just the thing! response:	How about this?
context: That's because we have some antique items with a long history!\Mold, damage, smell... It's all part of their mystique, dear customers.\I don't care about mystique.\All I care about is whether they're useful.\There's a bunch of imitations out there, so be real careful when you buy anything.\Hey, old dude, you got any fire magic?\In that case, I have just the thing!\How about this? response:	Edolas magic, flaming sword!
context: Mold, damage, smell... It's all part of their mystique, dear customers.\I don't care about mystique.\All I care about is whether they're useful.\There's a bunch of imitations out there, so be real careful when you buy anything.\Hey, old dude, you got any fire magic?\In that case, I have just the thing!\How about this?\Edolas magic, flaming sword! response:	You charge it here, and then...
context: I don't care about mystique.\All I care about is whether they're useful.\There's a bunch of imitations out there, so be real careful when you buy anything.\Hey, old dude, you got any fire magic?\In that case, I have just the thing!\How about this?\Edolas magic, flaming sword!\You charge it here, and then... response:	Look! Amazing, yes?
context: All I care about is whether they're useful.\There's a bunch of imitations out there, so be real careful when you buy anything.\Hey, old dude, you got any fire magic?\In that case, I have just the thing!\How about this?\Edolas magic, flaming sword!\You charge it here, and then...\Look! Amazing, yes? response:	That flame's pretty weak, but it's better than nothing.
context: There's a bunch of imitations out there, so be real careful when you buy anything.\Hey, old dude, you got any fire magic?\In that case, I have just the thing!\How about this?\Edolas magic, flaming sword!\You charge it here, and then...\Look! Amazing, yes?\That flame's pretty weak, but it's better than nothing. response:	Sir, you have very good taste!
context: Hey, old dude, you got any fire magic?\In that case, I have just the thing!\How about this?\Edolas magic, flaming sword!\You charge it here, and then...\Look! Amazing, yes?\That flame's pretty weak, but it's better than nothing.\Sir, you have very good taste! response:	I like this.
context: In that case, I have just the thing!\How about this?\Edolas magic, flaming sword!\You charge it here, and then...\Look! Amazing, yes?\That flame's pretty weak, but it's better than nothing.\Sir, you have very good taste!\I like this. response:	What's good about it?
context: How about this?\Edolas magic, flaming sword!\You charge it here, and then...\Look! Amazing, yes?\That flame's pretty weak, but it's better than nothing.\Sir, you have very good taste!\I like this.\What's good about it? response:	It's small and cute!
context: Edolas magic, flaming sword!\You charge it here, and then...\Look! Amazing, yes?\That flame's pretty weak, but it's better than nothing.\Sir, you have very good taste!\I like this.\What's good about it?\It's small and cute! response:	Um, look here. Choosing like that isn't going to do us any good.
context: You charge it here, and then...\Look! Amazing, yes?\That flame's pretty weak, but it's better than nothing.\Sir, you have very good taste!\I like this.\What's good about it?\It's small and cute!\Um, look here. Choosing like that isn't going to do us any good. response:	That's called an Air Bullet Gun.
context: Look! Amazing, yes?\That flame's pretty weak, but it's better than nothing.\Sir, you have very good taste!\I like this.\What's good about it?\It's small and cute!\Um, look here. Choosing like that isn't going to do us any good.\That's called an Air Bullet Gun. response:	It looks like a cute container on the outside, but if you open it a little like this...
context: That flame's pretty weak, but it's better than nothing.\Sir, you have very good taste!\I like this.\What's good about it?\It's small and cute!\Um, look here. Choosing like that isn't going to do us any good.\That's called an Air Bullet Gun.\It looks like a cute container on the outside, but if you open it a little like this... response:	Wind Magic!
context: Sir, you have very good taste!\I like this.\What's good about it?\It's small and cute!\Um, look here. Choosing like that isn't going to do us any good.\That's called an Air Bullet Gun.\It looks like a cute container on the outside, but if you open it a little like this...\Wind Magic! response:	How romantic.
context: I like this.\What's good about it?\It's small and cute!\Um, look here. Choosing like that isn't going to do us any good.\That's called an Air Bullet Gun.\It looks like a cute container on the outside, but if you open it a little like this...\Wind Magic!\How romantic. response:	Madam, you have very good taste!
context: What's good about it?\It's small and cute!\Um, look here. Choosing like that isn't going to do us any good.\That's called an Air Bullet Gun.\It looks like a cute container on the outside, but if you open it a little like this...\Wind Magic!\How romantic.\Madam, you have very good taste! response:	Okay, we'll take these two.
context: It's small and cute!\Um, look here. Choosing like that isn't going to do us any good.\That's called an Air Bullet Gun.\It looks like a cute container on the outside, but if you open it a little like this...\Wind Magic!\How romantic.\Madam, you have very good taste!\Okay, we'll take these two. response:	Thank you very much!
context: Um, look here. Choosing like that isn't going to do us any good.\That's called an Air Bullet Gun.\It looks like a cute container on the outside, but if you open it a little like this...\Wind Magic!\How romantic.\Madam, you have very good taste!\Okay, we'll take these two.\Thank you very much! response:	Each of them is 20,000, but I'll give you a deal and let you have them for 18,000 each!
context: That's called an Air Bullet Gun.\It looks like a cute container on the outside, but if you open it a little like this...\Wind Magic!\How romantic.\Madam, you have very good taste!\Okay, we'll take these two.\Thank you very much!\Each of them is 20,000, but I'll give you a deal and let you have them for 18,000 each! response:	That's pretty expensive...
context: It looks like a cute container on the outside, but if you open it a little like this...\Wind Magic!\How romantic.\Madam, you have very good taste!\Okay, we'll take these two.\Thank you very much!\Each of them is 20,000, but I'll give you a deal and let you have them for 18,000 each!\That's pretty expensive... response:	Wares are getting scarce, so they're quite valuable...
context: Wind Magic!\How romantic.\Madam, you have very good taste!\Okay, we'll take these two.\Thank you very much!\Each of them is 20,000, but I'll give you a deal and let you have them for 18,000 each!\That's pretty expensive...\Wares are getting scarce, so they're quite valuable... response:	Wait, aren't we forgetting something important?
context: How romantic.\Madam, you have very good taste!\Okay, we'll take these two.\Thank you very much!\Each of them is 20,000, but I'll give you a deal and let you have them for 18,000 each!\That's pretty expensive...\Wares are getting scarce, so they're quite valuable...\Wait, aren't we forgetting something important? response:	Do you have any money?
context: Madam, you have very good taste!\Okay, we'll take these two.\Thank you very much!\Each of them is 20,000, but I'll give you a deal and let you have them for 18,000 each!\That's pretty expensive...\Wares are getting scarce, so they're quite valuable...\Wait, aren't we forgetting something important?\Do you have any money? response:	Of course not!
context: Okay, we'll take these two.\Thank you very much!\Each of them is 20,000, but I'll give you a deal and let you have them for 18,000 each!\That's pretty expensive...\Wares are getting scarce, so they're quite valuable...\Wait, aren't we forgetting something important?\Do you have any money?\Of course not! response:	This isn't a laughing matter!
context: Thank you very much!\Each of them is 20,000, but I'll give you a deal and let you have them for 18,000 each!\That's pretty expensive...\Wares are getting scarce, so they're quite valuable...\Wait, aren't we forgetting something important?\Do you have any money?\Of course not!\This isn't a laughing matter! response:	All I have in my pocket are some biscuits.
context: Each of them is 20,000, but I'll give you a deal and let you have them for 18,000 each!\That's pretty expensive...\Wares are getting scarce, so they're quite valuable...\Wait, aren't we forgetting something important?\Do you have any money?\Of course not!\This isn't a laughing matter!\All I have in my pocket are some biscuits. response:	Lucy, pay the man.
context: That's pretty expensive...\Wares are getting scarce, so they're quite valuable...\Wait, aren't we forgetting something important?\Do you have any money?\Of course not!\This isn't a laughing matter!\All I have in my pocket are some biscuits.\Lucy, pay the man. response:	Being pressured like this... Maybe I kind of like it?
context: Wares are getting scarce, so they're quite valuable...\Wait, aren't we forgetting something important?\Do you have any money?\Of course not!\This isn't a laughing matter!\All I have in my pocket are some biscuits.\Lucy, pay the man.\Being pressured like this... Maybe I kind of like it? response:	Something the matter?
context: Wait, aren't we forgetting something important?\Do you have any money?\Of course not!\This isn't a laughing matter!\All I have in my pocket are some biscuits.\Lucy, pay the man.\Being pressured like this... Maybe I kind of like it?\Something the matter? response:	Fine then!
context: Do you have any money?\Of course not!\This isn't a laughing matter!\All I have in my pocket are some biscuits.\Lucy, pay the man.\Being pressured like this... Maybe I kind of like it?\Something the matter?\Fine then! response:	I'll treat you.
context: Of course not!\This isn't a laughing matter!\All I have in my pocket are some biscuits.\Lucy, pay the man.\Being pressured like this... Maybe I kind of like it?\Something the matter?\Fine then!\I'll treat you. response:	No, no! I can't take money from you, Lucy-sama!
context: This isn't a laughing matter!\All I have in my pocket are some biscuits.\Lucy, pay the man.\Being pressured like this... Maybe I kind of like it?\Something the matter?\Fine then!\I'll treat you.\No, no! I can't take money from you, Lucy-sama! response:	You really saved me when those hoodlums showed up that time.
context: All I have in my pocket are some biscuits.\Lucy, pay the man.\Being pressured like this... Maybe I kind of like it?\Something the matter?\Fine then!\I'll treat you.\No, no! I can't take money from you, Lucy-sama!\You really saved me when those hoodlums showed up that time. response:	Naw, that wasn't anything much.
context: Lucy, pay the man.\Being pressured like this... Maybe I kind of like it?\Something the matter?\Fine then!\I'll treat you.\No, no! I can't take money from you, Lucy-sama!\You really saved me when those hoodlums showed up that time.\Naw, that wasn't anything much. response:	Anyway, consider them a present from me!
context: Being pressured like this... Maybe I kind of like it?\Something the matter?\Fine then!\I'll treat you.\No, no! I can't take money from you, Lucy-sama!\You really saved me when those hoodlums showed up that time.\Naw, that wasn't anything much.\Anyway, consider them a present from me! response:	Great, we'll take them with our thanks.
context: Something the matter?\Fine then!\I'll treat you.\No, no! I can't take money from you, Lucy-sama!\You really saved me when those hoodlums showed up that time.\Naw, that wasn't anything much.\Anyway, consider them a present from me!\Great, we'll take them with our thanks. response:	Thanks, old dude!
context: Fine then!\I'll treat you.\No, no! I can't take money from you, Lucy-sama!\You really saved me when those hoodlums showed up that time.\Naw, that wasn't anything much.\Anyway, consider them a present from me!\Great, we'll take them with our thanks.\Thanks, old dude! response:	Unlike our Lucy, Scary Lucy is really dependable!
context: I'll treat you.\No, no! I can't take money from you, Lucy-sama!\You really saved me when those hoodlums showed up that time.\Naw, that wasn't anything much.\Anyway, consider them a present from me!\Great, we'll take them with our thanks.\Thanks, old dude!\Unlike our Lucy, Scary Lucy is really dependable! response:	I told you not to call me scary!
context: No, no! I can't take money from you, Lucy-sama!\You really saved me when those hoodlums showed up that time.\Naw, that wasn't anything much.\Anyway, consider them a present from me!\Great, we'll take them with our thanks.\Thanks, old dude!\Unlike our Lucy, Scary Lucy is really dependable!\I told you not to call me scary! response:	You've got a lot of pull around here.
context: You really saved me when those hoodlums showed up that time.\Naw, that wasn't anything much.\Anyway, consider them a present from me!\Great, we'll take them with our thanks.\Thanks, old dude!\Unlike our Lucy, Scary Lucy is really dependable!\I told you not to call me scary!\You've got a lot of pull around here. response:	You've really saved us.
context: Naw, that wasn't anything much.\Anyway, consider them a present from me!\Great, we'll take them with our thanks.\Thanks, old dude!\Unlike our Lucy, Scary Lucy is really dependable!\I told you not to call me scary!\You've got a lot of pull around here.\You've really saved us. response:	By the way...
context: Anyway, consider them a present from me!\Great, we'll take them with our thanks.\Thanks, old dude!\Unlike our Lucy, Scary Lucy is really dependable!\I told you not to call me scary!\You've got a lot of pull around here.\You've really saved us.\By the way... response:	I'm kind of interested in hearing about the Lucy over there...
context: Great, we'll take them with our thanks.\Thanks, old dude!\Unlike our Lucy, Scary Lucy is really dependable!\I told you not to call me scary!\You've got a lot of pull around here.\You've really saved us.\By the way...\I'm kind of interested in hearing about the Lucy over there... response:	I'm writing a novel?!
context: Thanks, old dude!\Unlike our Lucy, Scary Lucy is really dependable!\I told you not to call me scary!\You've got a lot of pull around here.\You've really saved us.\By the way...\I'm kind of interested in hearing about the Lucy over there...\I'm writing a novel?! response:	I'm from a rich family, and use key magic?
context: Unlike our Lucy, Scary Lucy is really dependable!\I told you not to call me scary!\You've got a lot of pull around here.\You've really saved us.\By the way...\I'm kind of interested in hearing about the Lucy over there...\I'm writing a novel?!\I'm from a rich family, and use key magic? response:	Both of you are equally noisy, though.
context: I told you not to call me scary!\You've got a lot of pull around here.\You've really saved us.\By the way...\I'm kind of interested in hearing about the Lucy over there...\I'm writing a novel?!\I'm from a rich family, and use key magic?\Both of you are equally noisy, though. response:	Don't call me noisy!
context: You've got a lot of pull around here.\You've really saved us.\By the way...\I'm kind of interested in hearing about the Lucy over there...\I'm writing a novel?!\I'm from a rich family, and use key magic?\Both of you are equally noisy, though.\Don't call me noisy! response:	We just bought this... But how do I use it?
context: You've really saved us.\By the way...\I'm kind of interested in hearing about the Lucy over there...\I'm writing a novel?!\I'm from a rich family, and use key magic?\Both of you are equally noisy, though.\Don't call me noisy!\We just bought this... But how do I use it? response:	You stupid... Don't show magic in front of other people!
context: By the way...\I'm kind of interested in hearing about the Lucy over there...\I'm writing a novel?!\I'm from a rich family, and use key magic?\Both of you are equally noisy, though.\Don't call me noisy!\We just bought this... But how do I use it?\You stupid... Don't show magic in front of other people! response:	I told you that magic was banned around the world right now, remember?
context: I'm kind of interested in hearing about the Lucy over there...\I'm writing a novel?!\I'm from a rich family, and use key magic?\Both of you are equally noisy, though.\Don't call me noisy!\We just bought this... But how do I use it?\You stupid... Don't show magic in front of other people!\I told you that magic was banned around the world right now, remember? response:	I'm sorry...
context: I'm writing a novel?!\I'm from a rich family, and use key magic?\Both of you are equally noisy, though.\Don't call me noisy!\We just bought this... But how do I use it?\You stupid... Don't show magic in front of other people!\I told you that magic was banned around the world right now, remember?\I'm sorry... response:	But magic used to be part of your daily lives, right?
context: I'm from a rich family, and use key magic?\Both of you are equally noisy, though.\Don't call me noisy!\We just bought this... But how do I use it?\You stupid... Don't show magic in front of other people!\I told you that magic was banned around the world right now, remember?\I'm sorry...\But magic used to be part of your daily lives, right? response:	Yes.
context: Both of you are equally noisy, though.\Don't call me noisy!\We just bought this... But how do I use it?\You stupid... Don't show magic in front of other people!\I told you that magic was banned around the world right now, remember?\I'm sorry...\But magic used to be part of your daily lives, right?\Yes. response:	The bastards from the kingdom have stolen away a part of our culture.
context: Don't call me noisy!\We just bought this... But how do I use it?\You stupid... Don't show magic in front of other people!\I told you that magic was banned around the world right now, remember?\I'm sorry...\But magic used to be part of your daily lives, right?\Yes.\The bastards from the kingdom have stolen away a part of our culture. response:	But why?
context: We just bought this... But how do I use it?\You stupid... Don't show magic in front of other people!\I told you that magic was banned around the world right now, remember?\I'm sorry...\But magic used to be part of your daily lives, right?\Yes.\The bastards from the kingdom have stolen away a part of our culture.\But why? response:	So they can monopolize it.
context: You stupid... Don't show magic in front of other people!\I told you that magic was banned around the world right now, remember?\I'm sorry...\But magic used to be part of your daily lives, right?\Yes.\The bastards from the kingdom have stolen away a part of our culture.\But why?\So they can monopolize it. response:	Then if we beat the people from the kingdom, magic might come back to the world, right?
context: I told you that magic was banned around the world right now, remember?\I'm sorry...\But magic used to be part of your daily lives, right?\Yes.\The bastards from the kingdom have stolen away a part of our culture.\But why?\So they can monopolize it.\Then if we beat the people from the kingdom, magic might come back to the world, right? response:	Do you understand how crazy that sounds?
context: I'm sorry...\But magic used to be part of your daily lives, right?\Yes.\The bastards from the kingdom have stolen away a part of our culture.\But why?\So they can monopolize it.\Then if we beat the people from the kingdom, magic might come back to the world, right?\Do you understand how crazy that sounds? response:	There's no way to fight the Royal Army!
context: But magic used to be part of your daily lives, right?\Yes.\The bastards from the kingdom have stolen away a part of our culture.\But why?\So they can monopolize it.\Then if we beat the people from the kingdom, magic might come back to the world, right?\Do you understand how crazy that sounds?\There's no way to fight the Royal Army! response:	Then why did you follow us?
context: Yes.\The bastards from the kingdom have stolen away a part of our culture.\But why?\So they can monopolize it.\Then if we beat the people from the kingdom, magic might come back to the world, right?\Do you understand how crazy that sounds?\There's no way to fight the Royal Army!\Then why did you follow us? response:	Because I wanted to tell you how to get to the Royal City.
context: The bastards from the kingdom have stolen away a part of our culture.\But why?\So they can monopolize it.\Then if we beat the people from the kingdom, magic might come back to the world, right?\Do you understand how crazy that sounds?\There's no way to fight the Royal Army!\Then why did you follow us?\Because I wanted to tell you how to get to the Royal City. response:	I wasn't planning to fight or anything...
context: But why?\So they can monopolize it.\Then if we beat the people from the kingdom, magic might come back to the world, right?\Do you understand how crazy that sounds?\There's no way to fight the Royal Army!\Then why did you follow us?\Because I wanted to tell you how to get to the Royal City.\I wasn't planning to fight or anything... response:	Okay, then! Thanks a lot.
context: So they can monopolize it.\Then if we beat the people from the kingdom, magic might come back to the world, right?\Do you understand how crazy that sounds?\There's no way to fight the Royal Army!\Then why did you follow us?\Because I wanted to tell you how to get to the Royal City.\I wasn't planning to fight or anything...\Okay, then! Thanks a lot. response:	There they are!
context: Then if we beat the people from the kingdom, magic might come back to the world, right?\Do you understand how crazy that sounds?\There's no way to fight the Royal Army!\Then why did you follow us?\Because I wanted to tell you how to get to the Royal City.\I wasn't planning to fight or anything...\Okay, then! Thanks a lot.\There they are! response:	Seal off the entrance to the city!
context: Do you understand how crazy that sounds?\There's no way to fight the Royal Army!\Then why did you follow us?\Because I wanted to tell you how to get to the Royal City.\I wasn't planning to fight or anything...\Okay, then! Thanks a lot.\There they are!\Seal off the entrance to the city! response:	The Royal Army!
context: There's no way to fight the Royal Army!\Then why did you follow us?\Because I wanted to tell you how to get to the Royal City.\I wasn't planning to fight or anything...\Okay, then! Thanks a lot.\There they are!\Seal off the entrance to the city!\The Royal Army! response:	You're wizards from Fairy Tail, yes?
context: Then why did you follow us?\Because I wanted to tell you how to get to the Royal City.\I wasn't planning to fight or anything...\Okay, then! Thanks a lot.\There they are!\Seal off the entrance to the city!\The Royal Army!\You're wizards from Fairy Tail, yes? response:	Stay right there!
context: Because I wanted to tell you how to get to the Royal City.\I wasn't planning to fight or anything...\Okay, then! Thanks a lot.\There they are!\Seal off the entrance to the city!\The Royal Army!\You're wizards from Fairy Tail, yes?\Stay right there! response:	We've already been discovered?
context: I wasn't planning to fight or anything...\Okay, then! Thanks a lot.\There they are!\Seal off the entrance to the city!\The Royal Army!\You're wizards from Fairy Tail, yes?\Stay right there!\We've already been discovered? response:	Okay, then!
