context: Madam Manager! Madam Manager! response:	I'll call the young master!
context: Did you note how the oil sound changed when it was ready?\Yes, sir!\Oh, you were here.\W-What are you doing?!\I was feeling warm and delighted.\What's that supposed to mean?!\Warm, huh...\Well, for her first time, it was indeed well-done. response:	I wasn't talking about the taste of the tenpura.
context: Yes, sir!\Oh, you were here.\W-What are you doing?!\I was feeling warm and delighted.\What's that supposed to mean?!\Warm, huh...\Well, for her first time, it was indeed well-done.\I wasn't talking about the taste of the tenpura. response:	So, what do you want?
context: Oh, you were here.\W-What are you doing?!\I was feeling warm and delighted.\What's that supposed to mean?!\Warm, huh...\Well, for her first time, it was indeed well-done.\I wasn't talking about the taste of the tenpura.\So, what do you want? response:	I came to grab the tenpura.
context: W-What are you doing?!\I was feeling warm and delighted.\What's that supposed to mean?!\Warm, huh...\Well, for her first time, it was indeed well-done.\I wasn't talking about the taste of the tenpura.\So, what do you want?\I came to grab the tenpura. response:	Give me a second.
context: I was feeling warm and delighted.\What's that supposed to mean?!\Warm, huh...\Well, for her first time, it was indeed well-done.\I wasn't talking about the taste of the tenpura.\So, what do you want?\I came to grab the tenpura.\Give me a second. response:	They'll be done soon.
context: What's that supposed to mean?!\Warm, huh...\Well, for her first time, it was indeed well-done.\I wasn't talking about the taste of the tenpura.\So, what do you want?\I came to grab the tenpura.\Give me a second.\They'll be done soon. response:	Hey! Are you enjoying your night?
context: Warm, huh...\Well, for her first time, it was indeed well-done.\I wasn't talking about the taste of the tenpura.\So, what do you want?\I came to grab the tenpura.\Give me a second.\They'll be done soon.\Hey! Are you enjoying your night? response:	Y-Yeah...
context: Well, for her first time, it was indeed well-done.\I wasn't talking about the taste of the tenpura.\So, what do you want?\I came to grab the tenpura.\Give me a second.\They'll be done soon.\Hey! Are you enjoying your night?\Y-Yeah... response:	Are you sure you're enjoying yourself?
context: I wasn't talking about the taste of the tenpura.\So, what do you want?\I came to grab the tenpura.\Give me a second.\They'll be done soon.\Hey! Are you enjoying your night?\Y-Yeah...\Are you sure you're enjoying yourself? response:	Yeah, that's the spot...
context: So, what do you want?\I came to grab the tenpura.\Give me a second.\They'll be done soon.\Hey! Are you enjoying your night?\Y-Yeah...\Are you sure you're enjoying yourself?\Yeah, that's the spot... response:	Good night!
context: I came to grab the tenpura.\Give me a second.\They'll be done soon.\Hey! Are you enjoying your night?\Y-Yeah...\Are you sure you're enjoying yourself?\Yeah, that's the spot...\Good night! response:	Good night!
context: Give me a second.\They'll be done soon.\Hey! Are you enjoying your night?\Y-Yeah...\Are you sure you're enjoying yourself?\Yeah, that's the spot...\Good night!\Good night! response:	See you tomorrow.
context: They'll be done soon.\Hey! Are you enjoying your night?\Y-Yeah...\Are you sure you're enjoying yourself?\Yeah, that's the spot...\Good night!\Good night!\See you tomorrow. response:	See you!
context: Hey! Are you enjoying your night?\Y-Yeah...\Are you sure you're enjoying yourself?\Yeah, that's the spot...\Good night!\Good night!\See you tomorrow.\See you! response:	And this is how
context: Y-Yeah...\Are you sure you're enjoying yourself?\Yeah, that's the spot...\Good night!\Good night!\See you tomorrow.\See you!\And this is how response:	we were able to get through a long day
context: Are you sure you're enjoying yourself?\Yeah, that's the spot...\Good night!\Good night!\See you tomorrow.\See you!\And this is how\we were able to get through a long day response:	without the Madam Manager.
context: Yeah, that's the spot...\Good night!\Good night!\See you tomorrow.\See you!\And this is how\we were able to get through a long day\without the Madam Manager. response:	Ohana, the customers in the Moon Room are leaving.
context: Good night!\Good night!\See you tomorrow.\See you!\And this is how\we were able to get through a long day\without the Madam Manager.\Ohana, the customers in the Moon Room are leaving. response:	Okay!
context: Good night!\See you tomorrow.\See you!\And this is how\we were able to get through a long day\without the Madam Manager.\Ohana, the customers in the Moon Room are leaving.\Okay! response:	Thanks for everything.
context: See you tomorrow.\See you!\And this is how\we were able to get through a long day\without the Madam Manager.\Ohana, the customers in the Moon Room are leaving.\Okay!\Thanks for everything. response:	We'll be awaiting your return!
context: See you!\And this is how\we were able to get through a long day\without the Madam Manager.\Ohana, the customers in the Moon Room are leaving.\Okay!\Thanks for everything.\We'll be awaiting your return! response:	We're bound to score high
context: And this is how\we were able to get through a long day\without the Madam Manager.\Ohana, the customers in the Moon Room are leaving.\Okay!\Thanks for everything.\We'll be awaiting your return!\We're bound to score high response:	if those customers are the mystery guests!
context: we were able to get through a long day\without the Madam Manager.\Ohana, the customers in the Moon Room are leaving.\Okay!\Thanks for everything.\We'll be awaiting your return!\We're bound to score high\if those customers are the mystery guests! response:	It doesn't matter who the mystery guests were.
context: without the Madam Manager.\Ohana, the customers in the Moon Room are leaving.\Okay!\Thanks for everything.\We'll be awaiting your return!\We're bound to score high\if those customers are the mystery guests!\It doesn't matter who the mystery guests were. response:	We gave our all to every customer, after all.
context: Ohana, the customers in the Moon Room are leaving.\Okay!\Thanks for everything.\We'll be awaiting your return!\We're bound to score high\if those customers are the mystery guests!\It doesn't matter who the mystery guests were.\We gave our all to every customer, after all. response:	Yes, but scores are important.
context: Okay!\Thanks for everything.\We'll be awaiting your return!\We're bound to score high\if those customers are the mystery guests!\It doesn't matter who the mystery guests were.\We gave our all to every customer, after all.\Yes, but scores are important. response:	Exactly.
context: Thanks for everything.\We'll be awaiting your return!\We're bound to score high\if those customers are the mystery guests!\It doesn't matter who the mystery guests were.\We gave our all to every customer, after all.\Yes, but scores are important.\Exactly. response:	Okay, Ohana, you've still got some work left.
context: We'll be awaiting your return!\We're bound to score high\if those customers are the mystery guests!\It doesn't matter who the mystery guests were.\We gave our all to every customer, after all.\Yes, but scores are important.\Exactly.\Okay, Ohana, you've still got some work left. response:	Okay!
context: We're bound to score high\if those customers are the mystery guests!\It doesn't matter who the mystery guests were.\We gave our all to every customer, after all.\Yes, but scores are important.\Exactly.\Okay, Ohana, you've still got some work left.\Okay! response:	Was this the last of your luggage?
context: if those customers are the mystery guests!\It doesn't matter who the mystery guests were.\We gave our all to every customer, after all.\Yes, but scores are important.\Exactly.\Okay, Ohana, you've still got some work left.\Okay!\Was this the last of your luggage? response:	Thank you so much, dear.
context: It doesn't matter who the mystery guests were.\We gave our all to every customer, after all.\Yes, but scores are important.\Exactly.\Okay, Ohana, you've still got some work left.\Okay!\Was this the last of your luggage?\Thank you so much, dear. response:	You didn't have to do that.
context: We gave our all to every customer, after all.\Yes, but scores are important.\Exactly.\Okay, Ohana, you've still got some work left.\Okay!\Was this the last of your luggage?\Thank you so much, dear.\You didn't have to do that. response:	My pleasure. Did you enjoy your stay?
context: Yes, but scores are important.\Exactly.\Okay, Ohana, you've still got some work left.\Okay!\Was this the last of your luggage?\Thank you so much, dear.\You didn't have to do that.\My pleasure. Did you enjoy your stay? response:	Of course.
context: Exactly.\Okay, Ohana, you've still got some work left.\Okay!\Was this the last of your luggage?\Thank you so much, dear.\You didn't have to do that.\My pleasure. Did you enjoy your stay?\Of course. response:	I'm glad.
context: Okay, Ohana, you've still got some work left.\Okay!\Was this the last of your luggage?\Thank you so much, dear.\You didn't have to do that.\My pleasure. Did you enjoy your stay?\Of course.\I'm glad. response:	My daughter suddenly said yesterday
context: Okay!\Was this the last of your luggage?\Thank you so much, dear.\You didn't have to do that.\My pleasure. Did you enjoy your stay?\Of course.\I'm glad.\My daughter suddenly said yesterday response:	that we were going to be staying here,
context: Was this the last of your luggage?\Thank you so much, dear.\You didn't have to do that.\My pleasure. Did you enjoy your stay?\Of course.\I'm glad.\My daughter suddenly said yesterday\that we were going to be staying here, response:	so things were pretty hectic.
context: Thank you so much, dear.\You didn't have to do that.\My pleasure. Did you enjoy your stay?\Of course.\I'm glad.\My daughter suddenly said yesterday\that we were going to be staying here,\so things were pretty hectic. response:	Oh, I see.
context: You didn't have to do that.\My pleasure. Did you enjoy your stay?\Of course.\I'm glad.\My daughter suddenly said yesterday\that we were going to be staying here,\so things were pretty hectic.\Oh, I see. response:	Apparently, it had to do with her work.
context: My pleasure. Did you enjoy your stay?\Of course.\I'm glad.\My daughter suddenly said yesterday\that we were going to be staying here,\so things were pretty hectic.\Oh, I see.\Apparently, it had to do with her work. response:	Mom.
context: Of course.\I'm glad.\My daughter suddenly said yesterday\that we were going to be staying here,\so things were pretty hectic.\Oh, I see.\Apparently, it had to do with her work.\Mom. response:	Oops, maybe I wasn't supposed to say that.
context: I'm glad.\My daughter suddenly said yesterday\that we were going to be staying here,\so things were pretty hectic.\Oh, I see.\Apparently, it had to do with her work.\Mom.\Oops, maybe I wasn't supposed to say that. response:	Nah, it's fine now.
context: My daughter suddenly said yesterday\that we were going to be staying here,\so things were pretty hectic.\Oh, I see.\Apparently, it had to do with her work.\Mom.\Oops, maybe I wasn't supposed to say that.\Nah, it's fine now. response:	You had a good time, right, Mom?
context: that we were going to be staying here,\so things were pretty hectic.\Oh, I see.\Apparently, it had to do with her work.\Mom.\Oops, maybe I wasn't supposed to say that.\Nah, it's fine now.\You had a good time, right, Mom? response:	Yeah, I was able to rest so well!
context: so things were pretty hectic.\Oh, I see.\Apparently, it had to do with her work.\Mom.\Oops, maybe I wasn't supposed to say that.\Nah, it's fine now.\You had a good time, right, Mom?\Yeah, I was able to rest so well! response:	Thank you very much!
context: Oh, I see.\Apparently, it had to do with her work.\Mom.\Oops, maybe I wasn't supposed to say that.\Nah, it's fine now.\You had a good time, right, Mom?\Yeah, I was able to rest so well!\Thank you very much! response:	Okay, let's get going.
context: Apparently, it had to do with her work.\Mom.\Oops, maybe I wasn't supposed to say that.\Nah, it's fine now.\You had a good time, right, Mom?\Yeah, I was able to rest so well!\Thank you very much!\Okay, let's get going. response:	Let's.
context: Mom.\Oops, maybe I wasn't supposed to say that.\Nah, it's fine now.\You had a good time, right, Mom?\Yeah, I was able to rest so well!\Thank you very much!\Okay, let's get going.\Let's. response:	Oh.
context: Oops, maybe I wasn't supposed to say that.\Nah, it's fine now.\You had a good time, right, Mom?\Yeah, I was able to rest so well!\Thank you very much!\Okay, let's get going.\Let's.\Oh. response:	Let me help.
context: Nah, it's fine now.\You had a good time, right, Mom?\Yeah, I was able to rest so well!\Thank you very much!\Okay, let's get going.\Let's.\Oh.\Let me help. response:	Thank you.
context: You had a good time, right, Mom?\Yeah, I was able to rest so well!\Thank you very much!\Okay, let's get going.\Let's.\Oh.\Let me help.\Thank you. response:	Ko, it didn't matter who the mystery guests were.
context: Yeah, I was able to rest so well!\Thank you very much!\Okay, let's get going.\Let's.\Oh.\Let me help.\Thank you.\Ko, it didn't matter who the mystery guests were. response:	We treat every customer equally.
context: Thank you very much!\Okay, let's get going.\Let's.\Oh.\Let me help.\Thank you.\Ko, it didn't matter who the mystery guests were.\We treat every customer equally. response:	Hey, Ko?
context: Okay, let's get going.\Let's.\Oh.\Let me help.\Thank you.\Ko, it didn't matter who the mystery guests were.\We treat every customer equally.\Hey, Ko? response:	It was thanks to you that I was able to work so hard.
context: Let's.\Oh.\Let me help.\Thank you.\Ko, it didn't matter who the mystery guests were.\We treat every customer equally.\Hey, Ko?\It was thanks to you that I was able to work so hard. response:	Thanks.
context: Oh.\Let me help.\Thank you.\Ko, it didn't matter who the mystery guests were.\We treat every customer equally.\Hey, Ko?\It was thanks to you that I was able to work so hard.\Thanks. response:	Koichi?
context: Let me help.\Thank you.\Ko, it didn't matter who the mystery guests were.\We treat every customer equally.\Hey, Ko?\It was thanks to you that I was able to work so hard.\Thanks.\Koichi? response:	Yes?
context: Thank you.\Ko, it didn't matter who the mystery guests were.\We treat every customer equally.\Hey, Ko?\It was thanks to you that I was able to work so hard.\Thanks.\Koichi?\Yes? response:	The new item that came in yesterday...
context: Ko, it didn't matter who the mystery guests were.\We treat every customer equally.\Hey, Ko?\It was thanks to you that I was able to work so hard.\Thanks.\Koichi?\Yes?\The new item that came in yesterday... response:	I'll bring it right away!
context: We treat every customer equally.\Hey, Ko?\It was thanks to you that I was able to work so hard.\Thanks.\Koichi?\Yes?\The new item that came in yesterday...\I'll bring it right away! response:	Seriously?
context: Hey, Ko?\It was thanks to you that I was able to work so hard.\Thanks.\Koichi?\Yes?\The new item that came in yesterday...\I'll bring it right away!\Seriously? response:	Yeah!
context: It was thanks to you that I was able to work so hard.\Thanks.\Koichi?\Yes?\The new item that came in yesterday...\I'll bring it right away!\Seriously?\Yeah! response:	As soon as she saw my face, she almost fainted.
context: Thanks.\Koichi?\Yes?\The new item that came in yesterday...\I'll bring it right away!\Seriously?\Yeah!\As soon as she saw my face, she almost fainted. response:	Imagine how I felt.
context: Koichi?\Yes?\The new item that came in yesterday...\I'll bring it right away!\Seriously?\Yeah!\As soon as she saw my face, she almost fainted.\Imagine how I felt. response:	That's mean. I was desperate.
context: Yes?\The new item that came in yesterday...\I'll bring it right away!\Seriously?\Yeah!\As soon as she saw my face, she almost fainted.\Imagine how I felt.\That's mean. I was desperate. response:	This is good!
context: The new item that came in yesterday...\I'll bring it right away!\Seriously?\Yeah!\As soon as she saw my face, she almost fainted.\Imagine how I felt.\That's mean. I was desperate.\This is good! response:	Yeah, I know!
context: I'll bring it right away!\Seriously?\Yeah!\As soon as she saw my face, she almost fainted.\Imagine how I felt.\That's mean. I was desperate.\This is good!\Yeah, I know! response:	Guys, she's back.
context: Seriously?\Yeah!\As soon as she saw my face, she almost fainted.\Imagine how I felt.\That's mean. I was desperate.\This is good!\Yeah, I know!\Guys, she's back. response:	Thanks.
context: Yeah!\As soon as she saw my face, she almost fainted.\Imagine how I felt.\That's mean. I was desperate.\This is good!\Yeah, I know!\Guys, she's back.\Thanks. response:	Glad to be back.
context: As soon as she saw my face, she almost fainted.\Imagine how I felt.\That's mean. I was desperate.\This is good!\Yeah, I know!\Guys, she's back.\Thanks.\Glad to be back. response:	No, that's not it, Ohana!
context: Imagine how I felt.\That's mean. I was desperate.\This is good!\Yeah, I know!\Guys, she's back.\Thanks.\Glad to be back.\No, that's not it, Ohana! response:	You can't do everything by yourself.
context: That's mean. I was desperate.\This is good!\Yeah, I know!\Guys, she's back.\Thanks.\Glad to be back.\No, that's not it, Ohana!\You can't do everything by yourself. response:	Come home, Ohana.
context: This is good!\Yeah, I know!\Guys, she's back.\Thanks.\Glad to be back.\No, that's not it, Ohana!\You can't do everything by yourself.\Come home, Ohana. response:	The Kissuiso can run without me.
context: Yeah, I know!\Guys, she's back.\Thanks.\Glad to be back.\No, that's not it, Ohana!\You can't do everything by yourself.\Come home, Ohana.\The Kissuiso can run without me. response:	Episode 10 Slight Fever
