context: Chance ball! response:	Left!
context: Damn. They've used up their two timeouts.\It can't be helped.\They've got to physically break that momentum with a timeout,\or Seijoh's going to take control.\A-At times like this, your voice is important!\Something... Isn't there something?\Make sure you're using your voice!\Something to change the momentum? response:	Go, go, Karasuno!
context: It can't be helped.\They've got to physically break that momentum with a timeout,\or Seijoh's going to take control.\A-At times like this, your voice is important!\Something... Isn't there something?\Make sure you're using your voice!\Something to change the momentum?\Go, go, Karasuno! response:	Push it, push it, Karasuno!
context: They've got to physically break that momentum with a timeout,\or Seijoh's going to take control.\A-At times like this, your voice is important!\Something... Isn't there something?\Make sure you're using your voice!\Something to change the momentum?\Go, go, Karasuno!\Push it, push it, Karasuno! response:	It doesn't have to be a trump card. Just something...
context: or Seijoh's going to take control.\A-At times like this, your voice is important!\Something... Isn't there something?\Make sure you're using your voice!\Something to change the momentum?\Go, go, Karasuno!\Push it, push it, Karasuno!\It doesn't have to be a trump card. Just something... response:	Hey, first it's go, go.
context: A-At times like this, your voice is important!\Something... Isn't there something?\Make sure you're using your voice!\Something to change the momentum?\Go, go, Karasuno!\Push it, push it, Karasuno!\It doesn't have to be a trump card. Just something...\Hey, first it's go, go. response:	Anything to give us a change.
context: Something... Isn't there something?\Make sure you're using your voice!\Something to change the momentum?\Go, go, Karasuno!\Push it, push it, Karasuno!\It doesn't have to be a trump card. Just something...\Hey, first it's go, go.\Anything to give us a change. response:	Match me!
context: Make sure you're using your voice!\Something to change the momentum?\Go, go, Karasuno!\Push it, push it, Karasuno!\It doesn't have to be a trump card. Just something...\Hey, first it's go, go.\Anything to give us a change.\Match me! response:	Seijoh touched net. Thank goodness!
context: Something to change the momentum?\Go, go, Karasuno!\Push it, push it, Karasuno!\It doesn't have to be a trump card. Just something...\Hey, first it's go, go.\Anything to give us a change.\Match me!\Seijoh touched net. Thank goodness! response:	I'm sorry.
context: Go, go, Karasuno!\Push it, push it, Karasuno!\It doesn't have to be a trump card. Just something...\Hey, first it's go, go.\Anything to give us a change.\Match me!\Seijoh touched net. Thank goodness!\I'm sorry. response:	Don't mind.
context: Push it, push it, Karasuno!\It doesn't have to be a trump card. Just something...\Hey, first it's go, go.\Anything to give us a change.\Match me!\Seijoh touched net. Thank goodness!\I'm sorry.\Don't mind. response:	But...
context: It doesn't have to be a trump card. Just something...\Hey, first it's go, go.\Anything to give us a change.\Match me!\Seijoh touched net. Thank goodness!\I'm sorry.\Don't mind.\But... response:	The shrimp's on the back line!
context: Hey, first it's go, go.\Anything to give us a change.\Match me!\Seijoh touched net. Thank goodness!\I'm sorry.\Don't mind.\But...\The shrimp's on the back line! response:	We're counting on you.
context: Anything to give us a change.\Match me!\Seijoh touched net. Thank goodness!\I'm sorry.\Don't mind.\But...\The shrimp's on the back line!\We're counting on you. response:	Right.
context: Match me!\Seijoh touched net. Thank goodness!\I'm sorry.\Don't mind.\But...\The shrimp's on the back line!\We're counting on you.\Right. response:	If they miss here, Seijoh will have the advantage at 20 points.
context: Seijoh touched net. Thank goodness!\I'm sorry.\Don't mind.\But...\The shrimp's on the back line!\We're counting on you.\Right.\If they miss here, Seijoh will have the advantage at 20 points. response:	Hinata, relax!
context: I'm sorry.\Don't mind.\But...\The shrimp's on the back line!\We're counting on you.\Right.\If they miss here, Seijoh will have the advantage at 20 points.\Hinata, relax! response:	Right!
context: Don't mind.\But...\The shrimp's on the back line!\We're counting on you.\Right.\If they miss here, Seijoh will have the advantage at 20 points.\Hinata, relax!\Right! response:	If they take the momentum, we won't be able to catch up.
context: But...\The shrimp's on the back line!\We're counting on you.\Right.\If they miss here, Seijoh will have the advantage at 20 points.\Hinata, relax!\Right!\If they take the momentum, we won't be able to catch up. response:	Hey, Shimada, look at that.
context: The shrimp's on the back line!\We're counting on you.\Right.\If they miss here, Seijoh will have the advantage at 20 points.\Hinata, relax!\Right!\If they take the momentum, we won't be able to catch up.\Hey, Shimada, look at that. response:	T-Tadashi's the pinch server?!
context: We're counting on you.\Right.\If they miss here, Seijoh will have the advantage at 20 points.\Hinata, relax!\Right!\If they take the momentum, we won't be able to catch up.\Hey, Shimada, look at that.\T-Tadashi's the pinch server?! response:	What is Keishin thinking?! He's an idiot!
context: Right.\If they miss here, Seijoh will have the advantage at 20 points.\Hinata, relax!\Right!\If they take the momentum, we won't be able to catch up.\Hey, Shimada, look at that.\T-Tadashi's the pinch server?!\What is Keishin thinking?! He's an idiot! response:	I told him that it's still mostly pure luck!
context: If they miss here, Seijoh will have the advantage at 20 points.\Hinata, relax!\Right!\If they take the momentum, we won't be able to catch up.\Hey, Shimada, look at that.\T-Tadashi's the pinch server?!\What is Keishin thinking?! He's an idiot!\I told him that it's still mostly pure luck! response:	I think he wants even that pure luck.
context: Hinata, relax!\Right!\If they take the momentum, we won't be able to catch up.\Hey, Shimada, look at that.\T-Tadashi's the pinch server?!\What is Keishin thinking?! He's an idiot!\I told him that it's still mostly pure luck!\I think he wants even that pure luck. response:	You don't know what's going to change the momentum.
context: Right!\If they take the momentum, we won't be able to catch up.\Hey, Shimada, look at that.\T-Tadashi's the pinch server?!\What is Keishin thinking?! He's an idiot!\I told him that it's still mostly pure luck!\I think he wants even that pure luck.\You don't know what's going to change the momentum. response:	Karasuno's got a pinch server?
context: If they take the momentum, we won't be able to catch up.\Hey, Shimada, look at that.\T-Tadashi's the pinch server?!\What is Keishin thinking?! He's an idiot!\I told him that it's still mostly pure luck!\I think he wants even that pure luck.\You don't know what's going to change the momentum.\Karasuno's got a pinch server? response:	Are they good at serves?
context: Hey, Shimada, look at that.\T-Tadashi's the pinch server?!\What is Keishin thinking?! He's an idiot!\I told him that it's still mostly pure luck!\I think he wants even that pure luck.\You don't know what's going to change the momentum.\Karasuno's got a pinch server?\Are they good at serves? response:	Or are they just simply trying to change the atmosphere?
context: T-Tadashi's the pinch server?!\What is Keishin thinking?! He's an idiot!\I told him that it's still mostly pure luck!\I think he wants even that pure luck.\You don't know what's going to change the momentum.\Karasuno's got a pinch server?\Are they good at serves?\Or are they just simply trying to change the atmosphere? response:	Either way, we're not giving you this flow.
context: What is Keishin thinking?! He's an idiot!\I told him that it's still mostly pure luck!\I think he wants even that pure luck.\You don't know what's going to change the momentum.\Karasuno's got a pinch server?\Are they good at serves?\Or are they just simply trying to change the atmosphere?\Either way, we're not giving you this flow. response:	Yamaguchi, nice serve!
context: I told him that it's still mostly pure luck!\I think he wants even that pure luck.\You don't know what's going to change the momentum.\Karasuno's got a pinch server?\Are they good at serves?\Or are they just simply trying to change the atmosphere?\Either way, we're not giving you this flow.\Yamaguchi, nice serve! response:	But I'm not gonna lose!
context: I think he wants even that pure luck.\You don't know what's going to change the momentum.\Karasuno's got a pinch server?\Are they good at serves?\Or are they just simply trying to change the atmosphere?\Either way, we're not giving you this flow.\Yamaguchi, nice serve!\But I'm not gonna lose! response:	He doesn't want to be pulled out, even for a moment.
context: You don't know what's going to change the momentum.\Karasuno's got a pinch server?\Are they good at serves?\Or are they just simply trying to change the atmosphere?\Either way, we're not giving you this flow.\Yamaguchi, nice serve!\But I'm not gonna lose!\He doesn't want to be pulled out, even for a moment. response:	Yamaguchi.
context: Karasuno's got a pinch server?\Are they good at serves?\Or are they just simply trying to change the atmosphere?\Either way, we're not giving you this flow.\Yamaguchi, nice serve!\But I'm not gonna lose!\He doesn't want to be pulled out, even for a moment.\Yamaguchi. response:	Go and change the momentum.
context: Are they good at serves?\Or are they just simply trying to change the atmosphere?\Either way, we're not giving you this flow.\Yamaguchi, nice serve!\But I'm not gonna lose!\He doesn't want to be pulled out, even for a moment.\Yamaguchi.\Go and change the momentum. response:	R-Right!
context: Or are they just simply trying to change the atmosphere?\Either way, we're not giving you this flow.\Yamaguchi, nice serve!\But I'm not gonna lose!\He doesn't want to be pulled out, even for a moment.\Yamaguchi.\Go and change the momentum.\R-Right! response:	This line...
context: Either way, we're not giving you this flow.\Yamaguchi, nice serve!\But I'm not gonna lose!\He doesn't want to be pulled out, even for a moment.\Yamaguchi.\Go and change the momentum.\R-Right!\This line... response:	Everything beyond this line is a different world.
context: Yamaguchi, nice serve!\But I'm not gonna lose!\He doesn't want to be pulled out, even for a moment.\Yamaguchi.\Go and change the momentum.\R-Right!\This line...\Everything beyond this line is a different world. response:	It feels like the temperature on this side... is different.
context: But I'm not gonna lose!\He doesn't want to be pulled out, even for a moment.\Yamaguchi.\Go and change the momentum.\R-Right!\This line...\Everything beyond this line is a different world.\It feels like the temperature on this side... is different. response:	You got a great spot, Yamaguchi!
context: He doesn't want to be pulled out, even for a moment.\Yamaguchi.\Go and change the momentum.\R-Right!\This line...\Everything beyond this line is a different world.\It feels like the temperature on this side... is different.\You got a great spot, Yamaguchi! response:	Right!
context: Yamaguchi.\Go and change the momentum.\R-Right!\This line...\Everything beyond this line is a different world.\It feels like the temperature on this side... is different.\You got a great spot, Yamaguchi!\Right! response:	Blast them one, Yamaguchi!
context: Go and change the momentum.\R-Right!\This line...\Everything beyond this line is a different world.\It feels like the temperature on this side... is different.\You got a great spot, Yamaguchi!\Right!\Blast them one, Yamaguchi! response:	Nice serve!
context: R-Right!\This line...\Everything beyond this line is a different world.\It feels like the temperature on this side... is different.\You got a great spot, Yamaguchi!\Right!\Blast them one, Yamaguchi!\Nice serve! response:	N-Nice serve. Take it easy.
context: This line...\Everything beyond this line is a different world.\It feels like the temperature on this side... is different.\You got a great spot, Yamaguchi!\Right!\Blast them one, Yamaguchi!\Nice serve!\N-Nice serve. Take it easy. response:	Asahi, do you understand the meaning of take it easy?
context: Everything beyond this line is a different world.\It feels like the temperature on this side... is different.\You got a great spot, Yamaguchi!\Right!\Blast them one, Yamaguchi!\Nice serve!\N-Nice serve. Take it easy.\Asahi, do you understand the meaning of take it easy? response:	Anyone would be scared at this timing.
context: It feels like the temperature on this side... is different.\You got a great spot, Yamaguchi!\Right!\Blast them one, Yamaguchi!\Nice serve!\N-Nice serve. Take it easy.\Asahi, do you understand the meaning of take it easy?\Anyone would be scared at this timing. response:	This is his first serve at his first high school match!
context: You got a great spot, Yamaguchi!\Right!\Blast them one, Yamaguchi!\Nice serve!\N-Nice serve. Take it easy.\Asahi, do you understand the meaning of take it easy?\Anyone would be scared at this timing.\This is his first serve at his first high school match! response:	Is the coach a super sadist?!
context: Right!\Blast them one, Yamaguchi!\Nice serve!\N-Nice serve. Take it easy.\Asahi, do you understand the meaning of take it easy?\Anyone would be scared at this timing.\This is his first serve at his first high school match!\Is the coach a super sadist?! response:	I'm nervous, too. Crap, Yamaguchi will feel that.
context: Blast them one, Yamaguchi!\Nice serve!\N-Nice serve. Take it easy.\Asahi, do you understand the meaning of take it easy?\Anyone would be scared at this timing.\This is his first serve at his first high school match!\Is the coach a super sadist?!\I'm nervous, too. Crap, Yamaguchi will feel that. response:	Stay calm...
context: Nice serve!\N-Nice serve. Take it easy.\Asahi, do you understand the meaning of take it easy?\Anyone would be scared at this timing.\This is his first serve at his first high school match!\Is the coach a super sadist?!\I'm nervous, too. Crap, Yamaguchi will feel that.\Stay calm... response:	I think the back of my head is a little safer than if Hinata was serving.
context: N-Nice serve. Take it easy.\Asahi, do you understand the meaning of take it easy?\Anyone would be scared at this timing.\This is his first serve at his first high school match!\Is the coach a super sadist?!\I'm nervous, too. Crap, Yamaguchi will feel that.\Stay calm...\I think the back of my head is a little safer than if Hinata was serving. response:	Is that all right?
context: Asahi, do you understand the meaning of take it easy?\Anyone would be scared at this timing.\This is his first serve at his first high school match!\Is the coach a super sadist?!\I'm nervous, too. Crap, Yamaguchi will feel that.\Stay calm...\I think the back of my head is a little safer than if Hinata was serving.\Is that all right? response:	He already has enough reason to be nervous,
context: Anyone would be scared at this timing.\This is his first serve at his first high school match!\Is the coach a super sadist?!\I'm nervous, too. Crap, Yamaguchi will feel that.\Stay calm...\I think the back of my head is a little safer than if Hinata was serving.\Is that all right?\He already has enough reason to be nervous, response:	but won't there be more pressure from playing with his seniors?
context: This is his first serve at his first high school match!\Is the coach a super sadist?!\I'm nervous, too. Crap, Yamaguchi will feel that.\Stay calm...\I think the back of my head is a little safer than if Hinata was serving.\Is that all right?\He already has enough reason to be nervous,\but won't there be more pressure from playing with his seniors? response:	Oh, right.
context: Is the coach a super sadist?!\I'm nervous, too. Crap, Yamaguchi will feel that.\Stay calm...\I think the back of my head is a little safer than if Hinata was serving.\Is that all right?\He already has enough reason to be nervous,\but won't there be more pressure from playing with his seniors?\Oh, right. response:	Hey, Yamaguchi!
context: I'm nervous, too. Crap, Yamaguchi will feel that.\Stay calm...\I think the back of my head is a little safer than if Hinata was serving.\Is that all right?\He already has enough reason to be nervous,\but won't there be more pressure from playing with his seniors?\Oh, right.\Hey, Yamaguchi! response:	Hit a nice serve!
context: Stay calm...\I think the back of my head is a little safer than if Hinata was serving.\Is that all right?\He already has enough reason to be nervous,\but won't there be more pressure from playing with his seniors?\Oh, right.\Hey, Yamaguchi!\Hit a nice serve! response:	Aoba Johsai Karasuno
context: I think the back of my head is a little safer than if Hinata was serving.\Is that all right?\He already has enough reason to be nervous,\but won't there be more pressure from playing with his seniors?\Oh, right.\Hey, Yamaguchi!\Hit a nice serve!\Aoba Johsai Karasuno response:	Dang... He's so stiff.
context: Is that all right?\He already has enough reason to be nervous,\but won't there be more pressure from playing with his seniors?\Oh, right.\Hey, Yamaguchi!\Hit a nice serve!\Aoba Johsai Karasuno\Dang... He's so stiff. response:	It can't be helped.
context: He already has enough reason to be nervous,\but won't there be more pressure from playing with his seniors?\Oh, right.\Hey, Yamaguchi!\Hit a nice serve!\Aoba Johsai Karasuno\Dang... He's so stiff.\It can't be helped. response:	Relying on your team is most of volleyball.
context: but won't there be more pressure from playing with his seniors?\Oh, right.\Hey, Yamaguchi!\Hit a nice serve!\Aoba Johsai Karasuno\Dang... He's so stiff.\It can't be helped.\Relying on your team is most of volleyball. response:	Serving is the only time you're alone.
context: Oh, right.\Hey, Yamaguchi!\Hit a nice serve!\Aoba Johsai Karasuno\Dang... He's so stiff.\It can't be helped.\Relying on your team is most of volleyball.\Serving is the only time you're alone. response:	Everyone will be looking at you,
context: Hey, Yamaguchi!\Hit a nice serve!\Aoba Johsai Karasuno\Dang... He's so stiff.\It can't be helped.\Relying on your team is most of volleyball.\Serving is the only time you're alone.\Everyone will be looking at you, response:	and you've got all the pressure.
context: Hit a nice serve!\Aoba Johsai Karasuno\Dang... He's so stiff.\It can't be helped.\Relying on your team is most of volleyball.\Serving is the only time you're alone.\Everyone will be looking at you,\and you've got all the pressure. response:	I'm scared... but...
context: Aoba Johsai Karasuno\Dang... He's so stiff.\It can't be helped.\Relying on your team is most of volleyball.\Serving is the only time you're alone.\Everyone will be looking at you,\and you've got all the pressure.\I'm scared... but... response:	But when you're standing in the serve position, you're the center of attention,
context: Dang... He's so stiff.\It can't be helped.\Relying on your team is most of volleyball.\Serving is the only time you're alone.\Everyone will be looking at you,\and you've got all the pressure.\I'm scared... but...\But when you're standing in the serve position, you're the center of attention, response:	no matter who you are.
context: It can't be helped.\Relying on your team is most of volleyball.\Serving is the only time you're alone.\Everyone will be looking at you,\and you've got all the pressure.\I'm scared... but...\But when you're standing in the serve position, you're the center of attention,\no matter who you are. response:	Show them...
context: Relying on your team is most of volleyball.\Serving is the only time you're alone.\Everyone will be looking at you,\and you've got all the pressure.\I'm scared... but...\But when you're standing in the serve position, you're the center of attention,\no matter who you are.\Show them... response:	That you can fight, too!
context: Serving is the only time you're alone.\Everyone will be looking at you,\and you've got all the pressure.\I'm scared... but...\But when you're standing in the serve position, you're the center of attention,\no matter who you are.\Show them...\That you can fight, too! response:	Jump floater?!
context: Everyone will be looking at you,\and you've got all the pressure.\I'm scared... but...\But when you're standing in the serve position, you're the center of attention,\no matter who you are.\Show them...\That you can fight, too!\Jump floater?! response:	Go in!
context: and you've got all the pressure.\I'm scared... but...\But when you're standing in the serve position, you're the center of attention,\no matter who you are.\Show them...\That you can fight, too!\Jump floater?!\Go in! response:	Rule the Court
context: I'm scared... but...\But when you're standing in the serve position, you're the center of attention,\no matter who you are.\Show them...\That you can fight, too!\Jump floater?!\Go in!\Rule the Court response:	Aoba Johsai Karasuno
context: But when you're standing in the serve position, you're the center of attention,\no matter who you are.\Show them...\That you can fight, too!\Jump floater?!\Go in!\Rule the Court\Aoba Johsai Karasuno response:	Go, go, Seijoh! Push it, push it, Seijoh!
context: no matter who you are.\Show them...\That you can fight, too!\Jump floater?!\Go in!\Rule the Court\Aoba Johsai Karasuno\Go, go, Seijoh! Push it, push it, Seijoh! response:	All right. Lucky!
context: Show them...\That you can fight, too!\Jump floater?!\Go in!\Rule the Court\Aoba Johsai Karasuno\Go, go, Seijoh! Push it, push it, Seijoh!\All right. Lucky! response:	I-I'm sorry...
context: That you can fight, too!\Jump floater?!\Go in!\Rule the Court\Aoba Johsai Karasuno\Go, go, Seijoh! Push it, push it, Seijoh!\All right. Lucky!\I-I'm sorry... response:	Don't mind!
context: Jump floater?!\Go in!\Rule the Court\Aoba Johsai Karasuno\Go, go, Seijoh! Push it, push it, Seijoh!\All right. Lucky!\I-I'm sorry...\Don't mind! response:	D-Don't worry about it.
context: Go in!\Rule the Court\Aoba Johsai Karasuno\Go, go, Seijoh! Push it, push it, Seijoh!\All right. Lucky!\I-I'm sorry...\Don't mind!\D-Don't worry about it. response:	Don't mind!
context: Rule the Court\Aoba Johsai Karasuno\Go, go, Seijoh! Push it, push it, Seijoh!\All right. Lucky!\I-I'm sorry...\Don't mind!\D-Don't worry about it.\Don't mind! response:	I'm sorry...
context: Aoba Johsai Karasuno\Go, go, Seijoh! Push it, push it, Seijoh!\All right. Lucky!\I-I'm sorry...\Don't mind!\D-Don't worry about it.\Don't mind!\I'm sorry... response:	Nope.
context: Go, go, Seijoh! Push it, push it, Seijoh!\All right. Lucky!\I-I'm sorry...\Don't mind!\D-Don't worry about it.\Don't mind!\I'm sorry...\Nope. response:	Don't mind, Yamaguchi-kun.
context: All right. Lucky!\I-I'm sorry...\Don't mind!\D-Don't worry about it.\Don't mind!\I'm sorry...\Nope.\Don't mind, Yamaguchi-kun. response:	Don't worry about it. Shake it off.
context: I-I'm sorry...\Don't mind!\D-Don't worry about it.\Don't mind!\I'm sorry...\Nope.\Don't mind, Yamaguchi-kun.\Don't worry about it. Shake it off. response:	Yamaguchi!
context: Don't mind!\D-Don't worry about it.\Don't mind!\I'm sorry...\Nope.\Don't mind, Yamaguchi-kun.\Don't worry about it. Shake it off.\Yamaguchi! response:	S-Sorry!
context: D-Don't worry about it.\Don't mind!\I'm sorry...\Nope.\Don't mind, Yamaguchi-kun.\Don't worry about it. Shake it off.\Yamaguchi!\S-Sorry! response:	Make sure you make it next time.
context: Don't mind!\I'm sorry...\Nope.\Don't mind, Yamaguchi-kun.\Don't worry about it. Shake it off.\Yamaguchi!\S-Sorry!\Make sure you make it next time. response:	Next...
context: I'm sorry...\Nope.\Don't mind, Yamaguchi-kun.\Don't worry about it. Shake it off.\Yamaguchi!\S-Sorry!\Make sure you make it next time.\Next... response:	Right!
context: Nope.\Don't mind, Yamaguchi-kun.\Don't worry about it. Shake it off.\Yamaguchi!\S-Sorry!\Make sure you make it next time.\Next...\Right! response:	Karasuno's mood changed?
context: Don't mind, Yamaguchi-kun.\Don't worry about it. Shake it off.\Yamaguchi!\S-Sorry!\Make sure you make it next time.\Next...\Right!\Karasuno's mood changed? response:	The captain's amazing. I'm still no match for him.
context: Don't worry about it. Shake it off.\Yamaguchi!\S-Sorry!\Make sure you make it next time.\Next...\Right!\Karasuno's mood changed?\The captain's amazing. I'm still no match for him. response:	Man, but I feel relieved, like most of the pressure's gone.
context: Yamaguchi!\S-Sorry!\Make sure you make it next time.\Next...\Right!\Karasuno's mood changed?\The captain's amazing. I'm still no match for him.\Man, but I feel relieved, like most of the pressure's gone. response:	Same here.
context: S-Sorry!\Make sure you make it next time.\Next...\Right!\Karasuno's mood changed?\The captain's amazing. I'm still no match for him.\Man, but I feel relieved, like most of the pressure's gone.\Same here. response:	Eh? So he got brought out here because of a pinch,
context: Make sure you make it next time.\Next...\Right!\Karasuno's mood changed?\The captain's amazing. I'm still no match for him.\Man, but I feel relieved, like most of the pressure's gone.\Same here.\Eh? So he got brought out here because of a pinch, response:	but if he fails, he'll be pulled out?
context: Next...\Right!\Karasuno's mood changed?\The captain's amazing. I'm still no match for him.\Man, but I feel relieved, like most of the pressure's gone.\Same here.\Eh? So he got brought out here because of a pinch,\but if he fails, he'll be pulled out? response:	That's sort of sad.
context: Right!\Karasuno's mood changed?\The captain's amazing. I'm still no match for him.\Man, but I feel relieved, like most of the pressure's gone.\Same here.\Eh? So he got brought out here because of a pinch,\but if he fails, he'll be pulled out?\That's sort of sad. response:	That's the job of a pinch server.
context: Karasuno's mood changed?\The captain's amazing. I'm still no match for him.\Man, but I feel relieved, like most of the pressure's gone.\Same here.\Eh? So he got brought out here because of a pinch,\but if he fails, he'll be pulled out?\That's sort of sad.\That's the job of a pinch server. response:	That one shot
context: The captain's amazing. I'm still no match for him.\Man, but I feel relieved, like most of the pressure's gone.\Same here.\Eh? So he got brought out here because of a pinch,\but if he fails, he'll be pulled out?\That's sort of sad.\That's the job of a pinch server.\That one shot response:	has both the game's momentum and their pride riding on it.
context: Man, but I feel relieved, like most of the pressure's gone.\Same here.\Eh? So he got brought out here because of a pinch,\but if he fails, he'll be pulled out?\That's sort of sad.\That's the job of a pinch server.\That one shot\has both the game's momentum and their pride riding on it. response:	And Tadashi messed up.
context: Same here.\Eh? So he got brought out here because of a pinch,\but if he fails, he'll be pulled out?\That's sort of sad.\That's the job of a pinch server.\That one shot\has both the game's momentum and their pride riding on it.\And Tadashi messed up. response:	But this chance to feel this regret and his own helplessness
context: Eh? So he got brought out here because of a pinch,\but if he fails, he'll be pulled out?\That's sort of sad.\That's the job of a pinch server.\That one shot\has both the game's momentum and their pride riding on it.\And Tadashi messed up.\But this chance to feel this regret and his own helplessness response:	will definitely make him stronger.
context: but if he fails, he'll be pulled out?\That's sort of sad.\That's the job of a pinch server.\That one shot\has both the game's momentum and their pride riding on it.\And Tadashi messed up.\But this chance to feel this regret and his own helplessness\will definitely make him stronger. response:	Did the black team cheer up of a sudden?
context: That's sort of sad.\That's the job of a pinch server.\That one shot\has both the game's momentum and their pride riding on it.\And Tadashi messed up.\But this chance to feel this regret and his own helplessness\will definitely make him stronger.\Did the black team cheer up of a sudden? response:	It's just like Tattsun says...
context: That's the job of a pinch server.\That one shot\has both the game's momentum and their pride riding on it.\And Tadashi messed up.\But this chance to feel this regret and his own helplessness\will definitely make him stronger.\Did the black team cheer up of a sudden?\It's just like Tattsun says... response:	You don't know
context: That one shot\has both the game's momentum and their pride riding on it.\And Tadashi messed up.\But this chance to feel this regret and his own helplessness\will definitely make him stronger.\Did the black team cheer up of a sudden?\It's just like Tattsun says...\You don't know response:	what's going to change the momentum.
context: has both the game's momentum and their pride riding on it.\And Tadashi messed up.\But this chance to feel this regret and his own helplessness\will definitely make him stronger.\Did the black team cheer up of a sudden?\It's just like Tattsun says...\You don't know\what's going to change the momentum. response:	Next...
context: And Tadashi messed up.\But this chance to feel this regret and his own helplessness\will definitely make him stronger.\Did the black team cheer up of a sudden?\It's just like Tattsun says...\You don't know\what's going to change the momentum.\Next... response:	The chance to fight next...
context: But this chance to feel this regret and his own helplessness\will definitely make him stronger.\Did the black team cheer up of a sudden?\It's just like Tattsun says...\You don't know\what's going to change the momentum.\Next...\The chance to fight next... response:	Grab it!
context: will definitely make him stronger.\Did the black team cheer up of a sudden?\It's just like Tattsun says...\You don't know\what's going to change the momentum.\Next...\The chance to fight next...\Grab it! response:	Daichi-san, nice receive!
context: Did the black team cheer up of a sudden?\It's just like Tattsun says...\You don't know\what's going to change the momentum.\Next...\The chance to fight next...\Grab it!\Daichi-san, nice receive! response:	All right. Don't let them break the streak!
context: It's just like Tattsun says...\You don't know\what's going to change the momentum.\Next...\The chance to fight next...\Grab it!\Daichi-san, nice receive!\All right. Don't let them break the streak! response:	Though it looks so close, Seijoh's back is so far.
context: You don't know\what's going to change the momentum.\Next...\The chance to fight next...\Grab it!\Daichi-san, nice receive!\All right. Don't let them break the streak!\Though it looks so close, Seijoh's back is so far. response:	If they can't get any points now, Karasuno will just have to wait and lose.
context: what's going to change the momentum.\Next...\The chance to fight next...\Grab it!\Daichi-san, nice receive!\All right. Don't let them break the streak!\Though it looks so close, Seijoh's back is so far.\If they can't get any points now, Karasuno will just have to wait and lose. response:	Cover! Cover!
context: Next...\The chance to fight next...\Grab it!\Daichi-san, nice receive!\All right. Don't let them break the streak!\Though it looks so close, Seijoh's back is so far.\If they can't get any points now, Karasuno will just have to wait and lose.\Cover! Cover! response:	Is he spiking from lower because he's tired?
context: The chance to fight next...\Grab it!\Daichi-san, nice receive!\All right. Don't let them break the streak!\Though it looks so close, Seijoh's back is so far.\If they can't get any points now, Karasuno will just have to wait and lose.\Cover! Cover!\Is he spiking from lower because he's tired? response:	Kunimi-chan!
context: Grab it!\Daichi-san, nice receive!\All right. Don't let them break the streak!\Though it looks so close, Seijoh's back is so far.\If they can't get any points now, Karasuno will just have to wait and lose.\Cover! Cover!\Is he spiking from lower because he's tired?\Kunimi-chan! response:	They're so high-level...
context: Daichi-san, nice receive!\All right. Don't let them break the streak!\Though it looks so close, Seijoh's back is so far.\If they can't get any points now, Karasuno will just have to wait and lose.\Cover! Cover!\Is he spiking from lower because he's tired?\Kunimi-chan!\They're so high-level... response:	Nice cover!
context: All right. Don't let them break the streak!\Though it looks so close, Seijoh's back is so far.\If they can't get any points now, Karasuno will just have to wait and lose.\Cover! Cover!\Is he spiking from lower because he's tired?\Kunimi-chan!\They're so high-level...\Nice cover! response:	This is the third game?
context: Though it looks so close, Seijoh's back is so far.\If they can't get any points now, Karasuno will just have to wait and lose.\Cover! Cover!\Is he spiking from lower because he's tired?\Kunimi-chan!\They're so high-level...\Nice cover!\This is the third game? response:	It's coming back. Chance ball!
context: If they can't get any points now, Karasuno will just have to wait and lose.\Cover! Cover!\Is he spiking from lower because he's tired?\Kunimi-chan!\They're so high-level...\Nice cover!\This is the third game?\It's coming back. Chance ball! response:	Out, huh?
context: Cover! Cover!\Is he spiking from lower because he's tired?\Kunimi-chan!\They're so high-level...\Nice cover!\This is the third game?\It's coming back. Chance ball!\Out, huh? response:	I'm sorry!
context: Is he spiking from lower because he's tired?\Kunimi-chan!\They're so high-level...\Nice cover!\This is the third game?\It's coming back. Chance ball!\Out, huh?\I'm sorry! response:	Aoba Johsai Karasuno
context: Kunimi-chan!\They're so high-level...\Nice cover!\This is the third game?\It's coming back. Chance ball!\Out, huh?\I'm sorry!\Aoba Johsai Karasuno response:	All right!
context: They're so high-level...\Nice cover!\This is the third game?\It's coming back. Chance ball!\Out, huh?\I'm sorry!\Aoba Johsai Karasuno\All right! response:	Come on... break! Break!
context: Nice cover!\This is the third game?\It's coming back. Chance ball!\Out, huh?\I'm sorry!\Aoba Johsai Karasuno\All right!\Come on... break! Break! response:	Out!
context: This is the third game?\It's coming back. Chance ball!\Out, huh?\I'm sorry!\Aoba Johsai Karasuno\All right!\Come on... break! Break!\Out! response:	Nice call!
context: It's coming back. Chance ball!\Out, huh?\I'm sorry!\Aoba Johsai Karasuno\All right!\Come on... break! Break!\Out!\Nice call! response:	Aoba Johsai Karasuno
context: Out, huh?\I'm sorry!\Aoba Johsai Karasuno\All right!\Come on... break! Break!\Out!\Nice call!\Aoba Johsai Karasuno response:	Good! Good!
context: I'm sorry!\Aoba Johsai Karasuno\All right!\Come on... break! Break!\Out!\Nice call!\Aoba Johsai Karasuno\Good! Good! response:	Ryu, last!
context: Aoba Johsai Karasuno\All right!\Come on... break! Break!\Out!\Nice call!\Aoba Johsai Karasuno\Good! Good!\Ryu, last! response:	Get one more point!
