context: As we continued ourjourney in pursuit of Naraku, response:	in a strange turn of events,
context: Inuyasha, don't be so blunt.\Shut your mouth!\If it weren't forme, the monk would be dead meat right now!\And I'm grateful to you.\Will ya listen to her?!\I think it's made her overconfident.\Yes, but I think people like herlive a long time.\Well, I agree about that... but... response:	Say something?
context: Shut your mouth!\If it weren't forme, the monk would be dead meat right now!\And I'm grateful to you.\Will ya listen to her?!\I think it's made her overconfident.\Yes, but I think people like herlive a long time.\Well, I agree about that... but...\Say something? response:	Err... no!
context: If it weren't forme, the monk would be dead meat right now!\And I'm grateful to you.\Will ya listen to her?!\I think it's made her overconfident.\Yes, but I think people like herlive a long time.\Well, I agree about that... but...\Say something?\Err... no! response:	Hey, let's get going.
context: And I'm grateful to you.\Will ya listen to her?!\I think it's made her overconfident.\Yes, but I think people like herlive a long time.\Well, I agree about that... but...\Say something?\Err... no!\Hey, let's get going. response:	If anything comes up, I'll be happy to help.
context: Will ya listen to her?!\I think it's made her overconfident.\Yes, but I think people like herlive a long time.\Well, I agree about that... but...\Say something?\Err... no!\Hey, let's get going.\If anything comes up, I'll be happy to help. response:	Yes, we'll be counting on you!
context: I think it's made her overconfident.\Yes, but I think people like herlive a long time.\Well, I agree about that... but...\Say something?\Err... no!\Hey, let's get going.\If anything comes up, I'll be happy to help.\Yes, we'll be counting on you! response:	Granny, take care!
context: Yes, but I think people like herlive a long time.\Well, I agree about that... but...\Say something?\Err... no!\Hey, let's get going.\If anything comes up, I'll be happy to help.\Yes, we'll be counting on you!\Granny, take care! response:	But what a problem.
context: Well, I agree about that... but...\Say something?\Err... no!\Hey, let's get going.\If anything comes up, I'll be happy to help.\Yes, we'll be counting on you!\Granny, take care!\But what a problem. response:	With Naraku's disappearance,
context: Say something?\Err... no!\Hey, let's get going.\If anything comes up, I'll be happy to help.\Yes, we'll be counting on you!\Granny, take care!\But what a problem.\With Naraku's disappearance, response:	even the demons who were in hiding are now making a move.
context: Err... no!\Hey, let's get going.\If anything comes up, I'll be happy to help.\Yes, we'll be counting on you!\Granny, take care!\But what a problem.\With Naraku's disappearance,\even the demons who were in hiding are now making a move. response:	They're just small-fry demons who were scared of Naraku.
context: Hey, let's get going.\If anything comes up, I'll be happy to help.\Yes, we'll be counting on you!\Granny, take care!\But what a problem.\With Naraku's disappearance,\even the demons who were in hiding are now making a move.\They're just small-fry demons who were scared of Naraku. response:	I can take care of every one of'em.
context: If anything comes up, I'll be happy to help.\Yes, we'll be counting on you!\Granny, take care!\But what a problem.\With Naraku's disappearance,\even the demons who were in hiding are now making a move.\They're just small-fry demons who were scared of Naraku.\I can take care of every one of'em. response:	In any case, this doesn't mean Naraku is gone from this earth.
context: Yes, we'll be counting on you!\Granny, take care!\But what a problem.\With Naraku's disappearance,\even the demons who were in hiding are now making a move.\They're just small-fry demons who were scared of Naraku.\I can take care of every one of'em.\In any case, this doesn't mean Naraku is gone from this earth. response:	I'll find him, without fail!
context: Granny, take care!\But what a problem.\With Naraku's disappearance,\even the demons who were in hiding are now making a move.\They're just small-fry demons who were scared of Naraku.\I can take care of every one of'em.\In any case, this doesn't mean Naraku is gone from this earth.\I'll find him, without fail! response:	Why am I living in this world?
context: But what a problem.\With Naraku's disappearance,\even the demons who were in hiding are now making a move.\They're just small-fry demons who were scared of Naraku.\I can take care of every one of'em.\In any case, this doesn't mean Naraku is gone from this earth.\I'll find him, without fail!\Why am I living in this world? response:	Why do I wander this land?
context: With Naraku's disappearance,\even the demons who were in hiding are now making a move.\They're just small-fry demons who were scared of Naraku.\I can take care of every one of'em.\In any case, this doesn't mean Naraku is gone from this earth.\I'll find him, without fail!\Why am I living in this world?\Why do I wander this land? response:	And where am I going?
context: even the demons who were in hiding are now making a move.\They're just small-fry demons who were scared of Naraku.\I can take care of every one of'em.\In any case, this doesn't mean Naraku is gone from this earth.\I'll find him, without fail!\Why am I living in this world?\Why do I wander this land?\And where am I going? response:	What was it that turned my fate awry?
context: They're just small-fry demons who were scared of Naraku.\I can take care of every one of'em.\In any case, this doesn't mean Naraku is gone from this earth.\I'll find him, without fail!\Why am I living in this world?\Why do I wander this land?\And where am I going?\What was it that turned my fate awry? response:	The time... that I spent with Inuyasha.
context: I can take care of every one of'em.\In any case, this doesn't mean Naraku is gone from this earth.\I'll find him, without fail!\Why am I living in this world?\Why do I wander this land?\And where am I going?\What was it that turned my fate awry?\The time... that I spent with Inuyasha. response:	When I saved Onigumo.
context: In any case, this doesn't mean Naraku is gone from this earth.\I'll find him, without fail!\Why am I living in this world?\Why do I wander this land?\And where am I going?\What was it that turned my fate awry?\The time... that I spent with Inuyasha.\When I saved Onigumo. response:	Next on Inuyasha: Kikyo's Lonely Journey
context: I'll find him, without fail!\Why am I living in this world?\Why do I wander this land?\And where am I going?\What was it that turned my fate awry?\The time... that I spent with Inuyasha.\When I saved Onigumo.\Next on Inuyasha: Kikyo's Lonely Journey response:	Is that Mount Hakurei?
