context: How to contact Luna Nova? response:	What's this now? Have the seeds of love finally sprouted in your withered heart?
context: Um...\That's all we needed. Bye.\Oh?\Did you come to the library to study, Akko?\Is it really so strange to see me here?\Are you doing research on the Words?\That's right, but I can't find any clues at all. Professor Croix,\have you heard of Lyonne? response:	Lyonne...
context: That's all we needed. Bye.\Oh?\Did you come to the library to study, Akko?\Is it really so strange to see me here?\Are you doing research on the Words?\That's right, but I can't find any clues at all. Professor Croix,\have you heard of Lyonne?\Lyonne... response:	That was the sixth Word Chariot found, wasn't it?
context: Oh?\Did you come to the library to study, Akko?\Is it really so strange to see me here?\Are you doing research on the Words?\That's right, but I can't find any clues at all. Professor Croix,\have you heard of Lyonne?\Lyonne...\That was the sixth Word Chariot found, wasn't it? response:	It was!
context: Did you come to the library to study, Akko?\Is it really so strange to see me here?\Are you doing research on the Words?\That's right, but I can't find any clues at all. Professor Croix,\have you heard of Lyonne?\Lyonne...\That was the sixth Word Chariot found, wasn't it?\It was! response:	I've heard that Chariot uncovered it in Wagandea.
context: Is it really so strange to see me here?\Are you doing research on the Words?\That's right, but I can't find any clues at all. Professor Croix,\have you heard of Lyonne?\Lyonne...\That was the sixth Word Chariot found, wasn't it?\It was!\I've heard that Chariot uncovered it in Wagandea. response:	Wagandea?
context: Are you doing research on the Words?\That's right, but I can't find any clues at all. Professor Croix,\have you heard of Lyonne?\Lyonne...\That was the sixth Word Chariot found, wasn't it?\It was!\I've heard that Chariot uncovered it in Wagandea.\Wagandea? response:	This is...
context: That's right, but I can't find any clues at all. Professor Croix,\have you heard of Lyonne?\Lyonne...\That was the sixth Word Chariot found, wasn't it?\It was!\I've heard that Chariot uncovered it in Wagandea.\Wagandea?\This is... response:	The legendary tree, Wagandea.
context: have you heard of Lyonne?\Lyonne...\That was the sixth Word Chariot found, wasn't it?\It was!\I've heard that Chariot uncovered it in Wagandea.\Wagandea?\This is...\The legendary tree, Wagandea. response:	Chariot once climbed its length and learned the sixth Word.
context: Lyonne...\That was the sixth Word Chariot found, wasn't it?\It was!\I've heard that Chariot uncovered it in Wagandea.\Wagandea?\This is...\The legendary tree, Wagandea.\Chariot once climbed its length and learned the sixth Word. response:	Chariot did that...
context: That was the sixth Word Chariot found, wasn't it?\It was!\I've heard that Chariot uncovered it in Wagandea.\Wagandea?\This is...\The legendary tree, Wagandea.\Chariot once climbed its length and learned the sixth Word.\Chariot did that... response:	I want to climb it too.
context: It was!\I've heard that Chariot uncovered it in Wagandea.\Wagandea?\This is...\The legendary tree, Wagandea.\Chariot once climbed its length and learned the sixth Word.\Chariot did that...\I want to climb it too. response:	You can't.
context: I've heard that Chariot uncovered it in Wagandea.\Wagandea?\This is...\The legendary tree, Wagandea.\Chariot once climbed its length and learned the sixth Word.\Chariot did that...\I want to climb it too.\You can't. response:	Why not?!
context: Wagandea?\This is...\The legendary tree, Wagandea.\Chariot once climbed its length and learned the sixth Word.\Chariot did that...\I want to climb it too.\You can't.\Why not?! response:	Chariot climbed that tree, didn't she?
context: This is...\The legendary tree, Wagandea.\Chariot once climbed its length and learned the sixth Word.\Chariot did that...\I want to climb it too.\You can't.\Why not?!\Chariot climbed that tree, didn't she? response:	It's not a good time. Wagandea will soon open its buds and release its pollen.
context: The legendary tree, Wagandea.\Chariot once climbed its length and learned the sixth Word.\Chariot did that...\I want to climb it too.\You can't.\Why not?!\Chariot climbed that tree, didn't she?\It's not a good time. Wagandea will soon open its buds and release its pollen. response:	The pollen contains a potent toxin. If a witch comes into contact with it, she will lose something forever.
context: Chariot once climbed its length and learned the sixth Word.\Chariot did that...\I want to climb it too.\You can't.\Why not?!\Chariot climbed that tree, didn't she?\It's not a good time. Wagandea will soon open its buds and release its pollen.\The pollen contains a potent toxin. If a witch comes into contact with it, she will lose something forever. response:	Lose something forever?
context: Chariot did that...\I want to climb it too.\You can't.\Why not?!\Chariot climbed that tree, didn't she?\It's not a good time. Wagandea will soon open its buds and release its pollen.\The pollen contains a potent toxin. If a witch comes into contact with it, she will lose something forever.\Lose something forever? response:	I knew you would have wanted to go right away if I had told you, so I kept it a secret.
context: I want to climb it too.\You can't.\Why not?!\Chariot climbed that tree, didn't she?\It's not a good time. Wagandea will soon open its buds and release its pollen.\The pollen contains a potent toxin. If a witch comes into contact with it, she will lose something forever.\Lose something forever?\I knew you would have wanted to go right away if I had told you, so I kept it a secret. response:	Who did you hear this from?
context: You can't.\Why not?!\Chariot climbed that tree, didn't she?\It's not a good time. Wagandea will soon open its buds and release its pollen.\The pollen contains a potent toxin. If a witch comes into contact with it, she will lose something forever.\Lose something forever?\I knew you would have wanted to go right away if I had told you, so I kept it a secret.\Who did you hear this from? response:	Professor Croix.
context: Why not?!\Chariot climbed that tree, didn't she?\It's not a good time. Wagandea will soon open its buds and release its pollen.\The pollen contains a potent toxin. If a witch comes into contact with it, she will lose something forever.\Lose something forever?\I knew you would have wanted to go right away if I had told you, so I kept it a secret.\Who did you hear this from?\Professor Croix. response:	From Croix?!
context: Chariot climbed that tree, didn't she?\It's not a good time. Wagandea will soon open its buds and release its pollen.\The pollen contains a potent toxin. If a witch comes into contact with it, she will lose something forever.\Lose something forever?\I knew you would have wanted to go right away if I had told you, so I kept it a secret.\Who did you hear this from?\Professor Croix.\From Croix?! response:	How long will that pollen stick around?
context: It's not a good time. Wagandea will soon open its buds and release its pollen.\The pollen contains a potent toxin. If a witch comes into contact with it, she will lose something forever.\Lose something forever?\I knew you would have wanted to go right away if I had told you, so I kept it a secret.\Who did you hear this from?\Professor Croix.\From Croix?!\How long will that pollen stick around? response:	A few weeks on the shorter end, but it's a few months on the longer.
context: The pollen contains a potent toxin. If a witch comes into contact with it, she will lose something forever.\Lose something forever?\I knew you would have wanted to go right away if I had told you, so I kept it a secret.\Who did you hear this from?\Professor Croix.\From Croix?!\How long will that pollen stick around?\A few weeks on the shorter end, but it's a few months on the longer. response:	In some exceedingly rare cases, it could potentially be around for several years.
context: Lose something forever?\I knew you would have wanted to go right away if I had told you, so I kept it a secret.\Who did you hear this from?\Professor Croix.\From Croix?!\How long will that pollen stick around?\A few weeks on the shorter end, but it's a few months on the longer.\In some exceedingly rare cases, it could potentially be around for several years. response:	That long?!
context: I knew you would have wanted to go right away if I had told you, so I kept it a secret.\Who did you hear this from?\Professor Croix.\From Croix?!\How long will that pollen stick around?\A few weeks on the shorter end, but it's a few months on the longer.\In some exceedingly rare cases, it could potentially be around for several years.\That long?! response:	But those occasions are nearly unheard of, and about a month would be average.
context: Who did you hear this from?\Professor Croix.\From Croix?!\How long will that pollen stick around?\A few weeks on the shorter end, but it's a few months on the longer.\In some exceedingly rare cases, it could potentially be around for several years.\That long?!\But those occasions are nearly unheard of, and about a month would be average. response:	In any case, you should wait.
context: Professor Croix.\From Croix?!\How long will that pollen stick around?\A few weeks on the shorter end, but it's a few months on the longer.\In some exceedingly rare cases, it could potentially be around for several years.\That long?!\But those occasions are nearly unheard of, and about a month would be average.\In any case, you should wait. response:	If I leave right away, couldn't I make it before the pollen is released?
context: From Croix?!\How long will that pollen stick around?\A few weeks on the shorter end, but it's a few months on the longer.\In some exceedingly rare cases, it could potentially be around for several years.\That long?!\But those occasions are nearly unheard of, and about a month would be average.\In any case, you should wait.\If I leave right away, couldn't I make it before the pollen is released? response:	It's too dangerous. It could already happen at any moment.
context: How long will that pollen stick around?\A few weeks on the shorter end, but it's a few months on the longer.\In some exceedingly rare cases, it could potentially be around for several years.\That long?!\But those occasions are nearly unheard of, and about a month would be average.\In any case, you should wait.\If I leave right away, couldn't I make it before the pollen is released?\It's too dangerous. It could already happen at any moment. response:	Please, Professor! At least let me go and check out how it looks!
context: A few weeks on the shorter end, but it's a few months on the longer.\In some exceedingly rare cases, it could potentially be around for several years.\That long?!\But those occasions are nearly unheard of, and about a month would be average.\In any case, you should wait.\If I leave right away, couldn't I make it before the pollen is released?\It's too dangerous. It could already happen at any moment.\Please, Professor! At least let me go and check out how it looks! response:	Akko!
context: In some exceedingly rare cases, it could potentially be around for several years.\That long?!\But those occasions are nearly unheard of, and about a month would be average.\In any case, you should wait.\If I leave right away, couldn't I make it before the pollen is released?\It's too dangerous. It could already happen at any moment.\Please, Professor! At least let me go and check out how it looks!\Akko! response:	Didn't you learn to be patient?
context: That long?!\But those occasions are nearly unheard of, and about a month would be average.\In any case, you should wait.\If I leave right away, couldn't I make it before the pollen is released?\It's too dangerous. It could already happen at any moment.\Please, Professor! At least let me go and check out how it looks!\Akko!\Didn't you learn to be patient? response:	Even if the road is winding, you must work hard at what you can do now.
context: But those occasions are nearly unheard of, and about a month would be average.\In any case, you should wait.\If I leave right away, couldn't I make it before the pollen is released?\It's too dangerous. It could already happen at any moment.\Please, Professor! At least let me go and check out how it looks!\Akko!\Didn't you learn to be patient?\Even if the road is winding, you must work hard at what you can do now. response:	That is the kind of witch you must become.
context: In any case, you should wait.\If I leave right away, couldn't I make it before the pollen is released?\It's too dangerous. It could already happen at any moment.\Please, Professor! At least let me go and check out how it looks!\Akko!\Didn't you learn to be patient?\Even if the road is winding, you must work hard at what you can do now.\That is the kind of witch you must become. response:	I cannot take you to Wagandea until you are a witch worthy of the Words.
context: If I leave right away, couldn't I make it before the pollen is released?\It's too dangerous. It could already happen at any moment.\Please, Professor! At least let me go and check out how it looks!\Akko!\Didn't you learn to be patient?\Even if the road is winding, you must work hard at what you can do now.\That is the kind of witch you must become.\I cannot take you to Wagandea until you are a witch worthy of the Words. response:	Professor Ursula's such a worrywart.
context: It's too dangerous. It could already happen at any moment.\Please, Professor! At least let me go and check out how it looks!\Akko!\Didn't you learn to be patient?\Even if the road is winding, you must work hard at what you can do now.\That is the kind of witch you must become.\I cannot take you to Wagandea until you are a witch worthy of the Words.\Professor Ursula's such a worrywart. response:	She's always so timid and nervous. How am I supposed to take her seriously?
context: Please, Professor! At least let me go and check out how it looks!\Akko!\Didn't you learn to be patient?\Even if the road is winding, you must work hard at what you can do now.\That is the kind of witch you must become.\I cannot take you to Wagandea until you are a witch worthy of the Words.\Professor Ursula's such a worrywart.\She's always so timid and nervous. How am I supposed to take her seriously? response:	Don't say that. She's just worried about you, Akko.
context: Akko!\Didn't you learn to be patient?\Even if the road is winding, you must work hard at what you can do now.\That is the kind of witch you must become.\I cannot take you to Wagandea until you are a witch worthy of the Words.\Professor Ursula's such a worrywart.\She's always so timid and nervous. How am I supposed to take her seriously?\Don't say that. She's just worried about you, Akko. response:	Besides, I agree that you shouldn't rush ahead into danger.
context: Didn't you learn to be patient?\Even if the road is winding, you must work hard at what you can do now.\That is the kind of witch you must become.\I cannot take you to Wagandea until you are a witch worthy of the Words.\Professor Ursula's such a worrywart.\She's always so timid and nervous. How am I supposed to take her seriously?\Don't say that. She's just worried about you, Akko.\Besides, I agree that you shouldn't rush ahead into danger. response:	But in the worst case scenario, I'll have to wait years to go! That's way too long!
context: Even if the road is winding, you must work hard at what you can do now.\That is the kind of witch you must become.\I cannot take you to Wagandea until you are a witch worthy of the Words.\Professor Ursula's such a worrywart.\She's always so timid and nervous. How am I supposed to take her seriously?\Don't say that. She's just worried about you, Akko.\Besides, I agree that you shouldn't rush ahead into danger.\But in the worst case scenario, I'll have to wait years to go! That's way too long! response:	But doesn't that hardly ever happen?
context: That is the kind of witch you must become.\I cannot take you to Wagandea until you are a witch worthy of the Words.\Professor Ursula's such a worrywart.\She's always so timid and nervous. How am I supposed to take her seriously?\Don't say that. She's just worried about you, Akko.\Besides, I agree that you shouldn't rush ahead into danger.\But in the worst case scenario, I'll have to wait years to go! That's way too long!\But doesn't that hardly ever happen? response:	Don't you know how strong my luck is?
context: I cannot take you to Wagandea until you are a witch worthy of the Words.\Professor Ursula's such a worrywart.\She's always so timid and nervous. How am I supposed to take her seriously?\Don't say that. She's just worried about you, Akko.\Besides, I agree that you shouldn't rush ahead into danger.\But in the worst case scenario, I'll have to wait years to go! That's way too long!\But doesn't that hardly ever happen?\Don't you know how strong my luck is? response:	I'm guaranteed to always pick the short straw!
context: Professor Ursula's such a worrywart.\She's always so timid and nervous. How am I supposed to take her seriously?\Don't say that. She's just worried about you, Akko.\Besides, I agree that you shouldn't rush ahead into danger.\But in the worst case scenario, I'll have to wait years to go! That's way too long!\But doesn't that hardly ever happen?\Don't you know how strong my luck is?\I'm guaranteed to always pick the short straw! response:	Not sure you should be proud about that.
context: She's always so timid and nervous. How am I supposed to take her seriously?\Don't say that. She's just worried about you, Akko.\Besides, I agree that you shouldn't rush ahead into danger.\But in the worst case scenario, I'll have to wait years to go! That's way too long!\But doesn't that hardly ever happen?\Don't you know how strong my luck is?\I'm guaranteed to always pick the short straw!\Not sure you should be proud about that. response:	It's better to regret something you have done than something you haven't.
context: Don't say that. She's just worried about you, Akko.\Besides, I agree that you shouldn't rush ahead into danger.\But in the worst case scenario, I'll have to wait years to go! That's way too long!\But doesn't that hardly ever happen?\Don't you know how strong my luck is?\I'm guaranteed to always pick the short straw!\Not sure you should be proud about that.\It's better to regret something you have done than something you haven't. response:	Sometimes, you just need to be brave and step up!
context: Besides, I agree that you shouldn't rush ahead into danger.\But in the worst case scenario, I'll have to wait years to go! That's way too long!\But doesn't that hardly ever happen?\Don't you know how strong my luck is?\I'm guaranteed to always pick the short straw!\Not sure you should be proud about that.\It's better to regret something you have done than something you haven't.\Sometimes, you just need to be brave and step up! response:	There's a fine line between bravery and recklessness.
context: But in the worst case scenario, I'll have to wait years to go! That's way too long!\But doesn't that hardly ever happen?\Don't you know how strong my luck is?\I'm guaranteed to always pick the short straw!\Not sure you should be proud about that.\It's better to regret something you have done than something you haven't.\Sometimes, you just need to be brave and step up!\There's a fine line between bravery and recklessness. response:	Witches deluged by Wagandea's pollen lose their ability to use magic
context: But doesn't that hardly ever happen?\Don't you know how strong my luck is?\I'm guaranteed to always pick the short straw!\Not sure you should be proud about that.\It's better to regret something you have done than something you haven't.\Sometimes, you just need to be brave and step up!\There's a fine line between bravery and recklessness.\Witches deluged by Wagandea's pollen lose their ability to use magic response:	as well as the power to ever fly again.
context: Don't you know how strong my luck is?\I'm guaranteed to always pick the short straw!\Not sure you should be proud about that.\It's better to regret something you have done than something you haven't.\Sometimes, you just need to be brave and step up!\There's a fine line between bravery and recklessness.\Witches deluged by Wagandea's pollen lose their ability to use magic\as well as the power to ever fly again. response:	Although your inability to fly remains a mystery to this day,
context: I'm guaranteed to always pick the short straw!\Not sure you should be proud about that.\It's better to regret something you have done than something you haven't.\Sometimes, you just need to be brave and step up!\There's a fine line between bravery and recklessness.\Witches deluged by Wagandea's pollen lose their ability to use magic\as well as the power to ever fly again.\Although your inability to fly remains a mystery to this day, response:	if you continue practicing, you may still learn how to do it eventually.
context: Not sure you should be proud about that.\It's better to regret something you have done than something you haven't.\Sometimes, you just need to be brave and step up!\There's a fine line between bravery and recklessness.\Witches deluged by Wagandea's pollen lose their ability to use magic\as well as the power to ever fly again.\Although your inability to fly remains a mystery to this day,\if you continue practicing, you may still learn how to do it eventually. response:	You don't wish to lose even that possibility, do you?
context: It's better to regret something you have done than something you haven't.\Sometimes, you just need to be brave and step up!\There's a fine line between bravery and recklessness.\Witches deluged by Wagandea's pollen lose their ability to use magic\as well as the power to ever fly again.\Although your inability to fly remains a mystery to this day,\if you continue practicing, you may still learn how to do it eventually.\You don't wish to lose even that possibility, do you? response:	It's in your best interest to heed Professor Ursula's warning.
context: Sometimes, you just need to be brave and step up!\There's a fine line between bravery and recklessness.\Witches deluged by Wagandea's pollen lose their ability to use magic\as well as the power to ever fly again.\Although your inability to fly remains a mystery to this day,\if you continue practicing, you may still learn how to do it eventually.\You don't wish to lose even that possibility, do you?\It's in your best interest to heed Professor Ursula's warning. response:	Her words were as harsh as ever, but I do get the feeling that she was sincerely concerned for you.
context: There's a fine line between bravery and recklessness.\Witches deluged by Wagandea's pollen lose their ability to use magic\as well as the power to ever fly again.\Although your inability to fly remains a mystery to this day,\if you continue practicing, you may still learn how to do it eventually.\You don't wish to lose even that possibility, do you?\It's in your best interest to heed Professor Ursula's warning.\Her words were as harsh as ever, but I do get the feeling that she was sincerely concerned for you. response:	She's gone soft.
context: Witches deluged by Wagandea's pollen lose their ability to use magic\as well as the power to ever fly again.\Although your inability to fly remains a mystery to this day,\if you continue practicing, you may still learn how to do it eventually.\You don't wish to lose even that possibility, do you?\It's in your best interest to heed Professor Ursula's warning.\Her words were as harsh as ever, but I do get the feeling that she was sincerely concerned for you.\She's gone soft. response:	I see.
context: as well as the power to ever fly again.\Although your inability to fly remains a mystery to this day,\if you continue practicing, you may still learn how to do it eventually.\You don't wish to lose even that possibility, do you?\It's in your best interest to heed Professor Ursula's warning.\Her words were as harsh as ever, but I do get the feeling that she was sincerely concerned for you.\She's gone soft.\I see. response:	Is that how Professor Ursula phrased it?
context: Although your inability to fly remains a mystery to this day,\if you continue practicing, you may still learn how to do it eventually.\You don't wish to lose even that possibility, do you?\It's in your best interest to heed Professor Ursula's warning.\Her words were as harsh as ever, but I do get the feeling that she was sincerely concerned for you.\She's gone soft.\I see.\Is that how Professor Ursula phrased it? response:	Yes...
context: if you continue practicing, you may still learn how to do it eventually.\You don't wish to lose even that possibility, do you?\It's in your best interest to heed Professor Ursula's warning.\Her words were as harsh as ever, but I do get the feeling that she was sincerely concerned for you.\She's gone soft.\I see.\Is that how Professor Ursula phrased it?\Yes... response:	You even told me all about the Wagandea tree...
context: You don't wish to lose even that possibility, do you?\It's in your best interest to heed Professor Ursula's warning.\Her words were as harsh as ever, but I do get the feeling that she was sincerely concerned for you.\She's gone soft.\I see.\Is that how Professor Ursula phrased it?\Yes...\You even told me all about the Wagandea tree... response:	But something's fishy.
context: It's in your best interest to heed Professor Ursula's warning.\Her words were as harsh as ever, but I do get the feeling that she was sincerely concerned for you.\She's gone soft.\I see.\Is that how Professor Ursula phrased it?\Yes...\You even told me all about the Wagandea tree...\But something's fishy. response:	The pollen release should still be a ways off.
context: Her words were as harsh as ever, but I do get the feeling that she was sincerely concerned for you.\She's gone soft.\I see.\Is that how Professor Ursula phrased it?\Yes...\You even told me all about the Wagandea tree...\But something's fishy.\The pollen release should still be a ways off. response:	Huh?
context: She's gone soft.\I see.\Is that how Professor Ursula phrased it?\Yes...\You even told me all about the Wagandea tree...\But something's fishy.\The pollen release should still be a ways off.\Huh? response:	Professor Ursula can be a bit of a scatterbrain sometimes, so perhaps she misunderstood something.
context: I see.\Is that how Professor Ursula phrased it?\Yes...\You even told me all about the Wagandea tree...\But something's fishy.\The pollen release should still be a ways off.\Huh?\Professor Ursula can be a bit of a scatterbrain sometimes, so perhaps she misunderstood something. response:	You think so?
context: Is that how Professor Ursula phrased it?\Yes...\You even told me all about the Wagandea tree...\But something's fishy.\The pollen release should still be a ways off.\Huh?\Professor Ursula can be a bit of a scatterbrain sometimes, so perhaps she misunderstood something.\You think so? response:	Seeing is believing.
context: Yes...\You even told me all about the Wagandea tree...\But something's fishy.\The pollen release should still be a ways off.\Huh?\Professor Ursula can be a bit of a scatterbrain sometimes, so perhaps she misunderstood something.\You think so?\Seeing is believing. response:	How about we go see for ourselves?
context: You even told me all about the Wagandea tree...\But something's fishy.\The pollen release should still be a ways off.\Huh?\Professor Ursula can be a bit of a scatterbrain sometimes, so perhaps she misunderstood something.\You think so?\Seeing is believing.\How about we go see for ourselves? response:	Are you serious?
context: But something's fishy.\The pollen release should still be a ways off.\Huh?\Professor Ursula can be a bit of a scatterbrain sometimes, so perhaps she misunderstood something.\You think so?\Seeing is believing.\How about we go see for ourselves?\Are you serious? response:	I'll take you to Wagandea, if you so wish.
context: The pollen release should still be a ways off.\Huh?\Professor Ursula can be a bit of a scatterbrain sometimes, so perhaps she misunderstood something.\You think so?\Seeing is believing.\How about we go see for ourselves?\Are you serious?\I'll take you to Wagandea, if you so wish. response:	What's the matter, Alcor?
context: Huh?\Professor Ursula can be a bit of a scatterbrain sometimes, so perhaps she misunderstood something.\You think so?\Seeing is believing.\How about we go see for ourselves?\Are you serious?\I'll take you to Wagandea, if you so wish.\What's the matter, Alcor? response:	Croix took Akko?!
context: Professor Ursula can be a bit of a scatterbrain sometimes, so perhaps she misunderstood something.\You think so?\Seeing is believing.\How about we go see for ourselves?\Are you serious?\I'll take you to Wagandea, if you so wish.\What's the matter, Alcor?\Croix took Akko?! response:	Say, Akko.
context: You think so?\Seeing is believing.\How about we go see for ourselves?\Are you serious?\I'll take you to Wagandea, if you so wish.\What's the matter, Alcor?\Croix took Akko?!\Say, Akko. response:	Yes?
context: Seeing is believing.\How about we go see for ourselves?\Are you serious?\I'll take you to Wagandea, if you so wish.\What's the matter, Alcor?\Croix took Akko?!\Say, Akko.\Yes? response:	Why are you gathering the Words?
context: How about we go see for ourselves?\Are you serious?\I'll take you to Wagandea, if you so wish.\What's the matter, Alcor?\Croix took Akko?!\Say, Akko.\Yes?\Why are you gathering the Words? response:	Huh?
context: Are you serious?\I'll take you to Wagandea, if you so wish.\What's the matter, Alcor?\Croix took Akko?!\Say, Akko.\Yes?\Why are you gathering the Words?\Huh? response:	Once they are all gathered, the Grand Triskelion will be released.
context: I'll take you to Wagandea, if you so wish.\What's the matter, Alcor?\Croix took Akko?!\Say, Akko.\Yes?\Why are you gathering the Words?\Huh?\Once they are all gathered, the Grand Triskelion will be released. response:	What will you wish for when you obtain the power of world reconstruction magic?
context: What's the matter, Alcor?\Croix took Akko?!\Say, Akko.\Yes?\Why are you gathering the Words?\Huh?\Once they are all gathered, the Grand Triskelion will be released.\What will you wish for when you obtain the power of world reconstruction magic? response:	U-Um, to be honest, I'm not really all that good at thinking about difficult things.
context: Croix took Akko?!\Say, Akko.\Yes?\Why are you gathering the Words?\Huh?\Once they are all gathered, the Grand Triskelion will be released.\What will you wish for when you obtain the power of world reconstruction magic?\U-Um, to be honest, I'm not really all that good at thinking about difficult things. response:	Oh?
context: Say, Akko.\Yes?\Why are you gathering the Words?\Huh?\Once they are all gathered, the Grand Triskelion will be released.\What will you wish for when you obtain the power of world reconstruction magic?\U-Um, to be honest, I'm not really all that good at thinking about difficult things.\Oh? response:	My biggest reason for chasing after the Words is really just to meet Chariot.
context: Yes?\Why are you gathering the Words?\Huh?\Once they are all gathered, the Grand Triskelion will be released.\What will you wish for when you obtain the power of world reconstruction magic?\U-Um, to be honest, I'm not really all that good at thinking about difficult things.\Oh?\My biggest reason for chasing after the Words is really just to meet Chariot. response:	You want to meet Chariot?
context: Why are you gathering the Words?\Huh?\Once they are all gathered, the Grand Triskelion will be released.\What will you wish for when you obtain the power of world reconstruction magic?\U-Um, to be honest, I'm not really all that good at thinking about difficult things.\Oh?\My biggest reason for chasing after the Words is really just to meet Chariot.\You want to meet Chariot? response:	I feel like as long as I keep finding the Words, I'll get to meet her eventually.
context: Huh?\Once they are all gathered, the Grand Triskelion will be released.\What will you wish for when you obtain the power of world reconstruction magic?\U-Um, to be honest, I'm not really all that good at thinking about difficult things.\Oh?\My biggest reason for chasing after the Words is really just to meet Chariot.\You want to meet Chariot?\I feel like as long as I keep finding the Words, I'll get to meet her eventually. response:	You like her that much?
context: Once they are all gathered, the Grand Triskelion will be released.\What will you wish for when you obtain the power of world reconstruction magic?\U-Um, to be honest, I'm not really all that good at thinking about difficult things.\Oh?\My biggest reason for chasing after the Words is really just to meet Chariot.\You want to meet Chariot?\I feel like as long as I keep finding the Words, I'll get to meet her eventually.\You like her that much? response:	Yes! There's so much I want to ask and tell Chariot once I meet her!
context: What will you wish for when you obtain the power of world reconstruction magic?\U-Um, to be honest, I'm not really all that good at thinking about difficult things.\Oh?\My biggest reason for chasing after the Words is really just to meet Chariot.\You want to meet Chariot?\I feel like as long as I keep finding the Words, I'll get to meet her eventually.\You like her that much?\Yes! There's so much I want to ask and tell Chariot once I meet her! response:	And the very first thing I'll do is thank her!
context: U-Um, to be honest, I'm not really all that good at thinking about difficult things.\Oh?\My biggest reason for chasing after the Words is really just to meet Chariot.\You want to meet Chariot?\I feel like as long as I keep finding the Words, I'll get to meet her eventually.\You like her that much?\Yes! There's so much I want to ask and tell Chariot once I meet her!\And the very first thing I'll do is thank her! response:	I see.
context: Oh?\My biggest reason for chasing after the Words is really just to meet Chariot.\You want to meet Chariot?\I feel like as long as I keep finding the Words, I'll get to meet her eventually.\You like her that much?\Yes! There's so much I want to ask and tell Chariot once I meet her!\And the very first thing I'll do is thank her!\I see. response:	Don't worry.
context: My biggest reason for chasing after the Words is really just to meet Chariot.\You want to meet Chariot?\I feel like as long as I keep finding the Words, I'll get to meet her eventually.\You like her that much?\Yes! There's so much I want to ask and tell Chariot once I meet her!\And the very first thing I'll do is thank her!\I see.\Don't worry. response:	I'm sure you'll meet her soon.
context: You want to meet Chariot?\I feel like as long as I keep finding the Words, I'll get to meet her eventually.\You like her that much?\Yes! There's so much I want to ask and tell Chariot once I meet her!\And the very first thing I'll do is thank her!\I see.\Don't worry.\I'm sure you'll meet her soon. response:	Right!
context: I feel like as long as I keep finding the Words, I'll get to meet her eventually.\You like her that much?\Yes! There's so much I want to ask and tell Chariot once I meet her!\And the very first thing I'll do is thank her!\I see.\Don't worry.\I'm sure you'll meet her soon.\Right! response:	For sure...
context: You like her that much?\Yes! There's so much I want to ask and tell Chariot once I meet her!\And the very first thing I'll do is thank her!\I see.\Don't worry.\I'm sure you'll meet her soon.\Right!\For sure... response:	As I expected, we still have time before the buds open.
context: Yes! There's so much I want to ask and tell Chariot once I meet her!\And the very first thing I'll do is thank her!\I see.\Don't worry.\I'm sure you'll meet her soon.\Right!\For sure...\As I expected, we still have time before the buds open. response:	Really?
context: And the very first thing I'll do is thank her!\I see.\Don't worry.\I'm sure you'll meet her soon.\Right!\For sure...\As I expected, we still have time before the buds open.\Really? response:	Yay!
context: I see.\Don't worry.\I'm sure you'll meet her soon.\Right!\For sure...\As I expected, we still have time before the buds open.\Really?\Yay! response:	But that makes it all the stranger.
context: Don't worry.\I'm sure you'll meet her soon.\Right!\For sure...\As I expected, we still have time before the buds open.\Really?\Yay!\But that makes it all the stranger. response:	Huh?
context: I'm sure you'll meet her soon.\Right!\For sure...\As I expected, we still have time before the buds open.\Really?\Yay!\But that makes it all the stranger.\Huh? response:	Why would Professor Ursula try to stop you without checking it first herself?
context: Right!\For sure...\As I expected, we still have time before the buds open.\Really?\Yay!\But that makes it all the stranger.\Huh?\Why would Professor Ursula try to stop you without checking it first herself? response:	Because...
context: For sure...\As I expected, we still have time before the buds open.\Really?\Yay!\But that makes it all the stranger.\Huh?\Why would Professor Ursula try to stop you without checking it first herself?\Because... response:	Perhaps there was some sort of reason why she wanted to prevent you from climbing it.
context: As I expected, we still have time before the buds open.\Really?\Yay!\But that makes it all the stranger.\Huh?\Why would Professor Ursula try to stop you without checking it first herself?\Because...\Perhaps there was some sort of reason why she wanted to prevent you from climbing it. response:	There are some things about her I'm suspicious of.
context: Really?\Yay!\But that makes it all the stranger.\Huh?\Why would Professor Ursula try to stop you without checking it first herself?\Because...\Perhaps there was some sort of reason why she wanted to prevent you from climbing it.\There are some things about her I'm suspicious of. response:	What do you mean?
context: Yay!\But that makes it all the stranger.\Huh?\Why would Professor Ursula try to stop you without checking it first herself?\Because...\Perhaps there was some sort of reason why she wanted to prevent you from climbing it.\There are some things about her I'm suspicious of.\What do you mean? response:	She says she was classmates with Chariot,
context: But that makes it all the stranger.\Huh?\Why would Professor Ursula try to stop you without checking it first herself?\Because...\Perhaps there was some sort of reason why she wanted to prevent you from climbing it.\There are some things about her I'm suspicious of.\What do you mean?\She says she was classmates with Chariot, response:	but I have no recollection of a student named Ursula.
context: Huh?\Why would Professor Ursula try to stop you without checking it first herself?\Because...\Perhaps there was some sort of reason why she wanted to prevent you from climbing it.\There are some things about her I'm suspicious of.\What do you mean?\She says she was classmates with Chariot,\but I have no recollection of a student named Ursula. response:	I-It must be because she didn't leave much of an impression! Not everyone can stand out like Chariot.
