context: I'm Kagome Higurashi. response:	Born into an old and respected family of shrine keepers,
context: Hojo...\I'm home.\I couldn't borrow any notes.\Sis, take a look!\Huh?\What's the matter?\A strange-looking youth in a red outfit\captured a bank robber. response:	What's this story about?
context: I'm home.\I couldn't borrow any notes.\Sis, take a look!\Huh?\What's the matter?\A strange-looking youth in a red outfit\captured a bank robber.\What's this story about? response:	On top of that,
context: I couldn't borrow any notes.\Sis, take a look!\Huh?\What's the matter?\A strange-looking youth in a red outfit\captured a bank robber.\What's this story about?\On top of that, response:	this youth rescued a child trapped in a fire.
context: Sis, take a look!\Huh?\What's the matter?\A strange-looking youth in a red outfit\captured a bank robber.\What's this story about?\On top of that,\this youth rescued a child trapped in a fire. response:	Inuyasha, you're so cool!
context: Huh?\What's the matter?\A strange-looking youth in a red outfit\captured a bank robber.\What's this story about?\On top of that,\this youth rescued a child trapped in a fire.\Inuyasha, you're so cool! response:	Here is a drawing of his likeness done by the rescued child.
context: What's the matter?\A strange-looking youth in a red outfit\captured a bank robber.\What's this story about?\On top of that,\this youth rescued a child trapped in a fire.\Inuyasha, you're so cool!\Here is a drawing of his likeness done by the rescued child. response:	Hey, that's the cap I was wearing!
context: A strange-looking youth in a red outfit\captured a bank robber.\What's this story about?\On top of that,\this youth rescued a child trapped in a fire.\Inuyasha, you're so cool!\Here is a drawing of his likeness done by the rescued child.\Hey, that's the cap I was wearing! response:	You're right!
context: captured a bank robber.\What's this story about?\On top of that,\this youth rescued a child trapped in a fire.\Inuyasha, you're so cool!\Here is a drawing of his likeness done by the rescued child.\Hey, that's the cap I was wearing!\You're right! response:	What did you do on the way to school?
context: What's this story about?\On top of that,\this youth rescued a child trapped in a fire.\Inuyasha, you're so cool!\Here is a drawing of his likeness done by the rescued child.\Hey, that's the cap I was wearing!\You're right!\What did you do on the way to school? response:	Say, what's this box?
context: On top of that,\this youth rescued a child trapped in a fire.\Inuyasha, you're so cool!\Here is a drawing of his likeness done by the rescued child.\Hey, that's the cap I was wearing!\You're right!\What did you do on the way to school?\Say, what's this box? response:	Can't you see I'm busy?
context: this youth rescued a child trapped in a fire.\Inuyasha, you're so cool!\Here is a drawing of his likeness done by the rescued child.\Hey, that's the cap I was wearing!\You're right!\What did you do on the way to school?\Say, what's this box?\Can't you see I'm busy? response:	Sit!
context: Inuyasha, you're so cool!\Here is a drawing of his likeness done by the rescued child.\Hey, that's the cap I was wearing!\You're right!\What did you do on the way to school?\Say, what's this box?\Can't you see I'm busy?\Sit! response:	Sota, come here!
context: Here is a drawing of his likeness done by the rescued child.\Hey, that's the cap I was wearing!\You're right!\What did you do on the way to school?\Say, what's this box?\Can't you see I'm busy?\Sit!\Sota, come here! response:	What is it, Sis?
context: Hey, that's the cap I was wearing!\You're right!\What did you do on the way to school?\Say, what's this box?\Can't you see I'm busy?\Sit!\Sota, come here!\What is it, Sis? response:	Keep Inuyasha company.
context: You're right!\What did you do on the way to school?\Say, what's this box?\Can't you see I'm busy?\Sit!\Sota, come here!\What is it, Sis?\Keep Inuyasha company. response:	Sure.
context: What did you do on the way to school?\Say, what's this box?\Can't you see I'm busy?\Sit!\Sota, come here!\What is it, Sis?\Keep Inuyasha company.\Sure. response:	Inuyasha, let's take a bath.
context: Say, what's this box?\Can't you see I'm busy?\Sit!\Sota, come here!\What is it, Sis?\Keep Inuyasha company.\Sure.\Inuyasha, let's take a bath. response:	Thanks!
context: Can't you see I'm busy?\Sit!\Sota, come here!\What is it, Sis?\Keep Inuyasha company.\Sure.\Inuyasha, let's take a bath.\Thanks! response:	Now then.
context: Sit!\Sota, come here!\What is it, Sis?\Keep Inuyasha company.\Sure.\Inuyasha, let's take a bath.\Thanks!\Now then. response:	It's sooo hot! What is this?!
context: Sota, come here!\What is it, Sis?\Keep Inuyasha company.\Sure.\Inuyasha, let's take a bath.\Thanks!\Now then.\It's sooo hot! What is this?! response:	C'mon, you have to rinse off the suds.
context: What is it, Sis?\Keep Inuyasha company.\Sure.\Inuyasha, let's take a bath.\Thanks!\Now then.\It's sooo hot! What is this?!\C'mon, you have to rinse off the suds. response:	Shaddup! Enough!
context: Keep Inuyasha company.\Sure.\Inuyasha, let's take a bath.\Thanks!\Now then.\It's sooo hot! What is this?!\C'mon, you have to rinse off the suds.\Shaddup! Enough! response:	Get out of here!
context: Sure.\Inuyasha, let's take a bath.\Thanks!\Now then.\It's sooo hot! What is this?!\C'mon, you have to rinse off the suds.\Shaddup! Enough!\Get out of here! response:	Go!
context: Inuyasha, let's take a bath.\Thanks!\Now then.\It's sooo hot! What is this?!\C'mon, you have to rinse off the suds.\Shaddup! Enough!\Get out of here!\Go! response:	Hey! Kagome...
context: Thanks!\Now then.\It's sooo hot! What is this?!\C'mon, you have to rinse off the suds.\Shaddup! Enough!\Get out of here!\Go!\Hey! Kagome... response:	Oh no... I've forgotten everything!
context: Now then.\It's sooo hot! What is this?!\C'mon, you have to rinse off the suds.\Shaddup! Enough!\Get out of here!\Go!\Hey! Kagome...\Oh no... I've forgotten everything! response:	Would you like to eat?
context: It's sooo hot! What is this?!\C'mon, you have to rinse off the suds.\Shaddup! Enough!\Get out of here!\Go!\Hey! Kagome...\Oh no... I've forgotten everything!\Would you like to eat? response:	It's quieted down.
context: C'mon, you have to rinse off the suds.\Shaddup! Enough!\Get out of here!\Go!\Hey! Kagome...\Oh no... I've forgotten everything!\Would you like to eat?\It's quieted down. response:	Huh?
context: Shaddup! Enough!\Get out of here!\Go!\Hey! Kagome...\Oh no... I've forgotten everything!\Would you like to eat?\It's quieted down.\Huh? response:	What IS this?!
context: Get out of here!\Go!\Hey! Kagome...\Oh no... I've forgotten everything!\Would you like to eat?\It's quieted down.\Huh?\What IS this?! response:	My tongue is burning!
context: Go!\Hey! Kagome...\Oh no... I've forgotten everything!\Would you like to eat?\It's quieted down.\Huh?\What IS this?!\My tongue is burning! response:	I gave him curry. I guess it was too hot.
context: Hey! Kagome...\Oh no... I've forgotten everything!\Would you like to eat?\It's quieted down.\Huh?\What IS this?!\My tongue is burning!\I gave him curry. I guess it was too hot. response:	This coming from a guy that normally grins and bears a hole in his gut...
context: Oh no... I've forgotten everything!\Would you like to eat?\It's quieted down.\Huh?\What IS this?!\My tongue is burning!\I gave him curry. I guess it was too hot.\This coming from a guy that normally grins and bears a hole in his gut... response:	Say...
context: Would you like to eat?\It's quieted down.\Huh?\What IS this?!\My tongue is burning!\I gave him curry. I guess it was too hot.\This coming from a guy that normally grins and bears a hole in his gut...\Say... response:	What is it? I'm being quiet.
context: It's quieted down.\Huh?\What IS this?!\My tongue is burning!\I gave him curry. I guess it was too hot.\This coming from a guy that normally grins and bears a hole in his gut...\Say...\What is it? I'm being quiet. response:	But it's disconcerting to be stared at.
context: Huh?\What IS this?!\My tongue is burning!\I gave him curry. I guess it was too hot.\This coming from a guy that normally grins and bears a hole in his gut...\Say...\What is it? I'm being quiet.\But it's disconcerting to be stared at. response:	Why don't you lie down?
context: What IS this?!\My tongue is burning!\I gave him curry. I guess it was too hot.\This coming from a guy that normally grins and bears a hole in his gut...\Say...\What is it? I'm being quiet.\But it's disconcerting to be stared at.\Why don't you lie down? response:	As if!
context: My tongue is burning!\I gave him curry. I guess it was too hot.\This coming from a guy that normally grins and bears a hole in his gut...\Say...\What is it? I'm being quiet.\But it's disconcerting to be stared at.\Why don't you lie down?\As if! response:	Hurry up and get back to your studies!
context: I gave him curry. I guess it was too hot.\This coming from a guy that normally grins and bears a hole in his gut...\Say...\What is it? I'm being quiet.\But it's disconcerting to be stared at.\Why don't you lie down?\As if!\Hurry up and get back to your studies! response:	We're goin' back tomorrow!
context: This coming from a guy that normally grins and bears a hole in his gut...\Say...\What is it? I'm being quiet.\But it's disconcerting to be stared at.\Why don't you lie down?\As if!\Hurry up and get back to your studies!\We're goin' back tomorrow! response:	All right!
context: Say...\What is it? I'm being quiet.\But it's disconcerting to be stared at.\Why don't you lie down?\As if!\Hurry up and get back to your studies!\We're goin' back tomorrow!\All right! response:	Does he intend to watch over me all night?
context: What is it? I'm being quiet.\But it's disconcerting to be stared at.\Why don't you lie down?\As if!\Hurry up and get back to your studies!\We're goin' back tomorrow!\All right!\Does he intend to watch over me all night? response:	I wouldn't put it past him.
context: But it's disconcerting to be stared at.\Why don't you lie down?\As if!\Hurry up and get back to your studies!\We're goin' back tomorrow!\All right!\Does he intend to watch over me all night?\I wouldn't put it past him. response:	He's a fireball of energy.
context: Why don't you lie down?\As if!\Hurry up and get back to your studies!\We're goin' back tomorrow!\All right!\Does he intend to watch over me all night?\I wouldn't put it past him.\He's a fireball of energy. response:	H-He's asleep!
context: As if!\Hurry up and get back to your studies!\We're goin' back tomorrow!\All right!\Does he intend to watch over me all night?\I wouldn't put it past him.\He's a fireball of energy.\H-He's asleep! response:	Geez! What a guy!
context: Hurry up and get back to your studies!\We're goin' back tomorrow!\All right!\Does he intend to watch over me all night?\I wouldn't put it past him.\He's a fireball of energy.\H-He's asleep!\Geez! What a guy! response:	Afterbothering me with my studies all this time!
context: We're goin' back tomorrow!\All right!\Does he intend to watch over me all night?\I wouldn't put it past him.\He's a fireball of energy.\H-He's asleep!\Geez! What a guy!\Afterbothering me with my studies all this time! response:	But I've neverseen Inuyasha sleeping so soundly.
context: All right!\Does he intend to watch over me all night?\I wouldn't put it past him.\He's a fireball of energy.\H-He's asleep!\Geez! What a guy!\Afterbothering me with my studies all this time!\But I've neverseen Inuyasha sleeping so soundly. response:	I guess...
context: Does he intend to watch over me all night?\I wouldn't put it past him.\He's a fireball of energy.\H-He's asleep!\Geez! What a guy!\Afterbothering me with my studies all this time!\But I've neverseen Inuyasha sleeping so soundly.\I guess... response:	He's more exhausted than any one of us.
context: I wouldn't put it past him.\He's a fireball of energy.\H-He's asleep!\Geez! What a guy!\Afterbothering me with my studies all this time!\But I've neverseen Inuyasha sleeping so soundly.\I guess...\He's more exhausted than any one of us. response:	Sleep peacefully... at least on this night.
context: He's a fireball of energy.\H-He's asleep!\Geez! What a guy!\Afterbothering me with my studies all this time!\But I've neverseen Inuyasha sleeping so soundly.\I guess...\He's more exhausted than any one of us.\Sleep peacefully... at least on this night. response:	Oh, they're back!
context: H-He's asleep!\Geez! What a guy!\Afterbothering me with my studies all this time!\But I've neverseen Inuyasha sleeping so soundly.\I guess...\He's more exhausted than any one of us.\Sleep peacefully... at least on this night.\Oh, they're back! response:	Oh!
context: Geez! What a guy!\Afterbothering me with my studies all this time!\But I've neverseen Inuyasha sleeping so soundly.\I guess...\He's more exhausted than any one of us.\Sleep peacefully... at least on this night.\Oh, they're back!\Oh! response:	So you spent the night at Kagome's house?
context: Afterbothering me with my studies all this time!\But I've neverseen Inuyasha sleeping so soundly.\I guess...\He's more exhausted than any one of us.\Sleep peacefully... at least on this night.\Oh, they're back!\Oh!\So you spent the night at Kagome's house? response:	What's wrong, Kagome? You have no energy!
context: But I've neverseen Inuyasha sleeping so soundly.\I guess...\He's more exhausted than any one of us.\Sleep peacefully... at least on this night.\Oh, they're back!\Oh!\So you spent the night at Kagome's house?\What's wrong, Kagome? You have no energy! response:	You monopolized my bed last night!
context: I guess...\He's more exhausted than any one of us.\Sleep peacefully... at least on this night.\Oh, they're back!\Oh!\So you spent the night at Kagome's house?\What's wrong, Kagome? You have no energy!\You monopolized my bed last night! response:	On top of which, the test was a killer.
context: He's more exhausted than any one of us.\Sleep peacefully... at least on this night.\Oh, they're back!\Oh!\So you spent the night at Kagome's house?\What's wrong, Kagome? You have no energy!\You monopolized my bed last night!\On top of which, the test was a killer. response:	It's the pits!
context: Sleep peacefully... at least on this night.\Oh, they're back!\Oh!\So you spent the night at Kagome's house?\What's wrong, Kagome? You have no energy!\You monopolized my bed last night!\On top of which, the test was a killer.\It's the pits! response:	What a clear day!
context: Oh, they're back!\Oh!\So you spent the night at Kagome's house?\What's wrong, Kagome? You have no energy!\You monopolized my bed last night!\On top of which, the test was a killer.\It's the pits!\What a clear day! response:	Here's a question.
context: Oh!\So you spent the night at Kagome's house?\What's wrong, Kagome? You have no energy!\You monopolized my bed last night!\On top of which, the test was a killer.\It's the pits!\What a clear day!\Here's a question. response:	Besides the ones Naraku has in his possession,
context: So you spent the night at Kagome's house?\What's wrong, Kagome? You have no energy!\You monopolized my bed last night!\On top of which, the test was a killer.\It's the pits!\What a clear day!\Here's a question.\Besides the ones Naraku has in his possession, response:	who has Sacred Jewel shards and how many?
context: What's wrong, Kagome? You have no energy!\You monopolized my bed last night!\On top of which, the test was a killer.\It's the pits!\What a clear day!\Here's a question.\Besides the ones Naraku has in his possession,\who has Sacred Jewel shards and how many? response:	Well... Kohaku has one. Kagome has three.
context: You monopolized my bed last night!\On top of which, the test was a killer.\It's the pits!\What a clear day!\Here's a question.\Besides the ones Naraku has in his possession,\who has Sacred Jewel shards and how many?\Well... Kohaku has one. Kagome has three. response:	And...
context: On top of which, the test was a killer.\It's the pits!\What a clear day!\Here's a question.\Besides the ones Naraku has in his possession,\who has Sacred Jewel shards and how many?\Well... Kohaku has one. Kagome has three.\And... response:	Time's up!
context: It's the pits!\What a clear day!\Here's a question.\Besides the ones Naraku has in his possession,\who has Sacred Jewel shards and how many?\Well... Kohaku has one. Kagome has three.\And...\Time's up! response:	Koga of the Wolf-Demon Tribe has one in each leg.
context: What a clear day!\Here's a question.\Besides the ones Naraku has in his possession,\who has Sacred Jewel shards and how many?\Well... Kohaku has one. Kagome has three.\And...\Time's up!\Koga of the Wolf-Demon Tribe has one in each leg. response:	That means Naraku will go after Koga, too.
context: Here's a question.\Besides the ones Naraku has in his possession,\who has Sacred Jewel shards and how many?\Well... Kohaku has one. Kagome has three.\And...\Time's up!\Koga of the Wolf-Demon Tribe has one in each leg.\That means Naraku will go after Koga, too. response:	However, Naraku has disappeared from sight.
context: Besides the ones Naraku has in his possession,\who has Sacred Jewel shards and how many?\Well... Kohaku has one. Kagome has three.\And...\Time's up!\Koga of the Wolf-Demon Tribe has one in each leg.\That means Naraku will go after Koga, too.\However, Naraku has disappeared from sight. response:	Then what's that?
context: who has Sacred Jewel shards and how many?\Well... Kohaku has one. Kagome has three.\And...\Time's up!\Koga of the Wolf-Demon Tribe has one in each leg.\That means Naraku will go after Koga, too.\However, Naraku has disappeared from sight.\Then what's that? response:	Next on Inuyasha: The Female Wolf-Demon and the Lunar Rainbow Promise.
context: Well... Kohaku has one. Kagome has three.\And...\Time's up!\Koga of the Wolf-Demon Tribe has one in each leg.\That means Naraku will go after Koga, too.\However, Naraku has disappeared from sight.\Then what's that?\Next on Inuyasha: The Female Wolf-Demon and the Lunar Rainbow Promise. response:	Afemale wolf-demon?
context: And...\Time's up!\Koga of the Wolf-Demon Tribe has one in each leg.\That means Naraku will go after Koga, too.\However, Naraku has disappeared from sight.\Then what's that?\Next on Inuyasha: The Female Wolf-Demon and the Lunar Rainbow Promise.\Afemale wolf-demon? response:	That Koga is quite the ladies' man!
