context: I'm Katsuki Yuri, a figure skater representing Japan response:	who's in the middle of the Grand Prix Series' Cup of China!
context: If their hearts are so fragile...\Yuri.\Huh?\Let's try shattering his into pieces.\If you mess up this free skate and miss the podium,\I'll take responsibility by resigning as your coach.\Why would you say something like that, like you're trying to test me?\It shattered! response:	Uh, sorry, Yuri.
context: Yuri.\Huh?\Let's try shattering his into pieces.\If you mess up this free skate and miss the podium,\I'll take responsibility by resigning as your coach.\Why would you say something like that, like you're trying to test me?\It shattered!\Uh, sorry, Yuri. response:	I wasn't being serious
context: Huh?\Let's try shattering his into pieces.\If you mess up this free skate and miss the podium,\I'll take responsibility by resigning as your coach.\Why would you say something like that, like you're trying to test me?\It shattered!\Uh, sorry, Yuri.\I wasn't being serious response:	I'm used to being blamed for my own failures!
context: Let's try shattering his into pieces.\If you mess up this free skate and miss the podium,\I'll take responsibility by resigning as your coach.\Why would you say something like that, like you're trying to test me?\It shattered!\Uh, sorry, Yuri.\I wasn't being serious\I'm used to being blamed for my own failures! response:	But this time, I'm anxious because my mistakes would reflect on you, too!
context: If you mess up this free skate and miss the podium,\I'll take responsibility by resigning as your coach.\Why would you say something like that, like you're trying to test me?\It shattered!\Uh, sorry, Yuri.\I wasn't being serious\I'm used to being blamed for my own failures!\But this time, I'm anxious because my mistakes would reflect on you, too! response:	I've been wondering if you secretly want to quit!
context: I'll take responsibility by resigning as your coach.\Why would you say something like that, like you're trying to test me?\It shattered!\Uh, sorry, Yuri.\I wasn't being serious\I'm used to being blamed for my own failures!\But this time, I'm anxious because my mistakes would reflect on you, too!\I've been wondering if you secretly want to quit! response:	Of course I don't.
context: Why would you say something like that, like you're trying to test me?\It shattered!\Uh, sorry, Yuri.\I wasn't being serious\I'm used to being blamed for my own failures!\But this time, I'm anxious because my mistakes would reflect on you, too!\I've been wondering if you secretly want to quit!\Of course I don't. response:	I know!
context: It shattered!\Uh, sorry, Yuri.\I wasn't being serious\I'm used to being blamed for my own failures!\But this time, I'm anxious because my mistakes would reflect on you, too!\I've been wondering if you secretly want to quit!\Of course I don't.\I know! response:	I'm not good with people crying in front of me.
context: Uh, sorry, Yuri.\I wasn't being serious\I'm used to being blamed for my own failures!\But this time, I'm anxious because my mistakes would reflect on you, too!\I've been wondering if you secretly want to quit!\Of course I don't.\I know!\I'm not good with people crying in front of me. response:	I don't know what I should do.
context: I wasn't being serious\I'm used to being blamed for my own failures!\But this time, I'm anxious because my mistakes would reflect on you, too!\I've been wondering if you secretly want to quit!\Of course I don't.\I know!\I'm not good with people crying in front of me.\I don't know what I should do. response:	Should I just kiss you or something?
context: I'm used to being blamed for my own failures!\But this time, I'm anxious because my mistakes would reflect on you, too!\I've been wondering if you secretly want to quit!\Of course I don't.\I know!\I'm not good with people crying in front of me.\I don't know what I should do.\Should I just kiss you or something? response:	No!
context: But this time, I'm anxious because my mistakes would reflect on you, too!\I've been wondering if you secretly want to quit!\Of course I don't.\I know!\I'm not good with people crying in front of me.\I don't know what I should do.\Should I just kiss you or something?\No! response:	Just have more faith than I do that I'll win!
context: I've been wondering if you secretly want to quit!\Of course I don't.\I know!\I'm not good with people crying in front of me.\I don't know what I should do.\Should I just kiss you or something?\No!\Just have more faith than I do that I'll win! response:	You don't have to say anything. Just stand by me!
context: Of course I don't.\I know!\I'm not good with people crying in front of me.\I don't know what I should do.\Should I just kiss you or something?\No!\Just have more faith than I do that I'll win!\You don't have to say anything. Just stand by me! response:	RK: 6 Leo de la Iglesia Total
context: I know!\I'm not good with people crying in front of me.\I don't know what I should do.\Should I just kiss you or something?\No!\Just have more faith than I do that I'll win!\You don't have to say anything. Just stand by me!\RK: 6 Leo de la Iglesia Total response:	Leo de la Iglesia from the United States
context: I'm not good with people crying in front of me.\I don't know what I should do.\Should I just kiss you or something?\No!\Just have more faith than I do that I'll win!\You don't have to say anything. Just stand by me!\RK: 6 Leo de la Iglesia Total\Leo de la Iglesia from the United States response:	Leo, you're an artist.
context: I don't know what I should do.\Should I just kiss you or something?\No!\Just have more faith than I do that I'll win!\You don't have to say anything. Just stand by me!\RK: 6 Leo de la Iglesia Total\Leo de la Iglesia from the United States\Leo, you're an artist. response:	is currently in sixth after his free skate.
context: Should I just kiss you or something?\No!\Just have more faith than I do that I'll win!\You don't have to say anything. Just stand by me!\RK: 6 Leo de la Iglesia Total\Leo de la Iglesia from the United States\Leo, you're an artist.\is currently in sixth after his free skate. response:	Your prayer reached the world.
context: No!\Just have more faith than I do that I'll win!\You don't have to say anything. Just stand by me!\RK: 6 Leo de la Iglesia Total\Leo de la Iglesia from the United States\Leo, you're an artist.\is currently in sixth after his free skate.\Your prayer reached the world. response:	Yeah.
context: Just have more faith than I do that I'll win!\You don't have to say anything. Just stand by me!\RK: 6 Leo de la Iglesia Total\Leo de la Iglesia from the United States\Leo, you're an artist.\is currently in sixth after his free skate.\Your prayer reached the world.\Yeah. response:	I'll work hard in the US Nationals.
context: You don't have to say anything. Just stand by me!\RK: 6 Leo de la Iglesia Total\Leo de la Iglesia from the United States\Leo, you're an artist.\is currently in sixth after his free skate.\Your prayer reached the world.\Yeah.\I'll work hard in the US Nationals. response:	Next on the ice is Georgi Popovich, age 27, representing Russia.
context: RK: 6 Leo de la Iglesia Total\Leo de la Iglesia from the United States\Leo, you're an artist.\is currently in sixth after his free skate.\Your prayer reached the world.\Yeah.\I'll work hard in the US Nationals.\Next on the ice is Georgi Popovich, age 27, representing Russia. response:	His music is A Tale of the Sleeping Prince.
context: Leo de la Iglesia from the United States\Leo, you're an artist.\is currently in sixth after his free skate.\Your prayer reached the world.\Yeah.\I'll work hard in the US Nationals.\Next on the ice is Georgi Popovich, age 27, representing Russia.\His music is A Tale of the Sleeping Prince. response:	Anya, where are you?
context: Leo, you're an artist.\is currently in sixth after his free skate.\Your prayer reached the world.\Yeah.\I'll work hard in the US Nationals.\Next on the ice is Georgi Popovich, age 27, representing Russia.\His music is A Tale of the Sleeping Prince.\Anya, where are you? response:	Why are you leaving me behind?
context: is currently in sixth after his free skate.\Your prayer reached the world.\Yeah.\I'll work hard in the US Nationals.\Next on the ice is Georgi Popovich, age 27, representing Russia.\His music is A Tale of the Sleeping Prince.\Anya, where are you?\Why are you leaving me behind? response:	I love you so much!
context: Your prayer reached the world.\Yeah.\I'll work hard in the US Nationals.\Next on the ice is Georgi Popovich, age 27, representing Russia.\His music is A Tale of the Sleeping Prince.\Anya, where are you?\Why are you leaving me behind?\I love you so much! response:	Here's a quadruple Salchow, triple toe loop combination.
context: Yeah.\I'll work hard in the US Nationals.\Next on the ice is Georgi Popovich, age 27, representing Russia.\His music is A Tale of the Sleeping Prince.\Anya, where are you?\Why are you leaving me behind?\I love you so much!\Here's a quadruple Salchow, triple toe loop combination. response:	His theme for this season is heartbreak.
context: I'll work hard in the US Nationals.\Next on the ice is Georgi Popovich, age 27, representing Russia.\His music is A Tale of the Sleeping Prince.\Anya, where are you?\Why are you leaving me behind?\I love you so much!\Here's a quadruple Salchow, triple toe loop combination.\His theme for this season is heartbreak. response:	He said he hopes people will notice
context: Next on the ice is Georgi Popovich, age 27, representing Russia.\His music is A Tale of the Sleeping Prince.\Anya, where are you?\Why are you leaving me behind?\I love you so much!\Here's a quadruple Salchow, triple toe loop combination.\His theme for this season is heartbreak.\He said he hopes people will notice response:	his new range of artistic expression in his performance.
context: His music is A Tale of the Sleeping Prince.\Anya, where are you?\Why are you leaving me behind?\I love you so much!\Here's a quadruple Salchow, triple toe loop combination.\His theme for this season is heartbreak.\He said he hopes people will notice\his new range of artistic expression in his performance. response:	Sorry I cast an eternal curse on you, my princess.
context: Anya, where are you?\Why are you leaving me behind?\I love you so much!\Here's a quadruple Salchow, triple toe loop combination.\His theme for this season is heartbreak.\He said he hopes people will notice\his new range of artistic expression in his performance.\Sorry I cast an eternal curse on you, my princess. response:	I'm sure you've been waiting for your prince's kiss all this time.
context: Why are you leaving me behind?\I love you so much!\Here's a quadruple Salchow, triple toe loop combination.\His theme for this season is heartbreak.\He said he hopes people will notice\his new range of artistic expression in his performance.\Sorry I cast an eternal curse on you, my princess.\I'm sure you've been waiting for your prince's kiss all this time. response:	Here comes a triple loop.
context: I love you so much!\Here's a quadruple Salchow, triple toe loop combination.\His theme for this season is heartbreak.\He said he hopes people will notice\his new range of artistic expression in his performance.\Sorry I cast an eternal curse on you, my princess.\I'm sure you've been waiting for your prince's kiss all this time.\Here comes a triple loop. response:	Let's go.
context: Here's a quadruple Salchow, triple toe loop combination.\His theme for this season is heartbreak.\He said he hopes people will notice\his new range of artistic expression in his performance.\Sorry I cast an eternal curse on you, my princess.\I'm sure you've been waiting for your prince's kiss all this time.\Here comes a triple loop.\Let's go. response:	Anya?
context: His theme for this season is heartbreak.\He said he hopes people will notice\his new range of artistic expression in his performance.\Sorry I cast an eternal curse on you, my princess.\I'm sure you've been waiting for your prince's kiss all this time.\Here comes a triple loop.\Let's go.\Anya? response:	Anya, don't run away!
context: He said he hopes people will notice\his new range of artistic expression in his performance.\Sorry I cast an eternal curse on you, my princess.\I'm sure you've been waiting for your prince's kiss all this time.\Here comes a triple loop.\Let's go.\Anya?\Anya, don't run away! response:	I'm the one who'll protect you!
context: his new range of artistic expression in his performance.\Sorry I cast an eternal curse on you, my princess.\I'm sure you've been waiting for your prince's kiss all this time.\Here comes a triple loop.\Let's go.\Anya?\Anya, don't run away!\I'm the one who'll protect you! response:	No!
context: Sorry I cast an eternal curse on you, my princess.\I'm sure you've been waiting for your prince's kiss all this time.\Here comes a triple loop.\Let's go.\Anya?\Anya, don't run away!\I'm the one who'll protect you!\No! response:	Anya, it can't be true!
context: I'm sure you've been waiting for your prince's kiss all this time.\Here comes a triple loop.\Let's go.\Anya?\Anya, don't run away!\I'm the one who'll protect you!\No!\Anya, it can't be true! response:	I refuse to believe it!
context: Here comes a triple loop.\Let's go.\Anya?\Anya, don't run away!\I'm the one who'll protect you!\No!\Anya, it can't be true!\I refuse to believe it! response:	Next up is a quadruple Salchow.
context: Let's go.\Anya?\Anya, don't run away!\I'm the one who'll protect you!\No!\Anya, it can't be true!\I refuse to believe it!\Next up is a quadruple Salchow. response:	He fell!
context: Anya?\Anya, don't run away!\I'm the one who'll protect you!\No!\Anya, it can't be true!\I refuse to believe it!\Next up is a quadruple Salchow.\He fell! response:	Wake up!
context: Anya, don't run away!\I'm the one who'll protect you!\No!\Anya, it can't be true!\I refuse to believe it!\Next up is a quadruple Salchow.\He fell!\Wake up! response:	Of all my students, you've been the most receptive to my instructions.
context: I'm the one who'll protect you!\No!\Anya, it can't be true!\I refuse to believe it!\Next up is a quadruple Salchow.\He fell!\Wake up!\Of all my students, you've been the most receptive to my instructions. response:	That was one of your weaknesses, as well.
context: No!\Anya, it can't be true!\I refuse to believe it!\Next up is a quadruple Salchow.\He fell!\Wake up!\Of all my students, you've been the most receptive to my instructions.\That was one of your weaknesses, as well. response:	But this program realizes all the things Victor lacks as a skater.
context: Anya, it can't be true!\I refuse to believe it!\Next up is a quadruple Salchow.\He fell!\Wake up!\Of all my students, you've been the most receptive to my instructions.\That was one of your weaknesses, as well.\But this program realizes all the things Victor lacks as a skater. response:	Skate with more confidence!
context: I refuse to believe it!\Next up is a quadruple Salchow.\He fell!\Wake up!\Of all my students, you've been the most receptive to my instructions.\That was one of your weaknesses, as well.\But this program realizes all the things Victor lacks as a skater.\Skate with more confidence! response:	Next is a triple flip.
context: Next up is a quadruple Salchow.\He fell!\Wake up!\Of all my students, you've been the most receptive to my instructions.\That was one of your weaknesses, as well.\But this program realizes all the things Victor lacks as a skater.\Skate with more confidence!\Next is a triple flip. response:	Great!
context: He fell!\Wake up!\Of all my students, you've been the most receptive to my instructions.\That was one of your weaknesses, as well.\But this program realizes all the things Victor lacks as a skater.\Skate with more confidence!\Next is a triple flip.\Great! response:	He carries himself with such dignity!
context: Wake up!\Of all my students, you've been the most receptive to my instructions.\That was one of your weaknesses, as well.\But this program realizes all the things Victor lacks as a skater.\Skate with more confidence!\Next is a triple flip.\Great!\He carries himself with such dignity! response:	Please wake me up.
context: Of all my students, you've been the most receptive to my instructions.\That was one of your weaknesses, as well.\But this program realizes all the things Victor lacks as a skater.\Skate with more confidence!\Next is a triple flip.\Great!\He carries himself with such dignity!\Please wake me up. response:	I can hear your voice, Anya.
context: That was one of your weaknesses, as well.\But this program realizes all the things Victor lacks as a skater.\Skate with more confidence!\Next is a triple flip.\Great!\He carries himself with such dignity!\Please wake me up.\I can hear your voice, Anya. response:	No matter what happens, I will kiss you.
context: But this program realizes all the things Victor lacks as a skater.\Skate with more confidence!\Next is a triple flip.\Great!\He carries himself with such dignity!\Please wake me up.\I can hear your voice, Anya.\No matter what happens, I will kiss you. response:	I promise to save you.
context: Skate with more confidence!\Next is a triple flip.\Great!\He carries himself with such dignity!\Please wake me up.\I can hear your voice, Anya.\No matter what happens, I will kiss you.\I promise to save you. response:	I'll always be your ally.
context: Next is a triple flip.\Great!\He carries himself with such dignity!\Please wake me up.\I can hear your voice, Anya.\No matter what happens, I will kiss you.\I promise to save you.\I'll always be your ally. response:	That's why I promise to save you.
context: Great!\He carries himself with such dignity!\Please wake me up.\I can hear your voice, Anya.\No matter what happens, I will kiss you.\I promise to save you.\I'll always be your ally.\That's why I promise to save you. response:	I'll save you right now.
context: He carries himself with such dignity!\Please wake me up.\I can hear your voice, Anya.\No matter what happens, I will kiss you.\I promise to save you.\I'll always be your ally.\That's why I promise to save you.\I'll save you right now. response:	You're not alone.
context: Please wake me up.\I can hear your voice, Anya.\No matter what happens, I will kiss you.\I promise to save you.\I'll always be your ally.\That's why I promise to save you.\I'll save you right now.\You're not alone. response:	Victor, how does it feel to watch me from where you're standing now?
context: I can hear your voice, Anya.\No matter what happens, I will kiss you.\I promise to save you.\I'll always be your ally.\That's why I promise to save you.\I'll save you right now.\You're not alone.\Victor, how does it feel to watch me from where you're standing now? response:	From now on, it's my time to shine!
context: No matter what happens, I will kiss you.\I promise to save you.\I'll always be your ally.\That's why I promise to save you.\I'll save you right now.\You're not alone.\Victor, how does it feel to watch me from where you're standing now?\From now on, it's my time to shine! response:	Oops, I forgot to watch the free skate.
context: I promise to save you.\I'll always be your ally.\That's why I promise to save you.\I'll save you right now.\You're not alone.\Victor, how does it feel to watch me from where you're standing now?\From now on, it's my time to shine!\Oops, I forgot to watch the free skate. response:	I wonder if Yuri-kun's okay.
context: I'll always be your ally.\That's why I promise to save you.\I'll save you right now.\You're not alone.\Victor, how does it feel to watch me from where you're standing now?\From now on, it's my time to shine!\Oops, I forgot to watch the free skate.\I wonder if Yuri-kun's okay. response:	Don't his eyes look red?
context: That's why I promise to save you.\I'll save you right now.\You're not alone.\Victor, how does it feel to watch me from where you're standing now?\From now on, it's my time to shine!\Oops, I forgot to watch the free skate.\I wonder if Yuri-kun's okay.\Don't his eyes look red? response:	You're right!
context: I'll save you right now.\You're not alone.\Victor, how does it feel to watch me from where you're standing now?\From now on, it's my time to shine!\Oops, I forgot to watch the free skate.\I wonder if Yuri-kun's okay.\Don't his eyes look red?\You're right! response:	I wonder if something happened between him and Victor.
context: You're not alone.\Victor, how does it feel to watch me from where you're standing now?\From now on, it's my time to shine!\Oops, I forgot to watch the free skate.\I wonder if Yuri-kun's okay.\Don't his eyes look red?\You're right!\I wonder if something happened between him and Victor. response:	You don't have to say anything.
context: Victor, how does it feel to watch me from where you're standing now?\From now on, it's my time to shine!\Oops, I forgot to watch the free skate.\I wonder if Yuri-kun's okay.\Don't his eyes look red?\You're right!\I wonder if something happened between him and Victor.\You don't have to say anything. response:	Just have more faith than I do that I'll win!
context: From now on, it's my time to shine!\Oops, I forgot to watch the free skate.\I wonder if Yuri-kun's okay.\Don't his eyes look red?\You're right!\I wonder if something happened between him and Victor.\You don't have to say anything.\Just have more faith than I do that I'll win! response:	I should have asked Yakov what to do as a coach in situations like this.
context: Oops, I forgot to watch the free skate.\I wonder if Yuri-kun's okay.\Don't his eyes look red?\You're right!\I wonder if something happened between him and Victor.\You don't have to say anything.\Just have more faith than I do that I'll win!\I should have asked Yakov what to do as a coach in situations like this. response:	Georgi Popovich's total score is 252.44.
context: I wonder if Yuri-kun's okay.\Don't his eyes look red?\You're right!\I wonder if something happened between him and Victor.\You don't have to say anything.\Just have more faith than I do that I'll win!\I should have asked Yakov what to do as a coach in situations like this.\Georgi Popovich's total score is 252.44. response:	RK: 3 Georgi Popovich Total
context: Don't his eyes look red?\You're right!\I wonder if something happened between him and Victor.\You don't have to say anything.\Just have more faith than I do that I'll win!\I should have asked Yakov what to do as a coach in situations like this.\Georgi Popovich's total score is 252.44.\RK: 3 Georgi Popovich Total response:	He's currently in third place.
context: You're right!\I wonder if something happened between him and Victor.\You don't have to say anything.\Just have more faith than I do that I'll win!\I should have asked Yakov what to do as a coach in situations like this.\Georgi Popovich's total score is 252.44.\RK: 3 Georgi Popovich Total\He's currently in third place. response:	I must take this program
context: I wonder if something happened between him and Victor.\You don't have to say anything.\Just have more faith than I do that I'll win!\I should have asked Yakov what to do as a coach in situations like this.\Georgi Popovich's total score is 252.44.\RK: 3 Georgi Popovich Total\He's currently in third place.\I must take this program response:	to the next level before the Russian Nationals.
context: You don't have to say anything.\Just have more faith than I do that I'll win!\I should have asked Yakov what to do as a coach in situations like this.\Georgi Popovich's total score is 252.44.\RK: 3 Georgi Popovich Total\He's currently in third place.\I must take this program\to the next level before the Russian Nationals. response:	There's a lot to work on.
context: Just have more faith than I do that I'll win!\I should have asked Yakov what to do as a coach in situations like this.\Georgi Popovich's total score is 252.44.\RK: 3 Georgi Popovich Total\He's currently in third place.\I must take this program\to the next level before the Russian Nationals.\There's a lot to work on. response:	We now have our last skater on the ice,
context: I should have asked Yakov what to do as a coach in situations like this.\Georgi Popovich's total score is 252.44.\RK: 3 Georgi Popovich Total\He's currently in third place.\I must take this program\to the next level before the Russian Nationals.\There's a lot to work on.\We now have our last skater on the ice, response:	Katsuki Yuri from Japan, in first place after the short program.
context: Georgi Popovich's total score is 252.44.\RK: 3 Georgi Popovich Total\He's currently in third place.\I must take this program\to the next level before the Russian Nationals.\There's a lot to work on.\We now have our last skater on the ice,\Katsuki Yuri from Japan, in first place after the short program. response:	If your student's trying to console you,
context: RK: 3 Georgi Popovich Total\He's currently in third place.\I must take this program\to the next level before the Russian Nationals.\There's a lot to work on.\We now have our last skater on the ice,\Katsuki Yuri from Japan, in first place after the short program.\If your student's trying to console you, response:	you still have a long way to go as a coach, Vitya.
context: He's currently in third place.\I must take this program\to the next level before the Russian Nationals.\There's a lot to work on.\We now have our last skater on the ice,\Katsuki Yuri from Japan, in first place after the short program.\If your student's trying to console you,\you still have a long way to go as a coach, Vitya. response:	His music is Yuri on Ice.
context: I must take this program\to the next level before the Russian Nationals.\There's a lot to work on.\We now have our last skater on the ice,\Katsuki Yuri from Japan, in first place after the short program.\If your student's trying to console you,\you still have a long way to go as a coach, Vitya.\His music is Yuri on Ice. response:	I feel a lot better after crying.
context: to the next level before the Russian Nationals.\There's a lot to work on.\We now have our last skater on the ice,\Katsuki Yuri from Japan, in first place after the short program.\If your student's trying to console you,\you still have a long way to go as a coach, Vitya.\His music is Yuri on Ice.\I feel a lot better after crying. response:	Victor's expression when I started to cry was priceless.
context: There's a lot to work on.\We now have our last skater on the ice,\Katsuki Yuri from Japan, in first place after the short program.\If your student's trying to console you,\you still have a long way to go as a coach, Vitya.\His music is Yuri on Ice.\I feel a lot better after crying.\Victor's expression when I started to cry was priceless. response:	Why is he smiling?
context: We now have our last skater on the ice,\Katsuki Yuri from Japan, in first place after the short program.\If your student's trying to console you,\you still have a long way to go as a coach, Vitya.\His music is Yuri on Ice.\I feel a lot better after crying.\Victor's expression when I started to cry was priceless.\Why is he smiling? response:	I've cried after a match before,
context: Katsuki Yuri from Japan, in first place after the short program.\If your student's trying to console you,\you still have a long way to go as a coach, Vitya.\His music is Yuri on Ice.\I feel a lot better after crying.\Victor's expression when I started to cry was priceless.\Why is he smiling?\I've cried after a match before, response:	but that's the first time before a match.
context: If your student's trying to console you,\you still have a long way to go as a coach, Vitya.\His music is Yuri on Ice.\I feel a lot better after crying.\Victor's expression when I started to cry was priceless.\Why is he smiling?\I've cried after a match before,\but that's the first time before a match. response:	Um, so the first jump...
context: you still have a long way to go as a coach, Vitya.\His music is Yuri on Ice.\I feel a lot better after crying.\Victor's expression when I started to cry was priceless.\Why is he smiling?\I've cried after a match before,\but that's the first time before a match.\Um, so the first jump... response:	A quadruple toe loop, double toe loop combination.
context: His music is Yuri on Ice.\I feel a lot better after crying.\Victor's expression when I started to cry was priceless.\Why is he smiling?\I've cried after a match before,\but that's the first time before a match.\Um, so the first jump...\A quadruple toe loop, double toe loop combination. response:	Quadruple... Double.
context: I feel a lot better after crying.\Victor's expression when I started to cry was priceless.\Why is he smiling?\I've cried after a match before,\but that's the first time before a match.\Um, so the first jump...\A quadruple toe loop, double toe loop combination.\Quadruple... Double. response:	Better than I expected.
context: Victor's expression when I started to cry was priceless.\Why is he smiling?\I've cried after a match before,\but that's the first time before a match.\Um, so the first jump...\A quadruple toe loop, double toe loop combination.\Quadruple... Double.\Better than I expected. response:	His first quad was a success.
context: Why is he smiling?\I've cried after a match before,\but that's the first time before a match.\Um, so the first jump...\A quadruple toe loop, double toe loop combination.\Quadruple... Double.\Better than I expected.\His first quad was a success. response:	In this free skate, Katsuki Yuri plans to do three quads of two different types.
context: I've cried after a match before,\but that's the first time before a match.\Um, so the first jump...\A quadruple toe loop, double toe loop combination.\Quadruple... Double.\Better than I expected.\His first quad was a success.\In this free skate, Katsuki Yuri plans to do three quads of two different types. response:	He's unusually relaxed today.
context: but that's the first time before a match.\Um, so the first jump...\A quadruple toe loop, double toe loop combination.\Quadruple... Double.\Better than I expected.\His first quad was a success.\In this free skate, Katsuki Yuri plans to do three quads of two different types.\He's unusually relaxed today. response:	Victor's too inexperienced as a coach.
context: Um, so the first jump...\A quadruple toe loop, double toe loop combination.\Quadruple... Double.\Better than I expected.\His first quad was a success.\In this free skate, Katsuki Yuri plans to do three quads of two different types.\He's unusually relaxed today.\Victor's too inexperienced as a coach. response:	It's not like my mental weakness started just now.
context: A quadruple toe loop, double toe loop combination.\Quadruple... Double.\Better than I expected.\His first quad was a success.\In this free skate, Katsuki Yuri plans to do three quads of two different types.\He's unusually relaxed today.\Victor's too inexperienced as a coach.\It's not like my mental weakness started just now. response:	He should be prepared for this much.
context: Quadruple... Double.\Better than I expected.\His first quad was a success.\In this free skate, Katsuki Yuri plans to do three quads of two different types.\He's unusually relaxed today.\Victor's too inexperienced as a coach.\It's not like my mental weakness started just now.\He should be prepared for this much. response:	Stupid Victor!
context: Better than I expected.\His first quad was a success.\In this free skate, Katsuki Yuri plans to do three quads of two different types.\He's unusually relaxed today.\Victor's too inexperienced as a coach.\It's not like my mental weakness started just now.\He should be prepared for this much.\Stupid Victor! response:	A quadruple Salchow.
context: His first quad was a success.\In this free skate, Katsuki Yuri plans to do three quads of two different types.\He's unusually relaxed today.\Victor's too inexperienced as a coach.\It's not like my mental weakness started just now.\He should be prepared for this much.\Stupid Victor!\A quadruple Salchow. response:	Oh, I made it.
context: In this free skate, Katsuki Yuri plans to do three quads of two different types.\He's unusually relaxed today.\Victor's too inexperienced as a coach.\It's not like my mental weakness started just now.\He should be prepared for this much.\Stupid Victor!\A quadruple Salchow.\Oh, I made it. response:	Perfect, Yuri!
context: He's unusually relaxed today.\Victor's too inexperienced as a coach.\It's not like my mental weakness started just now.\He should be prepared for this much.\Stupid Victor!\A quadruple Salchow.\Oh, I made it.\Perfect, Yuri! response:	His theme for this season is love.
context: Victor's too inexperienced as a coach.\It's not like my mental weakness started just now.\He should be prepared for this much.\Stupid Victor!\A quadruple Salchow.\Oh, I made it.\Perfect, Yuri!\His theme for this season is love. response:	Love Katsuki Yuri
context: It's not like my mental weakness started just now.\He should be prepared for this much.\Stupid Victor!\A quadruple Salchow.\Oh, I made it.\Perfect, Yuri!\His theme for this season is love.\Love Katsuki Yuri response:	Now that I know what love is and am stronger for it,
context: He should be prepared for this much.\Stupid Victor!\A quadruple Salchow.\Oh, I made it.\Perfect, Yuri!\His theme for this season is love.\Love Katsuki Yuri\Now that I know what love is and am stronger for it, response:	I'll prove it to myself with a Grand Prix Final gold medal!
context: Stupid Victor!\A quadruple Salchow.\Oh, I made it.\Perfect, Yuri!\His theme for this season is love.\Love Katsuki Yuri\Now that I know what love is and am stronger for it,\I'll prove it to myself with a Grand Prix Final gold medal! response:	Katsuki Yuri made an emphatic declaration at the press conference.
context: A quadruple Salchow.\Oh, I made it.\Perfect, Yuri!\His theme for this season is love.\Love Katsuki Yuri\Now that I know what love is and am stronger for it,\I'll prove it to myself with a Grand Prix Final gold medal!\Katsuki Yuri made an emphatic declaration at the press conference. response:	A triple loop.
context: Oh, I made it.\Perfect, Yuri!\His theme for this season is love.\Love Katsuki Yuri\Now that I know what love is and am stronger for it,\I'll prove it to myself with a Grand Prix Final gold medal!\Katsuki Yuri made an emphatic declaration at the press conference.\A triple loop. response:	Beautiful.
context: Perfect, Yuri!\His theme for this season is love.\Love Katsuki Yuri\Now that I know what love is and am stronger for it,\I'll prove it to myself with a Grand Prix Final gold medal!\Katsuki Yuri made an emphatic declaration at the press conference.\A triple loop.\Beautiful. response:	Next is one of his favorites, the triple axel.
context: His theme for this season is love.\Love Katsuki Yuri\Now that I know what love is and am stronger for it,\I'll prove it to myself with a Grand Prix Final gold medal!\Katsuki Yuri made an emphatic declaration at the press conference.\A triple loop.\Beautiful.\Next is one of his favorites, the triple axel. response:	Oops, he touched down!
context: Love Katsuki Yuri\Now that I know what love is and am stronger for it,\I'll prove it to myself with a Grand Prix Final gold medal!\Katsuki Yuri made an emphatic declaration at the press conference.\A triple loop.\Beautiful.\Next is one of his favorites, the triple axel.\Oops, he touched down! response:	I might have messed up on controlling the jump's speed.
context: Now that I know what love is and am stronger for it,\I'll prove it to myself with a Grand Prix Final gold medal!\Katsuki Yuri made an emphatic declaration at the press conference.\A triple loop.\Beautiful.\Next is one of his favorites, the triple axel.\Oops, he touched down!\I might have messed up on controlling the jump's speed. response:	It went pretty well, despite not doing it during warm-up.
context: I'll prove it to myself with a Grand Prix Final gold medal!\Katsuki Yuri made an emphatic declaration at the press conference.\A triple loop.\Beautiful.\Next is one of his favorites, the triple axel.\Oops, he touched down!\I might have messed up on controlling the jump's speed.\It went pretty well, despite not doing it during warm-up. response:	Next up is a triple flip.
context: Katsuki Yuri made an emphatic declaration at the press conference.\A triple loop.\Beautiful.\Next is one of his favorites, the triple axel.\Oops, he touched down!\I might have messed up on controlling the jump's speed.\It went pretty well, despite not doing it during warm-up.\Next up is a triple flip. response:	Oh, I wonder how Victor would react
context: A triple loop.\Beautiful.\Next is one of his favorites, the triple axel.\Oops, he touched down!\I might have messed up on controlling the jump's speed.\It went pretty well, despite not doing it during warm-up.\Next up is a triple flip.\Oh, I wonder how Victor would react response:	if I made the last quad a flip instead of a toe loop.
context: Beautiful.\Next is one of his favorites, the triple axel.\Oops, he touched down!\I might have messed up on controlling the jump's speed.\It went pretty well, despite not doing it during warm-up.\Next up is a triple flip.\Oh, I wonder how Victor would react\if I made the last quad a flip instead of a toe loop. response:	Coming next is a triple axel, single loop, triple Salchow combination.
context: Next is one of his favorites, the triple axel.\Oops, he touched down!\I might have messed up on controlling the jump's speed.\It went pretty well, despite not doing it during warm-up.\Next up is a triple flip.\Oh, I wonder how Victor would react\if I made the last quad a flip instead of a toe loop.\Coming next is a triple axel, single loop, triple Salchow combination. response:	He over-rotated that one.
