context: Ten years ago, somewhere in Tokyo. response:	Now, let's begin.
context: they must have thought of themselves as being from Earth\until they awakened as Planetary Gears.\When did they awaken?\If you kiss, you can read someone's mind for a second, can't you?\I think we have special powers because we're designer children.\Is that why they lock us up?\And why we can only see the outside from the window?\Amara... Moco. response:	Good news.
context: until they awakened as Planetary Gears.\When did they awaken?\If you kiss, you can read someone's mind for a second, can't you?\I think we have special powers because we're designer children.\Is that why they lock us up?\And why we can only see the outside from the window?\Amara... Moco.\Good news. response:	You get to leave this place.
context: When did they awaken?\If you kiss, you can read someone's mind for a second, can't you?\I think we have special powers because we're designer children.\Is that why they lock us up?\And why we can only see the outside from the window?\Amara... Moco.\Good news.\You get to leave this place. response:	You're going to a country called Japan.
context: If you kiss, you can read someone's mind for a second, can't you?\I think we have special powers because we're designer children.\Is that why they lock us up?\And why we can only see the outside from the window?\Amara... Moco.\Good news.\You get to leave this place.\You're going to a country called Japan. response:	Japan?
context: I think we have special powers because we're designer children.\Is that why they lock us up?\And why we can only see the outside from the window?\Amara... Moco.\Good news.\You get to leave this place.\You're going to a country called Japan.\Japan? response:	What is this device?
context: Is that why they lock us up?\And why we can only see the outside from the window?\Amara... Moco.\Good news.\You get to leave this place.\You're going to a country called Japan.\Japan?\What is this device? response:	This is your machine.
context: And why we can only see the outside from the window?\Amara... Moco.\Good news.\You get to leave this place.\You're going to a country called Japan.\Japan?\What is this device?\This is your machine. response:	It's a Neural Maneuver System created specifically for you.
context: Amara... Moco.\Good news.\You get to leave this place.\You're going to a country called Japan.\Japan?\What is this device?\This is your machine.\It's a Neural Maneuver System created specifically for you. response:	Try it.
context: Good news.\You get to leave this place.\You're going to a country called Japan.\Japan?\What is this device?\This is your machine.\It's a Neural Maneuver System created specifically for you.\Try it. response:	You think one of their friends is here?
context: You get to leave this place.\You're going to a country called Japan.\Japan?\What is this device?\This is your machine.\It's a Neural Maneuver System created specifically for you.\Try it.\You think one of their friends is here? response:	Probably. They likely haven't awakened, though.
context: You're going to a country called Japan.\Japan?\What is this device?\This is your machine.\It's a Neural Maneuver System created specifically for you.\Try it.\You think one of their friends is here?\Probably. They likely haven't awakened, though. response:	You said that touching a powerful Orgone energy
context: Japan?\What is this device?\This is your machine.\It's a Neural Maneuver System created specifically for you.\Try it.\You think one of their friends is here?\Probably. They likely haven't awakened, though.\You said that touching a powerful Orgone energy response:	or kissing an awakened avatar brings back their memories, right?
context: What is this device?\This is your machine.\It's a Neural Maneuver System created specifically for you.\Try it.\You think one of their friends is here?\Probably. They likely haven't awakened, though.\You said that touching a powerful Orgone energy\or kissing an awakened avatar brings back their memories, right? response:	Yeah.
context: This is your machine.\It's a Neural Maneuver System created specifically for you.\Try it.\You think one of their friends is here?\Probably. They likely haven't awakened, though.\You said that touching a powerful Orgone energy\or kissing an awakened avatar brings back their memories, right?\Yeah. response:	And even if an avatar hasn't awakened,
context: It's a Neural Maneuver System created specifically for you.\Try it.\You think one of their friends is here?\Probably. They likely haven't awakened, though.\You said that touching a powerful Orgone energy\or kissing an awakened avatar brings back their memories, right?\Yeah.\And even if an avatar hasn't awakened, response:	if they kiss you, they can read your mind or telepathically communicate.
context: Try it.\You think one of their friends is here?\Probably. They likely haven't awakened, though.\You said that touching a powerful Orgone energy\or kissing an awakened avatar brings back their memories, right?\Yeah.\And even if an avatar hasn't awakened,\if they kiss you, they can read your mind or telepathically communicate. response:	My beautiful Setsuna...
context: You think one of their friends is here?\Probably. They likely haven't awakened, though.\You said that touching a powerful Orgone energy\or kissing an awakened avatar brings back their memories, right?\Yeah.\And even if an avatar hasn't awakened,\if they kiss you, they can read your mind or telepathically communicate.\My beautiful Setsuna... response:	You're so beautiful.
context: Probably. They likely haven't awakened, though.\You said that touching a powerful Orgone energy\or kissing an awakened avatar brings back their memories, right?\Yeah.\And even if an avatar hasn't awakened,\if they kiss you, they can read your mind or telepathically communicate.\My beautiful Setsuna...\You're so beautiful. response:	I wonder if the designer children
context: You said that touching a powerful Orgone energy\or kissing an awakened avatar brings back their memories, right?\Yeah.\And even if an avatar hasn't awakened,\if they kiss you, they can read your mind or telepathically communicate.\My beautiful Setsuna...\You're so beautiful.\I wonder if the designer children response:	weren't created as pilots for new weapons,
context: or kissing an awakened avatar brings back their memories, right?\Yeah.\And even if an avatar hasn't awakened,\if they kiss you, they can read your mind or telepathically communicate.\My beautiful Setsuna...\You're so beautiful.\I wonder if the designer children\weren't created as pilots for new weapons, response:	but as vessels to install a human consciousness.
context: Yeah.\And even if an avatar hasn't awakened,\if they kiss you, they can read your mind or telepathically communicate.\My beautiful Setsuna...\You're so beautiful.\I wonder if the designer children\weren't created as pilots for new weapons,\but as vessels to install a human consciousness. response:	In other words, if you could keep installing your mind into a young body,
context: And even if an avatar hasn't awakened,\if they kiss you, they can read your mind or telepathically communicate.\My beautiful Setsuna...\You're so beautiful.\I wonder if the designer children\weren't created as pilots for new weapons,\but as vessels to install a human consciousness.\In other words, if you could keep installing your mind into a young body, response:	you could become immortal.
context: if they kiss you, they can read your mind or telepathically communicate.\My beautiful Setsuna...\You're so beautiful.\I wonder if the designer children\weren't created as pilots for new weapons,\but as vessels to install a human consciousness.\In other words, if you could keep installing your mind into a young body,\you could become immortal. response:	No!
context: My beautiful Setsuna...\You're so beautiful.\I wonder if the designer children\weren't created as pilots for new weapons,\but as vessels to install a human consciousness.\In other words, if you could keep installing your mind into a young body,\you could become immortal.\No! response:	What?
context: You're so beautiful.\I wonder if the designer children\weren't created as pilots for new weapons,\but as vessels to install a human consciousness.\In other words, if you could keep installing your mind into a young body,\you could become immortal.\No!\What? response:	What did you see?
context: I wonder if the designer children\weren't created as pilots for new weapons,\but as vessels to install a human consciousness.\In other words, if you could keep installing your mind into a young body,\you could become immortal.\No!\What?\What did you see? response:	You were raising me to be your own vessel!
context: weren't created as pilots for new weapons,\but as vessels to install a human consciousness.\In other words, if you could keep installing your mind into a young body,\you could become immortal.\No!\What?\What did you see?\You were raising me to be your own vessel! response:	You're a terrible person!
context: but as vessels to install a human consciousness.\In other words, if you could keep installing your mind into a young body,\you could become immortal.\No!\What?\What did you see?\You were raising me to be your own vessel!\You're a terrible person! response:	Wait, Setsuna!
context: In other words, if you could keep installing your mind into a young body,\you could become immortal.\No!\What?\What did you see?\You were raising me to be your own vessel!\You're a terrible person!\Wait, Setsuna! response:	Wait!
context: you could become immortal.\No!\What?\What did you see?\You were raising me to be your own vessel!\You're a terrible person!\Wait, Setsuna!\Wait! response:	Captain, behind you!
context: No!\What?\What did you see?\You were raising me to be your own vessel!\You're a terrible person!\Wait, Setsuna!\Wait!\Captain, behind you! response:	Daichi Manatsu!
context: What?\What did you see?\You were raising me to be your own vessel!\You're a terrible person!\Wait, Setsuna!\Wait!\Captain, behind you!\Daichi Manatsu! response:	You drove Albion mad, so we'll kill you first!
context: What did you see?\You were raising me to be your own vessel!\You're a terrible person!\Wait, Setsuna!\Wait!\Captain, behind you!\Daichi Manatsu!\You drove Albion mad, so we'll kill you first! response:	This light...
context: You were raising me to be your own vessel!\You're a terrible person!\Wait, Setsuna!\Wait!\Captain, behind you!\Daichi Manatsu!\You drove Albion mad, so we'll kill you first!\This light... response:	Teppei?
context: You're a terrible person!\Wait, Setsuna!\Wait!\Captain, behind you!\Daichi Manatsu!\You drove Albion mad, so we'll kill you first!\This light...\Teppei? response:	The Livlaster?
context: Wait, Setsuna!\Wait!\Captain, behind you!\Daichi Manatsu!\You drove Albion mad, so we'll kill you first!\This light...\Teppei?\The Livlaster? response:	Albion was the other Neoteny that Lieban was talking about?
context: Wait!\Captain, behind you!\Daichi Manatsu!\You drove Albion mad, so we'll kill you first!\This light...\Teppei?\The Livlaster?\Albion was the other Neoteny that Lieban was talking about? response:	Albion is a Neoteny?
context: Captain, behind you!\Daichi Manatsu!\You drove Albion mad, so we'll kill you first!\This light...\Teppei?\The Livlaster?\Albion was the other Neoteny that Lieban was talking about?\Albion is a Neoteny? response:	Seriously?
context: Daichi Manatsu!\You drove Albion mad, so we'll kill you first!\This light...\Teppei?\The Livlaster?\Albion was the other Neoteny that Lieban was talking about?\Albion is a Neoteny?\Seriously? response:	They did a good job of cleaning it up, but someone just shed blood here.
context: You drove Albion mad, so we'll kill you first!\This light...\Teppei?\The Livlaster?\Albion was the other Neoteny that Lieban was talking about?\Albion is a Neoteny?\Seriously?\They did a good job of cleaning it up, but someone just shed blood here. response:	What?
context: This light...\Teppei?\The Livlaster?\Albion was the other Neoteny that Lieban was talking about?\Albion is a Neoteny?\Seriously?\They did a good job of cleaning it up, but someone just shed blood here.\What? response:	But it isn't Siren-sama's blood.
context: Teppei?\The Livlaster?\Albion was the other Neoteny that Lieban was talking about?\Albion is a Neoteny?\Seriously?\They did a good job of cleaning it up, but someone just shed blood here.\What?\But it isn't Siren-sama's blood. response:	It's me.
context: The Livlaster?\Albion was the other Neoteny that Lieban was talking about?\Albion is a Neoteny?\Seriously?\They did a good job of cleaning it up, but someone just shed blood here.\What?\But it isn't Siren-sama's blood.\It's me. response:	Where's the install device?
context: Albion was the other Neoteny that Lieban was talking about?\Albion is a Neoteny?\Seriously?\They did a good job of cleaning it up, but someone just shed blood here.\What?\But it isn't Siren-sama's blood.\It's me.\Where's the install device? response:	It's been safely removed.
context: Albion is a Neoteny?\Seriously?\They did a good job of cleaning it up, but someone just shed blood here.\What?\But it isn't Siren-sama's blood.\It's me.\Where's the install device?\It's been safely removed. response:	Then take it to the place I directed you to.
context: Seriously?\They did a good job of cleaning it up, but someone just shed blood here.\What?\But it isn't Siren-sama's blood.\It's me.\Where's the install device?\It's been safely removed.\Then take it to the place I directed you to. response:	Understood, Robin-sama.
context: They did a good job of cleaning it up, but someone just shed blood here.\What?\But it isn't Siren-sama's blood.\It's me.\Where's the install device?\It's been safely removed.\Then take it to the place I directed you to.\Understood, Robin-sama. response:	Where's Siren-sama?
context: What?\But it isn't Siren-sama's blood.\It's me.\Where's the install device?\It's been safely removed.\Then take it to the place I directed you to.\Understood, Robin-sama.\Where's Siren-sama? response:	She wasn't on the second floor.
context: But it isn't Siren-sama's blood.\It's me.\Where's the install device?\It's been safely removed.\Then take it to the place I directed you to.\Understood, Robin-sama.\Where's Siren-sama?\She wasn't on the second floor. response:	This keeps getting more complicated.
context: It's me.\Where's the install device?\It's been safely removed.\Then take it to the place I directed you to.\Understood, Robin-sama.\Where's Siren-sama?\She wasn't on the second floor.\This keeps getting more complicated. response:	Let's go, Amara.
context: Where's the install device?\It's been safely removed.\Then take it to the place I directed you to.\Understood, Robin-sama.\Where's Siren-sama?\She wasn't on the second floor.\This keeps getting more complicated.\Let's go, Amara. response:	Yeah.
context: It's been safely removed.\Then take it to the place I directed you to.\Understood, Robin-sama.\Where's Siren-sama?\She wasn't on the second floor.\This keeps getting more complicated.\Let's go, Amara.\Yeah. response:	Every night, illegal fighting matches
context: Then take it to the place I directed you to.\Understood, Robin-sama.\Where's Siren-sama?\She wasn't on the second floor.\This keeps getting more complicated.\Let's go, Amara.\Yeah.\Every night, illegal fighting matches response:	are held at an underground ring in this town.
context: Understood, Robin-sama.\Where's Siren-sama?\She wasn't on the second floor.\This keeps getting more complicated.\Let's go, Amara.\Yeah.\Every night, illegal fighting matches\are held at an underground ring in this town. response:	Of course, bets are placed on the fights.
context: Where's Siren-sama?\She wasn't on the second floor.\This keeps getting more complicated.\Let's go, Amara.\Yeah.\Every night, illegal fighting matches\are held at an underground ring in this town.\Of course, bets are placed on the fights. response:	And the next Machine Goodfellow is going to appear in this town.
context: She wasn't on the second floor.\This keeps getting more complicated.\Let's go, Amara.\Yeah.\Every night, illegal fighting matches\are held at an underground ring in this town.\Of course, bets are placed on the fights.\And the next Machine Goodfellow is going to appear in this town. response:	Is the enemy one of the boys that are forced to fight?
context: This keeps getting more complicated.\Let's go, Amara.\Yeah.\Every night, illegal fighting matches\are held at an underground ring in this town.\Of course, bets are placed on the fights.\And the next Machine Goodfellow is going to appear in this town.\Is the enemy one of the boys that are forced to fight? response:	Boys' Battlefield.
context: Let's go, Amara.\Yeah.\Every night, illegal fighting matches\are held at an underground ring in this town.\Of course, bets are placed on the fights.\And the next Machine Goodfellow is going to appear in this town.\Is the enemy one of the boys that are forced to fight?\Boys' Battlefield. response:	Boys' Battlefield
context: Yeah.\Every night, illegal fighting matches\are held at an underground ring in this town.\Of course, bets are placed on the fights.\And the next Machine Goodfellow is going to appear in this town.\Is the enemy one of the boys that are forced to fight?\Boys' Battlefield.\Boys' Battlefield response:	Earth Engine, scramble!
