context: You are to light the lanterns hidden in the forest around us. response:	They're within 500 meter radius around the camp.
context: I'm not good at lying and tricking people.\So I'll...\I'll use my power for a gentler purpose!\Come! I'll play with you!\Whee!\What's that?\What's happening to Okumura?\That's a demon sword... the Kurikara. response:	So beautiful!
context: So I'll...\I'll use my power for a gentler purpose!\Come! I'll play with you!\Whee!\What's that?\What's happening to Okumura?\That's a demon sword... the Kurikara.\So beautiful! response:	Burn to ashes!
context: I'll use my power for a gentler purpose!\Come! I'll play with you!\Whee!\What's that?\What's happening to Okumura?\That's a demon sword... the Kurikara.\So beautiful!\Burn to ashes! response:	Tail is one of the weakest points a demon has.
context: Come! I'll play with you!\Whee!\What's that?\What's happening to Okumura?\That's a demon sword... the Kurikara.\So beautiful!\Burn to ashes!\Tail is one of the weakest points a demon has. response:	An educated demon would know better and keep it hidden.
context: Whee!\What's that?\What's happening to Okumura?\That's a demon sword... the Kurikara.\So beautiful!\Burn to ashes!\Tail is one of the weakest points a demon has.\An educated demon would know better and keep it hidden. response:	You still have loads to learn.
context: What's that?\What's happening to Okumura?\That's a demon sword... the Kurikara.\So beautiful!\Burn to ashes!\Tail is one of the weakest points a demon has.\An educated demon would know better and keep it hidden.\You still have loads to learn. response:	First, your own desires.
context: What's happening to Okumura?\That's a demon sword... the Kurikara.\So beautiful!\Burn to ashes!\Tail is one of the weakest points a demon has.\An educated demon would know better and keep it hidden.\You still have loads to learn.\First, your own desires. response:	Okay.
context: That's a demon sword... the Kurikara.\So beautiful!\Burn to ashes!\Tail is one of the weakest points a demon has.\An educated demon would know better and keep it hidden.\You still have loads to learn.\First, your own desires.\Okay. response:	Are you guys all right?
context: So beautiful!\Burn to ashes!\Tail is one of the weakest points a demon has.\An educated demon would know better and keep it hidden.\You still have loads to learn.\First, your own desires.\Okay.\Are you guys all right? response:	Where have you been?
context: Burn to ashes!\Tail is one of the weakest points a demon has.\An educated demon would know better and keep it hidden.\You still have loads to learn.\First, your own desires.\Okay.\Are you guys all right?\Where have you been? response:	I dealt with Amaimon's pet. I wasn't slacking off!
context: Tail is one of the weakest points a demon has.\An educated demon would know better and keep it hidden.\You still have loads to learn.\First, your own desires.\Okay.\Are you guys all right?\Where have you been?\I dealt with Amaimon's pet. I wasn't slacking off! response:	Let's get out of here, it's too dangerous.
context: An educated demon would know better and keep it hidden.\You still have loads to learn.\First, your own desires.\Okay.\Are you guys all right?\Where have you been?\I dealt with Amaimon's pet. I wasn't slacking off!\Let's get out of here, it's too dangerous. response:	You wanted me to take care of this beast, Shiro?
context: You still have loads to learn.\First, your own desires.\Okay.\Are you guys all right?\Where have you been?\I dealt with Amaimon's pet. I wasn't slacking off!\Let's get out of here, it's too dangerous.\You wanted me to take care of this beast, Shiro? response:	I'm looking forward to it.
context: First, your own desires.\Okay.\Are you guys all right?\Where have you been?\I dealt with Amaimon's pet. I wasn't slacking off!\Let's get out of here, it's too dangerous.\You wanted me to take care of this beast, Shiro?\I'm looking forward to it. response:	Compared to demons who always seek the pleasure in denial,
context: Okay.\Are you guys all right?\Where have you been?\I dealt with Amaimon's pet. I wasn't slacking off!\Let's get out of here, it's too dangerous.\You wanted me to take care of this beast, Shiro?\I'm looking forward to it.\Compared to demons who always seek the pleasure in denial, response:	the moderate ways of humans are easy to corrupt.
context: Are you guys all right?\Where have you been?\I dealt with Amaimon's pet. I wasn't slacking off!\Let's get out of here, it's too dangerous.\You wanted me to take care of this beast, Shiro?\I'm looking forward to it.\Compared to demons who always seek the pleasure in denial,\the moderate ways of humans are easy to corrupt. response:	So, which way are you taking?
context: Where have you been?\I dealt with Amaimon's pet. I wasn't slacking off!\Let's get out of here, it's too dangerous.\You wanted me to take care of this beast, Shiro?\I'm looking forward to it.\Compared to demons who always seek the pleasure in denial,\the moderate ways of humans are easy to corrupt.\So, which way are you taking? response:	Rin...
context: I dealt with Amaimon's pet. I wasn't slacking off!\Let's get out of here, it's too dangerous.\You wanted me to take care of this beast, Shiro?\I'm looking forward to it.\Compared to demons who always seek the pleasure in denial,\the moderate ways of humans are easy to corrupt.\So, which way are you taking?\Rin... response:	This power... It's just like Father's!
context: Let's get out of here, it's too dangerous.\You wanted me to take care of this beast, Shiro?\I'm looking forward to it.\Compared to demons who always seek the pleasure in denial,\the moderate ways of humans are easy to corrupt.\So, which way are you taking?\Rin...\This power... It's just like Father's! response:	Wonderful. I didn't think he could overwhelm Amaimon like this.
context: You wanted me to take care of this beast, Shiro?\I'm looking forward to it.\Compared to demons who always seek the pleasure in denial,\the moderate ways of humans are easy to corrupt.\So, which way are you taking?\Rin...\This power... It's just like Father's!\Wonderful. I didn't think he could overwhelm Amaimon like this. response:	You fought enough. Enjoy your rest.
context: I'm looking forward to it.\Compared to demons who always seek the pleasure in denial,\the moderate ways of humans are easy to corrupt.\So, which way are you taking?\Rin...\This power... It's just like Father's!\Wonderful. I didn't think he could overwhelm Amaimon like this.\You fought enough. Enjoy your rest. response:	Eins! Zwei! Drei!
context: Compared to demons who always seek the pleasure in denial,\the moderate ways of humans are easy to corrupt.\So, which way are you taking?\Rin...\This power... It's just like Father's!\Wonderful. I didn't think he could overwhelm Amaimon like this.\You fought enough. Enjoy your rest.\Eins! Zwei! Drei! response:	Cuckoo Clock!
context: the moderate ways of humans are easy to corrupt.\So, which way are you taking?\Rin...\This power... It's just like Father's!\Wonderful. I didn't think he could overwhelm Amaimon like this.\You fought enough. Enjoy your rest.\Eins! Zwei! Drei!\Cuckoo Clock! response:	And now...
context: So, which way are you taking?\Rin...\This power... It's just like Father's!\Wonderful. I didn't think he could overwhelm Amaimon like this.\You fought enough. Enjoy your rest.\Eins! Zwei! Drei!\Cuckoo Clock!\And now... response:	He's totally lost control of his flames.
context: Rin...\This power... It's just like Father's!\Wonderful. I didn't think he could overwhelm Amaimon like this.\You fought enough. Enjoy your rest.\Eins! Zwei! Drei!\Cuckoo Clock!\And now...\He's totally lost control of his flames. response:	My, my...
context: This power... It's just like Father's!\Wonderful. I didn't think he could overwhelm Amaimon like this.\You fought enough. Enjoy your rest.\Eins! Zwei! Drei!\Cuckoo Clock!\And now...\He's totally lost control of his flames.\My, my... response:	What a handful you are, my little brother.
context: Wonderful. I didn't think he could overwhelm Amaimon like this.\You fought enough. Enjoy your rest.\Eins! Zwei! Drei!\Cuckoo Clock!\And now...\He's totally lost control of his flames.\My, my...\What a handful you are, my little brother. response:	It's blue, no matter how I look at it.
context: You fought enough. Enjoy your rest.\Eins! Zwei! Drei!\Cuckoo Clock!\And now...\He's totally lost control of his flames.\My, my...\What a handful you are, my little brother.\It's blue, no matter how I look at it. response:	Just like that night.
context: Eins! Zwei! Drei!\Cuckoo Clock!\And now...\He's totally lost control of his flames.\My, my...\What a handful you are, my little brother.\It's blue, no matter how I look at it.\Just like that night. response:	That demon there is the son of Satan?
context: Cuckoo Clock!\And now...\He's totally lost control of his flames.\My, my...\What a handful you are, my little brother.\It's blue, no matter how I look at it.\Just like that night.\That demon there is the son of Satan? response:	Precisely.
context: And now...\He's totally lost control of his flames.\My, my...\What a handful you are, my little brother.\It's blue, no matter how I look at it.\Just like that night.\That demon there is the son of Satan?\Precisely. response:	I'll execute the offspring of Satan!
context: He's totally lost control of his flames.\My, my...\What a handful you are, my little brother.\It's blue, no matter how I look at it.\Just like that night.\That demon there is the son of Satan?\Precisely.\I'll execute the offspring of Satan! response:	I found the lantern. Now I'm sure it's impossible to clear this training alone. Let's cooperate.
context: My, my...\What a handful you are, my little brother.\It's blue, no matter how I look at it.\Just like that night.\That demon there is the son of Satan?\Precisely.\I'll execute the offspring of Satan!\I found the lantern. Now I'm sure it's impossible to clear this training alone. Let's cooperate. response:	I found the lantern. Now I'm sure it's impossible to clear this training alone. Let's cooperate.
context: What a handful you are, my little brother.\It's blue, no matter how I look at it.\Just like that night.\That demon there is the son of Satan?\Precisely.\I'll execute the offspring of Satan!\I found the lantern. Now I'm sure it's impossible to clear this training alone. Let's cooperate.\I found the lantern. Now I'm sure it's impossible to clear this training alone. Let's cooperate. response:	I found the lantern. Now I'm sure it's impossible to clear this training alone. Let's cooperate.
context: It's blue, no matter how I look at it.\Just like that night.\That demon there is the son of Satan?\Precisely.\I'll execute the offspring of Satan!\I found the lantern. Now I'm sure it's impossible to clear this training alone. Let's cooperate.\I found the lantern. Now I'm sure it's impossible to clear this training alone. Let's cooperate.\I found the lantern. Now I'm sure it's impossible to clear this training alone. Let's cooperate. response:	I've got an idea.
context: Just like that night.\That demon there is the son of Satan?\Precisely.\I'll execute the offspring of Satan!\I found the lantern. Now I'm sure it's impossible to clear this training alone. Let's cooperate.\I found the lantern. Now I'm sure it's impossible to clear this training alone. Let's cooperate.\I found the lantern. Now I'm sure it's impossible to clear this training alone. Let's cooperate.\I've got an idea. response:	Episode 15 szia An Act of Kindness
context: That demon there is the son of Satan?\Precisely.\I'll execute the offspring of Satan!\I found the lantern. Now I'm sure it's impossible to clear this training alone. Let's cooperate.\I found the lantern. Now I'm sure it's impossible to clear this training alone. Let's cooperate.\I found the lantern. Now I'm sure it's impossible to clear this training alone. Let's cooperate.\I've got an idea.\Episode 15 szia An Act of Kindness response:	Holy Water
context: Precisely.\I'll execute the offspring of Satan!\I found the lantern. Now I'm sure it's impossible to clear this training alone. Let's cooperate.\I found the lantern. Now I'm sure it's impossible to clear this training alone. Let's cooperate.\I found the lantern. Now I'm sure it's impossible to clear this training alone. Let's cooperate.\I've got an idea.\Episode 15 szia An Act of Kindness\Holy Water response:	Holy Water
context: I'll execute the offspring of Satan!\I found the lantern. Now I'm sure it's impossible to clear this training alone. Let's cooperate.\I found the lantern. Now I'm sure it's impossible to clear this training alone. Let's cooperate.\I found the lantern. Now I'm sure it's impossible to clear this training alone. Let's cooperate.\I've got an idea.\Episode 15 szia An Act of Kindness\Holy Water\Holy Water response:	Holy Water
context: I found the lantern. Now I'm sure it's impossible to clear this training alone. Let's cooperate.\I found the lantern. Now I'm sure it's impossible to clear this training alone. Let's cooperate.\I found the lantern. Now I'm sure it's impossible to clear this training alone. Let's cooperate.\I've got an idea.\Episode 15 szia An Act of Kindness\Holy Water\Holy Water\Holy Water response:	Holy Water
context: I found the lantern. Now I'm sure it's impossible to clear this training alone. Let's cooperate.\I found the lantern. Now I'm sure it's impossible to clear this training alone. Let's cooperate.\I've got an idea.\Episode 15 szia An Act of Kindness\Holy Water\Holy Water\Holy Water\Holy Water response:	Holy Water
context: I found the lantern. Now I'm sure it's impossible to clear this training alone. Let's cooperate.\I've got an idea.\Episode 15 szia An Act of Kindness\Holy Water\Holy Water\Holy Water\Holy Water\Holy Water response:	Holy Water
context: I've got an idea.\Episode 15 szia An Act of Kindness\Holy Water\Holy Water\Holy Water\Holy Water\Holy Water\Holy Water response:	Holy Water
context: Episode 15 szia An Act of Kindness\Holy Water\Holy Water\Holy Water\Holy Water\Holy Water\Holy Water\Holy Water response:	Holy Water
context: Holy Water\Holy Water\Holy Water\Holy Water\Holy Water\Holy Water\Holy Water\Holy Water response:	Holy Water
context: Holy Water\Holy Water\Holy Water\Holy Water\Holy Water\Holy Water\Holy Water\Holy Water response:	Holy Water
context: Holy Water\Holy Water\Holy Water\Holy Water\Holy Water\Holy Water\Holy Water\Holy Water response:	Holy Water
context: Holy Water\Holy Water\Holy Water\Holy Water\Holy Water\Holy Water\Holy Water\Holy Water response:	Holy Water
context: Holy Water\Holy Water\Holy Water\Holy Water\Holy Water\Holy Water\Holy Water\Holy Water response:	True Cross Knight Order
context: Holy Water\Holy Water\Holy Water\Holy Water\Holy Water\Holy Water\Holy Water\True Cross Knight Order response:	Next Episode Preview
context: Holy Water\Holy Water\Holy Water\Holy Water\Holy Water\Holy Water\True Cross Knight Order\Next Episode Preview response:	Gamble
context: Holy Water\Holy Water\Holy Water\Holy Water\Holy Water\True Cross Knight Order\Next Episode Preview\Gamble response:	The Blue Exorcist
context: Holy Water\Holy Water\Holy Water\Holy Water\True Cross Knight Order\Next Episode Preview\Gamble\The Blue Exorcist response:	The Blue Exorcist
context: Holy Water\Holy Water\Holy Water\True Cross Knight Order\Next Episode Preview\Gamble\The Blue Exorcist\The Blue Exorcist response:	The Blue Exorcist
context: Holy Water\Holy Water\True Cross Knight Order\Next Episode Preview\Gamble\The Blue Exorcist\The Blue Exorcist\The Blue Exorcist response:	The Blue Exorcist
context: Holy Water\True Cross Knight Order\Next Episode Preview\Gamble\The Blue Exorcist\The Blue Exorcist\The Blue Exorcist\The Blue Exorcist response:	The Blue Exorcist
context: True Cross Knight Order\Next Episode Preview\Gamble\The Blue Exorcist\The Blue Exorcist\The Blue Exorcist\The Blue Exorcist\The Blue Exorcist response:	The Blue Exorcist
context: Next Episode Preview\Gamble\The Blue Exorcist\The Blue Exorcist\The Blue Exorcist\The Blue Exorcist\The Blue Exorcist\The Blue Exorcist response:	nuguisarenai kako no kanashimi
context: Gamble\The Blue Exorcist\The Blue Exorcist\The Blue Exorcist\The Blue Exorcist\The Blue Exorcist\The Blue Exorcist\nuguisarenai kako no kanashimi response:	It's alright kokoro ni mo nai
context: The Blue Exorcist\The Blue Exorcist\The Blue Exorcist\The Blue Exorcist\The Blue Exorcist\The Blue Exorcist\nuguisarenai kako no kanashimi\It's alright kokoro ni mo nai response:	Blastar hanachi te wo nobashita
context: The Blue Exorcist\The Blue Exorcist\The Blue Exorcist\The Blue Exorcist\The Blue Exorcist\nuguisarenai kako no kanashimi\It's alright kokoro ni mo nai\Blastar hanachi te wo nobashita response:	sakete toorenai michi wa itsu kara ka konna datta
context: The Blue Exorcist\The Blue Exorcist\The Blue Exorcist\The Blue Exorcist\nuguisarenai kako no kanashimi\It's alright kokoro ni mo nai\Blastar hanachi te wo nobashita\sakete toorenai michi wa itsu kara ka konna datta response:	soshite daremo inakunatta...
context: The Blue Exorcist\The Blue Exorcist\The Blue Exorcist\nuguisarenai kako no kanashimi\It's alright kokoro ni mo nai\Blastar hanachi te wo nobashita\sakete toorenai michi wa itsu kara ka konna datta\soshite daremo inakunatta... response:	unmei nante kuso kurae
context: The Blue Exorcist\The Blue Exorcist\nuguisarenai kako no kanashimi\It's alright kokoro ni mo nai\Blastar hanachi te wo nobashita\sakete toorenai michi wa itsu kara ka konna datta\soshite daremo inakunatta...\unmei nante kuso kurae response:	yarikirenakute cry for pride
context: The Blue Exorcist\nuguisarenai kako no kanashimi\It's alright kokoro ni mo nai\Blastar hanachi te wo nobashita\sakete toorenai michi wa itsu kara ka konna datta\soshite daremo inakunatta...\unmei nante kuso kurae\yarikirenakute cry for pride response:	hibiku ai no uta
context: nuguisarenai kako no kanashimi\It's alright kokoro ni mo nai\Blastar hanachi te wo nobashita\sakete toorenai michi wa itsu kara ka konna datta\soshite daremo inakunatta...\unmei nante kuso kurae\yarikirenakute cry for pride\hibiku ai no uta response:	yuganda sekai magatta negai
context: It's alright kokoro ni mo nai\Blastar hanachi te wo nobashita\sakete toorenai michi wa itsu kara ka konna datta\soshite daremo inakunatta...\unmei nante kuso kurae\yarikirenakute cry for pride\hibiku ai no uta\yuganda sekai magatta negai response:	kuzuresatte iku risou to ashita
context: Blastar hanachi te wo nobashita\sakete toorenai michi wa itsu kara ka konna datta\soshite daremo inakunatta...\unmei nante kuso kurae\yarikirenakute cry for pride\hibiku ai no uta\yuganda sekai magatta negai\kuzuresatte iku risou to ashita response:	haite suteru hodo ni taikutsu datta
context: sakete toorenai michi wa itsu kara ka konna datta\soshite daremo inakunatta...\unmei nante kuso kurae\yarikirenakute cry for pride\hibiku ai no uta\yuganda sekai magatta negai\kuzuresatte iku risou to ashita\haite suteru hodo ni taikutsu datta response:	unmei nante nurikaete
context: soshite daremo inakunatta...\unmei nante kuso kurae\yarikirenakute cry for pride\hibiku ai no uta\yuganda sekai magatta negai\kuzuresatte iku risou to ashita\haite suteru hodo ni taikutsu datta\unmei nante nurikaete response:	kizu darake ni natte try for pride
context: unmei nante kuso kurae\yarikirenakute cry for pride\hibiku ai no uta\yuganda sekai magatta negai\kuzuresatte iku risou to ashita\haite suteru hodo ni taikutsu datta\unmei nante nurikaete\kizu darake ni natte try for pride response:	soredemo ai wo utau
context: yarikirenakute cry for pride\hibiku ai no uta\yuganda sekai magatta negai\kuzuresatte iku risou to ashita\haite suteru hodo ni taikutsu datta\unmei nante nurikaete\kizu darake ni natte try for pride\soredemo ai wo utau response:	hizunda sekai todokazu negai
context: hibiku ai no uta\yuganda sekai magatta negai\kuzuresatte iku risou to ashita\haite suteru hodo ni taikutsu datta\unmei nante nurikaete\kizu darake ni natte try for pride\soredemo ai wo utau\hizunda sekai todokazu negai response:	kizuki ageteku kizuna to ashita
context: yuganda sekai magatta negai\kuzuresatte iku risou to ashita\haite suteru hodo ni taikutsu datta\unmei nante nurikaete\kizu darake ni natte try for pride\soredemo ai wo utau\hizunda sekai todokazu negai\kizuki ageteku kizuna to ashita response:	haite sutete mo kekkyoku taisetsu nanda
context: kuzuresatte iku risou to ashita\haite suteru hodo ni taikutsu datta\unmei nante nurikaete\kizu darake ni natte try for pride\soredemo ai wo utau\hizunda sekai todokazu negai\kizuki ageteku kizuna to ashita\haite sutete mo kekkyoku taisetsu nanda response:	harewatari michi ni hikari wa sashita
context: haite suteru hodo ni taikutsu datta\unmei nante nurikaete\kizu darake ni natte try for pride\soredemo ai wo utau\hizunda sekai todokazu negai\kizuki ageteku kizuna to ashita\haite sutete mo kekkyoku taisetsu nanda\harewatari michi ni hikari wa sashita response:	Let's fight osore wa nai
context: unmei nante nurikaete\kizu darake ni natte try for pride\soredemo ai wo utau\hizunda sekai todokazu negai\kizuki ageteku kizuna to ashita\haite sutete mo kekkyoku taisetsu nanda\harewatari michi ni hikari wa sashita\Let's fight osore wa nai response:	moroha no tsurugi furikazashita
context: kizu darake ni natte try for pride\soredemo ai wo utau\hizunda sekai todokazu negai\kizuki ageteku kizuna to ashita\haite sutete mo kekkyoku taisetsu nanda\harewatari michi ni hikari wa sashita\Let's fight osore wa nai\moroha no tsurugi furikazashita response:	Dark side in my heart is
context: soredemo ai wo utau\hizunda sekai todokazu negai\kizuki ageteku kizuna to ashita\haite sutete mo kekkyoku taisetsu nanda\harewatari michi ni hikari wa sashita\Let's fight osore wa nai\moroha no tsurugi furikazashita\Dark side in my heart is response:	the unerasable sadness of the past.
context: hizunda sekai todokazu negai\kizuki ageteku kizuna to ashita\haite sutete mo kekkyoku taisetsu nanda\harewatari michi ni hikari wa sashita\Let's fight osore wa nai\moroha no tsurugi furikazashita\Dark side in my heart is\the unerasable sadness of the past. response:	It's alright if I don't really mean it,
context: kizuki ageteku kizuna to ashita\haite sutete mo kekkyoku taisetsu nanda\harewatari michi ni hikari wa sashita\Let's fight osore wa nai\moroha no tsurugi furikazashita\Dark side in my heart is\the unerasable sadness of the past.\It's alright if I don't really mean it, response:	so I fire my blasters and stretch out my hands.
context: haite sutete mo kekkyoku taisetsu nanda\harewatari michi ni hikari wa sashita\Let's fight osore wa nai\moroha no tsurugi furikazashita\Dark side in my heart is\the unerasable sadness of the past.\It's alright if I don't really mean it,\so I fire my blasters and stretch out my hands. response:	Since when has my way been unavoidable like this?
context: harewatari michi ni hikari wa sashita\Let's fight osore wa nai\moroha no tsurugi furikazashita\Dark side in my heart is\the unerasable sadness of the past.\It's alright if I don't really mean it,\so I fire my blasters and stretch out my hands.\Since when has my way been unavoidable like this? response:	And now there's no one left...
context: Let's fight osore wa nai\moroha no tsurugi furikazashita\Dark side in my heart is\the unerasable sadness of the past.\It's alright if I don't really mean it,\so I fire my blasters and stretch out my hands.\Since when has my way been unavoidable like this?\And now there's no one left... response:	Fuck this destiny,
context: moroha no tsurugi furikazashita\Dark side in my heart is\the unerasable sadness of the past.\It's alright if I don't really mean it,\so I fire my blasters and stretch out my hands.\Since when has my way been unavoidable like this?\And now there's no one left...\Fuck this destiny, response:	I cry for my pride, I can't bear it.
context: Dark side in my heart is\the unerasable sadness of the past.\It's alright if I don't really mean it,\so I fire my blasters and stretch out my hands.\Since when has my way been unavoidable like this?\And now there's no one left...\Fuck this destiny,\I cry for my pride, I can't bear it. response:	Ah, ah, ah, alone in my world.
context: the unerasable sadness of the past.\It's alright if I don't really mean it,\so I fire my blasters and stretch out my hands.\Since when has my way been unavoidable like this?\And now there's no one left...\Fuck this destiny,\I cry for my pride, I can't bear it.\Ah, ah, ah, alone in my world. response:	An aria of love resounding through
context: It's alright if I don't really mean it,\so I fire my blasters and stretch out my hands.\Since when has my way been unavoidable like this?\And now there's no one left...\Fuck this destiny,\I cry for my pride, I can't bear it.\Ah, ah, ah, alone in my world.\An aria of love resounding through response:	this distorted reality of twisted prayers.
context: so I fire my blasters and stretch out my hands.\Since when has my way been unavoidable like this?\And now there's no one left...\Fuck this destiny,\I cry for my pride, I can't bear it.\Ah, ah, ah, alone in my world.\An aria of love resounding through\this distorted reality of twisted prayers. response:	My dreams and tomorrow are collapsing,
context: Since when has my way been unavoidable like this?\And now there's no one left...\Fuck this destiny,\I cry for my pride, I can't bear it.\Ah, ah, ah, alone in my world.\An aria of love resounding through\this distorted reality of twisted prayers.\My dreams and tomorrow are collapsing, response:	because throwing away the lies would be boring.
context: And now there's no one left...\Fuck this destiny,\I cry for my pride, I can't bear it.\Ah, ah, ah, alone in my world.\An aria of love resounding through\this distorted reality of twisted prayers.\My dreams and tomorrow are collapsing,\because throwing away the lies would be boring. response:	Good bye precious life.
context: Fuck this destiny,\I cry for my pride, I can't bear it.\Ah, ah, ah, alone in my world.\An aria of love resounding through\this distorted reality of twisted prayers.\My dreams and tomorrow are collapsing,\because throwing away the lies would be boring.\Good bye precious life. response:	Go and repaint this destiny,
context: I cry for my pride, I can't bear it.\Ah, ah, ah, alone in my world.\An aria of love resounding through\this distorted reality of twisted prayers.\My dreams and tomorrow are collapsing,\because throwing away the lies would be boring.\Good bye precious life.\Go and repaint this destiny, response:	try it for your pride, covered in wounds.
context: Ah, ah, ah, alone in my world.\An aria of love resounding through\this distorted reality of twisted prayers.\My dreams and tomorrow are collapsing,\because throwing away the lies would be boring.\Good bye precious life.\Go and repaint this destiny,\try it for your pride, covered in wounds. response:	Ah, ah, ah, alone in my world.
context: An aria of love resounding through\this distorted reality of twisted prayers.\My dreams and tomorrow are collapsing,\because throwing away the lies would be boring.\Good bye precious life.\Go and repaint this destiny,\try it for your pride, covered in wounds.\Ah, ah, ah, alone in my world. response:	Even so, I sing the song of love and
context: this distorted reality of twisted prayers.\My dreams and tomorrow are collapsing,\because throwing away the lies would be boring.\Good bye precious life.\Go and repaint this destiny,\try it for your pride, covered in wounds.\Ah, ah, ah, alone in my world.\Even so, I sing the song of love and response:	let its wish reach through this distorted world
context: My dreams and tomorrow are collapsing,\because throwing away the lies would be boring.\Good bye precious life.\Go and repaint this destiny,\try it for your pride, covered in wounds.\Ah, ah, ah, alone in my world.\Even so, I sing the song of love and\let its wish reach through this distorted world response:	to build our bonds and the tomorrow to come.
context: because throwing away the lies would be boring.\Good bye precious life.\Go and repaint this destiny,\try it for your pride, covered in wounds.\Ah, ah, ah, alone in my world.\Even so, I sing the song of love and\let its wish reach through this distorted world\to build our bonds and the tomorrow to come. response:	Throwing away the lies was important after all,
context: Good bye precious life.\Go and repaint this destiny,\try it for your pride, covered in wounds.\Ah, ah, ah, alone in my world.\Even so, I sing the song of love and\let its wish reach through this distorted world\to build our bonds and the tomorrow to come.\Throwing away the lies was important after all, response:	because this is my precious life.
context: Go and repaint this destiny,\try it for your pride, covered in wounds.\Ah, ah, ah, alone in my world.\Even so, I sing the song of love and\let its wish reach through this distorted world\to build our bonds and the tomorrow to come.\Throwing away the lies was important after all,\because this is my precious life. response:	Dark cloud in my heart is
context: try it for your pride, covered in wounds.\Ah, ah, ah, alone in my world.\Even so, I sing the song of love and\let its wish reach through this distorted world\to build our bonds and the tomorrow to come.\Throwing away the lies was important after all,\because this is my precious life.\Dark cloud in my heart is response:	disappearing and light is shining on the road I'm on.
context: Ah, ah, ah, alone in my world.\Even so, I sing the song of love and\let its wish reach through this distorted world\to build our bonds and the tomorrow to come.\Throwing away the lies was important after all,\because this is my precious life.\Dark cloud in my heart is\disappearing and light is shining on the road I'm on. response:	Let's fight, there's no fear.
context: Even so, I sing the song of love and\let its wish reach through this distorted world\to build our bonds and the tomorrow to come.\Throwing away the lies was important after all,\because this is my precious life.\Dark cloud in my heart is\disappearing and light is shining on the road I'm on.\Let's fight, there's no fear. response:	I brandished my two-edged sword.
context: let its wish reach through this distorted world\to build our bonds and the tomorrow to come.\Throwing away the lies was important after all,\because this is my precious life.\Dark cloud in my heart is\disappearing and light is shining on the road I'm on.\Let's fight, there's no fear.\I brandished my two-edged sword. response:	mau chou no you ni hirari
context: to build our bonds and the tomorrow to come.\Throwing away the lies was important after all,\because this is my precious life.\Dark cloud in my heart is\disappearing and light is shining on the road I'm on.\Let's fight, there's no fear.\I brandished my two-edged sword.\mau chou no you ni hirari response:	chuu ni tadayou fukashikina hikari
context: Throwing away the lies was important after all,\because this is my precious life.\Dark cloud in my heart is\disappearing and light is shining on the road I'm on.\Let's fight, there's no fear.\I brandished my two-edged sword.\mau chou no you ni hirari\chuu ni tadayou fukashikina hikari response:	koko wa dokoka betsu no sekai
context: because this is my precious life.\Dark cloud in my heart is\disappearing and light is shining on the road I'm on.\Let's fight, there's no fear.\I brandished my two-edged sword.\mau chou no you ni hirari\chuu ni tadayou fukashikina hikari\koko wa dokoka betsu no sekai response:	rakka suru sokudo wa kawaranai
context: Dark cloud in my heart is\disappearing and light is shining on the road I'm on.\Let's fight, there's no fear.\I brandished my two-edged sword.\mau chou no you ni hirari\chuu ni tadayou fukashikina hikari\koko wa dokoka betsu no sekai\rakka suru sokudo wa kawaranai response:	atama wo meguru suuchi wa
context: disappearing and light is shining on the road I'm on.\Let's fight, there's no fear.\I brandished my two-edged sword.\mau chou no you ni hirari\chuu ni tadayou fukashikina hikari\koko wa dokoka betsu no sekai\rakka suru sokudo wa kawaranai\atama wo meguru suuchi wa response:	rasen wo egaki kyuujoushou
context: Let's fight, there's no fear.\I brandished my two-edged sword.\mau chou no you ni hirari\chuu ni tadayou fukashikina hikari\koko wa dokoka betsu no sekai\rakka suru sokudo wa kawaranai\atama wo meguru suuchi wa\rasen wo egaki kyuujoushou response:	juudaina ayamachi ni mo kizukazu ni
context: I brandished my two-edged sword.\mau chou no you ni hirari\chuu ni tadayou fukashikina hikari\koko wa dokoka betsu no sekai\rakka suru sokudo wa kawaranai\atama wo meguru suuchi wa\rasen wo egaki kyuujoushou\juudaina ayamachi ni mo kizukazu ni response:	hito kara hito e to tsunagaru
context: mau chou no you ni hirari\chuu ni tadayou fukashikina hikari\koko wa dokoka betsu no sekai\rakka suru sokudo wa kawaranai\atama wo meguru suuchi wa\rasen wo egaki kyuujoushou\juudaina ayamachi ni mo kizukazu ni\hito kara hito e to tsunagaru response:	awaku seiran ni kagayaku wire
context: chuu ni tadayou fukashikina hikari\koko wa dokoka betsu no sekai\rakka suru sokudo wa kawaranai\atama wo meguru suuchi wa\rasen wo egaki kyuujoushou\juudaina ayamachi ni mo kizukazu ni\hito kara hito e to tsunagaru\awaku seiran ni kagayaku wire response:	totemo kirei de maru de kinu no ito
context: koko wa dokoka betsu no sekai\rakka suru sokudo wa kawaranai\atama wo meguru suuchi wa\rasen wo egaki kyuujoushou\juudaina ayamachi ni mo kizukazu ni\hito kara hito e to tsunagaru\awaku seiran ni kagayaku wire\totemo kirei de maru de kinu no ito response:	kore ga unmei to iu kusari nano ka
context: rakka suru sokudo wa kawaranai\atama wo meguru suuchi wa\rasen wo egaki kyuujoushou\juudaina ayamachi ni mo kizukazu ni\hito kara hito e to tsunagaru\awaku seiran ni kagayaku wire\totemo kirei de maru de kinu no ito\kore ga unmei to iu kusari nano ka response:	sagashite demo karamatte
