context: Freeze! response:	Put your hands up and slowly turn this way!
context: Contractor?\Louis was a contractor, too?\That's right. You weren't supposed to know.\Who was that man?\Huh?\The man who hit me on the head.\He's probably not alive anymore, but he seemed like someone you knew.\I-I don't know. response:	I met him for the first time today.
context: Louis was a contractor, too?\That's right. You weren't supposed to know.\Who was that man?\Huh?\The man who hit me on the head.\He's probably not alive anymore, but he seemed like someone you knew.\I-I don't know.\I met him for the first time today. response:	Really?
context: That's right. You weren't supposed to know.\Who was that man?\Huh?\The man who hit me on the head.\He's probably not alive anymore, but he seemed like someone you knew.\I-I don't know.\I met him for the first time today.\Really? response:	Not that it matters. We don't have any time.
context: Who was that man?\Huh?\The man who hit me on the head.\He's probably not alive anymore, but he seemed like someone you knew.\I-I don't know.\I met him for the first time today.\Really?\Not that it matters. We don't have any time. response:	I'll use the quickest way.
context: Huh?\The man who hit me on the head.\He's probably not alive anymore, but he seemed like someone you knew.\I-I don't know.\I met him for the first time today.\Really?\Not that it matters. We don't have any time.\I'll use the quickest way. response:	How insulting. I may not look it, but I'm pretty sensitive.
context: The man who hit me on the head.\He's probably not alive anymore, but he seemed like someone you knew.\I-I don't know.\I met him for the first time today.\Really?\Not that it matters. We don't have any time.\I'll use the quickest way.\How insulting. I may not look it, but I'm pretty sensitive. response:	Even us contractors can be equipped with a personality, depending on the program,
context: He's probably not alive anymore, but he seemed like someone you knew.\I-I don't know.\I met him for the first time today.\Really?\Not that it matters. We don't have any time.\I'll use the quickest way.\How insulting. I may not look it, but I'm pretty sensitive.\Even us contractors can be equipped with a personality, depending on the program, response:	unlike Dolls.
context: I-I don't know.\I met him for the first time today.\Really?\Not that it matters. We don't have any time.\I'll use the quickest way.\How insulting. I may not look it, but I'm pretty sensitive.\Even us contractors can be equipped with a personality, depending on the program,\unlike Dolls. response:	What's the matter?
context: I met him for the first time today.\Really?\Not that it matters. We don't have any time.\I'll use the quickest way.\How insulting. I may not look it, but I'm pretty sensitive.\Even us contractors can be equipped with a personality, depending on the program,\unlike Dolls.\What's the matter? response:	I sensed something.
context: Really?\Not that it matters. We don't have any time.\I'll use the quickest way.\How insulting. I may not look it, but I'm pretty sensitive.\Even us contractors can be equipped with a personality, depending on the program,\unlike Dolls.\What's the matter?\I sensed something. response:	It can't be.
context: Not that it matters. We don't have any time.\I'll use the quickest way.\How insulting. I may not look it, but I'm pretty sensitive.\Even us contractors can be equipped with a personality, depending on the program,\unlike Dolls.\What's the matter?\I sensed something.\It can't be. response:	There's nothing there...
context: I'll use the quickest way.\How insulting. I may not look it, but I'm pretty sensitive.\Even us contractors can be equipped with a personality, depending on the program,\unlike Dolls.\What's the matter?\I sensed something.\It can't be.\There's nothing there... response:	An observer apparition?
context: How insulting. I may not look it, but I'm pretty sensitive.\Even us contractors can be equipped with a personality, depending on the program,\unlike Dolls.\What's the matter?\I sensed something.\It can't be.\There's nothing there...\An observer apparition? response:	Huh?
context: Even us contractors can be equipped with a personality, depending on the program,\unlike Dolls.\What's the matter?\I sensed something.\It can't be.\There's nothing there...\An observer apparition?\Huh? response:	Only contractors must be able to see it.
context: unlike Dolls.\What's the matter?\I sensed something.\It can't be.\There's nothing there...\An observer apparition?\Huh?\Only contractors must be able to see it. response:	Wait!
context: What's the matter?\I sensed something.\It can't be.\There's nothing there...\An observer apparition?\Huh?\Only contractors must be able to see it.\Wait! response:	That's strange. The security system for the electronic lock had a triple fail-safe.
context: I sensed something.\It can't be.\There's nothing there...\An observer apparition?\Huh?\Only contractors must be able to see it.\Wait!\That's strange. The security system for the electronic lock had a triple fail-safe. response:	You're right.
context: It can't be.\There's nothing there...\An observer apparition?\Huh?\Only contractors must be able to see it.\Wait!\That's strange. The security system for the electronic lock had a triple fail-safe.\You're right. response:	It's too much to be a coincidence.
context: There's nothing there...\An observer apparition?\Huh?\Only contractors must be able to see it.\Wait!\That's strange. The security system for the electronic lock had a triple fail-safe.\You're right.\It's too much to be a coincidence. response:	The rain has stopped, but the starry skies that appear beyond the clouds are fake.
context: An observer apparition?\Huh?\Only contractors must be able to see it.\Wait!\That's strange. The security system for the electronic lock had a triple fail-safe.\You're right.\It's too much to be a coincidence.\The rain has stopped, but the starry skies that appear beyond the clouds are fake. response:	Gentle words reach out to a closed heart, and the woman steps out...
context: Huh?\Only contractors must be able to see it.\Wait!\That's strange. The security system for the electronic lock had a triple fail-safe.\You're right.\It's too much to be a coincidence.\The rain has stopped, but the starry skies that appear beyond the clouds are fake.\Gentle words reach out to a closed heart, and the woman steps out... response:	into the dark chasms of a bottomless marsh.
context: Only contractors must be able to see it.\Wait!\That's strange. The security system for the electronic lock had a triple fail-safe.\You're right.\It's too much to be a coincidence.\The rain has stopped, but the starry skies that appear beyond the clouds are fake.\Gentle words reach out to a closed heart, and the woman steps out...\into the dark chasms of a bottomless marsh. response:	What the man sees in the fake sky is the shimmer of life that burns blue.
context: Wait!\That's strange. The security system for the electronic lock had a triple fail-safe.\You're right.\It's too much to be a coincidence.\The rain has stopped, but the starry skies that appear beyond the clouds are fake.\Gentle words reach out to a closed heart, and the woman steps out...\into the dark chasms of a bottomless marsh.\What the man sees in the fake sky is the shimmer of life that burns blue. response:	And a star falls.
context: That's strange. The security system for the electronic lock had a triple fail-safe.\You're right.\It's too much to be a coincidence.\The rain has stopped, but the starry skies that appear beyond the clouds are fake.\Gentle words reach out to a closed heart, and the woman steps out...\into the dark chasms of a bottomless marsh.\What the man sees in the fake sky is the shimmer of life that burns blue.\And a star falls. response:	Episode Two The Fallen Star of a Contract... (Part Two)
