context: Our life of two-timing cohabitation is off to a start. response:	Right off the bat, Saki-san had suspicions about me.
context: Let's give it a shot.\Yay! I got an SSR!\Yay!\Thanks, everyone!\A-All these donations...\Her evil boobs are making a killing!\It's burnt!\I'm sure burnt curry is good, too. response:	H-He's right.
context: Yay! I got an SSR!\Yay!\Thanks, everyone!\A-All these donations...\Her evil boobs are making a killing!\It's burnt!\I'm sure burnt curry is good, too.\H-He's right. response:	What if I'm actually a bad girlfriend?
context: Yay!\Thanks, everyone!\A-All these donations...\Her evil boobs are making a killing!\It's burnt!\I'm sure burnt curry is good, too.\H-He's right.\What if I'm actually a bad girlfriend? response:	What if Naoya actually... goes for Nagisa-chan?
context: Thanks, everyone!\A-All these donations...\Her evil boobs are making a killing!\It's burnt!\I'm sure burnt curry is good, too.\H-He's right.\What if I'm actually a bad girlfriend?\What if Naoya actually... goes for Nagisa-chan? response:	I'm out of options.
context: A-All these donations...\Her evil boobs are making a killing!\It's burnt!\I'm sure burnt curry is good, too.\H-He's right.\What if I'm actually a bad girlfriend?\What if Naoya actually... goes for Nagisa-chan?\I'm out of options. response:	TUE
context: Her evil boobs are making a killing!\It's burnt!\I'm sure burnt curry is good, too.\H-He's right.\What if I'm actually a bad girlfriend?\What if Naoya actually... goes for Nagisa-chan?\I'm out of options.\TUE response:	S-Saki-chan!
context: It's burnt!\I'm sure burnt curry is good, too.\H-He's right.\What if I'm actually a bad girlfriend?\What if Naoya actually... goes for Nagisa-chan?\I'm out of options.\TUE\S-Saki-chan! response:	We're doing it!
context: I'm sure burnt curry is good, too.\H-He's right.\What if I'm actually a bad girlfriend?\What if Naoya actually... goes for Nagisa-chan?\I'm out of options.\TUE\S-Saki-chan!\We're doing it! response:	Doing what?!
context: H-He's right.\What if I'm actually a bad girlfriend?\What if Naoya actually... goes for Nagisa-chan?\I'm out of options.\TUE\S-Saki-chan!\We're doing it!\Doing what?! response:	What else would you do in this situation?!
context: What if I'm actually a bad girlfriend?\What if Naoya actually... goes for Nagisa-chan?\I'm out of options.\TUE\S-Saki-chan!\We're doing it!\Doing what?!\What else would you do in this situation?! response:	W-Wait, Saki-chan...
context: What if Naoya actually... goes for Nagisa-chan?\I'm out of options.\TUE\S-Saki-chan!\We're doing it!\Doing what?!\What else would you do in this situation?!\W-Wait, Saki-chan... response:	I thought we promised not to do these kinds of things.
context: I'm out of options.\TUE\S-Saki-chan!\We're doing it!\Doing what?!\What else would you do in this situation?!\W-Wait, Saki-chan...\I thought we promised not to do these kinds of things. response:	You want to, though, don't you?
context: TUE\S-Saki-chan!\We're doing it!\Doing what?!\What else would you do in this situation?!\W-Wait, Saki-chan...\I thought we promised not to do these kinds of things.\You want to, though, don't you? response:	I'll keep it a secret for you.
context: S-Saki-chan!\We're doing it!\Doing what?!\What else would you do in this situation?!\W-Wait, Saki-chan...\I thought we promised not to do these kinds of things.\You want to, though, don't you?\I'll keep it a secret for you. response:	H-How's that, Naoya?!
context: We're doing it!\Doing what?!\What else would you do in this situation?!\W-Wait, Saki-chan...\I thought we promised not to do these kinds of things.\You want to, though, don't you?\I'll keep it a secret for you.\H-How's that, Naoya?! response:	Can you stop yourself now?
context: Doing what?!\What else would you do in this situation?!\W-Wait, Saki-chan...\I thought we promised not to do these kinds of things.\You want to, though, don't you?\I'll keep it a secret for you.\H-How's that, Naoya?!\Can you stop yourself now? response:	Saki-chan...
context: What else would you do in this situation?!\W-Wait, Saki-chan...\I thought we promised not to do these kinds of things.\You want to, though, don't you?\I'll keep it a secret for you.\H-How's that, Naoya?!\Can you stop yourself now?\Saki-chan... response:	We can't.
context: W-Wait, Saki-chan...\I thought we promised not to do these kinds of things.\You want to, though, don't you?\I'll keep it a secret for you.\H-How's that, Naoya?!\Can you stop yourself now?\Saki-chan...\We can't. response:	I can't lie like that to Minase-san.
context: I thought we promised not to do these kinds of things.\You want to, though, don't you?\I'll keep it a secret for you.\H-How's that, Naoya?!\Can you stop yourself now?\Saki-chan...\We can't.\I can't lie like that to Minase-san. response:	Let's not.
context: You want to, though, don't you?\I'll keep it a secret for you.\H-How's that, Naoya?!\Can you stop yourself now?\Saki-chan...\We can't.\I can't lie like that to Minase-san.\Let's not. response:	I'll hear you out if there's something on your mind.
context: I'll keep it a secret for you.\H-How's that, Naoya?!\Can you stop yourself now?\Saki-chan...\We can't.\I can't lie like that to Minase-san.\Let's not.\I'll hear you out if there's something on your mind. response:	U-Um...
context: H-How's that, Naoya?!\Can you stop yourself now?\Saki-chan...\We can't.\I can't lie like that to Minase-san.\Let's not.\I'll hear you out if there's something on your mind.\U-Um... response:	How can you be so calm?
context: Can you stop yourself now?\Saki-chan...\We can't.\I can't lie like that to Minase-san.\Let's not.\I'll hear you out if there's something on your mind.\U-Um...\How can you be so calm? response:	I-Is it because my boobs are so small?!
context: Saki-chan...\We can't.\I can't lie like that to Minase-san.\Let's not.\I'll hear you out if there's something on your mind.\U-Um...\How can you be so calm?\I-Is it because my boobs are so small?! response:	Do you prefer Nagisa-chan's giant boobs?!
context: We can't.\I can't lie like that to Minase-san.\Let's not.\I'll hear you out if there's something on your mind.\U-Um...\How can you be so calm?\I-Is it because my boobs are so small?!\Do you prefer Nagisa-chan's giant boobs?! response:	Saki-chan!
context: I can't lie like that to Minase-san.\Let's not.\I'll hear you out if there's something on your mind.\U-Um...\How can you be so calm?\I-Is it because my boobs are so small?!\Do you prefer Nagisa-chan's giant boobs?!\Saki-chan! response:	Saki-chan! What's wrong?
context: Let's not.\I'll hear you out if there's something on your mind.\U-Um...\How can you be so calm?\I-Is it because my boobs are so small?!\Do you prefer Nagisa-chan's giant boobs?!\Saki-chan!\Saki-chan! What's wrong? response:	Saki
context: I'll hear you out if there's something on your mind.\U-Um...\How can you be so calm?\I-Is it because my boobs are so small?!\Do you prefer Nagisa-chan's giant boobs?!\Saki-chan!\Saki-chan! What's wrong?\Saki response:	Saki-chan...
context: U-Um...\How can you be so calm?\I-Is it because my boobs are so small?!\Do you prefer Nagisa-chan's giant boobs?!\Saki-chan!\Saki-chan! What's wrong?\Saki\Saki-chan... response:	Wait!
context: How can you be so calm?\I-Is it because my boobs are so small?!\Do you prefer Nagisa-chan's giant boobs?!\Saki-chan!\Saki-chan! What's wrong?\Saki\Saki-chan...\Wait! response:	S-Saki-chan!
context: I-Is it because my boobs are so small?!\Do you prefer Nagisa-chan's giant boobs?!\Saki-chan!\Saki-chan! What's wrong?\Saki\Saki-chan...\Wait!\S-Saki-chan! response:	I'm going home
context: Do you prefer Nagisa-chan's giant boobs?!\Saki-chan!\Saki-chan! What's wrong?\Saki\Saki-chan...\Wait!\S-Saki-chan!\I'm going home response:	Saki
context: Saki-chan!\Saki-chan! What's wrong?\Saki\Saki-chan...\Wait!\S-Saki-chan!\I'm going home\Saki response:	I'm going home.
context: Saki-chan! What's wrong?\Saki\Saki-chan...\Wait!\S-Saki-chan!\I'm going home\Saki\I'm going home. response:	Neighbors
context: Saki\Saki-chan...\Wait!\S-Saki-chan!\I'm going home\Saki\I'm going home.\Neighbors response:	Do you prefer Nagisa-chan's giant boobs?!
context: Saki-chan...\Wait!\S-Saki-chan!\I'm going home\Saki\I'm going home.\Neighbors\Do you prefer Nagisa-chan's giant boobs?! response:	Girlfriend, Girlfriend
context: Wait!\S-Saki-chan!\I'm going home\Saki\I'm going home.\Neighbors\Do you prefer Nagisa-chan's giant boobs?!\Girlfriend, Girlfriend response:	Do you want Nagisa-chan's giant boobs?!
context: S-Saki-chan!\I'm going home\Saki\I'm going home.\Neighbors\Do you prefer Nagisa-chan's giant boobs?!\Girlfriend, Girlfriend\Do you want Nagisa-chan's giant boobs?! response:	Huh?!
context: I'm going home\Saki\I'm going home.\Neighbors\Do you prefer Nagisa-chan's giant boobs?!\Girlfriend, Girlfriend\Do you want Nagisa-chan's giant boobs?!\Huh?! response:	Huh!?
context: Saki\I'm going home.\Neighbors\Do you prefer Nagisa-chan's giant boobs?!\Girlfriend, Girlfriend\Do you want Nagisa-chan's giant boobs?!\Huh?!\Huh!? response:	Naoya-kun, is something wrong?
context: I'm going home.\Neighbors\Do you prefer Nagisa-chan's giant boobs?!\Girlfriend, Girlfriend\Do you want Nagisa-chan's giant boobs?!\Huh?!\Huh!?\Naoya-kun, is something wrong? response:	Minase-san...
context: Neighbors\Do you prefer Nagisa-chan's giant boobs?!\Girlfriend, Girlfriend\Do you want Nagisa-chan's giant boobs?!\Huh?!\Huh!?\Naoya-kun, is something wrong?\Minase-san... response:	Saki-chan left home.
context: Do you prefer Nagisa-chan's giant boobs?!\Girlfriend, Girlfriend\Do you want Nagisa-chan's giant boobs?!\Huh?!\Huh!?\Naoya-kun, is something wrong?\Minase-san...\Saki-chan left home. response:	She left? Why?
context: Girlfriend, Girlfriend\Do you want Nagisa-chan's giant boobs?!\Huh?!\Huh!?\Naoya-kun, is something wrong?\Minase-san...\Saki-chan left home.\She left? Why? response:	She asked me if I prefer your huge boobs.
context: Do you want Nagisa-chan's giant boobs?!\Huh?!\Huh!?\Naoya-kun, is something wrong?\Minase-san...\Saki-chan left home.\She left? Why?\She asked me if I prefer your huge boobs. response:	I don't get it!
context: Huh?!\Huh!?\Naoya-kun, is something wrong?\Minase-san...\Saki-chan left home.\She left? Why?\She asked me if I prefer your huge boobs.\I don't get it! response:	Wait, if Saki-chan left home...
context: Huh!?\Naoya-kun, is something wrong?\Minase-san...\Saki-chan left home.\She left? Why?\She asked me if I prefer your huge boobs.\I don't get it!\Wait, if Saki-chan left home... response:	Does that mean I'm living with Naoya-kun by myself?
context: Naoya-kun, is something wrong?\Minase-san...\Saki-chan left home.\She left? Why?\She asked me if I prefer your huge boobs.\I don't get it!\Wait, if Saki-chan left home...\Does that mean I'm living with Naoya-kun by myself? response:	Is this the beginning of our life together?
context: Minase-san...\Saki-chan left home.\She left? Why?\She asked me if I prefer your huge boobs.\I don't get it!\Wait, if Saki-chan left home...\Does that mean I'm living with Naoya-kun by myself?\Is this the beginning of our life together? response:	Kiss me.
context: Saki-chan left home.\She left? Why?\She asked me if I prefer your huge boobs.\I don't get it!\Wait, if Saki-chan left home...\Does that mean I'm living with Naoya-kun by myself?\Is this the beginning of our life together?\Kiss me. response:	Sorry to worry you.
context: She left? Why?\She asked me if I prefer your huge boobs.\I don't get it!\Wait, if Saki-chan left home...\Does that mean I'm living with Naoya-kun by myself?\Is this the beginning of our life together?\Kiss me.\Sorry to worry you. response:	I'll make sure Saki-chan and I make up.
context: She asked me if I prefer your huge boobs.\I don't get it!\Wait, if Saki-chan left home...\Does that mean I'm living with Naoya-kun by myself?\Is this the beginning of our life together?\Kiss me.\Sorry to worry you.\I'll make sure Saki-chan and I make up. response:	Right, of course.
context: I don't get it!\Wait, if Saki-chan left home...\Does that mean I'm living with Naoya-kun by myself?\Is this the beginning of our life together?\Kiss me.\Sorry to worry you.\I'll make sure Saki-chan and I make up.\Right, of course. response:	She's not replying to my messages. And it's late at night.
context: Wait, if Saki-chan left home...\Does that mean I'm living with Naoya-kun by myself?\Is this the beginning of our life together?\Kiss me.\Sorry to worry you.\I'll make sure Saki-chan and I make up.\Right, of course.\She's not replying to my messages. And it's late at night. response:	I'll try talking to her in the morning.
context: Does that mean I'm living with Naoya-kun by myself?\Is this the beginning of our life together?\Kiss me.\Sorry to worry you.\I'll make sure Saki-chan and I make up.\Right, of course.\She's not replying to my messages. And it's late at night.\I'll try talking to her in the morning. response:	O-Okay.
context: Is this the beginning of our life together?\Kiss me.\Sorry to worry you.\I'll make sure Saki-chan and I make up.\Right, of course.\She's not replying to my messages. And it's late at night.\I'll try talking to her in the morning.\O-Okay. response:	It's my chance to be alone with Naoya-kun.
context: Kiss me.\Sorry to worry you.\I'll make sure Saki-chan and I make up.\Right, of course.\She's not replying to my messages. And it's late at night.\I'll try talking to her in the morning.\O-Okay.\It's my chance to be alone with Naoya-kun. response:	But if I'm thinking of Naoya-kun...
context: Sorry to worry you.\I'll make sure Saki-chan and I make up.\Right, of course.\She's not replying to my messages. And it's late at night.\I'll try talking to her in the morning.\O-Okay.\It's my chance to be alone with Naoya-kun.\But if I'm thinking of Naoya-kun... response:	Is there anything I can do?
context: I'll make sure Saki-chan and I make up.\Right, of course.\She's not replying to my messages. And it's late at night.\I'll try talking to her in the morning.\O-Okay.\It's my chance to be alone with Naoya-kun.\But if I'm thinking of Naoya-kun...\Is there anything I can do? response:	Thanks.
context: Right, of course.\She's not replying to my messages. And it's late at night.\I'll try talking to her in the morning.\O-Okay.\It's my chance to be alone with Naoya-kun.\But if I'm thinking of Naoya-kun...\Is there anything I can do?\Thanks. response:	But I have to solve this.
context: She's not replying to my messages. And it's late at night.\I'll try talking to her in the morning.\O-Okay.\It's my chance to be alone with Naoya-kun.\But if I'm thinking of Naoya-kun...\Is there anything I can do?\Thanks.\But I have to solve this. response:	So...
context: I'll try talking to her in the morning.\O-Okay.\It's my chance to be alone with Naoya-kun.\But if I'm thinking of Naoya-kun...\Is there anything I can do?\Thanks.\But I have to solve this.\So... response:	I'm not going to rest or sleep until we make up!
context: O-Okay.\It's my chance to be alone with Naoya-kun.\But if I'm thinking of Naoya-kun...\Is there anything I can do?\Thanks.\But I have to solve this.\So...\I'm not going to rest or sleep until we make up! response:	Please don't put yourself in danger!
context: It's my chance to be alone with Naoya-kun.\But if I'm thinking of Naoya-kun...\Is there anything I can do?\Thanks.\But I have to solve this.\So...\I'm not going to rest or sleep until we make up!\Please don't put yourself in danger! response:	Saki-chan must be worried about my relationship with two girls.
context: But if I'm thinking of Naoya-kun...\Is there anything I can do?\Thanks.\But I have to solve this.\So...\I'm not going to rest or sleep until we make up!\Please don't put yourself in danger!\Saki-chan must be worried about my relationship with two girls. response:	Are you really...
context: Is there anything I can do?\Thanks.\But I have to solve this.\So...\I'm not going to rest or sleep until we make up!\Please don't put yourself in danger!\Saki-chan must be worried about my relationship with two girls.\Are you really... response:	I'm going to stay up all night to write a love letter to her!
context: Thanks.\But I have to solve this.\So...\I'm not going to rest or sleep until we make up!\Please don't put yourself in danger!\Saki-chan must be worried about my relationship with two girls.\Are you really...\I'm going to stay up all night to write a love letter to her! response:	Could I at least make you a nutritious meal?
context: But I have to solve this.\So...\I'm not going to rest or sleep until we make up!\Please don't put yourself in danger!\Saki-chan must be worried about my relationship with two girls.\Are you really...\I'm going to stay up all night to write a love letter to her!\Could I at least make you a nutritious meal? response:	Saki-chan!
context: So...\I'm not going to rest or sleep until we make up!\Please don't put yourself in danger!\Saki-chan must be worried about my relationship with two girls.\Are you really...\I'm going to stay up all night to write a love letter to her!\Could I at least make you a nutritious meal?\Saki-chan! response:	Let me talk to you, please!
context: I'm not going to rest or sleep until we make up!\Please don't put yourself in danger!\Saki-chan must be worried about my relationship with two girls.\Are you really...\I'm going to stay up all night to write a love letter to her!\Could I at least make you a nutritious meal?\Saki-chan!\Let me talk to you, please! response:	Saki-chan!
context: Please don't put yourself in danger!\Saki-chan must be worried about my relationship with two girls.\Are you really...\I'm going to stay up all night to write a love letter to her!\Could I at least make you a nutritious meal?\Saki-chan!\Let me talk to you, please!\Saki-chan! response:	Shut up! Don't talk to me!
context: Saki-chan must be worried about my relationship with two girls.\Are you really...\I'm going to stay up all night to write a love letter to her!\Could I at least make you a nutritious meal?\Saki-chan!\Let me talk to you, please!\Saki-chan!\Shut up! Don't talk to me! response:	Then read this letter I wrote for you!
context: Are you really...\I'm going to stay up all night to write a love letter to her!\Could I at least make you a nutritious meal?\Saki-chan!\Let me talk to you, please!\Saki-chan!\Shut up! Don't talk to me!\Then read this letter I wrote for you! response:	So heavy!
context: I'm going to stay up all night to write a love letter to her!\Could I at least make you a nutritious meal?\Saki-chan!\Let me talk to you, please!\Saki-chan!\Shut up! Don't talk to me!\Then read this letter I wrote for you!\So heavy! response:	I'm not reading that!
context: Could I at least make you a nutritious meal?\Saki-chan!\Let me talk to you, please!\Saki-chan!\Shut up! Don't talk to me!\Then read this letter I wrote for you!\So heavy!\I'm not reading that! response:	Fine...
context: Saki-chan!\Let me talk to you, please!\Saki-chan!\Shut up! Don't talk to me!\Then read this letter I wrote for you!\So heavy!\I'm not reading that!\Fine... response:	My Feelings for Saki-chan: Chapter One!
context: Let me talk to you, please!\Saki-chan!\Shut up! Don't talk to me!\Then read this letter I wrote for you!\So heavy!\I'm not reading that!\Fine...\My Feelings for Saki-chan: Chapter One! response:	My love is...
context: Saki-chan!\Shut up! Don't talk to me!\Then read this letter I wrote for you!\So heavy!\I'm not reading that!\Fine...\My Feelings for Saki-chan: Chapter One!\My love is... response:	Don't read it out loud!
context: Shut up! Don't talk to me!\Then read this letter I wrote for you!\So heavy!\I'm not reading that!\Fine...\My Feelings for Saki-chan: Chapter One!\My love is...\Don't read it out loud! response:	Naoya-kun...
context: Then read this letter I wrote for you!\So heavy!\I'm not reading that!\Fine...\My Feelings for Saki-chan: Chapter One!\My love is...\Don't read it out loud!\Naoya-kun... response:	I'm not done yet.
context: So heavy!\I'm not reading that!\Fine...\My Feelings for Saki-chan: Chapter One!\My love is...\Don't read it out loud!\Naoya-kun...\I'm not done yet. response:	I'll give you 100,000 yen worth of gacha pulls from the game you like!
context: I'm not reading that!\Fine...\My Feelings for Saki-chan: Chapter One!\My love is...\Don't read it out loud!\Naoya-kun...\I'm not done yet.\I'll give you 100,000 yen worth of gacha pulls from the game you like! response:	Seishoujin Summon
context: Fine...\My Feelings for Saki-chan: Chapter One!\My love is...\Don't read it out loud!\Naoya-kun...\I'm not done yet.\I'll give you 100,000 yen worth of gacha pulls from the game you like!\Seishoujin Summon response:	<Limited Time>
context: My Feelings for Saki-chan: Chapter One!\My love is...\Don't read it out loud!\Naoya-kun...\I'm not done yet.\I'll give you 100,000 yen worth of gacha pulls from the game you like!\Seishoujin Summon\<Limited Time> response:	Summon 1
context: My love is...\Don't read it out loud!\Naoya-kun...\I'm not done yet.\I'll give you 100,000 yen worth of gacha pulls from the game you like!\Seishoujin Summon\<Limited Time>\Summon 1 response:	Seishoujin Summon
context: Don't read it out loud!\Naoya-kun...\I'm not done yet.\I'll give you 100,000 yen worth of gacha pulls from the game you like!\Seishoujin Summon\<Limited Time>\Summon 1\Seishoujin Summon response:	<Limited Time>
context: Naoya-kun...\I'm not done yet.\I'll give you 100,000 yen worth of gacha pulls from the game you like!\Seishoujin Summon\<Limited Time>\Summon 1\Seishoujin Summon\<Limited Time> response:	Summon 1
context: I'm not done yet.\I'll give you 100,000 yen worth of gacha pulls from the game you like!\Seishoujin Summon\<Limited Time>\Summon 1\Seishoujin Summon\<Limited Time>\Summon 1 response:	Summon 10
context: I'll give you 100,000 yen worth of gacha pulls from the game you like!\Seishoujin Summon\<Limited Time>\Summon 1\Seishoujin Summon\<Limited Time>\Summon 1\Summon 10 response:	Seishoujin Summon
context: Seishoujin Summon\<Limited Time>\Summon 1\Seishoujin Summon\<Limited Time>\Summon 1\Summon 10\Seishoujin Summon response:	<Limited Time>
context: <Limited Time>\Summon 1\Seishoujin Summon\<Limited Time>\Summon 1\Summon 10\Seishoujin Summon\<Limited Time> response:	Summon 1
context: Summon 1\Seishoujin Summon\<Limited Time>\Summon 1\Summon 10\Seishoujin Summon\<Limited Time>\Summon 1 response:	Summon 10
context: Seishoujin Summon\<Limited Time>\Summon 1\Summon 10\Seishoujin Summon\<Limited Time>\Summon 1\Summon 10 response:	Seishoujin Summon
context: <Limited Time>\Summon 1\Summon 10\Seishoujin Summon\<Limited Time>\Summon 1\Summon 10\Seishoujin Summon response:	<Limited Time>
context: Summon 1\Summon 10\Seishoujin Summon\<Limited Time>\Summon 1\Summon 10\Seishoujin Summon\<Limited Time> response:	Summon 1
context: Summon 10\Seishoujin Summon\<Limited Time>\Summon 1\Summon 10\Seishoujin Summon\<Limited Time>\Summon 1 response:	Summon 10
context: Seishoujin Summon\<Limited Time>\Summon 1\Summon 10\Seishoujin Summon\<Limited Time>\Summon 1\Summon 10 response:	Seishoujin Summon
context: <Limited Time>\Summon 1\Summon 10\Seishoujin Summon\<Limited Time>\Summon 1\Summon 10\Seishoujin Summon response:	<Limited Time>
context: Summon 1\Summon 10\Seishoujin Summon\<Limited Time>\Summon 1\Summon 10\Seishoujin Summon\<Limited Time> response:	Summon 1
context: Summon 10\Seishoujin Summon\<Limited Time>\Summon 1\Summon 10\Seishoujin Summon\<Limited Time>\Summon 1 response:	Summon 10
context: Seishoujin Summon\<Limited Time>\Summon 1\Summon 10\Seishoujin Summon\<Limited Time>\Summon 1\Summon 10 response:	I used my savings!
context: <Limited Time>\Summon 1\Summon 10\Seishoujin Summon\<Limited Time>\Summon 1\Summon 10\I used my savings! response:	If you talk to me, I'll give you my account.
context: Summon 1\Summon 10\Seishoujin Summon\<Limited Time>\Summon 1\Summon 10\I used my savings!\If you talk to me, I'll give you my account. response:	Ten pulls, twenty pulls, thirty pulls...
context: Summon 10\Seishoujin Summon\<Limited Time>\Summon 1\Summon 10\I used my savings!\If you talk to me, I'll give you my account.\Ten pulls, twenty pulls, thirty pulls... response:	Oh, your money...
context: Seishoujin Summon\<Limited Time>\Summon 1\Summon 10\I used my savings!\If you talk to me, I'll give you my account.\Ten pulls, twenty pulls, thirty pulls...\Oh, your money... response:	There, I did them all!
context: <Limited Time>\Summon 1\Summon 10\I used my savings!\If you talk to me, I'll give you my account.\Ten pulls, twenty pulls, thirty pulls...\Oh, your money...\There, I did them all! response:	Wait...
context: Summon 1\Summon 10\I used my savings!\If you talk to me, I'll give you my account.\Ten pulls, twenty pulls, thirty pulls...\Oh, your money...\There, I did them all!\Wait... response:	Not a single five-star!
context: Summon 10\I used my savings!\If you talk to me, I'll give you my account.\Ten pulls, twenty pulls, thirty pulls...\Oh, your money...\There, I did them all!\Wait...\Not a single five-star! response:	Don't expect to buy me off like that!
context: I used my savings!\If you talk to me, I'll give you my account.\Ten pulls, twenty pulls, thirty pulls...\Oh, your money...\There, I did them all!\Wait...\Not a single five-star!\Don't expect to buy me off like that! response:	That didn't work.
context: If you talk to me, I'll give you my account.\Ten pulls, twenty pulls, thirty pulls...\Oh, your money...\There, I did them all!\Wait...\Not a single five-star!\Don't expect to buy me off like that!\That didn't work. response:	You're going too far.
context: Ten pulls, twenty pulls, thirty pulls...\Oh, your money...\There, I did them all!\Wait...\Not a single five-star!\Don't expect to buy me off like that!\That didn't work.\You're going too far. response:	Saki-chan! Saki-chan!
context: Oh, your money...\There, I did them all!\Wait...\Not a single five-star!\Don't expect to buy me off like that!\That didn't work.\You're going too far.\Saki-chan! Saki-chan! response:	You're disturbing the neighbors!
context: There, I did them all!\Wait...\Not a single five-star!\Don't expect to buy me off like that!\That didn't work.\You're going too far.\Saki-chan! Saki-chan!\You're disturbing the neighbors! response:	I bought cakes from a bunch of popular cake shops.
context: Wait...\Not a single five-star!\Don't expect to buy me off like that!\That didn't work.\You're going too far.\Saki-chan! Saki-chan!\You're disturbing the neighbors!\I bought cakes from a bunch of popular cake shops. response:	Let's talk properly!
context: Not a single five-star!\Don't expect to buy me off like that!\That didn't work.\You're going too far.\Saki-chan! Saki-chan!\You're disturbing the neighbors!\I bought cakes from a bunch of popular cake shops.\Let's talk properly! response:	I-I don't want any!
context: Don't expect to buy me off like that!\That didn't work.\You're going too far.\Saki-chan! Saki-chan!\You're disturbing the neighbors!\I bought cakes from a bunch of popular cake shops.\Let's talk properly!\I-I don't want any! response:	You should take a break.
context: That didn't work.\You're going too far.\Saki-chan! Saki-chan!\You're disturbing the neighbors!\I bought cakes from a bunch of popular cake shops.\Let's talk properly!\I-I don't want any!\You should take a break. response:	Saki-chan... Saki-chan...
context: You're going too far.\Saki-chan! Saki-chan!\You're disturbing the neighbors!\I bought cakes from a bunch of popular cake shops.\Let's talk properly!\I-I don't want any!\You should take a break.\Saki-chan... Saki-chan... response:	I went all over town and took a ton of cute cat and dog videos.
context: Saki-chan! Saki-chan!\You're disturbing the neighbors!\I bought cakes from a bunch of popular cake shops.\Let's talk properly!\I-I don't want any!\You should take a break.\Saki-chan... Saki-chan...\I went all over town and took a ton of cute cat and dog videos. response:	Th-There are plenty of those online!
context: You're disturbing the neighbors!\I bought cakes from a bunch of popular cake shops.\Let's talk properly!\I-I don't want any!\You should take a break.\Saki-chan... Saki-chan...\I went all over town and took a ton of cute cat and dog videos.\Th-There are plenty of those online! response:	Were you up all night again?
context: I bought cakes from a bunch of popular cake shops.\Let's talk properly!\I-I don't want any!\You should take a break.\Saki-chan... Saki-chan...\I went all over town and took a ton of cute cat and dog videos.\Th-There are plenty of those online!\Were you up all night again? response:	Saki-chan... Saki-chan...
context: Let's talk properly!\I-I don't want any!\You should take a break.\Saki-chan... Saki-chan...\I went all over town and took a ton of cute cat and dog videos.\Th-There are plenty of those online!\Were you up all night again?\Saki-chan... Saki-chan... response:	I organized my notes... from class... for you.
context: I-I don't want any!\You should take a break.\Saki-chan... Saki-chan...\I went all over town and took a ton of cute cat and dog videos.\Th-There are plenty of those online!\Were you up all night again?\Saki-chan... Saki-chan...\I organized my notes... from class... for you. response:	I have zero interest in that.
context: You should take a break.\Saki-chan... Saki-chan...\I went all over town and took a ton of cute cat and dog videos.\Th-There are plenty of those online!\Were you up all night again?\Saki-chan... Saki-chan...\I organized my notes... from class... for you.\I have zero interest in that. response:	Seriously, take a break!
context: Saki-chan... Saki-chan...\I went all over town and took a ton of cute cat and dog videos.\Th-There are plenty of those online!\Were you up all night again?\Saki-chan... Saki-chan...\I organized my notes... from class... for you.\I have zero interest in that.\Seriously, take a break! response:	Saki-chan...
context: I went all over town and took a ton of cute cat and dog videos.\Th-There are plenty of those online!\Were you up all night again?\Saki-chan... Saki-chan...\I organized my notes... from class... for you.\I have zero interest in that.\Seriously, take a break!\Saki-chan... response:	Saki-chan...
context: Th-There are plenty of those online!\Were you up all night again?\Saki-chan... Saki-chan...\I organized my notes... from class... for you.\I have zero interest in that.\Seriously, take a break!\Saki-chan...\Saki-chan... response:	Sa... Saki-chan...
context: Were you up all night again?\Saki-chan... Saki-chan...\I organized my notes... from class... for you.\I have zero interest in that.\Seriously, take a break!\Saki-chan...\Saki-chan...\Sa... Saki-chan... response:	Please...
context: Saki-chan... Saki-chan...\I organized my notes... from class... for you.\I have zero interest in that.\Seriously, take a break!\Saki-chan...\Saki-chan...\Sa... Saki-chan...\Please... response:	T-Talk to me...
context: I organized my notes... from class... for you.\I have zero interest in that.\Seriously, take a break!\Saki-chan...\Saki-chan...\Sa... Saki-chan...\Please...\T-Talk to me... response:	You haven't slept for three days.
context: I have zero interest in that.\Seriously, take a break!\Saki-chan...\Saki-chan...\Sa... Saki-chan...\Please...\T-Talk to me...\You haven't slept for three days. response:	Jeez!
context: Seriously, take a break!\Saki-chan...\Saki-chan...\Sa... Saki-chan...\Please...\T-Talk to me...\You haven't slept for three days.\Jeez! response:	Go have fun with big-boobs Nagisa-chan.
context: Saki-chan...\Saki-chan...\Sa... Saki-chan...\Please...\T-Talk to me...\You haven't slept for three days.\Jeez!\Go have fun with big-boobs Nagisa-chan. response:	I-I see...
context: Saki-chan...\Sa... Saki-chan...\Please...\T-Talk to me...\You haven't slept for three days.\Jeez!\Go have fun with big-boobs Nagisa-chan.\I-I see... response:	You're worried about your breast size.
context: Sa... Saki-chan...\Please...\T-Talk to me...\You haven't slept for three days.\Jeez!\Go have fun with big-boobs Nagisa-chan.\I-I see...\You're worried about your breast size. response:	W-Well... Not really!
context: Please...\T-Talk to me...\You haven't slept for three days.\Jeez!\Go have fun with big-boobs Nagisa-chan.\I-I see...\You're worried about your breast size.\W-Well... Not really! response:	That doesn't bug me!
context: T-Talk to me...\You haven't slept for three days.\Jeez!\Go have fun with big-boobs Nagisa-chan.\I-I see...\You're worried about your breast size.\W-Well... Not really!\That doesn't bug me! response:	My private account on Quitter!
