context: Isabelle... response:	I'm getting used to my new life.
context: I left you a note and everything.\Huh?\What?\You're making a scary face.\Are you asking me to just take that note and leave you, with the way things were going?\I may accept everything you say, but if you vanish on me like that...\Why were you resting here?\My body's out of balance. response:	I was here adjusting.
context: Huh?\What?\You're making a scary face.\Are you asking me to just take that note and leave you, with the way things were going?\I may accept everything you say, but if you vanish on me like that...\Why were you resting here?\My body's out of balance.\I was here adjusting. response:	Half of what he says is a lie.
context: What?\You're making a scary face.\Are you asking me to just take that note and leave you, with the way things were going?\I may accept everything you say, but if you vanish on me like that...\Why were you resting here?\My body's out of balance.\I was here adjusting.\Half of what he says is a lie. response:	I think.
context: You're making a scary face.\Are you asking me to just take that note and leave you, with the way things were going?\I may accept everything you say, but if you vanish on me like that...\Why were you resting here?\My body's out of balance.\I was here adjusting.\Half of what he says is a lie.\I think. response:	I didn't mind him trying to gloss things over before.
context: Are you asking me to just take that note and leave you, with the way things were going?\I may accept everything you say, but if you vanish on me like that...\Why were you resting here?\My body's out of balance.\I was here adjusting.\Half of what he says is a lie.\I think.\I didn't mind him trying to gloss things over before. response:	Why am I so scared now?
context: I may accept everything you say, but if you vanish on me like that...\Why were you resting here?\My body's out of balance.\I was here adjusting.\Half of what he says is a lie.\I think.\I didn't mind him trying to gloss things over before.\Why am I so scared now? response:	As for any other questions you may have about me, could you give me a little time?
context: Why were you resting here?\My body's out of balance.\I was here adjusting.\Half of what he says is a lie.\I think.\I didn't mind him trying to gloss things over before.\Why am I so scared now?\As for any other questions you may have about me, could you give me a little time? response:	I want time to gather my thoughts.
context: My body's out of balance.\I was here adjusting.\Half of what he says is a lie.\I think.\I didn't mind him trying to gloss things over before.\Why am I so scared now?\As for any other questions you may have about me, could you give me a little time?\I want time to gather my thoughts. response:	I'll be waiting, then.
context: I was here adjusting.\Half of what he says is a lie.\I think.\I didn't mind him trying to gloss things over before.\Why am I so scared now?\As for any other questions you may have about me, could you give me a little time?\I want time to gather my thoughts.\I'll be waiting, then. response:	Are you angry?
context: Half of what he says is a lie.\I think.\I didn't mind him trying to gloss things over before.\Why am I so scared now?\As for any other questions you may have about me, could you give me a little time?\I want time to gather my thoughts.\I'll be waiting, then.\Are you angry? response:	I'm not angry.
context: I think.\I didn't mind him trying to gloss things over before.\Why am I so scared now?\As for any other questions you may have about me, could you give me a little time?\I want time to gather my thoughts.\I'll be waiting, then.\Are you angry?\I'm not angry. response:	Not angry.
context: I didn't mind him trying to gloss things over before.\Why am I so scared now?\As for any other questions you may have about me, could you give me a little time?\I want time to gather my thoughts.\I'll be waiting, then.\Are you angry?\I'm not angry.\Not angry. response:	What are you thinking about, then?
context: Why am I so scared now?\As for any other questions you may have about me, could you give me a little time?\I want time to gather my thoughts.\I'll be waiting, then.\Are you angry?\I'm not angry.\Not angry.\What are you thinking about, then? response:	I told you, I'm not...
context: As for any other questions you may have about me, could you give me a little time?\I want time to gather my thoughts.\I'll be waiting, then.\Are you angry?\I'm not angry.\Not angry.\What are you thinking about, then?\I told you, I'm not... response:	Kaboosh!
context: I want time to gather my thoughts.\I'll be waiting, then.\Are you angry?\I'm not angry.\Not angry.\What are you thinking about, then?\I told you, I'm not...\Kaboosh! response:	Elias!
context: I'll be waiting, then.\Are you angry?\I'm not angry.\Not angry.\What are you thinking about, then?\I told you, I'm not...\Kaboosh!\Elias! response:	A fairy?
context: Are you angry?\I'm not angry.\Not angry.\What are you thinking about, then?\I told you, I'm not...\Kaboosh!\Elias!\A fairy? response:	Echos' familiar.
context: I'm not angry.\Not angry.\What are you thinking about, then?\I told you, I'm not...\Kaboosh!\Elias!\A fairy?\Echos' familiar. response:	From Lindenbaum to Thorn. I have a message from Lindel-sama.
context: Not angry.\What are you thinking about, then?\I told you, I'm not...\Kaboosh!\Elias!\A fairy?\Echos' familiar.\From Lindenbaum to Thorn. I have a message from Lindel-sama. response:	I have business with the child you foster. Come quickly...
context: What are you thinking about, then?\I told you, I'm not...\Kaboosh!\Elias!\A fairy?\Echos' familiar.\From Lindenbaum to Thorn. I have a message from Lindel-sama.\I have business with the child you foster. Come quickly... response:	To the land of dragons.
context: I told you, I'm not...\Kaboosh!\Elias!\A fairy?\Echos' familiar.\From Lindenbaum to Thorn. I have a message from Lindel-sama.\I have business with the child you foster. Come quickly...\To the land of dragons. response:	The girl visits the land of dragons for a second time.
context: Kaboosh!\Elias!\A fairy?\Echos' familiar.\From Lindenbaum to Thorn. I have a message from Lindel-sama.\I have business with the child you foster. Come quickly...\To the land of dragons.\The girl visits the land of dragons for a second time. response:	There, she learns of a side to the mage that she'd never known before.
context: Elias!\A fairy?\Echos' familiar.\From Lindenbaum to Thorn. I have a message from Lindel-sama.\I have business with the child you foster. Come quickly...\To the land of dragons.\The girl visits the land of dragons for a second time.\There, she learns of a side to the mage that she'd never known before. response:	It came as certain as the night.
