context: That must've been hard. response:	No, Prince Zen and the people at Fort Laxdo were there with me.
context: I don't like where this is going.\I heard that the girl left you,\but if you have any lingering affection, I can prepare a seat for her here.\Lord Brother, you are reading too much into things.\Am I? It's a good chance, isn't it?\The girl might want to go back to her home country, you know?\Lord Brother!\Hey, wait, their conversation is turning into a bad joke... response:	Miss?
context: I heard that the girl left you,\but if you have any lingering affection, I can prepare a seat for her here.\Lord Brother, you are reading too much into things.\Am I? It's a good chance, isn't it?\The girl might want to go back to her home country, you know?\Lord Brother!\Hey, wait, their conversation is turning into a bad joke...\Miss? response:	Oh, sorry. My break's over, so I have to get back.
context: but if you have any lingering affection, I can prepare a seat for her here.\Lord Brother, you are reading too much into things.\Am I? It's a good chance, isn't it?\The girl might want to go back to her home country, you know?\Lord Brother!\Hey, wait, their conversation is turning into a bad joke...\Miss?\Oh, sorry. My break's over, so I have to get back. response:	I wonder if I was being told to leave Clarines?
context: Lord Brother, you are reading too much into things.\Am I? It's a good chance, isn't it?\The girl might want to go back to her home country, you know?\Lord Brother!\Hey, wait, their conversation is turning into a bad joke...\Miss?\Oh, sorry. My break's over, so I have to get back.\I wonder if I was being told to leave Clarines? response:	That I'm not necessary here?
context: Am I? It's a good chance, isn't it?\The girl might want to go back to her home country, you know?\Lord Brother!\Hey, wait, their conversation is turning into a bad joke...\Miss?\Oh, sorry. My break's over, so I have to get back.\I wonder if I was being told to leave Clarines?\That I'm not necessary here? response:	Raj.
context: The girl might want to go back to her home country, you know?\Lord Brother!\Hey, wait, their conversation is turning into a bad joke...\Miss?\Oh, sorry. My break's over, so I have to get back.\I wonder if I was being told to leave Clarines?\That I'm not necessary here?\Raj. response:	Oh, thank you for the offer, Izana, but I politely decline.
context: Lord Brother!\Hey, wait, their conversation is turning into a bad joke...\Miss?\Oh, sorry. My break's over, so I have to get back.\I wonder if I was being told to leave Clarines?\That I'm not necessary here?\Raj.\Oh, thank you for the offer, Izana, but I politely decline. response:	Shirayuki definitely did not leave me,
context: Hey, wait, their conversation is turning into a bad joke...\Miss?\Oh, sorry. My break's over, so I have to get back.\I wonder if I was being told to leave Clarines?\That I'm not necessary here?\Raj.\Oh, thank you for the offer, Izana, but I politely decline.\Shirayuki definitely did not leave me, response:	I wholeheartedly supported her in her desire to live in another country.
context: Miss?\Oh, sorry. My break's over, so I have to get back.\I wonder if I was being told to leave Clarines?\That I'm not necessary here?\Raj.\Oh, thank you for the offer, Izana, but I politely decline.\Shirayuki definitely did not leave me,\I wholeheartedly supported her in her desire to live in another country. response:	Of course I have no lingering affection!
context: Oh, sorry. My break's over, so I have to get back.\I wonder if I was being told to leave Clarines?\That I'm not necessary here?\Raj.\Oh, thank you for the offer, Izana, but I politely decline.\Shirayuki definitely did not leave me,\I wholeheartedly supported her in her desire to live in another country.\Of course I have no lingering affection! response:	Is there a reason you cannot see her?
context: I wonder if I was being told to leave Clarines?\That I'm not necessary here?\Raj.\Oh, thank you for the offer, Izana, but I politely decline.\Shirayuki definitely did not leave me,\I wholeheartedly supported her in her desire to live in another country.\Of course I have no lingering affection!\Is there a reason you cannot see her? response:	W-Well...
context: That I'm not necessary here?\Raj.\Oh, thank you for the offer, Izana, but I politely decline.\Shirayuki definitely did not leave me,\I wholeheartedly supported her in her desire to live in another country.\Of course I have no lingering affection!\Is there a reason you cannot see her?\W-Well... response:	If you don't want your foolish actions to be made public,
context: Raj.\Oh, thank you for the offer, Izana, but I politely decline.\Shirayuki definitely did not leave me,\I wholeheartedly supported her in her desire to live in another country.\Of course I have no lingering affection!\Is there a reason you cannot see her?\W-Well...\If you don't want your foolish actions to be made public, response:	then swear you will never approach Shirayuki again or say her name.
context: Oh, thank you for the offer, Izana, but I politely decline.\Shirayuki definitely did not leave me,\I wholeheartedly supported her in her desire to live in another country.\Of course I have no lingering affection!\Is there a reason you cannot see her?\W-Well...\If you don't want your foolish actions to be made public,\then swear you will never approach Shirayuki again or say her name. response:	A-All right! I promise!
context: Shirayuki definitely did not leave me,\I wholeheartedly supported her in her desire to live in another country.\Of course I have no lingering affection!\Is there a reason you cannot see her?\W-Well...\If you don't want your foolish actions to be made public,\then swear you will never approach Shirayuki again or say her name.\A-All right! I promise! response:	I just swore!
context: I wholeheartedly supported her in her desire to live in another country.\Of course I have no lingering affection!\Is there a reason you cannot see her?\W-Well...\If you don't want your foolish actions to be made public,\then swear you will never approach Shirayuki again or say her name.\A-All right! I promise!\I just swore! response:	I heard that Zen thinks of Shirayuki as his fiancee.
context: Of course I have no lingering affection!\Is there a reason you cannot see her?\W-Well...\If you don't want your foolish actions to be made public,\then swear you will never approach Shirayuki again or say her name.\A-All right! I promise!\I just swore!\I heard that Zen thinks of Shirayuki as his fiancee. response:	Eh?
context: Is there a reason you cannot see her?\W-Well...\If you don't want your foolish actions to be made public,\then swear you will never approach Shirayuki again or say her name.\A-All right! I promise!\I just swore!\I heard that Zen thinks of Shirayuki as his fiancee.\Eh? response:	Huh?
context: W-Well...\If you don't want your foolish actions to be made public,\then swear you will never approach Shirayuki again or say her name.\A-All right! I promise!\I just swore!\I heard that Zen thinks of Shirayuki as his fiancee.\Eh?\Huh? response:	Come with me for a sec.
context: If you don't want your foolish actions to be made public,\then swear you will never approach Shirayuki again or say her name.\A-All right! I promise!\I just swore!\I heard that Zen thinks of Shirayuki as his fiancee.\Eh?\Huh?\Come with me for a sec. response:	Z-Zen, where...?
context: then swear you will never approach Shirayuki again or say her name.\A-All right! I promise!\I just swore!\I heard that Zen thinks of Shirayuki as his fiancee.\Eh?\Huh?\Come with me for a sec.\Z-Zen, where...? response:	What he said just now...
context: A-All right! I promise!\I just swore!\I heard that Zen thinks of Shirayuki as his fiancee.\Eh?\Huh?\Come with me for a sec.\Z-Zen, where...?\What he said just now... response:	I think I might pass out.
context: I just swore!\I heard that Zen thinks of Shirayuki as his fiancee.\Eh?\Huh?\Come with me for a sec.\Z-Zen, where...?\What he said just now...\I think I might pass out. response:	What do you think you're saying?
context: I heard that Zen thinks of Shirayuki as his fiancee.\Eh?\Huh?\Come with me for a sec.\Z-Zen, where...?\What he said just now...\I think I might pass out.\What do you think you're saying? response:	W-Wait! I had no choice with the way the conversation was going!
context: Eh?\Huh?\Come with me for a sec.\Z-Zen, where...?\What he said just now...\I think I might pass out.\What do you think you're saying?\W-Wait! I had no choice with the way the conversation was going! response:	Yes, you did!
context: Huh?\Come with me for a sec.\Z-Zen, where...?\What he said just now...\I think I might pass out.\What do you think you're saying?\W-Wait! I had no choice with the way the conversation was going!\Yes, you did! response:	I might have exaggerated things a little, but it's the same thing in the end, right?
context: Come with me for a sec.\Z-Zen, where...?\What he said just now...\I think I might pass out.\What do you think you're saying?\W-Wait! I had no choice with the way the conversation was going!\Yes, you did!\I might have exaggerated things a little, but it's the same thing in the end, right? response:	The same?
context: Z-Zen, where...?\What he said just now...\I think I might pass out.\What do you think you're saying?\W-Wait! I had no choice with the way the conversation was going!\Yes, you did!\I might have exaggerated things a little, but it's the same thing in the end, right?\The same? response:	You and Shirayuki are lovers, are you not?
context: What he said just now...\I think I might pass out.\What do you think you're saying?\W-Wait! I had no choice with the way the conversation was going!\Yes, you did!\I might have exaggerated things a little, but it's the same thing in the end, right?\The same?\You and Shirayuki are lovers, are you not? response:	Huh?
context: I think I might pass out.\What do you think you're saying?\W-Wait! I had no choice with the way the conversation was going!\Yes, you did!\I might have exaggerated things a little, but it's the same thing in the end, right?\The same?\You and Shirayuki are lovers, are you not?\Huh? response:	Don't tell me that's not the case?!
context: What do you think you're saying?\W-Wait! I had no choice with the way the conversation was going!\Yes, you did!\I might have exaggerated things a little, but it's the same thing in the end, right?\The same?\You and Shirayuki are lovers, are you not?\Huh?\Don't tell me that's not the case?! response:	Stop making a racket.
context: W-Wait! I had no choice with the way the conversation was going!\Yes, you did!\I might have exaggerated things a little, but it's the same thing in the end, right?\The same?\You and Shirayuki are lovers, are you not?\Huh?\Don't tell me that's not the case?!\Stop making a racket. response:	That is a problem!
context: Yes, you did!\I might have exaggerated things a little, but it's the same thing in the end, right?\The same?\You and Shirayuki are lovers, are you not?\Huh?\Don't tell me that's not the case?!\Stop making a racket.\That is a problem! response:	Why do you care?
context: I might have exaggerated things a little, but it's the same thing in the end, right?\The same?\You and Shirayuki are lovers, are you not?\Huh?\Don't tell me that's not the case?!\Stop making a racket.\That is a problem!\Why do you care? response:	If that's the case, then there's no guarantee Shirayuki will not leave you!
context: The same?\You and Shirayuki are lovers, are you not?\Huh?\Don't tell me that's not the case?!\Stop making a racket.\That is a problem!\Why do you care?\If that's the case, then there's no guarantee Shirayuki will not leave you! response:	Shirayuki knows about the poisoned apples!
context: You and Shirayuki are lovers, are you not?\Huh?\Don't tell me that's not the case?!\Stop making a racket.\That is a problem!\Why do you care?\If that's the case, then there's no guarantee Shirayuki will not leave you!\Shirayuki knows about the poisoned apples! response:	I must have her somewhere where I can keep an eye on her.
context: Huh?\Don't tell me that's not the case?!\Stop making a racket.\That is a problem!\Why do you care?\If that's the case, then there's no guarantee Shirayuki will not leave you!\Shirayuki knows about the poisoned apples!\I must have her somewhere where I can keep an eye on her. response:	What?
context: Don't tell me that's not the case?!\Stop making a racket.\That is a problem!\Why do you care?\If that's the case, then there's no guarantee Shirayuki will not leave you!\Shirayuki knows about the poisoned apples!\I must have her somewhere where I can keep an eye on her.\What? response:	It looks like that is what Izana would prefer, as well.
context: Stop making a racket.\That is a problem!\Why do you care?\If that's the case, then there's no guarantee Shirayuki will not leave you!\Shirayuki knows about the poisoned apples!\I must have her somewhere where I can keep an eye on her.\What?\It looks like that is what Izana would prefer, as well. response:	Of course, I would treat her with courtesy in my castle-
context: That is a problem!\Why do you care?\If that's the case, then there's no guarantee Shirayuki will not leave you!\Shirayuki knows about the poisoned apples!\I must have her somewhere where I can keep an eye on her.\What?\It looks like that is what Izana would prefer, as well.\Of course, I would treat her with courtesy in my castle- response:	Rejected.
context: Why do you care?\If that's the case, then there's no guarantee Shirayuki will not leave you!\Shirayuki knows about the poisoned apples!\I must have her somewhere where I can keep an eye on her.\What?\It looks like that is what Izana would prefer, as well.\Of course, I would treat her with courtesy in my castle-\Rejected. response:	Zen, I'm not done talking-
context: If that's the case, then there's no guarantee Shirayuki will not leave you!\Shirayuki knows about the poisoned apples!\I must have her somewhere where I can keep an eye on her.\What?\It looks like that is what Izana would prefer, as well.\Of course, I would treat her with courtesy in my castle-\Rejected.\Zen, I'm not done talking- response:	Just so you know, Shirayuki is not in this castle right now to hide what happened that day.
context: Shirayuki knows about the poisoned apples!\I must have her somewhere where I can keep an eye on her.\What?\It looks like that is what Izana would prefer, as well.\Of course, I would treat her with courtesy in my castle-\Rejected.\Zen, I'm not done talking-\Just so you know, Shirayuki is not in this castle right now to hide what happened that day. response:	It's true that there's no guarantee that Shirayuki will stay with me in the future.
context: I must have her somewhere where I can keep an eye on her.\What?\It looks like that is what Izana would prefer, as well.\Of course, I would treat her with courtesy in my castle-\Rejected.\Zen, I'm not done talking-\Just so you know, Shirayuki is not in this castle right now to hide what happened that day.\It's true that there's no guarantee that Shirayuki will stay with me in the future. response:	Listen, Raj, it's because there's no promise that I wish for it.
context: What?\It looks like that is what Izana would prefer, as well.\Of course, I would treat her with courtesy in my castle-\Rejected.\Zen, I'm not done talking-\Just so you know, Shirayuki is not in this castle right now to hide what happened that day.\It's true that there's no guarantee that Shirayuki will stay with me in the future.\Listen, Raj, it's because there's no promise that I wish for it. response:	That is what drives people.
context: It looks like that is what Izana would prefer, as well.\Of course, I would treat her with courtesy in my castle-\Rejected.\Zen, I'm not done talking-\Just so you know, Shirayuki is not in this castle right now to hide what happened that day.\It's true that there's no guarantee that Shirayuki will stay with me in the future.\Listen, Raj, it's because there's no promise that I wish for it.\That is what drives people. response:	Prince Zen.
context: Of course, I would treat her with courtesy in my castle-\Rejected.\Zen, I'm not done talking-\Just so you know, Shirayuki is not in this castle right now to hide what happened that day.\It's true that there's no guarantee that Shirayuki will stay with me in the future.\Listen, Raj, it's because there's no promise that I wish for it.\That is what drives people.\Prince Zen. response:	What is the meaning of this?
context: Rejected.\Zen, I'm not done talking-\Just so you know, Shirayuki is not in this castle right now to hide what happened that day.\It's true that there's no guarantee that Shirayuki will stay with me in the future.\Listen, Raj, it's because there's no promise that I wish for it.\That is what drives people.\Prince Zen.\What is the meaning of this? response:	Raj and I were not on the same page.
context: Zen, I'm not done talking-\Just so you know, Shirayuki is not in this castle right now to hide what happened that day.\It's true that there's no guarantee that Shirayuki will stay with me in the future.\Listen, Raj, it's because there's no promise that I wish for it.\That is what drives people.\Prince Zen.\What is the meaning of this?\Raj and I were not on the same page. response:	Lord Brother. I do not think of Shirayuki as my fiancee, nor have I asked her to be.
context: Just so you know, Shirayuki is not in this castle right now to hide what happened that day.\It's true that there's no guarantee that Shirayuki will stay with me in the future.\Listen, Raj, it's because there's no promise that I wish for it.\That is what drives people.\Prince Zen.\What is the meaning of this?\Raj and I were not on the same page.\Lord Brother. I do not think of Shirayuki as my fiancee, nor have I asked her to be. response:	I'll be leaving first.
context: It's true that there's no guarantee that Shirayuki will stay with me in the future.\Listen, Raj, it's because there's no promise that I wish for it.\That is what drives people.\Prince Zen.\What is the meaning of this?\Raj and I were not on the same page.\Lord Brother. I do not think of Shirayuki as my fiancee, nor have I asked her to be.\I'll be leaving first. response:	Good work today.
context: Listen, Raj, it's because there's no promise that I wish for it.\That is what drives people.\Prince Zen.\What is the meaning of this?\Raj and I were not on the same page.\Lord Brother. I do not think of Shirayuki as my fiancee, nor have I asked her to be.\I'll be leaving first.\Good work today. response:	It's over, huh?
context: That is what drives people.\Prince Zen.\What is the meaning of this?\Raj and I were not on the same page.\Lord Brother. I do not think of Shirayuki as my fiancee, nor have I asked her to be.\I'll be leaving first.\Good work today.\It's over, huh? response:	Prince Raj...
context: Prince Zen.\What is the meaning of this?\Raj and I were not on the same page.\Lord Brother. I do not think of Shirayuki as my fiancee, nor have I asked her to be.\I'll be leaving first.\Good work today.\It's over, huh?\Prince Raj... response:	I wonder how long he'll be here?
context: What is the meaning of this?\Raj and I were not on the same page.\Lord Brother. I do not think of Shirayuki as my fiancee, nor have I asked her to be.\I'll be leaving first.\Good work today.\It's over, huh?\Prince Raj...\I wonder how long he'll be here? response:	What'll I do if I'm told to go with him when he leaves?
context: Raj and I were not on the same page.\Lord Brother. I do not think of Shirayuki as my fiancee, nor have I asked her to be.\I'll be leaving first.\Good work today.\It's over, huh?\Prince Raj...\I wonder how long he'll be here?\What'll I do if I'm told to go with him when he leaves? response:	What'll I do...?
context: Lord Brother. I do not think of Shirayuki as my fiancee, nor have I asked her to be.\I'll be leaving first.\Good work today.\It's over, huh?\Prince Raj...\I wonder how long he'll be here?\What'll I do if I'm told to go with him when he leaves?\What'll I do...? response:	Zen...
context: I'll be leaving first.\Good work today.\It's over, huh?\Prince Raj...\I wonder how long he'll be here?\What'll I do if I'm told to go with him when he leaves?\What'll I do...?\Zen... response:	I couldn't answer...
context: Good work today.\It's over, huh?\Prince Raj...\I wonder how long he'll be here?\What'll I do if I'm told to go with him when he leaves?\What'll I do...?\Zen...\I couldn't answer... response:	I couldn't say what I could do for you by your side in the future,
context: It's over, huh?\Prince Raj...\I wonder how long he'll be here?\What'll I do if I'm told to go with him when he leaves?\What'll I do...?\Zen...\I couldn't answer...\I couldn't say what I could do for you by your side in the future, response:	or why I am here right now...
context: Prince Raj...\I wonder how long he'll be here?\What'll I do if I'm told to go with him when he leaves?\What'll I do...?\Zen...\I couldn't answer...\I couldn't say what I could do for you by your side in the future,\or why I am here right now... response:	He's become a good-for-nothing prince.
context: I wonder how long he'll be here?\What'll I do if I'm told to go with him when he leaves?\What'll I do...?\Zen...\I couldn't answer...\I couldn't say what I could do for you by your side in the future,\or why I am here right now...\He's become a good-for-nothing prince. response:	Just like that time...
context: What'll I do if I'm told to go with him when he leaves?\What'll I do...?\Zen...\I couldn't answer...\I couldn't say what I could do for you by your side in the future,\or why I am here right now...\He's become a good-for-nothing prince.\Just like that time... response:	I don't have an answer... To any of that...
context: What'll I do...?\Zen...\I couldn't answer...\I couldn't say what I could do for you by your side in the future,\or why I am here right now...\He's become a good-for-nothing prince.\Just like that time...\I don't have an answer... To any of that... response:	Shirayuki...
context: Zen...\I couldn't answer...\I couldn't say what I could do for you by your side in the future,\or why I am here right now...\He's become a good-for-nothing prince.\Just like that time...\I don't have an answer... To any of that...\Shirayuki... response:	The place you decided to go by yourself...
context: I couldn't answer...\I couldn't say what I could do for you by your side in the future,\or why I am here right now...\He's become a good-for-nothing prince.\Just like that time...\I don't have an answer... To any of that...\Shirayuki...\The place you decided to go by yourself... response:	The reason I'm in this country...
context: I couldn't say what I could do for you by your side in the future,\or why I am here right now...\He's become a good-for-nothing prince.\Just like that time...\I don't have an answer... To any of that...\Shirayuki...\The place you decided to go by yourself...\The reason I'm in this country... response:	I want to see how you live in this country,
context: or why I am here right now...\He's become a good-for-nothing prince.\Just like that time...\I don't have an answer... To any of that...\Shirayuki...\The place you decided to go by yourself...\The reason I'm in this country...\I want to see how you live in this country, response:	and the place where I'll be able to do that is where I've decided to go.
context: He's become a good-for-nothing prince.\Just like that time...\I don't have an answer... To any of that...\Shirayuki...\The place you decided to go by yourself...\The reason I'm in this country...\I want to see how you live in this country,\and the place where I'll be able to do that is where I've decided to go. response:	I hope I can see you from that place, too.
context: Just like that time...\I don't have an answer... To any of that...\Shirayuki...\The place you decided to go by yourself...\The reason I'm in this country...\I want to see how you live in this country,\and the place where I'll be able to do that is where I've decided to go.\I hope I can see you from that place, too. response:	Zen...
context: I don't have an answer... To any of that...\Shirayuki...\The place you decided to go by yourself...\The reason I'm in this country...\I want to see how you live in this country,\and the place where I'll be able to do that is where I've decided to go.\I hope I can see you from that place, too.\Zen... response:	Shirayuki, what happened?
context: Shirayuki...\The place you decided to go by yourself...\The reason I'm in this country...\I want to see how you live in this country,\and the place where I'll be able to do that is where I've decided to go.\I hope I can see you from that place, too.\Zen...\Shirayuki, what happened? response:	Well, princess? Have you come to dislike it?
context: The place you decided to go by yourself...\The reason I'm in this country...\I want to see how you live in this country,\and the place where I'll be able to do that is where I've decided to go.\I hope I can see you from that place, too.\Zen...\Shirayuki, what happened?\Well, princess? Have you come to dislike it? response:	My brother was always in front of me.
context: The reason I'm in this country...\I want to see how you live in this country,\and the place where I'll be able to do that is where I've decided to go.\I hope I can see you from that place, too.\Zen...\Shirayuki, what happened?\Well, princess? Have you come to dislike it?\My brother was always in front of me. response:	Then he's showing his true nature, huh?
context: I want to see how you live in this country,\and the place where I'll be able to do that is where I've decided to go.\I hope I can see you from that place, too.\Zen...\Shirayuki, what happened?\Well, princess? Have you come to dislike it?\My brother was always in front of me.\Then he's showing his true nature, huh? response:	Because there will always be someone on your side.
context: and the place where I'll be able to do that is where I've decided to go.\I hope I can see you from that place, too.\Zen...\Shirayuki, what happened?\Well, princess? Have you come to dislike it?\My brother was always in front of me.\Then he's showing his true nature, huh?\Because there will always be someone on your side. response:	Episode 7: Let Me Hear the Melody of Your Smile
