context: I wonder why the sky looks so lonely? response:	This is Edolas after Natsu and the others left.
context: Anyway, let's all get along, Happy, Carla...\Lily!\So? Why are the main people fighting?\Even Gray and Elfman are in the fray.\The fierce clash of naked body against naked body!\Juvia wants in!\Don't even think about it!\Sometimes cutting loose isn't such a bad idea. response:	That's how it is! Let in the fray, Natsu!
context: Lily!\So? Why are the main people fighting?\Even Gray and Elfman are in the fray.\The fierce clash of naked body against naked body!\Juvia wants in!\Don't even think about it!\Sometimes cutting loose isn't such a bad idea.\That's how it is! Let in the fray, Natsu! response:	Everyone, calm down!
context: So? Why are the main people fighting?\Even Gray and Elfman are in the fray.\The fierce clash of naked body against naked body!\Juvia wants in!\Don't even think about it!\Sometimes cutting loose isn't such a bad idea.\That's how it is! Let in the fray, Natsu!\Everyone, calm down! response:	I knew it'd turn out like this.
context: Even Gray and Elfman are in the fray.\The fierce clash of naked body against naked body!\Juvia wants in!\Don't even think about it!\Sometimes cutting loose isn't such a bad idea.\That's how it is! Let in the fray, Natsu!\Everyone, calm down!\I knew it'd turn out like this. response:	Fairy Tail's gotta be like this.
context: The fierce clash of naked body against naked body!\Juvia wants in!\Don't even think about it!\Sometimes cutting loose isn't such a bad idea.\That's how it is! Let in the fray, Natsu!\Everyone, calm down!\I knew it'd turn out like this.\Fairy Tail's gotta be like this. response:	By the way, Natsu...
context: Juvia wants in!\Don't even think about it!\Sometimes cutting loose isn't such a bad idea.\That's how it is! Let in the fray, Natsu!\Everyone, calm down!\I knew it'd turn out like this.\Fairy Tail's gotta be like this.\By the way, Natsu... response:	How was the me over there?
context: Don't even think about it!\Sometimes cutting loose isn't such a bad idea.\That's how it is! Let in the fray, Natsu!\Everyone, calm down!\I knew it'd turn out like this.\Fairy Tail's gotta be like this.\By the way, Natsu...\How was the me over there? response:	The Edolas you, Gramps?
context: Sometimes cutting loose isn't such a bad idea.\That's how it is! Let in the fray, Natsu!\Everyone, calm down!\I knew it'd turn out like this.\Fairy Tail's gotta be like this.\By the way, Natsu...\How was the me over there?\The Edolas you, Gramps? response:	He was backwards, right? I'm curious...
context: That's how it is! Let in the fray, Natsu!\Everyone, calm down!\I knew it'd turn out like this.\Fairy Tail's gotta be like this.\By the way, Natsu...\How was the me over there?\The Edolas you, Gramps?\He was backwards, right? I'm curious... response:	Hmm, not sure...
context: Everyone, calm down!\I knew it'd turn out like this.\Fairy Tail's gotta be like this.\By the way, Natsu...\How was the me over there?\The Edolas you, Gramps?\He was backwards, right? I'm curious...\Hmm, not sure... response:	Hold it...
context: I knew it'd turn out like this.\Fairy Tail's gotta be like this.\By the way, Natsu...\How was the me over there?\The Edolas you, Gramps?\He was backwards, right? I'm curious...\Hmm, not sure...\Hold it... response:	I felt something like that... Somewhere...
context: Fairy Tail's gotta be like this.\By the way, Natsu...\How was the me over there?\The Edolas you, Gramps?\He was backwards, right? I'm curious...\Hmm, not sure...\Hold it...\I felt something like that... Somewhere... response:	I get it!
context: By the way, Natsu...\How was the me over there?\The Edolas you, Gramps?\He was backwards, right? I'm curious...\Hmm, not sure...\Hold it...\I felt something like that... Somewhere...\I get it! response:	What is it?
context: How was the me over there?\The Edolas you, Gramps?\He was backwards, right? I'm curious...\Hmm, not sure...\Hold it...\I felt something like that... Somewhere...\I get it!\What is it? response:	Is being in a guild fun?
context: The Edolas you, Gramps?\He was backwards, right? I'm curious...\Hmm, not sure...\Hold it...\I felt something like that... Somewhere...\I get it!\What is it?\Is being in a guild fun? response:	I think he might've been the king.
context: He was backwards, right? I'm curious...\Hmm, not sure...\Hold it...\I felt something like that... Somewhere...\I get it!\What is it?\Is being in a guild fun?\I think he might've been the king. response:	So what about me? How was the me over there?
context: Hmm, not sure...\Hold it...\I felt something like that... Somewhere...\I get it!\What is it?\Is being in a guild fun?\I think he might've been the king.\So what about me? How was the me over there? response:	Well...
context: Hold it...\I felt something like that... Somewhere...\I get it!\What is it?\Is being in a guild fun?\I think he might've been the king.\So what about me? How was the me over there?\Well... response:	Your name never came up, Gildarts...
context: I felt something like that... Somewhere...\I get it!\What is it?\Is being in a guild fun?\I think he might've been the king.\So what about me? How was the me over there?\Well...\Your name never came up, Gildarts... response:	He might've been a frog or a fish...
context: I get it!\What is it?\Is being in a guild fun?\I think he might've been the king.\So what about me? How was the me over there?\Well...\Your name never came up, Gildarts...\He might've been a frog or a fish... response:	That's mean!
context: What is it?\Is being in a guild fun?\I think he might've been the king.\So what about me? How was the me over there?\Well...\Your name never came up, Gildarts...\He might've been a frog or a fish...\That's mean! response:	Natsu, what are you doing? This ain't a time for a nap!
context: Is being in a guild fun?\I think he might've been the king.\So what about me? How was the me over there?\Well...\Your name never came up, Gildarts...\He might've been a frog or a fish...\That's mean!\Natsu, what are you doing? This ain't a time for a nap! response:	Be a man about it!
context: I think he might've been the king.\So what about me? How was the me over there?\Well...\Your name never came up, Gildarts...\He might've been a frog or a fish...\That's mean!\Natsu, what are you doing? This ain't a time for a nap!\Be a man about it! response:	To turn your back on a fight you started yourself,
context: So what about me? How was the me over there?\Well...\Your name never came up, Gildarts...\He might've been a frog or a fish...\That's mean!\Natsu, what are you doing? This ain't a time for a nap!\Be a man about it!\To turn your back on a fight you started yourself, response:	what is the point of fight in the first...
context: Well...\Your name never came up, Gildarts...\He might've been a frog or a fish...\That's mean!\Natsu, what are you doing? This ain't a time for a nap!\Be a man about it!\To turn your back on a fight you started yourself,\what is the point of fight in the first... response:	For goodness sake...
context: Your name never came up, Gildarts...\He might've been a frog or a fish...\That's mean!\Natsu, what are you doing? This ain't a time for a nap!\Be a man about it!\To turn your back on a fight you started yourself,\what is the point of fight in the first...\For goodness sake... response:	Say, Gildarts...
context: He might've been a frog or a fish...\That's mean!\Natsu, what are you doing? This ain't a time for a nap!\Be a man about it!\To turn your back on a fight you started yourself,\what is the point of fight in the first...\For goodness sake...\Say, Gildarts... response:	Too bad about Mystogan...
context: That's mean!\Natsu, what are you doing? This ain't a time for a nap!\Be a man about it!\To turn your back on a fight you started yourself,\what is the point of fight in the first...\For goodness sake...\Say, Gildarts...\Too bad about Mystogan... response:	But let's pray that he's doing well in Edolas.
context: Natsu, what are you doing? This ain't a time for a nap!\Be a man about it!\To turn your back on a fight you started yourself,\what is the point of fight in the first...\For goodness sake...\Say, Gildarts...\Too bad about Mystogan...\But let's pray that he's doing well in Edolas. response:	He is.
context: Be a man about it!\To turn your back on a fight you started yourself,\what is the point of fight in the first...\For goodness sake...\Say, Gildarts...\Too bad about Mystogan...\But let's pray that he's doing well in Edolas.\He is. response:	He was raised in this guild.
context: To turn your back on a fight you started yourself,\what is the point of fight in the first...\For goodness sake...\Say, Gildarts...\Too bad about Mystogan...\But let's pray that he's doing well in Edolas.\He is.\He was raised in this guild. response:	Of course he's doing well.
context: what is the point of fight in the first...\For goodness sake...\Say, Gildarts...\Too bad about Mystogan...\But let's pray that he's doing well in Edolas.\He is.\He was raised in this guild.\Of course he's doing well. response:	Will you be staying in town for a little while, Gildarts?
context: For goodness sake...\Say, Gildarts...\Too bad about Mystogan...\But let's pray that he's doing well in Edolas.\He is.\He was raised in this guild.\Of course he's doing well.\Will you be staying in town for a little while, Gildarts? response:	Hmm, I'm not sure.
context: Say, Gildarts...\Too bad about Mystogan...\But let's pray that he's doing well in Edolas.\He is.\He was raised in this guild.\Of course he's doing well.\Will you be staying in town for a little while, Gildarts?\Hmm, I'm not sure. response:	I have a little something to discuss...
context: Too bad about Mystogan...\But let's pray that he's doing well in Edolas.\He is.\He was raised in this guild.\Of course he's doing well.\Will you be staying in town for a little while, Gildarts?\Hmm, I'm not sure.\I have a little something to discuss... response:	What's this, then?
context: But let's pray that he's doing well in Edolas.\He is.\He was raised in this guild.\Of course he's doing well.\Will you be staying in town for a little while, Gildarts?\Hmm, I'm not sure.\I have a little something to discuss...\What's this, then? response:	This is the newly reformed Magical Council.
context: He is.\He was raised in this guild.\Of course he's doing well.\Will you be staying in town for a little while, Gildarts?\Hmm, I'm not sure.\I have a little something to discuss...\What's this, then?\This is the newly reformed Magical Council. response:	Unacceptable!
context: He was raised in this guild.\Of course he's doing well.\Will you be staying in town for a little while, Gildarts?\Hmm, I'm not sure.\I have a little something to discuss...\What's this, then?\This is the newly reformed Magical Council.\Unacceptable! response:	Have you seen the mountain of apology letters?
context: Of course he's doing well.\Will you be staying in town for a little while, Gildarts?\Hmm, I'm not sure.\I have a little something to discuss...\What's this, then?\This is the newly reformed Magical Council.\Unacceptable!\Have you seen the mountain of apology letters? response:	Are those all from problems caused by a single guild?
context: Will you be staying in town for a little while, Gildarts?\Hmm, I'm not sure.\I have a little something to discuss...\What's this, then?\This is the newly reformed Magical Council.\Unacceptable!\Have you seen the mountain of apology letters?\Are those all from problems caused by a single guild? response:	Fairy Tail has been a thorn in our side since the previous generation...
context: Hmm, I'm not sure.\I have a little something to discuss...\What's this, then?\This is the newly reformed Magical Council.\Unacceptable!\Have you seen the mountain of apology letters?\Are those all from problems caused by a single guild?\Fairy Tail has been a thorn in our side since the previous generation... response:	It doesn't rise to the level you put it.
context: I have a little something to discuss...\What's this, then?\This is the newly reformed Magical Council.\Unacceptable!\Have you seen the mountain of apology letters?\Are those all from problems caused by a single guild?\Fairy Tail has been a thorn in our side since the previous generation...\It doesn't rise to the level you put it. response:	There's also the work they did in destroying Oracion Seis of the Baram Alliance.
context: What's this, then?\This is the newly reformed Magical Council.\Unacceptable!\Have you seen the mountain of apology letters?\Are those all from problems caused by a single guild?\Fairy Tail has been a thorn in our side since the previous generation...\It doesn't rise to the level you put it.\There's also the work they did in destroying Oracion Seis of the Baram Alliance. response:	Work, you say?
context: This is the newly reformed Magical Council.\Unacceptable!\Have you seen the mountain of apology letters?\Are those all from problems caused by a single guild?\Fairy Tail has been a thorn in our side since the previous generation...\It doesn't rise to the level you put it.\There's also the work they did in destroying Oracion Seis of the Baram Alliance.\Work, you say? response:	Master Org, what are you saying?
context: Unacceptable!\Have you seen the mountain of apology letters?\Are those all from problems caused by a single guild?\Fairy Tail has been a thorn in our side since the previous generation...\It doesn't rise to the level you put it.\There's also the work they did in destroying Oracion Seis of the Baram Alliance.\Work, you say?\Master Org, what are you saying? response:	There is no record of the Magic Council authorizing that plan.
context: Have you seen the mountain of apology letters?\Are those all from problems caused by a single guild?\Fairy Tail has been a thorn in our side since the previous generation...\It doesn't rise to the level you put it.\There's also the work they did in destroying Oracion Seis of the Baram Alliance.\Work, you say?\Master Org, what are you saying?\There is no record of the Magic Council authorizing that plan. response:	A number of local guilds took that initiative on thier own...
context: Are those all from problems caused by a single guild?\Fairy Tail has been a thorn in our side since the previous generation...\It doesn't rise to the level you put it.\There's also the work they did in destroying Oracion Seis of the Baram Alliance.\Work, you say?\Master Org, what are you saying?\There is no record of the Magic Council authorizing that plan.\A number of local guilds took that initiative on thier own... response:	Strictly speaking, even if they are a dark guild,
context: Fairy Tail has been a thorn in our side since the previous generation...\It doesn't rise to the level you put it.\There's also the work they did in destroying Oracion Seis of the Baram Alliance.\Work, you say?\Master Org, what are you saying?\There is no record of the Magic Council authorizing that plan.\A number of local guilds took that initiative on thier own...\Strictly speaking, even if they are a dark guild, response:	that was still a violation of the prohibition between warring guilds!
context: It doesn't rise to the level you put it.\There's also the work they did in destroying Oracion Seis of the Baram Alliance.\Work, you say?\Master Org, what are you saying?\There is no record of the Magic Council authorizing that plan.\A number of local guilds took that initiative on thier own...\Strictly speaking, even if they are a dark guild,\that was still a violation of the prohibition between warring guilds! response:	And due to this incident, the Baram Alliance is sure to strike back against official guilds.
context: There's also the work they did in destroying Oracion Seis of the Baram Alliance.\Work, you say?\Master Org, what are you saying?\There is no record of the Magic Council authorizing that plan.\A number of local guilds took that initiative on thier own...\Strictly speaking, even if they are a dark guild,\that was still a violation of the prohibition between warring guilds!\And due to this incident, the Baram Alliance is sure to strike back against official guilds. response:	No, I do not think so.
context: Work, you say?\Master Org, what are you saying?\There is no record of the Magic Council authorizing that plan.\A number of local guilds took that initiative on thier own...\Strictly speaking, even if they are a dark guild,\that was still a violation of the prohibition between warring guilds!\And due to this incident, the Baram Alliance is sure to strike back against official guilds.\No, I do not think so. response:	They call themselves an alliance, but it's really just a non-aggression pact.
context: Master Org, what are you saying?\There is no record of the Magic Council authorizing that plan.\A number of local guilds took that initiative on thier own...\Strictly speaking, even if they are a dark guild,\that was still a violation of the prohibition between warring guilds!\And due to this incident, the Baram Alliance is sure to strike back against official guilds.\No, I do not think so.\They call themselves an alliance, but it's really just a non-aggression pact. response:	About Jellal, who was arrested in the Worth Woodsea...
context: There is no record of the Magic Council authorizing that plan.\A number of local guilds took that initiative on thier own...\Strictly speaking, even if they are a dark guild,\that was still a violation of the prohibition between warring guilds!\And due to this incident, the Baram Alliance is sure to strike back against official guilds.\No, I do not think so.\They call themselves an alliance, but it's really just a non-aggression pact.\About Jellal, who was arrested in the Worth Woodsea... response:	And what's worse, I hear they are allies of this Jellel!
context: A number of local guilds took that initiative on thier own...\Strictly speaking, even if they are a dark guild,\that was still a violation of the prohibition between warring guilds!\And due to this incident, the Baram Alliance is sure to strike back against official guilds.\No, I do not think so.\They call themselves an alliance, but it's really just a non-aggression pact.\About Jellal, who was arrested in the Worth Woodsea...\And what's worse, I hear they are allies of this Jellel! response:	You have a dangerous idea...
context: Strictly speaking, even if they are a dark guild,\that was still a violation of the prohibition between warring guilds!\And due to this incident, the Baram Alliance is sure to strike back against official guilds.\No, I do not think so.\They call themselves an alliance, but it's really just a non-aggression pact.\About Jellal, who was arrested in the Worth Woodsea...\And what's worse, I hear they are allies of this Jellel!\You have a dangerous idea... response:	Our Magic Council has been born anew!
context: that was still a violation of the prohibition between warring guilds!\And due to this incident, the Baram Alliance is sure to strike back against official guilds.\No, I do not think so.\They call themselves an alliance, but it's really just a non-aggression pact.\About Jellal, who was arrested in the Worth Woodsea...\And what's worse, I hear they are allies of this Jellel!\You have a dangerous idea...\Our Magic Council has been born anew! response:	We have to show the citizens what exactly is so new!
context: And due to this incident, the Baram Alliance is sure to strike back against official guilds.\No, I do not think so.\They call themselves an alliance, but it's really just a non-aggression pact.\About Jellal, who was arrested in the Worth Woodsea...\And what's worse, I hear they are allies of this Jellel!\You have a dangerous idea...\Our Magic Council has been born anew!\We have to show the citizens what exactly is so new! response:	Chairman!
context: No, I do not think so.\They call themselves an alliance, but it's really just a non-aggression pact.\About Jellal, who was arrested in the Worth Woodsea...\And what's worse, I hear they are allies of this Jellel!\You have a dangerous idea...\Our Magic Council has been born anew!\We have to show the citizens what exactly is so new!\Chairman! response:	In order to take back the trust people once had in us,
context: They call themselves an alliance, but it's really just a non-aggression pact.\About Jellal, who was arrested in the Worth Woodsea...\And what's worse, I hear they are allies of this Jellel!\You have a dangerous idea...\Our Magic Council has been born anew!\We have to show the citizens what exactly is so new!\Chairman!\In order to take back the trust people once had in us, response:	we must keep a tight reign on this trouble guild.
context: About Jellal, who was arrested in the Worth Woodsea...\And what's worse, I hear they are allies of this Jellel!\You have a dangerous idea...\Our Magic Council has been born anew!\We have to show the citizens what exactly is so new!\Chairman!\In order to take back the trust people once had in us,\we must keep a tight reign on this trouble guild. response:	Fairy Tail has no future!
context: And what's worse, I hear they are allies of this Jellel!\You have a dangerous idea...\Our Magic Council has been born anew!\We have to show the citizens what exactly is so new!\Chairman!\In order to take back the trust people once had in us,\we must keep a tight reign on this trouble guild.\Fairy Tail has no future! response:	Next, we'll force the guild to breakup!
context: You have a dangerous idea...\Our Magic Council has been born anew!\We have to show the citizens what exactly is so new!\Chairman!\In order to take back the trust people once had in us,\we must keep a tight reign on this trouble guild.\Fairy Tail has no future!\Next, we'll force the guild to breakup! response:	This man is the new chairman of the Magic Council, Grandoma.
context: Our Magic Council has been born anew!\We have to show the citizens what exactly is so new!\Chairman!\In order to take back the trust people once had in us,\we must keep a tight reign on this trouble guild.\Fairy Tail has no future!\Next, we'll force the guild to breakup!\This man is the new chairman of the Magic Council, Grandoma. response:	What's the matter, Org? Unsatisfied by something?
context: We have to show the citizens what exactly is so new!\Chairman!\In order to take back the trust people once had in us,\we must keep a tight reign on this trouble guild.\Fairy Tail has no future!\Next, we'll force the guild to breakup!\This man is the new chairman of the Magic Council, Grandoma.\What's the matter, Org? Unsatisfied by something? response:	No...
context: Chairman!\In order to take back the trust people once had in us,\we must keep a tight reign on this trouble guild.\Fairy Tail has no future!\Next, we'll force the guild to breakup!\This man is the new chairman of the Magic Council, Grandoma.\What's the matter, Org? Unsatisfied by something?\No... response:	You are still naive.
context: In order to take back the trust people once had in us,\we must keep a tight reign on this trouble guild.\Fairy Tail has no future!\Next, we'll force the guild to breakup!\This man is the new chairman of the Magic Council, Grandoma.\What's the matter, Org? Unsatisfied by something?\No...\You are still naive. response:	You should know this from your blunder letting a thought projection
context: we must keep a tight reign on this trouble guild.\Fairy Tail has no future!\Next, we'll force the guild to breakup!\This man is the new chairman of the Magic Council, Grandoma.\What's the matter, Org? Unsatisfied by something?\No...\You are still naive.\You should know this from your blunder letting a thought projection response:	trick you into using the R-system to cause a disaster.
context: Fairy Tail has no future!\Next, we'll force the guild to breakup!\This man is the new chairman of the Magic Council, Grandoma.\What's the matter, Org? Unsatisfied by something?\No...\You are still naive.\You should know this from your blunder letting a thought projection\trick you into using the R-system to cause a disaster. response:	Yes...
context: Next, we'll force the guild to breakup!\This man is the new chairman of the Magic Council, Grandoma.\What's the matter, Org? Unsatisfied by something?\No...\You are still naive.\You should know this from your blunder letting a thought projection\trick you into using the R-system to cause a disaster.\Yes... response:	Call the two!
context: This man is the new chairman of the Magic Council, Grandoma.\What's the matter, Org? Unsatisfied by something?\No...\You are still naive.\You should know this from your blunder letting a thought projection\trick you into using the R-system to cause a disaster.\Yes...\Call the two! response:	Yes, sir.
context: What's the matter, Org? Unsatisfied by something?\No...\You are still naive.\You should know this from your blunder letting a thought projection\trick you into using the R-system to cause a disaster.\Yes...\Call the two!\Yes, sir. response:	Lahall, Dranbalt, come here!
context: No...\You are still naive.\You should know this from your blunder letting a thought projection\trick you into using the R-system to cause a disaster.\Yes...\Call the two!\Yes, sir.\Lahall, Dranbalt, come here! response:	Everything for the Holy Order of the Magic Council!
context: You are still naive.\You should know this from your blunder letting a thought projection\trick you into using the R-system to cause a disaster.\Yes...\Call the two!\Yes, sir.\Lahall, Dranbalt, come here!\Everything for the Holy Order of the Magic Council! response:	The Holy Order of the Magic Council!
context: You should know this from your blunder letting a thought projection\trick you into using the R-system to cause a disaster.\Yes...\Call the two!\Yes, sir.\Lahall, Dranbalt, come here!\Everything for the Holy Order of the Magic Council!\The Holy Order of the Magic Council! response:	The Holy Order of the Magic Council!
context: trick you into using the R-system to cause a disaster.\Yes...\Call the two!\Yes, sir.\Lahall, Dranbalt, come here!\Everything for the Holy Order of the Magic Council!\The Holy Order of the Magic Council!\The Holy Order of the Magic Council! response:	I wonder how much everyone partied?
context: Yes...\Call the two!\Yes, sir.\Lahall, Dranbalt, come here!\Everything for the Holy Order of the Magic Council!\The Holy Order of the Magic Council!\The Holy Order of the Magic Council!\I wonder how much everyone partied? response:	Isn't it nice, Mira-san? Elfman?
context: Call the two!\Yes, sir.\Lahall, Dranbalt, come here!\Everything for the Holy Order of the Magic Council!\The Holy Order of the Magic Council!\The Holy Order of the Magic Council!\I wonder how much everyone partied?\Isn't it nice, Mira-san? Elfman? response:	I hope Natsu can meeting Igneel soon, ton.
context: Yes, sir.\Lahall, Dranbalt, come here!\Everything for the Holy Order of the Magic Council!\The Holy Order of the Magic Council!\The Holy Order of the Magic Council!\I wonder how much everyone partied?\Isn't it nice, Mira-san? Elfman?\I hope Natsu can meeting Igneel soon, ton. response:	I wonder if Natsu feels lonely sometimes, too?
context: Lahall, Dranbalt, come here!\Everything for the Holy Order of the Magic Council!\The Holy Order of the Magic Council!\The Holy Order of the Magic Council!\I wonder how much everyone partied?\Isn't it nice, Mira-san? Elfman?\I hope Natsu can meeting Igneel soon, ton.\I wonder if Natsu feels lonely sometimes, too? response:	But he's pretty cute when he's sleeping.
context: Everything for the Holy Order of the Magic Council!\The Holy Order of the Magic Council!\The Holy Order of the Magic Council!\I wonder how much everyone partied?\Isn't it nice, Mira-san? Elfman?\I hope Natsu can meeting Igneel soon, ton.\I wonder if Natsu feels lonely sometimes, too?\But he's pretty cute when he's sleeping. response:	Iron Fist of the Fire Dragon!
context: The Holy Order of the Magic Council!\The Holy Order of the Magic Council!\I wonder how much everyone partied?\Isn't it nice, Mira-san? Elfman?\I hope Natsu can meeting Igneel soon, ton.\I wonder if Natsu feels lonely sometimes, too?\But he's pretty cute when he's sleeping.\Iron Fist of the Fire Dragon! response:	You give up, Gray?
context: The Holy Order of the Magic Council!\I wonder how much everyone partied?\Isn't it nice, Mira-san? Elfman?\I hope Natsu can meeting Igneel soon, ton.\I wonder if Natsu feels lonely sometimes, too?\But he's pretty cute when he's sleeping.\Iron Fist of the Fire Dragon!\You give up, Gray? response:	Is that how it is?
context: I wonder how much everyone partied?\Isn't it nice, Mira-san? Elfman?\I hope Natsu can meeting Igneel soon, ton.\I wonder if Natsu feels lonely sometimes, too?\But he's pretty cute when he's sleeping.\Iron Fist of the Fire Dragon!\You give up, Gray?\Is that how it is? response:	You can't come near me.
context: Isn't it nice, Mira-san? Elfman?\I hope Natsu can meeting Igneel soon, ton.\I wonder if Natsu feels lonely sometimes, too?\But he's pretty cute when he's sleeping.\Iron Fist of the Fire Dragon!\You give up, Gray?\Is that how it is?\You can't come near me. response:	Don't. I'm not your enemy.
context: I hope Natsu can meeting Igneel soon, ton.\I wonder if Natsu feels lonely sometimes, too?\But he's pretty cute when he's sleeping.\Iron Fist of the Fire Dragon!\You give up, Gray?\Is that how it is?\You can't come near me.\Don't. I'm not your enemy. response:	Is it no use?
context: I wonder if Natsu feels lonely sometimes, too?\But he's pretty cute when he's sleeping.\Iron Fist of the Fire Dragon!\You give up, Gray?\Is that how it is?\You can't come near me.\Don't. I'm not your enemy.\Is it no use? response:	Close to me...
context: But he's pretty cute when he's sleeping.\Iron Fist of the Fire Dragon!\You give up, Gray?\Is that how it is?\You can't come near me.\Don't. I'm not your enemy.\Is it no use?\Close to me... response:	I'm sorry.
context: Iron Fist of the Fire Dragon!\You give up, Gray?\Is that how it is?\You can't come near me.\Don't. I'm not your enemy.\Is it no use?\Close to me...\I'm sorry. response:	It's not like I want to take anyone's life...
context: You give up, Gray?\Is that how it is?\You can't come near me.\Don't. I'm not your enemy.\Is it no use?\Close to me...\I'm sorry.\It's not like I want to take anyone's life... response:	The world rejects me...
context: Is that how it is?\You can't come near me.\Don't. I'm not your enemy.\Is it no use?\Close to me...\I'm sorry.\It's not like I want to take anyone's life...\The world rejects me... response:	Natsu...
context: You can't come near me.\Don't. I'm not your enemy.\Is it no use?\Close to me...\I'm sorry.\It's not like I want to take anyone's life...\The world rejects me...\Natsu... response:	I want to meet you soon...
context: Don't. I'm not your enemy.\Is it no use?\Close to me...\I'm sorry.\It's not like I want to take anyone's life...\The world rejects me...\Natsu...\I want to meet you soon... response:	Huh? Where's my scarf?
context: Is it no use?\Close to me...\I'm sorry.\It's not like I want to take anyone's life...\The world rejects me...\Natsu...\I want to meet you soon...\Huh? Where's my scarf? response:	It's above your bed.
context: Close to me...\I'm sorry.\It's not like I want to take anyone's life...\The world rejects me...\Natsu...\I want to meet you soon...\Huh? Where's my scarf?\It's above your bed. response:	And my vest?
context: I'm sorry.\It's not like I want to take anyone's life...\The world rejects me...\Natsu...\I want to meet you soon...\Huh? Where's my scarf?\It's above your bed.\And my vest? response:	It's drying outside.
context: It's not like I want to take anyone's life...\The world rejects me...\Natsu...\I want to meet you soon...\Huh? Where's my scarf?\It's above your bed.\And my vest?\It's drying outside. response:	My underwear?
context: The world rejects me...\Natsu...\I want to meet you soon...\Huh? Where's my scarf?\It's above your bed.\And my vest?\It's drying outside.\My underwear? response:	You're wearing them, see?
context: Natsu...\I want to meet you soon...\Huh? Where's my scarf?\It's above your bed.\And my vest?\It's drying outside.\My underwear?\You're wearing them, see? response:	Oh, I see!
context: I want to meet you soon...\Huh? Where's my scarf?\It's above your bed.\And my vest?\It's drying outside.\My underwear?\You're wearing them, see?\Oh, I see! response:	Impressive as always, Happy.
context: Huh? Where's my scarf?\It's above your bed.\And my vest?\It's drying outside.\My underwear?\You're wearing them, see?\Oh, I see!\Impressive as always, Happy. response:	Right, sure... Anyway, hurry and get changed.
context: It's above your bed.\And my vest?\It's drying outside.\My underwear?\You're wearing them, see?\Oh, I see!\Impressive as always, Happy.\Right, sure... Anyway, hurry and get changed. response:	You'll be late for your job.
context: And my vest?\It's drying outside.\My underwear?\You're wearing them, see?\Oh, I see!\Impressive as always, Happy.\Right, sure... Anyway, hurry and get changed.\You'll be late for your job. response:	You know what this is...
context: It's drying outside.\My underwear?\You're wearing them, see?\Oh, I see!\Impressive as always, Happy.\Right, sure... Anyway, hurry and get changed.\You'll be late for your job.\You know what this is... response:	Next time: Best Partner!
context: My underwear?\You're wearing them, see?\Oh, I see!\Impressive as always, Happy.\Right, sure... Anyway, hurry and get changed.\You'll be late for your job.\You know what this is...\Next time: Best Partner! response:	Isn't that right, Happy?
context: You're wearing them, see?\Oh, I see!\Impressive as always, Happy.\Right, sure... Anyway, hurry and get changed.\You'll be late for your job.\You know what this is...\Next time: Best Partner!\Isn't that right, Happy? response:	I'm more your protector than your partner...
