context: In order to protect something, you need power response:	and to obtain something requires even greater power.
context: I don't just want to be protected by you, I want to stand by your side.\Priscilla...\You can't stop me, okay?\And someday...\I swear I'm going to become even more powerful than you!\Is that right?\That's something to look forward to!\Well, your cover's been blown in spectacular fashion. response:	And thanks to the toll of breaking your seal,
context: Priscilla...\You can't stop me, okay?\And someday...\I swear I'm going to become even more powerful than you!\Is that right?\That's something to look forward to!\Well, your cover's been blown in spectacular fashion.\And thanks to the toll of breaking your seal, response:	you won't even be able to move that well tomorrow.
context: You can't stop me, okay?\And someday...\I swear I'm going to become even more powerful than you!\Is that right?\That's something to look forward to!\Well, your cover's been blown in spectacular fashion.\And thanks to the toll of breaking your seal,\you won't even be able to move that well tomorrow. response:	Oh well, I'll figure something out.
context: And someday...\I swear I'm going to become even more powerful than you!\Is that right?\That's something to look forward to!\Well, your cover's been blown in spectacular fashion.\And thanks to the toll of breaking your seal,\you won't even be able to move that well tomorrow.\Oh well, I'll figure something out. response:	Ouch ouch ouch!
context: I swear I'm going to become even more powerful than you!\Is that right?\That's something to look forward to!\Well, your cover's been blown in spectacular fashion.\And thanks to the toll of breaking your seal,\you won't even be able to move that well tomorrow.\Oh well, I'll figure something out.\Ouch ouch ouch! response:	Just look at you! You're one to talk!
context: Is that right?\That's something to look forward to!\Well, your cover's been blown in spectacular fashion.\And thanks to the toll of breaking your seal,\you won't even be able to move that well tomorrow.\Oh well, I'll figure something out.\Ouch ouch ouch!\Just look at you! You're one to talk! response:	How can you be so optimistic?!
context: That's something to look forward to!\Well, your cover's been blown in spectacular fashion.\And thanks to the toll of breaking your seal,\you won't even be able to move that well tomorrow.\Oh well, I'll figure something out.\Ouch ouch ouch!\Just look at you! You're one to talk!\How can you be so optimistic?! response:	It's not like I'm feeling optimistic.
context: Well, your cover's been blown in spectacular fashion.\And thanks to the toll of breaking your seal,\you won't even be able to move that well tomorrow.\Oh well, I'll figure something out.\Ouch ouch ouch!\Just look at you! You're one to talk!\How can you be so optimistic?!\It's not like I'm feeling optimistic. response:	I know this is serious.
context: And thanks to the toll of breaking your seal,\you won't even be able to move that well tomorrow.\Oh well, I'll figure something out.\Ouch ouch ouch!\Just look at you! You're one to talk!\How can you be so optimistic?!\It's not like I'm feeling optimistic.\I know this is serious. response:	But... I can't break my promise.
context: you won't even be able to move that well tomorrow.\Oh well, I'll figure something out.\Ouch ouch ouch!\Just look at you! You're one to talk!\How can you be so optimistic?!\It's not like I'm feeling optimistic.\I know this is serious.\But... I can't break my promise. response:	Promise?
context: Oh well, I'll figure something out.\Ouch ouch ouch!\Just look at you! You're one to talk!\How can you be so optimistic?!\It's not like I'm feeling optimistic.\I know this is serious.\But... I can't break my promise.\Promise? response:	I told you I'd have your back, Julis. Don't you remember?
context: Ouch ouch ouch!\Just look at you! You're one to talk!\How can you be so optimistic?!\It's not like I'm feeling optimistic.\I know this is serious.\But... I can't break my promise.\Promise?\I told you I'd have your back, Julis. Don't you remember? response:	I-Idiot!
context: Just look at you! You're one to talk!\How can you be so optimistic?!\It's not like I'm feeling optimistic.\I know this is serious.\But... I can't break my promise.\Promise?\I told you I'd have your back, Julis. Don't you remember?\I-Idiot! response:	What kind of thing is that to just blurt out?
context: How can you be so optimistic?!\It's not like I'm feeling optimistic.\I know this is serious.\But... I can't break my promise.\Promise?\I told you I'd have your back, Julis. Don't you remember?\I-Idiot!\What kind of thing is that to just blurt out? response:	But...
context: It's not like I'm feeling optimistic.\I know this is serious.\But... I can't break my promise.\Promise?\I told you I'd have your back, Julis. Don't you remember?\I-Idiot!\What kind of thing is that to just blurt out?\But... response:	At this rate, I'm just going to be doing the same thing over and over, so...
context: I know this is serious.\But... I can't break my promise.\Promise?\I told you I'd have your back, Julis. Don't you remember?\I-Idiot!\What kind of thing is that to just blurt out?\But...\At this rate, I'm just going to be doing the same thing over and over, so... response:	H-Hey...
context: But... I can't break my promise.\Promise?\I told you I'd have your back, Julis. Don't you remember?\I-Idiot!\What kind of thing is that to just blurt out?\But...\At this rate, I'm just going to be doing the same thing over and over, so...\H-Hey... response:	It's about time...
context: Promise?\I told you I'd have your back, Julis. Don't you remember?\I-Idiot!\What kind of thing is that to just blurt out?\But...\At this rate, I'm just going to be doing the same thing over and over, so...\H-Hey...\It's about time... response:	I faced up to this seal, once and for all, you know?
context: I told you I'd have your back, Julis. Don't you remember?\I-Idiot!\What kind of thing is that to just blurt out?\But...\At this rate, I'm just going to be doing the same thing over and over, so...\H-Hey...\It's about time...\I faced up to this seal, once and for all, you know? response:	Ayato, don't try to fight alone.
context: I-Idiot!\What kind of thing is that to just blurt out?\But...\At this rate, I'm just going to be doing the same thing over and over, so...\H-Hey...\It's about time...\I faced up to this seal, once and for all, you know?\Ayato, don't try to fight alone. response:	We're partners.
context: What kind of thing is that to just blurt out?\But...\At this rate, I'm just going to be doing the same thing over and over, so...\H-Hey...\It's about time...\I faced up to this seal, once and for all, you know?\Ayato, don't try to fight alone.\We're partners. response:	If you're going to have my back,
context: But...\At this rate, I'm just going to be doing the same thing over and over, so...\H-Hey...\It's about time...\I faced up to this seal, once and for all, you know?\Ayato, don't try to fight alone.\We're partners.\If you're going to have my back, response:	then I'm going to have your back, as well.
context: At this rate, I'm just going to be doing the same thing over and over, so...\H-Hey...\It's about time...\I faced up to this seal, once and for all, you know?\Ayato, don't try to fight alone.\We're partners.\If you're going to have my back,\then I'm going to have your back, as well. response:	Thanks, Julis.
context: H-Hey...\It's about time...\I faced up to this seal, once and for all, you know?\Ayato, don't try to fight alone.\We're partners.\If you're going to have my back,\then I'm going to have your back, as well.\Thanks, Julis. response:	Ayato!
context: It's about time...\I faced up to this seal, once and for all, you know?\Ayato, don't try to fight alone.\We're partners.\If you're going to have my back,\then I'm going to have your back, as well.\Thanks, Julis.\Ayato! response:	Ayato-senpai!
context: I faced up to this seal, once and for all, you know?\Ayato, don't try to fight alone.\We're partners.\If you're going to have my back,\then I'm going to have your back, as well.\Thanks, Julis.\Ayato!\Ayato-senpai! response:	Are you all right, Ayato?
context: Ayato, don't try to fight alone.\We're partners.\If you're going to have my back,\then I'm going to have your back, as well.\Thanks, Julis.\Ayato!\Ayato-senpai!\Are you all right, Ayato? response:	Yeah... I'm... all... right!
context: We're partners.\If you're going to have my back,\then I'm going to have your back, as well.\Thanks, Julis.\Ayato!\Ayato-senpai!\Are you all right, Ayato?\Yeah... I'm... all... right! response:	Ayato-senpai!
context: If you're going to have my back,\then I'm going to have your back, as well.\Thanks, Julis.\Ayato!\Ayato-senpai!\Are you all right, Ayato?\Yeah... I'm... all... right!\Ayato-senpai! response:	You don't really look all right.
context: then I'm going to have your back, as well.\Thanks, Julis.\Ayato!\Ayato-senpai!\Are you all right, Ayato?\Yeah... I'm... all... right!\Ayato-senpai!\You don't really look all right. response:	Normally, I'd want you to take a good, long rest, but...
context: Thanks, Julis.\Ayato!\Ayato-senpai!\Are you all right, Ayato?\Yeah... I'm... all... right!\Ayato-senpai!\You don't really look all right.\Normally, I'd want you to take a good, long rest, but... response:	In that case, I'm going to take care of you so you'll recover faster.
context: Ayato!\Ayato-senpai!\Are you all right, Ayato?\Yeah... I'm... all... right!\Ayato-senpai!\You don't really look all right.\Normally, I'd want you to take a good, long rest, but...\In that case, I'm going to take care of you so you'll recover faster. response:	I-I'll take care of you, too!
context: Ayato-senpai!\Are you all right, Ayato?\Yeah... I'm... all... right!\Ayato-senpai!\You don't really look all right.\Normally, I'd want you to take a good, long rest, but...\In that case, I'm going to take care of you so you'll recover faster.\I-I'll take care of you, too! response:	And I'll make you rice balls, too!
context: Are you all right, Ayato?\Yeah... I'm... all... right!\Ayato-senpai!\You don't really look all right.\Normally, I'd want you to take a good, long rest, but...\In that case, I'm going to take care of you so you'll recover faster.\I-I'll take care of you, too!\And I'll make you rice balls, too! response:	K-Kirin!
context: Yeah... I'm... all... right!\Ayato-senpai!\You don't really look all right.\Normally, I'd want you to take a good, long rest, but...\In that case, I'm going to take care of you so you'll recover faster.\I-I'll take care of you, too!\And I'll make you rice balls, too!\K-Kirin! response:	Hey! Just worry about your own match, you two!
context: Ayato-senpai!\You don't really look all right.\Normally, I'd want you to take a good, long rest, but...\In that case, I'm going to take care of you so you'll recover faster.\I-I'll take care of you, too!\And I'll make you rice balls, too!\K-Kirin!\Hey! Just worry about your own match, you two! response:	In that case,
context: You don't really look all right.\Normally, I'd want you to take a good, long rest, but...\In that case, I'm going to take care of you so you'll recover faster.\I-I'll take care of you, too!\And I'll make you rice balls, too!\K-Kirin!\Hey! Just worry about your own match, you two!\In that case, response:	I should be the one to nurse Ayato, as I have no matches.
context: Normally, I'd want you to take a good, long rest, but...\In that case, I'm going to take care of you so you'll recover faster.\I-I'll take care of you, too!\And I'll make you rice balls, too!\K-Kirin!\Hey! Just worry about your own match, you two!\In that case,\I should be the one to nurse Ayato, as I have no matches. response:	Needless to say, if you wish, Ayato, I'll stay the whole night.
context: In that case, I'm going to take care of you so you'll recover faster.\I-I'll take care of you, too!\And I'll make you rice balls, too!\K-Kirin!\Hey! Just worry about your own match, you two!\In that case,\I should be the one to nurse Ayato, as I have no matches.\Needless to say, if you wish, Ayato, I'll stay the whole night. response:	H-Hey, hold up!
context: I-I'll take care of you, too!\And I'll make you rice balls, too!\K-Kirin!\Hey! Just worry about your own match, you two!\In that case,\I should be the one to nurse Ayato, as I have no matches.\Needless to say, if you wish, Ayato, I'll stay the whole night.\H-Hey, hold up! response:	C-Calm down, will you, you guys?
context: And I'll make you rice balls, too!\K-Kirin!\Hey! Just worry about your own match, you two!\In that case,\I should be the one to nurse Ayato, as I have no matches.\Needless to say, if you wish, Ayato, I'll stay the whole night.\H-Hey, hold up!\C-Calm down, will you, you guys? response:	- Ayato! - Ayato-senpai!
context: K-Kirin!\Hey! Just worry about your own match, you two!\In that case,\I should be the one to nurse Ayato, as I have no matches.\Needless to say, if you wish, Ayato, I'll stay the whole night.\H-Hey, hold up!\C-Calm down, will you, you guys?\- Ayato! - Ayato-senpai! response:	You all have this scary look in your eyes, guys.
context: Hey! Just worry about your own match, you two!\In that case,\I should be the one to nurse Ayato, as I have no matches.\Needless to say, if you wish, Ayato, I'll stay the whole night.\H-Hey, hold up!\C-Calm down, will you, you guys?\- Ayato! - Ayato-senpai!\You all have this scary look in your eyes, guys. response:	Jeez! Enough is enough, you three!
context: In that case,\I should be the one to nurse Ayato, as I have no matches.\Needless to say, if you wish, Ayato, I'll stay the whole night.\H-Hey, hold up!\C-Calm down, will you, you guys?\- Ayato! - Ayato-senpai!\You all have this scary look in your eyes, guys.\Jeez! Enough is enough, you three! response:	Can't you see Ayato can't get any rest?!
context: I should be the one to nurse Ayato, as I have no matches.\Needless to say, if you wish, Ayato, I'll stay the whole night.\H-Hey, hold up!\C-Calm down, will you, you guys?\- Ayato! - Ayato-senpai!\You all have this scary look in your eyes, guys.\Jeez! Enough is enough, you three!\Can't you see Ayato can't get any rest?! response:	Seriously...
context: Needless to say, if you wish, Ayato, I'll stay the whole night.\H-Hey, hold up!\C-Calm down, will you, you guys?\- Ayato! - Ayato-senpai!\You all have this scary look in your eyes, guys.\Jeez! Enough is enough, you three!\Can't you see Ayato can't get any rest?!\Seriously... response:	Now, then...
context: H-Hey, hold up!\C-Calm down, will you, you guys?\- Ayato! - Ayato-senpai!\You all have this scary look in your eyes, guys.\Jeez! Enough is enough, you three!\Can't you see Ayato can't get any rest?!\Seriously...\Now, then... response:	I wonder how is this gonna end?
context: C-Calm down, will you, you guys?\- Ayato! - Ayato-senpai!\You all have this scary look in your eyes, guys.\Jeez! Enough is enough, you three!\Can't you see Ayato can't get any rest?!\Seriously...\Now, then...\I wonder how is this gonna end? response:	At last, it's time...
context: - Ayato! - Ayato-senpai!\You all have this scary look in your eyes, guys.\Jeez! Enough is enough, you three!\Can't you see Ayato can't get any rest?!\Seriously...\Now, then...\I wonder how is this gonna end?\At last, it's time... response:	Haruka...
context: You all have this scary look in your eyes, guys.\Jeez! Enough is enough, you three!\Can't you see Ayato can't get any rest?!\Seriously...\Now, then...\I wonder how is this gonna end?\At last, it's time...\Haruka... response:	Thanks to you, I'm way behind in my plan.
context: Jeez! Enough is enough, you three!\Can't you see Ayato can't get any rest?!\Seriously...\Now, then...\I wonder how is this gonna end?\At last, it's time...\Haruka...\Thanks to you, I'm way behind in my plan. response:	But now...
