context: So it's not in bloom yet. response:	I told you that it was too early.
context: Matsuoka-senpai...\Nitori,\sorry for yelling at you.\You don't have to worry about that!\And anyway, we can't kick you off...\I won't accept that!\I have a better way for you to own up to your actions.\Swim the way you just did for our team. response:	Captain...
context: Nitori,\sorry for yelling at you.\You don't have to worry about that!\And anyway, we can't kick you off...\I won't accept that!\I have a better way for you to own up to your actions.\Swim the way you just did for our team.\Captain... response:	Okay, boys. Let's head home.
context: sorry for yelling at you.\You don't have to worry about that!\And anyway, we can't kick you off...\I won't accept that!\I have a better way for you to own up to your actions.\Swim the way you just did for our team.\Captain...\Okay, boys. Let's head home. response:	Yes!
context: You don't have to worry about that!\And anyway, we can't kick you off...\I won't accept that!\I have a better way for you to own up to your actions.\Swim the way you just did for our team.\Captain...\Okay, boys. Let's head home.\Yes! response:	Hey, Nakagawa. Take the lead.
context: And anyway, we can't kick you off...\I won't accept that!\I have a better way for you to own up to your actions.\Swim the way you just did for our team.\Captain...\Okay, boys. Let's head home.\Yes!\Hey, Nakagawa. Take the lead. response:	I'll be at the back.
context: I won't accept that!\I have a better way for you to own up to your actions.\Swim the way you just did for our team.\Captain...\Okay, boys. Let's head home.\Yes!\Hey, Nakagawa. Take the lead.\I'll be at the back. response:	Yes!
context: I have a better way for you to own up to your actions.\Swim the way you just did for our team.\Captain...\Okay, boys. Let's head home.\Yes!\Hey, Nakagawa. Take the lead.\I'll be at the back.\Yes! response:	Nitori.
context: Swim the way you just did for our team.\Captain...\Okay, boys. Let's head home.\Yes!\Hey, Nakagawa. Take the lead.\I'll be at the back.\Yes!\Nitori. response:	Er...
context: Captain...\Okay, boys. Let's head home.\Yes!\Hey, Nakagawa. Take the lead.\I'll be at the back.\Yes!\Nitori.\Er... response:	Ai.
context: Okay, boys. Let's head home.\Yes!\Hey, Nakagawa. Take the lead.\I'll be at the back.\Yes!\Nitori.\Er...\Ai. response:	Practice with me again starting tomorrow.
context: Yes!\Hey, Nakagawa. Take the lead.\I'll be at the back.\Yes!\Nitori.\Er...\Ai.\Practice with me again starting tomorrow. response:	Yes, Rin-senpai!
context: Hey, Nakagawa. Take the lead.\I'll be at the back.\Yes!\Nitori.\Er...\Ai.\Practice with me again starting tomorrow.\Yes, Rin-senpai! response:	It's over.
context: I'll be at the back.\Yes!\Nitori.\Er...\Ai.\Practice with me again starting tomorrow.\Yes, Rin-senpai!\It's over. response:	Will we make it back here next year?
context: Yes!\Nitori.\Er...\Ai.\Practice with me again starting tomorrow.\Yes, Rin-senpai!\It's over.\Will we make it back here next year? response:	We have to make it back.
context: Nitori.\Er...\Ai.\Practice with me again starting tomorrow.\Yes, Rin-senpai!\It's over.\Will we make it back here next year?\We have to make it back. response:	It'll be my turn to unveil my dazzling butterfly technique.
context: Er...\Ai.\Practice with me again starting tomorrow.\Yes, Rin-senpai!\It's over.\Will we make it back here next year?\We have to make it back.\It'll be my turn to unveil my dazzling butterfly technique. response:	Right.
context: Ai.\Practice with me again starting tomorrow.\Yes, Rin-senpai!\It's over.\Will we make it back here next year?\We have to make it back.\It'll be my turn to unveil my dazzling butterfly technique.\Right. response:	Don't worry.
context: Practice with me again starting tomorrow.\Yes, Rin-senpai!\It's over.\Will we make it back here next year?\We have to make it back.\It'll be my turn to unveil my dazzling butterfly technique.\Right.\Don't worry. response:	We'll be back.
context: Yes, Rin-senpai!\It's over.\Will we make it back here next year?\We have to make it back.\It'll be my turn to unveil my dazzling butterfly technique.\Right.\Don't worry.\We'll be back. response:	The water is alive.
context: It's over.\Will we make it back here next year?\We have to make it back.\It'll be my turn to unveil my dazzling butterfly technique.\Right.\Don't worry.\We'll be back.\The water is alive. response:	Once you dive in, it will immediately bare its fangs and attack.
context: Will we make it back here next year?\We have to make it back.\It'll be my turn to unveil my dazzling butterfly technique.\Right.\Don't worry.\We'll be back.\The water is alive.\Once you dive in, it will immediately bare its fangs and attack. response:	But there's nothing to fear.
context: We have to make it back.\It'll be my turn to unveil my dazzling butterfly technique.\Right.\Don't worry.\We'll be back.\The water is alive.\Once you dive in, it will immediately bare its fangs and attack.\But there's nothing to fear. response:	Don't resist the water.
context: It'll be my turn to unveil my dazzling butterfly technique.\Right.\Don't worry.\We'll be back.\The water is alive.\Once you dive in, it will immediately bare its fangs and attack.\But there's nothing to fear.\Don't resist the water. response:	Thrust your fingers into the surface
context: Right.\Don't worry.\We'll be back.\The water is alive.\Once you dive in, it will immediately bare its fangs and attack.\But there's nothing to fear.\Don't resist the water.\Thrust your fingers into the surface response:	and carve an opening.
context: Don't worry.\We'll be back.\The water is alive.\Once you dive in, it will immediately bare its fangs and attack.\But there's nothing to fear.\Don't resist the water.\Thrust your fingers into the surface\and carve an opening. response:	Then you slide your body through that opening.
context: We'll be back.\The water is alive.\Once you dive in, it will immediately bare its fangs and attack.\But there's nothing to fear.\Don't resist the water.\Thrust your fingers into the surface\and carve an opening.\Then you slide your body through that opening. response:	Moving your arms, your head, your chest...
context: The water is alive.\Once you dive in, it will immediately bare its fangs and attack.\But there's nothing to fear.\Don't resist the water.\Thrust your fingers into the surface\and carve an opening.\Then you slide your body through that opening.\Moving your arms, your head, your chest... response:	Young Shock
context: Once you dive in, it will immediately bare its fangs and attack.\But there's nothing to fear.\Don't resist the water.\Thrust your fingers into the surface\and carve an opening.\Then you slide your body through that opening.\Moving your arms, your head, your chest...\Young Shock response:	Special Issue
context: But there's nothing to fear.\Don't resist the water.\Thrust your fingers into the surface\and carve an opening.\Then you slide your body through that opening.\Moving your arms, your head, your chest...\Young Shock\Special Issue response:	Close-up on Nishikujo Marin!
context: Don't resist the water.\Thrust your fingers into the surface\and carve an opening.\Then you slide your body through that opening.\Moving your arms, your head, your chest...\Young Shock\Special Issue\Close-up on Nishikujo Marin! response:	Bold Fold-out Photo, P21
context: Thrust your fingers into the surface\and carve an opening.\Then you slide your body through that opening.\Moving your arms, your head, your chest...\Young Shock\Special Issue\Close-up on Nishikujo Marin!\Bold Fold-out Photo, P21 response:	Matsuoka Rin
context: and carve an opening.\Then you slide your body through that opening.\Moving your arms, your head, your chest...\Young Shock\Special Issue\Close-up on Nishikujo Marin!\Bold Fold-out Photo, P21\Matsuoka Rin response:	Hello, everyone.
context: Then you slide your body through that opening.\Moving your arms, your head, your chest...\Young Shock\Special Issue\Close-up on Nishikujo Marin!\Bold Fold-out Photo, P21\Matsuoka Rin\Hello, everyone. response:	My name is Matsuoka Rin.
context: Moving your arms, your head, your chest...\Young Shock\Special Issue\Close-up on Nishikujo Marin!\Bold Fold-out Photo, P21\Matsuoka Rin\Hello, everyone.\My name is Matsuoka Rin. response:	I previously went to Samezuka Academy.
context: Young Shock\Special Issue\Close-up on Nishikujo Marin!\Bold Fold-out Photo, P21\Matsuoka Rin\Hello, everyone.\My name is Matsuoka Rin.\I previously went to Samezuka Academy. response:	I have a girly name, but I'm a boy.
context: Special Issue\Close-up on Nishikujo Marin!\Bold Fold-out Photo, P21\Matsuoka Rin\Hello, everyone.\My name is Matsuoka Rin.\I previously went to Samezuka Academy.\I have a girly name, but I'm a boy. response:	Looking forward to being...
context: Close-up on Nishikujo Marin!\Bold Fold-out Photo, P21\Matsuoka Rin\Hello, everyone.\My name is Matsuoka Rin.\I previously went to Samezuka Academy.\I have a girly name, but I'm a boy.\Looking forward to being... response:	Hmm, it doesn't feel quite right.
context: Bold Fold-out Photo, P21\Matsuoka Rin\Hello, everyone.\My name is Matsuoka Rin.\I previously went to Samezuka Academy.\I have a girly name, but I'm a boy.\Looking forward to being...\Hmm, it doesn't feel quite right. response:	Zero points. Put more effort into it.
context: Matsuoka Rin\Hello, everyone.\My name is Matsuoka Rin.\I previously went to Samezuka Academy.\I have a girly name, but I'm a boy.\Looking forward to being...\Hmm, it doesn't feel quite right.\Zero points. Put more effort into it. response:	You used to be more...
context: Hello, everyone.\My name is Matsuoka Rin.\I previously went to Samezuka Academy.\I have a girly name, but I'm a boy.\Looking forward to being...\Hmm, it doesn't feel quite right.\Zero points. Put more effort into it.\You used to be more... response:	Fresh?
context: My name is Matsuoka Rin.\I previously went to Samezuka Academy.\I have a girly name, but I'm a boy.\Looking forward to being...\Hmm, it doesn't feel quite right.\Zero points. Put more effort into it.\You used to be more...\Fresh? response:	Yeah, that's it!
context: I previously went to Samezuka Academy.\I have a girly name, but I'm a boy.\Looking forward to being...\Hmm, it doesn't feel quite right.\Zero points. Put more effort into it.\You used to be more...\Fresh?\Yeah, that's it! response:	Shut up!
context: I have a girly name, but I'm a boy.\Looking forward to being...\Hmm, it doesn't feel quite right.\Zero points. Put more effort into it.\You used to be more...\Fresh?\Yeah, that's it!\Shut up! response:	You guys told me to do this!
context: Looking forward to being...\Hmm, it doesn't feel quite right.\Zero points. Put more effort into it.\You used to be more...\Fresh?\Yeah, that's it!\Shut up!\You guys told me to do this! response:	Hey! Why are you fooling around?
context: Hmm, it doesn't feel quite right.\Zero points. Put more effort into it.\You used to be more...\Fresh?\Yeah, that's it!\Shut up!\You guys told me to do this!\Hey! Why are you fooling around? response:	Our joint training's about to start.
context: Zero points. Put more effort into it.\You used to be more...\Fresh?\Yeah, that's it!\Shut up!\You guys told me to do this!\Hey! Why are you fooling around?\Our joint training's about to start. response:	Big brother, stop playing around!
context: You used to be more...\Fresh?\Yeah, that's it!\Shut up!\You guys told me to do this!\Hey! Why are you fooling around?\Our joint training's about to start.\Big brother, stop playing around! response:	Fine!
context: Fresh?\Yeah, that's it!\Shut up!\You guys told me to do this!\Hey! Why are you fooling around?\Our joint training's about to start.\Big brother, stop playing around!\Fine! response:	Man...
context: Yeah, that's it!\Shut up!\You guys told me to do this!\Hey! Why are you fooling around?\Our joint training's about to start.\Big brother, stop playing around!\Fine!\Man... response:	Let's get going then.
context: Shut up!\You guys told me to do this!\Hey! Why are you fooling around?\Our joint training's about to start.\Big brother, stop playing around!\Fine!\Man...\Let's get going then. response:	It's time to avenge my previous showing at our joint training.
context: You guys told me to do this!\Hey! Why are you fooling around?\Our joint training's about to start.\Big brother, stop playing around!\Fine!\Man...\Let's get going then.\It's time to avenge my previous showing at our joint training. response:	I will show you my beautiful butterfly stroke.
context: Hey! Why are you fooling around?\Our joint training's about to start.\Big brother, stop playing around!\Fine!\Man...\Let's get going then.\It's time to avenge my previous showing at our joint training.\I will show you my beautiful butterfly stroke. response:	Strong words, Rei!
context: Our joint training's about to start.\Big brother, stop playing around!\Fine!\Man...\Let's get going then.\It's time to avenge my previous showing at our joint training.\I will show you my beautiful butterfly stroke.\Strong words, Rei! response:	I'll show you how good Samezuka is!
context: Big brother, stop playing around!\Fine!\Man...\Let's get going then.\It's time to avenge my previous showing at our joint training.\I will show you my beautiful butterfly stroke.\Strong words, Rei!\I'll show you how good Samezuka is! response:	Wanna have a race?
context: Fine!\Man...\Let's get going then.\It's time to avenge my previous showing at our joint training.\I will show you my beautiful butterfly stroke.\Strong words, Rei!\I'll show you how good Samezuka is!\Wanna have a race? response:	You won't beat us.
context: Man...\Let's get going then.\It's time to avenge my previous showing at our joint training.\I will show you my beautiful butterfly stroke.\Strong words, Rei!\I'll show you how good Samezuka is!\Wanna have a race?\You won't beat us. response:	We've got our eyes set on the world.
context: Let's get going then.\It's time to avenge my previous showing at our joint training.\I will show you my beautiful butterfly stroke.\Strong words, Rei!\I'll show you how good Samezuka is!\Wanna have a race?\You won't beat us.\We've got our eyes set on the world. response:	Haru, what are you doing? Hurry up.
context: It's time to avenge my previous showing at our joint training.\I will show you my beautiful butterfly stroke.\Strong words, Rei!\I'll show you how good Samezuka is!\Wanna have a race?\You won't beat us.\We've got our eyes set on the world.\Haru, what are you doing? Hurry up. response:	So you're following your dad's dream?
context: I will show you my beautiful butterfly stroke.\Strong words, Rei!\I'll show you how good Samezuka is!\Wanna have a race?\You won't beat us.\We've got our eyes set on the world.\Haru, what are you doing? Hurry up.\So you're following your dad's dream? response:	No, I'm not following my dad's dream.
context: Strong words, Rei!\I'll show you how good Samezuka is!\Wanna have a race?\You won't beat us.\We've got our eyes set on the world.\Haru, what are you doing? Hurry up.\So you're following your dad's dream?\No, I'm not following my dad's dream. response:	I'm following my own dream.
context: I'll show you how good Samezuka is!\Wanna have a race?\You won't beat us.\We've got our eyes set on the world.\Haru, what are you doing? Hurry up.\So you're following your dad's dream?\No, I'm not following my dad's dream.\I'm following my own dream. response:	What about you, Haru?
context: Wanna have a race?\You won't beat us.\We've got our eyes set on the world.\Haru, what are you doing? Hurry up.\So you're following your dad's dream?\No, I'm not following my dad's dream.\I'm following my own dream.\What about you, Haru? response:	Me?
context: You won't beat us.\We've got our eyes set on the world.\Haru, what are you doing? Hurry up.\So you're following your dad's dream?\No, I'm not following my dad's dream.\I'm following my own dream.\What about you, Haru?\Me? response:	I'm...
