context: Shinjurou... response:	I can't hold on any longer...
context: Chairman of JJ Systems\Kaishou Rinroku...\Father!\I'm sorry for making you handle a memorial service at your age...\That's not... Not at all!\Chairman...\Everyone, I'm sorry for causing so much worry.\I faked my own death to escape someone's plot. response:	And then I waited for the schemer to make their move.
context: Kaishou Rinroku...\Father!\I'm sorry for making you handle a memorial service at your age...\That's not... Not at all!\Chairman...\Everyone, I'm sorry for causing so much worry.\I faked my own death to escape someone's plot.\And then I waited for the schemer to make their move. response:	Sure enough,
context: Father!\I'm sorry for making you handle a memorial service at your age...\That's not... Not at all!\Chairman...\Everyone, I'm sorry for causing so much worry.\I faked my own death to escape someone's plot.\And then I waited for the schemer to make their move.\Sure enough, response:	He?
context: I'm sorry for making you handle a memorial service at your age...\That's not... Not at all!\Chairman...\Everyone, I'm sorry for causing so much worry.\I faked my own death to escape someone's plot.\And then I waited for the schemer to make their move.\Sure enough,\He? response:	he put together this little farce.
context: That's not... Not at all!\Chairman...\Everyone, I'm sorry for causing so much worry.\I faked my own death to escape someone's plot.\And then I waited for the schemer to make their move.\Sure enough,\He?\he put together this little farce. response:	Isn't that right, Defeated Detective?
context: Chairman...\Everyone, I'm sorry for causing so much worry.\I faked my own death to escape someone's plot.\And then I waited for the schemer to make their move.\Sure enough,\He?\he put together this little farce.\Isn't that right, Defeated Detective? response:	What's your objective, I wonder?
context: Everyone, I'm sorry for causing so much worry.\I faked my own death to escape someone's plot.\And then I waited for the schemer to make their move.\Sure enough,\He?\he put together this little farce.\Isn't that right, Defeated Detective?\What's your objective, I wonder? response:	I'm just searching for the truth.
context: I faked my own death to escape someone's plot.\And then I waited for the schemer to make their move.\Sure enough,\He?\he put together this little farce.\Isn't that right, Defeated Detective?\What's your objective, I wonder?\I'm just searching for the truth. response:	I'd like you to explain your real aim.
context: And then I waited for the schemer to make their move.\Sure enough,\He?\he put together this little farce.\Isn't that right, Defeated Detective?\What's your objective, I wonder?\I'm just searching for the truth.\I'd like you to explain your real aim. response:	Everyone, this is his partner.
context: Sure enough,\He?\he put together this little farce.\Isn't that right, Defeated Detective?\What's your objective, I wonder?\I'm just searching for the truth.\I'd like you to explain your real aim.\Everyone, this is his partner. response:	But he's not just a partner.
context: He?\he put together this little farce.\Isn't that right, Defeated Detective?\What's your objective, I wonder?\I'm just searching for the truth.\I'd like you to explain your real aim.\Everyone, this is his partner.\But he's not just a partner. response:	A monster!
context: he put together this little farce.\Isn't that right, Defeated Detective?\What's your objective, I wonder?\I'm just searching for the truth.\I'd like you to explain your real aim.\Everyone, this is his partner.\But he's not just a partner.\A monster! response:	As you can see, this is not a human being, but a monster.
context: Isn't that right, Defeated Detective?\What's your objective, I wonder?\I'm just searching for the truth.\I'd like you to explain your real aim.\Everyone, this is his partner.\But he's not just a partner.\A monster!\As you can see, this is not a human being, but a monster. response:	Until now, the Defeated Detective has used this
context: What's your objective, I wonder?\I'm just searching for the truth.\I'd like you to explain your real aim.\Everyone, this is his partner.\But he's not just a partner.\A monster!\As you can see, this is not a human being, but a monster.\Until now, the Defeated Detective has used this response:	to tear apart human minds whenever he pleased.
context: I'm just searching for the truth.\I'd like you to explain your real aim.\Everyone, this is his partner.\But he's not just a partner.\A monster!\As you can see, this is not a human being, but a monster.\Until now, the Defeated Detective has used this\to tear apart human minds whenever he pleased. response:	Today, he's going to pay dearly for that.
context: I'd like you to explain your real aim.\Everyone, this is his partner.\But he's not just a partner.\A monster!\As you can see, this is not a human being, but a monster.\Until now, the Defeated Detective has used this\to tear apart human minds whenever he pleased.\Today, he's going to pay dearly for that. response:	Don't...
context: Everyone, this is his partner.\But he's not just a partner.\A monster!\As you can see, this is not a human being, but a monster.\Until now, the Defeated Detective has used this\to tear apart human minds whenever he pleased.\Today, he's going to pay dearly for that.\Don't... response:	Tell me... What is your true goal?
context: But he's not just a partner.\A monster!\As you can see, this is not a human being, but a monster.\Until now, the Defeated Detective has used this\to tear apart human minds whenever he pleased.\Today, he's going to pay dearly for that.\Don't...\Tell me... What is your true goal? response:	Don't...
context: A monster!\As you can see, this is not a human being, but a monster.\Until now, the Defeated Detective has used this\to tear apart human minds whenever he pleased.\Today, he's going to pay dearly for that.\Don't...\Tell me... What is your true goal?\Don't... response:	What do you want?
context: As you can see, this is not a human being, but a monster.\Until now, the Defeated Detective has used this\to tear apart human minds whenever he pleased.\Today, he's going to pay dearly for that.\Don't...\Tell me... What is your true goal?\Don't...\What do you want? response:	Father... That's enough!
context: Until now, the Defeated Detective has used this\to tear apart human minds whenever he pleased.\Today, he's going to pay dearly for that.\Don't...\Tell me... What is your true goal?\Don't...\What do you want?\Father... That's enough! response:	It's no use.
context: to tear apart human minds whenever he pleased.\Today, he's going to pay dearly for that.\Don't...\Tell me... What is your true goal?\Don't...\What do you want?\Father... That's enough!\It's no use. response:	People have no choice but to answer that monster's question.
context: Today, he's going to pay dearly for that.\Don't...\Tell me... What is your true goal?\Don't...\What do you want?\Father... That's enough!\It's no use.\People have no choice but to answer that monster's question. response:	Just one question...
context: Don't...\Tell me... What is your true goal?\Don't...\What do you want?\Father... That's enough!\It's no use.\People have no choice but to answer that monster's question.\Just one question... response:	Answer me. What do you want?
context: Tell me... What is your true goal?\Don't...\What do you want?\Father... That's enough!\It's no use.\People have no choice but to answer that monster's question.\Just one question...\Answer me. What do you want? response:	Don't...
context: Don't...\What do you want?\Father... That's enough!\It's no use.\People have no choice but to answer that monster's question.\Just one question...\Answer me. What do you want?\Don't... response:	Enough, Inga.
context: What do you want?\Father... That's enough!\It's no use.\People have no choice but to answer that monster's question.\Just one question...\Answer me. What do you want?\Don't...\Enough, Inga. response:	Long ago, I answered your question.
context: Father... That's enough!\It's no use.\People have no choice but to answer that monster's question.\Just one question...\Answer me. What do you want?\Don't...\Enough, Inga.\Long ago, I answered your question. response:	Ask me! Inga!
context: It's no use.\People have no choice but to answer that monster's question.\Just one question...\Answer me. What do you want?\Don't...\Enough, Inga.\Long ago, I answered your question.\Ask me! Inga! response:	What is it you see now?
context: People have no choice but to answer that monster's question.\Just one question...\Answer me. What do you want?\Don't...\Enough, Inga.\Long ago, I answered your question.\Ask me! Inga!\What is it you see now? response:	Rain and... Yuko...
context: Just one question...\Answer me. What do you want?\Don't...\Enough, Inga.\Long ago, I answered your question.\Ask me! Inga!\What is it you see now?\Rain and... Yuko... response:	Only you!
context: Answer me. What do you want?\Don't...\Enough, Inga.\Long ago, I answered your question.\Ask me! Inga!\What is it you see now?\Rain and... Yuko...\Only you! response:	So I don't have to answer any more of your questions.
context: Don't...\Enough, Inga.\Long ago, I answered your question.\Ask me! Inga!\What is it you see now?\Rain and... Yuko...\Only you!\So I don't have to answer any more of your questions. response:	I know what happened to you.
context: Enough, Inga.\Long ago, I answered your question.\Ask me! Inga!\What is it you see now?\Rain and... Yuko...\Only you!\So I don't have to answer any more of your questions.\I know what happened to you. response:	Bettenou is a kami. You can't resist a god.
context: Long ago, I answered your question.\Ask me! Inga!\What is it you see now?\Rain and... Yuko...\Only you!\So I don't have to answer any more of your questions.\I know what happened to you.\Bettenou is a kami. You can't resist a god. response:	That's what she said, isn't it?
context: Ask me! Inga!\What is it you see now?\Rain and... Yuko...\Only you!\So I don't have to answer any more of your questions.\I know what happened to you.\Bettenou is a kami. You can't resist a god.\That's what she said, isn't it? response:	But I'm going to disprove those words.
context: What is it you see now?\Rain and... Yuko...\Only you!\So I don't have to answer any more of your questions.\I know what happened to you.\Bettenou is a kami. You can't resist a god.\That's what she said, isn't it?\But I'm going to disprove those words. response:	Bettenou is no god!
context: Rain and... Yuko...\Only you!\So I don't have to answer any more of your questions.\I know what happened to you.\Bettenou is a kami. You can't resist a god.\That's what she said, isn't it?\But I'm going to disprove those words.\Bettenou is no god! response:	Stop it!
context: Only you!\So I don't have to answer any more of your questions.\I know what happened to you.\Bettenou is a kami. You can't resist a god.\That's what she said, isn't it?\But I'm going to disprove those words.\Bettenou is no god!\Stop it! response:	The truth is that you used that monster!
context: So I don't have to answer any more of your questions.\I know what happened to you.\Bettenou is a kami. You can't resist a god.\That's what she said, isn't it?\But I'm going to disprove those words.\Bettenou is no god!\Stop it!\The truth is that you used that monster! response:	Bettenou makes her master's words into a semblance of reality.
context: I know what happened to you.\Bettenou is a kami. You can't resist a god.\That's what she said, isn't it?\But I'm going to disprove those words.\Bettenou is no god!\Stop it!\The truth is that you used that monster!\Bettenou makes her master's words into a semblance of reality. response:	But if you don't hear the voice or even see the person,
context: Bettenou is a kami. You can't resist a god.\That's what she said, isn't it?\But I'm going to disprove those words.\Bettenou is no god!\Stop it!\The truth is that you used that monster!\Bettenou makes her master's words into a semblance of reality.\But if you don't hear the voice or even see the person, response:	you can't share in the illusion.
context: That's what she said, isn't it?\But I'm going to disprove those words.\Bettenou is no god!\Stop it!\The truth is that you used that monster!\Bettenou makes her master's words into a semblance of reality.\But if you don't hear the voice or even see the person,\you can't share in the illusion. response:	Another thing is she can't turn a person into someone else
context: But I'm going to disprove those words.\Bettenou is no god!\Stop it!\The truth is that you used that monster!\Bettenou makes her master's words into a semblance of reality.\But if you don't hear the voice or even see the person,\you can't share in the illusion.\Another thing is she can't turn a person into someone else response:	if that someone else is right there!
context: Bettenou is no god!\Stop it!\The truth is that you used that monster!\Bettenou makes her master's words into a semblance of reality.\But if you don't hear the voice or even see the person,\you can't share in the illusion.\Another thing is she can't turn a person into someone else\if that someone else is right there! response:	Shinjurou, you knew, didn't you?
context: Stop it!\The truth is that you used that monster!\Bettenou makes her master's words into a semblance of reality.\But if you don't hear the voice or even see the person,\you can't share in the illusion.\Another thing is she can't turn a person into someone else\if that someone else is right there!\Shinjurou, you knew, didn't you? response:	Yeah. Ever since he first got here...
context: The truth is that you used that monster!\Bettenou makes her master's words into a semblance of reality.\But if you don't hear the voice or even see the person,\you can't share in the illusion.\Another thing is she can't turn a person into someone else\if that someone else is right there!\Shinjurou, you knew, didn't you?\Yeah. Ever since he first got here... response:	To my eyes, he was just someone mimicking Kaishou.
context: Bettenou makes her master's words into a semblance of reality.\But if you don't hear the voice or even see the person,\you can't share in the illusion.\Another thing is she can't turn a person into someone else\if that someone else is right there!\Shinjurou, you knew, didn't you?\Yeah. Ever since he first got here...\To my eyes, he was just someone mimicking Kaishou. response:	Hayami Seigen.
context: But if you don't hear the voice or even see the person,\you can't share in the illusion.\Another thing is she can't turn a person into someone else\if that someone else is right there!\Shinjurou, you knew, didn't you?\Yeah. Ever since he first got here...\To my eyes, he was just someone mimicking Kaishou.\Hayami Seigen. response:	Mr. Hayami? What?
context: you can't share in the illusion.\Another thing is she can't turn a person into someone else\if that someone else is right there!\Shinjurou, you knew, didn't you?\Yeah. Ever since he first got here...\To my eyes, he was just someone mimicking Kaishou.\Hayami Seigen.\Mr. Hayami? What? response:	Hayami-kun fell to the floor under us...
context: Another thing is she can't turn a person into someone else\if that someone else is right there!\Shinjurou, you knew, didn't you?\Yeah. Ever since he first got here...\To my eyes, he was just someone mimicking Kaishou.\Hayami Seigen.\Mr. Hayami? What?\Hayami-kun fell to the floor under us... response:	If Kaishou didn't get his hands on Bettenou, it had to be you.
context: if that someone else is right there!\Shinjurou, you knew, didn't you?\Yeah. Ever since he first got here...\To my eyes, he was just someone mimicking Kaishou.\Hayami Seigen.\Mr. Hayami? What?\Hayami-kun fell to the floor under us...\If Kaishou didn't get his hands on Bettenou, it had to be you. response:	I'm sure you shot Kazamori as a precaution against the eye-opening shocks
context: Shinjurou, you knew, didn't you?\Yeah. Ever since he first got here...\To my eyes, he was just someone mimicking Kaishou.\Hayami Seigen.\Mr. Hayami? What?\Hayami-kun fell to the floor under us...\If Kaishou didn't get his hands on Bettenou, it had to be you.\I'm sure you shot Kazamori as a precaution against the eye-opening shocks response:	that she used at the prison, but it didn't do any good.
context: Yeah. Ever since he first got here...\To my eyes, he was just someone mimicking Kaishou.\Hayami Seigen.\Mr. Hayami? What?\Hayami-kun fell to the floor under us...\If Kaishou didn't get his hands on Bettenou, it had to be you.\I'm sure you shot Kazamori as a precaution against the eye-opening shocks\that she used at the prison, but it didn't do any good. response:	What are...
context: To my eyes, he was just someone mimicking Kaishou.\Hayami Seigen.\Mr. Hayami? What?\Hayami-kun fell to the floor under us...\If Kaishou didn't get his hands on Bettenou, it had to be you.\I'm sure you shot Kazamori as a precaution against the eye-opening shocks\that she used at the prison, but it didn't do any good.\What are... response:	I'm saying that the real Kaishou Rinroku has been in front of me the whole time,
context: Hayami Seigen.\Mr. Hayami? What?\Hayami-kun fell to the floor under us...\If Kaishou didn't get his hands on Bettenou, it had to be you.\I'm sure you shot Kazamori as a precaution against the eye-opening shocks\that she used at the prison, but it didn't do any good.\What are...\I'm saying that the real Kaishou Rinroku has been in front of me the whole time, response:	so even if a fraudulent Kaishou shows up, my brain won't be fooled!
context: Mr. Hayami? What?\Hayami-kun fell to the floor under us...\If Kaishou didn't get his hands on Bettenou, it had to be you.\I'm sure you shot Kazamori as a precaution against the eye-opening shocks\that she used at the prison, but it didn't do any good.\What are...\I'm saying that the real Kaishou Rinroku has been in front of me the whole time,\so even if a fraudulent Kaishou shows up, my brain won't be fooled! response:	The real...?
context: Hayami-kun fell to the floor under us...\If Kaishou didn't get his hands on Bettenou, it had to be you.\I'm sure you shot Kazamori as a precaution against the eye-opening shocks\that she used at the prison, but it didn't do any good.\What are...\I'm saying that the real Kaishou Rinroku has been in front of me the whole time,\so even if a fraudulent Kaishou shows up, my brain won't be fooled!\The real...? response:	You're stupider than I thought, Mr. National Police Agency.
context: If Kaishou didn't get his hands on Bettenou, it had to be you.\I'm sure you shot Kazamori as a precaution against the eye-opening shocks\that she used at the prison, but it didn't do any good.\What are...\I'm saying that the real Kaishou Rinroku has been in front of me the whole time,\so even if a fraudulent Kaishou shows up, my brain won't be fooled!\The real...?\You're stupider than I thought, Mr. National Police Agency. response:	It's not all his responsibility.
context: I'm sure you shot Kazamori as a precaution against the eye-opening shocks\that she used at the prison, but it didn't do any good.\What are...\I'm saying that the real Kaishou Rinroku has been in front of me the whole time,\so even if a fraudulent Kaishou shows up, my brain won't be fooled!\The real...?\You're stupider than I thought, Mr. National Police Agency.\It's not all his responsibility. response:	H-Hey! Who are you to butt in?!
context: that she used at the prison, but it didn't do any good.\What are...\I'm saying that the real Kaishou Rinroku has been in front of me the whole time,\so even if a fraudulent Kaishou shows up, my brain won't be fooled!\The real...?\You're stupider than I thought, Mr. National Police Agency.\It's not all his responsibility.\H-Hey! Who are you to butt in?! response:	You can't extract a god out of a human.
context: What are...\I'm saying that the real Kaishou Rinroku has been in front of me the whole time,\so even if a fraudulent Kaishou shows up, my brain won't be fooled!\The real...?\You're stupider than I thought, Mr. National Police Agency.\It's not all his responsibility.\H-Hey! Who are you to butt in?!\You can't extract a god out of a human. response:	However, by kowtowing to the thing that is considered to be a god,
context: I'm saying that the real Kaishou Rinroku has been in front of me the whole time,\so even if a fraudulent Kaishou shows up, my brain won't be fooled!\The real...?\You're stupider than I thought, Mr. National Police Agency.\It's not all his responsibility.\H-Hey! Who are you to butt in?!\You can't extract a god out of a human.\However, by kowtowing to the thing that is considered to be a god, response:	it is possible to create a god and shove it down the throats of people.
context: so even if a fraudulent Kaishou shows up, my brain won't be fooled!\The real...?\You're stupider than I thought, Mr. National Police Agency.\It's not all his responsibility.\H-Hey! Who are you to butt in?!\You can't extract a god out of a human.\However, by kowtowing to the thing that is considered to be a god,\it is possible to create a god and shove it down the throats of people. response:	Hayami-kun, that's what you did.
context: The real...?\You're stupider than I thought, Mr. National Police Agency.\It's not all his responsibility.\H-Hey! Who are you to butt in?!\You can't extract a god out of a human.\However, by kowtowing to the thing that is considered to be a god,\it is possible to create a god and shove it down the throats of people.\Hayami-kun, that's what you did. response:	Chairman?!
context: You're stupider than I thought, Mr. National Police Agency.\It's not all his responsibility.\H-Hey! Who are you to butt in?!\You can't extract a god out of a human.\However, by kowtowing to the thing that is considered to be a god,\it is possible to create a god and shove it down the throats of people.\Hayami-kun, that's what you did.\Chairman?! response:	Hayami-kun...
context: It's not all his responsibility.\H-Hey! Who are you to butt in?!\You can't extract a god out of a human.\However, by kowtowing to the thing that is considered to be a god,\it is possible to create a god and shove it down the throats of people.\Hayami-kun, that's what you did.\Chairman?!\Hayami-kun... response:	What's the meaning of this?!
context: H-Hey! Who are you to butt in?!\You can't extract a god out of a human.\However, by kowtowing to the thing that is considered to be a god,\it is possible to create a god and shove it down the throats of people.\Hayami-kun, that's what you did.\Chairman?!\Hayami-kun...\What's the meaning of this?! response:	He used Bettenou's power to impersonate me.
context: You can't extract a god out of a human.\However, by kowtowing to the thing that is considered to be a god,\it is possible to create a god and shove it down the throats of people.\Hayami-kun, that's what you did.\Chairman?!\Hayami-kun...\What's the meaning of this?!\He used Bettenou's power to impersonate me. response:	Well enough to even fool Rie.
context: However, by kowtowing to the thing that is considered to be a god,\it is possible to create a god and shove it down the throats of people.\Hayami-kun, that's what you did.\Chairman?!\Hayami-kun...\What's the meaning of this?!\He used Bettenou's power to impersonate me.\Well enough to even fool Rie. response:	That's why I made it look like I died.
context: it is possible to create a god and shove it down the throats of people.\Hayami-kun, that's what you did.\Chairman?!\Hayami-kun...\What's the meaning of this?!\He used Bettenou's power to impersonate me.\Well enough to even fool Rie.\That's why I made it look like I died. response:	So the person masquerading as me wouldn't be given power.
context: Hayami-kun, that's what you did.\Chairman?!\Hayami-kun...\What's the meaning of this?!\He used Bettenou's power to impersonate me.\Well enough to even fool Rie.\That's why I made it look like I died.\So the person masquerading as me wouldn't be given power. response:	I helped the Chairman.
context: Chairman?!\Hayami-kun...\What's the meaning of this?!\He used Bettenou's power to impersonate me.\Well enough to even fool Rie.\That's why I made it look like I died.\So the person masquerading as me wouldn't be given power.\I helped the Chairman. response:	That day, it looked like the Chairman got in the car,
context: Hayami-kun...\What's the meaning of this?!\He used Bettenou's power to impersonate me.\Well enough to even fool Rie.\That's why I made it look like I died.\So the person masquerading as me wouldn't be given power.\I helped the Chairman.\That day, it looked like the Chairman got in the car, response:	but he actually mixed in with us.
context: What's the meaning of this?!\He used Bettenou's power to impersonate me.\Well enough to even fool Rie.\That's why I made it look like I died.\So the person masquerading as me wouldn't be given power.\I helped the Chairman.\That day, it looked like the Chairman got in the car,\but he actually mixed in with us. response:	For good measure, he disguised himself as a TV station AD and left the scene.
context: He used Bettenou's power to impersonate me.\Well enough to even fool Rie.\That's why I made it look like I died.\So the person masquerading as me wouldn't be given power.\I helped the Chairman.\That day, it looked like the Chairman got in the car,\but he actually mixed in with us.\For good measure, he disguised himself as a TV station AD and left the scene. response:	The corpse in the car was the person who had been brought in to the hospital
context: Well enough to even fool Rie.\That's why I made it look like I died.\So the person masquerading as me wouldn't be given power.\I helped the Chairman.\That day, it looked like the Chairman got in the car,\but he actually mixed in with us.\For good measure, he disguised himself as a TV station AD and left the scene.\The corpse in the car was the person who had been brought in to the hospital response:	and died the day before.
context: That's why I made it look like I died.\So the person masquerading as me wouldn't be given power.\I helped the Chairman.\That day, it looked like the Chairman got in the car,\but he actually mixed in with us.\For good measure, he disguised himself as a TV station AD and left the scene.\The corpse in the car was the person who had been brought in to the hospital\and died the day before. response:	The DNA matched because some of that corpse's hair was put on your brush.
context: So the person masquerading as me wouldn't be given power.\I helped the Chairman.\That day, it looked like the Chairman got in the car,\but he actually mixed in with us.\For good measure, he disguised himself as a TV station AD and left the scene.\The corpse in the car was the person who had been brought in to the hospital\and died the day before.\The DNA matched because some of that corpse's hair was put on your brush. response:	But that brush was...
context: I helped the Chairman.\That day, it looked like the Chairman got in the car,\but he actually mixed in with us.\For good measure, he disguised himself as a TV station AD and left the scene.\The corpse in the car was the person who had been brought in to the hospital\and died the day before.\The DNA matched because some of that corpse's hair was put on your brush.\But that brush was... response:	You knew it, too?!
context: That day, it looked like the Chairman got in the car,\but he actually mixed in with us.\For good measure, he disguised himself as a TV station AD and left the scene.\The corpse in the car was the person who had been brought in to the hospital\and died the day before.\The DNA matched because some of that corpse's hair was put on your brush.\But that brush was...\You knew it, too?! response:	That Father was safe...
context: but he actually mixed in with us.\For good measure, he disguised himself as a TV station AD and left the scene.\The corpse in the car was the person who had been brought in to the hospital\and died the day before.\The DNA matched because some of that corpse's hair was put on your brush.\But that brush was...\You knew it, too?!\That Father was safe... response:	Inga, you still think Bettenou is a kami?
context: For good measure, he disguised himself as a TV station AD and left the scene.\The corpse in the car was the person who had been brought in to the hospital\and died the day before.\The DNA matched because some of that corpse's hair was put on your brush.\But that brush was...\You knew it, too?!\That Father was safe...\Inga, you still think Bettenou is a kami? response:	She's a misbegotten soul.
context: The corpse in the car was the person who had been brought in to the hospital\and died the day before.\The DNA matched because some of that corpse's hair was put on your brush.\But that brush was...\You knew it, too?!\That Father was safe...\Inga, you still think Bettenou is a kami?\She's a misbegotten soul. response:	Or you could call her a soul of mere words.
context: and died the day before.\The DNA matched because some of that corpse's hair was put on your brush.\But that brush was...\You knew it, too?!\That Father was safe...\Inga, you still think Bettenou is a kami?\She's a misbegotten soul.\Or you could call her a soul of mere words. response:	Long ago, the statesmen of this country let loose
context: The DNA matched because some of that corpse's hair was put on your brush.\But that brush was...\You knew it, too?!\That Father was safe...\Inga, you still think Bettenou is a kami?\She's a misbegotten soul.\Or you could call her a soul of mere words.\Long ago, the statesmen of this country let loose response:	the words victory and kamikaze.
context: But that brush was...\You knew it, too?!\That Father was safe...\Inga, you still think Bettenou is a kami?\She's a misbegotten soul.\Or you could call her a soul of mere words.\Long ago, the statesmen of this country let loose\the words victory and kamikaze. response:	They falsely heralded them as gods, and sent them to war...
context: You knew it, too?!\That Father was safe...\Inga, you still think Bettenou is a kami?\She's a misbegotten soul.\Or you could call her a soul of mere words.\Long ago, the statesmen of this country let loose\the words victory and kamikaze.\They falsely heralded them as gods, and sent them to war... response:	All for the purpose of feigning a nonexistent reality.
context: That Father was safe...\Inga, you still think Bettenou is a kami?\She's a misbegotten soul.\Or you could call her a soul of mere words.\Long ago, the statesmen of this country let loose\the words victory and kamikaze.\They falsely heralded them as gods, and sent them to war...\All for the purpose of feigning a nonexistent reality. response:	If it's a soul... then that's my favorite dish.
context: Inga, you still think Bettenou is a kami?\She's a misbegotten soul.\Or you could call her a soul of mere words.\Long ago, the statesmen of this country let loose\the words victory and kamikaze.\They falsely heralded them as gods, and sent them to war...\All for the purpose of feigning a nonexistent reality.\If it's a soul... then that's my favorite dish. response:	Even one that's misbegotten!
context: She's a misbegotten soul.\Or you could call her a soul of mere words.\Long ago, the statesmen of this country let loose\the words victory and kamikaze.\They falsely heralded them as gods, and sent them to war...\All for the purpose of feigning a nonexistent reality.\If it's a soul... then that's my favorite dish.\Even one that's misbegotten! response:	By doing this, you figured you could quickly turn into Kaishou
context: Or you could call her a soul of mere words.\Long ago, the statesmen of this country let loose\the words victory and kamikaze.\They falsely heralded them as gods, and sent them to war...\All for the purpose of feigning a nonexistent reality.\If it's a soul... then that's my favorite dish.\Even one that's misbegotten!\By doing this, you figured you could quickly turn into Kaishou response:	and beat the information out of me, correct?
context: Long ago, the statesmen of this country let loose\the words victory and kamikaze.\They falsely heralded them as gods, and sent them to war...\All for the purpose of feigning a nonexistent reality.\If it's a soul... then that's my favorite dish.\Even one that's misbegotten!\By doing this, you figured you could quickly turn into Kaishou\and beat the information out of me, correct? response:	You saw through me...
context: the words victory and kamikaze.\They falsely heralded them as gods, and sent them to war...\All for the purpose of feigning a nonexistent reality.\If it's a soul... then that's my favorite dish.\Even one that's misbegotten!\By doing this, you figured you could quickly turn into Kaishou\and beat the information out of me, correct?\You saw through me... response:	Full Circle's Mizuno and Kuramitsu
context: They falsely heralded them as gods, and sent them to war...\All for the purpose of feigning a nonexistent reality.\If it's a soul... then that's my favorite dish.\Even one that's misbegotten!\By doing this, you figured you could quickly turn into Kaishou\and beat the information out of me, correct?\You saw through me...\Full Circle's Mizuno and Kuramitsu response:	were going to lay out accusations against JJ Systems.
context: All for the purpose of feigning a nonexistent reality.\If it's a soul... then that's my favorite dish.\Even one that's misbegotten!\By doing this, you figured you could quickly turn into Kaishou\and beat the information out of me, correct?\You saw through me...\Full Circle's Mizuno and Kuramitsu\were going to lay out accusations against JJ Systems. response:	You, who had acquired Bettenou, approached those two.
context: If it's a soul... then that's my favorite dish.\Even one that's misbegotten!\By doing this, you figured you could quickly turn into Kaishou\and beat the information out of me, correct?\You saw through me...\Full Circle's Mizuno and Kuramitsu\were going to lay out accusations against JJ Systems.\You, who had acquired Bettenou, approached those two. response:	I didn't do anything wrong!
context: Even one that's misbegotten!\By doing this, you figured you could quickly turn into Kaishou\and beat the information out of me, correct?\You saw through me...\Full Circle's Mizuno and Kuramitsu\were going to lay out accusations against JJ Systems.\You, who had acquired Bettenou, approached those two.\I didn't do anything wrong! response:	Kaishou Rinroku is driven by self-interest
context: By doing this, you figured you could quickly turn into Kaishou\and beat the information out of me, correct?\You saw through me...\Full Circle's Mizuno and Kuramitsu\were going to lay out accusations against JJ Systems.\You, who had acquired Bettenou, approached those two.\I didn't do anything wrong!\Kaishou Rinroku is driven by self-interest response:	and I wanted to crush him for the sake of Japan!
context: and beat the information out of me, correct?\You saw through me...\Full Circle's Mizuno and Kuramitsu\were going to lay out accusations against JJ Systems.\You, who had acquired Bettenou, approached those two.\I didn't do anything wrong!\Kaishou Rinroku is driven by self-interest\and I wanted to crush him for the sake of Japan! response:	Is that right?
context: You saw through me...\Full Circle's Mizuno and Kuramitsu\were going to lay out accusations against JJ Systems.\You, who had acquired Bettenou, approached those two.\I didn't do anything wrong!\Kaishou Rinroku is driven by self-interest\and I wanted to crush him for the sake of Japan!\Is that right? response:	You tried to destroy the nationalization of solar power generation!
context: Full Circle's Mizuno and Kuramitsu\were going to lay out accusations against JJ Systems.\You, who had acquired Bettenou, approached those two.\I didn't do anything wrong!\Kaishou Rinroku is driven by self-interest\and I wanted to crush him for the sake of Japan!\Is that right?\You tried to destroy the nationalization of solar power generation! response:	Because you wanted to break into that field!
context: were going to lay out accusations against JJ Systems.\You, who had acquired Bettenou, approached those two.\I didn't do anything wrong!\Kaishou Rinroku is driven by self-interest\and I wanted to crush him for the sake of Japan!\Is that right?\You tried to destroy the nationalization of solar power generation!\Because you wanted to break into that field! response:	The field I'm going to get into is solar thermal energy.
context: You, who had acquired Bettenou, approached those two.\I didn't do anything wrong!\Kaishou Rinroku is driven by self-interest\and I wanted to crush him for the sake of Japan!\Is that right?\You tried to destroy the nationalization of solar power generation!\Because you wanted to break into that field!\The field I'm going to get into is solar thermal energy. response:	That's splitting hairs!
context: I didn't do anything wrong!\Kaishou Rinroku is driven by self-interest\and I wanted to crush him for the sake of Japan!\Is that right?\You tried to destroy the nationalization of solar power generation!\Because you wanted to break into that field!\The field I'm going to get into is solar thermal energy.\That's splitting hairs! response:	Your inability to make the distinction between the two is your limitation.
context: Kaishou Rinroku is driven by self-interest\and I wanted to crush him for the sake of Japan!\Is that right?\You tried to destroy the nationalization of solar power generation!\Because you wanted to break into that field!\The field I'm going to get into is solar thermal energy.\That's splitting hairs!\Your inability to make the distinction between the two is your limitation. response:	The age may be coming when we can provide the technology
context: and I wanted to crush him for the sake of Japan!\Is that right?\You tried to destroy the nationalization of solar power generation!\Because you wanted to break into that field!\The field I'm going to get into is solar thermal energy.\That's splitting hairs!\Your inability to make the distinction between the two is your limitation.\The age may be coming when we can provide the technology response:	to countries with vast deserts or strong sunlight,
context: Is that right?\You tried to destroy the nationalization of solar power generation!\Because you wanted to break into that field!\The field I'm going to get into is solar thermal energy.\That's splitting hairs!\Your inability to make the distinction between the two is your limitation.\The age may be coming when we can provide the technology\to countries with vast deserts or strong sunlight, response:	to build solar thermal power plants there, and convey the power that's generated
