context: Newspaper! response:	It's the latest issue of Youkai's newspaper!
context: You're too much, Tsukune.\I thought only you would be able to understand me...\Nobody...\Nobody understands me...\Why?\Why, why?!\WHY?!\Tsukune! response:	Moka-san!
context: I thought only you would be able to understand me...\Nobody...\Nobody understands me...\Why?\Why, why?!\WHY?!\Tsukune!\Moka-san! response:	This isn't good! Shirayuki-san actually didn't do anything wrong!
context: Nobody...\Nobody understands me...\Why?\Why, why?!\WHY?!\Tsukune!\Moka-san!\This isn't good! Shirayuki-san actually didn't do anything wrong! response:	Huh?
context: Nobody understands me...\Why?\Why, why?!\WHY?!\Tsukune!\Moka-san!\This isn't good! Shirayuki-san actually didn't do anything wrong!\Huh? response:	Gin-senpai's photographs cleared everything up!
context: Why?\Why, why?!\WHY?!\Tsukune!\Moka-san!\This isn't good! Shirayuki-san actually didn't do anything wrong!\Huh?\Gin-senpai's photographs cleared everything up! response:	Look!
context: Why, why?!\WHY?!\Tsukune!\Moka-san!\This isn't good! Shirayuki-san actually didn't do anything wrong!\Huh?\Gin-senpai's photographs cleared everything up!\Look! response:	This is!
context: WHY?!\Tsukune!\Moka-san!\This isn't good! Shirayuki-san actually didn't do anything wrong!\Huh?\Gin-senpai's photographs cleared everything up!\Look!\This is! response:	Kotsubo-sensei tried to do something despicable to Shirayuki-san while she was depressed!
context: Tsukune!\Moka-san!\This isn't good! Shirayuki-san actually didn't do anything wrong!\Huh?\Gin-senpai's photographs cleared everything up!\Look!\This is!\Kotsubo-sensei tried to do something despicable to Shirayuki-san while she was depressed! response:	That's why Shirayuki-san protected herself...
context: Moka-san!\This isn't good! Shirayuki-san actually didn't do anything wrong!\Huh?\Gin-senpai's photographs cleared everything up!\Look!\This is!\Kotsubo-sensei tried to do something despicable to Shirayuki-san while she was depressed!\That's why Shirayuki-san protected herself... response:	So that's what it was...
context: This isn't good! Shirayuki-san actually didn't do anything wrong!\Huh?\Gin-senpai's photographs cleared everything up!\Look!\This is!\Kotsubo-sensei tried to do something despicable to Shirayuki-san while she was depressed!\That's why Shirayuki-san protected herself...\So that's what it was... response:	And yet, I...
context: Huh?\Gin-senpai's photographs cleared everything up!\Look!\This is!\Kotsubo-sensei tried to do something despicable to Shirayuki-san while she was depressed!\That's why Shirayuki-san protected herself...\So that's what it was...\And yet, I... response:	I'm sorry, Shirayuki-san!
context: Gin-senpai's photographs cleared everything up!\Look!\This is!\Kotsubo-sensei tried to do something despicable to Shirayuki-san while she was depressed!\That's why Shirayuki-san protected herself...\So that's what it was...\And yet, I...\I'm sorry, Shirayuki-san! response:	I didn't believe in you, Shirayuki-san...
context: Look!\This is!\Kotsubo-sensei tried to do something despicable to Shirayuki-san while she was depressed!\That's why Shirayuki-san protected herself...\So that's what it was...\And yet, I...\I'm sorry, Shirayuki-san!\I didn't believe in you, Shirayuki-san... response:	Stay away...
context: This is!\Kotsubo-sensei tried to do something despicable to Shirayuki-san while she was depressed!\That's why Shirayuki-san protected herself...\So that's what it was...\And yet, I...\I'm sorry, Shirayuki-san!\I didn't believe in you, Shirayuki-san...\Stay away... response:	Stay away!
context: Kotsubo-sensei tried to do something despicable to Shirayuki-san while she was depressed!\That's why Shirayuki-san protected herself...\So that's what it was...\And yet, I...\I'm sorry, Shirayuki-san!\I didn't believe in you, Shirayuki-san...\Stay away...\Stay away! response:	I'm... lonely...
context: That's why Shirayuki-san protected herself...\So that's what it was...\And yet, I...\I'm sorry, Shirayuki-san!\I didn't believe in you, Shirayuki-san...\Stay away...\Stay away!\I'm... lonely... response:	No one really understands me...
context: So that's what it was...\And yet, I...\I'm sorry, Shirayuki-san!\I didn't believe in you, Shirayuki-san...\Stay away...\Stay away!\I'm... lonely...\No one really understands me... response:	Loneliness...
context: And yet, I...\I'm sorry, Shirayuki-san!\I didn't believe in you, Shirayuki-san...\Stay away...\Stay away!\I'm... lonely...\No one really understands me...\Loneliness... response:	Tsukune didn't understand me either...
context: I'm sorry, Shirayuki-san!\I didn't believe in you, Shirayuki-san...\Stay away...\Stay away!\I'm... lonely...\No one really understands me...\Loneliness...\Tsukune didn't understand me either... response:	Is this... Shirayuki-san's inner voice?
context: I didn't believe in you, Shirayuki-san...\Stay away...\Stay away!\I'm... lonely...\No one really understands me...\Loneliness...\Tsukune didn't understand me either...\Is this... Shirayuki-san's inner voice? response:	Everyone should just get buried under pure white ice!
context: Stay away...\Stay away!\I'm... lonely...\No one really understands me...\Loneliness...\Tsukune didn't understand me either...\Is this... Shirayuki-san's inner voice?\Everyone should just get buried under pure white ice! response:	What a terrible chill...
context: Stay away!\I'm... lonely...\No one really understands me...\Loneliness...\Tsukune didn't understand me either...\Is this... Shirayuki-san's inner voice?\Everyone should just get buried under pure white ice!\What a terrible chill... response:	Shirayuki-san!
context: I'm... lonely...\No one really understands me...\Loneliness...\Tsukune didn't understand me either...\Is this... Shirayuki-san's inner voice?\Everyone should just get buried under pure white ice!\What a terrible chill...\Shirayuki-san! response:	Hold on, Shirayuki-san... I'll pull you up right now!
context: No one really understands me...\Loneliness...\Tsukune didn't understand me either...\Is this... Shirayuki-san's inner voice?\Everyone should just get buried under pure white ice!\What a terrible chill...\Shirayuki-san!\Hold on, Shirayuki-san... I'll pull you up right now! response:	It's all right, Tsukune.
context: Loneliness...\Tsukune didn't understand me either...\Is this... Shirayuki-san's inner voice?\Everyone should just get buried under pure white ice!\What a terrible chill...\Shirayuki-san!\Hold on, Shirayuki-san... I'll pull you up right now!\It's all right, Tsukune. response:	Lonely... I'm so lonely...
context: Tsukune didn't understand me either...\Is this... Shirayuki-san's inner voice?\Everyone should just get buried under pure white ice!\What a terrible chill...\Shirayuki-san!\Hold on, Shirayuki-san... I'll pull you up right now!\It's all right, Tsukune.\Lonely... I'm so lonely... response:	Someone like me will inevitably live alone...
context: Is this... Shirayuki-san's inner voice?\Everyone should just get buried under pure white ice!\What a terrible chill...\Shirayuki-san!\Hold on, Shirayuki-san... I'll pull you up right now!\It's all right, Tsukune.\Lonely... I'm so lonely...\Someone like me will inevitably live alone... response:	I have something I didn't get to tell you yet, Shirayuki-san!
context: Everyone should just get buried under pure white ice!\What a terrible chill...\Shirayuki-san!\Hold on, Shirayuki-san... I'll pull you up right now!\It's all right, Tsukune.\Lonely... I'm so lonely...\Someone like me will inevitably live alone...\I have something I didn't get to tell you yet, Shirayuki-san! response:	Something you didn't tell me?
context: What a terrible chill...\Shirayuki-san!\Hold on, Shirayuki-san... I'll pull you up right now!\It's all right, Tsukune.\Lonely... I'm so lonely...\Someone like me will inevitably live alone...\I have something I didn't get to tell you yet, Shirayuki-san!\Something you didn't tell me? response:	I'm not alone anymore!
context: Shirayuki-san!\Hold on, Shirayuki-san... I'll pull you up right now!\It's all right, Tsukune.\Lonely... I'm so lonely...\Someone like me will inevitably live alone...\I have something I didn't get to tell you yet, Shirayuki-san!\Something you didn't tell me?\I'm not alone anymore! response:	But that's because I made precious friends!
context: Hold on, Shirayuki-san... I'll pull you up right now!\It's all right, Tsukune.\Lonely... I'm so lonely...\Someone like me will inevitably live alone...\I have something I didn't get to tell you yet, Shirayuki-san!\Something you didn't tell me?\I'm not alone anymore!\But that's because I made precious friends! response:	So what?
context: It's all right, Tsukune.\Lonely... I'm so lonely...\Someone like me will inevitably live alone...\I have something I didn't get to tell you yet, Shirayuki-san!\Something you didn't tell me?\I'm not alone anymore!\But that's because I made precious friends!\So what? response:	That's why...
context: Lonely... I'm so lonely...\Someone like me will inevitably live alone...\I have something I didn't get to tell you yet, Shirayuki-san!\Something you didn't tell me?\I'm not alone anymore!\But that's because I made precious friends!\So what?\That's why... response:	Be my friend, Shirayuki-san!
context: Someone like me will inevitably live alone...\I have something I didn't get to tell you yet, Shirayuki-san!\Something you didn't tell me?\I'm not alone anymore!\But that's because I made precious friends!\So what?\That's why...\Be my friend, Shirayuki-san! response:	If you died, there's no way you could be friends with me anymore!
context: I have something I didn't get to tell you yet, Shirayuki-san!\Something you didn't tell me?\I'm not alone anymore!\But that's because I made precious friends!\So what?\That's why...\Be my friend, Shirayuki-san!\If you died, there's no way you could be friends with me anymore! response:	Lies... What friends?
context: Something you didn't tell me?\I'm not alone anymore!\But that's because I made precious friends!\So what?\That's why...\Be my friend, Shirayuki-san!\If you died, there's no way you could be friends with me anymore!\Lies... What friends? response:	It's just a collusive relationship.
context: I'm not alone anymore!\But that's because I made precious friends!\So what?\That's why...\Be my friend, Shirayuki-san!\If you died, there's no way you could be friends with me anymore!\Lies... What friends?\It's just a collusive relationship. response:	True friendship would be to die together.
context: But that's because I made precious friends!\So what?\That's why...\Be my friend, Shirayuki-san!\If you died, there's no way you could be friends with me anymore!\Lies... What friends?\It's just a collusive relationship.\True friendship would be to die together. response:	Together...
context: So what?\That's why...\Be my friend, Shirayuki-san!\If you died, there's no way you could be friends with me anymore!\Lies... What friends?\It's just a collusive relationship.\True friendship would be to die together.\Together... response:	I can't...I can't even control them anymore!
context: That's why...\Be my friend, Shirayuki-san!\If you died, there's no way you could be friends with me anymore!\Lies... What friends?\It's just a collusive relationship.\True friendship would be to die together.\Together...\I can't...I can't even control them anymore! response:	Tsukune!
context: Be my friend, Shirayuki-san!\If you died, there's no way you could be friends with me anymore!\Lies... What friends?\It's just a collusive relationship.\True friendship would be to die together.\Together...\I can't...I can't even control them anymore!\Tsukune! response:	Moka-san!
context: If you died, there's no way you could be friends with me anymore!\Lies... What friends?\It's just a collusive relationship.\True friendship would be to die together.\Together...\I can't...I can't even control them anymore!\Tsukune!\Moka-san! response:	Tsukune!
context: Lies... What friends?\It's just a collusive relationship.\True friendship would be to die together.\Together...\I can't...I can't even control them anymore!\Tsukune!\Moka-san!\Tsukune! response:	This is...
context: It's just a collusive relationship.\True friendship would be to die together.\Together...\I can't...I can't even control them anymore!\Tsukune!\Moka-san!\Tsukune!\This is... response:	Once the rosary on her chest is removed,
context: True friendship would be to die together.\Together...\I can't...I can't even control them anymore!\Tsukune!\Moka-san!\Tsukune!\This is...\Once the rosary on her chest is removed, response:	The vampire blood within Moka will awaken.
context: Together...\I can't...I can't even control them anymore!\Tsukune!\Moka-san!\Tsukune!\This is...\Once the rosary on her chest is removed,\The vampire blood within Moka will awaken. response:	Sorry for the wait.
context: I can't...I can't even control them anymore!\Tsukune!\Moka-san!\Tsukune!\This is...\Once the rosary on her chest is removed,\The vampire blood within Moka will awaken.\Sorry for the wait. response:	Do not hinder me.
context: Tsukune!\Moka-san!\Tsukune!\This is...\Once the rosary on her chest is removed,\The vampire blood within Moka will awaken.\Sorry for the wait.\Do not hinder me. response:	Do you want to die too?
context: Moka-san!\Tsukune!\This is...\Once the rosary on her chest is removed,\The vampire blood within Moka will awaken.\Sorry for the wait.\Do not hinder me.\Do you want to die too? response:	That's right...disappear.
context: Tsukune!\This is...\Once the rosary on her chest is removed,\The vampire blood within Moka will awaken.\Sorry for the wait.\Do not hinder me.\Do you want to die too?\That's right...disappear. response:	Worthless puppets.
context: This is...\Once the rosary on her chest is removed,\The vampire blood within Moka will awaken.\Sorry for the wait.\Do not hinder me.\Do you want to die too?\That's right...disappear.\Worthless puppets. response:	The only ones that'll disappear...
context: Once the rosary on her chest is removed,\The vampire blood within Moka will awaken.\Sorry for the wait.\Do not hinder me.\Do you want to die too?\That's right...disappear.\Worthless puppets.\The only ones that'll disappear... response:	Are you guys!
context: The vampire blood within Moka will awaken.\Sorry for the wait.\Do not hinder me.\Do you want to die too?\That's right...disappear.\Worthless puppets.\The only ones that'll disappear...\Are you guys! response:	No way... How?
context: Sorry for the wait.\Do not hinder me.\Do you want to die too?\That's right...disappear.\Worthless puppets.\The only ones that'll disappear...\Are you guys!\No way... How? response:	They were created from supernatural energy.
context: Do not hinder me.\Do you want to die too?\That's right...disappear.\Worthless puppets.\The only ones that'll disappear...\Are you guys!\No way... How?\They were created from supernatural energy. response:	That's why they got dispelled by an even stronger force.
context: Do you want to die too?\That's right...disappear.\Worthless puppets.\The only ones that'll disappear...\Are you guys!\No way... How?\They were created from supernatural energy.\That's why they got dispelled by an even stronger force. response:	Thank you for explaining it in simple terms!
context: That's right...disappear.\Worthless puppets.\The only ones that'll disappear...\Are you guys!\No way... How?\They were created from supernatural energy.\That's why they got dispelled by an even stronger force.\Thank you for explaining it in simple terms! response:	M-Moka-san...
context: Worthless puppets.\The only ones that'll disappear...\Are you guys!\No way... How?\They were created from supernatural energy.\That's why they got dispelled by an even stronger force.\Thank you for explaining it in simple terms!\M-Moka-san... response:	Stop getting me involved.
context: The only ones that'll disappear...\Are you guys!\No way... How?\They were created from supernatural energy.\That's why they got dispelled by an even stronger force.\Thank you for explaining it in simple terms!\M-Moka-san...\Stop getting me involved. response:	T-Thank you, Moka-san...
context: Are you guys!\No way... How?\They were created from supernatural energy.\That's why they got dispelled by an even stronger force.\Thank you for explaining it in simple terms!\M-Moka-san...\Stop getting me involved.\T-Thank you, Moka-san... response:	I'm not going to thank you...
context: No way... How?\They were created from supernatural energy.\That's why they got dispelled by an even stronger force.\Thank you for explaining it in simple terms!\M-Moka-san...\Stop getting me involved.\T-Thank you, Moka-san...\I'm not going to thank you... response:	You snowy twerp.
context: They were created from supernatural energy.\That's why they got dispelled by an even stronger force.\Thank you for explaining it in simple terms!\M-Moka-san...\Stop getting me involved.\T-Thank you, Moka-san...\I'm not going to thank you...\You snowy twerp. response:	If you wanted to die, why not try to fulfill something in your life first?
context: That's why they got dispelled by an even stronger force.\Thank you for explaining it in simple terms!\M-Moka-san...\Stop getting me involved.\T-Thank you, Moka-san...\I'm not going to thank you...\You snowy twerp.\If you wanted to die, why not try to fulfill something in your life first? response:	More like, your kick almost killed me...
context: Thank you for explaining it in simple terms!\M-Moka-san...\Stop getting me involved.\T-Thank you, Moka-san...\I'm not going to thank you...\You snowy twerp.\If you wanted to die, why not try to fulfill something in your life first?\More like, your kick almost killed me... response:	This week's winner- no, even if there isn't one, took only 86 seconds.
context: M-Moka-san...\Stop getting me involved.\T-Thank you, Moka-san...\I'm not going to thank you...\You snowy twerp.\If you wanted to die, why not try to fulfill something in your life first?\More like, your kick almost killed me...\This week's winner- no, even if there isn't one, took only 86 seconds. response:	Good work, ya'll.
context: Stop getting me involved.\T-Thank you, Moka-san...\I'm not going to thank you...\You snowy twerp.\If you wanted to die, why not try to fulfill something in your life first?\More like, your kick almost killed me...\This week's winner- no, even if there isn't one, took only 86 seconds.\Good work, ya'll. response:	However, thanks to everyone, Shirayuki-san won't be expelled!
context: T-Thank you, Moka-san...\I'm not going to thank you...\You snowy twerp.\If you wanted to die, why not try to fulfill something in your life first?\More like, your kick almost killed me...\This week's winner- no, even if there isn't one, took only 86 seconds.\Good work, ya'll.\However, thanks to everyone, Shirayuki-san won't be expelled! response:	Eh, w-why is it so cold suddenly!
context: I'm not going to thank you...\You snowy twerp.\If you wanted to die, why not try to fulfill something in your life first?\More like, your kick almost killed me...\This week's winner- no, even if there isn't one, took only 86 seconds.\Good work, ya'll.\However, thanks to everyone, Shirayuki-san won't be expelled!\Eh, w-why is it so cold suddenly! response:	W-When did you...!
context: You snowy twerp.\If you wanted to die, why not try to fulfill something in your life first?\More like, your kick almost killed me...\This week's winner- no, even if there isn't one, took only 86 seconds.\Good work, ya'll.\However, thanks to everyone, Shirayuki-san won't be expelled!\Eh, w-why is it so cold suddenly!\W-When did you...! response:	Your hair...
context: If you wanted to die, why not try to fulfill something in your life first?\More like, your kick almost killed me...\This week's winner- no, even if there isn't one, took only 86 seconds.\Good work, ya'll.\However, thanks to everyone, Shirayuki-san won't be expelled!\Eh, w-why is it so cold suddenly!\W-When did you...!\Your hair... response:	I cut it short... Does it suit me?
context: More like, your kick almost killed me...\This week's winner- no, even if there isn't one, took only 86 seconds.\Good work, ya'll.\However, thanks to everyone, Shirayuki-san won't be expelled!\Eh, w-why is it so cold suddenly!\W-When did you...!\Your hair...\I cut it short... Does it suit me? response:	Very much so!
context: This week's winner- no, even if there isn't one, took only 86 seconds.\Good work, ya'll.\However, thanks to everyone, Shirayuki-san won't be expelled!\Eh, w-why is it so cold suddenly!\W-When did you...!\Your hair...\I cut it short... Does it suit me?\Very much so! response:	Even though you're exaggerating, I've decided to completely make myself over.
context: Good work, ya'll.\However, thanks to everyone, Shirayuki-san won't be expelled!\Eh, w-why is it so cold suddenly!\W-When did you...!\Your hair...\I cut it short... Does it suit me?\Very much so!\Even though you're exaggerating, I've decided to completely make myself over. response:	I thought I'd start from my hairstyle first...
context: However, thanks to everyone, Shirayuki-san won't be expelled!\Eh, w-why is it so cold suddenly!\W-When did you...!\Your hair...\I cut it short... Does it suit me?\Very much so!\Even though you're exaggerating, I've decided to completely make myself over.\I thought I'd start from my hairstyle first... response:	You're pretty photogenic too.
context: Eh, w-why is it so cold suddenly!\W-When did you...!\Your hair...\I cut it short... Does it suit me?\Very much so!\Even though you're exaggerating, I've decided to completely make myself over.\I thought I'd start from my hairstyle first...\You're pretty photogenic too. response:	Let me take a photo...
context: W-When did you...!\Your hair...\I cut it short... Does it suit me?\Very much so!\Even though you're exaggerating, I've decided to completely make myself over.\I thought I'd start from my hairstyle first...\You're pretty photogenic too.\Let me take a photo... response:	Come to think of it,
context: Your hair...\I cut it short... Does it suit me?\Very much so!\Even though you're exaggerating, I've decided to completely make myself over.\I thought I'd start from my hairstyle first...\You're pretty photogenic too.\Let me take a photo...\Come to think of it, response:	you actually managed to take those photographs!
context: I cut it short... Does it suit me?\Very much so!\Even though you're exaggerating, I've decided to completely make myself over.\I thought I'd start from my hairstyle first...\You're pretty photogenic too.\Let me take a photo...\Come to think of it,\you actually managed to take those photographs! response:	That's right,
context: Very much so!\Even though you're exaggerating, I've decided to completely make myself over.\I thought I'd start from my hairstyle first...\You're pretty photogenic too.\Let me take a photo...\Come to think of it,\you actually managed to take those photographs!\That's right, response:	thanks to those photographs, the accusations against Shirayuki-san were cleared...
context: Even though you're exaggerating, I've decided to completely make myself over.\I thought I'd start from my hairstyle first...\You're pretty photogenic too.\Let me take a photo...\Come to think of it,\you actually managed to take those photographs!\That's right,\thanks to those photographs, the accusations against Shirayuki-san were cleared... response:	I'm always looking around the school for scoops, that's why!
context: I thought I'd start from my hairstyle first...\You're pretty photogenic too.\Let me take a photo...\Come to think of it,\you actually managed to take those photographs!\That's right,\thanks to those photographs, the accusations against Shirayuki-san were cleared...\I'm always looking around the school for scoops, that's why! response:	How's that? I have to maintain the reputation of Newspaper Club Chairman, don't I?
context: You're pretty photogenic too.\Let me take a photo...\Come to think of it,\you actually managed to take those photographs!\That's right,\thanks to those photographs, the accusations against Shirayuki-san were cleared...\I'm always looking around the school for scoops, that's why!\How's that? I have to maintain the reputation of Newspaper Club Chairman, don't I? response:	Hmm, these photographs...
context: Let me take a photo...\Come to think of it,\you actually managed to take those photographs!\That's right,\thanks to those photographs, the accusations against Shirayuki-san were cleared...\I'm always looking around the school for scoops, that's why!\How's that? I have to maintain the reputation of Newspaper Club Chairman, don't I?\Hmm, these photographs... response:	So that's your true intention!
context: Come to think of it,\you actually managed to take those photographs!\That's right,\thanks to those photographs, the accusations against Shirayuki-san were cleared...\I'm always looking around the school for scoops, that's why!\How's that? I have to maintain the reputation of Newspaper Club Chairman, don't I?\Hmm, these photographs...\So that's your true intention! response:	Speaking of which, if you helped out while taking photographs, wouldn't the problem be solved?!
context: you actually managed to take those photographs!\That's right,\thanks to those photographs, the accusations against Shirayuki-san were cleared...\I'm always looking around the school for scoops, that's why!\How's that? I have to maintain the reputation of Newspaper Club Chairman, don't I?\Hmm, these photographs...\So that's your true intention!\Speaking of which, if you helped out while taking photographs, wouldn't the problem be solved?! response:	My, my.
context: That's right,\thanks to those photographs, the accusations against Shirayuki-san were cleared...\I'm always looking around the school for scoops, that's why!\How's that? I have to maintain the reputation of Newspaper Club Chairman, don't I?\Hmm, these photographs...\So that's your true intention!\Speaking of which, if you helped out while taking photographs, wouldn't the problem be solved?!\My, my. response:	But isn't this great, Tsukune?
context: thanks to those photographs, the accusations against Shirayuki-san were cleared...\I'm always looking around the school for scoops, that's why!\How's that? I have to maintain the reputation of Newspaper Club Chairman, don't I?\Hmm, these photographs...\So that's your true intention!\Speaking of which, if you helped out while taking photographs, wouldn't the problem be solved?!\My, my.\But isn't this great, Tsukune? response:	Yep, I got saved by Moka-san yet again...
context: I'm always looking around the school for scoops, that's why!\How's that? I have to maintain the reputation of Newspaper Club Chairman, don't I?\Hmm, these photographs...\So that's your true intention!\Speaking of which, if you helped out while taking photographs, wouldn't the problem be solved?!\My, my.\But isn't this great, Tsukune?\Yep, I got saved by Moka-san yet again... response:	No way...
context: How's that? I have to maintain the reputation of Newspaper Club Chairman, don't I?\Hmm, these photographs...\So that's your true intention!\Speaking of which, if you helped out while taking photographs, wouldn't the problem be solved?!\My, my.\But isn't this great, Tsukune?\Yep, I got saved by Moka-san yet again...\No way... response:	Somehow, I feel thirsty now that I'm relieved...
context: Hmm, these photographs...\So that's your true intention!\Speaking of which, if you helped out while taking photographs, wouldn't the problem be solved?!\My, my.\But isn't this great, Tsukune?\Yep, I got saved by Moka-san yet again...\No way...\Somehow, I feel thirsty now that I'm relieved... response:	W-Wait, Moka-san...
context: So that's your true intention!\Speaking of which, if you helped out while taking photographs, wouldn't the problem be solved?!\My, my.\But isn't this great, Tsukune?\Yep, I got saved by Moka-san yet again...\No way...\Somehow, I feel thirsty now that I'm relieved...\W-Wait, Moka-san... response:	Tsukune...
context: Speaking of which, if you helped out while taking photographs, wouldn't the problem be solved?!\My, my.\But isn't this great, Tsukune?\Yep, I got saved by Moka-san yet again...\No way...\Somehow, I feel thirsty now that I'm relieved...\W-Wait, Moka-san...\Tsukune... response:	Stare...
context: My, my.\But isn't this great, Tsukune?\Yep, I got saved by Moka-san yet again...\No way...\Somehow, I feel thirsty now that I'm relieved...\W-Wait, Moka-san...\Tsukune...\Stare... response:	Kappuchu!!
context: But isn't this great, Tsukune?\Yep, I got saved by Moka-san yet again...\No way...\Somehow, I feel thirsty now that I'm relieved...\W-Wait, Moka-san...\Tsukune...\Stare...\Kappuchu!! response:	Don't look!
context: Yep, I got saved by Moka-san yet again...\No way...\Somehow, I feel thirsty now that I'm relieved...\W-Wait, Moka-san...\Tsukune...\Stare...\Kappuchu!!\Don't look! response:	Sine... Cosine... Tangent...
context: No way...\Somehow, I feel thirsty now that I'm relieved...\W-Wait, Moka-san...\Tsukune...\Stare...\Kappuchu!!\Don't look!\Sine... Cosine... Tangent... response:	What happened to you, Tsukune?
context: Somehow, I feel thirsty now that I'm relieved...\W-Wait, Moka-san...\Tsukune...\Stare...\Kappuchu!!\Don't look!\Sine... Cosine... Tangent...\What happened to you, Tsukune? response:	Tsukune became smart!
context: W-Wait, Moka-san...\Tsukune...\Stare...\Kappuchu!!\Don't look!\Sine... Cosine... Tangent...\What happened to you, Tsukune?\Tsukune became smart! response:	Eh?
context: Tsukune...\Stare...\Kappuchu!!\Don't look!\Sine... Cosine... Tangent...\What happened to you, Tsukune?\Tsukune became smart!\Eh? response:	Next week, Mathematics and a Vampire,
context: Stare...\Kappuchu!!\Don't look!\Sine... Cosine... Tangent...\What happened to you, Tsukune?\Tsukune became smart!\Eh?\Next week, Mathematics and a Vampire, response:	and a kappuchu for you!
