context: Between catching a cold and trying to help Sota with his first girlfriend, response:	I used up a lot of time.
context: Could this be Kuroro?\It's pretty badly injured.\That cat is trying to take us somewhere.\Huh?\It's getting... hard to breathe.\Just a while longer and I'll be through to the other side.\Hang in there, Koume!\Uh-huh... I'm all right. response:	Just a bit more!
context: It's pretty badly injured.\That cat is trying to take us somewhere.\Huh?\It's getting... hard to breathe.\Just a while longer and I'll be through to the other side.\Hang in there, Koume!\Uh-huh... I'm all right.\Just a bit more! response:	Just a bit more!
context: That cat is trying to take us somewhere.\Huh?\It's getting... hard to breathe.\Just a while longer and I'll be through to the other side.\Hang in there, Koume!\Uh-huh... I'm all right.\Just a bit more!\Just a bit more! response:	Hang in there, Koume!
context: Huh?\It's getting... hard to breathe.\Just a while longer and I'll be through to the other side.\Hang in there, Koume!\Uh-huh... I'm all right.\Just a bit more!\Just a bit more!\Hang in there, Koume! response:	Hang in there!
context: It's getting... hard to breathe.\Just a while longer and I'll be through to the other side.\Hang in there, Koume!\Uh-huh... I'm all right.\Just a bit more!\Just a bit more!\Hang in there, Koume!\Hang in there! response:	I did it!
context: Just a while longer and I'll be through to the other side.\Hang in there, Koume!\Uh-huh... I'm all right.\Just a bit more!\Just a bit more!\Hang in there, Koume!\Hang in there!\I did it! response:	Koume! We're through!
context: Hang in there, Koume!\Uh-huh... I'm all right.\Just a bit more!\Just a bit more!\Hang in there, Koume!\Hang in there!\I did it!\Koume! We're through! response:	Alittle kid demon, huh?
context: Uh-huh... I'm all right.\Just a bit more!\Just a bit more!\Hang in there, Koume!\Hang in there!\I did it!\Koume! We're through!\Alittle kid demon, huh? response:	Move away from there!
context: Just a bit more!\Just a bit more!\Hang in there, Koume!\Hang in there!\I did it!\Koume! We're through!\Alittle kid demon, huh?\Move away from there! response:	There should be a human child in there.
context: Just a bit more!\Hang in there, Koume!\Hang in there!\I did it!\Koume! We're through!\Alittle kid demon, huh?\Move away from there!\There should be a human child in there. response:	Move, so that I can eat her!
context: Hang in there, Koume!\Hang in there!\I did it!\Koume! We're through!\Alittle kid demon, huh?\Move away from there!\There should be a human child in there.\Move, so that I can eat her! response:	As if I'd allow that?!
context: Hang in there!\I did it!\Koume! We're through!\Alittle kid demon, huh?\Move away from there!\There should be a human child in there.\Move, so that I can eat her!\As if I'd allow that?! response:	Move, you little punk!
context: I did it!\Koume! We're through!\Alittle kid demon, huh?\Move away from there!\There should be a human child in there.\Move, so that I can eat her!\As if I'd allow that?!\Move, you little punk! response:	The wound Kuroro inflicted is gone!
context: Koume! We're through!\Alittle kid demon, huh?\Move away from there!\There should be a human child in there.\Move, so that I can eat her!\As if I'd allow that?!\Move, you little punk!\The wound Kuroro inflicted is gone! response:	Inuyasha!
context: Alittle kid demon, huh?\Move away from there!\There should be a human child in there.\Move, so that I can eat her!\As if I'd allow that?!\Move, you little punk!\The wound Kuroro inflicted is gone!\Inuyasha! response:	Eating a human child to increase yourpower!
context: Move away from there!\There should be a human child in there.\Move, so that I can eat her!\As if I'd allow that?!\Move, you little punk!\The wound Kuroro inflicted is gone!\Inuyasha!\Eating a human child to increase yourpower! response:	That's a sickening thing to do!
context: There should be a human child in there.\Move, so that I can eat her!\As if I'd allow that?!\Move, you little punk!\The wound Kuroro inflicted is gone!\Inuyasha!\Eating a human child to increase yourpower!\That's a sickening thing to do! response:	Why, you...!
context: Move, so that I can eat her!\As if I'd allow that?!\Move, you little punk!\The wound Kuroro inflicted is gone!\Inuyasha!\Eating a human child to increase yourpower!\That's a sickening thing to do!\Why, you...! response:	Have you forgotten that you can't harm me?!
context: As if I'd allow that?!\Move, you little punk!\The wound Kuroro inflicted is gone!\Inuyasha!\Eating a human child to increase yourpower!\That's a sickening thing to do!\Why, you...!\Have you forgotten that you can't harm me?! response:	He's a fake!
context: Move, you little punk!\The wound Kuroro inflicted is gone!\Inuyasha!\Eating a human child to increase yourpower!\That's a sickening thing to do!\Why, you...!\Have you forgotten that you can't harm me?!\He's a fake! response:	He doesn't have the wound that Kuroro inflicted upon him!
context: The wound Kuroro inflicted is gone!\Inuyasha!\Eating a human child to increase yourpower!\That's a sickening thing to do!\Why, you...!\Have you forgotten that you can't harm me?!\He's a fake!\He doesn't have the wound that Kuroro inflicted upon him! response:	I see...
context: Inuyasha!\Eating a human child to increase yourpower!\That's a sickening thing to do!\Why, you...!\Have you forgotten that you can't harm me?!\He's a fake!\He doesn't have the wound that Kuroro inflicted upon him!\I see... response:	That's it!
context: Eating a human child to increase yourpower!\That's a sickening thing to do!\Why, you...!\Have you forgotten that you can't harm me?!\He's a fake!\He doesn't have the wound that Kuroro inflicted upon him!\I see...\That's it! response:	Well then!
context: That's a sickening thing to do!\Why, you...!\Have you forgotten that you can't harm me?!\He's a fake!\He doesn't have the wound that Kuroro inflicted upon him!\I see...\That's it!\Well then! response:	Inuyasha! Behind him!
context: Why, you...!\Have you forgotten that you can't harm me?!\He's a fake!\He doesn't have the wound that Kuroro inflicted upon him!\I see...\That's it!\Well then!\Inuyasha! Behind him! response:	Aim forthat rock!
context: Have you forgotten that you can't harm me?!\He's a fake!\He doesn't have the wound that Kuroro inflicted upon him!\I see...\That's it!\Well then!\Inuyasha! Behind him!\Aim forthat rock! response:	What?!
context: He's a fake!\He doesn't have the wound that Kuroro inflicted upon him!\I see...\That's it!\Well then!\Inuyasha! Behind him!\Aim forthat rock!\What?! response:	So that's where you've hidden yourtrue self!
context: He doesn't have the wound that Kuroro inflicted upon him!\I see...\That's it!\Well then!\Inuyasha! Behind him!\Aim forthat rock!\What?!\So that's where you've hidden yourtrue self! response:	Wind Scar!
context: I see...\That's it!\Well then!\Inuyasha! Behind him!\Aim forthat rock!\What?!\So that's where you've hidden yourtrue self!\Wind Scar! response:	He did it!
context: That's it!\Well then!\Inuyasha! Behind him!\Aim forthat rock!\What?!\So that's where you've hidden yourtrue self!\Wind Scar!\He did it! response:	Kuroro...
context: Well then!\Inuyasha! Behind him!\Aim forthat rock!\What?!\So that's where you've hidden yourtrue self!\Wind Scar!\He did it!\Kuroro... response:	Kuroro!
context: Inuyasha! Behind him!\Aim forthat rock!\What?!\So that's where you've hidden yourtrue self!\Wind Scar!\He did it!\Kuroro...\Kuroro! response:	Kuroro ignored the injuries that she sustained
context: Aim forthat rock!\What?!\So that's where you've hidden yourtrue self!\Wind Scar!\He did it!\Kuroro...\Kuroro!\Kuroro ignored the injuries that she sustained response:	and led us to you two.
context: What?!\So that's where you've hidden yourtrue self!\Wind Scar!\He did it!\Kuroro...\Kuroro!\Kuroro ignored the injuries that she sustained\and led us to you two. response:	Kuroro...
context: So that's where you've hidden yourtrue self!\Wind Scar!\He did it!\Kuroro...\Kuroro!\Kuroro ignored the injuries that she sustained\and led us to you two.\Kuroro... response:	Thank you, Kuroro!
context: Wind Scar!\He did it!\Kuroro...\Kuroro!\Kuroro ignored the injuries that she sustained\and led us to you two.\Kuroro...\Thank you, Kuroro! response:	Koume...
context: He did it!\Kuroro...\Kuroro!\Kuroro ignored the injuries that she sustained\and led us to you two.\Kuroro...\Thank you, Kuroro!\Koume... response:	Thank you very much.
context: Kuroro...\Kuroro!\Kuroro ignored the injuries that she sustained\and led us to you two.\Kuroro...\Thank you, Kuroro!\Koume...\Thank you very much. response:	You saved us!
context: Kuroro!\Kuroro ignored the injuries that she sustained\and led us to you two.\Kuroro...\Thank you, Kuroro!\Koume...\Thank you very much.\You saved us! response:	Koume... take care.
context: Kuroro ignored the injuries that she sustained\and led us to you two.\Kuroro...\Thank you, Kuroro!\Koume...\Thank you very much.\You saved us!\Koume... take care. response:	Everyone, it's time to eat.
context: and led us to you two.\Kuroro...\Thank you, Kuroro!\Koume...\Thank you very much.\You saved us!\Koume... take care.\Everyone, it's time to eat. response:	We'll be togetherforever and ever, Kuroro...
context: Kuroro...\Thank you, Kuroro!\Koume...\Thank you very much.\You saved us!\Koume... take care.\Everyone, it's time to eat.\We'll be togetherforever and ever, Kuroro... response:	Hey, Shippo!
context: Thank you, Kuroro!\Koume...\Thank you very much.\You saved us!\Koume... take care.\Everyone, it's time to eat.\We'll be togetherforever and ever, Kuroro...\Hey, Shippo! response:	Looks like you did pretty good.
context: Koume...\Thank you very much.\You saved us!\Koume... take care.\Everyone, it's time to eat.\We'll be togetherforever and ever, Kuroro...\Hey, Shippo!\Looks like you did pretty good. response:	Koume told us.
context: Thank you very much.\You saved us!\Koume... take care.\Everyone, it's time to eat.\We'll be togetherforever and ever, Kuroro...\Hey, Shippo!\Looks like you did pretty good.\Koume told us. response:	If you're a man, it's yourjob to protect a woman.
context: You saved us!\Koume... take care.\Everyone, it's time to eat.\We'll be togetherforever and ever, Kuroro...\Hey, Shippo!\Looks like you did pretty good.\Koume told us.\If you're a man, it's yourjob to protect a woman. response:	It's admirable that you had no ulteriormotives.
context: Koume... take care.\Everyone, it's time to eat.\We'll be togetherforever and ever, Kuroro...\Hey, Shippo!\Looks like you did pretty good.\Koume told us.\If you're a man, it's yourjob to protect a woman.\It's admirable that you had no ulteriormotives. response:	I wish someone else would heed those very words.
context: Everyone, it's time to eat.\We'll be togetherforever and ever, Kuroro...\Hey, Shippo!\Looks like you did pretty good.\Koume told us.\If you're a man, it's yourjob to protect a woman.\It's admirable that you had no ulteriormotives.\I wish someone else would heed those very words. response:	Huh?
context: We'll be togetherforever and ever, Kuroro...\Hey, Shippo!\Looks like you did pretty good.\Koume told us.\If you're a man, it's yourjob to protect a woman.\It's admirable that you had no ulteriormotives.\I wish someone else would heed those very words.\Huh? response:	Hey, Shippo...
context: Hey, Shippo!\Looks like you did pretty good.\Koume told us.\If you're a man, it's yourjob to protect a woman.\It's admirable that you had no ulteriormotives.\I wish someone else would heed those very words.\Huh?\Hey, Shippo... response:	I'll bet you were in love with her!
context: Looks like you did pretty good.\Koume told us.\If you're a man, it's yourjob to protect a woman.\It's admirable that you had no ulteriormotives.\I wish someone else would heed those very words.\Huh?\Hey, Shippo...\I'll bet you were in love with her! response:	No way!
context: Koume told us.\If you're a man, it's yourjob to protect a woman.\It's admirable that you had no ulteriormotives.\I wish someone else would heed those very words.\Huh?\Hey, Shippo...\I'll bet you were in love with her!\No way! response:	I'll bet you had the hots forher!
context: If you're a man, it's yourjob to protect a woman.\It's admirable that you had no ulteriormotives.\I wish someone else would heed those very words.\Huh?\Hey, Shippo...\I'll bet you were in love with her!\No way!\I'll bet you had the hots forher! response:	No way! No way! No way!
context: It's admirable that you had no ulteriormotives.\I wish someone else would heed those very words.\Huh?\Hey, Shippo...\I'll bet you were in love with her!\No way!\I'll bet you had the hots forher!\No way! No way! No way! response:	See? You protest too much!
context: I wish someone else would heed those very words.\Huh?\Hey, Shippo...\I'll bet you were in love with her!\No way!\I'll bet you had the hots forher!\No way! No way! No way!\See? You protest too much! response:	No way!
context: Huh?\Hey, Shippo...\I'll bet you were in love with her!\No way!\I'll bet you had the hots forher!\No way! No way! No way!\See? You protest too much!\No way! response:	Inuyasha's teasing me!
context: Hey, Shippo...\I'll bet you were in love with her!\No way!\I'll bet you had the hots forher!\No way! No way! No way!\See? You protest too much!\No way!\Inuyasha's teasing me! response:	Stupid!
context: I'll bet you were in love with her!\No way!\I'll bet you had the hots forher!\No way! No way! No way!\See? You protest too much!\No way!\Inuyasha's teasing me!\Stupid! response:	Inuyasha!
context: No way!\I'll bet you had the hots forher!\No way! No way! No way!\See? You protest too much!\No way!\Inuyasha's teasing me!\Stupid!\Inuyasha! response:	Huh?
context: I'll bet you had the hots forher!\No way! No way! No way!\See? You protest too much!\No way!\Inuyasha's teasing me!\Stupid!\Inuyasha!\Huh? response:	Sit!
context: No way! No way! No way!\See? You protest too much!\No way!\Inuyasha's teasing me!\Stupid!\Inuyasha!\Huh?\Sit! response:	W-Why?
context: See? You protest too much!\No way!\Inuyasha's teasing me!\Stupid!\Inuyasha!\Huh?\Sit!\W-Why? response:	Such fine weather.
context: No way!\Inuyasha's teasing me!\Stupid!\Inuyasha!\Huh?\Sit!\W-Why?\Such fine weather. response:	No mistake!
context: Inuyasha's teasing me!\Stupid!\Inuyasha!\Huh?\Sit!\W-Why?\Such fine weather.\No mistake! response:	This is the scent of the herbs that Urasue was using!
context: Stupid!\Inuyasha!\Huh?\Sit!\W-Why?\Such fine weather.\No mistake!\This is the scent of the herbs that Urasue was using! response:	Urasue? You mean the demon woman who reincarnated Kikyo?
context: Inuyasha!\Huh?\Sit!\W-Why?\Such fine weather.\No mistake!\This is the scent of the herbs that Urasue was using!\Urasue? You mean the demon woman who reincarnated Kikyo? response:	Kikyo's smell still lingers!
context: Huh?\Sit!\W-Why?\Such fine weather.\No mistake!\This is the scent of the herbs that Urasue was using!\Urasue? You mean the demon woman who reincarnated Kikyo?\Kikyo's smell still lingers! response:	No way... Kikyo can't be manipulating Urasue's soldiers!
context: Sit!\W-Why?\Such fine weather.\No mistake!\This is the scent of the herbs that Urasue was using!\Urasue? You mean the demon woman who reincarnated Kikyo?\Kikyo's smell still lingers!\No way... Kikyo can't be manipulating Urasue's soldiers! response:	No!
context: W-Why?\Such fine weather.\No mistake!\This is the scent of the herbs that Urasue was using!\Urasue? You mean the demon woman who reincarnated Kikyo?\Kikyo's smell still lingers!\No way... Kikyo can't be manipulating Urasue's soldiers!\No! response:	Don't tell me there are still puppets in this world that possess human souls!
context: Such fine weather.\No mistake!\This is the scent of the herbs that Urasue was using!\Urasue? You mean the demon woman who reincarnated Kikyo?\Kikyo's smell still lingers!\No way... Kikyo can't be manipulating Urasue's soldiers!\No!\Don't tell me there are still puppets in this world that possess human souls! response:	Next on Inuyasha: Plot of the Walking Dead
context: No mistake!\This is the scent of the herbs that Urasue was using!\Urasue? You mean the demon woman who reincarnated Kikyo?\Kikyo's smell still lingers!\No way... Kikyo can't be manipulating Urasue's soldiers!\No!\Don't tell me there are still puppets in this world that possess human souls!\Next on Inuyasha: Plot of the Walking Dead response:	Urasue was supposed to have died!
