context: Hey, your feet stopped short! response:	What happened to your serving and receiving reflexes from yesterday?
context: The rumor that he loses it when he's called the king of the court.\What's wrong with king? It's cool.\I think it suits you perfectly, king.\This is out of my hands.\What do you want from me, dude?\I watched the prefecture preliminary tournament.\That was some egocentric tossing.\I can't believe your teammates tolerated it, because I just couldn't. response:	Oh!
context: What's wrong with king? It's cool.\I think it suits you perfectly, king.\This is out of my hands.\What do you want from me, dude?\I watched the prefecture preliminary tournament.\That was some egocentric tossing.\I can't believe your teammates tolerated it, because I just couldn't.\Oh! response:	I guess what happened was because they couldn't tolerate it any more, either.
context: I think it suits you perfectly, king.\This is out of my hands.\What do you want from me, dude?\I watched the prefecture preliminary tournament.\That was some egocentric tossing.\I can't believe your teammates tolerated it, because I just couldn't.\Oh!\I guess what happened was because they couldn't tolerate it any more, either. response:	Tsookie.
context: This is out of my hands.\What do you want from me, dude?\I watched the prefecture preliminary tournament.\That was some egocentric tossing.\I can't believe your teammates tolerated it, because I just couldn't.\Oh!\I guess what happened was because they couldn't tolerate it any more, either.\Tsookie. response:	What's going on?
context: What do you want from me, dude?\I watched the prefecture preliminary tournament.\That was some egocentric tossing.\I can't believe your teammates tolerated it, because I just couldn't.\Oh!\I guess what happened was because they couldn't tolerate it any more, either.\Tsookie.\What's going on? response:	I don't know what they're talking about,
context: I watched the prefecture preliminary tournament.\That was some egocentric tossing.\I can't believe your teammates tolerated it, because I just couldn't.\Oh!\I guess what happened was because they couldn't tolerate it any more, either.\Tsookie.\What's going on?\I don't know what they're talking about, response:	but why is he holding back on this creepy guy?
context: That was some egocentric tossing.\I can't believe your teammates tolerated it, because I just couldn't.\Oh!\I guess what happened was because they couldn't tolerate it any more, either.\Tsookie.\What's going on?\I don't know what they're talking about,\but why is he holding back on this creepy guy? response:	Tell him off like you usually would. Say something back at him.
context: I can't believe your teammates tolerated it, because I just couldn't.\Oh!\I guess what happened was because they couldn't tolerate it any more, either.\Tsookie.\What's going on?\I don't know what they're talking about,\but why is he holding back on this creepy guy?\Tell him off like you usually would. Say something back at him. response:	Let's go.
context: Oh!\I guess what happened was because they couldn't tolerate it any more, either.\Tsookie.\What's going on?\I don't know what they're talking about,\but why is he holding back on this creepy guy?\Tell him off like you usually would. Say something back at him.\Let's go. response:	Um... hey.
context: I guess what happened was because they couldn't tolerate it any more, either.\Tsookie.\What's going on?\I don't know what they're talking about,\but why is he holding back on this creepy guy?\Tell him off like you usually would. Say something back at him.\Let's go.\Um... hey. response:	Running away?
context: Tsookie.\What's going on?\I don't know what they're talking about,\but why is he holding back on this creepy guy?\Tell him off like you usually would. Say something back at him.\Let's go.\Um... hey.\Running away? response:	I guess the king isn't what he's cracked up to be.
context: What's going on?\I don't know what they're talking about,\but why is he holding back on this creepy guy?\Tell him off like you usually would. Say something back at him.\Let's go.\Um... hey.\Running away?\I guess the king isn't what he's cracked up to be. response:	Maybe I'll win against the king this Saturday, too.
context: I don't know what they're talking about,\but why is he holding back on this creepy guy?\Tell him off like you usually would. Say something back at him.\Let's go.\Um... hey.\Running away?\I guess the king isn't what he's cracked up to be.\Maybe I'll win against the king this Saturday, too. response:	Shut up with the king crap.
context: but why is he holding back on this creepy guy?\Tell him off like you usually would. Say something back at him.\Let's go.\Um... hey.\Running away?\I guess the king isn't what he's cracked up to be.\Maybe I'll win against the king this Saturday, too.\Shut up with the king crap. response:	I'm here, too.
context: Tell him off like you usually would. Say something back at him.\Let's go.\Um... hey.\Running away?\I guess the king isn't what he's cracked up to be.\Maybe I'll win against the king this Saturday, too.\Shut up with the king crap.\I'm here, too. response:	I'll spike the ball over your head at the match.
context: Let's go.\Um... hey.\Running away?\I guess the king isn't what he's cracked up to be.\Maybe I'll win against the king this Saturday, too.\Shut up with the king crap.\I'm here, too.\I'll spike the ball over your head at the match. response:	Huh?
context: Um... hey.\Running away?\I guess the king isn't what he's cracked up to be.\Maybe I'll win against the king this Saturday, too.\Shut up with the king crap.\I'm here, too.\I'll spike the ball over your head at the match.\Huh? response:	W-What? Hey.
context: Running away?\I guess the king isn't what he's cracked up to be.\Maybe I'll win against the king this Saturday, too.\Shut up with the king crap.\I'm here, too.\I'll spike the ball over your head at the match.\Huh?\W-What? Hey. response:	You wanna fight, bastard?
context: I guess the king isn't what he's cracked up to be.\Maybe I'll win against the king this Saturday, too.\Shut up with the king crap.\I'm here, too.\I'll spike the ball over your head at the match.\Huh?\W-What? Hey.\You wanna fight, bastard? response:	Let's not get so intense.
context: Maybe I'll win against the king this Saturday, too.\Shut up with the king crap.\I'm here, too.\I'll spike the ball over your head at the match.\Huh?\W-What? Hey.\You wanna fight, bastard?\Let's not get so intense. response:	Let's do this cheerfully, for fun.
context: Shut up with the king crap.\I'm here, too.\I'll spike the ball over your head at the match.\Huh?\W-What? Hey.\You wanna fight, bastard?\Let's not get so intense.\Let's do this cheerfully, for fun. response:	It's only a club activity, after all.
context: I'm here, too.\I'll spike the ball over your head at the match.\Huh?\W-What? Hey.\You wanna fight, bastard?\Let's not get so intense.\Let's do this cheerfully, for fun.\It's only a club activity, after all. response:	What do you mean only?
context: I'll spike the ball over your head at the match.\Huh?\W-What? Hey.\You wanna fight, bastard?\Let's not get so intense.\Let's do this cheerfully, for fun.\It's only a club activity, after all.\What do you mean only? response:	I mean, literally.
context: Huh?\W-What? Hey.\You wanna fight, bastard?\Let's not get so intense.\Let's do this cheerfully, for fun.\It's only a club activity, after all.\What do you mean only?\I mean, literally. response:	See you later.
context: W-What? Hey.\You wanna fight, bastard?\Let's not get so intense.\Let's do this cheerfully, for fun.\It's only a club activity, after all.\What do you mean only?\I mean, literally.\See you later. response:	Hey, you! Stop!
context: You wanna fight, bastard?\Let's not get so intense.\Let's do this cheerfully, for fun.\It's only a club activity, after all.\What do you mean only?\I mean, literally.\See you later.\Hey, you! Stop! response:	Who are you guys?
context: Let's not get so intense.\Let's do this cheerfully, for fun.\It's only a club activity, after all.\What do you mean only?\I mean, literally.\See you later.\Hey, you! Stop!\Who are you guys? response:	First-year class-4, Tsukishima Kei.
context: Let's do this cheerfully, for fun.\It's only a club activity, after all.\What do you mean only?\I mean, literally.\See you later.\Hey, you! Stop!\Who are you guys?\First-year class-4, Tsukishima Kei. response:	I'm Yamaguchi Tadashi.
context: It's only a club activity, after all.\What do you mean only?\I mean, literally.\See you later.\Hey, you! Stop!\Who are you guys?\First-year class-4, Tsukishima Kei.\I'm Yamaguchi Tadashi. response:	We're your teammates starting today.
context: What do you mean only?\I mean, literally.\See you later.\Hey, you! Stop!\Who are you guys?\First-year class-4, Tsukishima Kei.\I'm Yamaguchi Tadashi.\We're your teammates starting today. response:	But enemies for now.
context: I mean, literally.\See you later.\Hey, you! Stop!\Who are you guys?\First-year class-4, Tsukishima Kei.\I'm Yamaguchi Tadashi.\We're your teammates starting today.\But enemies for now. response:	Looking forward to seeing the king's tosses.
context: See you later.\Hey, you! Stop!\Who are you guys?\First-year class-4, Tsukishima Kei.\I'm Yamaguchi Tadashi.\We're your teammates starting today.\But enemies for now.\Looking forward to seeing the king's tosses. response:	See ya.
context: Hey, you! Stop!\Who are you guys?\First-year class-4, Tsukishima Kei.\I'm Yamaguchi Tadashi.\We're your teammates starting today.\But enemies for now.\Looking forward to seeing the king's tosses.\See ya. response:	Man, those guys totally give me the creeps.
context: Who are you guys?\First-year class-4, Tsukishima Kei.\I'm Yamaguchi Tadashi.\We're your teammates starting today.\But enemies for now.\Looking forward to seeing the king's tosses.\See ya.\Man, those guys totally give me the creeps. response:	We'll pummel them to the ground.
context: First-year class-4, Tsukishima Kei.\I'm Yamaguchi Tadashi.\We're your teammates starting today.\But enemies for now.\Looking forward to seeing the king's tosses.\See ya.\Man, those guys totally give me the creeps.\We'll pummel them to the ground. response:	I don't need you to tell me that.
context: I'm Yamaguchi Tadashi.\We're your teammates starting today.\But enemies for now.\Looking forward to seeing the king's tosses.\See ya.\Man, those guys totally give me the creeps.\We'll pummel them to the ground.\I don't need you to tell me that. response:	Hey, where are you going?
context: We're your teammates starting today.\But enemies for now.\Looking forward to seeing the king's tosses.\See ya.\Man, those guys totally give me the creeps.\We'll pummel them to the ground.\I don't need you to tell me that.\Hey, where are you going? response:	Huh?
context: But enemies for now.\Looking forward to seeing the king's tosses.\See ya.\Man, those guys totally give me the creeps.\We'll pummel them to the ground.\I don't need you to tell me that.\Hey, where are you going?\Huh? response:	We're not done yet.
context: Looking forward to seeing the king's tosses.\See ya.\Man, those guys totally give me the creeps.\We'll pummel them to the ground.\I don't need you to tell me that.\Hey, where are you going?\Huh?\We're not done yet. response:	Tsookie, wait up. Is something the matter?
context: See ya.\Man, those guys totally give me the creeps.\We'll pummel them to the ground.\I don't need you to tell me that.\Hey, where are you going?\Huh?\We're not done yet.\Tsookie, wait up. Is something the matter? response:	Guys that are intense for no reason get on my nerves.
context: Man, those guys totally give me the creeps.\We'll pummel them to the ground.\I don't need you to tell me that.\Hey, where are you going?\Huh?\We're not done yet.\Tsookie, wait up. Is something the matter?\Guys that are intense for no reason get on my nerves. response:	That king...
context: We'll pummel them to the ground.\I don't need you to tell me that.\Hey, where are you going?\Huh?\We're not done yet.\Tsookie, wait up. Is something the matter?\Guys that are intense for no reason get on my nerves.\That king... response:	and that shrimp...
context: I don't need you to tell me that.\Hey, where are you going?\Huh?\We're not done yet.\Tsookie, wait up. Is something the matter?\Guys that are intense for no reason get on my nerves.\That king...\and that shrimp... response:	You get in position too slowly. I told you to focus.
context: Hey, where are you going?\Huh?\We're not done yet.\Tsookie, wait up. Is something the matter?\Guys that are intense for no reason get on my nerves.\That king...\and that shrimp...\You get in position too slowly. I told you to focus. response:	How much longer are they going to do this?
context: Huh?\We're not done yet.\Tsookie, wait up. Is something the matter?\Guys that are intense for no reason get on my nerves.\That king...\and that shrimp...\You get in position too slowly. I told you to focus.\How much longer are they going to do this? response:	I know that.
context: We're not done yet.\Tsookie, wait up. Is something the matter?\Guys that are intense for no reason get on my nerves.\That king...\and that shrimp...\You get in position too slowly. I told you to focus.\How much longer are they going to do this?\I know that. response:	Who knows?
context: Tsookie, wait up. Is something the matter?\Guys that are intense for no reason get on my nerves.\That king...\and that shrimp...\You get in position too slowly. I told you to focus.\How much longer are they going to do this?\I know that.\Who knows? response:	I'm so sleepy I can't stand it.
context: Guys that are intense for no reason get on my nerves.\That king...\and that shrimp...\You get in position too slowly. I told you to focus.\How much longer are they going to do this?\I know that.\Who knows?\I'm so sleepy I can't stand it. response:	King.
context: That king...\and that shrimp...\You get in position too slowly. I told you to focus.\How much longer are they going to do this?\I know that.\Who knows?\I'm so sleepy I can't stand it.\King. response:	Hey, Kageyama.
context: and that shrimp...\You get in position too slowly. I told you to focus.\How much longer are they going to do this?\I know that.\Who knows?\I'm so sleepy I can't stand it.\King.\Hey, Kageyama. response:	It's too dark to see clearly. Don't hit it so hard.
context: You get in position too slowly. I told you to focus.\How much longer are they going to do this?\I know that.\Who knows?\I'm so sleepy I can't stand it.\King.\Hey, Kageyama.\It's too dark to see clearly. Don't hit it so hard. response:	Sorry.
context: How much longer are they going to do this?\I know that.\Who knows?\I'm so sleepy I can't stand it.\King.\Hey, Kageyama.\It's too dark to see clearly. Don't hit it so hard.\Sorry. response:	Scary. What's with that guy?
context: I know that.\Who knows?\I'm so sleepy I can't stand it.\King.\Hey, Kageyama.\It's too dark to see clearly. Don't hit it so hard.\Sorry.\Scary. What's with that guy? response:	That's not an apologetic look.
context: Who knows?\I'm so sleepy I can't stand it.\King.\Hey, Kageyama.\It's too dark to see clearly. Don't hit it so hard.\Sorry.\Scary. What's with that guy?\That's not an apologetic look. response:	His nerves have been on edge since he met that big guy.
context: I'm so sleepy I can't stand it.\King.\Hey, Kageyama.\It's too dark to see clearly. Don't hit it so hard.\Sorry.\Scary. What's with that guy?\That's not an apologetic look.\His nerves have been on edge since he met that big guy. response:	But if he doesn't toss at me, I can't spike.
context: King.\Hey, Kageyama.\It's too dark to see clearly. Don't hit it so hard.\Sorry.\Scary. What's with that guy?\That's not an apologetic look.\His nerves have been on edge since he met that big guy.\But if he doesn't toss at me, I can't spike. response:	I'll do my best receiving'til I get a toss.
context: Hey, Kageyama.\It's too dark to see clearly. Don't hit it so hard.\Sorry.\Scary. What's with that guy?\That's not an apologetic look.\His nerves have been on edge since he met that big guy.\But if he doesn't toss at me, I can't spike.\I'll do my best receiving'til I get a toss. response:	All right. Do that again.
context: It's too dark to see clearly. Don't hit it so hard.\Sorry.\Scary. What's with that guy?\That's not an apologetic look.\His nerves have been on edge since he met that big guy.\But if he doesn't toss at me, I can't spike.\I'll do my best receiving'til I get a toss.\All right. Do that again. response:	He couldn't handle a ball like that before.
context: Sorry.\Scary. What's with that guy?\That's not an apologetic look.\His nerves have been on edge since he met that big guy.\But if he doesn't toss at me, I can't spike.\I'll do my best receiving'til I get a toss.\All right. Do that again.\He couldn't handle a ball like that before. response:	Hey, don't go easy on me!
context: Scary. What's with that guy?\That's not an apologetic look.\His nerves have been on edge since he met that big guy.\But if he doesn't toss at me, I can't spike.\I'll do my best receiving'til I get a toss.\All right. Do that again.\He couldn't handle a ball like that before.\Hey, don't go easy on me! response:	You asked for it!
context: That's not an apologetic look.\His nerves have been on edge since he met that big guy.\But if he doesn't toss at me, I can't spike.\I'll do my best receiving'til I get a toss.\All right. Do that again.\He couldn't handle a ball like that before.\Hey, don't go easy on me!\You asked for it! response:	Crap, I overslept.
context: His nerves have been on edge since he met that big guy.\But if he doesn't toss at me, I can't spike.\I'll do my best receiving'til I get a toss.\All right. Do that again.\He couldn't handle a ball like that before.\Hey, don't go easy on me!\You asked for it!\Crap, I overslept. response:	I'm tardy, I'm tardy. I gotta hurry...
context: But if he doesn't toss at me, I can't spike.\I'll do my best receiving'til I get a toss.\All right. Do that again.\He couldn't handle a ball like that before.\Hey, don't go easy on me!\You asked for it!\Crap, I overslept.\I'm tardy, I'm tardy. I gotta hurry... response:	Then, wham, I run into Kiyoko-san, who's eating bread.
context: I'll do my best receiving'til I get a toss.\All right. Do that again.\He couldn't handle a ball like that before.\Hey, don't go easy on me!\You asked for it!\Crap, I overslept.\I'm tardy, I'm tardy. I gotta hurry...\Then, wham, I run into Kiyoko-san, who's eating bread. response:	I wish.
context: All right. Do that again.\He couldn't handle a ball like that before.\Hey, don't go easy on me!\You asked for it!\Crap, I overslept.\I'm tardy, I'm tardy. I gotta hurry...\Then, wham, I run into Kiyoko-san, who's eating bread.\I wish. response:	How long have they been at it?
context: He couldn't handle a ball like that before.\Hey, don't go easy on me!\You asked for it!\Crap, I overslept.\I'm tardy, I'm tardy. I gotta hurry...\Then, wham, I run into Kiyoko-san, who's eating bread.\I wish.\How long have they been at it? response:	It's been fifteen minutes since I got here.
context: Hey, don't go easy on me!\You asked for it!\Crap, I overslept.\I'm tardy, I'm tardy. I gotta hurry...\Then, wham, I run into Kiyoko-san, who's eating bread.\I wish.\How long have they been at it?\It's been fifteen minutes since I got here. response:	Fifteen minutes straight?
context: You asked for it!\Crap, I overslept.\I'm tardy, I'm tardy. I gotta hurry...\Then, wham, I run into Kiyoko-san, who's eating bread.\I wish.\How long have they been at it?\It's been fifteen minutes since I got here.\Fifteen minutes straight? response:	What?
context: Crap, I overslept.\I'm tardy, I'm tardy. I gotta hurry...\Then, wham, I run into Kiyoko-san, who's eating bread.\I wish.\How long have they been at it?\It's been fifteen minutes since I got here.\Fifteen minutes straight?\What? response:	His overwhelmingly great agility makes up for his unskillful clumsiness.
context: I'm tardy, I'm tardy. I gotta hurry...\Then, wham, I run into Kiyoko-san, who's eating bread.\I wish.\How long have they been at it?\It's been fifteen minutes since I got here.\Fifteen minutes straight?\What?\His overwhelmingly great agility makes up for his unskillful clumsiness. response:	But you've reached your limit now!
context: Then, wham, I run into Kiyoko-san, who's eating bread.\I wish.\How long have they been at it?\It's been fifteen minutes since I got here.\Fifteen minutes straight?\What?\His overwhelmingly great agility makes up for his unskillful clumsiness.\But you've reached your limit now! response:	You can't go any further...
context: I wish.\How long have they been at it?\It's been fifteen minutes since I got here.\Fifteen minutes straight?\What?\His overwhelmingly great agility makes up for his unskillful clumsiness.\But you've reached your limit now!\You can't go any further... response:	Not yet!
context: How long have they been at it?\It's been fifteen minutes since I got here.\Fifteen minutes straight?\What?\His overwhelmingly great agility makes up for his unskillful clumsiness.\But you've reached your limit now!\You can't go any further...\Not yet! response:	I haven't dropped the ball yet!
context: It's been fifteen minutes since I got here.\Fifteen minutes straight?\What?\His overwhelmingly great agility makes up for his unskillful clumsiness.\But you've reached your limit now!\You can't go any further...\Not yet!\I haven't dropped the ball yet! response:	Take that.
context: Fifteen minutes straight?\What?\His overwhelmingly great agility makes up for his unskillful clumsiness.\But you've reached your limit now!\You can't go any further...\Not yet!\I haven't dropped the ball yet!\Take that. response:	Wow, bad character! How's he supposed to get that?
context: What?\His overwhelmingly great agility makes up for his unskillful clumsiness.\But you've reached your limit now!\You can't go any further...\Not yet!\I haven't dropped the ball yet!\Take that.\Wow, bad character! How's he supposed to get that? response:	Crap! I didn't mean that...
context: His overwhelmingly great agility makes up for his unskillful clumsiness.\But you've reached your limit now!\You can't go any further...\Not yet!\I haven't dropped the ball yet!\Take that.\Wow, bad character! How's he supposed to get that?\Crap! I didn't mean that... response:	Hinata's athleticism has been amazing since junior high.
context: But you've reached your limit now!\You can't go any further...\Not yet!\I haven't dropped the ball yet!\Take that.\Wow, bad character! How's he supposed to get that?\Crap! I didn't mean that...\Hinata's athleticism has been amazing since junior high. response:	Huh?
context: You can't go any further...\Not yet!\I haven't dropped the ball yet!\Take that.\Wow, bad character! How's he supposed to get that?\Crap! I didn't mean that...\Hinata's athleticism has been amazing since junior high.\Huh? response:	It's not just that, though.
context: Not yet!\I haven't dropped the ball yet!\Take that.\Wow, bad character! How's he supposed to get that?\Crap! I didn't mean that...\Hinata's athleticism has been amazing since junior high.\Huh?\It's not just that, though. response:	I feel like he has the fortitude to become a winner.
context: I haven't dropped the ball yet!\Take that.\Wow, bad character! How's he supposed to get that?\Crap! I didn't mean that...\Hinata's athleticism has been amazing since junior high.\Huh?\It's not just that, though.\I feel like he has the fortitude to become a winner. response:	He has a different weapon, other than a gifted physique
context: Take that.\Wow, bad character! How's he supposed to get that?\Crap! I didn't mean that...\Hinata's athleticism has been amazing since junior high.\Huh?\It's not just that, though.\I feel like he has the fortitude to become a winner.\He has a different weapon, other than a gifted physique response:	or superior athleticism.
context: Wow, bad character! How's he supposed to get that?\Crap! I didn't mean that...\Hinata's athleticism has been amazing since junior high.\Huh?\It's not just that, though.\I feel like he has the fortitude to become a winner.\He has a different weapon, other than a gifted physique\or superior athleticism. response:	I can't take it any more.
context: Crap! I didn't mean that...\Hinata's athleticism has been amazing since junior high.\Huh?\It's not just that, though.\I feel like he has the fortitude to become a winner.\He has a different weapon, other than a gifted physique\or superior athleticism.\I can't take it any more. response:	I want him to stop.
context: Hinata's athleticism has been amazing since junior high.\Huh?\It's not just that, though.\I feel like he has the fortitude to become a winner.\He has a different weapon, other than a gifted physique\or superior athleticism.\I can't take it any more.\I want him to stop. response:	And in the very moment I think that...
context: Huh?\It's not just that, though.\I feel like he has the fortitude to become a winner.\He has a different weapon, other than a gifted physique\or superior athleticism.\I can't take it any more.\I want him to stop.\And in the very moment I think that... response:	one step.
context: It's not just that, though.\I feel like he has the fortitude to become a winner.\He has a different weapon, other than a gifted physique\or superior athleticism.\I can't take it any more.\I want him to stop.\And in the very moment I think that...\one step. response:	He saved it. That's amazing, Hinata!
context: I feel like he has the fortitude to become a winner.\He has a different weapon, other than a gifted physique\or superior athleticism.\I can't take it any more.\I want him to stop.\And in the very moment I think that...\one step.\He saved it. That's amazing, Hinata! response:	I'll toss to anyone who's essential to winning.
context: He has a different weapon, other than a gifted physique\or superior athleticism.\I can't take it any more.\I want him to stop.\And in the very moment I think that...\one step.\He saved it. That's amazing, Hinata!\I'll toss to anyone who's essential to winning. response:	But I don't think you're essential to winning right now.
context: or superior athleticism.\I can't take it any more.\I want him to stop.\And in the very moment I think that...\one step.\He saved it. That's amazing, Hinata!\I'll toss to anyone who's essential to winning.\But I don't think you're essential to winning right now. response:	I don't want to lose any more.
context: I can't take it any more.\I want him to stop.\And in the very moment I think that...\one step.\He saved it. That's amazing, Hinata!\I'll toss to anyone who's essential to winning.\But I don't think you're essential to winning right now.\I don't want to lose any more. response:	I haven't lost yet.
context: I want him to stop.\And in the very moment I think that...\one step.\He saved it. That's amazing, Hinata!\I'll toss to anyone who's essential to winning.\But I don't think you're essential to winning right now.\I don't want to lose any more.\I haven't lost yet. response:	A toss?
context: And in the very moment I think that...\one step.\He saved it. That's amazing, Hinata!\I'll toss to anyone who's essential to winning.\But I don't think you're essential to winning right now.\I don't want to lose any more.\I haven't lost yet.\A toss? response:	Kageyama tossed to him.
context: one step.\He saved it. That's amazing, Hinata!\I'll toss to anyone who's essential to winning.\But I don't think you're essential to winning right now.\I don't want to lose any more.\I haven't lost yet.\A toss?\Kageyama tossed to him. response:	Hinata is too worn out to spike it, though.
context: He saved it. That's amazing, Hinata!\I'll toss to anyone who's essential to winning.\But I don't think you're essential to winning right now.\I don't want to lose any more.\I haven't lost yet.\A toss?\Kageyama tossed to him.\Hinata is too worn out to spike it, though. response:	He sure can jump.
context: I'll toss to anyone who's essential to winning.\But I don't think you're essential to winning right now.\I don't want to lose any more.\I haven't lost yet.\A toss?\Kageyama tossed to him.\Hinata is too worn out to spike it, though.\He sure can jump. response:	He recovered from being that worn out.
context: But I don't think you're essential to winning right now.\I don't want to lose any more.\I haven't lost yet.\A toss?\Kageyama tossed to him.\Hinata is too worn out to spike it, though.\He sure can jump.\He recovered from being that worn out. response:	And look how happy he is.
context: I don't want to lose any more.\I haven't lost yet.\A toss?\Kageyama tossed to him.\Hinata is too worn out to spike it, though.\He sure can jump.\He recovered from being that worn out.\And look how happy he is. response:	I think that meant something special to Hinata.
context: I haven't lost yet.\A toss?\Kageyama tossed to him.\Hinata is too worn out to spike it, though.\He sure can jump.\He recovered from being that worn out.\And look how happy he is.\I think that meant something special to Hinata. response:	We got along so well and we're friends, but still,
context: A toss?\Kageyama tossed to him.\Hinata is too worn out to spike it, though.\He sure can jump.\He recovered from being that worn out.\And look how happy he is.\I think that meant something special to Hinata.\We got along so well and we're friends, but still, response:	they weren't really teammates.
context: Kageyama tossed to him.\Hinata is too worn out to spike it, though.\He sure can jump.\He recovered from being that worn out.\And look how happy he is.\I think that meant something special to Hinata.\We got along so well and we're friends, but still,\they weren't really teammates. response:	We have the ball tossed by the setter.
context: Hinata is too worn out to spike it, though.\He sure can jump.\He recovered from being that worn out.\And look how happy he is.\I think that meant something special to Hinata.\We got along so well and we're friends, but still,\they weren't really teammates.\We have the ball tossed by the setter. response:	That's something we take for granted.
context: He sure can jump.\He recovered from being that worn out.\And look how happy he is.\I think that meant something special to Hinata.\We got along so well and we're friends, but still,\they weren't really teammates.\We have the ball tossed by the setter.\That's something we take for granted. response:	Hey.
context: He recovered from being that worn out.\And look how happy he is.\I think that meant something special to Hinata.\We got along so well and we're friends, but still,\they weren't really teammates.\We have the ball tossed by the setter.\That's something we take for granted.\Hey. response:	We're going to win tomorrow.
context: And look how happy he is.\I think that meant something special to Hinata.\We got along so well and we're friends, but still,\they weren't really teammates.\We have the ball tossed by the setter.\That's something we take for granted.\Hey.\We're going to win tomorrow. response:	But if he was your most formidable opponent,
context: I think that meant something special to Hinata.\We got along so well and we're friends, but still,\they weren't really teammates.\We have the ball tossed by the setter.\That's something we take for granted.\Hey.\We're going to win tomorrow.\But if he was your most formidable opponent, response:	now he's my most formidable ally.
context: We got along so well and we're friends, but still,\they weren't really teammates.\We have the ball tossed by the setter.\That's something we take for granted.\Hey.\We're going to win tomorrow.\But if he was your most formidable opponent,\now he's my most formidable ally. response:	O-Of course we will!
context: they weren't really teammates.\We have the ball tossed by the setter.\That's something we take for granted.\Hey.\We're going to win tomorrow.\But if he was your most formidable opponent,\now he's my most formidable ally.\O-Of course we will! response:	Tanaka, get water, water! And a washrag!
context: We have the ball tossed by the setter.\That's something we take for granted.\Hey.\We're going to win tomorrow.\But if he was your most formidable opponent,\now he's my most formidable ally.\O-Of course we will!\Tanaka, get water, water! And a washrag! response:	Karasuno Prefectural High School
context: That's something we take for granted.\Hey.\We're going to win tomorrow.\But if he was your most formidable opponent,\now he's my most formidable ally.\O-Of course we will!\Tanaka, get water, water! And a washrag!\Karasuno Prefectural High School response:	Wait up, you idiot!
context: Hey.\We're going to win tomorrow.\But if he was your most formidable opponent,\now he's my most formidable ally.\O-Of course we will!\Tanaka, get water, water! And a washrag!\Karasuno Prefectural High School\Wait up, you idiot! response:	What's the point of getting worn out before the match?
context: We're going to win tomorrow.\But if he was your most formidable opponent,\now he's my most formidable ally.\O-Of course we will!\Tanaka, get water, water! And a washrag!\Karasuno Prefectural High School\Wait up, you idiot!\What's the point of getting worn out before the match? response:	You'd better rest up.
context: But if he was your most formidable opponent,\now he's my most formidable ally.\O-Of course we will!\Tanaka, get water, water! And a washrag!\Karasuno Prefectural High School\Wait up, you idiot!\What's the point of getting worn out before the match?\You'd better rest up. response:	Damn... That was a draw.
context: now he's my most formidable ally.\O-Of course we will!\Tanaka, get water, water! And a washrag!\Karasuno Prefectural High School\Wait up, you idiot!\What's the point of getting worn out before the match?\You'd better rest up.\Damn... That was a draw. response:	I won't ever lose to the likes of you.
context: O-Of course we will!\Tanaka, get water, water! And a washrag!\Karasuno Prefectural High School\Wait up, you idiot!\What's the point of getting worn out before the match?\You'd better rest up.\Damn... That was a draw.\I won't ever lose to the likes of you. response:	But...
context: Tanaka, get water, water! And a washrag!\Karasuno Prefectural High School\Wait up, you idiot!\What's the point of getting worn out before the match?\You'd better rest up.\Damn... That was a draw.\I won't ever lose to the likes of you.\But... response:	He's irritating, and pisses me off...
context: Karasuno Prefectural High School\Wait up, you idiot!\What's the point of getting worn out before the match?\You'd better rest up.\Damn... That was a draw.\I won't ever lose to the likes of you.\But...\He's irritating, and pisses me off... response:	He's going to send me tosses from now on.
context: Wait up, you idiot!\What's the point of getting worn out before the match?\You'd better rest up.\Damn... That was a draw.\I won't ever lose to the likes of you.\But...\He's irritating, and pisses me off...\He's going to send me tosses from now on. response:	Tosses from the setter!
context: What's the point of getting worn out before the match?\You'd better rest up.\Damn... That was a draw.\I won't ever lose to the likes of you.\But...\He's irritating, and pisses me off...\He's going to send me tosses from now on.\Tosses from the setter! response:	You and I are gonna win today.
context: You'd better rest up.\Damn... That was a draw.\I won't ever lose to the likes of you.\But...\He's irritating, and pisses me off...\He's going to send me tosses from now on.\Tosses from the setter!\You and I are gonna win today. response:	Let's get ready.
context: Damn... That was a draw.\I won't ever lose to the likes of you.\But...\He's irritating, and pisses me off...\He's going to send me tosses from now on.\Tosses from the setter!\You and I are gonna win today.\Let's get ready. response:	Yeah.
context: I won't ever lose to the likes of you.\But...\He's irritating, and pisses me off...\He's going to send me tosses from now on.\Tosses from the setter!\You and I are gonna win today.\Let's get ready.\Yeah. response:	Morning, king.
context: But...\He's irritating, and pisses me off...\He's going to send me tosses from now on.\Tosses from the setter!\You and I are gonna win today.\Let's get ready.\Yeah.\Morning, king. response:	I'll...
context: He's irritating, and pisses me off...\He's going to send me tosses from now on.\Tosses from the setter!\You and I are gonna win today.\Let's get ready.\Yeah.\Morning, king.\I'll... response:	break through any wall. You'll see.
context: He's going to send me tosses from now on.\Tosses from the setter!\You and I are gonna win today.\Let's get ready.\Yeah.\Morning, king.\I'll...\break through any wall. You'll see. response:	Next Episode Preview
context: Tosses from the setter!\You and I are gonna win today.\Let's get ready.\Yeah.\Morning, king.\I'll...\break through any wall. You'll see.\Next Episode Preview response:	That Kageyama's not all he's cracked up to be.
