context: These are the results for the real deal. response:	The readers sure showed him, eh?
context: Incredible.\I didn't think he'd be able to surpass the quality of the Golden Future Cup entry, but...\the tension and power are much better.\Could he finally catch up to CROW, which he's been working on and bad mouthing for so long?\What're you grinning about?\You're giving me the creeps, Yuujirou-san.\So what do you think of my name?\You're my editor, so please give me your honest opinion. response:	You know Fukuda-kun,
context: I didn't think he'd be able to surpass the quality of the Golden Future Cup entry, but...\the tension and power are much better.\Could he finally catch up to CROW, which he's been working on and bad mouthing for so long?\What're you grinning about?\You're giving me the creeps, Yuujirou-san.\So what do you think of my name?\You're my editor, so please give me your honest opinion.\You know Fukuda-kun, response:	before the contents of your story, the way you act in your position
context: the tension and power are much better.\Could he finally catch up to CROW, which he's been working on and bad mouthing for so long?\What're you grinning about?\You're giving me the creeps, Yuujirou-san.\So what do you think of my name?\You're my editor, so please give me your honest opinion.\You know Fukuda-kun,\before the contents of your story, the way you act in your position response:	Who cares about junk like that right now?
context: Could he finally catch up to CROW, which he's been working on and bad mouthing for so long?\What're you grinning about?\You're giving me the creeps, Yuujirou-san.\So what do you think of my name?\You're my editor, so please give me your honest opinion.\You know Fukuda-kun,\before the contents of your story, the way you act in your position\Who cares about junk like that right now? response:	To be overconfident just because of what happened in the Golden Future Cup...
context: What're you grinning about?\You're giving me the creeps, Yuujirou-san.\So what do you think of my name?\You're my editor, so please give me your honest opinion.\You know Fukuda-kun,\before the contents of your story, the way you act in your position\Who cares about junk like that right now?\To be overconfident just because of what happened in the Golden Future Cup... response:	would be a huge mistake.
context: You're giving me the creeps, Yuujirou-san.\So what do you think of my name?\You're my editor, so please give me your honest opinion.\You know Fukuda-kun,\before the contents of your story, the way you act in your position\Who cares about junk like that right now?\To be overconfident just because of what happened in the Golden Future Cup...\would be a huge mistake. response:	This time, I'm winning!
context: So what do you think of my name?\You're my editor, so please give me your honest opinion.\You know Fukuda-kun,\before the contents of your story, the way you act in your position\Who cares about junk like that right now?\To be overconfident just because of what happened in the Golden Future Cup...\would be a huge mistake.\This time, I'm winning! response:	I'll pack this full of stuff to make it popular!
context: You're my editor, so please give me your honest opinion.\You know Fukuda-kun,\before the contents of your story, the way you act in your position\Who cares about junk like that right now?\To be overconfident just because of what happened in the Golden Future Cup...\would be a huge mistake.\This time, I'm winning!\I'll pack this full of stuff to make it popular! response:	This time, I want to grab serialization!
context: You know Fukuda-kun,\before the contents of your story, the way you act in your position\Who cares about junk like that right now?\To be overconfident just because of what happened in the Golden Future Cup...\would be a huge mistake.\This time, I'm winning!\I'll pack this full of stuff to make it popular!\This time, I want to grab serialization! response:	Then...
context: before the contents of your story, the way you act in your position\Who cares about junk like that right now?\To be overconfident just because of what happened in the Golden Future Cup...\would be a huge mistake.\This time, I'm winning!\I'll pack this full of stuff to make it popular!\This time, I want to grab serialization!\Then... response:	listen to what I'm saying.
context: Who cares about junk like that right now?\To be overconfident just because of what happened in the Golden Future Cup...\would be a huge mistake.\This time, I'm winning!\I'll pack this full of stuff to make it popular!\This time, I want to grab serialization!\Then...\listen to what I'm saying. response:	Hm, not bad.
context: To be overconfident just because of what happened in the Golden Future Cup...\would be a huge mistake.\This time, I'm winning!\I'll pack this full of stuff to make it popular!\This time, I want to grab serialization!\Then...\listen to what I'm saying.\Hm, not bad. response:	I've got nothing to criticize about the artwork.
context: would be a huge mistake.\This time, I'm winning!\I'll pack this full of stuff to make it popular!\This time, I want to grab serialization!\Then...\listen to what I'm saying.\Hm, not bad.\I've got nothing to criticize about the artwork. response:	Same with the story. The metaphors and allegorical style are expanding its scope.
context: This time, I'm winning!\I'll pack this full of stuff to make it popular!\This time, I want to grab serialization!\Then...\listen to what I'm saying.\Hm, not bad.\I've got nothing to criticize about the artwork.\Same with the story. The metaphors and allegorical style are expanding its scope. response:	Thank you very much!
context: I'll pack this full of stuff to make it popular!\This time, I want to grab serialization!\Then...\listen to what I'm saying.\Hm, not bad.\I've got nothing to criticize about the artwork.\Same with the story. The metaphors and allegorical style are expanding its scope.\Thank you very much! response:	We did it, Aoki-san!
context: This time, I want to grab serialization!\Then...\listen to what I'm saying.\Hm, not bad.\I've got nothing to criticize about the artwork.\Same with the story. The metaphors and allegorical style are expanding its scope.\Thank you very much!\We did it, Aoki-san! response:	Right? Right?
context: Then...\listen to what I'm saying.\Hm, not bad.\I've got nothing to criticize about the artwork.\Same with the story. The metaphors and allegorical style are expanding its scope.\Thank you very much!\We did it, Aoki-san!\Right? Right? response:	Let's go with this for chapter 1. If we push it too far, then
context: listen to what I'm saying.\Hm, not bad.\I've got nothing to criticize about the artwork.\Same with the story. The metaphors and allegorical style are expanding its scope.\Thank you very much!\We did it, Aoki-san!\Right? Right?\Let's go with this for chapter 1. If we push it too far, then response:	By not bad, do you mean it's not particularly good?
context: Hm, not bad.\I've got nothing to criticize about the artwork.\Same with the story. The metaphors and allegorical style are expanding its scope.\Thank you very much!\We did it, Aoki-san!\Right? Right?\Let's go with this for chapter 1. If we push it too far, then\By not bad, do you mean it's not particularly good? response:	Aoki-san, that was just, you know...
context: I've got nothing to criticize about the artwork.\Same with the story. The metaphors and allegorical style are expanding its scope.\Thank you very much!\We did it, Aoki-san!\Right? Right?\Let's go with this for chapter 1. If we push it too far, then\By not bad, do you mean it's not particularly good?\Aoki-san, that was just, you know... response:	A figure of speech.
context: Same with the story. The metaphors and allegorical style are expanding its scope.\Thank you very much!\We did it, Aoki-san!\Right? Right?\Let's go with this for chapter 1. If we push it too far, then\By not bad, do you mean it's not particularly good?\Aoki-san, that was just, you know...\A figure of speech. response:	If there is anything you are concerned about, please say so.
context: Thank you very much!\We did it, Aoki-san!\Right? Right?\Let's go with this for chapter 1. If we push it too far, then\By not bad, do you mean it's not particularly good?\Aoki-san, that was just, you know...\A figure of speech.\If there is anything you are concerned about, please say so. response:	Since she's so proud,
context: We did it, Aoki-san!\Right? Right?\Let's go with this for chapter 1. If we push it too far, then\By not bad, do you mean it's not particularly good?\Aoki-san, that was just, you know...\A figure of speech.\If there is anything you are concerned about, please say so.\Since she's so proud, response:	I was wondering if she'd be any different after not winning the Golden Future Cup...
context: Right? Right?\Let's go with this for chapter 1. If we push it too far, then\By not bad, do you mean it's not particularly good?\Aoki-san, that was just, you know...\A figure of speech.\If there is anything you are concerned about, please say so.\Since she's so proud,\I was wondering if she'd be any different after not winning the Golden Future Cup... response:	About the fourth line on page two...
context: Let's go with this for chapter 1. If we push it too far, then\By not bad, do you mean it's not particularly good?\Aoki-san, that was just, you know...\A figure of speech.\If there is anything you are concerned about, please say so.\Since she's so proud,\I was wondering if she'd be any different after not winning the Golden Future Cup...\About the fourth line on page two... response:	Sorry.
context: By not bad, do you mean it's not particularly good?\Aoki-san, that was just, you know...\A figure of speech.\If there is anything you are concerned about, please say so.\Since she's so proud,\I was wondering if she'd be any different after not winning the Golden Future Cup...\About the fourth line on page two...\Sorry. response:	I couldn't compress chapter 2 to 25 pages.
context: Aoki-san, that was just, you know...\A figure of speech.\If there is anything you are concerned about, please say so.\Since she's so proud,\I was wondering if she'd be any different after not winning the Golden Future Cup...\About the fourth line on page two...\Sorry.\I couldn't compress chapter 2 to 25 pages. response:	In order to finish the case started in chapter 1, I need to have 29 pages.
context: A figure of speech.\If there is anything you are concerned about, please say so.\Since she's so proud,\I was wondering if she'd be any different after not winning the Golden Future Cup...\About the fourth line on page two...\Sorry.\I couldn't compress chapter 2 to 25 pages.\In order to finish the case started in chapter 1, I need to have 29 pages. response:	Okay, then it can't be helped. The story is interesting, so let's try to push this through.
context: If there is anything you are concerned about, please say so.\Since she's so proud,\I was wondering if she'd be any different after not winning the Golden Future Cup...\About the fourth line on page two...\Sorry.\I couldn't compress chapter 2 to 25 pages.\In order to finish the case started in chapter 1, I need to have 29 pages.\Okay, then it can't be helped. The story is interesting, so let's try to push this through. response:	Okay, we've got to get it through next time.
context: Since she's so proud,\I was wondering if she'd be any different after not winning the Golden Future Cup...\About the fourth line on page two...\Sorry.\I couldn't compress chapter 2 to 25 pages.\In order to finish the case started in chapter 1, I need to have 29 pages.\Okay, then it can't be helped. The story is interesting, so let's try to push this through.\Okay, we've got to get it through next time. response:	I'm going to fix more than just what we talked about.
context: I was wondering if she'd be any different after not winning the Golden Future Cup...\About the fourth line on page two...\Sorry.\I couldn't compress chapter 2 to 25 pages.\In order to finish the case started in chapter 1, I need to have 29 pages.\Okay, then it can't be helped. The story is interesting, so let's try to push this through.\Okay, we've got to get it through next time.\I'm going to fix more than just what we talked about. response:	Otherwise there's no way it'll be good enough.
context: About the fourth line on page two...\Sorry.\I couldn't compress chapter 2 to 25 pages.\In order to finish the case started in chapter 1, I need to have 29 pages.\Okay, then it can't be helped. The story is interesting, so let's try to push this through.\Okay, we've got to get it through next time.\I'm going to fix more than just what we talked about.\Otherwise there's no way it'll be good enough. response:	Then we've got to head straight through to chapter 3.
context: Sorry.\I couldn't compress chapter 2 to 25 pages.\In order to finish the case started in chapter 1, I need to have 29 pages.\Okay, then it can't be helped. The story is interesting, so let's try to push this through.\Okay, we've got to get it through next time.\I'm going to fix more than just what we talked about.\Otherwise there's no way it'll be good enough.\Then we've got to head straight through to chapter 3. response:	Yeah.
context: I couldn't compress chapter 2 to 25 pages.\In order to finish the case started in chapter 1, I need to have 29 pages.\Okay, then it can't be helped. The story is interesting, so let's try to push this through.\Okay, we've got to get it through next time.\I'm going to fix more than just what we talked about.\Otherwise there's no way it'll be good enough.\Then we've got to head straight through to chapter 3.\Yeah. response:	Why don't you talk to Mashiro?
context: In order to finish the case started in chapter 1, I need to have 29 pages.\Okay, then it can't be helped. The story is interesting, so let's try to push this through.\Okay, we've got to get it through next time.\I'm going to fix more than just what we talked about.\Otherwise there's no way it'll be good enough.\Then we've got to head straight through to chapter 3.\Yeah.\Why don't you talk to Mashiro? response:	Eh? I can't...
context: Okay, then it can't be helped. The story is interesting, so let's try to push this through.\Okay, we've got to get it through next time.\I'm going to fix more than just what we talked about.\Otherwise there's no way it'll be good enough.\Then we've got to head straight through to chapter 3.\Yeah.\Why don't you talk to Mashiro?\Eh? I can't... response:	Yes you can.
context: Okay, we've got to get it through next time.\I'm going to fix more than just what we talked about.\Otherwise there's no way it'll be good enough.\Then we've got to head straight through to chapter 3.\Yeah.\Why don't you talk to Mashiro?\Eh? I can't...\Yes you can. response:	You should at least give him a proper and direct Congratulations! for an occasion like this.
context: I'm going to fix more than just what we talked about.\Otherwise there's no way it'll be good enough.\Then we've got to head straight through to chapter 3.\Yeah.\Why don't you talk to Mashiro?\Eh? I can't...\Yes you can.\You should at least give him a proper and direct Congratulations! for an occasion like this. response:	Here, Mashiro!
context: Otherwise there's no way it'll be good enough.\Then we've got to head straight through to chapter 3.\Yeah.\Why don't you talk to Mashiro?\Eh? I can't...\Yes you can.\You should at least give him a proper and direct Congratulations! for an occasion like this.\Here, Mashiro! response:	TThis is Mashiro.
context: Then we've got to head straight through to chapter 3.\Yeah.\Why don't you talk to Mashiro?\Eh? I can't...\Yes you can.\You should at least give him a proper and direct Congratulations! for an occasion like this.\Here, Mashiro!\TThis is Mashiro. response:	I want to apologize to him properly.
context: Yeah.\Why don't you talk to Mashiro?\Eh? I can't...\Yes you can.\You should at least give him a proper and direct Congratulations! for an occasion like this.\Here, Mashiro!\TThis is Mashiro.\I want to apologize to him properly. response:	For what happened earlier.
context: Why don't you talk to Mashiro?\Eh? I can't...\Yes you can.\You should at least give him a proper and direct Congratulations! for an occasion like this.\Here, Mashiro!\TThis is Mashiro.\I want to apologize to him properly.\For what happened earlier. response:	I'm home.
context: Eh? I can't...\Yes you can.\You should at least give him a proper and direct Congratulations! for an occasion like this.\Here, Mashiro!\TThis is Mashiro.\I want to apologize to him properly.\For what happened earlier.\I'm home. response:	Dinner's ready.
context: Yes you can.\You should at least give him a proper and direct Congratulations! for an occasion like this.\Here, Mashiro!\TThis is Mashiro.\I want to apologize to him properly.\For what happened earlier.\I'm home.\Dinner's ready. response:	Did something happen?
context: You should at least give him a proper and direct Congratulations! for an occasion like this.\Here, Mashiro!\TThis is Mashiro.\I want to apologize to him properly.\For what happened earlier.\I'm home.\Dinner's ready.\Did something happen? response:	No, nothing.
context: Here, Mashiro!\TThis is Mashiro.\I want to apologize to him properly.\For what happened earlier.\I'm home.\Dinner's ready.\Did something happen?\No, nothing. response:	Really?
context: TThis is Mashiro.\I want to apologize to him properly.\For what happened earlier.\I'm home.\Dinner's ready.\Did something happen?\No, nothing.\Really? response:	There are manga magazines on your bookshelves.
context: I want to apologize to him properly.\For what happened earlier.\I'm home.\Dinner's ready.\Did something happen?\No, nothing.\Really?\There are manga magazines on your bookshelves. response:	With the age you're at, could that have anything to do with a boy, Miho?
context: For what happened earlier.\I'm home.\Dinner's ready.\Did something happen?\No, nothing.\Really?\There are manga magazines on your bookshelves.\With the age you're at, could that have anything to do with a boy, Miho? response:	Don't just look at things in my room without permission!
context: I'm home.\Dinner's ready.\Did something happen?\No, nothing.\Really?\There are manga magazines on your bookshelves.\With the age you're at, could that have anything to do with a boy, Miho?\Don't just look at things in my room without permission! response:	Ashirogi Muto.
context: Dinner's ready.\Did something happen?\No, nothing.\Really?\There are manga magazines on your bookshelves.\With the age you're at, could that have anything to do with a boy, Miho?\Don't just look at things in my room without permission!\Ashirogi Muto. response:	It even mentioned your dream.
context: Did something happen?\No, nothing.\Really?\There are manga magazines on your bookshelves.\With the age you're at, could that have anything to do with a boy, Miho?\Don't just look at things in my room without permission!\Ashirogi Muto.\It even mentioned your dream. response:	Isn't that right?
context: No, nothing.\Really?\There are manga magazines on your bookshelves.\With the age you're at, could that have anything to do with a boy, Miho?\Don't just look at things in my room without permission!\Ashirogi Muto.\It even mentioned your dream.\Isn't that right? response:	Did you hear about that from Kaya?
context: Really?\There are manga magazines on your bookshelves.\With the age you're at, could that have anything to do with a boy, Miho?\Don't just look at things in my room without permission!\Ashirogi Muto.\It even mentioned your dream.\Isn't that right?\Did you hear about that from Kaya? response:	No, none of it.
context: There are manga magazines on your bookshelves.\With the age you're at, could that have anything to do with a boy, Miho?\Don't just look at things in my room without permission!\Ashirogi Muto.\It even mentioned your dream.\Isn't that right?\Did you hear about that from Kaya?\No, none of it. response:	Then how do you know that much?
context: With the age you're at, could that have anything to do with a boy, Miho?\Don't just look at things in my room without permission!\Ashirogi Muto.\It even mentioned your dream.\Isn't that right?\Did you hear about that from Kaya?\No, none of it.\Then how do you know that much? response:	So you do have someone you like, I knew it!
context: Don't just look at things in my room without permission!\Ashirogi Muto.\It even mentioned your dream.\Isn't that right?\Did you hear about that from Kaya?\No, none of it.\Then how do you know that much?\So you do have someone you like, I knew it! response:	No I don't...
context: Ashirogi Muto.\It even mentioned your dream.\Isn't that right?\Did you hear about that from Kaya?\No, none of it.\Then how do you know that much?\So you do have someone you like, I knew it!\No I don't... response:	Hey Miho, you're meeting that person properly, aren't you?
context: It even mentioned your dream.\Isn't that right?\Did you hear about that from Kaya?\No, none of it.\Then how do you know that much?\So you do have someone you like, I knew it!\No I don't...\Hey Miho, you're meeting that person properly, aren't you? response:	Have you not met him? The one you like?
context: Isn't that right?\Did you hear about that from Kaya?\No, none of it.\Then how do you know that much?\So you do have someone you like, I knew it!\No I don't...\Hey Miho, you're meeting that person properly, aren't you?\Have you not met him? The one you like? response:	What're you talking about?
context: Did you hear about that from Kaya?\No, none of it.\Then how do you know that much?\So you do have someone you like, I knew it!\No I don't...\Hey Miho, you're meeting that person properly, aren't you?\Have you not met him? The one you like?\What're you talking about? response:	It'd be really weird to talk about stuff like that with a mom.
context: No, none of it.\Then how do you know that much?\So you do have someone you like, I knew it!\No I don't...\Hey Miho, you're meeting that person properly, aren't you?\Have you not met him? The one you like?\What're you talking about?\It'd be really weird to talk about stuff like that with a mom. response:	We're not like that.
context: Then how do you know that much?\So you do have someone you like, I knew it!\No I don't...\Hey Miho, you're meeting that person properly, aren't you?\Have you not met him? The one you like?\What're you talking about?\It'd be really weird to talk about stuff like that with a mom.\We're not like that. response:	And even if we were, what's between us is between us.
context: So you do have someone you like, I knew it!\No I don't...\Hey Miho, you're meeting that person properly, aren't you?\Have you not met him? The one you like?\What're you talking about?\It'd be really weird to talk about stuff like that with a mom.\We're not like that.\And even if we were, what's between us is between us. response:	I see, sorry.
context: No I don't...\Hey Miho, you're meeting that person properly, aren't you?\Have you not met him? The one you like?\What're you talking about?\It'd be really weird to talk about stuff like that with a mom.\We're not like that.\And even if we were, what's between us is between us.\I see, sorry. response:	I was just a little worried that you might be doing the same thing I did.
context: Hey Miho, you're meeting that person properly, aren't you?\Have you not met him? The one you like?\What're you talking about?\It'd be really weird to talk about stuff like that with a mom.\We're not like that.\And even if we were, what's between us is between us.\I see, sorry.\I was just a little worried that you might be doing the same thing I did. response:	You see, your mom had a boy she really liked in middle school.
context: Have you not met him? The one you like?\What're you talking about?\It'd be really weird to talk about stuff like that with a mom.\We're not like that.\And even if we were, what's between us is between us.\I see, sorry.\I was just a little worried that you might be doing the same thing I did.\You see, your mom had a boy she really liked in middle school. response:	But it took all she had just to send letters.
context: What're you talking about?\It'd be really weird to talk about stuff like that with a mom.\We're not like that.\And even if we were, what's between us is between us.\I see, sorry.\I was just a little worried that you might be doing the same thing I did.\You see, your mom had a boy she really liked in middle school.\But it took all she had just to send letters. response:	And it ended after years of only corresponding with letters.
context: It'd be really weird to talk about stuff like that with a mom.\We're not like that.\And even if we were, what's between us is between us.\I see, sorry.\I was just a little worried that you might be doing the same thing I did.\You see, your mom had a boy she really liked in middle school.\But it took all she had just to send letters.\And it ended after years of only corresponding with letters. response:	Only letters?
context: We're not like that.\And even if we were, what's between us is between us.\I see, sorry.\I was just a little worried that you might be doing the same thing I did.\You see, your mom had a boy she really liked in middle school.\But it took all she had just to send letters.\And it ended after years of only corresponding with letters.\Only letters? response:	ThThat's strange...
context: And even if we were, what's between us is between us.\I see, sorry.\I was just a little worried that you might be doing the same thing I did.\You see, your mom had a boy she really liked in middle school.\But it took all she had just to send letters.\And it ended after years of only corresponding with letters.\Only letters?\ThThat's strange... response:	You'd think that after years of avoiding each other,
context: I see, sorry.\I was just a little worried that you might be doing the same thing I did.\You see, your mom had a boy she really liked in middle school.\But it took all she had just to send letters.\And it ended after years of only corresponding with letters.\Only letters?\ThThat's strange...\You'd think that after years of avoiding each other, response:	the other person might not be interested in you.
context: I was just a little worried that you might be doing the same thing I did.\You see, your mom had a boy she really liked in middle school.\But it took all she had just to send letters.\And it ended after years of only corresponding with letters.\Only letters?\ThThat's strange...\You'd think that after years of avoiding each other,\the other person might not be interested in you. response:	I wouldn't think that.
context: You see, your mom had a boy she really liked in middle school.\But it took all she had just to send letters.\And it ended after years of only corresponding with letters.\Only letters?\ThThat's strange...\You'd think that after years of avoiding each other,\the other person might not be interested in you.\I wouldn't think that. response:	Even if we didn't meet, I would always believe in the person I was writing to.
context: But it took all she had just to send letters.\And it ended after years of only corresponding with letters.\Only letters?\ThThat's strange...\You'd think that after years of avoiding each other,\the other person might not be interested in you.\I wouldn't think that.\Even if we didn't meet, I would always believe in the person I was writing to. response:	Really? Glad to hear it.
context: And it ended after years of only corresponding with letters.\Only letters?\ThThat's strange...\You'd think that after years of avoiding each other,\the other person might not be interested in you.\I wouldn't think that.\Even if we didn't meet, I would always believe in the person I was writing to.\Really? Glad to hear it. response:	Good, this gets an OK!
context: Only letters?\ThThat's strange...\You'd think that after years of avoiding each other,\the other person might not be interested in you.\I wouldn't think that.\Even if we didn't meet, I would always believe in the person I was writing to.\Really? Glad to hear it.\Good, this gets an OK! response:	Okay, I'll hold onto this one.
context: ThThat's strange...\You'd think that after years of avoiding each other,\the other person might not be interested in you.\I wouldn't think that.\Even if we didn't meet, I would always believe in the person I was writing to.\Really? Glad to hear it.\Good, this gets an OK!\Okay, I'll hold onto this one. response:	Yes?
context: You'd think that after years of avoiding each other,\the other person might not be interested in you.\I wouldn't think that.\Even if we didn't meet, I would always believe in the person I was writing to.\Really? Glad to hear it.\Good, this gets an OK!\Okay, I'll hold onto this one.\Yes? response:	Yeah, you're done now?
context: the other person might not be interested in you.\I wouldn't think that.\Even if we didn't meet, I would always believe in the person I was writing to.\Really? Glad to hear it.\Good, this gets an OK!\Okay, I'll hold onto this one.\Yes?\Yeah, you're done now? response:	Got it, I'll meet you at the usual cafe.
context: I wouldn't think that.\Even if we didn't meet, I would always believe in the person I was writing to.\Really? Glad to hear it.\Good, this gets an OK!\Okay, I'll hold onto this one.\Yes?\Yeah, you're done now?\Got it, I'll meet you at the usual cafe. response:	I'll be right over.
context: Even if we didn't meet, I would always believe in the person I was writing to.\Really? Glad to hear it.\Good, this gets an OK!\Okay, I'll hold onto this one.\Yes?\Yeah, you're done now?\Got it, I'll meet you at the usual cafe.\I'll be right over. response:	Oh, working hard, are you?
context: Really? Glad to hear it.\Good, this gets an OK!\Okay, I'll hold onto this one.\Yes?\Yeah, you're done now?\Got it, I'll meet you at the usual cafe.\I'll be right over.\Oh, working hard, are you? response:	Ah, thanks for all the work you've put in for us.
context: Good, this gets an OK!\Okay, I'll hold onto this one.\Yes?\Yeah, you're done now?\Got it, I'll meet you at the usual cafe.\I'll be right over.\Oh, working hard, are you?\Ah, thanks for all the work you've put in for us. response:	Thanks for the hard work.
context: Okay, I'll hold onto this one.\Yes?\Yeah, you're done now?\Got it, I'll meet you at the usual cafe.\I'll be right over.\Oh, working hard, are you?\Ah, thanks for all the work you've put in for us.\Thanks for the hard work. response:	Aida-san, I have something I need to talk to you about after this.
context: Yes?\Yeah, you're done now?\Got it, I'll meet you at the usual cafe.\I'll be right over.\Oh, working hard, are you?\Ah, thanks for all the work you've put in for us.\Thanks for the hard work.\Aida-san, I have something I need to talk to you about after this. response:	Hm? Okay, just call me whenever.
context: Yeah, you're done now?\Got it, I'll meet you at the usual cafe.\I'll be right over.\Oh, working hard, are you?\Ah, thanks for all the work you've put in for us.\Thanks for the hard work.\Aida-san, I have something I need to talk to you about after this.\Hm? Okay, just call me whenever. response:	Well done!
context: Got it, I'll meet you at the usual cafe.\I'll be right over.\Oh, working hard, are you?\Ah, thanks for all the work you've put in for us.\Thanks for the hard work.\Aida-san, I have something I need to talk to you about after this.\Hm? Okay, just call me whenever.\Well done! response:	Chapter 3 gets an OK too.
context: I'll be right over.\Oh, working hard, are you?\Ah, thanks for all the work you've put in for us.\Thanks for the hard work.\Aida-san, I have something I need to talk to you about after this.\Hm? Okay, just call me whenever.\Well done!\Chapter 3 gets an OK too. response:	Now we can pass it around at the meeting.
context: Oh, working hard, are you?\Ah, thanks for all the work you've put in for us.\Thanks for the hard work.\Aida-san, I have something I need to talk to you about after this.\Hm? Okay, just call me whenever.\Well done!\Chapter 3 gets an OK too.\Now we can pass it around at the meeting. response:	Thank you very much!
context: Ah, thanks for all the work you've put in for us.\Thanks for the hard work.\Aida-san, I have something I need to talk to you about after this.\Hm? Okay, just call me whenever.\Well done!\Chapter 3 gets an OK too.\Now we can pass it around at the meeting.\Thank you very much! response:	Now all we can do is leave it to the higher-ups.
context: Thanks for the hard work.\Aida-san, I have something I need to talk to you about after this.\Hm? Okay, just call me whenever.\Well done!\Chapter 3 gets an OK too.\Now we can pass it around at the meeting.\Thank you very much!\Now all we can do is leave it to the higher-ups. response:	We know.
context: Aida-san, I have something I need to talk to you about after this.\Hm? Okay, just call me whenever.\Well done!\Chapter 3 gets an OK too.\Now we can pass it around at the meeting.\Thank you very much!\Now all we can do is leave it to the higher-ups.\We know. response:	At this point, we've already done all we can.
context: Hm? Okay, just call me whenever.\Well done!\Chapter 3 gets an OK too.\Now we can pass it around at the meeting.\Thank you very much!\Now all we can do is leave it to the higher-ups.\We know.\At this point, we've already done all we can. response:	It's been a pleasure!
context: Well done!\Chapter 3 gets an OK too.\Now we can pass it around at the meeting.\Thank you very much!\Now all we can do is leave it to the higher-ups.\We know.\At this point, we've already done all we can.\It's been a pleasure! response:	So what did you want to talk about?
context: Chapter 3 gets an OK too.\Now we can pass it around at the meeting.\Thank you very much!\Now all we can do is leave it to the higher-ups.\We know.\At this point, we've already done all we can.\It's been a pleasure!\So what did you want to talk about? response:	It's about Ashirogi Muto.
context: Now we can pass it around at the meeting.\Thank you very much!\Now all we can do is leave it to the higher-ups.\We know.\At this point, we've already done all we can.\It's been a pleasure!\So what did you want to talk about?\It's about Ashirogi Muto. response:	I was hoping you'd follow up on something at the serialization meeting for me.
context: Thank you very much!\Now all we can do is leave it to the higher-ups.\We know.\At this point, we've already done all we can.\It's been a pleasure!\So what did you want to talk about?\It's about Ashirogi Muto.\I was hoping you'd follow up on something at the serialization meeting for me. response:	Follow up?
context: Now all we can do is leave it to the higher-ups.\We know.\At this point, we've already done all we can.\It's been a pleasure!\So what did you want to talk about?\It's about Ashirogi Muto.\I was hoping you'd follow up on something at the serialization meeting for me.\Follow up? response:	I think people will...
context: We know.\At this point, we've already done all we can.\It's been a pleasure!\So what did you want to talk about?\It's about Ashirogi Muto.\I was hoping you'd follow up on something at the serialization meeting for me.\Follow up?\I think people will... response:	naturally give opinions on whether or not they can keep drawing while going to high school.
context: At this point, we've already done all we can.\It's been a pleasure!\So what did you want to talk about?\It's about Ashirogi Muto.\I was hoping you'd follow up on something at the serialization meeting for me.\Follow up?\I think people will...\naturally give opinions on whether or not they can keep drawing while going to high school. response:	Man oh man, you sure have confidence in them.
context: It's been a pleasure!\So what did you want to talk about?\It's about Ashirogi Muto.\I was hoping you'd follow up on something at the serialization meeting for me.\Follow up?\I think people will...\naturally give opinions on whether or not they can keep drawing while going to high school.\Man oh man, you sure have confidence in them. response:	If the talks got all the way to that stage...
context: So what did you want to talk about?\It's about Ashirogi Muto.\I was hoping you'd follow up on something at the serialization meeting for me.\Follow up?\I think people will...\naturally give opinions on whether or not they can keep drawing while going to high school.\Man oh man, you sure have confidence in them.\If the talks got all the way to that stage... response:	Yeah, you're probably right.
context: It's about Ashirogi Muto.\I was hoping you'd follow up on something at the serialization meeting for me.\Follow up?\I think people will...\naturally give opinions on whether or not they can keep drawing while going to high school.\Man oh man, you sure have confidence in them.\If the talks got all the way to that stage...\Yeah, you're probably right. response:	We're only submitting up to chapter 3 for the meeting,
context: I was hoping you'd follow up on something at the serialization meeting for me.\Follow up?\I think people will...\naturally give opinions on whether or not they can keep drawing while going to high school.\Man oh man, you sure have confidence in them.\If the talks got all the way to that stage...\Yeah, you're probably right.\We're only submitting up to chapter 3 for the meeting, response:	but there are names for 10 chapters.
context: Follow up?\I think people will...\naturally give opinions on whether or not they can keep drawing while going to high school.\Man oh man, you sure have confidence in them.\If the talks got all the way to that stage...\Yeah, you're probably right.\We're only submitting up to chapter 3 for the meeting,\but there are names for 10 chapters. response:	The others were done as a test for when they got serialized.
context: I think people will...\naturally give opinions on whether or not they can keep drawing while going to high school.\Man oh man, you sure have confidence in them.\If the talks got all the way to that stage...\Yeah, you're probably right.\We're only submitting up to chapter 3 for the meeting,\but there are names for 10 chapters.\The others were done as a test for when they got serialized. response:	I had them draw one name every two weeks, and they did five manuscripts.
context: naturally give opinions on whether or not they can keep drawing while going to high school.\Man oh man, you sure have confidence in them.\If the talks got all the way to that stage...\Yeah, you're probably right.\We're only submitting up to chapter 3 for the meeting,\but there are names for 10 chapters.\The others were done as a test for when they got serialized.\I had them draw one name every two weeks, and they did five manuscripts. response:	Also, this was going on while they were developing their entry for the Golden Future Cup.
context: Man oh man, you sure have confidence in them.\If the talks got all the way to that stage...\Yeah, you're probably right.\We're only submitting up to chapter 3 for the meeting,\but there are names for 10 chapters.\The others were done as a test for when they got serialized.\I had them draw one name every two weeks, and they did five manuscripts.\Also, this was going on while they were developing their entry for the Golden Future Cup. response:	Amazing... They did all this?
