context: Maka! response:	What's up with this wavelength?
context: What's up with everyone agreeing on relying on that doctor?\Here, Maka, have some flowers.\Thank you.\I kind of get how Sid-sensei feels.\A red carpet in a mountain?\I've been expecting you,\Mosquito?\After 800 years, the air around this place has become fairly stagnated. response:	My throat is sore...
context: Here, Maka, have some flowers.\Thank you.\I kind of get how Sid-sensei feels.\A red carpet in a mountain?\I've been expecting you,\Mosquito?\After 800 years, the air around this place has become fairly stagnated.\My throat is sore... response:	I have prepared the finest champagne.
context: Thank you.\I kind of get how Sid-sensei feels.\A red carpet in a mountain?\I've been expecting you,\Mosquito?\After 800 years, the air around this place has become fairly stagnated.\My throat is sore...\I have prepared the finest champagne. response:	What an uncomfortable car...
context: I kind of get how Sid-sensei feels.\A red carpet in a mountain?\I've been expecting you,\Mosquito?\After 800 years, the air around this place has become fairly stagnated.\My throat is sore...\I have prepared the finest champagne.\What an uncomfortable car... response:	That's a little better.
context: A red carpet in a mountain?\I've been expecting you,\Mosquito?\After 800 years, the air around this place has become fairly stagnated.\My throat is sore...\I have prepared the finest champagne.\What an uncomfortable car...\That's a little better. response:	You simpleton, value-ignorant delinquent!
context: I've been expecting you,\Mosquito?\After 800 years, the air around this place has become fairly stagnated.\My throat is sore...\I have prepared the finest champagne.\What an uncomfortable car...\That's a little better.\You simpleton, value-ignorant delinquent! response:	Huh?
context: Mosquito?\After 800 years, the air around this place has become fairly stagnated.\My throat is sore...\I have prepared the finest champagne.\What an uncomfortable car...\That's a little better.\You simpleton, value-ignorant delinquent!\Huh? response:	You wanna get it on?
context: After 800 years, the air around this place has become fairly stagnated.\My throat is sore...\I have prepared the finest champagne.\What an uncomfortable car...\That's a little better.\You simpleton, value-ignorant delinquent!\Huh?\You wanna get it on? response:	Enough.
context: My throat is sore...\I have prepared the finest champagne.\What an uncomfortable car...\That's a little better.\You simpleton, value-ignorant delinquent!\Huh?\You wanna get it on?\Enough. response:	I am fatigued.
context: I have prepared the finest champagne.\What an uncomfortable car...\That's a little better.\You simpleton, value-ignorant delinquent!\Huh?\You wanna get it on?\Enough.\I am fatigued. response:	Make haste to the castle.
context: What an uncomfortable car...\That's a little better.\You simpleton, value-ignorant delinquent!\Huh?\You wanna get it on?\Enough.\I am fatigued.\Make haste to the castle. response:	The Kishin has resurrected.
context: That's a little better.\You simpleton, value-ignorant delinquent!\Huh?\You wanna get it on?\Enough.\I am fatigued.\Make haste to the castle.\The Kishin has resurrected. response:	And from his madness, Arachne has resurrected, too.
context: You simpleton, value-ignorant delinquent!\Huh?\You wanna get it on?\Enough.\I am fatigued.\Make haste to the castle.\The Kishin has resurrected.\And from his madness, Arachne has resurrected, too. response:	It has been a long time...
context: Huh?\You wanna get it on?\Enough.\I am fatigued.\Make haste to the castle.\The Kishin has resurrected.\And from his madness, Arachne has resurrected, too.\It has been a long time... response:	This is the network Arachne-sama has been expanding for last 800 years.
context: You wanna get it on?\Enough.\I am fatigued.\Make haste to the castle.\The Kishin has resurrected.\And from his madness, Arachne has resurrected, too.\It has been a long time...\This is the network Arachne-sama has been expanding for last 800 years. response:	Arachne-sama,
context: Enough.\I am fatigued.\Make haste to the castle.\The Kishin has resurrected.\And from his madness, Arachne has resurrected, too.\It has been a long time...\This is the network Arachne-sama has been expanding for last 800 years.\Arachne-sama, response:	Arachne-sama,
context: I am fatigued.\Make haste to the castle.\The Kishin has resurrected.\And from his madness, Arachne has resurrected, too.\It has been a long time...\This is the network Arachne-sama has been expanding for last 800 years.\Arachne-sama,\Arachne-sama, response:	I will win...
