context: Ladies and gentlemen, good evening. response:	At long last, the time has come for my friend to bid farewell to things of beauty.
context: We were commoners born in a small village outside of Marseilles called Catalonia.\Mother...\Then what is Father's real name?\Your father's real name is Fernand Mondego.\By the time I realized what was happening, it was already too late to turn back.\Once I said that we were aristocrats by birth, I had no choice but to keep playing the part.\And then the truth finally struck home in the middle of your father's campaign speech.\Why?! Why are you saying these things, too, Mother?! response:	Why don't you have any faith in Father?!
context: Mother...\Then what is Father's real name?\Your father's real name is Fernand Mondego.\By the time I realized what was happening, it was already too late to turn back.\Once I said that we were aristocrats by birth, I had no choice but to keep playing the part.\And then the truth finally struck home in the middle of your father's campaign speech.\Why?! Why are you saying these things, too, Mother?!\Why don't you have any faith in Father?! response:	I heard the speech given by the Janinan princess that day with my own two ears.
context: Then what is Father's real name?\Your father's real name is Fernand Mondego.\By the time I realized what was happening, it was already too late to turn back.\Once I said that we were aristocrats by birth, I had no choice but to keep playing the part.\And then the truth finally struck home in the middle of your father's campaign speech.\Why?! Why are you saying these things, too, Mother?!\Why don't you have any faith in Father?!\I heard the speech given by the Janinan princess that day with my own two ears. response:	If I had sensed even for an instant that her words were lies,
context: Your father's real name is Fernand Mondego.\By the time I realized what was happening, it was already too late to turn back.\Once I said that we were aristocrats by birth, I had no choice but to keep playing the part.\And then the truth finally struck home in the middle of your father's campaign speech.\Why?! Why are you saying these things, too, Mother?!\Why don't you have any faith in Father?!\I heard the speech given by the Janinan princess that day with my own two ears.\If I had sensed even for an instant that her words were lies, response:	But it was true...
context: By the time I realized what was happening, it was already too late to turn back.\Once I said that we were aristocrats by birth, I had no choice but to keep playing the part.\And then the truth finally struck home in the middle of your father's campaign speech.\Why?! Why are you saying these things, too, Mother?!\Why don't you have any faith in Father?!\I heard the speech given by the Janinan princess that day with my own two ears.\If I had sensed even for an instant that her words were lies,\But it was true... response:	Albert... We each must face the consequences of the things we have done.
context: Once I said that we were aristocrats by birth, I had no choice but to keep playing the part.\And then the truth finally struck home in the middle of your father's campaign speech.\Why?! Why are you saying these things, too, Mother?!\Why don't you have any faith in Father?!\I heard the speech given by the Janinan princess that day with my own two ears.\If I had sensed even for an instant that her words were lies,\But it was true...\Albert... We each must face the consequences of the things we have done. response:	We must never be allowed to avert our eyes from the truth.
context: And then the truth finally struck home in the middle of your father's campaign speech.\Why?! Why are you saying these things, too, Mother?!\Why don't you have any faith in Father?!\I heard the speech given by the Janinan princess that day with my own two ears.\If I had sensed even for an instant that her words were lies,\But it was true...\Albert... We each must face the consequences of the things we have done.\We must never be allowed to avert our eyes from the truth. response:	Haidee wanted this to happen from the very beginning!
context: Why?! Why are you saying these things, too, Mother?!\Why don't you have any faith in Father?!\I heard the speech given by the Janinan princess that day with my own two ears.\If I had sensed even for an instant that her words were lies,\But it was true...\Albert... We each must face the consequences of the things we have done.\We must never be allowed to avert our eyes from the truth.\Haidee wanted this to happen from the very beginning! response:	Damn it! DAMN IT!
context: Why don't you have any faith in Father?!\I heard the speech given by the Janinan princess that day with my own two ears.\If I had sensed even for an instant that her words were lies,\But it was true...\Albert... We each must face the consequences of the things we have done.\We must never be allowed to avert our eyes from the truth.\Haidee wanted this to happen from the very beginning!\Damn it! DAMN IT! response:	Every year, my father and I would go to place flowers on Edmond Dantes' grave.
context: I heard the speech given by the Janinan princess that day with my own two ears.\If I had sensed even for an instant that her words were lies,\But it was true...\Albert... We each must face the consequences of the things we have done.\We must never be allowed to avert our eyes from the truth.\Haidee wanted this to happen from the very beginning!\Damn it! DAMN IT!\Every year, my father and I would go to place flowers on Edmond Dantes' grave. response:	Father would always stare out at the sea, and would never tell me much about him.
context: If I had sensed even for an instant that her words were lies,\But it was true...\Albert... We each must face the consequences of the things we have done.\We must never be allowed to avert our eyes from the truth.\Haidee wanted this to happen from the very beginning!\Damn it! DAMN IT!\Every year, my father and I would go to place flowers on Edmond Dantes' grave.\Father would always stare out at the sea, and would never tell me much about him. response:	But as my father lay on his deathbed, he kept calling out his name, tears in his eyes.
context: But it was true...\Albert... We each must face the consequences of the things we have done.\We must never be allowed to avert our eyes from the truth.\Haidee wanted this to happen from the very beginning!\Damn it! DAMN IT!\Every year, my father and I would go to place flowers on Edmond Dantes' grave.\Father would always stare out at the sea, and would never tell me much about him.\But as my father lay on his deathbed, he kept calling out his name, tears in his eyes. response:	I want to see Edmond! I want to see Edmond!
context: Albert... We each must face the consequences of the things we have done.\We must never be allowed to avert our eyes from the truth.\Haidee wanted this to happen from the very beginning!\Damn it! DAMN IT!\Every year, my father and I would go to place flowers on Edmond Dantes' grave.\Father would always stare out at the sea, and would never tell me much about him.\But as my father lay on his deathbed, he kept calling out his name, tears in his eyes.\I want to see Edmond! I want to see Edmond! response:	Why wasn't I able to save Edmond?!
context: We must never be allowed to avert our eyes from the truth.\Haidee wanted this to happen from the very beginning!\Damn it! DAMN IT!\Every year, my father and I would go to place flowers on Edmond Dantes' grave.\Father would always stare out at the sea, and would never tell me much about him.\But as my father lay on his deathbed, he kept calling out his name, tears in his eyes.\I want to see Edmond! I want to see Edmond!\Why wasn't I able to save Edmond?! response:	Maximilien, show me Morrel Son's crew roster.
context: Haidee wanted this to happen from the very beginning!\Damn it! DAMN IT!\Every year, my father and I would go to place flowers on Edmond Dantes' grave.\Father would always stare out at the sea, and would never tell me much about him.\But as my father lay on his deathbed, he kept calling out his name, tears in his eyes.\I want to see Edmond! I want to see Edmond!\Why wasn't I able to save Edmond?!\Maximilien, show me Morrel Son's crew roster. response:	I haven't seen many of the records that date back to my father's time.
context: Damn it! DAMN IT!\Every year, my father and I would go to place flowers on Edmond Dantes' grave.\Father would always stare out at the sea, and would never tell me much about him.\But as my father lay on his deathbed, he kept calling out his name, tears in his eyes.\I want to see Edmond! I want to see Edmond!\Why wasn't I able to save Edmond?!\Maximilien, show me Morrel Son's crew roster.\I haven't seen many of the records that date back to my father's time. response:	Edmond... Edmond...
context: Every year, my father and I would go to place flowers on Edmond Dantes' grave.\Father would always stare out at the sea, and would never tell me much about him.\But as my father lay on his deathbed, he kept calling out his name, tears in his eyes.\I want to see Edmond! I want to see Edmond!\Why wasn't I able to save Edmond?!\Maximilien, show me Morrel Son's crew roster.\I haven't seen many of the records that date back to my father's time.\Edmond... Edmond... response:	This is him!
context: Father would always stare out at the sea, and would never tell me much about him.\But as my father lay on his deathbed, he kept calling out his name, tears in his eyes.\I want to see Edmond! I want to see Edmond!\Why wasn't I able to save Edmond?!\Maximilien, show me Morrel Son's crew roster.\I haven't seen many of the records that date back to my father's time.\Edmond... Edmond...\This is him! response:	It's not him... His face is completely different.
context: But as my father lay on his deathbed, he kept calling out his name, tears in his eyes.\I want to see Edmond! I want to see Edmond!\Why wasn't I able to save Edmond?!\Maximilien, show me Morrel Son's crew roster.\I haven't seen many of the records that date back to my father's time.\Edmond... Edmond...\This is him!\It's not him... His face is completely different. response:	Still...
context: I want to see Edmond! I want to see Edmond!\Why wasn't I able to save Edmond?!\Maximilien, show me Morrel Son's crew roster.\I haven't seen many of the records that date back to my father's time.\Edmond... Edmond...\This is him!\It's not him... His face is completely different.\Still... response:	What is it about this person?
context: Why wasn't I able to save Edmond?!\Maximilien, show me Morrel Son's crew roster.\I haven't seen many of the records that date back to my father's time.\Edmond... Edmond...\This is him!\It's not him... His face is completely different.\Still...\What is it about this person? response:	The name Edmond was in Monsieur Noirtier's memories.
context: Maximilien, show me Morrel Son's crew roster.\I haven't seen many of the records that date back to my father's time.\Edmond... Edmond...\This is him!\It's not him... His face is completely different.\Still...\What is it about this person?\The name Edmond was in Monsieur Noirtier's memories. response:	He said he was sent to a prison in deep space for a crime he didn't commit.
context: I haven't seen many of the records that date back to my father's time.\Edmond... Edmond...\This is him!\It's not him... His face is completely different.\Still...\What is it about this person?\The name Edmond was in Monsieur Noirtier's memories.\He said he was sent to a prison in deep space for a crime he didn't commit. response:	I don't believe it!
context: Edmond... Edmond...\This is him!\It's not him... His face is completely different.\Still...\What is it about this person?\The name Edmond was in Monsieur Noirtier's memories.\He said he was sent to a prison in deep space for a crime he didn't commit.\I don't believe it! response:	Danglars?! He was the ship's purser?
context: This is him!\It's not him... His face is completely different.\Still...\What is it about this person?\The name Edmond was in Monsieur Noirtier's memories.\He said he was sent to a prison in deep space for a crime he didn't commit.\I don't believe it!\Danglars?! He was the ship's purser? response:	Now I get it... So THAT'S what this is all about...
context: It's not him... His face is completely different.\Still...\What is it about this person?\The name Edmond was in Monsieur Noirtier's memories.\He said he was sent to a prison in deep space for a crime he didn't commit.\I don't believe it!\Danglars?! He was the ship's purser?\Now I get it... So THAT'S what this is all about... response:	I have to get back there, and fast. Albert's in danger.
context: Still...\What is it about this person?\The name Edmond was in Monsieur Noirtier's memories.\He said he was sent to a prison in deep space for a crime he didn't commit.\I don't believe it!\Danglars?! He was the ship's purser?\Now I get it... So THAT'S what this is all about...\I have to get back there, and fast. Albert's in danger. response:	What in the world is the matter?
context: What is it about this person?\The name Edmond was in Monsieur Noirtier's memories.\He said he was sent to a prison in deep space for a crime he didn't commit.\I don't believe it!\Danglars?! He was the ship's purser?\Now I get it... So THAT'S what this is all about...\I have to get back there, and fast. Albert's in danger.\What in the world is the matter? response:	He's alive!
context: The name Edmond was in Monsieur Noirtier's memories.\He said he was sent to a prison in deep space for a crime he didn't commit.\I don't believe it!\Danglars?! He was the ship's purser?\Now I get it... So THAT'S what this is all about...\I have to get back there, and fast. Albert's in danger.\What in the world is the matter?\He's alive! response:	Edmond Dantes is alive!
context: He said he was sent to a prison in deep space for a crime he didn't commit.\I don't believe it!\Danglars?! He was the ship's purser?\Now I get it... So THAT'S what this is all about...\I have to get back there, and fast. Albert's in danger.\What in the world is the matter?\He's alive!\Edmond Dantes is alive! response:	Haidee!
context: I don't believe it!\Danglars?! He was the ship's purser?\Now I get it... So THAT'S what this is all about...\I have to get back there, and fast. Albert's in danger.\What in the world is the matter?\He's alive!\Edmond Dantes is alive!\Haidee! response:	Get out here, Haidee!
context: Danglars?! He was the ship's purser?\Now I get it... So THAT'S what this is all about...\I have to get back there, and fast. Albert's in danger.\What in the world is the matter?\He's alive!\Edmond Dantes is alive!\Haidee!\Get out here, Haidee! response:	Show yourself! Haidee!
context: Now I get it... So THAT'S what this is all about...\I have to get back there, and fast. Albert's in danger.\What in the world is the matter?\He's alive!\Edmond Dantes is alive!\Haidee!\Get out here, Haidee!\Show yourself! Haidee! response:	Long time, no see, little boy.
context: I have to get back there, and fast. Albert's in danger.\What in the world is the matter?\He's alive!\Edmond Dantes is alive!\Haidee!\Get out here, Haidee!\Show yourself! Haidee!\Long time, no see, little boy. response:	Not since we met back on Luna, right?
context: What in the world is the matter?\He's alive!\Edmond Dantes is alive!\Haidee!\Get out here, Haidee!\Show yourself! Haidee!\Long time, no see, little boy.\Not since we met back on Luna, right? response:	Luigi Vampa?
context: He's alive!\Edmond Dantes is alive!\Haidee!\Get out here, Haidee!\Show yourself! Haidee!\Long time, no see, little boy.\Not since we met back on Luna, right?\Luigi Vampa? response:	What are you doing in the Count's home?
context: Edmond Dantes is alive!\Haidee!\Get out here, Haidee!\Show yourself! Haidee!\Long time, no see, little boy.\Not since we met back on Luna, right?\Luigi Vampa?\What are you doing in the Count's home? response:	What are you doing, he says...
context: Haidee!\Get out here, Haidee!\Show yourself! Haidee!\Long time, no see, little boy.\Not since we met back on Luna, right?\Luigi Vampa?\What are you doing in the Count's home?\What are you doing, he says... response:	This boy's still as wooly-headed as ever, isn't he?
context: Get out here, Haidee!\Show yourself! Haidee!\Long time, no see, little boy.\Not since we met back on Luna, right?\Luigi Vampa?\What are you doing in the Count's home?\What are you doing, he says...\This boy's still as wooly-headed as ever, isn't he? response:	Go ahead and explain things to him.
context: Show yourself! Haidee!\Long time, no see, little boy.\Not since we met back on Luna, right?\Luigi Vampa?\What are you doing in the Count's home?\What are you doing, he says...\This boy's still as wooly-headed as ever, isn't he?\Go ahead and explain things to him. response:	But you said that you'd left the bandit gang, Peppo!
context: Long time, no see, little boy.\Not since we met back on Luna, right?\Luigi Vampa?\What are you doing in the Count's home?\What are you doing, he says...\This boy's still as wooly-headed as ever, isn't he?\Go ahead and explain things to him.\But you said that you'd left the bandit gang, Peppo! response:	I've been keeping an eye on you all this time on the Count's orders, Albert.
context: Not since we met back on Luna, right?\Luigi Vampa?\What are you doing in the Count's home?\What are you doing, he says...\This boy's still as wooly-headed as ever, isn't he?\Go ahead and explain things to him.\But you said that you'd left the bandit gang, Peppo!\I've been keeping an eye on you all this time on the Count's orders, Albert. response:	I've also been sending detailed reports of your movements to the Count.
context: Luigi Vampa?\What are you doing in the Count's home?\What are you doing, he says...\This boy's still as wooly-headed as ever, isn't he?\Go ahead and explain things to him.\But you said that you'd left the bandit gang, Peppo!\I've been keeping an eye on you all this time on the Count's orders, Albert.\I've also been sending detailed reports of your movements to the Count. response:	Why would the Count do such a thing?
context: What are you doing in the Count's home?\What are you doing, he says...\This boy's still as wooly-headed as ever, isn't he?\Go ahead and explain things to him.\But you said that you'd left the bandit gang, Peppo!\I've been keeping an eye on you all this time on the Count's orders, Albert.\I've also been sending detailed reports of your movements to the Count.\Why would the Count do such a thing? response:	Come on, you must have a vague idea by now.
context: What are you doing, he says...\This boy's still as wooly-headed as ever, isn't he?\Go ahead and explain things to him.\But you said that you'd left the bandit gang, Peppo!\I've been keeping an eye on you all this time on the Count's orders, Albert.\I've also been sending detailed reports of your movements to the Count.\Why would the Count do such a thing?\Come on, you must have a vague idea by now. response:	About why the Count made friends with you on Luna, and then came to Paris.
context: This boy's still as wooly-headed as ever, isn't he?\Go ahead and explain things to him.\But you said that you'd left the bandit gang, Peppo!\I've been keeping an eye on you all this time on the Count's orders, Albert.\I've also been sending detailed reports of your movements to the Count.\Why would the Count do such a thing?\Come on, you must have a vague idea by now.\About why the Count made friends with you on Luna, and then came to Paris. response:	Shut your mouth! Where's Haidee?!
context: Go ahead and explain things to him.\But you said that you'd left the bandit gang, Peppo!\I've been keeping an eye on you all this time on the Count's orders, Albert.\I've also been sending detailed reports of your movements to the Count.\Why would the Count do such a thing?\Come on, you must have a vague idea by now.\About why the Count made friends with you on Luna, and then came to Paris.\Shut your mouth! Where's Haidee?! response:	Hurry up and send out Haidee!
context: But you said that you'd left the bandit gang, Peppo!\I've been keeping an eye on you all this time on the Count's orders, Albert.\I've also been sending detailed reports of your movements to the Count.\Why would the Count do such a thing?\Come on, you must have a vague idea by now.\About why the Count made friends with you on Luna, and then came to Paris.\Shut your mouth! Where's Haidee?!\Hurry up and send out Haidee! response:	His servants have left the mansion.
context: I've been keeping an eye on you all this time on the Count's orders, Albert.\I've also been sending detailed reports of your movements to the Count.\Why would the Count do such a thing?\Come on, you must have a vague idea by now.\About why the Count made friends with you on Luna, and then came to Paris.\Shut your mouth! Where's Haidee?!\Hurry up and send out Haidee!\His servants have left the mansion. response:	Their master is due to arrive on Earth any time now.
context: I've also been sending detailed reports of your movements to the Count.\Why would the Count do such a thing?\Come on, you must have a vague idea by now.\About why the Count made friends with you on Luna, and then came to Paris.\Shut your mouth! Where's Haidee?!\Hurry up and send out Haidee!\His servants have left the mansion.\Their master is due to arrive on Earth any time now. response:	General Morcerf, the Scandal of Janina...
context: Why would the Count do such a thing?\Come on, you must have a vague idea by now.\About why the Count made friends with you on Luna, and then came to Paris.\Shut your mouth! Where's Haidee?!\Hurry up and send out Haidee!\His servants have left the mansion.\Their master is due to arrive on Earth any time now.\General Morcerf, the Scandal of Janina... response:	You're making your move, aren't you, Count?
context: Come on, you must have a vague idea by now.\About why the Count made friends with you on Luna, and then came to Paris.\Shut your mouth! Where's Haidee?!\Hurry up and send out Haidee!\His servants have left the mansion.\Their master is due to arrive on Earth any time now.\General Morcerf, the Scandal of Janina...\You're making your move, aren't you, Count? response:	Albert, please stay safe.
context: About why the Count made friends with you on Luna, and then came to Paris.\Shut your mouth! Where's Haidee?!\Hurry up and send out Haidee!\His servants have left the mansion.\Their master is due to arrive on Earth any time now.\General Morcerf, the Scandal of Janina...\You're making your move, aren't you, Count?\Albert, please stay safe. response:	Haidee!
context: Shut your mouth! Where's Haidee?!\Hurry up and send out Haidee!\His servants have left the mansion.\Their master is due to arrive on Earth any time now.\General Morcerf, the Scandal of Janina...\You're making your move, aren't you, Count?\Albert, please stay safe.\Haidee! response:	Count, you have to tell me. Where can I find hope?
context: Hurry up and send out Haidee!\His servants have left the mansion.\Their master is due to arrive on Earth any time now.\General Morcerf, the Scandal of Janina...\You're making your move, aren't you, Count?\Albert, please stay safe.\Haidee!\Count, you have to tell me. Where can I find hope? response:	Where is the truth you spoke of?
context: His servants have left the mansion.\Their master is due to arrive on Earth any time now.\General Morcerf, the Scandal of Janina...\You're making your move, aren't you, Count?\Albert, please stay safe.\Haidee!\Count, you have to tell me. Where can I find hope?\Where is the truth you spoke of? response:	Next time on Gankutsuou, the Count of Monte Cristo act 17,
context: Their master is due to arrive on Earth any time now.\General Morcerf, the Scandal of Janina...\You're making your move, aren't you, Count?\Albert, please stay safe.\Haidee!\Count, you have to tell me. Where can I find hope?\Where is the truth you spoke of?\Next time on Gankutsuou, the Count of Monte Cristo act 17, response:	Act 17: The Confession
context: General Morcerf, the Scandal of Janina...\You're making your move, aren't you, Count?\Albert, please stay safe.\Haidee!\Count, you have to tell me. Where can I find hope?\Where is the truth you spoke of?\Next time on Gankutsuou, the Count of Monte Cristo act 17,\Act 17: The Confession response:	Bide your time, and hold out hope!
