context: Hey, the float's coming along pretty nicely. response:	How's the cafe going?
context: Y-Yeah. I wonder what happened this year...\Sign: The 43rd High School Festival\Please come to Class 2-7's Asian Cafe!\We have refreshing drinks and sweets!\We also offer special discounts for couples!\It's really hot out today.\And we have less flyers than we thought we'd need...\I'll have to go copy some more. response:	Nana! Have a drink!
context: Sign: The 43rd High School Festival\Please come to Class 2-7's Asian Cafe!\We have refreshing drinks and sweets!\We also offer special discounts for couples!\It's really hot out today.\And we have less flyers than we thought we'd need...\I'll have to go copy some more.\Nana! Have a drink! response:	You must be thirsty, right?
context: Please come to Class 2-7's Asian Cafe!\We have refreshing drinks and sweets!\We also offer special discounts for couples!\It's really hot out today.\And we have less flyers than we thought we'd need...\I'll have to go copy some more.\Nana! Have a drink!\You must be thirsty, right? response:	Ah, it's so cold and good!
context: We have refreshing drinks and sweets!\We also offer special discounts for couples!\It's really hot out today.\And we have less flyers than we thought we'd need...\I'll have to go copy some more.\Nana! Have a drink!\You must be thirsty, right?\Ah, it's so cold and good! response:	Yeah, it's great. What is it?
context: We also offer special discounts for couples!\It's really hot out today.\And we have less flyers than we thought we'd need...\I'll have to go copy some more.\Nana! Have a drink!\You must be thirsty, right?\Ah, it's so cold and good!\Yeah, it's great. What is it? response:	What's this leaf?
context: It's really hot out today.\And we have less flyers than we thought we'd need...\I'll have to go copy some more.\Nana! Have a drink!\You must be thirsty, right?\Ah, it's so cold and good!\Yeah, it's great. What is it?\What's this leaf? response:	Mizu-chin, you really know what hits the spot!
context: And we have less flyers than we thought we'd need...\I'll have to go copy some more.\Nana! Have a drink!\You must be thirsty, right?\Ah, it's so cold and good!\Yeah, it's great. What is it?\What's this leaf?\Mizu-chin, you really know what hits the spot! response:	It's from Yano.
context: I'll have to go copy some more.\Nana! Have a drink!\You must be thirsty, right?\Ah, it's so cold and good!\Yeah, it's great. What is it?\What's this leaf?\Mizu-chin, you really know what hits the spot!\It's from Yano. response:	He told me to tell you it must be hard handing out all those flyers, since it's so hot out.
context: Nana! Have a drink!\You must be thirsty, right?\Ah, it's so cold and good!\Yeah, it's great. What is it?\What's this leaf?\Mizu-chin, you really know what hits the spot!\It's from Yano.\He told me to tell you it must be hard handing out all those flyers, since it's so hot out. response:	Oh. Long time no see.
context: You must be thirsty, right?\Ah, it's so cold and good!\Yeah, it's great. What is it?\What's this leaf?\Mizu-chin, you really know what hits the spot!\It's from Yano.\He told me to tell you it must be hard handing out all those flyers, since it's so hot out.\Oh. Long time no see. response:	Asian Cafe
context: Ah, it's so cold and good!\Yeah, it's great. What is it?\What's this leaf?\Mizu-chin, you really know what hits the spot!\It's from Yano.\He told me to tell you it must be hard handing out all those flyers, since it's so hot out.\Oh. Long time no see.\Asian Cafe response:	Order incoming!
context: Yeah, it's great. What is it?\What's this leaf?\Mizu-chin, you really know what hits the spot!\It's from Yano.\He told me to tell you it must be hard handing out all those flyers, since it's so hot out.\Oh. Long time no see.\Asian Cafe\Order incoming! response:	Two iced teas!
context: What's this leaf?\Mizu-chin, you really know what hits the spot!\It's from Yano.\He told me to tell you it must be hard handing out all those flyers, since it's so hot out.\Oh. Long time no see.\Asian Cafe\Order incoming!\Two iced teas! response:	Here we are.
context: Mizu-chin, you really know what hits the spot!\It's from Yano.\He told me to tell you it must be hard handing out all those flyers, since it's so hot out.\Oh. Long time no see.\Asian Cafe\Order incoming!\Two iced teas!\Here we are. response:	Shock
context: It's from Yano.\He told me to tell you it must be hard handing out all those flyers, since it's so hot out.\Oh. Long time no see.\Asian Cafe\Order incoming!\Two iced teas!\Here we are.\Shock response:	Surprise
context: He told me to tell you it must be hard handing out all those flyers, since it's so hot out.\Oh. Long time no see.\Asian Cafe\Order incoming!\Two iced teas!\Here we are.\Shock\Surprise response:	Argh
context: Oh. Long time no see.\Asian Cafe\Order incoming!\Two iced teas!\Here we are.\Shock\Surprise\Argh response:	W-Why are those two together?!
context: Asian Cafe\Order incoming!\Two iced teas!\Here we are.\Shock\Surprise\Argh\W-Why are those two together?! response:	What's up with that costume?
context: Order incoming!\Two iced teas!\Here we are.\Shock\Surprise\Argh\W-Why are those two together?!\What's up with that costume? response:	An iced tea and... um...
context: Two iced teas!\Here we are.\Shock\Surprise\Argh\W-Why are those two together?!\What's up with that costume?\An iced tea and... um... response:	The master's recommended special shake. Got it.
context: Here we are.\Shock\Surprise\Argh\W-Why are those two together?!\What's up with that costume?\An iced tea and... um...\The master's recommended special shake. Got it. response:	So that's what it's called on the menu.
context: Shock\Surprise\Argh\W-Why are those two together?!\What's up with that costume?\An iced tea and... um...\The master's recommended special shake. Got it.\So that's what it's called on the menu. response:	Ah, um... it was really good. What's in it?
context: Surprise\Argh\W-Why are those two together?!\What's up with that costume?\An iced tea and... um...\The master's recommended special shake. Got it.\So that's what it's called on the menu.\Ah, um... it was really good. What's in it? response:	A piece of banana, milk, ice, and syrup.
context: Argh\W-Why are those two together?!\What's up with that costume?\An iced tea and... um...\The master's recommended special shake. Got it.\So that's what it's called on the menu.\Ah, um... it was really good. What's in it?\A piece of banana, milk, ice, and syrup. response:	It's a complete ripoff!
context: W-Why are those two together?!\What's up with that costume?\An iced tea and... um...\The master's recommended special shake. Got it.\So that's what it's called on the menu.\Ah, um... it was really good. What's in it?\A piece of banana, milk, ice, and syrup.\It's a complete ripoff! response:	Order incoming.
context: What's up with that costume?\An iced tea and... um...\The master's recommended special shake. Got it.\So that's what it's called on the menu.\Ah, um... it was really good. What's in it?\A piece of banana, milk, ice, and syrup.\It's a complete ripoff!\Order incoming. response:	Where you off today?
context: An iced tea and... um...\The master's recommended special shake. Got it.\So that's what it's called on the menu.\Ah, um... it was really good. What's in it?\A piece of banana, milk, ice, and syrup.\It's a complete ripoff!\Order incoming.\Where you off today? response:	Hurry up and leave already
context: The master's recommended special shake. Got it.\So that's what it's called on the menu.\Ah, um... it was really good. What's in it?\A piece of banana, milk, ice, and syrup.\It's a complete ripoff!\Order incoming.\Where you off today?\Hurry up and leave already response:	I'm working the late shift today.
context: So that's what it's called on the menu.\Ah, um... it was really good. What's in it?\A piece of banana, milk, ice, and syrup.\It's a complete ripoff!\Order incoming.\Where you off today?\Hurry up and leave already\I'm working the late shift today. response:	What? You also graduated from here, Ayaka-san? I had no idea!
context: Ah, um... it was really good. What's in it?\A piece of banana, milk, ice, and syrup.\It's a complete ripoff!\Order incoming.\Where you off today?\Hurry up and leave already\I'm working the late shift today.\What? You also graduated from here, Ayaka-san? I had no idea! response:	Don't go putting strange things in her head
context: A piece of banana, milk, ice, and syrup.\It's a complete ripoff!\Order incoming.\Where you off today?\Hurry up and leave already\I'm working the late shift today.\What? You also graduated from here, Ayaka-san? I had no idea!\Don't go putting strange things in her head response:	I'll never trust you again
context: It's a complete ripoff!\Order incoming.\Where you off today?\Hurry up and leave already\I'm working the late shift today.\What? You also graduated from here, Ayaka-san? I had no idea!\Don't go putting strange things in her head\I'll never trust you again response:	Be the way, do they still have that whole confession time during the closing festival?
context: Order incoming.\Where you off today?\Hurry up and leave already\I'm working the late shift today.\What? You also graduated from here, Ayaka-san? I had no idea!\Don't go putting strange things in her head\I'll never trust you again\Be the way, do they still have that whole confession time during the closing festival? response:	I just can't seem to relax in here.
context: Where you off today?\Hurry up and leave already\I'm working the late shift today.\What? You also graduated from here, Ayaka-san? I had no idea!\Don't go putting strange things in her head\I'll never trust you again\Be the way, do they still have that whole confession time during the closing festival?\I just can't seem to relax in here. response:	Moto, make the drinks to go, would you?
context: Hurry up and leave already\I'm working the late shift today.\What? You also graduated from here, Ayaka-san? I had no idea!\Don't go putting strange things in her head\I'll never trust you again\Be the way, do they still have that whole confession time during the closing festival?\I just can't seem to relax in here.\Moto, make the drinks to go, would you? response:	Right away.
context: I'm working the late shift today.\What? You also graduated from here, Ayaka-san? I had no idea!\Don't go putting strange things in her head\I'll never trust you again\Be the way, do they still have that whole confession time during the closing festival?\I just can't seem to relax in here.\Moto, make the drinks to go, would you?\Right away. response:	I see... so they still have it.
context: What? You also graduated from here, Ayaka-san? I had no idea!\Don't go putting strange things in her head\I'll never trust you again\Be the way, do they still have that whole confession time during the closing festival?\I just can't seem to relax in here.\Moto, make the drinks to go, would you?\Right away.\I see... so they still have it. response:	That brings back memories.
context: Don't go putting strange things in her head\I'll never trust you again\Be the way, do they still have that whole confession time during the closing festival?\I just can't seem to relax in here.\Moto, make the drinks to go, would you?\Right away.\I see... so they still have it.\That brings back memories. response:	There was this one time where I was confessed to and ran right into the relationship.
context: I'll never trust you again\Be the way, do they still have that whole confession time during the closing festival?\I just can't seem to relax in here.\Moto, make the drinks to go, would you?\Right away.\I see... so they still have it.\That brings back memories.\There was this one time where I was confessed to and ran right into the relationship. response:	But we broke up right away.
context: Be the way, do they still have that whole confession time during the closing festival?\I just can't seem to relax in here.\Moto, make the drinks to go, would you?\Right away.\I see... so they still have it.\That brings back memories.\There was this one time where I was confessed to and ran right into the relationship.\But we broke up right away. response:	I have some good memories because of it, though.
context: I just can't seem to relax in here.\Moto, make the drinks to go, would you?\Right away.\I see... so they still have it.\That brings back memories.\There was this one time where I was confessed to and ran right into the relationship.\But we broke up right away.\I have some good memories because of it, though. response:	That reminds me. Do you have a new boyfriend yet?
context: Moto, make the drinks to go, would you?\Right away.\I see... so they still have it.\That brings back memories.\There was this one time where I was confessed to and ran right into the relationship.\But we broke up right away.\I have some good memories because of it, though.\That reminds me. Do you have a new boyfriend yet? response:	I heard you broke up, so I thought there might be someone else you like.
context: Right away.\I see... so they still have it.\That brings back memories.\There was this one time where I was confessed to and ran right into the relationship.\But we broke up right away.\I have some good memories because of it, though.\That reminds me. Do you have a new boyfriend yet?\I heard you broke up, so I thought there might be someone else you like. response:	Ah, no, that's not exactly it...
context: I see... so they still have it.\That brings back memories.\There was this one time where I was confessed to and ran right into the relationship.\But we broke up right away.\I have some good memories because of it, though.\That reminds me. Do you have a new boyfriend yet?\I heard you broke up, so I thought there might be someone else you like.\Ah, no, that's not exactly it... response:	I haven't really sorted out my feelings on the issue yet...
context: That brings back memories.\There was this one time where I was confessed to and ran right into the relationship.\But we broke up right away.\I have some good memories because of it, though.\That reminds me. Do you have a new boyfriend yet?\I heard you broke up, so I thought there might be someone else you like.\Ah, no, that's not exactly it...\I haven't really sorted out my feelings on the issue yet... response:	That's why, for now...
context: There was this one time where I was confessed to and ran right into the relationship.\But we broke up right away.\I have some good memories because of it, though.\That reminds me. Do you have a new boyfriend yet?\I heard you broke up, so I thought there might be someone else you like.\Ah, no, that's not exactly it...\I haven't really sorted out my feelings on the issue yet...\That's why, for now... response:	You're sorting them out.
context: But we broke up right away.\I have some good memories because of it, though.\That reminds me. Do you have a new boyfriend yet?\I heard you broke up, so I thought there might be someone else you like.\Ah, no, that's not exactly it...\I haven't really sorted out my feelings on the issue yet...\That's why, for now...\You're sorting them out. response:	Hey. Do you know how to forget about an old love?
context: I have some good memories because of it, though.\That reminds me. Do you have a new boyfriend yet?\I heard you broke up, so I thought there might be someone else you like.\Ah, no, that's not exactly it...\I haven't really sorted out my feelings on the issue yet...\That's why, for now...\You're sorting them out.\Hey. Do you know how to forget about an old love? response:	You find a new love.
context: That reminds me. Do you have a new boyfriend yet?\I heard you broke up, so I thought there might be someone else you like.\Ah, no, that's not exactly it...\I haven't really sorted out my feelings on the issue yet...\That's why, for now...\You're sorting them out.\Hey. Do you know how to forget about an old love?\You find a new love. response:	You should completely immerse yourself in it.
context: I heard you broke up, so I thought there might be someone else you like.\Ah, no, that's not exactly it...\I haven't really sorted out my feelings on the issue yet...\That's why, for now...\You're sorting them out.\Hey. Do you know how to forget about an old love?\You find a new love.\You should completely immerse yourself in it. response:	If that new love is true, then the old love will naturally become part of the past.
context: Ah, no, that's not exactly it...\I haven't really sorted out my feelings on the issue yet...\That's why, for now...\You're sorting them out.\Hey. Do you know how to forget about an old love?\You find a new love.\You should completely immerse yourself in it.\If that new love is true, then the old love will naturally become part of the past. response:	It's not that you can fall in love with someone new because you forgot the old...
context: I haven't really sorted out my feelings on the issue yet...\That's why, for now...\You're sorting them out.\Hey. Do you know how to forget about an old love?\You find a new love.\You should completely immerse yourself in it.\If that new love is true, then the old love will naturally become part of the past.\It's not that you can fall in love with someone new because you forgot the old... response:	It's because you fall in love with someone new that you're able to forget about the old.
context: That's why, for now...\You're sorting them out.\Hey. Do you know how to forget about an old love?\You find a new love.\You should completely immerse yourself in it.\If that new love is true, then the old love will naturally become part of the past.\It's not that you can fall in love with someone new because you forgot the old...\It's because you fall in love with someone new that you're able to forget about the old. response:	Only love can heal a heart that was hurt by love.
context: You're sorting them out.\Hey. Do you know how to forget about an old love?\You find a new love.\You should completely immerse yourself in it.\If that new love is true, then the old love will naturally become part of the past.\It's not that you can fall in love with someone new because you forgot the old...\It's because you fall in love with someone new that you're able to forget about the old.\Only love can heal a heart that was hurt by love. response:	Are you...
context: Hey. Do you know how to forget about an old love?\You find a new love.\You should completely immerse yourself in it.\If that new love is true, then the old love will naturally become part of the past.\It's not that you can fall in love with someone new because you forgot the old...\It's because you fall in love with someone new that you're able to forget about the old.\Only love can heal a heart that was hurt by love.\Are you... response:	Who knows?
context: You find a new love.\You should completely immerse yourself in it.\If that new love is true, then the old love will naturally become part of the past.\It's not that you can fall in love with someone new because you forgot the old...\It's because you fall in love with someone new that you're able to forget about the old.\Only love can heal a heart that was hurt by love.\Are you...\Who knows? response:	Think about it and make your decision.
context: You should completely immerse yourself in it.\If that new love is true, then the old love will naturally become part of the past.\It's not that you can fall in love with someone new because you forgot the old...\It's because you fall in love with someone new that you're able to forget about the old.\Only love can heal a heart that was hurt by love.\Are you...\Who knows?\Think about it and make your decision. response:	Whatever you do or don't do, you're the one who always makes the decision.
context: If that new love is true, then the old love will naturally become part of the past.\It's not that you can fall in love with someone new because you forgot the old...\It's because you fall in love with someone new that you're able to forget about the old.\Only love can heal a heart that was hurt by love.\Are you...\Who knows?\Think about it and make your decision.\Whatever you do or don't do, you're the one who always makes the decision. response:	You're the one who always makes the decision...
context: It's not that you can fall in love with someone new because you forgot the old...\It's because you fall in love with someone new that you're able to forget about the old.\Only love can heal a heart that was hurt by love.\Are you...\Who knows?\Think about it and make your decision.\Whatever you do or don't do, you're the one who always makes the decision.\You're the one who always makes the decision... response:	Now, let's see how this all comes to rest.
context: It's because you fall in love with someone new that you're able to forget about the old.\Only love can heal a heart that was hurt by love.\Are you...\Who knows?\Think about it and make your decision.\Whatever you do or don't do, you're the one who always makes the decision.\You're the one who always makes the decision...\Now, let's see how this all comes to rest. response:	Oh... we made enough to pay everyone...
context: Only love can heal a heart that was hurt by love.\Are you...\Who knows?\Think about it and make your decision.\Whatever you do or don't do, you're the one who always makes the decision.\You're the one who always makes the decision...\Now, let's see how this all comes to rest.\Oh... we made enough to pay everyone... response:	I can't believe it, but that ripoff menu produced results...
context: Are you...\Who knows?\Think about it and make your decision.\Whatever you do or don't do, you're the one who always makes the decision.\You're the one who always makes the decision...\Now, let's see how this all comes to rest.\Oh... we made enough to pay everyone...\I can't believe it, but that ripoff menu produced results... response:	Yamamoto-san, you're amazing!
context: Who knows?\Think about it and make your decision.\Whatever you do or don't do, you're the one who always makes the decision.\You're the one who always makes the decision...\Now, let's see how this all comes to rest.\Oh... we made enough to pay everyone...\I can't believe it, but that ripoff menu produced results...\Yamamoto-san, you're amazing! response:	It's all thanks to Yano.
context: Think about it and make your decision.\Whatever you do or don't do, you're the one who always makes the decision.\You're the one who always makes the decision...\Now, let's see how this all comes to rest.\Oh... we made enough to pay everyone...\I can't believe it, but that ripoff menu produced results...\Yamamoto-san, you're amazing!\It's all thanks to Yano. response:	Aren't we going to leave yet?
context: Whatever you do or don't do, you're the one who always makes the decision.\You're the one who always makes the decision...\Now, let's see how this all comes to rest.\Oh... we made enough to pay everyone...\I can't believe it, but that ripoff menu produced results...\Yamamoto-san, you're amazing!\It's all thanks to Yano.\Aren't we going to leave yet? response:	Just wait another ten minutes!
context: You're the one who always makes the decision...\Now, let's see how this all comes to rest.\Oh... we made enough to pay everyone...\I can't believe it, but that ripoff menu produced results...\Yamamoto-san, you're amazing!\It's all thanks to Yano.\Aren't we going to leave yet?\Just wait another ten minutes! response:	They said they're running late because of the traffic.
context: Now, let's see how this all comes to rest.\Oh... we made enough to pay everyone...\I can't believe it, but that ripoff menu produced results...\Yamamoto-san, you're amazing!\It's all thanks to Yano.\Aren't we going to leave yet?\Just wait another ten minutes!\They said they're running late because of the traffic. response:	Hey! Line up, line up!
context: Oh... we made enough to pay everyone...\I can't believe it, but that ripoff menu produced results...\Yamamoto-san, you're amazing!\It's all thanks to Yano.\Aren't we going to leave yet?\Just wait another ten minutes!\They said they're running late because of the traffic.\Hey! Line up, line up! response:	She's still alive within you.
context: I can't believe it, but that ripoff menu produced results...\Yamamoto-san, you're amazing!\It's all thanks to Yano.\Aren't we going to leave yet?\Just wait another ten minutes!\They said they're running late because of the traffic.\Hey! Line up, line up!\She's still alive within you. response:	It's impossible.
context: Yamamoto-san, you're amazing!\It's all thanks to Yano.\Aren't we going to leave yet?\Just wait another ten minutes!\They said they're running late because of the traffic.\Hey! Line up, line up!\She's still alive within you.\It's impossible. response:	I can't make you happy.
context: It's all thanks to Yano.\Aren't we going to leave yet?\Just wait another ten minutes!\They said they're running late because of the traffic.\Hey! Line up, line up!\She's still alive within you.\It's impossible.\I can't make you happy. response:	It's impossible for you.
context: Aren't we going to leave yet?\Just wait another ten minutes!\They said they're running late because of the traffic.\Hey! Line up, line up!\She's still alive within you.\It's impossible.\I can't make you happy.\It's impossible for you. response:	Hey, is it really all right for you to go out with me?
context: Just wait another ten minutes!\They said they're running late because of the traffic.\Hey! Line up, line up!\She's still alive within you.\It's impossible.\I can't make you happy.\It's impossible for you.\Hey, is it really all right for you to go out with me? response:	I'm famous for being the stupid girl.
context: They said they're running late because of the traffic.\Hey! Line up, line up!\She's still alive within you.\It's impossible.\I can't make you happy.\It's impossible for you.\Hey, is it really all right for you to go out with me?\I'm famous for being the stupid girl. response:	Your reputation will take a hit.
context: Hey! Line up, line up!\She's still alive within you.\It's impossible.\I can't make you happy.\It's impossible for you.\Hey, is it really all right for you to go out with me?\I'm famous for being the stupid girl.\Your reputation will take a hit. response:	That's so dumb.
context: She's still alive within you.\It's impossible.\I can't make you happy.\It's impossible for you.\Hey, is it really all right for you to go out with me?\I'm famous for being the stupid girl.\Your reputation will take a hit.\That's so dumb. response:	People who call other people stupid are stupid.
context: It's impossible.\I can't make you happy.\It's impossible for you.\Hey, is it really all right for you to go out with me?\I'm famous for being the stupid girl.\Your reputation will take a hit.\That's so dumb.\People who call other people stupid are stupid. response:	So... you think you're stupid.
context: I can't make you happy.\It's impossible for you.\Hey, is it really all right for you to go out with me?\I'm famous for being the stupid girl.\Your reputation will take a hit.\That's so dumb.\People who call other people stupid are stupid.\So... you think you're stupid. response:	Yeah. I know I am.
context: It's impossible for you.\Hey, is it really all right for you to go out with me?\I'm famous for being the stupid girl.\Your reputation will take a hit.\That's so dumb.\People who call other people stupid are stupid.\So... you think you're stupid.\Yeah. I know I am. response:	You don't know anything.
context: Hey, is it really all right for you to go out with me?\I'm famous for being the stupid girl.\Your reputation will take a hit.\That's so dumb.\People who call other people stupid are stupid.\So... you think you're stupid.\Yeah. I know I am.\You don't know anything. response:	People are truly stupid when they can't even realize their own stupidity.
context: I'm famous for being the stupid girl.\Your reputation will take a hit.\That's so dumb.\People who call other people stupid are stupid.\So... you think you're stupid.\Yeah. I know I am.\You don't know anything.\People are truly stupid when they can't even realize their own stupidity. response:	So don't ever call yourself stupid.
context: Your reputation will take a hit.\That's so dumb.\People who call other people stupid are stupid.\So... you think you're stupid.\Yeah. I know I am.\You don't know anything.\People are truly stupid when they can't even realize their own stupidity.\So don't ever call yourself stupid. response:	Ow! I fell over!
context: That's so dumb.\People who call other people stupid are stupid.\So... you think you're stupid.\Yeah. I know I am.\You don't know anything.\People are truly stupid when they can't even realize their own stupidity.\So don't ever call yourself stupid.\Ow! I fell over! response:	You're so stupid!
context: People who call other people stupid are stupid.\So... you think you're stupid.\Yeah. I know I am.\You don't know anything.\People are truly stupid when they can't even realize their own stupidity.\So don't ever call yourself stupid.\Ow! I fell over!\You're so stupid! response:	People who call other people stupid are stupid!
context: So... you think you're stupid.\Yeah. I know I am.\You don't know anything.\People are truly stupid when they can't even realize their own stupidity.\So don't ever call yourself stupid.\Ow! I fell over!\You're so stupid!\People who call other people stupid are stupid! response:	You turn them into memories.
context: Yeah. I know I am.\You don't know anything.\People are truly stupid when they can't even realize their own stupidity.\So don't ever call yourself stupid.\Ow! I fell over!\You're so stupid!\People who call other people stupid are stupid!\You turn them into memories. response:	The past holds as little reality as your dreams.
context: You don't know anything.\People are truly stupid when they can't even realize their own stupidity.\So don't ever call yourself stupid.\Ow! I fell over!\You're so stupid!\People who call other people stupid are stupid!\You turn them into memories.\The past holds as little reality as your dreams. response:	Hurry and realize that already.
context: People are truly stupid when they can't even realize their own stupidity.\So don't ever call yourself stupid.\Ow! I fell over!\You're so stupid!\People who call other people stupid are stupid!\You turn them into memories.\The past holds as little reality as your dreams.\Hurry and realize that already. response:	And turn her into memories.
context: So don't ever call yourself stupid.\Ow! I fell over!\You're so stupid!\People who call other people stupid are stupid!\You turn them into memories.\The past holds as little reality as your dreams.\Hurry and realize that already.\And turn her into memories. response:	Let go.
context: Ow! I fell over!\You're so stupid!\People who call other people stupid are stupid!\You turn them into memories.\The past holds as little reality as your dreams.\Hurry and realize that already.\And turn her into memories.\Let go. response:	You'll be fine, Yano...
context: You're so stupid!\People who call other people stupid are stupid!\You turn them into memories.\The past holds as little reality as your dreams.\Hurry and realize that already.\And turn her into memories.\Let go.\You'll be fine, Yano... response:	There's a ton of people here again this year!
context: People who call other people stupid are stupid!\You turn them into memories.\The past holds as little reality as your dreams.\Hurry and realize that already.\And turn her into memories.\Let go.\You'll be fine, Yano...\There's a ton of people here again this year! response:	Everyone, let them hear you shout!
context: You turn them into memories.\The past holds as little reality as your dreams.\Hurry and realize that already.\And turn her into memories.\Let go.\You'll be fine, Yano...\There's a ton of people here again this year!\Everyone, let them hear you shout! response:	Hey, you're going too fast!
context: The past holds as little reality as your dreams.\Hurry and realize that already.\And turn her into memories.\Let go.\You'll be fine, Yano...\There's a ton of people here again this year!\Everyone, let them hear you shout!\Hey, you're going too fast! response:	Give some space to the people in front of you!
context: Hurry and realize that already.\And turn her into memories.\Let go.\You'll be fine, Yano...\There's a ton of people here again this year!\Everyone, let them hear you shout!\Hey, you're going too fast!\Give some space to the people in front of you! response:	You're gonna wear yourselves out!
context: And turn her into memories.\Let go.\You'll be fine, Yano...\There's a ton of people here again this year!\Everyone, let them hear you shout!\Hey, you're going too fast!\Give some space to the people in front of you!\You're gonna wear yourselves out! response:	Hey, if it all goes well, I'll treat you to something.
context: Let go.\You'll be fine, Yano...\There's a ton of people here again this year!\Everyone, let them hear you shout!\Hey, you're going too fast!\Give some space to the people in front of you!\You're gonna wear yourselves out!\Hey, if it all goes well, I'll treat you to something. response:	What are you talking about?
context: You'll be fine, Yano...\There's a ton of people here again this year!\Everyone, let them hear you shout!\Hey, you're going too fast!\Give some space to the people in front of you!\You're gonna wear yourselves out!\Hey, if it all goes well, I'll treat you to something.\What are you talking about? response:	You're going to confess, right?
context: There's a ton of people here again this year!\Everyone, let them hear you shout!\Hey, you're going too fast!\Give some space to the people in front of you!\You're gonna wear yourselves out!\Hey, if it all goes well, I'll treat you to something.\What are you talking about?\You're going to confess, right? response:	Honestly, I'm not sure...
context: Everyone, let them hear you shout!\Hey, you're going too fast!\Give some space to the people in front of you!\You're gonna wear yourselves out!\Hey, if it all goes well, I'll treat you to something.\What are you talking about?\You're going to confess, right?\Honestly, I'm not sure... response:	He's been my best friend since elementary school.
context: Hey, you're going too fast!\Give some space to the people in front of you!\You're gonna wear yourselves out!\Hey, if it all goes well, I'll treat you to something.\What are you talking about?\You're going to confess, right?\Honestly, I'm not sure...\He's been my best friend since elementary school. response:	He's more important to me than my family is.
context: Give some space to the people in front of you!\You're gonna wear yourselves out!\Hey, if it all goes well, I'll treat you to something.\What are you talking about?\You're going to confess, right?\Honestly, I'm not sure...\He's been my best friend since elementary school.\He's more important to me than my family is. response:	No one can replace him.
context: You're gonna wear yourselves out!\Hey, if it all goes well, I'll treat you to something.\What are you talking about?\You're going to confess, right?\Honestly, I'm not sure...\He's been my best friend since elementary school.\He's more important to me than my family is.\No one can replace him. response:	So you'll choose friendship over love?
context: Hey, if it all goes well, I'll treat you to something.\What are you talking about?\You're going to confess, right?\Honestly, I'm not sure...\He's been my best friend since elementary school.\He's more important to me than my family is.\No one can replace him.\So you'll choose friendship over love? response:	I don't want to lose either.
context: What are you talking about?\You're going to confess, right?\Honestly, I'm not sure...\He's been my best friend since elementary school.\He's more important to me than my family is.\No one can replace him.\So you'll choose friendship over love?\I don't want to lose either. response:	I wonder if I'm being selfish...
context: You're going to confess, right?\Honestly, I'm not sure...\He's been my best friend since elementary school.\He's more important to me than my family is.\No one can replace him.\So you'll choose friendship over love?\I don't want to lose either.\I wonder if I'm being selfish... response:	But...
context: Honestly, I'm not sure...\He's been my best friend since elementary school.\He's more important to me than my family is.\No one can replace him.\So you'll choose friendship over love?\I don't want to lose either.\I wonder if I'm being selfish...\But... response:	Which is why you'd better treat me to something if I lose my best friend tonight.
context: He's been my best friend since elementary school.\He's more important to me than my family is.\No one can replace him.\So you'll choose friendship over love?\I don't want to lose either.\I wonder if I'm being selfish...\But...\Which is why you'd better treat me to something if I lose my best friend tonight. response:	This year really went by quickly...
context: He's more important to me than my family is.\No one can replace him.\So you'll choose friendship over love?\I don't want to lose either.\I wonder if I'm being selfish...\But...\Which is why you'd better treat me to something if I lose my best friend tonight.\This year really went by quickly... response:	You think so?
context: No one can replace him.\So you'll choose friendship over love?\I don't want to lose either.\I wonder if I'm being selfish...\But...\Which is why you'd better treat me to something if I lose my best friend tonight.\This year really went by quickly...\You think so? response:	Ah, come to think of it, Yano confessed to you on this day last year, didn't he?
context: So you'll choose friendship over love?\I don't want to lose either.\I wonder if I'm being selfish...\But...\Which is why you'd better treat me to something if I lose my best friend tonight.\This year really went by quickly...\You think so?\Ah, come to think of it, Yano confessed to you on this day last year, didn't he? response:	Now that I think about it, it didn't even last a year.
context: I don't want to lose either.\I wonder if I'm being selfish...\But...\Which is why you'd better treat me to something if I lose my best friend tonight.\This year really went by quickly...\You think so?\Ah, come to think of it, Yano confessed to you on this day last year, didn't he?\Now that I think about it, it didn't even last a year. response:	Is it time to rotate yet?
context: I wonder if I'm being selfish...\But...\Which is why you'd better treat me to something if I lose my best friend tonight.\This year really went by quickly...\You think so?\Ah, come to think of it, Yano confessed to you on this day last year, didn't he?\Now that I think about it, it didn't even last a year.\Is it time to rotate yet? response:	Not yet. Wait until the next intersection.
context: But...\Which is why you'd better treat me to something if I lose my best friend tonight.\This year really went by quickly...\You think so?\Ah, come to think of it, Yano confessed to you on this day last year, didn't he?\Now that I think about it, it didn't even last a year.\Is it time to rotate yet?\Not yet. Wait until the next intersection. response:	Yano!
context: Which is why you'd better treat me to something if I lose my best friend tonight.\This year really went by quickly...\You think so?\Ah, come to think of it, Yano confessed to you on this day last year, didn't he?\Now that I think about it, it didn't even last a year.\Is it time to rotate yet?\Not yet. Wait until the next intersection.\Yano! response:	Who's that?
context: This year really went by quickly...\You think so?\Ah, come to think of it, Yano confessed to you on this day last year, didn't he?\Now that I think about it, it didn't even last a year.\Is it time to rotate yet?\Not yet. Wait until the next intersection.\Yano!\Who's that? response:	My old friends from middle school. They must've been bored tonight.
