context: What happened?! response:	How are Bellows and the others?! What about the pirates?!
context: Here it comes!\The Crocodile's on fire!\The Grach has reversed course! Are they tryin' to get away on their own?!\Everyone should be getting here about now.\We'd better get ready as well.\Aye, sir!\Something's over there!\Light it up! response:	Pirates!
context: The Crocodile's on fire!\The Grach has reversed course! Are they tryin' to get away on their own?!\Everyone should be getting here about now.\We'd better get ready as well.\Aye, sir!\Something's over there!\Light it up!\Pirates! response:	Pirate attack!
context: The Grach has reversed course! Are they tryin' to get away on their own?!\Everyone should be getting here about now.\We'd better get ready as well.\Aye, sir!\Something's over there!\Light it up!\Pirates!\Pirate attack! response:	Citizens, evacuate to starboard!
context: Everyone should be getting here about now.\We'd better get ready as well.\Aye, sir!\Something's over there!\Light it up!\Pirates!\Pirate attack!\Citizens, evacuate to starboard! response:	Fire!
context: We'd better get ready as well.\Aye, sir!\Something's over there!\Light it up!\Pirates!\Pirate attack!\Citizens, evacuate to starboard!\Fire! response:	Move our Yunboros out, too!
context: Aye, sir!\Something's over there!\Light it up!\Pirates!\Pirate attack!\Citizens, evacuate to starboard!\Fire!\Move our Yunboros out, too! response:	Send the guards up top!
context: Something's over there!\Light it up!\Pirates!\Pirate attack!\Citizens, evacuate to starboard!\Fire!\Move our Yunboros out, too!\Send the guards up top! response:	Warning: The Gargantia is being invaded by enemy armored troops.
context: Light it up!\Pirates!\Pirate attack!\Citizens, evacuate to starboard!\Fire!\Move our Yunboros out, too!\Send the guards up top!\Warning: The Gargantia is being invaded by enemy armored troops. response:	When did they get here?!
context: Pirates!\Pirate attack!\Citizens, evacuate to starboard!\Fire!\Move our Yunboros out, too!\Send the guards up top!\Warning: The Gargantia is being invaded by enemy armored troops.\When did they get here?! response:	You're not the only one with a special Yunboroid.
context: Pirate attack!\Citizens, evacuate to starboard!\Fire!\Move our Yunboros out, too!\Send the guards up top!\Warning: The Gargantia is being invaded by enemy armored troops.\When did they get here?!\You're not the only one with a special Yunboroid. response:	Empress Lukkage is gonna attack!
context: Citizens, evacuate to starboard!\Fire!\Move our Yunboros out, too!\Send the guards up top!\Warning: The Gargantia is being invaded by enemy armored troops.\When did they get here?!\You're not the only one with a special Yunboroid.\Empress Lukkage is gonna attack! response:	I haven't seen Empress Lukkage's Lobster in a long time!
context: Fire!\Move our Yunboros out, too!\Send the guards up top!\Warning: The Gargantia is being invaded by enemy armored troops.\When did they get here?!\You're not the only one with a special Yunboroid.\Empress Lukkage is gonna attack!\I haven't seen Empress Lukkage's Lobster in a long time! response:	The Surfing Lobster...
context: Move our Yunboros out, too!\Send the guards up top!\Warning: The Gargantia is being invaded by enemy armored troops.\When did they get here?!\You're not the only one with a special Yunboroid.\Empress Lukkage is gonna attack!\I haven't seen Empress Lukkage's Lobster in a long time!\The Surfing Lobster... response:	It's heading for the Gargantia!
context: Send the guards up top!\Warning: The Gargantia is being invaded by enemy armored troops.\When did they get here?!\You're not the only one with a special Yunboroid.\Empress Lukkage is gonna attack!\I haven't seen Empress Lukkage's Lobster in a long time!\The Surfing Lobster...\It's heading for the Gargantia! response:	All nearby Heavy Yunboros, aim for that and fire!
context: Warning: The Gargantia is being invaded by enemy armored troops.\When did they get here?!\You're not the only one with a special Yunboroid.\Empress Lukkage is gonna attack!\I haven't seen Empress Lukkage's Lobster in a long time!\The Surfing Lobster...\It's heading for the Gargantia!\All nearby Heavy Yunboros, aim for that and fire! response:	She's getting through!
context: When did they get here?!\You're not the only one with a special Yunboroid.\Empress Lukkage is gonna attack!\I haven't seen Empress Lukkage's Lobster in a long time!\The Surfing Lobster...\It's heading for the Gargantia!\All nearby Heavy Yunboros, aim for that and fire!\She's getting through! response:	Dammit!
context: You're not the only one with a special Yunboroid.\Empress Lukkage is gonna attack!\I haven't seen Empress Lukkage's Lobster in a long time!\The Surfing Lobster...\It's heading for the Gargantia!\All nearby Heavy Yunboros, aim for that and fire!\She's getting through!\Dammit! response:	What's happening?!
context: Empress Lukkage is gonna attack!\I haven't seen Empress Lukkage's Lobster in a long time!\The Surfing Lobster...\It's heading for the Gargantia!\All nearby Heavy Yunboros, aim for that and fire!\She's getting through!\Dammit!\What's happening?! response:	Looks like Lukkage just crashed into the superstructure!
context: I haven't seen Empress Lukkage's Lobster in a long time!\The Surfing Lobster...\It's heading for the Gargantia!\All nearby Heavy Yunboros, aim for that and fire!\She's getting through!\Dammit!\What's happening?!\Looks like Lukkage just crashed into the superstructure! response:	What?!
context: The Surfing Lobster...\It's heading for the Gargantia!\All nearby Heavy Yunboros, aim for that and fire!\She's getting through!\Dammit!\What's happening?!\Looks like Lukkage just crashed into the superstructure!\What?! response:	She's climbing!
context: It's heading for the Gargantia!\All nearby Heavy Yunboros, aim for that and fire!\She's getting through!\Dammit!\What's happening?!\Looks like Lukkage just crashed into the superstructure!\What?!\She's climbing! response:	Send the garrison to superstructure one!
context: All nearby Heavy Yunboros, aim for that and fire!\She's getting through!\Dammit!\What's happening?!\Looks like Lukkage just crashed into the superstructure!\What?!\She's climbing!\Send the garrison to superstructure one! response:	Everyone evacuate.
context: She's getting through!\Dammit!\What's happening?!\Looks like Lukkage just crashed into the superstructure!\What?!\She's climbing!\Send the garrison to superstructure one!\Everyone evacuate. response:	I'm the one she wants.
context: Dammit!\What's happening?!\Looks like Lukkage just crashed into the superstructure!\What?!\She's climbing!\Send the garrison to superstructure one!\Everyone evacuate.\I'm the one she wants. response:	Fleet Commander!
context: What's happening?!\Looks like Lukkage just crashed into the superstructure!\What?!\She's climbing!\Send the garrison to superstructure one!\Everyone evacuate.\I'm the one she wants.\Fleet Commander! response:	I wonder where Fleet Commander Fairlock is...
context: Looks like Lukkage just crashed into the superstructure!\What?!\She's climbing!\Send the garrison to superstructure one!\Everyone evacuate.\I'm the one she wants.\Fleet Commander!\I wonder where Fleet Commander Fairlock is... response:	I'm anxious to crush him.
context: What?!\She's climbing!\Send the garrison to superstructure one!\Everyone evacuate.\I'm the one she wants.\Fleet Commander!\I wonder where Fleet Commander Fairlock is...\I'm anxious to crush him. response:	Oh, my... You suddenly embrace a lady from behind...
context: She's climbing!\Send the garrison to superstructure one!\Everyone evacuate.\I'm the one she wants.\Fleet Commander!\I wonder where Fleet Commander Fairlock is...\I'm anxious to crush him.\Oh, my... You suddenly embrace a lady from behind... response:	But I don't have anything against an aggressive man.
context: Send the garrison to superstructure one!\Everyone evacuate.\I'm the one she wants.\Fleet Commander!\I wonder where Fleet Commander Fairlock is...\I'm anxious to crush him.\Oh, my... You suddenly embrace a lady from behind...\But I don't have anything against an aggressive man. response:	What's she trying to do?!
context: Everyone evacuate.\I'm the one she wants.\Fleet Commander!\I wonder where Fleet Commander Fairlock is...\I'm anxious to crush him.\Oh, my... You suddenly embrace a lady from behind...\But I don't have anything against an aggressive man.\What's she trying to do?! response:	Gung ho!
context: I'm the one she wants.\Fleet Commander!\I wonder where Fleet Commander Fairlock is...\I'm anxious to crush him.\Oh, my... You suddenly embrace a lady from behind...\But I don't have anything against an aggressive man.\What's she trying to do?!\Gung ho! response:	Semper fi!
context: Fleet Commander!\I wonder where Fleet Commander Fairlock is...\I'm anxious to crush him.\Oh, my... You suddenly embrace a lady from behind...\But I don't have anything against an aggressive man.\What's she trying to do?!\Gung ho!\Semper fi! response:	Sorry to keep you waiting!
context: I wonder where Fleet Commander Fairlock is...\I'm anxious to crush him.\Oh, my... You suddenly embrace a lady from behind...\But I don't have anything against an aggressive man.\What's she trying to do?!\Gung ho!\Semper fi!\Sorry to keep you waiting! response:	It seems you're good at flying, but how are you in the water?
context: I'm anxious to crush him.\Oh, my... You suddenly embrace a lady from behind...\But I don't have anything against an aggressive man.\What's she trying to do?!\Gung ho!\Semper fi!\Sorry to keep you waiting!\It seems you're good at flying, but how are you in the water? response:	Wha...?!
context: Oh, my... You suddenly embrace a lady from behind...\But I don't have anything against an aggressive man.\What's she trying to do?!\Gung ho!\Semper fi!\Sorry to keep you waiting!\It seems you're good at flying, but how are you in the water?\Wha...?! response:	I don't believe this...
context: But I don't have anything against an aggressive man.\What's she trying to do?!\Gung ho!\Semper fi!\Sorry to keep you waiting!\It seems you're good at flying, but how are you in the water?\Wha...?!\I don't believe this... response:	This can't be...
context: What's she trying to do?!\Gung ho!\Semper fi!\Sorry to keep you waiting!\It seems you're good at flying, but how are you in the water?\Wha...?!\I don't believe this...\This can't be... response:	Warning to the invading enemy: Surrender immediately.
context: Gung ho!\Semper fi!\Sorry to keep you waiting!\It seems you're good at flying, but how are you in the water?\Wha...?!\I don't believe this...\This can't be...\Warning to the invading enemy: Surrender immediately. response:	Surrender?! Lukkage?!
context: Semper fi!\Sorry to keep you waiting!\It seems you're good at flying, but how are you in the water?\Wha...?!\I don't believe this...\This can't be...\Warning to the invading enemy: Surrender immediately.\Surrender?! Lukkage?! response:	She's not giving me much choice...
context: Sorry to keep you waiting!\It seems you're good at flying, but how are you in the water?\Wha...?!\I don't believe this...\This can't be...\Warning to the invading enemy: Surrender immediately.\Surrender?! Lukkage?!\She's not giving me much choice... response:	Repeat: Surrender.
context: It seems you're good at flying, but how are you in the water?\Wha...?!\I don't believe this...\This can't be...\Warning to the invading enemy: Surrender immediately.\Surrender?! Lukkage?!\She's not giving me much choice...\Repeat: Surrender. response:	The safety of your lives is guaranteed.
context: Wha...?!\I don't believe this...\This can't be...\Warning to the invading enemy: Surrender immediately.\Surrender?! Lukkage?!\She's not giving me much choice...\Repeat: Surrender.\The safety of your lives is guaranteed. response:	What a bore you are! No matter how many times you say it, I'll never...
context: I don't believe this...\This can't be...\Warning to the invading enemy: Surrender immediately.\Surrender?! Lukkage?!\She's not giving me much choice...\Repeat: Surrender.\The safety of your lives is guaranteed.\What a bore you are! No matter how many times you say it, I'll never... response:	Hey!
context: This can't be...\Warning to the invading enemy: Surrender immediately.\Surrender?! Lukkage?!\She's not giving me much choice...\Repeat: Surrender.\The safety of your lives is guaranteed.\What a bore you are! No matter how many times you say it, I'll never...\Hey! response:	Surrender. Surrender. Surrender immediately.
context: Warning to the invading enemy: Surrender immediately.\Surrender?! Lukkage?!\She's not giving me much choice...\Repeat: Surrender.\The safety of your lives is guaranteed.\What a bore you are! No matter how many times you say it, I'll never...\Hey!\Surrender. Surrender. Surrender immediately. response:	Repeat: Surrender.
context: Surrender?! Lukkage?!\She's not giving me much choice...\Repeat: Surrender.\The safety of your lives is guaranteed.\What a bore you are! No matter how many times you say it, I'll never...\Hey!\Surrender. Surrender. Surrender immediately.\Repeat: Surrender. response:	Go... to hell...
context: She's not giving me much choice...\Repeat: Surrender.\The safety of your lives is guaranteed.\What a bore you are! No matter how many times you say it, I'll never...\Hey!\Surrender. Surrender. Surrender immediately.\Repeat: Surrender.\Go... to hell... response:	I'll never surrender... even if it... kills me...
context: Repeat: Surrender.\The safety of your lives is guaranteed.\What a bore you are! No matter how many times you say it, I'll never...\Hey!\Surrender. Surrender. Surrender immediately.\Repeat: Surrender.\Go... to hell...\I'll never surrender... even if it... kills me... response:	Oh, crap! Pull out!
context: The safety of your lives is guaranteed.\What a bore you are! No matter how many times you say it, I'll never...\Hey!\Surrender. Surrender. Surrender immediately.\Repeat: Surrender.\Go... to hell...\I'll never surrender... even if it... kills me...\Oh, crap! Pull out! response:	W-Wait!
context: What a bore you are! No matter how many times you say it, I'll never...\Hey!\Surrender. Surrender. Surrender immediately.\Repeat: Surrender.\Go... to hell...\I'll never surrender... even if it... kills me...\Oh, crap! Pull out!\W-Wait! response:	That kid did it...
context: Hey!\Surrender. Surrender. Surrender immediately.\Repeat: Surrender.\Go... to hell...\I'll never surrender... even if it... kills me...\Oh, crap! Pull out!\W-Wait!\That kid did it... response:	Thank you!
context: Surrender. Surrender. Surrender immediately.\Repeat: Surrender.\Go... to hell...\I'll never surrender... even if it... kills me...\Oh, crap! Pull out!\W-Wait!\That kid did it...\Thank you! response:	Thank you!
context: Repeat: Surrender.\Go... to hell...\I'll never surrender... even if it... kills me...\Oh, crap! Pull out!\W-Wait!\That kid did it...\Thank you!\Thank you! response:	I keep hearing that word.
context: Go... to hell...\I'll never surrender... even if it... kills me...\Oh, crap! Pull out!\W-Wait!\That kid did it...\Thank you!\Thank you!\I keep hearing that word. response:	It is an idiom denoting gratitude.
context: I'll never surrender... even if it... kills me...\Oh, crap! Pull out!\W-Wait!\That kid did it...\Thank you!\Thank you!\I keep hearing that word.\It is an idiom denoting gratitude. response:	Gratitude...
context: Oh, crap! Pull out!\W-Wait!\That kid did it...\Thank you!\Thank you!\I keep hearing that word.\It is an idiom denoting gratitude.\Gratitude... response:	I see. He did well...
context: W-Wait!\That kid did it...\Thank you!\Thank you!\I keep hearing that word.\It is an idiom denoting gratitude.\Gratitude...\I see. He did well... response:	How do you intend to deal with the boy?
context: That kid did it...\Thank you!\Thank you!\I keep hearing that word.\It is an idiom denoting gratitude.\Gratitude...\I see. He did well...\How do you intend to deal with the boy? response:	I wonder what Chevron would have done...
context: Thank you!\Thank you!\I keep hearing that word.\It is an idiom denoting gratitude.\Gratitude...\I see. He did well...\How do you intend to deal with the boy?\I wonder what Chevron would have done... response:	My father?
context: Thank you!\I keep hearing that word.\It is an idiom denoting gratitude.\Gratitude...\I see. He did well...\How do you intend to deal with the boy?\I wonder what Chevron would have done...\My father? response:	I'm going to let you decide.
context: I keep hearing that word.\It is an idiom denoting gratitude.\Gratitude...\I see. He did well...\How do you intend to deal with the boy?\I wonder what Chevron would have done...\My father?\I'm going to let you decide. response:	Good job!
context: It is an idiom denoting gratitude.\Gratitude...\I see. He did well...\How do you intend to deal with the boy?\I wonder what Chevron would have done...\My father?\I'm going to let you decide.\Good job! response:	I'll cook you a special dinner tonight, too!
context: Gratitude...\I see. He did well...\How do you intend to deal with the boy?\I wonder what Chevron would have done...\My father?\I'm going to let you decide.\Good job!\I'll cook you a special dinner tonight, too! response:	Thank you...
