context: Pathetic! response:	Fairy Tail used to be on top! What the hell happened?! Every last one of them...
context: Wild...\In second place, Blacksnake of Raven Tail!\In third, Risley! In fourth, Yuuka! In fifth, Ichiya!\All that's left are these three, battling it out at the bottom ranks!\I-I don't believe this...\I never had any problem with transportation before...\Well...\Congratulations to the... response:	Newbie...
context: In second place, Blacksnake of Raven Tail!\In third, Risley! In fourth, Yuuka! In fifth, Ichiya!\All that's left are these three, battling it out at the bottom ranks!\I-I don't believe this...\I never had any problem with transportation before...\Well...\Congratulations to the...\Newbie... response:	Why, you...!
context: In third, Risley! In fourth, Yuuka! In fifth, Ichiya!\All that's left are these three, battling it out at the bottom ranks!\I-I don't believe this...\I never had any problem with transportation before...\Well...\Congratulations to the...\Newbie...\Why, you...! response:	Can't muster any power...
context: All that's left are these three, battling it out at the bottom ranks!\I-I don't believe this...\I never had any problem with transportation before...\Well...\Congratulations to the...\Newbie...\Why, you...!\Can't muster any power... response:	Natsu!
context: I-I don't believe this...\I never had any problem with transportation before...\Well...\Congratulations to the...\Newbie...\Why, you...!\Can't muster any power...\Natsu! response:	Gajeel!
context: I never had any problem with transportation before...\Well...\Congratulations to the...\Newbie...\Why, you...!\Can't muster any power...\Natsu!\Gajeel! response:	Is this what he meant by making it fun?
context: Well...\Congratulations to the...\Newbie...\Why, you...!\Can't muster any power...\Natsu!\Gajeel!\Is this what he meant by making it fun? response:	He's not trying to be funny, right, Rogue?
context: Congratulations to the...\Newbie...\Why, you...!\Can't muster any power...\Natsu!\Gajeel!\Is this what he meant by making it fun?\He's not trying to be funny, right, Rogue? response:	Dragon Slayers get motion sick on vehicles...
context: Newbie...\Why, you...!\Can't muster any power...\Natsu!\Gajeel!\Is this what he meant by making it fun?\He's not trying to be funny, right, Rogue?\Dragon Slayers get motion sick on vehicles... response:	I thought it was just Sting and me...
context: Why, you...!\Can't muster any power...\Natsu!\Gajeel!\Is this what he meant by making it fun?\He's not trying to be funny, right, Rogue?\Dragon Slayers get motion sick on vehicles...\I thought it was just Sting and me... response:	Maybe Laxus, too...?
context: Can't muster any power...\Natsu!\Gajeel!\Is this what he meant by making it fun?\He's not trying to be funny, right, Rogue?\Dragon Slayers get motion sick on vehicles...\I thought it was just Sting and me...\Maybe Laxus, too...? response:	Don't tell anybody.
context: Natsu!\Gajeel!\Is this what he meant by making it fun?\He's not trying to be funny, right, Rogue?\Dragon Slayers get motion sick on vehicles...\I thought it was just Sting and me...\Maybe Laxus, too...?\Don't tell anybody. response:	I think it's obvious by this point.
context: Gajeel!\Is this what he meant by making it fun?\He's not trying to be funny, right, Rogue?\Dragon Slayers get motion sick on vehicles...\I thought it was just Sting and me...\Maybe Laxus, too...?\Don't tell anybody.\I think it's obvious by this point. response:	Move...
context: Is this what he meant by making it fun?\He's not trying to be funny, right, Rogue?\Dragon Slayers get motion sick on vehicles...\I thought it was just Sting and me...\Maybe Laxus, too...?\Don't tell anybody.\I think it's obvious by this point.\Move... response:	Lame...
context: He's not trying to be funny, right, Rogue?\Dragon Slayers get motion sick on vehicles...\I thought it was just Sting and me...\Maybe Laxus, too...?\Don't tell anybody.\I think it's obvious by this point.\Move...\Lame... response:	You're totally serious
context: Dragon Slayers get motion sick on vehicles...\I thought it was just Sting and me...\Maybe Laxus, too...?\Don't tell anybody.\I think it's obvious by this point.\Move...\Lame...\You're totally serious response:	even though you can't draw on any power...
context: I thought it was just Sting and me...\Maybe Laxus, too...?\Don't tell anybody.\I think it's obvious by this point.\Move...\Lame...\You're totally serious\even though you can't draw on any power... response:	Go ahead.
context: Maybe Laxus, too...?\Don't tell anybody.\I think it's obvious by this point.\Move...\Lame...\You're totally serious\even though you can't draw on any power...\Go ahead. response:	I'll give this match to you.
context: Don't tell anybody.\I think it's obvious by this point.\Move...\Lame...\You're totally serious\even though you can't draw on any power...\Go ahead.\I'll give this match to you. response:	After this one, we're gonna keep winning anyway.
context: I think it's obvious by this point.\Move...\Lame...\You're totally serious\even though you can't draw on any power...\Go ahead.\I'll give this match to you.\After this one, we're gonna keep winning anyway. response:	We're not gonna miss one or two points.
context: Move...\Lame...\You're totally serious\even though you can't draw on any power...\Go ahead.\I'll give this match to you.\After this one, we're gonna keep winning anyway.\We're not gonna miss one or two points. response:	Don't cry about that one point later, kid!
context: Lame...\You're totally serious\even though you can't draw on any power...\Go ahead.\I'll give this match to you.\After this one, we're gonna keep winning anyway.\We're not gonna miss one or two points.\Don't cry about that one point later, kid! response:	Would you answer me one thing?
context: You're totally serious\even though you can't draw on any power...\Go ahead.\I'll give this match to you.\After this one, we're gonna keep winning anyway.\We're not gonna miss one or two points.\Don't cry about that one point later, kid!\Would you answer me one thing? response:	Why did you decide to participate in the tournament?
context: even though you can't draw on any power...\Go ahead.\I'll give this match to you.\After this one, we're gonna keep winning anyway.\We're not gonna miss one or two points.\Don't cry about that one point later, kid!\Would you answer me one thing?\Why did you decide to participate in the tournament? response:	I wouldn't believe you were the same Fairy Tail from back in the day.
context: Go ahead.\I'll give this match to you.\After this one, we're gonna keep winning anyway.\We're not gonna miss one or two points.\Don't cry about that one point later, kid!\Would you answer me one thing?\Why did you decide to participate in the tournament?\I wouldn't believe you were the same Fairy Tail from back in the day. response:	Are you worried about the strength of your guild? About your public image?
context: I'll give this match to you.\After this one, we're gonna keep winning anyway.\We're not gonna miss one or two points.\Don't cry about that one point later, kid!\Would you answer me one thing?\Why did you decide to participate in the tournament?\I wouldn't believe you were the same Fairy Tail from back in the day.\Are you worried about the strength of your guild? About your public image? response:	The Fairy Tail that I know
context: After this one, we're gonna keep winning anyway.\We're not gonna miss one or two points.\Don't cry about that one point later, kid!\Would you answer me one thing?\Why did you decide to participate in the tournament?\I wouldn't believe you were the same Fairy Tail from back in the day.\Are you worried about the strength of your guild? About your public image?\The Fairy Tail that I know response:	were more like... They did everything at their own pace...
context: We're not gonna miss one or two points.\Don't cry about that one point later, kid!\Would you answer me one thing?\Why did you decide to participate in the tournament?\I wouldn't believe you were the same Fairy Tail from back in the day.\Are you worried about the strength of your guild? About your public image?\The Fairy Tail that I know\were more like... They did everything at their own pace... response:	They didn't give a damn about what people thought of them.
context: Don't cry about that one point later, kid!\Would you answer me one thing?\Why did you decide to participate in the tournament?\I wouldn't believe you were the same Fairy Tail from back in the day.\Are you worried about the strength of your guild? About your public image?\The Fairy Tail that I know\were more like... They did everything at their own pace...\They didn't give a damn about what people thought of them. response:	For... their friends...
context: Would you answer me one thing?\Why did you decide to participate in the tournament?\I wouldn't believe you were the same Fairy Tail from back in the day.\Are you worried about the strength of your guild? About your public image?\The Fairy Tail that I know\were more like... They did everything at their own pace...\They didn't give a damn about what people thought of them.\For... their friends... response:	Seven years...
context: Why did you decide to participate in the tournament?\I wouldn't believe you were the same Fairy Tail from back in the day.\Are you worried about the strength of your guild? About your public image?\The Fairy Tail that I know\were more like... They did everything at their own pace...\They didn't give a damn about what people thought of them.\For... their friends...\Seven years... response:	All that time...
context: I wouldn't believe you were the same Fairy Tail from back in the day.\Are you worried about the strength of your guild? About your public image?\The Fairy Tail that I know\were more like... They did everything at their own pace...\They didn't give a damn about what people thought of them.\For... their friends...\Seven years...\All that time... response:	No matter how painful it was...
context: Are you worried about the strength of your guild? About your public image?\The Fairy Tail that I know\were more like... They did everything at their own pace...\They didn't give a damn about what people thought of them.\For... their friends...\Seven years...\All that time...\No matter how painful it was... response:	No matter how sad...
context: The Fairy Tail that I know\were more like... They did everything at their own pace...\They didn't give a damn about what people thought of them.\For... their friends...\Seven years...\All that time...\No matter how painful it was...\No matter how sad... response:	Even if people made fun of'em...
context: were more like... They did everything at their own pace...\They didn't give a damn about what people thought of them.\For... their friends...\Seven years...\All that time...\No matter how painful it was...\No matter how sad...\Even if people made fun of'em... response:	They protected the guild...
context: They didn't give a damn about what people thought of them.\For... their friends...\Seven years...\All that time...\No matter how painful it was...\No matter how sad...\Even if people made fun of'em...\They protected the guild... response:	And now we're gonna show everyone...
context: For... their friends...\Seven years...\All that time...\No matter how painful it was...\No matter how sad...\Even if people made fun of'em...\They protected the guild...\And now we're gonna show everyone... response:	So keep on goin'!
context: Seven years...\All that time...\No matter how painful it was...\No matter how sad...\Even if people made fun of'em...\They protected the guild...\And now we're gonna show everyone...\So keep on goin'! response:	Natsu...
context: All that time...\No matter how painful it was...\No matter how sad...\Even if people made fun of'em...\They protected the guild...\And now we're gonna show everyone...\So keep on goin'!\Natsu... response:	Goal!
context: No matter how painful it was...\No matter how sad...\Even if people made fun of'em...\They protected the guild...\And now we're gonna show everyone...\So keep on goin'!\Natsu...\Goal! response:	Natsu of Fairy Tail A, 2 points for being in sixth place!
context: No matter how sad...\Even if people made fun of'em...\They protected the guild...\And now we're gonna show everyone...\So keep on goin'!\Natsu...\Goal!\Natsu of Fairy Tail A, 2 points for being in sixth place! response:	I got our first points!
context: Even if people made fun of'em...\They protected the guild...\And now we're gonna show everyone...\So keep on goin'!\Natsu...\Goal!\Natsu of Fairy Tail A, 2 points for being in sixth place!\I got our first points! response:	Gajeel of Fairy Tail B, 1 point for seventh place!
context: They protected the guild...\And now we're gonna show everyone...\So keep on goin'!\Natsu...\Goal!\Natsu of Fairy Tail A, 2 points for being in sixth place!\I got our first points!\Gajeel of Fairy Tail B, 1 point for seventh place! response:	They're tenacious, I'll give'em that!
context: And now we're gonna show everyone...\So keep on goin'!\Natsu...\Goal!\Natsu of Fairy Tail A, 2 points for being in sixth place!\I got our first points!\Gajeel of Fairy Tail B, 1 point for seventh place!\They're tenacious, I'll give'em that! response:	Yeah. Wow...
context: So keep on goin'!\Natsu...\Goal!\Natsu of Fairy Tail A, 2 points for being in sixth place!\I got our first points!\Gajeel of Fairy Tail B, 1 point for seventh place!\They're tenacious, I'll give'em that!\Yeah. Wow... response:	Who are those guys?!
context: Natsu...\Goal!\Natsu of Fairy Tail A, 2 points for being in sixth place!\I got our first points!\Gajeel of Fairy Tail B, 1 point for seventh place!\They're tenacious, I'll give'em that!\Yeah. Wow...\Who are those guys?! response:	Fairy Tail, huh? I kinda liked that...
context: Goal!\Natsu of Fairy Tail A, 2 points for being in sixth place!\I got our first points!\Gajeel of Fairy Tail B, 1 point for seventh place!\They're tenacious, I'll give'em that!\Yeah. Wow...\Who are those guys?!\Fairy Tail, huh? I kinda liked that... response:	I'm a little touched...
context: Natsu of Fairy Tail A, 2 points for being in sixth place!\I got our first points!\Gajeel of Fairy Tail B, 1 point for seventh place!\They're tenacious, I'll give'em that!\Yeah. Wow...\Who are those guys?!\Fairy Tail, huh? I kinda liked that...\I'm a little touched... response:	I think I might cheer them on...
context: I got our first points!\Gajeel of Fairy Tail B, 1 point for seventh place!\They're tenacious, I'll give'em that!\Yeah. Wow...\Who are those guys?!\Fairy Tail, huh? I kinda liked that...\I'm a little touched...\I think I might cheer them on... response:	Good going, Fairy Tail!
context: Gajeel of Fairy Tail B, 1 point for seventh place!\They're tenacious, I'll give'em that!\Yeah. Wow...\Who are those guys?!\Fairy Tail, huh? I kinda liked that...\I'm a little touched...\I think I might cheer them on...\Good going, Fairy Tail! response:	I'm gonna be rooting for you guys from now on!
context: They're tenacious, I'll give'em that!\Yeah. Wow...\Who are those guys?!\Fairy Tail, huh? I kinda liked that...\I'm a little touched...\I think I might cheer them on...\Good going, Fairy Tail!\I'm gonna be rooting for you guys from now on! response:	And Sabertooth's Sting gets 0 points for dropping out!
context: Yeah. Wow...\Who are those guys?!\Fairy Tail, huh? I kinda liked that...\I'm a little touched...\I think I might cheer them on...\Good going, Fairy Tail!\I'm gonna be rooting for you guys from now on!\And Sabertooth's Sting gets 0 points for dropping out! response:	For their friends?
context: Who are those guys?!\Fairy Tail, huh? I kinda liked that...\I'm a little touched...\I think I might cheer them on...\Good going, Fairy Tail!\I'm gonna be rooting for you guys from now on!\And Sabertooth's Sting gets 0 points for dropping out!\For their friends? response:	What nonsense...
context: Fairy Tail, huh? I kinda liked that...\I'm a little touched...\I think I might cheer them on...\Good going, Fairy Tail!\I'm gonna be rooting for you guys from now on!\And Sabertooth's Sting gets 0 points for dropping out!\For their friends?\What nonsense... response:	Alright, now Raven Tail is in first place!
context: I'm a little touched...\I think I might cheer them on...\Good going, Fairy Tail!\I'm gonna be rooting for you guys from now on!\And Sabertooth's Sting gets 0 points for dropping out!\For their friends?\What nonsense...\Alright, now Raven Tail is in first place! response:	Cool!
context: I think I might cheer them on...\Good going, Fairy Tail!\I'm gonna be rooting for you guys from now on!\And Sabertooth's Sting gets 0 points for dropping out!\For their friends?\What nonsense...\Alright, now Raven Tail is in first place!\Cool! response:	Sabertooth has dropped to second place!
context: Good going, Fairy Tail!\I'm gonna be rooting for you guys from now on!\And Sabertooth's Sting gets 0 points for dropping out!\For their friends?\What nonsense...\Alright, now Raven Tail is in first place!\Cool!\Sabertooth has dropped to second place! response:	Sabertooth is in second?!
context: I'm gonna be rooting for you guys from now on!\And Sabertooth's Sting gets 0 points for dropping out!\For their friends?\What nonsense...\Alright, now Raven Tail is in first place!\Cool!\Sabertooth has dropped to second place!\Sabertooth is in second?! response:	I think it's Sting's fault...
context: And Sabertooth's Sting gets 0 points for dropping out!\For their friends?\What nonsense...\Alright, now Raven Tail is in first place!\Cool!\Sabertooth has dropped to second place!\Sabertooth is in second?!\I think it's Sting's fault... response:	Is Natsu okay?
context: For their friends?\What nonsense...\Alright, now Raven Tail is in first place!\Cool!\Sabertooth has dropped to second place!\Sabertooth is in second?!\I think it's Sting's fault...\Is Natsu okay? response:	There's nothing to worry about with him.
context: What nonsense...\Alright, now Raven Tail is in first place!\Cool!\Sabertooth has dropped to second place!\Sabertooth is in second?!\I think it's Sting's fault...\Is Natsu okay?\There's nothing to worry about with him. response:	He just has motion sickness.
context: Alright, now Raven Tail is in first place!\Cool!\Sabertooth has dropped to second place!\Sabertooth is in second?!\I think it's Sting's fault...\Is Natsu okay?\There's nothing to worry about with him.\He just has motion sickness. response:	What about Wendy?
context: Cool!\Sabertooth has dropped to second place!\Sabertooth is in second?!\I think it's Sting's fault...\Is Natsu okay?\There's nothing to worry about with him.\He just has motion sickness.\What about Wendy? response:	She's recovered a lot.
context: Sabertooth has dropped to second place!\Sabertooth is in second?!\I think it's Sting's fault...\Is Natsu okay?\There's nothing to worry about with him.\He just has motion sickness.\What about Wendy?\She's recovered a lot. response:	Are you back to normal, Carla?
context: Sabertooth is in second?!\I think it's Sting's fault...\Is Natsu okay?\There's nothing to worry about with him.\He just has motion sickness.\What about Wendy?\She's recovered a lot.\Are you back to normal, Carla? response:	Yes...
context: I think it's Sting's fault...\Is Natsu okay?\There's nothing to worry about with him.\He just has motion sickness.\What about Wendy?\She's recovered a lot.\Are you back to normal, Carla?\Yes... response:	Well, thank goodness for that!
context: Is Natsu okay?\There's nothing to worry about with him.\He just has motion sickness.\What about Wendy?\She's recovered a lot.\Are you back to normal, Carla?\Yes...\Well, thank goodness for that! response:	Everyone's waiting, so I'll be going.
context: There's nothing to worry about with him.\He just has motion sickness.\What about Wendy?\She's recovered a lot.\Are you back to normal, Carla?\Yes...\Well, thank goodness for that!\Everyone's waiting, so I'll be going. response:	You don't intend to say anything?
context: He just has motion sickness.\What about Wendy?\She's recovered a lot.\Are you back to normal, Carla?\Yes...\Well, thank goodness for that!\Everyone's waiting, so I'll be going.\You don't intend to say anything? response:	What good would telling her about that future do?
context: What about Wendy?\She's recovered a lot.\Are you back to normal, Carla?\Yes...\Well, thank goodness for that!\Everyone's waiting, so I'll be going.\You don't intend to say anything?\What good would telling her about that future do? response:	There's no way she would believe me.
context: She's recovered a lot.\Are you back to normal, Carla?\Yes...\Well, thank goodness for that!\Everyone's waiting, so I'll be going.\You don't intend to say anything?\What good would telling her about that future do?\There's no way she would believe me. response:	When you don't believe it yourself,
context: Are you back to normal, Carla?\Yes...\Well, thank goodness for that!\Everyone's waiting, so I'll be going.\You don't intend to say anything?\What good would telling her about that future do?\There's no way she would believe me.\When you don't believe it yourself, response:	certainly other people wouldn't believe it.
context: Yes...\Well, thank goodness for that!\Everyone's waiting, so I'll be going.\You don't intend to say anything?\What good would telling her about that future do?\There's no way she would believe me.\When you don't believe it yourself,\certainly other people wouldn't believe it. response:	That's right! I don't believe that stuff!
context: Well, thank goodness for that!\Everyone's waiting, so I'll be going.\You don't intend to say anything?\What good would telling her about that future do?\There's no way she would believe me.\When you don't believe it yourself,\certainly other people wouldn't believe it.\That's right! I don't believe that stuff! response:	It was just a dream!
context: Everyone's waiting, so I'll be going.\You don't intend to say anything?\What good would telling her about that future do?\There's no way she would believe me.\When you don't believe it yourself,\certainly other people wouldn't believe it.\That's right! I don't believe that stuff!\It was just a dream! response:	It was a dream...
context: You don't intend to say anything?\What good would telling her about that future do?\There's no way she would believe me.\When you don't believe it yourself,\certainly other people wouldn't believe it.\That's right! I don't believe that stuff!\It was just a dream!\It was a dream... response:	Not a premonition!
context: What good would telling her about that future do?\There's no way she would believe me.\When you don't believe it yourself,\certainly other people wouldn't believe it.\That's right! I don't believe that stuff!\It was just a dream!\It was a dream...\Not a premonition! response:	Okay, on to the much-anticipated battle part!
context: There's no way she would believe me.\When you don't believe it yourself,\certainly other people wouldn't believe it.\That's right! I don't believe that stuff!\It was just a dream!\It was a dream...\Not a premonition!\Okay, on to the much-anticipated battle part! response:	In the first match is Blacksnake of Raven Tail, a new guild that's currently the front runner,
context: When you don't believe it yourself,\certainly other people wouldn't believe it.\That's right! I don't believe that stuff!\It was just a dream!\It was a dream...\Not a premonition!\Okay, on to the much-anticipated battle part!\In the first match is Blacksnake of Raven Tail, a new guild that's currently the front runner, response:	versus Lamia Scale's Toby Horhorta!
context: certainly other people wouldn't believe it.\That's right! I don't believe that stuff!\It was just a dream!\It was a dream...\Not a premonition!\Okay, on to the much-anticipated battle part!\In the first match is Blacksnake of Raven Tail, a new guild that's currently the front runner,\versus Lamia Scale's Toby Horhorta! response:	It's a confrontation between snake and dog! Which will win?!
context: That's right! I don't believe that stuff!\It was just a dream!\It was a dream...\Not a premonition!\Okay, on to the much-anticipated battle part!\In the first match is Blacksnake of Raven Tail, a new guild that's currently the front runner,\versus Lamia Scale's Toby Horhorta!\It's a confrontation between snake and dog! Which will win?! response:	I hope we see a fair fight.
context: It was just a dream!\It was a dream...\Not a premonition!\Okay, on to the much-anticipated battle part!\In the first match is Blacksnake of Raven Tail, a new guild that's currently the front runner,\versus Lamia Scale's Toby Horhorta!\It's a confrontation between snake and dog! Which will win?!\I hope we see a fair fight. response:	Toby is way dog! Cool!
context: It was a dream...\Not a premonition!\Okay, on to the much-anticipated battle part!\In the first match is Blacksnake of Raven Tail, a new guild that's currently the front runner,\versus Lamia Scale's Toby Horhorta!\It's a confrontation between snake and dog! Which will win?!\I hope we see a fair fight.\Toby is way dog! Cool! response:	Has the match started?!
context: Not a premonition!\Okay, on to the much-anticipated battle part!\In the first match is Blacksnake of Raven Tail, a new guild that's currently the front runner,\versus Lamia Scale's Toby Horhorta!\It's a confrontation between snake and dog! Which will win?!\I hope we see a fair fight.\Toby is way dog! Cool!\Has the match started?! response:	It's just about to.
context: Okay, on to the much-anticipated battle part!\In the first match is Blacksnake of Raven Tail, a new guild that's currently the front runner,\versus Lamia Scale's Toby Horhorta!\It's a confrontation between snake and dog! Which will win?!\I hope we see a fair fight.\Toby is way dog! Cool!\Has the match started?!\It's just about to. response:	Looks like Leon and that dog-like guy are gonna be in it.
context: In the first match is Blacksnake of Raven Tail, a new guild that's currently the front runner,\versus Lamia Scale's Toby Horhorta!\It's a confrontation between snake and dog! Which will win?!\I hope we see a fair fight.\Toby is way dog! Cool!\Has the match started?!\It's just about to.\Looks like Leon and that dog-like guy are gonna be in it. response:	His opponent is from Raven.
context: versus Lamia Scale's Toby Horhorta!\It's a confrontation between snake and dog! Which will win?!\I hope we see a fair fight.\Toby is way dog! Cool!\Has the match started?!\It's just about to.\Looks like Leon and that dog-like guy are gonna be in it.\His opponent is from Raven. response:	Raven?
context: It's a confrontation between snake and dog! Which will win?!\I hope we see a fair fight.\Toby is way dog! Cool!\Has the match started?!\It's just about to.\Looks like Leon and that dog-like guy are gonna be in it.\His opponent is from Raven.\Raven? response:	B-Blondie...
context: I hope we see a fair fight.\Toby is way dog! Cool!\Has the match started?!\It's just about to.\Looks like Leon and that dog-like guy are gonna be in it.\His opponent is from Raven.\Raven?\B-Blondie... response:	She's covered in bruises!
context: Toby is way dog! Cool!\Has the match started?!\It's just about to.\Looks like Leon and that dog-like guy are gonna be in it.\His opponent is from Raven.\Raven?\B-Blondie...\She's covered in bruises! response:	Flare...
context: Has the match started?!\It's just about to.\Looks like Leon and that dog-like guy are gonna be in it.\His opponent is from Raven.\Raven?\B-Blondie...\She's covered in bruises!\Flare... response:	Don't you ever disgrace us like that again.
context: It's just about to.\Looks like Leon and that dog-like guy are gonna be in it.\His opponent is from Raven.\Raven?\B-Blondie...\She's covered in bruises!\Flare...\Don't you ever disgrace us like that again. response:	Who do you think you owe your victory to?
context: Looks like Leon and that dog-like guy are gonna be in it.\His opponent is from Raven.\Raven?\B-Blondie...\She's covered in bruises!\Flare...\Don't you ever disgrace us like that again.\Who do you think you owe your victory to? response:	But Blondie was glaring at me...
context: His opponent is from Raven.\Raven?\B-Blondie...\She's covered in bruises!\Flare...\Don't you ever disgrace us like that again.\Who do you think you owe your victory to?\But Blondie was glaring at me... response:	Would you like to be struck again?
context: Raven?\B-Blondie...\She's covered in bruises!\Flare...\Don't you ever disgrace us like that again.\Who do you think you owe your victory to?\But Blondie was glaring at me...\Would you like to be struck again? response:	I-I'm sorry. Please forgive me...
context: B-Blondie...\She's covered in bruises!\Flare...\Don't you ever disgrace us like that again.\Who do you think you owe your victory to?\But Blondie was glaring at me...\Would you like to be struck again?\I-I'm sorry. Please forgive me... response:	Super Paralysis Claw Mega Mega Jellyfish!
context: She's covered in bruises!\Flare...\Don't you ever disgrace us like that again.\Who do you think you owe your victory to?\But Blondie was glaring at me...\Would you like to be struck again?\I-I'm sorry. Please forgive me...\Super Paralysis Claw Mega Mega Jellyfish! response:	He disappeared!
context: Flare...\Don't you ever disgrace us like that again.\Who do you think you owe your victory to?\But Blondie was glaring at me...\Would you like to be struck again?\I-I'm sorry. Please forgive me...\Super Paralysis Claw Mega Mega Jellyfish!\He disappeared! response:	Fool! It's Mimic Magic!
context: Don't you ever disgrace us like that again.\Who do you think you owe your victory to?\But Blondie was glaring at me...\Would you like to be struck again?\I-I'm sorry. Please forgive me...\Super Paralysis Claw Mega Mega Jellyfish!\He disappeared!\Fool! It's Mimic Magic! response:	Sand Rebellion!
context: Who do you think you owe your victory to?\But Blondie was glaring at me...\Would you like to be struck again?\I-I'm sorry. Please forgive me...\Super Paralysis Claw Mega Mega Jellyfish!\He disappeared!\Fool! It's Mimic Magic!\Sand Rebellion! response:	That's my magic!
context: But Blondie was glaring at me...\Would you like to be struck again?\I-I'm sorry. Please forgive me...\Super Paralysis Claw Mega Mega Jellyfish!\He disappeared!\Fool! It's Mimic Magic!\Sand Rebellion!\That's my magic! response:	So he can mimic the properties of anyone's magic!
context: Would you like to be struck again?\I-I'm sorry. Please forgive me...\Super Paralysis Claw Mega Mega Jellyfish!\He disappeared!\Fool! It's Mimic Magic!\Sand Rebellion!\That's my magic!\So he can mimic the properties of anyone's magic! response:	Mimic... That's unusual magic.
context: I-I'm sorry. Please forgive me...\Super Paralysis Claw Mega Mega Jellyfish!\He disappeared!\Fool! It's Mimic Magic!\Sand Rebellion!\That's my magic!\So he can mimic the properties of anyone's magic!\Mimic... That's unusual magic. response:	Do your best, dog-like person!
context: Super Paralysis Claw Mega Mega Jellyfish!\He disappeared!\Fool! It's Mimic Magic!\Sand Rebellion!\That's my magic!\So he can mimic the properties of anyone's magic!\Mimic... That's unusual magic.\Do your best, dog-like person! response:	Bust up Ivan's guild...
context: He disappeared!\Fool! It's Mimic Magic!\Sand Rebellion!\That's my magic!\So he can mimic the properties of anyone's magic!\Mimic... That's unusual magic.\Do your best, dog-like person!\Bust up Ivan's guild... response:	You're strong.
context: Fool! It's Mimic Magic!\Sand Rebellion!\That's my magic!\So he can mimic the properties of anyone's magic!\Mimic... That's unusual magic.\Do your best, dog-like person!\Bust up Ivan's guild...\You're strong. response:	You're tough, too.
context: Sand Rebellion!\That's my magic!\So he can mimic the properties of anyone's magic!\Mimic... That's unusual magic.\Do your best, dog-like person!\Bust up Ivan's guild...\You're strong.\You're tough, too. response:	Blacksnake's a cool name!
context: That's my magic!\So he can mimic the properties of anyone's magic!\Mimic... That's unusual magic.\Do your best, dog-like person!\Bust up Ivan's guild...\You're strong.\You're tough, too.\Blacksnake's a cool name! response:	It's not my real name...
context: So he can mimic the properties of anyone's magic!\Mimic... That's unusual magic.\Do your best, dog-like person!\Bust up Ivan's guild...\You're strong.\You're tough, too.\Blacksnake's a cool name!\It's not my real name... response:	It's not your real name?!
context: Mimic... That's unusual magic.\Do your best, dog-like person!\Bust up Ivan's guild...\You're strong.\You're tough, too.\Blacksnake's a cool name!\It's not my real name...\It's not your real name?! response:	That ticks you off?
context: Do your best, dog-like person!\Bust up Ivan's guild...\You're strong.\You're tough, too.\Blacksnake's a cool name!\It's not my real name...\It's not your real name?!\That ticks you off? response:	You! If I win, you're tellin' me your real name!
context: Bust up Ivan's guild...\You're strong.\You're tough, too.\Blacksnake's a cool name!\It's not my real name...\It's not your real name?!\That ticks you off?\You! If I win, you're tellin' me your real name! response:	That's fine, but what if I win?
context: You're strong.\You're tough, too.\Blacksnake's a cool name!\It's not my real name...\It's not your real name?!\That ticks you off?\You! If I win, you're tellin' me your real name!\That's fine, but what if I win? response:	I'll tell you a secret about myself!
context: You're tough, too.\Blacksnake's a cool name!\It's not my real name...\It's not your real name?!\That ticks you off?\You! If I win, you're tellin' me your real name!\That's fine, but what if I win?\I'll tell you a secret about myself! response:	That sounds interesting.
context: Blacksnake's a cool name!\It's not my real name...\It's not your real name?!\That ticks you off?\You! If I win, you're tellin' me your real name!\That's fine, but what if I win?\I'll tell you a secret about myself!\That sounds interesting. response:	Apparently, they've made a weird bet.
context: It's not my real name...\It's not your real name?!\That ticks you off?\You! If I win, you're tellin' me your real name!\That's fine, but what if I win?\I'll tell you a secret about myself!\That sounds interesting.\Apparently, they've made a weird bet. response:	I'm not interested in learning either one, though...
context: It's not your real name?!\That ticks you off?\You! If I win, you're tellin' me your real name!\That's fine, but what if I win?\I'll tell you a secret about myself!\That sounds interesting.\Apparently, they've made a weird bet.\I'm not interested in learning either one, though... response:	Cool!
context: That ticks you off?\You! If I win, you're tellin' me your real name!\That's fine, but what if I win?\I'll tell you a secret about myself!\That sounds interesting.\Apparently, they've made a weird bet.\I'm not interested in learning either one, though...\Cool! response:	A bet?
context: You! If I win, you're tellin' me your real name!\That's fine, but what if I win?\I'll tell you a secret about myself!\That sounds interesting.\Apparently, they've made a weird bet.\I'm not interested in learning either one, though...\Cool!\A bet? response:	I like the sound of that...
context: That's fine, but what if I win?\I'll tell you a secret about myself!\That sounds interesting.\Apparently, they've made a weird bet.\I'm not interested in learning either one, though...\Cool!\A bet?\I like the sound of that... response:	Why, you! C'mere! Fangface!
context: I'll tell you a secret about myself!\That sounds interesting.\Apparently, they've made a weird bet.\I'm not interested in learning either one, though...\Cool!\A bet?\I like the sound of that...\Why, you! C'mere! Fangface! response:	Damn you! C'mere!
context: That sounds interesting.\Apparently, they've made a weird bet.\I'm not interested in learning either one, though...\Cool!\A bet?\I like the sound of that...\Why, you! C'mere! Fangface!\Damn you! C'mere! response:	A Man!
context: Apparently, they've made a weird bet.\I'm not interested in learning either one, though...\Cool!\A bet?\I like the sound of that...\Why, you! C'mere! Fangface!\Damn you! C'mere!\A Man! response:	It's Elfman's turn!
