context: I'm pretty sure it was around here... response:	No fair, Sou-kun!
context: Okiku-neechan!\Thank you, Sou-kun!\You know, I haven't been that great.\I really haven't be a good little brother character for you.\I keep telling you, you're not a little brother character,\you're actually my little brother.\Yeah, that's true.\My real sister got mad at me for response:	being someone else's little brother,
context: Thank you, Sou-kun!\You know, I haven't been that great.\I really haven't be a good little brother character for you.\I keep telling you, you're not a little brother character,\you're actually my little brother.\Yeah, that's true.\My real sister got mad at me for\being someone else's little brother, response:	but both of them are important to me.
context: You know, I haven't been that great.\I really haven't be a good little brother character for you.\I keep telling you, you're not a little brother character,\you're actually my little brother.\Yeah, that's true.\My real sister got mad at me for\being someone else's little brother,\but both of them are important to me. response:	You're so cute!
context: I really haven't be a good little brother character for you.\I keep telling you, you're not a little brother character,\you're actually my little brother.\Yeah, that's true.\My real sister got mad at me for\being someone else's little brother,\but both of them are important to me.\You're so cute! response:	I love you so much!
context: I keep telling you, you're not a little brother character,\you're actually my little brother.\Yeah, that's true.\My real sister got mad at me for\being someone else's little brother,\but both of them are important to me.\You're so cute!\I love you so much! response:	Women
context: you're actually my little brother.\Yeah, that's true.\My real sister got mad at me for\being someone else's little brother,\but both of them are important to me.\You're so cute!\I love you so much!\Women response:	I had a great day.
context: Yeah, that's true.\My real sister got mad at me for\being someone else's little brother,\but both of them are important to me.\You're so cute!\I love you so much!\Women\I had a great day. response:	It was so much fun.
context: My real sister got mad at me for\being someone else's little brother,\but both of them are important to me.\You're so cute!\I love you so much!\Women\I had a great day.\It was so much fun. response:	I had Quest Dorm all to myself.
context: being someone else's little brother,\but both of them are important to me.\You're so cute!\I love you so much!\Women\I had a great day.\It was so much fun.\I had Quest Dorm all to myself. response:	That's great.
context: but both of them are important to me.\You're so cute!\I love you so much!\Women\I had a great day.\It was so much fun.\I had Quest Dorm all to myself.\That's great. response:	and have fun without you.
context: You're so cute!\I love you so much!\Women\I had a great day.\It was so much fun.\I had Quest Dorm all to myself.\That's great.\and have fun without you. response:	Yeah.
context: I love you so much!\Women\I had a great day.\It was so much fun.\I had Quest Dorm all to myself.\That's great.\and have fun without you.\Yeah. response:	You let us have your time with Souta.
context: Women\I had a great day.\It was so much fun.\I had Quest Dorm all to myself.\That's great.\and have fun without you.\Yeah.\You let us have your time with Souta. response:	I'm impressed by your kindness.
context: I had a great day.\It was so much fun.\I had Quest Dorm all to myself.\That's great.\and have fun without you.\Yeah.\You let us have your time with Souta.\I'm impressed by your kindness. response:	Hm? Yeah.
context: It was so much fun.\I had Quest Dorm all to myself.\That's great.\and have fun without you.\Yeah.\You let us have your time with Souta.\I'm impressed by your kindness.\Hm? Yeah. response:	It's amazing how far Souta's come.
context: I had Quest Dorm all to myself.\That's great.\and have fun without you.\Yeah.\You let us have your time with Souta.\I'm impressed by your kindness.\Hm? Yeah.\It's amazing how far Souta's come. response:	I never thought he'd be going on dates with girls on his days off.
context: That's great.\and have fun without you.\Yeah.\You let us have your time with Souta.\I'm impressed by your kindness.\Hm? Yeah.\It's amazing how far Souta's come.\I never thought he'd be going on dates with girls on his days off. response:	Is something wrong?
context: and have fun without you.\Yeah.\You let us have your time with Souta.\I'm impressed by your kindness.\Hm? Yeah.\It's amazing how far Souta's come.\I never thought he'd be going on dates with girls on his days off.\Is something wrong? response:	No, nothing at all.
context: Yeah.\You let us have your time with Souta.\I'm impressed by your kindness.\Hm? Yeah.\It's amazing how far Souta's come.\I never thought he'd be going on dates with girls on his days off.\Is something wrong?\No, nothing at all. response:	You guys haven't forgotten, have you?
context: You let us have your time with Souta.\I'm impressed by your kindness.\Hm? Yeah.\It's amazing how far Souta's come.\I never thought he'd be going on dates with girls on his days off.\Is something wrong?\No, nothing at all.\You guys haven't forgotten, have you? response:	Hm?
context: I'm impressed by your kindness.\Hm? Yeah.\It's amazing how far Souta's come.\I never thought he'd be going on dates with girls on his days off.\Is something wrong?\No, nothing at all.\You guys haven't forgotten, have you?\Hm? response:	You know, don't you? Souta told you all, I'm sure.
context: Hm? Yeah.\It's amazing how far Souta's come.\I never thought he'd be going on dates with girls on his days off.\Is something wrong?\No, nothing at all.\You guys haven't forgotten, have you?\Hm?\You know, don't you? Souta told you all, I'm sure. response:	While I was watching the house, you know...
context: It's amazing how far Souta's come.\I never thought he'd be going on dates with girls on his days off.\Is something wrong?\No, nothing at all.\You guys haven't forgotten, have you?\Hm?\You know, don't you? Souta told you all, I'm sure.\While I was watching the house, you know... response:	We know... what?
context: I never thought he'd be going on dates with girls on his days off.\Is something wrong?\No, nothing at all.\You guys haven't forgotten, have you?\Hm?\You know, don't you? Souta told you all, I'm sure.\While I was watching the house, you know...\We know... what? response:	Souta and all of you suck!
context: Is something wrong?\No, nothing at all.\You guys haven't forgotten, have you?\Hm?\You know, don't you? Souta told you all, I'm sure.\While I was watching the house, you know...\We know... what?\Souta and all of you suck! response:	Huh? I guess I was hearing things?
context: No, nothing at all.\You guys haven't forgotten, have you?\Hm?\You know, don't you? Souta told you all, I'm sure.\While I was watching the house, you know...\We know... what?\Souta and all of you suck!\Huh? I guess I was hearing things? response:	Souta-san.
context: You guys haven't forgotten, have you?\Hm?\You know, don't you? Souta told you all, I'm sure.\While I was watching the house, you know...\We know... what?\Souta and all of you suck!\Huh? I guess I was hearing things?\Souta-san. response:	I have a report on the underground passageway.
context: Hm?\You know, don't you? Souta told you all, I'm sure.\While I was watching the house, you know...\We know... what?\Souta and all of you suck!\Huh? I guess I was hearing things?\Souta-san.\I have a report on the underground passageway. response:	Right.
context: You know, don't you? Souta told you all, I'm sure.\While I was watching the house, you know...\We know... what?\Souta and all of you suck!\Huh? I guess I was hearing things?\Souta-san.\I have a report on the underground passageway.\Right. response:	I have concluded that the passageway exists.
context: While I was watching the house, you know...\We know... what?\Souta and all of you suck!\Huh? I guess I was hearing things?\Souta-san.\I have a report on the underground passageway.\Right.\I have concluded that the passageway exists. response:	However, according to my ground scans,
context: We know... what?\Souta and all of you suck!\Huh? I guess I was hearing things?\Souta-san.\I have a report on the underground passageway.\Right.\I have concluded that the passageway exists.\However, according to my ground scans, response:	it seems the passageway was buried.
context: Souta and all of you suck!\Huh? I guess I was hearing things?\Souta-san.\I have a report on the underground passageway.\Right.\I have concluded that the passageway exists.\However, according to my ground scans,\it seems the passageway was buried. response:	I see.
context: Huh? I guess I was hearing things?\Souta-san.\I have a report on the underground passageway.\Right.\I have concluded that the passageway exists.\However, according to my ground scans,\it seems the passageway was buried.\I see. response:	So I... dug it again.
context: Souta-san.\I have a report on the underground passageway.\Right.\I have concluded that the passageway exists.\However, according to my ground scans,\it seems the passageway was buried.\I see.\So I... dug it again. response:	What?!
context: I have a report on the underground passageway.\Right.\I have concluded that the passageway exists.\However, according to my ground scans,\it seems the passageway was buried.\I see.\So I... dug it again.\What?! response:	I couldn't call myself an android if I didn't have a drill or two.
context: Right.\I have concluded that the passageway exists.\However, according to my ground scans,\it seems the passageway was buried.\I see.\So I... dug it again.\What?!\I couldn't call myself an android if I didn't have a drill or two. response:	You have everything, don't you, Ruri?
context: I have concluded that the passageway exists.\However, according to my ground scans,\it seems the passageway was buried.\I see.\So I... dug it again.\What?!\I couldn't call myself an android if I didn't have a drill or two.\You have everything, don't you, Ruri? response:	We're here.
context: However, according to my ground scans,\it seems the passageway was buried.\I see.\So I... dug it again.\What?!\I couldn't call myself an android if I didn't have a drill or two.\You have everything, don't you, Ruri?\We're here. response:	So this is the First Gate.
context: it seems the passageway was buried.\I see.\So I... dug it again.\What?!\I couldn't call myself an android if I didn't have a drill or two.\You have everything, don't you, Ruri?\We're here.\So this is the First Gate. response:	The truth of the world might be... behind this door.
context: I see.\So I... dug it again.\What?!\I couldn't call myself an android if I didn't have a drill or two.\You have everything, don't you, Ruri?\We're here.\So this is the First Gate.\The truth of the world might be... behind this door. response:	There's nothing here.
context: So I... dug it again.\What?!\I couldn't call myself an android if I didn't have a drill or two.\You have everything, don't you, Ruri?\We're here.\So this is the First Gate.\The truth of the world might be... behind this door.\There's nothing here. response:	Knight, magician,
context: What?!\I couldn't call myself an android if I didn't have a drill or two.\You have everything, don't you, Ruri?\We're here.\So this is the First Gate.\The truth of the world might be... behind this door.\There's nothing here.\Knight, magician, response:	bishop, ninja...
context: I couldn't call myself an android if I didn't have a drill or two.\You have everything, don't you, Ruri?\We're here.\So this is the First Gate.\The truth of the world might be... behind this door.\There's nothing here.\Knight, magician,\bishop, ninja... response:	The same as the letter.
context: You have everything, don't you, Ruri?\We're here.\So this is the First Gate.\The truth of the world might be... behind this door.\There's nothing here.\Knight, magician,\bishop, ninja...\The same as the letter. response:	I don't really recognize the others.
context: We're here.\So this is the First Gate.\The truth of the world might be... behind this door.\There's nothing here.\Knight, magician,\bishop, ninja...\The same as the letter.\I don't really recognize the others. response:	I cannot scan the interior.
context: So this is the First Gate.\The truth of the world might be... behind this door.\There's nothing here.\Knight, magician,\bishop, ninja...\The same as the letter.\I don't really recognize the others.\I cannot scan the interior. response:	It seems to be made of a special material.
context: The truth of the world might be... behind this door.\There's nothing here.\Knight, magician,\bishop, ninja...\The same as the letter.\I don't really recognize the others.\I cannot scan the interior.\It seems to be made of a special material. response:	Guess we can't solve the mystery that easily.
context: There's nothing here.\Knight, magician,\bishop, ninja...\The same as the letter.\I don't really recognize the others.\I cannot scan the interior.\It seems to be made of a special material.\Guess we can't solve the mystery that easily. response:	What shall we do with this?
context: Knight, magician,\bishop, ninja...\The same as the letter.\I don't really recognize the others.\I cannot scan the interior.\It seems to be made of a special material.\Guess we can't solve the mystery that easily.\What shall we do with this? response:	Let's just leave it here for now.
context: bishop, ninja...\The same as the letter.\I don't really recognize the others.\I cannot scan the interior.\It seems to be made of a special material.\Guess we can't solve the mystery that easily.\What shall we do with this?\Let's just leave it here for now. response:	Roger that.
context: The same as the letter.\I don't really recognize the others.\I cannot scan the interior.\It seems to be made of a special material.\Guess we can't solve the mystery that easily.\What shall we do with this?\Let's just leave it here for now.\Roger that. response:	Okay, let's head back for today.
context: I don't really recognize the others.\I cannot scan the interior.\It seems to be made of a special material.\Guess we can't solve the mystery that easily.\What shall we do with this?\Let's just leave it here for now.\Roger that.\Okay, let's head back for today. response:	Hm?
context: I cannot scan the interior.\It seems to be made of a special material.\Guess we can't solve the mystery that easily.\What shall we do with this?\Let's just leave it here for now.\Roger that.\Okay, let's head back for today.\Hm? response:	So what's over there?
context: It seems to be made of a special material.\Guess we can't solve the mystery that easily.\What shall we do with this?\Let's just leave it here for now.\Roger that.\Okay, let's head back for today.\Hm?\So what's over there? response:	The outside world.
context: Guess we can't solve the mystery that easily.\What shall we do with this?\Let's just leave it here for now.\Roger that.\Okay, let's head back for today.\Hm?\So what's over there?\The outside world. response:	I've confirmed it connects to the forest behind Quest Dorm.
context: What shall we do with this?\Let's just leave it here for now.\Roger that.\Okay, let's head back for today.\Hm?\So what's over there?\The outside world.\I've confirmed it connects to the forest behind Quest Dorm. response:	What's this light?!
context: Let's just leave it here for now.\Roger that.\Okay, let's head back for today.\Hm?\So what's over there?\The outside world.\I've confirmed it connects to the forest behind Quest Dorm.\What's this light?! response:	I believe it's being generated by a large amount of energy.
context: Roger that.\Okay, let's head back for today.\Hm?\So what's over there?\The outside world.\I've confirmed it connects to the forest behind Quest Dorm.\What's this light?!\I believe it's being generated by a large amount of energy. response:	Ruri, watch after the people in the dorm.
context: Okay, let's head back for today.\Hm?\So what's over there?\The outside world.\I've confirmed it connects to the forest behind Quest Dorm.\What's this light?!\I believe it's being generated by a large amount of energy.\Ruri, watch after the people in the dorm. response:	I'm going to take a look.
context: Hm?\So what's over there?\The outside world.\I've confirmed it connects to the forest behind Quest Dorm.\What's this light?!\I believe it's being generated by a large amount of energy.\Ruri, watch after the people in the dorm.\I'm going to take a look. response:	What's going on...
context: So what's over there?\The outside world.\I've confirmed it connects to the forest behind Quest Dorm.\What's this light?!\I believe it's being generated by a large amount of energy.\Ruri, watch after the people in the dorm.\I'm going to take a look.\What's going on... response:	I can't say I think very highly
context: The outside world.\I've confirmed it connects to the forest behind Quest Dorm.\What's this light?!\I believe it's being generated by a large amount of energy.\Ruri, watch after the people in the dorm.\I'm going to take a look.\What's going on...\I can't say I think very highly response:	of you messing with this world's flags,
context: I've confirmed it connects to the forest behind Quest Dorm.\What's this light?!\I believe it's being generated by a large amount of energy.\Ruri, watch after the people in the dorm.\I'm going to take a look.\What's going on...\I can't say I think very highly\of you messing with this world's flags, response:	Mr. Enormous Death Flag.
context: What's this light?!\I believe it's being generated by a large amount of energy.\Ruri, watch after the people in the dorm.\I'm going to take a look.\What's going on...\I can't say I think very highly\of you messing with this world's flags,\Mr. Enormous Death Flag. response:	Roar! Gawo!
context: I believe it's being generated by a large amount of energy.\Ruri, watch after the people in the dorm.\I'm going to take a look.\What's going on...\I can't say I think very highly\of you messing with this world's flags,\Mr. Enormous Death Flag.\Roar! Gawo! response:	I've been wondering for a while, but what's up with that roar thing?
context: Ruri, watch after the people in the dorm.\I'm going to take a look.\What's going on...\I can't say I think very highly\of you messing with this world's flags,\Mr. Enormous Death Flag.\Roar! Gawo!\I've been wondering for a while, but what's up with that roar thing? response:	It's an official greeting.
context: I'm going to take a look.\What's going on...\I can't say I think very highly\of you messing with this world's flags,\Mr. Enormous Death Flag.\Roar! Gawo!\I've been wondering for a while, but what's up with that roar thing?\It's an official greeting. response:	Official?!
context: What's going on...\I can't say I think very highly\of you messing with this world's flags,\Mr. Enormous Death Flag.\Roar! Gawo!\I've been wondering for a while, but what's up with that roar thing?\It's an official greeting.\Official?! response:	It's not roar, anyway. It's gawo!
context: I can't say I think very highly\of you messing with this world's flags,\Mr. Enormous Death Flag.\Roar! Gawo!\I've been wondering for a while, but what's up with that roar thing?\It's an official greeting.\Official?!\It's not roar, anyway. It's gawo! response:	The wo from gawore.
context: of you messing with this world's flags,\Mr. Enormous Death Flag.\Roar! Gawo!\I've been wondering for a while, but what's up with that roar thing?\It's an official greeting.\Official?!\It's not roar, anyway. It's gawo!\The wo from gawore. response:	In English letters, it's w-o.
context: Mr. Enormous Death Flag.\Roar! Gawo!\I've been wondering for a while, but what's up with that roar thing?\It's an official greeting.\Official?!\It's not roar, anyway. It's gawo!\The wo from gawore.\In English letters, it's w-o. response:	A very detailed answer!
context: Roar! Gawo!\I've been wondering for a while, but what's up with that roar thing?\It's an official greeting.\Official?!\It's not roar, anyway. It's gawo!\The wo from gawore.\In English letters, it's w-o.\A very detailed answer! response:	Now say it with us!
context: I've been wondering for a while, but what's up with that roar thing?\It's an official greeting.\Official?!\It's not roar, anyway. It's gawo!\The wo from gawore.\In English letters, it's w-o.\A very detailed answer!\Now say it with us! response:	I'm not letting up until you say it.
context: It's an official greeting.\Official?!\It's not roar, anyway. It's gawo!\The wo from gawore.\In English letters, it's w-o.\A very detailed answer!\Now say it with us!\I'm not letting up until you say it. response:	I guess this is the teacher won't let you go
context: Official?!\It's not roar, anyway. It's gawo!\The wo from gawore.\In English letters, it's w-o.\A very detailed answer!\Now say it with us!\I'm not letting up until you say it.\I guess this is the teacher won't let you go response:	home until you eat all your school lunch flag.
context: It's not roar, anyway. It's gawo!\The wo from gawore.\In English letters, it's w-o.\A very detailed answer!\Now say it with us!\I'm not letting up until you say it.\I guess this is the teacher won't let you go\home until you eat all your school lunch flag. response:	Roar. Gawo.
context: The wo from gawore.\In English letters, it's w-o.\A very detailed answer!\Now say it with us!\I'm not letting up until you say it.\I guess this is the teacher won't let you go\home until you eat all your school lunch flag.\Roar. Gawo. response:	Flag 6
context: In English letters, it's w-o.\A very detailed answer!\Now say it with us!\I'm not letting up until you say it.\I guess this is the teacher won't let you go\home until you eat all your school lunch flag.\Roar. Gawo.\Flag 6 response:	Phew. Don't scare me like that. I guess you're just a little sister.
context: A very detailed answer!\Now say it with us!\I'm not letting up until you say it.\I guess this is the teacher won't let you go\home until you eat all your school lunch flag.\Roar. Gawo.\Flag 6\Phew. Don't scare me like that. I guess you're just a little sister. response:	Too quiet!
context: Now say it with us!\I'm not letting up until you say it.\I guess this is the teacher won't let you go\home until you eat all your school lunch flag.\Roar. Gawo.\Flag 6\Phew. Don't scare me like that. I guess you're just a little sister.\Too quiet! response:	Roar! Gawo!
context: I'm not letting up until you say it.\I guess this is the teacher won't let you go\home until you eat all your school lunch flag.\Roar. Gawo.\Flag 6\Phew. Don't scare me like that. I guess you're just a little sister.\Too quiet!\Roar! Gawo! response:	If Her Flag Breaks
context: I guess this is the teacher won't let you go\home until you eat all your school lunch flag.\Roar. Gawo.\Flag 6\Phew. Don't scare me like that. I guess you're just a little sister.\Too quiet!\Roar! Gawo!\If Her Flag Breaks response:	I hope you watch us next time!
context: home until you eat all your school lunch flag.\Roar. Gawo.\Flag 6\Phew. Don't scare me like that. I guess you're just a little sister.\Too quiet!\Roar! Gawo!\If Her Flag Breaks\I hope you watch us next time! response:	Illustration: CHAN X CO
