context: TL Note: Hitsumabushi: Eel-and-rice bowl, a specialty of Nagoya. response:	TL Note: A parody of Calpis Water, a Japanese uncarbonated soft drink.
context: Anyway, why are you here?!\We heard about the situation from Akiba-kun.\I was thinking of returning the KamaPure game that I borrowed from Akiba-kun.\But because he said that he suddenly had an errand related to you,\we decided to meet here.\And you just barge into my house like that.\KamaPure is that thing at my part-time job the other day...\Yup. It's the game in which the cosplay was based on. response:	Want to look at it?
context: We heard about the situation from Akiba-kun.\I was thinking of returning the KamaPure game that I borrowed from Akiba-kun.\But because he said that he suddenly had an errand related to you,\we decided to meet here.\And you just barge into my house like that.\KamaPure is that thing at my part-time job the other day...\Yup. It's the game in which the cosplay was based on.\Want to look at it? response:	Okay.
context: I was thinking of returning the KamaPure game that I borrowed from Akiba-kun.\But because he said that he suddenly had an errand related to you,\we decided to meet here.\And you just barge into my house like that.\KamaPure is that thing at my part-time job the other day...\Yup. It's the game in which the cosplay was based on.\Want to look at it?\Okay. response:	It's cute.
context: But because he said that he suddenly had an errand related to you,\we decided to meet here.\And you just barge into my house like that.\KamaPure is that thing at my part-time job the other day...\Yup. It's the game in which the cosplay was based on.\Want to look at it?\Okay.\It's cute. response:	Too-shy-shy-girl.
context: we decided to meet here.\And you just barge into my house like that.\KamaPure is that thing at my part-time job the other day...\Yup. It's the game in which the cosplay was based on.\Want to look at it?\Okay.\It's cute.\Too-shy-shy-girl. response:	Takako, you're a pervert.
context: And you just barge into my house like that.\KamaPure is that thing at my part-time job the other day...\Yup. It's the game in which the cosplay was based on.\Want to look at it?\Okay.\It's cute.\Too-shy-shy-girl.\Takako, you're a pervert. response:	Akiba-kun's a low-life.
context: KamaPure is that thing at my part-time job the other day...\Yup. It's the game in which the cosplay was based on.\Want to look at it?\Okay.\It's cute.\Too-shy-shy-girl.\Takako, you're a pervert.\Akiba-kun's a low-life. response:	This is such an ordinary room, just like Mikuriya.
context: Yup. It's the game in which the cosplay was based on.\Want to look at it?\Okay.\It's cute.\Too-shy-shy-girl.\Takako, you're a pervert.\Akiba-kun's a low-life.\This is such an ordinary room, just like Mikuriya. response:	A room with absolutely no special traits resembles his artistic style.
context: Want to look at it?\Okay.\It's cute.\Too-shy-shy-girl.\Takako, you're a pervert.\Akiba-kun's a low-life.\This is such an ordinary room, just like Mikuriya.\A room with absolutely no special traits resembles his artistic style. response:	Mind your own business.
context: Okay.\It's cute.\Too-shy-shy-girl.\Takako, you're a pervert.\Akiba-kun's a low-life.\This is such an ordinary room, just like Mikuriya.\A room with absolutely no special traits resembles his artistic style.\Mind your own business. response:	Nagi, the president and the vice-president are here.
context: It's cute.\Too-shy-shy-girl.\Takako, you're a pervert.\Akiba-kun's a low-life.\This is such an ordinary room, just like Mikuriya.\A room with absolutely no special traits resembles his artistic style.\Mind your own business.\Nagi, the president and the vice-president are here. response:	Takako? Why?
context: Too-shy-shy-girl.\Takako, you're a pervert.\Akiba-kun's a low-life.\This is such an ordinary room, just like Mikuriya.\A room with absolutely no special traits resembles his artistic style.\Mind your own business.\Nagi, the president and the vice-president are here.\Takako? Why? response:	I rushed here because of you.
context: Takako, you're a pervert.\Akiba-kun's a low-life.\This is such an ordinary room, just like Mikuriya.\A room with absolutely no special traits resembles his artistic style.\Mind your own business.\Nagi, the president and the vice-president are here.\Takako? Why?\I rushed here because of you. response:	Sorry to intrude.
context: Akiba-kun's a low-life.\This is such an ordinary room, just like Mikuriya.\A room with absolutely no special traits resembles his artistic style.\Mind your own business.\Nagi, the president and the vice-president are here.\Takako? Why?\I rushed here because of you.\Sorry to intrude. response:	I see... Sorry for making you come all this way.
context: This is such an ordinary room, just like Mikuriya.\A room with absolutely no special traits resembles his artistic style.\Mind your own business.\Nagi, the president and the vice-president are here.\Takako? Why?\I rushed here because of you.\Sorry to intrude.\I see... Sorry for making you come all this way. response:	Hey, this place is getting a bit cramped with the number of people increasing.
context: A room with absolutely no special traits resembles his artistic style.\Mind your own business.\Nagi, the president and the vice-president are here.\Takako? Why?\I rushed here because of you.\Sorry to intrude.\I see... Sorry for making you come all this way.\Hey, this place is getting a bit cramped with the number of people increasing. response:	It's hot too.
context: Mind your own business.\Nagi, the president and the vice-president are here.\Takako? Why?\I rushed here because of you.\Sorry to intrude.\I see... Sorry for making you come all this way.\Hey, this place is getting a bit cramped with the number of people increasing.\It's hot too. response:	You can go home any time you want.
context: Nagi, the president and the vice-president are here.\Takako? Why?\I rushed here because of you.\Sorry to intrude.\I see... Sorry for making you come all this way.\Hey, this place is getting a bit cramped with the number of people increasing.\It's hot too.\You can go home any time you want. response:	How cruel of me!
context: Takako? Why?\I rushed here because of you.\Sorry to intrude.\I see... Sorry for making you come all this way.\Hey, this place is getting a bit cramped with the number of people increasing.\It's hot too.\You can go home any time you want.\How cruel of me! response:	Tsugumi, you're such an idiot!
context: I rushed here because of you.\Sorry to intrude.\I see... Sorry for making you come all this way.\Hey, this place is getting a bit cramped with the number of people increasing.\It's hot too.\You can go home any time you want.\How cruel of me!\Tsugumi, you're such an idiot! response:	Nagi-sama, I've heard about yesterday's incident.
context: Sorry to intrude.\I see... Sorry for making you come all this way.\Hey, this place is getting a bit cramped with the number of people increasing.\It's hot too.\You can go home any time you want.\How cruel of me!\Tsugumi, you're such an idiot!\Nagi-sama, I've heard about yesterday's incident. response:	But you're not a person who should live the rest of your life in such a dark and cramped closet!
context: I see... Sorry for making you come all this way.\Hey, this place is getting a bit cramped with the number of people increasing.\It's hot too.\You can go home any time you want.\How cruel of me!\Tsugumi, you're such an idiot!\Nagi-sama, I've heard about yesterday's incident.\But you're not a person who should live the rest of your life in such a dark and cramped closet! response:	You have a duty to heal all the fanclub members with your cheerfulness and beauty!
context: Hey, this place is getting a bit cramped with the number of people increasing.\It's hot too.\You can go home any time you want.\How cruel of me!\Tsugumi, you're such an idiot!\Nagi-sama, I've heard about yesterday's incident.\But you're not a person who should live the rest of your life in such a dark and cramped closet!\You have a duty to heal all the fanclub members with your cheerfulness and beauty! response:	You're the light of hope!
context: It's hot too.\You can go home any time you want.\How cruel of me!\Tsugumi, you're such an idiot!\Nagi-sama, I've heard about yesterday's incident.\But you're not a person who should live the rest of your life in such a dark and cramped closet!\You have a duty to heal all the fanclub members with your cheerfulness and beauty!\You're the light of hope! response:	Since I've come all this way, you should come out!
context: You can go home any time you want.\How cruel of me!\Tsugumi, you're such an idiot!\Nagi-sama, I've heard about yesterday's incident.\But you're not a person who should live the rest of your life in such a dark and cramped closet!\You have a duty to heal all the fanclub members with your cheerfulness and beauty!\You're the light of hope!\Since I've come all this way, you should come out! response:	Show me how you look in your home clothes!
context: How cruel of me!\Tsugumi, you're such an idiot!\Nagi-sama, I've heard about yesterday's incident.\But you're not a person who should live the rest of your life in such a dark and cramped closet!\You have a duty to heal all the fanclub members with your cheerfulness and beauty!\You're the light of hope!\Since I've come all this way, you should come out!\Show me how you look in your home clothes! response:	You've showed your true intentions with that last sentence, Takako.
context: Tsugumi, you're such an idiot!\Nagi-sama, I've heard about yesterday's incident.\But you're not a person who should live the rest of your life in such a dark and cramped closet!\You have a duty to heal all the fanclub members with your cheerfulness and beauty!\You're the light of hope!\Since I've come all this way, you should come out!\Show me how you look in your home clothes!\You've showed your true intentions with that last sentence, Takako. response:	Now, Nagi-sama, come on!
context: Nagi-sama, I've heard about yesterday's incident.\But you're not a person who should live the rest of your life in such a dark and cramped closet!\You have a duty to heal all the fanclub members with your cheerfulness and beauty!\You're the light of hope!\Since I've come all this way, you should come out!\Show me how you look in your home clothes!\You've showed your true intentions with that last sentence, Takako.\Now, Nagi-sama, come on! response:	No.
context: But you're not a person who should live the rest of your life in such a dark and cramped closet!\You have a duty to heal all the fanclub members with your cheerfulness and beauty!\You're the light of hope!\Since I've come all this way, you should come out!\Show me how you look in your home clothes!\You've showed your true intentions with that last sentence, Takako.\Now, Nagi-sama, come on!\No. response:	Looks like I've failed.
context: You have a duty to heal all the fanclub members with your cheerfulness and beauty!\You're the light of hope!\Since I've come all this way, you should come out!\Show me how you look in your home clothes!\You've showed your true intentions with that last sentence, Takako.\Now, Nagi-sama, come on!\No.\Looks like I've failed. response:	You give up too fast!
context: You're the light of hope!\Since I've come all this way, you should come out!\Show me how you look in your home clothes!\You've showed your true intentions with that last sentence, Takako.\Now, Nagi-sama, come on!\No.\Looks like I've failed.\You give up too fast! response:	Well, this is a rare occurrence. It could become hot news on the homepage.
context: Since I've come all this way, you should come out!\Show me how you look in your home clothes!\You've showed your true intentions with that last sentence, Takako.\Now, Nagi-sama, come on!\No.\Looks like I've failed.\You give up too fast!\Well, this is a rare occurrence. It could become hot news on the homepage. response:	Seriously, what did you come here for?
context: Show me how you look in your home clothes!\You've showed your true intentions with that last sentence, Takako.\Now, Nagi-sama, come on!\No.\Looks like I've failed.\You give up too fast!\Well, this is a rare occurrence. It could become hot news on the homepage.\Seriously, what did you come here for? response:	Jin!
context: You've showed your true intentions with that last sentence, Takako.\Now, Nagi-sama, come on!\No.\Looks like I've failed.\You give up too fast!\Well, this is a rare occurrence. It could become hot news on the homepage.\Seriously, what did you come here for?\Jin! response:	Don't be hasty!
context: Now, Nagi-sama, come on!\No.\Looks like I've failed.\You give up too fast!\Well, this is a rare occurrence. It could become hot news on the homepage.\Seriously, what did you come here for?\Jin!\Don't be hasty! response:	If you don't leave your house, you can't grow taller!
context: No.\Looks like I've failed.\You give up too fast!\Well, this is a rare occurrence. It could become hot news on the homepage.\Seriously, what did you come here for?\Jin!\Don't be hasty!\If you don't leave your house, you can't grow taller! response:	Why is Daitetsu-kun here?
context: Looks like I've failed.\You give up too fast!\Well, this is a rare occurrence. It could become hot news on the homepage.\Seriously, what did you come here for?\Jin!\Don't be hasty!\If you don't leave your house, you can't grow taller!\Why is Daitetsu-kun here? response:	I called him just in case,
context: You give up too fast!\Well, this is a rare occurrence. It could become hot news on the homepage.\Seriously, what did you come here for?\Jin!\Don't be hasty!\If you don't leave your house, you can't grow taller!\Why is Daitetsu-kun here?\I called him just in case, response:	but it seems he got the wrong idea.
context: Well, this is a rare occurrence. It could become hot news on the homepage.\Seriously, what did you come here for?\Jin!\Don't be hasty!\If you don't leave your house, you can't grow taller!\Why is Daitetsu-kun here?\I called him just in case,\but it seems he got the wrong idea. response:	Don't be so upset!
context: Seriously, what did you come here for?\Jin!\Don't be hasty!\If you don't leave your house, you can't grow taller!\Why is Daitetsu-kun here?\I called him just in case,\but it seems he got the wrong idea.\Don't be so upset! response:	Whether you're good at drawing or not is not important!
context: Jin!\Don't be hasty!\If you don't leave your house, you can't grow taller!\Why is Daitetsu-kun here?\I called him just in case,\but it seems he got the wrong idea.\Don't be so upset!\Whether you're good at drawing or not is not important! response:	What's important is your passion!
context: Don't be hasty!\If you don't leave your house, you can't grow taller!\Why is Daitetsu-kun here?\I called him just in case,\but it seems he got the wrong idea.\Don't be so upset!\Whether you're good at drawing or not is not important!\What's important is your passion! response:	You know...
context: If you don't leave your house, you can't grow taller!\Why is Daitetsu-kun here?\I called him just in case,\but it seems he got the wrong idea.\Don't be so upset!\Whether you're good at drawing or not is not important!\What's important is your passion!\You know... response:	Why are there so many people here?
context: Why is Daitetsu-kun here?\I called him just in case,\but it seems he got the wrong idea.\Don't be so upset!\Whether you're good at drawing or not is not important!\What's important is your passion!\You know...\Why are there so many people here? response:	I hope Akiba gets here soon...
context: I called him just in case,\but it seems he got the wrong idea.\Don't be so upset!\Whether you're good at drawing or not is not important!\What's important is your passion!\You know...\Why are there so many people here?\I hope Akiba gets here soon... response:	It's really getting hot in here.
context: but it seems he got the wrong idea.\Don't be so upset!\Whether you're good at drawing or not is not important!\What's important is your passion!\You know...\Why are there so many people here?\I hope Akiba gets here soon...\It's really getting hot in here. response:	I'm getting thirsty from the heat.
context: Don't be so upset!\Whether you're good at drawing or not is not important!\What's important is your passion!\You know...\Why are there so many people here?\I hope Akiba gets here soon...\It's really getting hot in here.\I'm getting thirsty from the heat. response:	Nagi-sama? Are you fine in there?
context: Whether you're good at drawing or not is not important!\What's important is your passion!\You know...\Why are there so many people here?\I hope Akiba gets here soon...\It's really getting hot in here.\I'm getting thirsty from the heat.\Nagi-sama? Are you fine in there? response:	I'm fully prepared.
context: What's important is your passion!\You know...\Why are there so many people here?\I hope Akiba gets here soon...\It's really getting hot in here.\I'm getting thirsty from the heat.\Nagi-sama? Are you fine in there?\I'm fully prepared. response:	I knew it!
context: You know...\Why are there so many people here?\I hope Akiba gets here soon...\It's really getting hot in here.\I'm getting thirsty from the heat.\Nagi-sama? Are you fine in there?\I'm fully prepared.\I knew it! response:	This place is more comfortable than I expected!
context: Why are there so many people here?\I hope Akiba gets here soon...\It's really getting hot in here.\I'm getting thirsty from the heat.\Nagi-sama? Are you fine in there?\I'm fully prepared.\I knew it!\This place is more comfortable than I expected! response:	I should make this place my new shrine.
context: I hope Akiba gets here soon...\It's really getting hot in here.\I'm getting thirsty from the heat.\Nagi-sama? Are you fine in there?\I'm fully prepared.\I knew it!\This place is more comfortable than I expected!\I should make this place my new shrine. response:	You've finally appeared, you little impurity!
context: It's really getting hot in here.\I'm getting thirsty from the heat.\Nagi-sama? Are you fine in there?\I'm fully prepared.\I knew it!\This place is more comfortable than I expected!\I should make this place my new shrine.\You've finally appeared, you little impurity! response:	Don't come near me! I'll exorcise you, you...
context: I'm getting thirsty from the heat.\Nagi-sama? Are you fine in there?\I'm fully prepared.\I knew it!\This place is more comfortable than I expected!\I should make this place my new shrine.\You've finally appeared, you little impurity!\Don't come near me! I'll exorcise you, you... response:	Nagi!
context: Nagi-sama? Are you fine in there?\I'm fully prepared.\I knew it!\This place is more comfortable than I expected!\I should make this place my new shrine.\You've finally appeared, you little impurity!\Don't come near me! I'll exorcise you, you...\Nagi! response:	Ouch!
context: I'm fully prepared.\I knew it!\This place is more comfortable than I expected!\I should make this place my new shrine.\You've finally appeared, you little impurity!\Don't come near me! I'll exorcise you, you...\Nagi!\Ouch! response:	Nagi?
context: I knew it!\This place is more comfortable than I expected!\I should make this place my new shrine.\You've finally appeared, you little impurity!\Don't come near me! I'll exorcise you, you...\Nagi!\Ouch!\Nagi? response:	Don't come near me!
context: This place is more comfortable than I expected!\I should make this place my new shrine.\You've finally appeared, you little impurity!\Don't come near me! I'll exorcise you, you...\Nagi!\Ouch!\Nagi?\Don't come near me! response:	Hey Mikuriya!
context: I should make this place my new shrine.\You've finally appeared, you little impurity!\Don't come near me! I'll exorcise you, you...\Nagi!\Ouch!\Nagi?\Don't come near me!\Hey Mikuriya! response:	Don't let it get away!
context: You've finally appeared, you little impurity!\Don't come near me! I'll exorcise you, you...\Nagi!\Ouch!\Nagi?\Don't come near me!\Hey Mikuriya!\Don't let it get away! response:	Even if you tell me that...
context: Don't come near me! I'll exorcise you, you...\Nagi!\Ouch!\Nagi?\Don't come near me!\Hey Mikuriya!\Don't let it get away!\Even if you tell me that... response:	Don't look! Go away!
context: Nagi!\Ouch!\Nagi?\Don't come near me!\Hey Mikuriya!\Don't let it get away!\Even if you tell me that...\Don't look! Go away! response:	Oh my.
context: Ouch!\Nagi?\Don't come near me!\Hey Mikuriya!\Don't let it get away!\Even if you tell me that...\Don't look! Go away!\Oh my. response:	This way?!
context: Nagi?\Don't come near me!\Hey Mikuriya!\Don't let it get away!\Even if you tell me that...\Don't look! Go away!\Oh my.\This way?! response:	What?!
context: Don't come near me!\Hey Mikuriya!\Don't let it get away!\Even if you tell me that...\Don't look! Go away!\Oh my.\This way?!\What?! response:	Daitetsu-kun! Get a grip!
context: Hey Mikuriya!\Don't let it get away!\Even if you tell me that...\Don't look! Go away!\Oh my.\This way?!\What?!\Daitetsu-kun! Get a grip! response:	Akiba. Come quickly...
context: Don't let it get away!\Even if you tell me that...\Don't look! Go away!\Oh my.\This way?!\What?!\Daitetsu-kun! Get a grip!\Akiba. Come quickly... response:	Akiba!
context: Even if you tell me that...\Don't look! Go away!\Oh my.\This way?!\What?!\Daitetsu-kun! Get a grip!\Akiba. Come quickly...\Akiba! response:	Akiba...
context: Don't look! Go away!\Oh my.\This way?!\What?!\Daitetsu-kun! Get a grip!\Akiba. Come quickly...\Akiba!\Akiba... response:	Akiba!
context: Oh my.\This way?!\What?!\Daitetsu-kun! Get a grip!\Akiba. Come quickly...\Akiba!\Akiba...\Akiba! response:	Mikuriya!
context: This way?!\What?!\Daitetsu-kun! Get a grip!\Akiba. Come quickly...\Akiba!\Akiba...\Akiba!\Mikuriya! response:	Akiba!
context: What?!\Daitetsu-kun! Get a grip!\Akiba. Come quickly...\Akiba!\Akiba...\Akiba!\Mikuriya!\Akiba! response:	Mikuriya!
context: Daitetsu-kun! Get a grip!\Akiba. Come quickly...\Akiba!\Akiba...\Akiba!\Mikuriya!\Akiba!\Mikuriya! response:	So,
context: Akiba. Come quickly...\Akiba!\Akiba...\Akiba!\Mikuriya!\Akiba!\Mikuriya!\So, response:	why is the all-star cast here?
context: Akiba!\Akiba...\Akiba!\Mikuriya!\Akiba!\Mikuriya!\So,\why is the all-star cast here? response:	I'll explain the situation to you later.
context: Akiba...\Akiba!\Mikuriya!\Akiba!\Mikuriya!\So,\why is the all-star cast here?\I'll explain the situation to you later. response:	Akiba-kun, I want to return this.
context: Akiba!\Mikuriya!\Akiba!\Mikuriya!\So,\why is the all-star cast here?\I'll explain the situation to you later.\Akiba-kun, I want to return this. response:	Okay.
context: Mikuriya!\Akiba!\Mikuriya!\So,\why is the all-star cast here?\I'll explain the situation to you later.\Akiba-kun, I want to return this.\Okay. response:	Akiba, hurry up and give me that thing.
context: Akiba!\Mikuriya!\So,\why is the all-star cast here?\I'll explain the situation to you later.\Akiba-kun, I want to return this.\Okay.\Akiba, hurry up and give me that thing. response:	Jin.
context: Mikuriya!\So,\why is the all-star cast here?\I'll explain the situation to you later.\Akiba-kun, I want to return this.\Okay.\Akiba, hurry up and give me that thing.\Jin. response:	What exactly is going on here?
context: So,\why is the all-star cast here?\I'll explain the situation to you later.\Akiba-kun, I want to return this.\Okay.\Akiba, hurry up and give me that thing.\Jin.\What exactly is going on here? response:	Actually...
context: why is the all-star cast here?\I'll explain the situation to you later.\Akiba-kun, I want to return this.\Okay.\Akiba, hurry up and give me that thing.\Jin.\What exactly is going on here?\Actually... response:	It was on TV yesterday, wasn't it?
context: I'll explain the situation to you later.\Akiba-kun, I want to return this.\Okay.\Akiba, hurry up and give me that thing.\Jin.\What exactly is going on here?\Actually...\It was on TV yesterday, wasn't it? response:	Heart-throbbing Cat-filled Land.
context: Akiba-kun, I want to return this.\Okay.\Akiba, hurry up and give me that thing.\Jin.\What exactly is going on here?\Actually...\It was on TV yesterday, wasn't it?\Heart-throbbing Cat-filled Land. response:	Oh. That was cute.
context: Okay.\Akiba, hurry up and give me that thing.\Jin.\What exactly is going on here?\Actually...\It was on TV yesterday, wasn't it?\Heart-throbbing Cat-filled Land.\Oh. That was cute. response:	Nagi liked that show.
context: Akiba, hurry up and give me that thing.\Jin.\What exactly is going on here?\Actually...\It was on TV yesterday, wasn't it?\Heart-throbbing Cat-filled Land.\Oh. That was cute.\Nagi liked that show. response:	But she was taking a bath.
context: Jin.\What exactly is going on here?\Actually...\It was on TV yesterday, wasn't it?\Heart-throbbing Cat-filled Land.\Oh. That was cute.\Nagi liked that show.\But she was taking a bath. response:	So I recorded a video for her.
context: What exactly is going on here?\Actually...\It was on TV yesterday, wasn't it?\Heart-throbbing Cat-filled Land.\Oh. That was cute.\Nagi liked that show.\But she was taking a bath.\So I recorded a video for her. response:	But Nagi had already recorded something-cutie in that tape...
context: Actually...\It was on TV yesterday, wasn't it?\Heart-throbbing Cat-filled Land.\Oh. That was cute.\Nagi liked that show.\But she was taking a bath.\So I recorded a video for her.\But Nagi had already recorded something-cutie in that tape... response:	It's Lolikko Cutie.
context: It was on TV yesterday, wasn't it?\Heart-throbbing Cat-filled Land.\Oh. That was cute.\Nagi liked that show.\But she was taking a bath.\So I recorded a video for her.\But Nagi had already recorded something-cutie in that tape...\It's Lolikko Cutie. response:	She had already recorded that...
context: Heart-throbbing Cat-filled Land.\Oh. That was cute.\Nagi liked that show.\But she was taking a bath.\So I recorded a video for her.\But Nagi had already recorded something-cutie in that tape...\It's Lolikko Cutie.\She had already recorded that... response:	And I recorded over it.
context: Oh. That was cute.\Nagi liked that show.\But she was taking a bath.\So I recorded a video for her.\But Nagi had already recorded something-cutie in that tape...\It's Lolikko Cutie.\She had already recorded that...\And I recorded over it. response:	She got mad, saying that she hadn't watched it yet.
context: Nagi liked that show.\But she was taking a bath.\So I recorded a video for her.\But Nagi had already recorded something-cutie in that tape...\It's Lolikko Cutie.\She had already recorded that...\And I recorded over it.\She got mad, saying that she hadn't watched it yet. response:	So that's why she shut herself up in the closet...
context: But she was taking a bath.\So I recorded a video for her.\But Nagi had already recorded something-cutie in that tape...\It's Lolikko Cutie.\She had already recorded that...\And I recorded over it.\She got mad, saying that she hadn't watched it yet.\So that's why she shut herself up in the closet... response:	That's forgivable.
context: So I recorded a video for her.\But Nagi had already recorded something-cutie in that tape...\It's Lolikko Cutie.\She had already recorded that...\And I recorded over it.\She got mad, saying that she hadn't watched it yet.\So that's why she shut herself up in the closet...\That's forgivable. response:	Yesterday was the climax of the Imposter-Cutie Chapter, after all.
context: But Nagi had already recorded something-cutie in that tape...\It's Lolikko Cutie.\She had already recorded that...\And I recorded over it.\She got mad, saying that she hadn't watched it yet.\So that's why she shut herself up in the closet...\That's forgivable.\Yesterday was the climax of the Imposter-Cutie Chapter, after all. response:	Were you watching that program too?
context: It's Lolikko Cutie.\She had already recorded that...\And I recorded over it.\She got mad, saying that she hadn't watched it yet.\So that's why she shut herself up in the closet...\That's forgivable.\Yesterday was the climax of the Imposter-Cutie Chapter, after all.\Were you watching that program too? response:	Sort of. There were episodes where I was impressed by the animation directors and special effects.
context: She had already recorded that...\And I recorded over it.\She got mad, saying that she hadn't watched it yet.\So that's why she shut herself up in the closet...\That's forgivable.\Yesterday was the climax of the Imposter-Cutie Chapter, after all.\Were you watching that program too?\Sort of. There were episodes where I was impressed by the animation directors and special effects. response:	Oh...
context: And I recorded over it.\She got mad, saying that she hadn't watched it yet.\So that's why she shut herself up in the closet...\That's forgivable.\Yesterday was the climax of the Imposter-Cutie Chapter, after all.\Were you watching that program too?\Sort of. There were episodes where I was impressed by the animation directors and special effects.\Oh... response:	What's with that disinterested reaction of yours, when this is the subject of discussion for today's incident?
context: She got mad, saying that she hadn't watched it yet.\So that's why she shut herself up in the closet...\That's forgivable.\Yesterday was the climax of the Imposter-Cutie Chapter, after all.\Were you watching that program too?\Sort of. There were episodes where I was impressed by the animation directors and special effects.\Oh...\What's with that disinterested reaction of yours, when this is the subject of discussion for today's incident? response:	Nagi. Akiba-kun brought Lolikko Cutie for you.
context: So that's why she shut herself up in the closet...\That's forgivable.\Yesterday was the climax of the Imposter-Cutie Chapter, after all.\Were you watching that program too?\Sort of. There were episodes where I was impressed by the animation directors and special effects.\Oh...\What's with that disinterested reaction of yours, when this is the subject of discussion for today's incident?\Nagi. Akiba-kun brought Lolikko Cutie for you. response:	Really?
context: That's forgivable.\Yesterday was the climax of the Imposter-Cutie Chapter, after all.\Were you watching that program too?\Sort of. There were episodes where I was impressed by the animation directors and special effects.\Oh...\What's with that disinterested reaction of yours, when this is the subject of discussion for today's incident?\Nagi. Akiba-kun brought Lolikko Cutie for you.\Really? response:	Of course! If you ask me, yesterday's episode was led by one of my favorite animation directors,
context: Yesterday was the climax of the Imposter-Cutie Chapter, after all.\Were you watching that program too?\Sort of. There were episodes where I was impressed by the animation directors and special effects.\Oh...\What's with that disinterested reaction of yours, when this is the subject of discussion for today's incident?\Nagi. Akiba-kun brought Lolikko Cutie for you.\Really?\Of course! If you ask me, yesterday's episode was led by one of my favorite animation directors, response:	With his connections, a lot of original illustrators are gathered.
context: Were you watching that program too?\Sort of. There were episodes where I was impressed by the animation directors and special effects.\Oh...\What's with that disinterested reaction of yours, when this is the subject of discussion for today's incident?\Nagi. Akiba-kun brought Lolikko Cutie for you.\Really?\Of course! If you ask me, yesterday's episode was led by one of my favorite animation directors,\With his connections, a lot of original illustrators are gathered. response:	Fans should know this...
context: Sort of. There were episodes where I was impressed by the animation directors and special effects.\Oh...\What's with that disinterested reaction of yours, when this is the subject of discussion for today's incident?\Nagi. Akiba-kun brought Lolikko Cutie for you.\Really?\Of course! If you ask me, yesterday's episode was led by one of my favorite animation directors,\With his connections, a lot of original illustrators are gathered.\Fans should know this... response:	Let's skip the explanations.
context: Oh...\What's with that disinterested reaction of yours, when this is the subject of discussion for today's incident?\Nagi. Akiba-kun brought Lolikko Cutie for you.\Really?\Of course! If you ask me, yesterday's episode was led by one of my favorite animation directors,\With his connections, a lot of original illustrators are gathered.\Fans should know this...\Let's skip the explanations. response:	Check it yourself.
context: What's with that disinterested reaction of yours, when this is the subject of discussion for today's incident?\Nagi. Akiba-kun brought Lolikko Cutie for you.\Really?\Of course! If you ask me, yesterday's episode was led by one of my favorite animation directors,\With his connections, a lot of original illustrators are gathered.\Fans should know this...\Let's skip the explanations.\Check it yourself. response:	Akiba.
context: Nagi. Akiba-kun brought Lolikko Cutie for you.\Really?\Of course! If you ask me, yesterday's episode was led by one of my favorite animation directors,\With his connections, a lot of original illustrators are gathered.\Fans should know this...\Let's skip the explanations.\Check it yourself.\Akiba. response:	What's this?
context: Really?\Of course! If you ask me, yesterday's episode was led by one of my favorite animation directors,\With his connections, a lot of original illustrators are gathered.\Fans should know this...\Let's skip the explanations.\Check it yourself.\Akiba.\What's this? response:	DVD?
context: Of course! If you ask me, yesterday's episode was led by one of my favorite animation directors,\With his connections, a lot of original illustrators are gathered.\Fans should know this...\Let's skip the explanations.\Check it yourself.\Akiba.\What's this?\DVD? response:	No, it's Blu-ray.
context: With his connections, a lot of original illustrators are gathered.\Fans should know this...\Let's skip the explanations.\Check it yourself.\Akiba.\What's this?\DVD?\No, it's Blu-ray. response:	It's a Sony!
context: Fans should know this...\Let's skip the explanations.\Check it yourself.\Akiba.\What's this?\DVD?\No, it's Blu-ray.\It's a Sony! response:	Are you serious? I don't have a DVD player in my house!
context: Let's skip the explanations.\Check it yourself.\Akiba.\What's this?\DVD?\No, it's Blu-ray.\It's a Sony!\Are you serious? I don't have a DVD player in my house! response:	The best quality drawings have to be recorded with the best video quality.
context: Check it yourself.\Akiba.\What's this?\DVD?\No, it's Blu-ray.\It's a Sony!\Are you serious? I don't have a DVD player in my house!\The best quality drawings have to be recorded with the best video quality. response:	But don't panic, Mikuriya.
context: Akiba.\What's this?\DVD?\No, it's Blu-ray.\It's a Sony!\Are you serious? I don't have a DVD player in my house!\The best quality drawings have to be recorded with the best video quality.\But don't panic, Mikuriya. response:	I expected this, so I've also prepared a video!
context: What's this?\DVD?\No, it's Blu-ray.\It's a Sony!\Are you serious? I don't have a DVD player in my house!\The best quality drawings have to be recorded with the best video quality.\But don't panic, Mikuriya.\I expected this, so I've also prepared a video! response:	Then you should've brought it out first.
context: DVD?\No, it's Blu-ray.\It's a Sony!\Are you serious? I don't have a DVD player in my house!\The best quality drawings have to be recorded with the best video quality.\But don't panic, Mikuriya.\I expected this, so I've also prepared a video!\Then you should've brought it out first. response:	Nagi, it's the video.
context: No, it's Blu-ray.\It's a Sony!\Are you serious? I don't have a DVD player in my house!\The best quality drawings have to be recorded with the best video quality.\But don't panic, Mikuriya.\I expected this, so I've also prepared a video!\Then you should've brought it out first.\Nagi, it's the video. response:	I'll leave it here,
context: It's a Sony!\Are you serious? I don't have a DVD player in my house!\The best quality drawings have to be recorded with the best video quality.\But don't panic, Mikuriya.\I expected this, so I've also prepared a video!\Then you should've brought it out first.\Nagi, it's the video.\I'll leave it here, response:	so take a look.
