context: Corpseless ...? response:	Yes, something between a Corpse and a human.
context: Even if it would save me.\I am not sacrificing any more lives!\It's the Corpses who are our enemy.\My purpose in life...\Are you...\Those who still believe he is our enemy...\I shall give you the opportunity to check for yourself.\I am sorry for testing you like that. response:	It's okay.
context: I am not sacrificing any more lives!\It's the Corpses who are our enemy.\My purpose in life...\Are you...\Those who still believe he is our enemy...\I shall give you the opportunity to check for yourself.\I am sorry for testing you like that.\It's okay. response:	But why did you take the blade directly?
context: It's the Corpses who are our enemy.\My purpose in life...\Are you...\Those who still believe he is our enemy...\I shall give you the opportunity to check for yourself.\I am sorry for testing you like that.\It's okay.\But why did you take the blade directly? response:	You could have grabbed my arm.
context: My purpose in life...\Are you...\Those who still believe he is our enemy...\I shall give you the opportunity to check for yourself.\I am sorry for testing you like that.\It's okay.\But why did you take the blade directly?\You could have grabbed my arm. response:	No... um... my strength...
context: Are you...\Those who still believe he is our enemy...\I shall give you the opportunity to check for yourself.\I am sorry for testing you like that.\It's okay.\But why did you take the blade directly?\You could have grabbed my arm.\No... um... my strength... response:	It hasn't been long since I became like this, so...
context: Those who still believe he is our enemy...\I shall give you the opportunity to check for yourself.\I am sorry for testing you like that.\It's okay.\But why did you take the blade directly?\You could have grabbed my arm.\No... um... my strength...\It hasn't been long since I became like this, so... response:	Oh, my.
context: I shall give you the opportunity to check for yourself.\I am sorry for testing you like that.\It's okay.\But why did you take the blade directly?\You could have grabbed my arm.\No... um... my strength...\It hasn't been long since I became like this, so...\Oh, my. response:	You do not need to be so concerned.
context: I am sorry for testing you like that.\It's okay.\But why did you take the blade directly?\You could have grabbed my arm.\No... um... my strength...\It hasn't been long since I became like this, so...\Oh, my.\You do not need to be so concerned. response:	Please worry more about yourself.
context: It's okay.\But why did you take the blade directly?\You could have grabbed my arm.\No... um... my strength...\It hasn't been long since I became like this, so...\Oh, my.\You do not need to be so concerned.\Please worry more about yourself. response:	Okay.
context: But why did you take the blade directly?\You could have grabbed my arm.\No... um... my strength...\It hasn't been long since I became like this, so...\Oh, my.\You do not need to be so concerned.\Please worry more about yourself.\Okay. response:	Ikoma?
context: You could have grabbed my arm.\No... um... my strength...\It hasn't been long since I became like this, so...\Oh, my.\You do not need to be so concerned.\Please worry more about yourself.\Okay.\Ikoma? response:	What happened?
context: No... um... my strength...\It hasn't been long since I became like this, so...\Oh, my.\You do not need to be so concerned.\Please worry more about yourself.\Okay.\Ikoma?\What happened? response:	Seriously! Stop!
context: It hasn't been long since I became like this, so...\Oh, my.\You do not need to be so concerned.\Please worry more about yourself.\Okay.\Ikoma?\What happened?\Seriously! Stop! response:	That's so funny!
context: Oh, my.\You do not need to be so concerned.\Please worry more about yourself.\Okay.\Ikoma?\What happened?\Seriously! Stop!\That's so funny! response:	All that laughing made me hungry.
context: You do not need to be so concerned.\Please worry more about yourself.\Okay.\Ikoma?\What happened?\Seriously! Stop!\That's so funny!\All that laughing made me hungry. response:	We have some dumpling soup.
context: Please worry more about yourself.\Okay.\Ikoma?\What happened?\Seriously! Stop!\That's so funny!\All that laughing made me hungry.\We have some dumpling soup. response:	I'll get you a bowl.
context: Okay.\Ikoma?\What happened?\Seriously! Stop!\That's so funny!\All that laughing made me hungry.\We have some dumpling soup.\I'll get you a bowl. response:	Thanks.
context: Ikoma?\What happened?\Seriously! Stop!\That's so funny!\All that laughing made me hungry.\We have some dumpling soup.\I'll get you a bowl.\Thanks. response:	But I don't need that.
context: What happened?\Seriously! Stop!\That's so funny!\All that laughing made me hungry.\We have some dumpling soup.\I'll get you a bowl.\Thanks.\But I don't need that. response:	Just give me blood.
context: Seriously! Stop!\That's so funny!\All that laughing made me hungry.\We have some dumpling soup.\I'll get you a bowl.\Thanks.\But I don't need that.\Just give me blood. response:	Blood?
context: That's so funny!\All that laughing made me hungry.\We have some dumpling soup.\I'll get you a bowl.\Thanks.\But I don't need that.\Just give me blood.\Blood? response:	It's red.
context: All that laughing made me hungry.\We have some dumpling soup.\I'll get you a bowl.\Thanks.\But I don't need that.\Just give me blood.\Blood?\It's red. response:	The stuff that comes out when you cut someone.
context: We have some dumpling soup.\I'll get you a bowl.\Thanks.\But I don't need that.\Just give me blood.\Blood?\It's red.\The stuff that comes out when you cut someone. response:	But you're...
context: I'll get you a bowl.\Thanks.\But I don't need that.\Just give me blood.\Blood?\It's red.\The stuff that comes out when you cut someone.\But you're... response:	A Corpseless.
context: Thanks.\But I don't need that.\Just give me blood.\Blood?\It's red.\The stuff that comes out when you cut someone.\But you're...\A Corpseless. response:	I'm half-Corpse, after all.
context: But I don't need that.\Just give me blood.\Blood?\It's red.\The stuff that comes out when you cut someone.\But you're...\A Corpseless.\I'm half-Corpse, after all. response:	It must be because of your bleeding.
context: Just give me blood.\Blood?\It's red.\The stuff that comes out when you cut someone.\But you're...\A Corpseless.\I'm half-Corpse, after all.\It must be because of your bleeding. response:	Please hold on.
context: Blood?\It's red.\The stuff that comes out when you cut someone.\But you're...\A Corpseless.\I'm half-Corpse, after all.\It must be because of your bleeding.\Please hold on. response:	Are you kidding me?!
context: It's red.\The stuff that comes out when you cut someone.\But you're...\A Corpseless.\I'm half-Corpse, after all.\It must be because of your bleeding.\Please hold on.\Are you kidding me?! response:	Are you telling us to become Corpse too?!
context: The stuff that comes out when you cut someone.\But you're...\A Corpseless.\I'm half-Corpse, after all.\It must be because of your bleeding.\Please hold on.\Are you kidding me?!\Are you telling us to become Corpse too?! response:	Get back, Kajika!
context: But you're...\A Corpseless.\I'm half-Corpse, after all.\It must be because of your bleeding.\Please hold on.\Are you kidding me?!\Are you telling us to become Corpse too?!\Get back, Kajika! response:	She's just a monster after all!
context: A Corpseless.\I'm half-Corpse, after all.\It must be because of your bleeding.\Please hold on.\Are you kidding me?!\Are you telling us to become Corpse too?!\Get back, Kajika!\She's just a monster after all! response:	It's not my fault, I got hungry.
context: I'm half-Corpse, after all.\It must be because of your bleeding.\Please hold on.\Are you kidding me?!\Are you telling us to become Corpse too?!\Get back, Kajika!\She's just a monster after all!\It's not my fault, I got hungry. response:	It's a Corpse!
context: It must be because of your bleeding.\Please hold on.\Are you kidding me?!\Are you telling us to become Corpse too?!\Get back, Kajika!\She's just a monster after all!\It's not my fault, I got hungry.\It's a Corpse! response:	Shino-san?!
context: Please hold on.\Are you kidding me?!\Are you telling us to become Corpse too?!\Get back, Kajika!\She's just a monster after all!\It's not my fault, I got hungry.\It's a Corpse!\Shino-san?! response:	Wait!
context: Are you kidding me?!\Are you telling us to become Corpse too?!\Get back, Kajika!\She's just a monster after all!\It's not my fault, I got hungry.\It's a Corpse!\Shino-san?!\Wait! response:	She's...!
context: Are you telling us to become Corpse too?!\Get back, Kajika!\She's just a monster after all!\It's not my fault, I got hungry.\It's a Corpse!\Shino-san?!\Wait!\She's...! response:	She's... pregnant...
context: Get back, Kajika!\She's just a monster after all!\It's not my fault, I got hungry.\It's a Corpse!\Shino-san?!\Wait!\She's...!\She's... pregnant... response:	Ikoma?!
context: She's just a monster after all!\It's not my fault, I got hungry.\It's a Corpse!\Shino-san?!\Wait!\She's...!\She's... pregnant...\Ikoma?! response:	What are you doing?
context: It's not my fault, I got hungry.\It's a Corpse!\Shino-san?!\Wait!\She's...!\She's... pregnant...\Ikoma?!\What are you doing? response:	You are...!
context: It's a Corpse!\Shino-san?!\Wait!\She's...!\She's... pregnant...\Ikoma?!\What are you doing?\You are...! response:	I will remember that day
context: Shino-san?!\Wait!\She's...!\She's... pregnant...\Ikoma?!\What are you doing?\You are...!\I will remember that day response:	Losing myself
context: Wait!\She's...!\She's... pregnant...\Ikoma?!\What are you doing?\You are...!\I will remember that day\Losing myself response:	In steam
context: She's...!\She's... pregnant...\Ikoma?!\What are you doing?\You are...!\I will remember that day\Losing myself\In steam response:	Countless mistakes are made
context: She's... pregnant...\Ikoma?!\What are you doing?\You are...!\I will remember that day\Losing myself\In steam\Countless mistakes are made response:	When I can't see anything ahead
context: Ikoma?!\What are you doing?\You are...!\I will remember that day\Losing myself\In steam\Countless mistakes are made\When I can't see anything ahead response:	You said
context: What are you doing?\You are...!\I will remember that day\Losing myself\In steam\Countless mistakes are made\When I can't see anything ahead\You said response:	Ask your own burning blood
context: You are...!\I will remember that day\Losing myself\In steam\Countless mistakes are made\When I can't see anything ahead\You said\Ask your own burning blood response:	Answer my beat
context: I will remember that day\Losing myself\In steam\Countless mistakes are made\When I can't see anything ahead\You said\Ask your own burning blood\Answer my beat response:	Stand up
context: Losing myself\In steam\Countless mistakes are made\When I can't see anything ahead\You said\Ask your own burning blood\Answer my beat\Stand up response:	And slam everything onto the ground
context: In steam\Countless mistakes are made\When I can't see anything ahead\You said\Ask your own burning blood\Answer my beat\Stand up\And slam everything onto the ground response:	My soul is devoted to my friend
context: Countless mistakes are made\When I can't see anything ahead\You said\Ask your own burning blood\Answer my beat\Stand up\And slam everything onto the ground\My soul is devoted to my friend response:	Burn your life
context: When I can't see anything ahead\You said\Ask your own burning blood\Answer my beat\Stand up\And slam everything onto the ground\My soul is devoted to my friend\Burn your life response:	Change the world
context: You said\Ask your own burning blood\Answer my beat\Stand up\And slam everything onto the ground\My soul is devoted to my friend\Burn your life\Change the world response:	Even if the stars
context: Ask your own burning blood\Answer my beat\Stand up\And slam everything onto the ground\My soul is devoted to my friend\Burn your life\Change the world\Even if the stars response:	That connect you make a sound
context: Answer my beat\Stand up\And slam everything onto the ground\My soul is devoted to my friend\Burn your life\Change the world\Even if the stars\That connect you make a sound response:	There are just dreams in the same rain
context: Stand up\And slam everything onto the ground\My soul is devoted to my friend\Burn your life\Change the world\Even if the stars\That connect you make a sound\There are just dreams in the same rain response:	And lights are dried up
context: And slam everything onto the ground\My soul is devoted to my friend\Burn your life\Change the world\Even if the stars\That connect you make a sound\There are just dreams in the same rain\And lights are dried up response:	I am tired of getting answers
context: My soul is devoted to my friend\Burn your life\Change the world\Even if the stars\That connect you make a sound\There are just dreams in the same rain\And lights are dried up\I am tired of getting answers response:	By mimicking others
context: Burn your life\Change the world\Even if the stars\That connect you make a sound\There are just dreams in the same rain\And lights are dried up\I am tired of getting answers\By mimicking others response:	Dawn without the sun
context: Change the world\Even if the stars\That connect you make a sound\There are just dreams in the same rain\And lights are dried up\I am tired of getting answers\By mimicking others\Dawn without the sun response:	And broken morning
context: Even if the stars\That connect you make a sound\There are just dreams in the same rain\And lights are dried up\I am tired of getting answers\By mimicking others\Dawn without the sun\And broken morning response:	Smashed cry and dream The ideal only has its doors
context: That connect you make a sound\There are just dreams in the same rain\And lights are dried up\I am tired of getting answers\By mimicking others\Dawn without the sun\And broken morning\Smashed cry and dream The ideal only has its doors response:	City is uplifted and drown in noise
context: There are just dreams in the same rain\And lights are dried up\I am tired of getting answers\By mimicking others\Dawn without the sun\And broken morning\Smashed cry and dream The ideal only has its doors\City is uplifted and drown in noise response:	I will still sing and stop turning the rudder
context: And lights are dried up\I am tired of getting answers\By mimicking others\Dawn without the sun\And broken morning\Smashed cry and dream The ideal only has its doors\City is uplifted and drown in noise\I will still sing and stop turning the rudder response:	To hush silence
context: I am tired of getting answers\By mimicking others\Dawn without the sun\And broken morning\Smashed cry and dream The ideal only has its doors\City is uplifted and drown in noise\I will still sing and stop turning the rudder\To hush silence response:	Chapter Three
context: By mimicking others\Dawn without the sun\And broken morning\Smashed cry and dream The ideal only has its doors\City is uplifted and drown in noise\I will still sing and stop turning the rudder\To hush silence\Chapter Three response:	Prayer Offer
