context: Ah, Tomoyo-chan, isn't that the strawberry house? response:	It seems so!
context: What's wrong?!\You can't get away!\Before Lock hides away,\hurry!\Release!\Return to thy form which thou should be!\Clow Card!\Hey! Sakura! response:	Onii-chan!
context: You can't get away!\Before Lock hides away,\hurry!\Release!\Return to thy form which thou should be!\Clow Card!\Hey! Sakura!\Onii-chan! response:	Are you okay?
context: Before Lock hides away,\hurry!\Release!\Return to thy form which thou should be!\Clow Card!\Hey! Sakura!\Onii-chan!\Are you okay? response:	Thank goodness, Sakura-chan.
context: hurry!\Release!\Return to thy form which thou should be!\Clow Card!\Hey! Sakura!\Onii-chan!\Are you okay?\Thank goodness, Sakura-chan. response:	Are you okay?
context: Release!\Return to thy form which thou should be!\Clow Card!\Hey! Sakura!\Onii-chan!\Are you okay?\Thank goodness, Sakura-chan.\Are you okay? response:	Sorry to make you guys worry.
context: Return to thy form which thou should be!\Clow Card!\Hey! Sakura!\Onii-chan!\Are you okay?\Thank goodness, Sakura-chan.\Are you okay?\Sorry to make you guys worry. response:	With this, we can probably resume the original plans for the afternoon.
context: Clow Card!\Hey! Sakura!\Onii-chan!\Are you okay?\Thank goodness, Sakura-chan.\Are you okay?\Sorry to make you guys worry.\With this, we can probably resume the original plans for the afternoon. response:	But'
context: Hey! Sakura!\Onii-chan!\Are you okay?\Thank goodness, Sakura-chan.\Are you okay?\Sorry to make you guys worry.\With this, we can probably resume the original plans for the afternoon.\But' response:	This is all messed up.
context: Onii-chan!\Are you okay?\Thank goodness, Sakura-chan.\Are you okay?\Sorry to make you guys worry.\With this, we can probably resume the original plans for the afternoon.\But'\This is all messed up. response:	If everyone helps clean up, it'll be okay.
context: Are you okay?\Thank goodness, Sakura-chan.\Are you okay?\Sorry to make you guys worry.\With this, we can probably resume the original plans for the afternoon.\But'\This is all messed up.\If everyone helps clean up, it'll be okay. response:	Right?
context: Thank goodness, Sakura-chan.\Are you okay?\Sorry to make you guys worry.\With this, we can probably resume the original plans for the afternoon.\But'\This is all messed up.\If everyone helps clean up, it'll be okay.\Right? response:	Right!
context: Are you okay?\Sorry to make you guys worry.\With this, we can probably resume the original plans for the afternoon.\But'\This is all messed up.\If everyone helps clean up, it'll be okay.\Right?\Right! response:	Huh? Where's Sakura-chan?
context: Sorry to make you guys worry.\With this, we can probably resume the original plans for the afternoon.\But'\This is all messed up.\If everyone helps clean up, it'll be okay.\Right?\Right!\Huh? Where's Sakura-chan? response:	She is outside.
context: With this, we can probably resume the original plans for the afternoon.\But'\This is all messed up.\If everyone helps clean up, it'll be okay.\Right?\Right!\Huh? Where's Sakura-chan?\She is outside. response:	I'm glad the materials room opened.
context: But'\This is all messed up.\If everyone helps clean up, it'll be okay.\Right?\Right!\Huh? Where's Sakura-chan?\She is outside.\I'm glad the materials room opened. response:	Yuki'
context: This is all messed up.\If everyone helps clean up, it'll be okay.\Right?\Right!\Huh? Where's Sakura-chan?\She is outside.\I'm glad the materials room opened.\Yuki' response:	What is it?
context: If everyone helps clean up, it'll be okay.\Right?\Right!\Huh? Where's Sakura-chan?\She is outside.\I'm glad the materials room opened.\Yuki'\What is it? response:	Forget it.
context: Right?\Right!\Huh? Where's Sakura-chan?\She is outside.\I'm glad the materials room opened.\Yuki'\What is it?\Forget it. response:	Sakura-chan!
context: Right!\Huh? Where's Sakura-chan?\She is outside.\I'm glad the materials room opened.\Yuki'\What is it?\Forget it.\Sakura-chan! response:	Hmm' These are'
context: Huh? Where's Sakura-chan?\She is outside.\I'm glad the materials room opened.\Yuki'\What is it?\Forget it.\Sakura-chan!\Hmm' These are' response:	Are you sure?
context: She is outside.\I'm glad the materials room opened.\Yuki'\What is it?\Forget it.\Sakura-chan!\Hmm' These are'\Are you sure? response:	Yes!
context: I'm glad the materials room opened.\Yuki'\What is it?\Forget it.\Sakura-chan!\Hmm' These are'\Are you sure?\Yes! response:	Thanks, Sakura-chan.
context: Yuki'\What is it?\Forget it.\Sakura-chan!\Hmm' These are'\Are you sure?\Yes!\Thanks, Sakura-chan. response:	It tastes really good.
context: What is it?\Forget it.\Sakura-chan!\Hmm' These are'\Are you sure?\Yes!\Thanks, Sakura-chan.\It tastes really good. response:	In other words,
context: Forget it.\Sakura-chan!\Hmm' These are'\Are you sure?\Yes!\Thanks, Sakura-chan.\It tastes really good.\In other words, response:	it was a really fun outing.
context: Sakura-chan!\Hmm' These are'\Are you sure?\Yes!\Thanks, Sakura-chan.\It tastes really good.\In other words,\it was a really fun outing. response:	I was really happy. Yu-ki-to-san!
context: Hmm' These are'\Are you sure?\Yes!\Thanks, Sakura-chan.\It tastes really good.\In other words,\it was a really fun outing.\I was really happy. Yu-ki-to-san! response:	Oh, I'm glad for ya.
context: Are you sure?\Yes!\Thanks, Sakura-chan.\It tastes really good.\In other words,\it was a really fun outing.\I was really happy. Yu-ki-to-san!\Oh, I'm glad for ya. response:	So, how about some presents for me
context: Yes!\Thanks, Sakura-chan.\It tastes really good.\In other words,\it was a really fun outing.\I was really happy. Yu-ki-to-san!\Oh, I'm glad for ya.\So, how about some presents for me response:	who stayed home and behaved so well?
context: Thanks, Sakura-chan.\It tastes really good.\In other words,\it was a really fun outing.\I was really happy. Yu-ki-to-san!\Oh, I'm glad for ya.\So, how about some presents for me\who stayed home and behaved so well? response:	Don't tell me you gave all that dessert
context: It tastes really good.\In other words,\it was a really fun outing.\I was really happy. Yu-ki-to-san!\Oh, I'm glad for ya.\So, how about some presents for me\who stayed home and behaved so well?\Don't tell me you gave all that dessert response:	to that snow-rabbit guy' (Yukito = snow-rabbit)
context: In other words,\it was a really fun outing.\I was really happy. Yu-ki-to-san!\Oh, I'm glad for ya.\So, how about some presents for me\who stayed home and behaved so well?\Don't tell me you gave all that dessert\to that snow-rabbit guy' (Yukito = snow-rabbit) response:	Ac' Actually that was it.
context: it was a really fun outing.\I was really happy. Yu-ki-to-san!\Oh, I'm glad for ya.\So, how about some presents for me\who stayed home and behaved so well?\Don't tell me you gave all that dessert\to that snow-rabbit guy' (Yukito = snow-rabbit)\Ac' Actually that was it. response:	How dare you?!!
context: I was really happy. Yu-ki-to-san!\Oh, I'm glad for ya.\So, how about some presents for me\who stayed home and behaved so well?\Don't tell me you gave all that dessert\to that snow-rabbit guy' (Yukito = snow-rabbit)\Ac' Actually that was it.\How dare you?!! response:	I' I didn't forget about you.
context: Oh, I'm glad for ya.\So, how about some presents for me\who stayed home and behaved so well?\Don't tell me you gave all that dessert\to that snow-rabbit guy' (Yukito = snow-rabbit)\Ac' Actually that was it.\How dare you?!!\I' I didn't forget about you. response:	But Yukito-san was enjoying it so much,
context: So, how about some presents for me\who stayed home and behaved so well?\Don't tell me you gave all that dessert\to that snow-rabbit guy' (Yukito = snow-rabbit)\Ac' Actually that was it.\How dare you?!!\I' I didn't forget about you.\But Yukito-san was enjoying it so much, response:	I couldn't ask him to save some'
context: who stayed home and behaved so well?\Don't tell me you gave all that dessert\to that snow-rabbit guy' (Yukito = snow-rabbit)\Ac' Actually that was it.\How dare you?!!\I' I didn't forget about you.\But Yukito-san was enjoying it so much,\I couldn't ask him to save some' response:	so'
context: Don't tell me you gave all that dessert\to that snow-rabbit guy' (Yukito = snow-rabbit)\Ac' Actually that was it.\How dare you?!!\I' I didn't forget about you.\But Yukito-san was enjoying it so much,\I couldn't ask him to save some'\so' response:	Unforgivable!
context: to that snow-rabbit guy' (Yukito = snow-rabbit)\Ac' Actually that was it.\How dare you?!!\I' I didn't forget about you.\But Yukito-san was enjoying it so much,\I couldn't ask him to save some'\so'\Unforgivable! response:	You're such a fool!
context: Ac' Actually that was it.\How dare you?!!\I' I didn't forget about you.\But Yukito-san was enjoying it so much,\I couldn't ask him to save some'\so'\Unforgivable!\You're such a fool! response:	I'm so sorry!
