context: This woman, Kurami Zell, has won all her games in the tournament. response:	Is there no one left to challenge her?
context: The key to this chess game is that,\sometimes, the pieces won't move.\No soldier would gladly go to a place where he knows he'll be killed.\Only a level of morale that borders on madness could make them do that.\Then...\That's right. She can't sacrifice any of her pieces.\What will you do?\You're running out of time. response:	Knight, take H-7.
context: sometimes, the pieces won't move.\No soldier would gladly go to a place where he knows he'll be killed.\Only a level of morale that borders on madness could make them do that.\Then...\That's right. She can't sacrifice any of her pieces.\What will you do?\You're running out of time.\Knight, take H-7. response:	A-2 to A-3.
context: No soldier would gladly go to a place where he knows he'll be killed.\Only a level of morale that borders on madness could make them do that.\Then...\That's right. She can't sacrifice any of her pieces.\What will you do?\You're running out of time.\Knight, take H-7.\A-2 to A-3. response:	Bishop, forward. Take the enemy knight.
context: Only a level of morale that borders on madness could make them do that.\Then...\That's right. She can't sacrifice any of her pieces.\What will you do?\You're running out of time.\Knight, take H-7.\A-2 to A-3.\Bishop, forward. Take the enemy knight. response:	Knight, take H-5.
context: Then...\That's right. She can't sacrifice any of her pieces.\What will you do?\You're running out of time.\Knight, take H-7.\A-2 to A-3.\Bishop, forward. Take the enemy knight.\Knight, take H-5. response:	D-4 to D-5.
context: That's right. She can't sacrifice any of her pieces.\What will you do?\You're running out of time.\Knight, take H-7.\A-2 to A-3.\Bishop, forward. Take the enemy knight.\Knight, take H-5.\D-4 to D-5. response:	A-3...
context: What will you do?\You're running out of time.\Knight, take H-7.\A-2 to A-3.\Bishop, forward. Take the enemy knight.\Knight, take H-5.\D-4 to D-5.\A-3... response:	Bishop...
context: You're running out of time.\Knight, take H-7.\A-2 to A-3.\Bishop, forward. Take the enemy knight.\Knight, take H-5.\D-4 to D-5.\A-3...\Bishop... response:	Sh-Shiro...
context: Knight, take H-7.\A-2 to A-3.\Bishop, forward. Take the enemy knight.\Knight, take H-5.\D-4 to D-5.\A-3...\Bishop...\Sh-Shiro... response:	I'm sorry.
context: A-2 to A-3.\Bishop, forward. Take the enemy knight.\Knight, take H-5.\D-4 to D-5.\A-3...\Bishop...\Sh-Shiro...\I'm sorry. response:	Brother...
context: Bishop, forward. Take the enemy knight.\Knight, take H-5.\D-4 to D-5.\A-3...\Bishop...\Sh-Shiro...\I'm sorry.\Brother... response:	I lost...
context: Knight, take H-5.\D-4 to D-5.\A-3...\Bishop...\Sh-Shiro...\I'm sorry.\Brother...\I lost... response:	I'm sorry...
context: D-4 to D-5.\A-3...\Bishop...\Sh-Shiro...\I'm sorry.\Brother...\I lost...\I'm sorry... response:	Sora...
context: A-3...\Bishop...\Sh-Shiro...\I'm sorry.\Brother...\I lost...\I'm sorry...\Sora... response:	Shiro!
context: Bishop...\Sh-Shiro...\I'm sorry.\Brother...\I lost...\I'm sorry...\Sora...\Shiro! response:	Sora?
context: Sh-Shiro...\I'm sorry.\Brother...\I lost...\I'm sorry...\Sora...\Shiro!\Sora? response:	Attention all forces!
context: I'm sorry.\Brother...\I lost...\I'm sorry...\Sora...\Shiro!\Sora?\Attention all forces! response:	By my authority as king,
context: Brother...\I lost...\I'm sorry...\Sora...\Shiro!\Sora?\Attention all forces!\By my authority as king, response:	anyone who fights valiantly in this battle
context: I lost...\I'm sorry...\Sora...\Shiro!\Sora?\Attention all forces!\By my authority as king,\anyone who fights valiantly in this battle response:	will earn the right to bang any woman they like!
context: I'm sorry...\Sora...\Shiro!\Sora?\Attention all forces!\By my authority as king,\anyone who fights valiantly in this battle\will earn the right to bang any woman they like! response:	To do what?!
context: Sora...\Shiro!\Sora?\Attention all forces!\By my authority as king,\anyone who fights valiantly in this battle\will earn the right to bang any woman they like!\To do what?! response:	If we win, you will be excused from further military duties,
context: Shiro!\Sora?\Attention all forces!\By my authority as king,\anyone who fights valiantly in this battle\will earn the right to bang any woman they like!\To do what?!\If we win, you will be excused from further military duties, response:	and given an exemption from taxes for the rest of your life,
context: Sora?\Attention all forces!\By my authority as king,\anyone who fights valiantly in this battle\will earn the right to bang any woman they like!\To do what?!\If we win, you will be excused from further military duties,\and given an exemption from taxes for the rest of your life, response:	as well as a monetary reward from your country!
context: Attention all forces!\By my authority as king,\anyone who fights valiantly in this battle\will earn the right to bang any woman they like!\To do what?!\If we win, you will be excused from further military duties,\and given an exemption from taxes for the rest of your life,\as well as a monetary reward from your country! response:	Therefore, virgins,
context: By my authority as king,\anyone who fights valiantly in this battle\will earn the right to bang any woman they like!\To do what?!\If we win, you will be excused from further military duties,\and given an exemption from taxes for the rest of your life,\as well as a monetary reward from your country!\Therefore, virgins, response:	do not die!
context: anyone who fights valiantly in this battle\will earn the right to bang any woman they like!\To do what?!\If we win, you will be excused from further military duties,\and given an exemption from taxes for the rest of your life,\as well as a monetary reward from your country!\Therefore, virgins,\do not die! response:	And all of you who have family or people you love,
context: will earn the right to bang any woman they like!\To do what?!\If we win, you will be excused from further military duties,\and given an exemption from taxes for the rest of your life,\as well as a monetary reward from your country!\Therefore, virgins,\do not die!\And all of you who have family or people you love, response:	come back alive!
context: To do what?!\If we win, you will be excused from further military duties,\and given an exemption from taxes for the rest of your life,\as well as a monetary reward from your country!\Therefore, virgins,\do not die!\And all of you who have family or people you love,\come back alive! response:	Th-That's irresponsible!
context: If we win, you will be excused from further military duties,\and given an exemption from taxes for the rest of your life,\as well as a monetary reward from your country!\Therefore, virgins,\do not die!\And all of you who have family or people you love,\come back alive!\Th-That's irresponsible! response:	Thanks to you, I realized that the game we're playing isn't chess.
context: and given an exemption from taxes for the rest of your life,\as well as a monetary reward from your country!\Therefore, virgins,\do not die!\And all of you who have family or people you love,\come back alive!\Th-That's irresponsible!\Thanks to you, I realized that the game we're playing isn't chess. response:	This is a strategy game.
context: as well as a monetary reward from your country!\Therefore, virgins,\do not die!\And all of you who have family or people you love,\come back alive!\Th-That's irresponsible!\Thanks to you, I realized that the game we're playing isn't chess.\This is a strategy game. response:	I'll handle the rest.
context: Therefore, virgins,\do not die!\And all of you who have family or people you love,\come back alive!\Th-That's irresponsible!\Thanks to you, I realized that the game we're playing isn't chess.\This is a strategy game.\I'll handle the rest. response:	If I start to lose my head, help me.
context: do not die!\And all of you who have family or people you love,\come back alive!\Th-That's irresponsible!\Thanks to you, I realized that the game we're playing isn't chess.\This is a strategy game.\I'll handle the rest.\If I start to lose my head, help me. response:	Just watch.
context: And all of you who have family or people you love,\come back alive!\Th-That's irresponsible!\Thanks to you, I realized that the game we're playing isn't chess.\This is a strategy game.\I'll handle the rest.\If I start to lose my head, help me.\Just watch. response:	This game is right up my alley.
context: come back alive!\Th-That's irresponsible!\Thanks to you, I realized that the game we're playing isn't chess.\This is a strategy game.\I'll handle the rest.\If I start to lose my head, help me.\Just watch.\This game is right up my alley. response:	Pawn squad 6!
context: Th-That's irresponsible!\Thanks to you, I realized that the game we're playing isn't chess.\This is a strategy game.\I'll handle the rest.\If I start to lose my head, help me.\Just watch.\This game is right up my alley.\Pawn squad 6! response:	The enemy is advancing from the front line!
context: Thanks to you, I realized that the game we're playing isn't chess.\This is a strategy game.\I'll handle the rest.\If I start to lose my head, help me.\Just watch.\This game is right up my alley.\Pawn squad 6!\The enemy is advancing from the front line! response:	Intercept them and cut them off!
context: This is a strategy game.\I'll handle the rest.\If I start to lose my head, help me.\Just watch.\This game is right up my alley.\Pawn squad 6!\The enemy is advancing from the front line!\Intercept them and cut them off! response:	He can't do that!
context: I'll handle the rest.\If I start to lose my head, help me.\Just watch.\This game is right up my alley.\Pawn squad 6!\The enemy is advancing from the front line!\Intercept them and cut them off!\He can't do that! response:	Cavalry squad 2!
context: If I start to lose my head, help me.\Just watch.\This game is right up my alley.\Pawn squad 6!\The enemy is advancing from the front line!\Intercept them and cut them off!\He can't do that!\Cavalry squad 2! response:	Don't waste the opportunity the pawns gave you!
context: Just watch.\This game is right up my alley.\Pawn squad 6!\The enemy is advancing from the front line!\Intercept them and cut them off!\He can't do that!\Cavalry squad 2!\Don't waste the opportunity the pawns gave you! response:	You, king and queen!
context: This game is right up my alley.\Pawn squad 6!\The enemy is advancing from the front line!\Intercept them and cut them off!\He can't do that!\Cavalry squad 2!\Don't waste the opportunity the pawns gave you!\You, king and queen! response:	Get your asses to the front line!
context: Pawn squad 6!\The enemy is advancing from the front line!\Intercept them and cut them off!\He can't do that!\Cavalry squad 2!\Don't waste the opportunity the pawns gave you!\You, king and queen!\Get your asses to the front line! response:	W-Wait! It's my turn!
context: The enemy is advancing from the front line!\Intercept them and cut them off!\He can't do that!\Cavalry squad 2!\Don't waste the opportunity the pawns gave you!\You, king and queen!\Get your asses to the front line!\W-Wait! It's my turn! response:	Huh? In a real war, what fool waits for their enemy's turn?
context: Intercept them and cut them off!\He can't do that!\Cavalry squad 2!\Don't waste the opportunity the pawns gave you!\You, king and queen!\Get your asses to the front line!\W-Wait! It's my turn!\Huh? In a real war, what fool waits for their enemy's turn? response:	Pawns! Advance!
context: He can't do that!\Cavalry squad 2!\Don't waste the opportunity the pawns gave you!\You, king and queen!\Get your asses to the front line!\W-Wait! It's my turn!\Huh? In a real war, what fool waits for their enemy's turn?\Pawns! Advance! response:	Form a defensive wall!
context: Cavalry squad 2!\Don't waste the opportunity the pawns gave you!\You, king and queen!\Get your asses to the front line!\W-Wait! It's my turn!\Huh? In a real war, what fool waits for their enemy's turn?\Pawns! Advance!\Form a defensive wall! response:	Look at them!
context: Don't waste the opportunity the pawns gave you!\You, king and queen!\Get your asses to the front line!\W-Wait! It's my turn!\Huh? In a real war, what fool waits for their enemy's turn?\Pawns! Advance!\Form a defensive wall!\Look at them! response:	Those cowards, hiding themselves behind their soldiers!
context: You, king and queen!\Get your asses to the front line!\W-Wait! It's my turn!\Huh? In a real war, what fool waits for their enemy's turn?\Pawns! Advance!\Form a defensive wall!\Look at them!\Those cowards, hiding themselves behind their soldiers! response:	What kind of king makes his men fight
context: Get your asses to the front line!\W-Wait! It's my turn!\Huh? In a real war, what fool waits for their enemy's turn?\Pawns! Advance!\Form a defensive wall!\Look at them!\Those cowards, hiding themselves behind their soldiers!\What kind of king makes his men fight response:	at the front line while he sits behind them relaxing?
context: W-Wait! It's my turn!\Huh? In a real war, what fool waits for their enemy's turn?\Pawns! Advance!\Form a defensive wall!\Look at them!\Those cowards, hiding themselves behind their soldiers!\What kind of king makes his men fight\at the front line while he sits behind them relaxing? response:	What did you say?
context: Huh? In a real war, what fool waits for their enemy's turn?\Pawns! Advance!\Form a defensive wall!\Look at them!\Those cowards, hiding themselves behind their soldiers!\What kind of king makes his men fight\at the front line while he sits behind them relaxing?\What did you say? response:	Listen to me, soldiers!
context: Pawns! Advance!\Form a defensive wall!\Look at them!\Those cowards, hiding themselves behind their soldiers!\What kind of king makes his men fight\at the front line while he sits behind them relaxing?\What did you say?\Listen to me, soldiers! response:	This battle will decide who controls this city,
context: Form a defensive wall!\Look at them!\Those cowards, hiding themselves behind their soldiers!\What kind of king makes his men fight\at the front line while he sits behind them relaxing?\What did you say?\Listen to me, soldiers!\This battle will decide who controls this city, response:	the final fortress of Elkia... of humanity!
context: Look at them!\Those cowards, hiding themselves behind their soldiers!\What kind of king makes his men fight\at the front line while he sits behind them relaxing?\What did you say?\Listen to me, soldiers!\This battle will decide who controls this city,\the final fortress of Elkia... of humanity! response:	This battle will determine the fate of our people!
context: Those cowards, hiding themselves behind their soldiers!\What kind of king makes his men fight\at the front line while he sits behind them relaxing?\What did you say?\Listen to me, soldiers!\This battle will decide who controls this city,\the final fortress of Elkia... of humanity!\This battle will determine the fate of our people! response:	Open your eyes!
context: What kind of king makes his men fight\at the front line while he sits behind them relaxing?\What did you say?\Listen to me, soldiers!\This battle will decide who controls this city,\the final fortress of Elkia... of humanity!\This battle will determine the fate of our people!\Open your eyes! response:	Do you really want to give the nation's crown to a stupid girl like her?
context: at the front line while he sits behind them relaxing?\What did you say?\Listen to me, soldiers!\This battle will decide who controls this city,\the final fortress of Elkia... of humanity!\This battle will determine the fate of our people!\Open your eyes!\Do you really want to give the nation's crown to a stupid girl like her? response:	But if we win...
context: What did you say?\Listen to me, soldiers!\This battle will decide who controls this city,\the final fortress of Elkia... of humanity!\This battle will determine the fate of our people!\Open your eyes!\Do you really want to give the nation's crown to a stupid girl like her?\But if we win... response:	She will be your queen!
context: Listen to me, soldiers!\This battle will decide who controls this city,\the final fortress of Elkia... of humanity!\This battle will determine the fate of our people!\Open your eyes!\Do you really want to give the nation's crown to a stupid girl like her?\But if we win...\She will be your queen! response:	This girl who, just a moment ago,
context: This battle will decide who controls this city,\the final fortress of Elkia... of humanity!\This battle will determine the fate of our people!\Open your eyes!\Do you really want to give the nation's crown to a stupid girl like her?\But if we win...\She will be your queen!\This girl who, just a moment ago, response:	closed off her heart for your sakes, to lead you to victory!
context: the final fortress of Elkia... of humanity!\This battle will determine the fate of our people!\Open your eyes!\Do you really want to give the nation's crown to a stupid girl like her?\But if we win...\She will be your queen!\This girl who, just a moment ago,\closed off her heart for your sakes, to lead you to victory! response:	This girl, who is crying inside because you refused her as merciless!
context: This battle will determine the fate of our people!\Open your eyes!\Do you really want to give the nation's crown to a stupid girl like her?\But if we win...\She will be your queen!\This girl who, just a moment ago,\closed off her heart for your sakes, to lead you to victory!\This girl, who is crying inside because you refused her as merciless! response:	And you call yourselves men?!
context: Open your eyes!\Do you really want to give the nation's crown to a stupid girl like her?\But if we win...\She will be your queen!\This girl who, just a moment ago,\closed off her heart for your sakes, to lead you to victory!\This girl, who is crying inside because you refused her as merciless!\And you call yourselves men?! response:	Wh-What is this overwhelming power?
context: Do you really want to give the nation's crown to a stupid girl like her?\But if we win...\She will be your queen!\This girl who, just a moment ago,\closed off her heart for your sakes, to lead you to victory!\This girl, who is crying inside because you refused her as merciless!\And you call yourselves men?!\Wh-What is this overwhelming power? response:	Proud knights, bishops, rooks!
context: But if we win...\She will be your queen!\This girl who, just a moment ago,\closed off her heart for your sakes, to lead you to victory!\This girl, who is crying inside because you refused her as merciless!\And you call yourselves men?!\Wh-What is this overwhelming power?\Proud knights, bishops, rooks! response:	Show me deeds befitting of your rank!
context: She will be your queen!\This girl who, just a moment ago,\closed off her heart for your sakes, to lead you to victory!\This girl, who is crying inside because you refused her as merciless!\And you call yourselves men?!\Wh-What is this overwhelming power?\Proud knights, bishops, rooks!\Show me deeds befitting of your rank! response:	Back up the pawns so they may do their duty!
context: This girl who, just a moment ago,\closed off her heart for your sakes, to lead you to victory!\This girl, who is crying inside because you refused her as merciless!\And you call yourselves men?!\Wh-What is this overwhelming power?\Proud knights, bishops, rooks!\Show me deeds befitting of your rank!\Back up the pawns so they may do their duty! response:	This is impossible!
context: closed off her heart for your sakes, to lead you to victory!\This girl, who is crying inside because you refused her as merciless!\And you call yourselves men?!\Wh-What is this overwhelming power?\Proud knights, bishops, rooks!\Show me deeds befitting of your rank!\Back up the pawns so they may do their duty!\This is impossible! response:	That's right.
context: This girl, who is crying inside because you refused her as merciless!\And you call yourselves men?!\Wh-What is this overwhelming power?\Proud knights, bishops, rooks!\Show me deeds befitting of your rank!\Back up the pawns so they may do their duty!\This is impossible!\That's right. response:	You're using elf magic to force your own troops' morale higher.
context: And you call yourselves men?!\Wh-What is this overwhelming power?\Proud knights, bishops, rooks!\Show me deeds befitting of your rank!\Back up the pawns so they may do their duty!\This is impossible!\That's right.\You're using elf magic to force your own troops' morale higher. response:	You explain it all away by saying you have more charisma than we do.
context: Wh-What is this overwhelming power?\Proud knights, bishops, rooks!\Show me deeds befitting of your rank!\Back up the pawns so they may do their duty!\This is impossible!\That's right.\You're using elf magic to force your own troops' morale higher.\You explain it all away by saying you have more charisma than we do. response:	Of course. It's the perfect way to cheat.
context: Proud knights, bishops, rooks!\Show me deeds befitting of your rank!\Back up the pawns so they may do their duty!\This is impossible!\That's right.\You're using elf magic to force your own troops' morale higher.\You explain it all away by saying you have more charisma than we do.\Of course. It's the perfect way to cheat. response:	But you made one big mistake.
context: Show me deeds befitting of your rank!\Back up the pawns so they may do their duty!\This is impossible!\That's right.\You're using elf magic to force your own troops' morale higher.\You explain it all away by saying you have more charisma than we do.\Of course. It's the perfect way to cheat.\But you made one big mistake. response:	What?
context: Back up the pawns so they may do their duty!\This is impossible!\That's right.\You're using elf magic to force your own troops' morale higher.\You explain it all away by saying you have more charisma than we do.\Of course. It's the perfect way to cheat.\But you made one big mistake.\What? response:	Throughout all of history,
context: This is impossible!\That's right.\You're using elf magic to force your own troops' morale higher.\You explain it all away by saying you have more charisma than we do.\Of course. It's the perfect way to cheat.\But you made one big mistake.\What?\Throughout all of history, response:	no wise king has ever forced his army to obey him through oppression.
context: That's right.\You're using elf magic to force your own troops' morale higher.\You explain it all away by saying you have more charisma than we do.\Of course. It's the perfect way to cheat.\But you made one big mistake.\What?\Throughout all of history,\no wise king has ever forced his army to obey him through oppression. response:	People will only truly fight for what is right.
context: You're using elf magic to force your own troops' morale higher.\You explain it all away by saying you have more charisma than we do.\Of course. It's the perfect way to cheat.\But you made one big mistake.\What?\Throughout all of history,\no wise king has ever forced his army to obey him through oppression.\People will only truly fight for what is right. response:	And there is only one thing that is truly right in this world!
context: You explain it all away by saying you have more charisma than we do.\Of course. It's the perfect way to cheat.\But you made one big mistake.\What?\Throughout all of history,\no wise king has ever forced his army to obey him through oppression.\People will only truly fight for what is right.\And there is only one thing that is truly right in this world! response:	One thing that's truly right?
context: Of course. It's the perfect way to cheat.\But you made one big mistake.\What?\Throughout all of history,\no wise king has ever forced his army to obey him through oppression.\People will only truly fight for what is right.\And there is only one thing that is truly right in this world!\One thing that's truly right? response:	The one true, unchanging righteousness in the world is...
context: But you made one big mistake.\What?\Throughout all of history,\no wise king has ever forced his army to obey him through oppression.\People will only truly fight for what is right.\And there is only one thing that is truly right in this world!\One thing that's truly right?\The one true, unchanging righteousness in the world is... response:	cuteness!
context: What?\Throughout all of history,\no wise king has ever forced his army to obey him through oppression.\People will only truly fight for what is right.\And there is only one thing that is truly right in this world!\One thing that's truly right?\The one true, unchanging righteousness in the world is...\cuteness! response:	Cute makes right!
context: Throughout all of history,\no wise king has ever forced his army to obey him through oppression.\People will only truly fight for what is right.\And there is only one thing that is truly right in this world!\One thing that's truly right?\The one true, unchanging righteousness in the world is...\cuteness!\Cute makes right! response:	All our needs, desires, and instincts seek cuteness,
context: no wise king has ever forced his army to obey him through oppression.\People will only truly fight for what is right.\And there is only one thing that is truly right in this world!\One thing that's truly right?\The one true, unchanging righteousness in the world is...\cuteness!\Cute makes right!\All our needs, desires, and instincts seek cuteness, response:	and it is for cuteness that we will give everything we have!
context: People will only truly fight for what is right.\And there is only one thing that is truly right in this world!\One thing that's truly right?\The one true, unchanging righteousness in the world is...\cuteness!\Cute makes right!\All our needs, desires, and instincts seek cuteness,\and it is for cuteness that we will give everything we have! response:	That's just the way men are!
context: And there is only one thing that is truly right in this world!\One thing that's truly right?\The one true, unchanging righteousness in the world is...\cuteness!\Cute makes right!\All our needs, desires, and instincts seek cuteness,\and it is for cuteness that we will give everything we have!\That's just the way men are! response:	That... That's not...
context: One thing that's truly right?\The one true, unchanging righteousness in the world is...\cuteness!\Cute makes right!\All our needs, desires, and instincts seek cuteness,\and it is for cuteness that we will give everything we have!\That's just the way men are!\That... That's not... response:	As long as I don't know what race is helping them,
context: The one true, unchanging righteousness in the world is...\cuteness!\Cute makes right!\All our needs, desires, and instincts seek cuteness,\and it is for cuteness that we will give everything we have!\That's just the way men are!\That... That's not...\As long as I don't know what race is helping them, response:	there's a chance they'll find me out.
context: cuteness!\Cute makes right!\All our needs, desires, and instincts seek cuteness,\and it is for cuteness that we will give everything we have!\That's just the way men are!\That... That's not...\As long as I don't know what race is helping them,\there's a chance they'll find me out. response:	But...
context: Cute makes right!\All our needs, desires, and instincts seek cuteness,\and it is for cuteness that we will give everything we have!\That's just the way men are!\That... That's not...\As long as I don't know what race is helping them,\there's a chance they'll find me out.\But... response:	I have to do it!
context: All our needs, desires, and instincts seek cuteness,\and it is for cuteness that we will give everything we have!\That's just the way men are!\That... That's not...\As long as I don't know what race is helping them,\there's a chance they'll find me out.\But...\I have to do it! response:	King to E-6!
context: and it is for cuteness that we will give everything we have!\That's just the way men are!\That... That's not...\As long as I don't know what race is helping them,\there's a chance they'll find me out.\But...\I have to do it!\King to E-6! response:	What?
context: That's just the way men are!\That... That's not...\As long as I don't know what race is helping them,\there's a chance they'll find me out.\But...\I have to do it!\King to E-6!\What? response:	What happened to that piece?
context: That... That's not...\As long as I don't know what race is helping them,\there's a chance they'll find me out.\But...\I have to do it!\King to E-6!\What?\What happened to that piece? response:	This is bad.
context: As long as I don't know what race is helping them,\there's a chance they'll find me out.\But...\I have to do it!\King to E-6!\What?\What happened to that piece?\This is bad. response:	Retreat!
context: there's a chance they'll find me out.\But...\I have to do it!\King to E-6!\What?\What happened to that piece?\This is bad.\Retreat! response:	All forces retreat!
context: But...\I have to do it!\King to E-6!\What?\What happened to that piece?\This is bad.\Retreat!\All forces retreat! response:	The enemy is using brainwashing magic!
context: I have to do it!\King to E-6!\What?\What happened to that piece?\This is bad.\Retreat!\All forces retreat!\The enemy is using brainwashing magic! response:	He found out?
context: King to E-6!\What?\What happened to that piece?\This is bad.\Retreat!\All forces retreat!\The enemy is using brainwashing magic!\He found out? response:	Wh-What's happening?
context: What?\What happened to that piece?\This is bad.\Retreat!\All forces retreat!\The enemy is using brainwashing magic!\He found out?\Wh-What's happening? response:	Just don't let them touch you!
context: What happened to that piece?\This is bad.\Retreat!\All forces retreat!\The enemy is using brainwashing magic!\He found out?\Wh-What's happening?\Just don't let them touch you! response:	It's okay. They don't have proof.
context: This is bad.\Retreat!\All forces retreat!\The enemy is using brainwashing magic!\He found out?\Wh-What's happening?\Just don't let them touch you!\It's okay. They don't have proof. response:	Hurry and retreat!
context: Retreat!\All forces retreat!\The enemy is using brainwashing magic!\He found out?\Wh-What's happening?\Just don't let them touch you!\It's okay. They don't have proof.\Hurry and retreat! response:	And if they can't prove I'm cheating,
context: All forces retreat!\The enemy is using brainwashing magic!\He found out?\Wh-What's happening?\Just don't let them touch you!\It's okay. They don't have proof.\Hurry and retreat!\And if they can't prove I'm cheating, response:	Retreat!
context: The enemy is using brainwashing magic!\He found out?\Wh-What's happening?\Just don't let them touch you!\It's okay. They don't have proof.\Hurry and retreat!\And if they can't prove I'm cheating,\Retreat! response:	I win!
context: He found out?\Wh-What's happening?\Just don't let them touch you!\It's okay. They don't have proof.\Hurry and retreat!\And if they can't prove I'm cheating,\Retreat!\I win! response:	All forces, advance!
context: Wh-What's happening?\Just don't let them touch you!\It's okay. They don't have proof.\Hurry and retreat!\And if they can't prove I'm cheating,\Retreat!\I win!\All forces, advance! response:	Crap.
context: Just don't let them touch you!\It's okay. They don't have proof.\Hurry and retreat!\And if they can't prove I'm cheating,\Retreat!\I win!\All forces, advance!\Crap. response:	Crap. Crap. Crap. Crap.
context: It's okay. They don't have proof.\Hurry and retreat!\And if they can't prove I'm cheating,\Retreat!\I win!\All forces, advance!\Crap.\Crap. Crap. Crap. Crap. response:	I screwed up! I screwed up! I screwed up!
context: Hurry and retreat!\And if they can't prove I'm cheating,\Retreat!\I win!\All forces, advance!\Crap.\Crap. Crap. Crap. Crap.\I screwed up! I screwed up! I screwed up! response:	I thought she only had one cheat up her sleeve
context: And if they can't prove I'm cheating,\Retreat!\I win!\All forces, advance!\Crap.\Crap. Crap. Crap. Crap.\I screwed up! I screwed up! I screwed up!\I thought she only had one cheat up her sleeve response:	and eliminated any other possibilities.
context: Retreat!\I win!\All forces, advance!\Crap.\Crap. Crap. Crap. Crap.\I screwed up! I screwed up! I screwed up!\I thought she only had one cheat up her sleeve\and eliminated any other possibilities. response:	I just made the same mistake I lectured Steph about!
context: I win!\All forces, advance!\Crap.\Crap. Crap. Crap. Crap.\I screwed up! I screwed up! I screwed up!\I thought she only had one cheat up her sleeve\and eliminated any other possibilities.\I just made the same mistake I lectured Steph about! response:	Why couldn't I figure out that one last thing?
context: All forces, advance!\Crap.\Crap. Crap. Crap. Crap.\I screwed up! I screwed up! I screwed up!\I thought she only had one cheat up her sleeve\and eliminated any other possibilities.\I just made the same mistake I lectured Steph about!\Why couldn't I figure out that one last thing? response:	Brother...
context: Crap.\Crap. Crap. Crap. Crap.\I screwed up! I screwed up! I screwed up!\I thought she only had one cheat up her sleeve\and eliminated any other possibilities.\I just made the same mistake I lectured Steph about!\Why couldn't I figure out that one last thing?\Brother... response:	Take the enemy king's head, queen.
context: Crap. Crap. Crap. Crap.\I screwed up! I screwed up! I screwed up!\I thought she only had one cheat up her sleeve\and eliminated any other possibilities.\I just made the same mistake I lectured Steph about!\Why couldn't I figure out that one last thing?\Brother...\Take the enemy king's head, queen. response:	This is checkmate.
context: I screwed up! I screwed up! I screwed up!\I thought she only had one cheat up her sleeve\and eliminated any other possibilities.\I just made the same mistake I lectured Steph about!\Why couldn't I figure out that one last thing?\Brother...\Take the enemy king's head, queen.\This is checkmate. response:	Queen!
context: I thought she only had one cheat up her sleeve\and eliminated any other possibilities.\I just made the same mistake I lectured Steph about!\Why couldn't I figure out that one last thing?\Brother...\Take the enemy king's head, queen.\This is checkmate.\Queen! response:	Wha
context: and eliminated any other possibilities.\I just made the same mistake I lectured Steph about!\Why couldn't I figure out that one last thing?\Brother...\Take the enemy king's head, queen.\This is checkmate.\Queen!\Wha response:	Sora!
context: I just made the same mistake I lectured Steph about!\Why couldn't I figure out that one last thing?\Brother...\Take the enemy king's head, queen.\This is checkmate.\Queen!\Wha\Sora! response:	Queen, put down your sword.
context: Why couldn't I figure out that one last thing?\Brother...\Take the enemy king's head, queen.\This is checkmate.\Queen!\Wha\Sora!\Queen, put down your sword. response:	You are
context: Brother...\Take the enemy king's head, queen.\This is checkmate.\Queen!\Wha\Sora!\Queen, put down your sword.\You are response:	beautiful!
context: Take the enemy king's head, queen.\This is checkmate.\Queen!\Wha\Sora!\Queen, put down your sword.\You are\beautiful! response:	Huh?
context: This is checkmate.\Queen!\Wha\Sora!\Queen, put down your sword.\You are\beautiful!\Huh? response:	Oh, queen...
context: Queen!\Wha\Sora!\Queen, put down your sword.\You are\beautiful!\Huh?\Oh, queen... response:	Is that king worthy of your service?
context: Wha\Sora!\Queen, put down your sword.\You are\beautiful!\Huh?\Oh, queen...\Is that king worthy of your service? response:	That king who brainwashes his soldiers, uses them as weapons and tools,
context: Sora!\Queen, put down your sword.\You are\beautiful!\Huh?\Oh, queen...\Is that king worthy of your service?\That king who brainwashes his soldiers, uses them as weapons and tools, response:	and even forces you to bear the brunt of the assault?
context: Queen, put down your sword.\You are\beautiful!\Huh?\Oh, queen...\Is that king worthy of your service?\That king who brainwashes his soldiers, uses them as weapons and tools,\and even forces you to bear the brunt of the assault? response:	Is he worthy of your sword?
context: You are\beautiful!\Huh?\Oh, queen...\Is that king worthy of your service?\That king who brainwashes his soldiers, uses them as weapons and tools,\and even forces you to bear the brunt of the assault?\Is he worthy of your sword? response:	Please reconsider!
context: beautiful!\Huh?\Oh, queen...\Is that king worthy of your service?\That king who brainwashes his soldiers, uses them as weapons and tools,\and even forces you to bear the brunt of the assault?\Is he worthy of your sword?\Please reconsider! response:	Who are your people?
context: Huh?\Oh, queen...\Is that king worthy of your service?\That king who brainwashes his soldiers, uses them as weapons and tools,\and even forces you to bear the brunt of the assault?\Is he worthy of your sword?\Please reconsider!\Who are your people? response:	Where are those you must protect?
context: Oh, queen...\Is that king worthy of your service?\That king who brainwashes his soldiers, uses them as weapons and tools,\and even forces you to bear the brunt of the assault?\Is he worthy of your sword?\Please reconsider!\Who are your people?\Where are those you must protect? response:	Romance simulation games are
