context: We need to become the MVPs. response:	We're stopping the Quest Dorm from getting shut down,
context: I must assume it was someone by the same name.\Then was there anyone at Hatagaya Academy\with a word meaning bishop in their name?\Searching database.\Zero results.\We don't know where this data came from, or even if it can be trusted.\But\if that door really does exist... response:	Then I can't leave Quest Dorm.
context: Then was there anyone at Hatagaya Academy\with a word meaning bishop in their name?\Searching database.\Zero results.\We don't know where this data came from, or even if it can be trusted.\But\if that door really does exist...\Then I can't leave Quest Dorm. response:	The ultimate truth of this world...
context: with a word meaning bishop in their name?\Searching database.\Zero results.\We don't know where this data came from, or even if it can be trusted.\But\if that door really does exist...\Then I can't leave Quest Dorm.\The ultimate truth of this world... response:	If I can reach it, then I won't die.
context: Searching database.\Zero results.\We don't know where this data came from, or even if it can be trusted.\But\if that door really does exist...\Then I can't leave Quest Dorm.\The ultimate truth of this world...\If I can reach it, then I won't die. response:	The others might not have to suffer.
context: Zero results.\We don't know where this data came from, or even if it can be trusted.\But\if that door really does exist...\Then I can't leave Quest Dorm.\The ultimate truth of this world...\If I can reach it, then I won't die.\The others might not have to suffer. response:	Ruri, I need you.
context: We don't know where this data came from, or even if it can be trusted.\But\if that door really does exist...\Then I can't leave Quest Dorm.\The ultimate truth of this world...\If I can reach it, then I won't die.\The others might not have to suffer.\Ruri, I need you. response:	I want you to help me.
context: But\if that door really does exist...\Then I can't leave Quest Dorm.\The ultimate truth of this world...\If I can reach it, then I won't die.\The others might not have to suffer.\Ruri, I need you.\I want you to help me. response:	You need... me?
context: if that door really does exist...\Then I can't leave Quest Dorm.\The ultimate truth of this world...\If I can reach it, then I won't die.\The others might not have to suffer.\Ruri, I need you.\I want you to help me.\You need... me? response:	There have been plenty of people who tolerated me.
context: Then I can't leave Quest Dorm.\The ultimate truth of this world...\If I can reach it, then I won't die.\The others might not have to suffer.\Ruri, I need you.\I want you to help me.\You need... me?\There have been plenty of people who tolerated me. response:	But for someone to say they needed me?
context: The ultimate truth of this world...\If I can reach it, then I won't die.\The others might not have to suffer.\Ruri, I need you.\I want you to help me.\You need... me?\There have been plenty of people who tolerated me.\But for someone to say they needed me? response:	Hatate Souta-san, you're the first.
context: If I can reach it, then I won't die.\The others might not have to suffer.\Ruri, I need you.\I want you to help me.\You need... me?\There have been plenty of people who tolerated me.\But for someone to say they needed me?\Hatate Souta-san, you're the first. response:	This is the last day for Sports Week!
context: The others might not have to suffer.\Ruri, I need you.\I want you to help me.\You need... me?\There have been plenty of people who tolerated me.\But for someone to say they needed me?\Hatate Souta-san, you're the first.\This is the last day for Sports Week! response:	The last event is an obstacle relay race around the school!
context: Ruri, I need you.\I want you to help me.\You need... me?\There have been plenty of people who tolerated me.\But for someone to say they needed me?\Hatate Souta-san, you're the first.\This is the last day for Sports Week!\The last event is an obstacle relay race around the school! response:	If you manage to use your teamwork to
context: I want you to help me.\You need... me?\There have been plenty of people who tolerated me.\But for someone to say they needed me?\Hatate Souta-san, you're the first.\This is the last day for Sports Week!\The last event is an obstacle relay race around the school!\If you manage to use your teamwork to response:	get around the various obstacles laid out in this large course,
context: You need... me?\There have been plenty of people who tolerated me.\But for someone to say they needed me?\Hatate Souta-san, you're the first.\This is the last day for Sports Week!\The last event is an obstacle relay race around the school!\If you manage to use your teamwork to\get around the various obstacles laid out in this large course, response:	you might be able to get MVP from an underdog position!
context: There have been plenty of people who tolerated me.\But for someone to say they needed me?\Hatate Souta-san, you're the first.\This is the last day for Sports Week!\The last event is an obstacle relay race around the school!\If you manage to use your teamwork to\get around the various obstacles laid out in this large course,\you might be able to get MVP from an underdog position! response:	So if we win, we're MVPs.
context: But for someone to say they needed me?\Hatate Souta-san, you're the first.\This is the last day for Sports Week!\The last event is an obstacle relay race around the school!\If you manage to use your teamwork to\get around the various obstacles laid out in this large course,\you might be able to get MVP from an underdog position!\So if we win, we're MVPs. response:	That makes things easy.
context: Hatate Souta-san, you're the first.\This is the last day for Sports Week!\The last event is an obstacle relay race around the school!\If you manage to use your teamwork to\get around the various obstacles laid out in this large course,\you might be able to get MVP from an underdog position!\So if we win, we're MVPs.\That makes things easy. response:	I wonder if this'll work...
context: This is the last day for Sports Week!\The last event is an obstacle relay race around the school!\If you manage to use your teamwork to\get around the various obstacles laid out in this large course,\you might be able to get MVP from an underdog position!\So if we win, we're MVPs.\That makes things easy.\I wonder if this'll work... response:	The final runners have to
context: The last event is an obstacle relay race around the school!\If you manage to use your teamwork to\get around the various obstacles laid out in this large course,\you might be able to get MVP from an underdog position!\So if we win, we're MVPs.\That makes things easy.\I wonder if this'll work...\The final runners have to response:	run in pairs like this.
context: If you manage to use your teamwork to\get around the various obstacles laid out in this large course,\you might be able to get MVP from an underdog position!\So if we win, we're MVPs.\That makes things easy.\I wonder if this'll work...\The final runners have to\run in pairs like this. response:	It's fine.
context: get around the various obstacles laid out in this large course,\you might be able to get MVP from an underdog position!\So if we win, we're MVPs.\That makes things easy.\I wonder if this'll work...\The final runners have to\run in pairs like this.\It's fine. response:	The victory flags've been raised.
context: you might be able to get MVP from an underdog position!\So if we win, we're MVPs.\That makes things easy.\I wonder if this'll work...\The final runners have to\run in pairs like this.\It's fine.\The victory flags've been raised. response:	On your marks...
context: So if we win, we're MVPs.\That makes things easy.\I wonder if this'll work...\The final runners have to\run in pairs like this.\It's fine.\The victory flags've been raised.\On your marks... response:	Ready...
context: That makes things easy.\I wonder if this'll work...\The final runners have to\run in pairs like this.\It's fine.\The victory flags've been raised.\On your marks...\Ready... response:	Souta-kun...
context: I wonder if this'll work...\The final runners have to\run in pairs like this.\It's fine.\The victory flags've been raised.\On your marks...\Ready...\Souta-kun... response:	What's wrong?
context: The final runners have to\run in pairs like this.\It's fine.\The victory flags've been raised.\On your marks...\Ready...\Souta-kun...\What's wrong? response:	Akane...
context: run in pairs like this.\It's fine.\The victory flags've been raised.\On your marks...\Ready...\Souta-kun...\What's wrong?\Akane... response:	Please win.
context: It's fine.\The victory flags've been raised.\On your marks...\Ready...\Souta-kun...\What's wrong?\Akane...\Please win. response:	Do you think that I wouldn't try?
context: The victory flags've been raised.\On your marks...\Ready...\Souta-kun...\What's wrong?\Akane...\Please win.\Do you think that I wouldn't try? response:	Thank you.
context: On your marks...\Ready...\Souta-kun...\What's wrong?\Akane...\Please win.\Do you think that I wouldn't try?\Thank you. response:	I'll have to make it up to you.
context: Ready...\Souta-kun...\What's wrong?\Akane...\Please win.\Do you think that I wouldn't try?\Thank you.\I'll have to make it up to you. response:	Oh, then could I ask something of you?
context: Souta-kun...\What's wrong?\Akane...\Please win.\Do you think that I wouldn't try?\Thank you.\I'll have to make it up to you.\Oh, then could I ask something of you? response:	Sure. Anything's fine.
context: What's wrong?\Akane...\Please win.\Do you think that I wouldn't try?\Thank you.\I'll have to make it up to you.\Oh, then could I ask something of you?\Sure. Anything's fine. response:	Th-Then it's a promise.
context: Akane...\Please win.\Do you think that I wouldn't try?\Thank you.\I'll have to make it up to you.\Oh, then could I ask something of you?\Sure. Anything's fine.\Th-Then it's a promise. response:	Pop.
context: Please win.\Do you think that I wouldn't try?\Thank you.\I'll have to make it up to you.\Oh, then could I ask something of you?\Sure. Anything's fine.\Th-Then it's a promise.\Pop. response:	It's a promise.
context: Do you think that I wouldn't try?\Thank you.\I'll have to make it up to you.\Oh, then could I ask something of you?\Sure. Anything's fine.\Th-Then it's a promise.\Pop.\It's a promise. response:	Kikuno-senpai!
context: Thank you.\I'll have to make it up to you.\Oh, then could I ask something of you?\Sure. Anything's fine.\Th-Then it's a promise.\Pop.\It's a promise.\Kikuno-senpai! response:	Okiku-nee,
context: I'll have to make it up to you.\Oh, then could I ask something of you?\Sure. Anything's fine.\Th-Then it's a promise.\Pop.\It's a promise.\Kikuno-senpai!\Okiku-nee, response:	I'm sorry for making you worry all the time,
context: Oh, then could I ask something of you?\Sure. Anything's fine.\Th-Then it's a promise.\Pop.\It's a promise.\Kikuno-senpai!\Okiku-nee,\I'm sorry for making you worry all the time, response:	and being such a terrible little brother character,
context: Sure. Anything's fine.\Th-Then it's a promise.\Pop.\It's a promise.\Kikuno-senpai!\Okiku-nee,\I'm sorry for making you worry all the time,\and being such a terrible little brother character, response:	but I want you to win.
context: Th-Then it's a promise.\Pop.\It's a promise.\Kikuno-senpai!\Okiku-nee,\I'm sorry for making you worry all the time,\and being such a terrible little brother character,\but I want you to win. response:	You're not a little brother character.
context: Pop.\It's a promise.\Kikuno-senpai!\Okiku-nee,\I'm sorry for making you worry all the time,\and being such a terrible little brother character,\but I want you to win.\You're not a little brother character. response:	You're my little brother.
context: It's a promise.\Kikuno-senpai!\Okiku-nee,\I'm sorry for making you worry all the time,\and being such a terrible little brother character,\but I want you to win.\You're not a little brother character.\You're my little brother. response:	Pop.
context: Kikuno-senpai!\Okiku-nee,\I'm sorry for making you worry all the time,\and being such a terrible little brother character,\but I want you to win.\You're not a little brother character.\You're my little brother.\Pop. response:	Older sisters are invincible when it comes to their little brothers.
context: Okiku-nee,\I'm sorry for making you worry all the time,\and being such a terrible little brother character,\but I want you to win.\You're not a little brother character.\You're my little brother.\Pop.\Older sisters are invincible when it comes to their little brothers. response:	Megu-chan!
context: I'm sorry for making you worry all the time,\and being such a terrible little brother character,\but I want you to win.\You're not a little brother character.\You're my little brother.\Pop.\Older sisters are invincible when it comes to their little brothers.\Megu-chan! response:	Megumu...
context: and being such a terrible little brother character,\but I want you to win.\You're not a little brother character.\You're my little brother.\Pop.\Older sisters are invincible when it comes to their little brothers.\Megu-chan!\Megumu... response:	I'm not sure how to say this, but...
context: but I want you to win.\You're not a little brother character.\You're my little brother.\Pop.\Older sisters are invincible when it comes to their little brothers.\Megu-chan!\Megumu...\I'm not sure how to say this, but... response:	Is this...
context: You're not a little brother character.\You're my little brother.\Pop.\Older sisters are invincible when it comes to their little brothers.\Megu-chan!\Megumu...\I'm not sure how to say this, but...\Is this... response:	I understand... I understand, Souta-kun!
context: You're my little brother.\Pop.\Older sisters are invincible when it comes to their little brothers.\Megu-chan!\Megumu...\I'm not sure how to say this, but...\Is this...\I understand... I understand, Souta-kun! response:	Pop, pop, pop, pop, pop!
context: Pop.\Older sisters are invincible when it comes to their little brothers.\Megu-chan!\Megumu...\I'm not sure how to say this, but...\Is this...\I understand... I understand, Souta-kun!\Pop, pop, pop, pop, pop! response:	Men don't need words to promise something to each other.
context: Older sisters are invincible when it comes to their little brothers.\Megu-chan!\Megumu...\I'm not sure how to say this, but...\Is this...\I understand... I understand, Souta-kun!\Pop, pop, pop, pop, pop!\Men don't need words to promise something to each other. response:	Rin-senpai!
context: Megu-chan!\Megumu...\I'm not sure how to say this, but...\Is this...\I understand... I understand, Souta-kun!\Pop, pop, pop, pop, pop!\Men don't need words to promise something to each other.\Rin-senpai! response:	Rin-kun, thank you for trying so hard for me.
context: Megumu...\I'm not sure how to say this, but...\Is this...\I understand... I understand, Souta-kun!\Pop, pop, pop, pop, pop!\Men don't need words to promise something to each other.\Rin-senpai!\Rin-kun, thank you for trying so hard for me. response:	I'm truly grateful to you.
context: I'm not sure how to say this, but...\Is this...\I understand... I understand, Souta-kun!\Pop, pop, pop, pop, pop!\Men don't need words to promise something to each other.\Rin-senpai!\Rin-kun, thank you for trying so hard for me.\I'm truly grateful to you. response:	N-No problem.
context: Is this...\I understand... I understand, Souta-kun!\Pop, pop, pop, pop, pop!\Men don't need words to promise something to each other.\Rin-senpai!\Rin-kun, thank you for trying so hard for me.\I'm truly grateful to you.\N-No problem. response:	I've always been best friends with you.
context: I understand... I understand, Souta-kun!\Pop, pop, pop, pop, pop!\Men don't need words to promise something to each other.\Rin-senpai!\Rin-kun, thank you for trying so hard for me.\I'm truly grateful to you.\N-No problem.\I've always been best friends with you. response:	Yes.
context: Pop, pop, pop, pop, pop!\Men don't need words to promise something to each other.\Rin-senpai!\Rin-kun, thank you for trying so hard for me.\I'm truly grateful to you.\N-No problem.\I've always been best friends with you.\Yes. response:	You could never be replaced in my heart
context: Men don't need words to promise something to each other.\Rin-senpai!\Rin-kun, thank you for trying so hard for me.\I'm truly grateful to you.\N-No problem.\I've always been best friends with you.\Yes.\You could never be replaced in my heart response:	you were my hero.
context: Rin-senpai!\Rin-kun, thank you for trying so hard for me.\I'm truly grateful to you.\N-No problem.\I've always been best friends with you.\Yes.\You could never be replaced in my heart\you were my hero. response:	Souta...
context: Rin-kun, thank you for trying so hard for me.\I'm truly grateful to you.\N-No problem.\I've always been best friends with you.\Yes.\You could never be replaced in my heart\you were my hero.\Souta... response:	Pop, pop, pop, pop.
context: I'm truly grateful to you.\N-No problem.\I've always been best friends with you.\Yes.\You could never be replaced in my heart\you were my hero.\Souta...\Pop, pop, pop, pop. response:	So I want you to show me how cool you can be, once again.
context: N-No problem.\I've always been best friends with you.\Yes.\You could never be replaced in my heart\you were my hero.\Souta...\Pop, pop, pop, pop.\So I want you to show me how cool you can be, once again. response:	Just you wait, Souta!
context: I've always been best friends with you.\Yes.\You could never be replaced in my heart\you were my hero.\Souta...\Pop, pop, pop, pop.\So I want you to show me how cool you can be, once again.\Just you wait, Souta! response:	I see.
context: Yes.\You could never be replaced in my heart\you were my hero.\Souta...\Pop, pop, pop, pop.\So I want you to show me how cool you can be, once again.\Just you wait, Souta!\I see. response:	I was wondering why you were running around all over the place.
context: You could never be replaced in my heart\you were my hero.\Souta...\Pop, pop, pop, pop.\So I want you to show me how cool you can be, once again.\Just you wait, Souta!\I see.\I was wondering why you were running around all over the place. response:	I was just using everyone.
context: you were my hero.\Souta...\Pop, pop, pop, pop.\So I want you to show me how cool you can be, once again.\Just you wait, Souta!\I see.\I was wondering why you were running around all over the place.\I was just using everyone. response:	But still, I...
context: Souta...\Pop, pop, pop, pop.\So I want you to show me how cool you can be, once again.\Just you wait, Souta!\I see.\I was wondering why you were running around all over the place.\I was just using everyone.\But still, I... response:	Ridiculous.
context: Pop, pop, pop, pop.\So I want you to show me how cool you can be, once again.\Just you wait, Souta!\I see.\I was wondering why you were running around all over the place.\I was just using everyone.\But still, I...\Ridiculous. response:	They fall head over heels for you, and you're worried about that?
context: So I want you to show me how cool you can be, once again.\Just you wait, Souta!\I see.\I was wondering why you were running around all over the place.\I was just using everyone.\But still, I...\Ridiculous.\They fall head over heels for you, and you're worried about that? response:	By the way, I don't really care about this MVP stuff.
context: Just you wait, Souta!\I see.\I was wondering why you were running around all over the place.\I was just using everyone.\But still, I...\Ridiculous.\They fall head over heels for you, and you're worried about that?\By the way, I don't really care about this MVP stuff. response:	I just don't like losing to others.
context: I see.\I was wondering why you were running around all over the place.\I was just using everyone.\But still, I...\Ridiculous.\They fall head over heels for you, and you're worried about that?\By the way, I don't really care about this MVP stuff.\I just don't like losing to others. response:	Yeah.
context: I was wondering why you were running around all over the place.\I was just using everyone.\But still, I...\Ridiculous.\They fall head over heels for you, and you're worried about that?\By the way, I don't really care about this MVP stuff.\I just don't like losing to others.\Yeah. response:	I don't know how to get your victory flag up, even though I knew the others
context: I was just using everyone.\But still, I...\Ridiculous.\They fall head over heels for you, and you're worried about that?\By the way, I don't really care about this MVP stuff.\I just don't like losing to others.\Yeah.\I don't know how to get your victory flag up, even though I knew the others response:	Huh?
context: But still, I...\Ridiculous.\They fall head over heels for you, and you're worried about that?\By the way, I don't really care about this MVP stuff.\I just don't like losing to others.\Yeah.\I don't know how to get your victory flag up, even though I knew the others\Huh? response:	You know, I've never seen a flag of hers.
context: Ridiculous.\They fall head over heels for you, and you're worried about that?\By the way, I don't really care about this MVP stuff.\I just don't like losing to others.\Yeah.\I don't know how to get your victory flag up, even though I knew the others\Huh?\You know, I've never seen a flag of hers. response:	Does Nanami not have flags?
context: They fall head over heels for you, and you're worried about that?\By the way, I don't really care about this MVP stuff.\I just don't like losing to others.\Yeah.\I don't know how to get your victory flag up, even though I knew the others\Huh?\You know, I've never seen a flag of hers.\Does Nanami not have flags? response:	Souta!
context: By the way, I don't really care about this MVP stuff.\I just don't like losing to others.\Yeah.\I don't know how to get your victory flag up, even though I knew the others\Huh?\You know, I've never seen a flag of hers.\Does Nanami not have flags?\Souta! response:	Take it!
context: I just don't like losing to others.\Yeah.\I don't know how to get your victory flag up, even though I knew the others\Huh?\You know, I've never seen a flag of hers.\Does Nanami not have flags?\Souta!\Take it! response:	Let's go, Nanami!
context: Yeah.\I don't know how to get your victory flag up, even though I knew the others\Huh?\You know, I've never seen a flag of hers.\Does Nanami not have flags?\Souta!\Take it!\Let's go, Nanami! response:	We're going to stay in the lead!
context: I don't know how to get your victory flag up, even though I knew the others\Huh?\You know, I've never seen a flag of hers.\Does Nanami not have flags?\Souta!\Take it!\Let's go, Nanami!\We're going to stay in the lead! response:	Yeah, we're going to be MVPs!
context: Huh?\You know, I've never seen a flag of hers.\Does Nanami not have flags?\Souta!\Take it!\Let's go, Nanami!\We're going to stay in the lead!\Yeah, we're going to be MVPs! response:	We're almost there!
context: You know, I've never seen a flag of hers.\Does Nanami not have flags?\Souta!\Take it!\Let's go, Nanami!\We're going to stay in the lead!\Yeah, we're going to be MVPs!\We're almost there! response:	I know!
context: Does Nanami not have flags?\Souta!\Take it!\Let's go, Nanami!\We're going to stay in the lead!\Yeah, we're going to be MVPs!\We're almost there!\I know! response:	Fight!
context: Souta!\Take it!\Let's go, Nanami!\We're going to stay in the lead!\Yeah, we're going to be MVPs!\We're almost there!\I know!\Fight! response:	You can do it!
context: Take it!\Let's go, Nanami!\We're going to stay in the lead!\Yeah, we're going to be MVPs!\We're almost there!\I know!\Fight!\You can do it! response:	Show us what you're made of!
context: Let's go, Nanami!\We're going to stay in the lead!\Yeah, we're going to be MVPs!\We're almost there!\I know!\Fight!\You can do it!\Show us what you're made of! response:	You're almost there!
context: We're going to stay in the lead!\Yeah, we're going to be MVPs!\We're almost there!\I know!\Fight!\You can do it!\Show us what you're made of!\You're almost there! response:	Quest Dorm team is in first!
context: Yeah, we're going to be MVPs!\We're almost there!\I know!\Fight!\You can do it!\Show us what you're made of!\You're almost there!\Quest Dorm team is in first! response:	All they have to do is put their ice on the table,
context: We're almost there!\I know!\Fight!\You can do it!\Show us what you're made of!\You're almost there!\Quest Dorm team is in first!\All they have to do is put their ice on the table, response:	and run to the goal!
context: I know!\Fight!\You can do it!\Show us what you're made of!\You're almost there!\Quest Dorm team is in first!\All they have to do is put their ice on the table,\and run to the goal! response:	All right. Let's go.
context: Fight!\You can do it!\Show us what you're made of!\You're almost there!\Quest Dorm team is in first!\All they have to do is put their ice on the table,\and run to the goal!\All right. Let's go. response:	Nanami, are you okay?!
context: You can do it!\Show us what you're made of!\You're almost there!\Quest Dorm team is in first!\All they have to do is put their ice on the table,\and run to the goal!\All right. Let's go.\Nanami, are you okay?! response:	Just a small scrape.
context: Show us what you're made of!\You're almost there!\Quest Dorm team is in first!\All they have to do is put their ice on the table,\and run to the goal!\All right. Let's go.\Nanami, are you okay?!\Just a small scrape. response:	Don't push yourself.
context: You're almost there!\Quest Dorm team is in first!\All they have to do is put their ice on the table,\and run to the goal!\All right. Let's go.\Nanami, are you okay?!\Just a small scrape.\Don't push yourself. response:	We can go to the infirmary.
context: Quest Dorm team is in first!\All they have to do is put their ice on the table,\and run to the goal!\All right. Let's go.\Nanami, are you okay?!\Just a small scrape.\Don't push yourself.\We can go to the infirmary. response:	No, there's only half a lap left.
context: All they have to do is put their ice on the table,\and run to the goal!\All right. Let's go.\Nanami, are you okay?!\Just a small scrape.\Don't push yourself.\We can go to the infirmary.\No, there's only half a lap left. response:	Let's go.
context: and run to the goal!\All right. Let's go.\Nanami, are you okay?!\Just a small scrape.\Don't push yourself.\We can go to the infirmary.\No, there's only half a lap left.\Let's go. response:	Why are we the anchors if we can't deliver the sash,
context: All right. Let's go.\Nanami, are you okay?!\Just a small scrape.\Don't push yourself.\We can go to the infirmary.\No, there's only half a lap left.\Let's go.\Why are we the anchors if we can't deliver the sash, response:	containing everyone's feelings, to the finish line properly?
context: Nanami, are you okay?!\Just a small scrape.\Don't push yourself.\We can go to the infirmary.\No, there's only half a lap left.\Let's go.\Why are we the anchors if we can't deliver the sash,\containing everyone's feelings, to the finish line properly? response:	Fine. Let's go, Nanami.
context: Just a small scrape.\Don't push yourself.\We can go to the infirmary.\No, there's only half a lap left.\Let's go.\Why are we the anchors if we can't deliver the sash,\containing everyone's feelings, to the finish line properly?\Fine. Let's go, Nanami. response:	Yeah, it's the last spurt!
context: Don't push yourself.\We can go to the infirmary.\No, there's only half a lap left.\Let's go.\Why are we the anchors if we can't deliver the sash,\containing everyone's feelings, to the finish line properly?\Fine. Let's go, Nanami.\Yeah, it's the last spurt! response:	You can do it!
context: We can go to the infirmary.\No, there's only half a lap left.\Let's go.\Why are we the anchors if we can't deliver the sash,\containing everyone's feelings, to the finish line properly?\Fine. Let's go, Nanami.\Yeah, it's the last spurt!\You can do it! response:	I'm sorry, Souta...
context: No, there's only half a lap left.\Let's go.\Why are we the anchors if we can't deliver the sash,\containing everyone's feelings, to the finish line properly?\Fine. Let's go, Nanami.\Yeah, it's the last spurt!\You can do it!\I'm sorry, Souta... response:	No, you saved me from...
context: Let's go.\Why are we the anchors if we can't deliver the sash,\containing everyone's feelings, to the finish line properly?\Fine. Let's go, Nanami.\Yeah, it's the last spurt!\You can do it!\I'm sorry, Souta...\No, you saved me from... response:	Not that...
context: Why are we the anchors if we can't deliver the sash,\containing everyone's feelings, to the finish line properly?\Fine. Let's go, Nanami.\Yeah, it's the last spurt!\You can do it!\I'm sorry, Souta...\No, you saved me from...\Not that... response:	If I had a victory flag, too...
context: containing everyone's feelings, to the finish line properly?\Fine. Let's go, Nanami.\Yeah, it's the last spurt!\You can do it!\I'm sorry, Souta...\No, you saved me from...\Not that...\If I had a victory flag, too... response:	Nanami...
context: Fine. Let's go, Nanami.\Yeah, it's the last spurt!\You can do it!\I'm sorry, Souta...\No, you saved me from...\Not that...\If I had a victory flag, too...\Nanami... response:	Will I
context: Yeah, it's the last spurt!\You can do it!\I'm sorry, Souta...\No, you saved me from...\Not that...\If I had a victory flag, too...\Nanami...\Will I response:	only bring sorrow to everyone?
context: You can do it!\I'm sorry, Souta...\No, you saved me from...\Not that...\If I had a victory flag, too...\Nanami...\Will I\only bring sorrow to everyone? response:	Is it right for me to just disappear?
context: I'm sorry, Souta...\No, you saved me from...\Not that...\If I had a victory flag, too...\Nanami...\Will I\only bring sorrow to everyone?\Is it right for me to just disappear? response:	I'm sorry, Nanami.
context: No, you saved me from...\Not that...\If I had a victory flag, too...\Nanami...\Will I\only bring sorrow to everyone?\Is it right for me to just disappear?\I'm sorry, Nanami. response:	Let's go.
context: Not that...\If I had a victory flag, too...\Nanami...\Will I\only bring sorrow to everyone?\Is it right for me to just disappear?\I'm sorry, Nanami.\Let's go. response:	But I still want to be...
context: If I had a victory flag, too...\Nanami...\Will I\only bring sorrow to everyone?\Is it right for me to just disappear?\I'm sorry, Nanami.\Let's go.\But I still want to be... response:	I want to be with everyone!
context: Nanami...\Will I\only bring sorrow to everyone?\Is it right for me to just disappear?\I'm sorry, Nanami.\Let's go.\But I still want to be...\I want to be with everyone! response:	Quest Dorm team is catching up at a crazy pace!
context: Will I\only bring sorrow to everyone?\Is it right for me to just disappear?\I'm sorry, Nanami.\Let's go.\But I still want to be...\I want to be with everyone!\Quest Dorm team is catching up at a crazy pace! response:	Go!
context: only bring sorrow to everyone?\Is it right for me to just disappear?\I'm sorry, Nanami.\Let's go.\But I still want to be...\I want to be with everyone!\Quest Dorm team is catching up at a crazy pace!\Go! response:	Who got to the finish line first?!
context: Is it right for me to just disappear?\I'm sorry, Nanami.\Let's go.\But I still want to be...\I want to be with everyone!\Quest Dorm team is catching up at a crazy pace!\Go!\Who got to the finish line first?! response:	Quest Dorm Team Baseball Team
context: I'm sorry, Nanami.\Let's go.\But I still want to be...\I want to be with everyone!\Quest Dorm team is catching up at a crazy pace!\Go!\Who got to the finish line first?!\Quest Dorm Team Baseball Team response:	Hatagaya Academy Around the school obstacle relay
context: Let's go.\But I still want to be...\I want to be with everyone!\Quest Dorm team is catching up at a crazy pace!\Go!\Who got to the finish line first?!\Quest Dorm Team Baseball Team\Hatagaya Academy Around the school obstacle relay response:	Photo finish
context: But I still want to be...\I want to be with everyone!\Quest Dorm team is catching up at a crazy pace!\Go!\Who got to the finish line first?!\Quest Dorm Team Baseball Team\Hatagaya Academy Around the school obstacle relay\Photo finish response:	Photo finish.
context: I want to be with everyone!\Quest Dorm team is catching up at a crazy pace!\Go!\Who got to the finish line first?!\Quest Dorm Team Baseball Team\Hatagaya Academy Around the school obstacle relay\Photo finish\Photo finish. response:	First is...
context: Quest Dorm team is catching up at a crazy pace!\Go!\Who got to the finish line first?!\Quest Dorm Team Baseball Team\Hatagaya Academy Around the school obstacle relay\Photo finish\Photo finish.\First is... response:	1st Place: Baseball Team
context: Go!\Who got to the finish line first?!\Quest Dorm Team Baseball Team\Hatagaya Academy Around the school obstacle relay\Photo finish\Photo finish.\First is...\1st Place: Baseball Team response:	2nd Place: Quest Dorm Team
context: Who got to the finish line first?!\Quest Dorm Team Baseball Team\Hatagaya Academy Around the school obstacle relay\Photo finish\Photo finish.\First is...\1st Place: Baseball Team\2nd Place: Quest Dorm Team response:	First is the baseball team!
context: Quest Dorm Team Baseball Team\Hatagaya Academy Around the school obstacle relay\Photo finish\Photo finish.\First is...\1st Place: Baseball Team\2nd Place: Quest Dorm Team\First is the baseball team! response:	The Quest Dorm team is a close second.
context: Hatagaya Academy Around the school obstacle relay\Photo finish\Photo finish.\First is...\1st Place: Baseball Team\2nd Place: Quest Dorm Team\First is the baseball team!\The Quest Dorm team is a close second. response:	So what does this mean...
context: Photo finish\Photo finish.\First is...\1st Place: Baseball Team\2nd Place: Quest Dorm Team\First is the baseball team!\The Quest Dorm team is a close second.\So what does this mean... response:	We lost.
context: Photo finish.\First is...\1st Place: Baseball Team\2nd Place: Quest Dorm Team\First is the baseball team!\The Quest Dorm team is a close second.\So what does this mean...\We lost. response:	Does that mean Souta-kun is going to...
context: First is...\1st Place: Baseball Team\2nd Place: Quest Dorm Team\First is the baseball team!\The Quest Dorm team is a close second.\So what does this mean...\We lost.\Does that mean Souta-kun is going to... response:	That can't be...
context: 1st Place: Baseball Team\2nd Place: Quest Dorm Team\First is the baseball team!\The Quest Dorm team is a close second.\So what does this mean...\We lost.\Does that mean Souta-kun is going to...\That can't be... response:	Thank you, everyone.
context: 2nd Place: Quest Dorm Team\First is the baseball team!\The Quest Dorm team is a close second.\So what does this mean...\We lost.\Does that mean Souta-kun is going to...\That can't be...\Thank you, everyone. response:	I'm really glad I got to work so hard towards something with all of you.
context: First is the baseball team!\The Quest Dorm team is a close second.\So what does this mean...\We lost.\Does that mean Souta-kun is going to...\That can't be...\Thank you, everyone.\I'm really glad I got to work so hard towards something with all of you. response:	I'm at fault here.
context: The Quest Dorm team is a close second.\So what does this mean...\We lost.\Does that mean Souta-kun is going to...\That can't be...\Thank you, everyone.\I'm really glad I got to work so hard towards something with all of you.\I'm at fault here. response:	If I hadn't been hurt...
context: So what does this mean...\We lost.\Does that mean Souta-kun is going to...\That can't be...\Thank you, everyone.\I'm really glad I got to work so hard towards something with all of you.\I'm at fault here.\If I hadn't been hurt... response:	Souta-kun...
context: We lost.\Does that mean Souta-kun is going to...\That can't be...\Thank you, everyone.\I'm really glad I got to work so hard towards something with all of you.\I'm at fault here.\If I hadn't been hurt...\Souta-kun... response:	Huh?
context: Does that mean Souta-kun is going to...\That can't be...\Thank you, everyone.\I'm really glad I got to work so hard towards something with all of you.\I'm at fault here.\If I hadn't been hurt...\Souta-kun...\Huh? response:	We were moved!
context: That can't be...\Thank you, everyone.\I'm really glad I got to work so hard towards something with all of you.\I'm at fault here.\If I hadn't been hurt...\Souta-kun...\Huh?\We were moved! response:	These are the people on the board that were complaining about you.
