context: Recently, on Fairy Tail... response:	At the end of the fierce battle on Tenroujima, we somehow returned home alive
context: in the infinite wilderness\Hold back tears\and move on towards tomorrow\I'm the star that's meant for you,\so I shine bright\This song is meant for you,\so show me your smile\Thank you. response:	I love all of you!
context: Hold back tears\and move on towards tomorrow\I'm the star that's meant for you,\so I shine bright\This song is meant for you,\so show me your smile\Thank you.\I love all of you! response:	Heh.
context: and move on towards tomorrow\I'm the star that's meant for you,\so I shine bright\This song is meant for you,\so show me your smile\Thank you.\I love all of you!\Heh. response:	I had a great time.
context: I'm the star that's meant for you,\so I shine bright\This song is meant for you,\so show me your smile\Thank you.\I love all of you!\Heh.\I had a great time. response:	I've never eaten anything so delicious!
context: so I shine bright\This song is meant for you,\so show me your smile\Thank you.\I love all of you!\Heh.\I had a great time.\I've never eaten anything so delicious! response:	You ate it?! How could you?!
context: This song is meant for you,\so show me your smile\Thank you.\I love all of you!\Heh.\I had a great time.\I've never eaten anything so delicious!\You ate it?! How could you?! response:	You're sure I can have this?
context: so show me your smile\Thank you.\I love all of you!\Heh.\I had a great time.\I've never eaten anything so delicious!\You ate it?! How could you?!\You're sure I can have this? response:	I want these clothes!
context: Thank you.\I love all of you!\Heh.\I had a great time.\I've never eaten anything so delicious!\You ate it?! How could you?!\You're sure I can have this?\I want these clothes! response:	I can't get away from this weird Plue.
context: I love all of you!\Heh.\I had a great time.\I've never eaten anything so delicious!\You ate it?! How could you?!\You're sure I can have this?\I want these clothes!\I can't get away from this weird Plue. response:	They've got a weird bond going on over there, too.
context: Heh.\I had a great time.\I've never eaten anything so delicious!\You ate it?! How could you?!\You're sure I can have this?\I want these clothes!\I can't get away from this weird Plue.\They've got a weird bond going on over there, too. response:	You have it rough, girl.
context: I had a great time.\I've never eaten anything so delicious!\You ate it?! How could you?!\You're sure I can have this?\I want these clothes!\I can't get away from this weird Plue.\They've got a weird bond going on over there, too.\You have it rough, girl. response:	You too, Aquarius-san!
context: I've never eaten anything so delicious!\You ate it?! How could you?!\You're sure I can have this?\I want these clothes!\I can't get away from this weird Plue.\They've got a weird bond going on over there, too.\You have it rough, girl.\You too, Aquarius-san! response:	Old friend, we shall always be with you.
context: You ate it?! How could you?!\You're sure I can have this?\I want these clothes!\I can't get away from this weird Plue.\They've got a weird bond going on over there, too.\You have it rough, girl.\You too, Aquarius-san!\Old friend, we shall always be with you. response:	Yeah!
context: You're sure I can have this?\I want these clothes!\I can't get away from this weird Plue.\They've got a weird bond going on over there, too.\You have it rough, girl.\You too, Aquarius-san!\Old friend, we shall always be with you.\Yeah! response:	I look forward to working together again.
context: I want these clothes!\I can't get away from this weird Plue.\They've got a weird bond going on over there, too.\You have it rough, girl.\You too, Aquarius-san!\Old friend, we shall always be with you.\Yeah!\I look forward to working together again. response:	You can call on meh or any of us anytime!
context: I can't get away from this weird Plue.\They've got a weird bond going on over there, too.\You have it rough, girl.\You too, Aquarius-san!\Old friend, we shall always be with you.\Yeah!\I look forward to working together again.\You can call on meh or any of us anytime! response:	I'll drop by the guild again sometime.
context: They've got a weird bond going on over there, too.\You have it rough, girl.\You too, Aquarius-san!\Old friend, we shall always be with you.\Yeah!\I look forward to working together again.\You can call on meh or any of us anytime!\I'll drop by the guild again sometime. response:	Everyone, please continue to take good care of Lucy-san.
context: You have it rough, girl.\You too, Aquarius-san!\Old friend, we shall always be with you.\Yeah!\I look forward to working together again.\You can call on meh or any of us anytime!\I'll drop by the guild again sometime.\Everyone, please continue to take good care of Lucy-san. response:	Well, old friend, may you have the divine protection of the stars.
context: You too, Aquarius-san!\Old friend, we shall always be with you.\Yeah!\I look forward to working together again.\You can call on meh or any of us anytime!\I'll drop by the guild again sometime.\Everyone, please continue to take good care of Lucy-san.\Well, old friend, may you have the divine protection of the stars. response:	The Celestial Spirits sure do love you.
context: Old friend, we shall always be with you.\Yeah!\I look forward to working together again.\You can call on meh or any of us anytime!\I'll drop by the guild again sometime.\Everyone, please continue to take good care of Lucy-san.\Well, old friend, may you have the divine protection of the stars.\The Celestial Spirits sure do love you. response:	Everyone, you're all wonderful friends!
context: Yeah!\I look forward to working together again.\You can call on meh or any of us anytime!\I'll drop by the guild again sometime.\Everyone, please continue to take good care of Lucy-san.\Well, old friend, may you have the divine protection of the stars.\The Celestial Spirits sure do love you.\Everyone, you're all wonderful friends! response:	Alright! We had a blast, but once we get back, we better train hard!
context: I look forward to working together again.\You can call on meh or any of us anytime!\I'll drop by the guild again sometime.\Everyone, please continue to take good care of Lucy-san.\Well, old friend, may you have the divine protection of the stars.\The Celestial Spirits sure do love you.\Everyone, you're all wonderful friends!\Alright! We had a blast, but once we get back, we better train hard! response:	That's right! We got three months to catch up to all those other guilds!
context: You can call on meh or any of us anytime!\I'll drop by the guild again sometime.\Everyone, please continue to take good care of Lucy-san.\Well, old friend, may you have the divine protection of the stars.\The Celestial Spirits sure do love you.\Everyone, you're all wonderful friends!\Alright! We had a blast, but once we get back, we better train hard!\That's right! We got three months to catch up to all those other guilds! response:	And beat Sabertooth!
context: I'll drop by the guild again sometime.\Everyone, please continue to take good care of Lucy-san.\Well, old friend, may you have the divine protection of the stars.\The Celestial Spirits sure do love you.\Everyone, you're all wonderful friends!\Alright! We had a blast, but once we get back, we better train hard!\That's right! We got three months to catch up to all those other guilds!\And beat Sabertooth! response:	Oh, there is one thing I forgot to tell you.
context: Everyone, please continue to take good care of Lucy-san.\Well, old friend, may you have the divine protection of the stars.\The Celestial Spirits sure do love you.\Everyone, you're all wonderful friends!\Alright! We had a blast, but once we get back, we better train hard!\That's right! We got three months to catch up to all those other guilds!\And beat Sabertooth!\Oh, there is one thing I forgot to tell you. response:	The flow of time is different in the Celestial Spirit World and the human world.
context: Well, old friend, may you have the divine protection of the stars.\The Celestial Spirits sure do love you.\Everyone, you're all wonderful friends!\Alright! We had a blast, but once we get back, we better train hard!\That's right! We got three months to catch up to all those other guilds!\And beat Sabertooth!\Oh, there is one thing I forgot to tell you.\The flow of time is different in the Celestial Spirit World and the human world. response:	You don't mean...
context: The Celestial Spirits sure do love you.\Everyone, you're all wonderful friends!\Alright! We had a blast, but once we get back, we better train hard!\That's right! We got three months to catch up to all those other guilds!\And beat Sabertooth!\Oh, there is one thing I forgot to tell you.\The flow of time is different in the Celestial Spirit World and the human world.\You don't mean... response:	Like one year here is only a day in the human world or somethin'?!
context: Everyone, you're all wonderful friends!\Alright! We had a blast, but once we get back, we better train hard!\That's right! We got three months to catch up to all those other guilds!\And beat Sabertooth!\Oh, there is one thing I forgot to tell you.\The flow of time is different in the Celestial Spirit World and the human world.\You don't mean...\Like one year here is only a day in the human world or somethin'?! response:	This would be a training paradise then!
context: Alright! We had a blast, but once we get back, we better train hard!\That's right! We got three months to catch up to all those other guilds!\And beat Sabertooth!\Oh, there is one thing I forgot to tell you.\The flow of time is different in the Celestial Spirit World and the human world.\You don't mean...\Like one year here is only a day in the human world or somethin'?!\This would be a training paradise then! response:	No.
context: That's right! We got three months to catch up to all those other guilds!\And beat Sabertooth!\Oh, there is one thing I forgot to tell you.\The flow of time is different in the Celestial Spirit World and the human world.\You don't mean...\Like one year here is only a day in the human world or somethin'?!\This would be a training paradise then!\No. response:	It's the opposite.
context: And beat Sabertooth!\Oh, there is one thing I forgot to tell you.\The flow of time is different in the Celestial Spirit World and the human world.\You don't mean...\Like one year here is only a day in the human world or somethin'?!\This would be a training paradise then!\No.\It's the opposite. response:	One day spent in the Celestial Spirit World equals...
context: Oh, there is one thing I forgot to tell you.\The flow of time is different in the Celestial Spirit World and the human world.\You don't mean...\Like one year here is only a day in the human world or somethin'?!\This would be a training paradise then!\No.\It's the opposite.\One day spent in the Celestial Spirit World equals... response:	Everyone! We got tired of waiting for you!
context: The flow of time is different in the Celestial Spirit World and the human world.\You don't mean...\Like one year here is only a day in the human world or somethin'?!\This would be a training paradise then!\No.\It's the opposite.\One day spent in the Celestial Spirit World equals...\Everyone! We got tired of waiting for you! response:	The Grand Magic Games are just five days away!
context: You don't mean...\Like one year here is only a day in the human world or somethin'?!\This would be a training paradise then!\No.\It's the opposite.\One day spent in the Celestial Spirit World equals...\Everyone! We got tired of waiting for you!\The Grand Magic Games are just five days away! response:	I bet you guys trained your hearts out, huh?
context: Like one year here is only a day in the human world or somethin'?!\This would be a training paradise then!\No.\It's the opposite.\One day spent in the Celestial Spirit World equals...\Everyone! We got tired of waiting for you!\The Grand Magic Games are just five days away!\I bet you guys trained your hearts out, huh? response:	It's over...
context: This would be a training paradise then!\No.\It's the opposite.\One day spent in the Celestial Spirit World equals...\Everyone! We got tired of waiting for you!\The Grand Magic Games are just five days away!\I bet you guys trained your hearts out, huh?\It's over... response:	Moustache!
context: No.\It's the opposite.\One day spent in the Celestial Spirit World equals...\Everyone! We got tired of waiting for you!\The Grand Magic Games are just five days away!\I bet you guys trained your hearts out, huh?\It's over...\Moustache! response:	Give us back our time!
context: It's the opposite.\One day spent in the Celestial Spirit World equals...\Everyone! We got tired of waiting for you!\The Grand Magic Games are just five days away!\I bet you guys trained your hearts out, huh?\It's over...\Moustache!\Give us back our time! response:	Oh, crap! All that time we had to train...
context: One day spent in the Celestial Spirit World equals...\Everyone! We got tired of waiting for you!\The Grand Magic Games are just five days away!\I bet you guys trained your hearts out, huh?\It's over...\Moustache!\Give us back our time!\Oh, crap! All that time we had to train... response:	It'll be alright! If you can bring out your latent Second Origin ability,
context: Everyone! We got tired of waiting for you!\The Grand Magic Games are just five days away!\I bet you guys trained your hearts out, huh?\It's over...\Moustache!\Give us back our time!\Oh, crap! All that time we had to train...\It'll be alright! If you can bring out your latent Second Origin ability, response:	you'll be able to get through it!
context: The Grand Magic Games are just five days away!\I bet you guys trained your hearts out, huh?\It's over...\Moustache!\Give us back our time!\Oh, crap! All that time we had to train...\It'll be alright! If you can bring out your latent Second Origin ability,\you'll be able to get through it! response:	Although it seems like it's really painful...
context: I bet you guys trained your hearts out, huh?\It's over...\Moustache!\Give us back our time!\Oh, crap! All that time we had to train...\It'll be alright! If you can bring out your latent Second Origin ability,\you'll be able to get through it!\Although it seems like it's really painful... response:	I'll do it! Huh? Have you seen Erza?
context: It's over...\Moustache!\Give us back our time!\Oh, crap! All that time we had to train...\It'll be alright! If you can bring out your latent Second Origin ability,\you'll be able to get through it!\Although it seems like it's really painful...\I'll do it! Huh? Have you seen Erza? response:	Erza is in the middle of battling heartache.
context: Moustache!\Give us back our time!\Oh, crap! All that time we had to train...\It'll be alright! If you can bring out your latent Second Origin ability,\you'll be able to get through it!\Although it seems like it's really painful...\I'll do it! Huh? Have you seen Erza?\Erza is in the middle of battling heartache. response:	Next time: Just Enough Time to Pass Each Other!
context: Give us back our time!\Oh, crap! All that time we had to train...\It'll be alright! If you can bring out your latent Second Origin ability,\you'll be able to get through it!\Although it seems like it's really painful...\I'll do it! Huh? Have you seen Erza?\Erza is in the middle of battling heartache.\Next time: Just Enough Time to Pass Each Other! response:	Hey, Natsu, let's go tease Erza!
context: Oh, crap! All that time we had to train...\It'll be alright! If you can bring out your latent Second Origin ability,\you'll be able to get through it!\Although it seems like it's really painful...\I'll do it! Huh? Have you seen Erza?\Erza is in the middle of battling heartache.\Next time: Just Enough Time to Pass Each Other!\Hey, Natsu, let's go tease Erza! response:	I-I ain't goin! Don't come cryin' to me if you get your ass kicked!
