context: Then this machine was- response:	Yeah. The demon we saw 15 years ago.
context: How regretful Princess Asseylum must be...\To put her faith in inferior scum like him and lose her life as a result...\Milord Cruhteo.\What is it?\We've discovered something on the island that we can't explain.\The wreckage of another Kataphrakt, one not belonging to Countess Femieanne.\This is the one that fell to Earth 15 years ago...!\The Deucalion...! It can't be! response:	The unit's Aldnoah drive had been removed.
context: To put her faith in inferior scum like him and lose her life as a result...\Milord Cruhteo.\What is it?\We've discovered something on the island that we can't explain.\The wreckage of another Kataphrakt, one not belonging to Countess Femieanne.\This is the one that fell to Earth 15 years ago...!\The Deucalion...! It can't be!\The unit's Aldnoah drive had been removed. response:	What?! No, it is no cause for concern.
context: Milord Cruhteo.\What is it?\We've discovered something on the island that we can't explain.\The wreckage of another Kataphrakt, one not belonging to Countess Femieanne.\This is the one that fell to Earth 15 years ago...!\The Deucalion...! It can't be!\The unit's Aldnoah drive had been removed.\What?! No, it is no cause for concern. response:	They cannot activate the Aldnoah.
context: What is it?\We've discovered something on the island that we can't explain.\The wreckage of another Kataphrakt, one not belonging to Countess Femieanne.\This is the one that fell to Earth 15 years ago...!\The Deucalion...! It can't be!\The unit's Aldnoah drive had been removed.\What?! No, it is no cause for concern.\They cannot activate the Aldnoah. response:	What is so amusing?
context: We've discovered something on the island that we can't explain.\The wreckage of another Kataphrakt, one not belonging to Countess Femieanne.\This is the one that fell to Earth 15 years ago...!\The Deucalion...! It can't be!\The unit's Aldnoah drive had been removed.\What?! No, it is no cause for concern.\They cannot activate the Aldnoah.\What is so amusing? response:	Nothing...
context: The wreckage of another Kataphrakt, one not belonging to Countess Femieanne.\This is the one that fell to Earth 15 years ago...!\The Deucalion...! It can't be!\The unit's Aldnoah drive had been removed.\What?! No, it is no cause for concern.\They cannot activate the Aldnoah.\What is so amusing?\Nothing... response:	Enough of this. Kill him.
context: This is the one that fell to Earth 15 years ago...!\The Deucalion...! It can't be!\The unit's Aldnoah drive had been removed.\What?! No, it is no cause for concern.\They cannot activate the Aldnoah.\What is so amusing?\Nothing...\Enough of this. Kill him. response:	Not yet, Count Cruhteo.
context: The Deucalion...! It can't be!\The unit's Aldnoah drive had been removed.\What?! No, it is no cause for concern.\They cannot activate the Aldnoah.\What is so amusing?\Nothing...\Enough of this. Kill him.\Not yet, Count Cruhteo. response:	He makes a mockery of the proud Orbital Knights.
context: The unit's Aldnoah drive had been removed.\What?! No, it is no cause for concern.\They cannot activate the Aldnoah.\What is so amusing?\Nothing...\Enough of this. Kill him.\Not yet, Count Cruhteo.\He makes a mockery of the proud Orbital Knights. response:	I will spread your ashes here on Earth.
context: What?! No, it is no cause for concern.\They cannot activate the Aldnoah.\What is so amusing?\Nothing...\Enough of this. Kill him.\Not yet, Count Cruhteo.\He makes a mockery of the proud Orbital Knights.\I will spread your ashes here on Earth. response:	Answer me, scum! What made you laugh?!
context: They cannot activate the Aldnoah.\What is so amusing?\Nothing...\Enough of this. Kill him.\Not yet, Count Cruhteo.\He makes a mockery of the proud Orbital Knights.\I will spread your ashes here on Earth.\Answer me, scum! What made you laugh?! response:	What made you laugh?!
context: What is so amusing?\Nothing...\Enough of this. Kill him.\Not yet, Count Cruhteo.\He makes a mockery of the proud Orbital Knights.\I will spread your ashes here on Earth.\Answer me, scum! What made you laugh?!\What made you laugh?! response:	Answer me. Without Aldnoah, the Terrans could not have been the ones who slew Hellas.
context: Nothing...\Enough of this. Kill him.\Not yet, Count Cruhteo.\He makes a mockery of the proud Orbital Knights.\I will spread your ashes here on Earth.\Answer me, scum! What made you laugh?!\What made you laugh?!\Answer me. Without Aldnoah, the Terrans could not have been the ones who slew Hellas. response:	This is your punishment for what you've done to Her Highness' beloved Earth...
context: Enough of this. Kill him.\Not yet, Count Cruhteo.\He makes a mockery of the proud Orbital Knights.\I will spread your ashes here on Earth.\Answer me, scum! What made you laugh?!\What made you laugh?!\Answer me. Without Aldnoah, the Terrans could not have been the ones who slew Hellas.\This is your punishment for what you've done to Her Highness' beloved Earth... response:	Preposterous. They have no one capable of activating it.
context: Not yet, Count Cruhteo.\He makes a mockery of the proud Orbital Knights.\I will spread your ashes here on Earth.\Answer me, scum! What made you laugh?!\What made you laugh?!\Answer me. Without Aldnoah, the Terrans could not have been the ones who slew Hellas.\This is your punishment for what you've done to Her Highness' beloved Earth...\Preposterous. They have no one capable of activating it. response:	Only a handful of Versians have come down to Earth,
context: He makes a mockery of the proud Orbital Knights.\I will spread your ashes here on Earth.\Answer me, scum! What made you laugh?!\What made you laugh?!\Answer me. Without Aldnoah, the Terrans could not have been the ones who slew Hellas.\This is your punishment for what you've done to Her Highness' beloved Earth...\Preposterous. They have no one capable of activating it.\Only a handful of Versians have come down to Earth, response:	and the only ones possessing the right of activation are...
context: I will spread your ashes here on Earth.\Answer me, scum! What made you laugh?!\What made you laugh?!\Answer me. Without Aldnoah, the Terrans could not have been the ones who slew Hellas.\This is your punishment for what you've done to Her Highness' beloved Earth...\Preposterous. They have no one capable of activating it.\Only a handful of Versians have come down to Earth,\and the only ones possessing the right of activation are... response:	It cannot be.
context: Answer me, scum! What made you laugh?!\What made you laugh?!\Answer me. Without Aldnoah, the Terrans could not have been the ones who slew Hellas.\This is your punishment for what you've done to Her Highness' beloved Earth...\Preposterous. They have no one capable of activating it.\Only a handful of Versians have come down to Earth,\and the only ones possessing the right of activation are...\It cannot be. response:	Princess Asseylum?! Is the princess still alive?!
context: What made you laugh?!\Answer me. Without Aldnoah, the Terrans could not have been the ones who slew Hellas.\This is your punishment for what you've done to Her Highness' beloved Earth...\Preposterous. They have no one capable of activating it.\Only a handful of Versians have come down to Earth,\and the only ones possessing the right of activation are...\It cannot be.\Princess Asseylum?! Is the princess still alive?! response:	Speak! Is she unharmed?!
context: Answer me. Without Aldnoah, the Terrans could not have been the ones who slew Hellas.\This is your punishment for what you've done to Her Highness' beloved Earth...\Preposterous. They have no one capable of activating it.\Only a handful of Versians have come down to Earth,\and the only ones possessing the right of activation are...\It cannot be.\Princess Asseylum?! Is the princess still alive?!\Speak! Is she unharmed?! response:	Answer me, damn you!
context: This is your punishment for what you've done to Her Highness' beloved Earth...\Preposterous. They have no one capable of activating it.\Only a handful of Versians have come down to Earth,\and the only ones possessing the right of activation are...\It cannot be.\Princess Asseylum?! Is the princess still alive?!\Speak! Is she unharmed?!\Answer me, damn you! response:	If she were... What would you do?
context: Preposterous. They have no one capable of activating it.\Only a handful of Versians have come down to Earth,\and the only ones possessing the right of activation are...\It cannot be.\Princess Asseylum?! Is the princess still alive?!\Speak! Is she unharmed?!\Answer me, damn you!\If she were... What would you do? response:	Assassinate her again?
context: Only a handful of Versians have come down to Earth,\and the only ones possessing the right of activation are...\It cannot be.\Princess Asseylum?! Is the princess still alive?!\Speak! Is she unharmed?!\Answer me, damn you!\If she were... What would you do?\Assassinate her again? response:	What?
context: and the only ones possessing the right of activation are...\It cannot be.\Princess Asseylum?! Is the princess still alive?!\Speak! Is she unharmed?!\Answer me, damn you!\If she were... What would you do?\Assassinate her again?\What? response:	Was it not you who gave Sir Trillram his orders? To kill the princess?
context: It cannot be.\Princess Asseylum?! Is the princess still alive?!\Speak! Is she unharmed?!\Answer me, damn you!\If she were... What would you do?\Assassinate her again?\What?\Was it not you who gave Sir Trillram his orders? To kill the princess? response:	You dare suggest I-
context: Princess Asseylum?! Is the princess still alive?!\Speak! Is she unharmed?!\Answer me, damn you!\If she were... What would you do?\Assassinate her again?\What?\Was it not you who gave Sir Trillram his orders? To kill the princess?\You dare suggest I- response:	If we let her live, my entire clan and its followers will be branded as traitors.
context: Speak! Is she unharmed?!\Answer me, damn you!\If she were... What would you do?\Assassinate her again?\What?\Was it not you who gave Sir Trillram his orders? To kill the princess?\You dare suggest I-\If we let her live, my entire clan and its followers will be branded as traitors. response:	Why, you... You claimed to have seen his death, as I recall.
context: Answer me, damn you!\If she were... What would you do?\Assassinate her again?\What?\Was it not you who gave Sir Trillram his orders? To kill the princess?\You dare suggest I-\If we let her live, my entire clan and its followers will be branded as traitors.\Why, you... You claimed to have seen his death, as I recall. response:	Yes. I shot him.
context: If she were... What would you do?\Assassinate her again?\What?\Was it not you who gave Sir Trillram his orders? To kill the princess?\You dare suggest I-\If we let her live, my entire clan and its followers will be branded as traitors.\Why, you... You claimed to have seen his death, as I recall.\Yes. I shot him. response:	Then he did not get caught in the meteor bombardment...
context: Assassinate her again?\What?\Was it not you who gave Sir Trillram his orders? To kill the princess?\You dare suggest I-\If we let her live, my entire clan and its followers will be branded as traitors.\Why, you... You claimed to have seen his death, as I recall.\Yes. I shot him.\Then he did not get caught in the meteor bombardment... response:	In the Nilokeras, with its dimensional barrier?
context: What?\Was it not you who gave Sir Trillram his orders? To kill the princess?\You dare suggest I-\If we let her live, my entire clan and its followers will be branded as traitors.\Why, you... You claimed to have seen his death, as I recall.\Yes. I shot him.\Then he did not get caught in the meteor bombardment...\In the Nilokeras, with its dimensional barrier? response:	I won't let you have your way...
context: Was it not you who gave Sir Trillram his orders? To kill the princess?\You dare suggest I-\If we let her live, my entire clan and its followers will be branded as traitors.\Why, you... You claimed to have seen his death, as I recall.\Yes. I shot him.\Then he did not get caught in the meteor bombardment...\In the Nilokeras, with its dimensional barrier?\I won't let you have your way... response:	Her Highness... will smash your plans.
context: You dare suggest I-\If we let her live, my entire clan and its followers will be branded as traitors.\Why, you... You claimed to have seen his death, as I recall.\Yes. I shot him.\Then he did not get caught in the meteor bombardment...\In the Nilokeras, with its dimensional barrier?\I won't let you have your way...\Her Highness... will smash your plans. response:	Princess Asseylum... is alive? That is impossible.
context: If we let her live, my entire clan and its followers will be branded as traitors.\Why, you... You claimed to have seen his death, as I recall.\Yes. I shot him.\Then he did not get caught in the meteor bombardment...\In the Nilokeras, with its dimensional barrier?\I won't let you have your way...\Her Highness... will smash your plans.\Princess Asseylum... is alive? That is impossible. response:	It can't be!
context: Why, you... You claimed to have seen his death, as I recall.\Yes. I shot him.\Then he did not get caught in the meteor bombardment...\In the Nilokeras, with its dimensional barrier?\I won't let you have your way...\Her Highness... will smash your plans.\Princess Asseylum... is alive? That is impossible.\It can't be! response:	You learned the truth and went out in search of the princess on your own?
context: Yes. I shot him.\Then he did not get caught in the meteor bombardment...\In the Nilokeras, with its dimensional barrier?\I won't let you have your way...\Her Highness... will smash your plans.\Princess Asseylum... is alive? That is impossible.\It can't be!\You learned the truth and went out in search of the princess on your own? response:	Telling no one, for fear of alerting the traitors...
context: Then he did not get caught in the meteor bombardment...\In the Nilokeras, with its dimensional barrier?\I won't let you have your way...\Her Highness... will smash your plans.\Princess Asseylum... is alive? That is impossible.\It can't be!\You learned the truth and went out in search of the princess on your own?\Telling no one, for fear of alerting the traitors... response:	Alone, without support...!
context: In the Nilokeras, with its dimensional barrier?\I won't let you have your way...\Her Highness... will smash your plans.\Princess Asseylum... is alive? That is impossible.\It can't be!\You learned the truth and went out in search of the princess on your own?\Telling no one, for fear of alerting the traitors...\Alone, without support...! response:	Willing to risk being captured and killed by us...
context: I won't let you have your way...\Her Highness... will smash your plans.\Princess Asseylum... is alive? That is impossible.\It can't be!\You learned the truth and went out in search of the princess on your own?\Telling no one, for fear of alerting the traitors...\Alone, without support...!\Willing to risk being captured and killed by us... response:	Forgive me, Slaine.
context: Her Highness... will smash your plans.\Princess Asseylum... is alive? That is impossible.\It can't be!\You learned the truth and went out in search of the princess on your own?\Telling no one, for fear of alerting the traitors...\Alone, without support...!\Willing to risk being captured and killed by us...\Forgive me, Slaine. response:	You have proven your loyalty a thousand times over!
context: Princess Asseylum... is alive? That is impossible.\It can't be!\You learned the truth and went out in search of the princess on your own?\Telling no one, for fear of alerting the traitors...\Alone, without support...!\Willing to risk being captured and killed by us...\Forgive me, Slaine.\You have proven your loyalty a thousand times over! response:	See to this man's injuries!
context: It can't be!\You learned the truth and went out in search of the princess on your own?\Telling no one, for fear of alerting the traitors...\Alone, without support...!\Willing to risk being captured and killed by us...\Forgive me, Slaine.\You have proven your loyalty a thousand times over!\See to this man's injuries! response:	Yes, Milord!
context: You learned the truth and went out in search of the princess on your own?\Telling no one, for fear of alerting the traitors...\Alone, without support...!\Willing to risk being captured and killed by us...\Forgive me, Slaine.\You have proven your loyalty a thousand times over!\See to this man's injuries!\Yes, Milord! response:	I, too, swore loyalty to Her Highness...
context: Telling no one, for fear of alerting the traitors...\Alone, without support...!\Willing to risk being captured and killed by us...\Forgive me, Slaine.\You have proven your loyalty a thousand times over!\See to this man's injuries!\Yes, Milord!\I, too, swore loyalty to Her Highness... response:	Those traitors who dared to lay a hand on her Highness will pay!
context: Alone, without support...!\Willing to risk being captured and killed by us...\Forgive me, Slaine.\You have proven your loyalty a thousand times over!\See to this man's injuries!\Yes, Milord!\I, too, swore loyalty to Her Highness...\Those traitors who dared to lay a hand on her Highness will pay! response:	Put me through to United Earth Headquarters!
context: Willing to risk being captured and killed by us...\Forgive me, Slaine.\You have proven your loyalty a thousand times over!\See to this man's injuries!\Yes, Milord!\I, too, swore loyalty to Her Highness...\Those traitors who dared to lay a hand on her Highness will pay!\Put me through to United Earth Headquarters! response:	Offer a cease-fire and request their assistance in locating the princess!
context: Forgive me, Slaine.\You have proven your loyalty a thousand times over!\See to this man's injuries!\Yes, Milord!\I, too, swore loyalty to Her Highness...\Those traitors who dared to lay a hand on her Highness will pay!\Put me through to United Earth Headquarters!\Offer a cease-fire and request their assistance in locating the princess! response:	We will identify those who made a mockery of the Orbital Knights and punish them!
context: You have proven your loyalty a thousand times over!\See to this man's injuries!\Yes, Milord!\I, too, swore loyalty to Her Highness...\Those traitors who dared to lay a hand on her Highness will pay!\Put me through to United Earth Headquarters!\Offer a cease-fire and request their assistance in locating the princess!\We will identify those who made a mockery of the Orbital Knights and punish them! response:	Milord Cruhteo! An object is approaching from orbit!
context: See to this man's injuries!\Yes, Milord!\I, too, swore loyalty to Her Highness...\Those traitors who dared to lay a hand on her Highness will pay!\Put me through to United Earth Headquarters!\Offer a cease-fire and request their assistance in locating the princess!\We will identify those who made a mockery of the Orbital Knights and punish them!\Milord Cruhteo! An object is approaching from orbit! response:	What? Another meteor bombardment?
context: Yes, Milord!\I, too, swore loyalty to Her Highness...\Those traitors who dared to lay a hand on her Highness will pay!\Put me through to United Earth Headquarters!\Offer a cease-fire and request their assistance in locating the princess!\We will identify those who made a mockery of the Orbital Knights and punish them!\Milord Cruhteo! An object is approaching from orbit!\What? Another meteor bombardment? response:	No, Milord!
context: I, too, swore loyalty to Her Highness...\Those traitors who dared to lay a hand on her Highness will pay!\Put me through to United Earth Headquarters!\Offer a cease-fire and request their assistance in locating the princess!\We will identify those who made a mockery of the Orbital Knights and punish them!\Milord Cruhteo! An object is approaching from orbit!\What? Another meteor bombardment?\No, Milord! response:	Given its rate of deceleration, it is far less dense!
context: Those traitors who dared to lay a hand on her Highness will pay!\Put me through to United Earth Headquarters!\Offer a cease-fire and request their assistance in locating the princess!\We will identify those who made a mockery of the Orbital Knights and punish them!\Milord Cruhteo! An object is approaching from orbit!\What? Another meteor bombardment?\No, Milord!\Given its rate of deceleration, it is far less dense! response:	It is adjusting its entry trajectory. Estimated landing point is...
context: Put me through to United Earth Headquarters!\Offer a cease-fire and request their assistance in locating the princess!\We will identify those who made a mockery of the Orbital Knights and punish them!\Milord Cruhteo! An object is approaching from orbit!\What? Another meteor bombardment?\No, Milord!\Given its rate of deceleration, it is far less dense!\It is adjusting its entry trajectory. Estimated landing point is... response:	What happened?
context: Offer a cease-fire and request their assistance in locating the princess!\We will identify those who made a mockery of the Orbital Knights and punish them!\Milord Cruhteo! An object is approaching from orbit!\What? Another meteor bombardment?\No, Milord!\Given its rate of deceleration, it is far less dense!\It is adjusting its entry trajectory. Estimated landing point is...\What happened? response:	That's... the Dioscuria! Count Saazbaum?
context: We will identify those who made a mockery of the Orbital Knights and punish them!\Milord Cruhteo! An object is approaching from orbit!\What? Another meteor bombardment?\No, Milord!\Given its rate of deceleration, it is far less dense!\It is adjusting its entry trajectory. Estimated landing point is...\What happened?\That's... the Dioscuria! Count Saazbaum? response:	I see... It is all clear now!
context: Milord Cruhteo! An object is approaching from orbit!\What? Another meteor bombardment?\No, Milord!\Given its rate of deceleration, it is far less dense!\It is adjusting its entry trajectory. Estimated landing point is...\What happened?\That's... the Dioscuria! Count Saazbaum?\I see... It is all clear now! response:	The mastermind of the assassination plot was...
context: What? Another meteor bombardment?\No, Milord!\Given its rate of deceleration, it is far less dense!\It is adjusting its entry trajectory. Estimated landing point is...\What happened?\That's... the Dioscuria! Count Saazbaum?\I see... It is all clear now!\The mastermind of the assassination plot was... response:	Ready my Tharsis!
