context: This is a dumb riddle about rain. response:	I'm second?
context: PCP starts to worry again,\and the chapter ends with that.\The first chapter introduces Akechi's character.\Chapters 2 and 3 focus on PCP's crimes,\and on the announcements and investigation.\That sounds pretty cool!\Yeah, that's not bad.\But... response:	I can't think of anything for chapters 4 and 5.
context: and the chapter ends with that.\The first chapter introduces Akechi's character.\Chapters 2 and 3 focus on PCP's crimes,\and on the announcements and investigation.\That sounds pretty cool!\Yeah, that's not bad.\But...\I can't think of anything for chapters 4 and 5. response:	Eh?
context: The first chapter introduces Akechi's character.\Chapters 2 and 3 focus on PCP's crimes,\and on the announcements and investigation.\That sounds pretty cool!\Yeah, that's not bad.\But...\I can't think of anything for chapters 4 and 5.\Eh? response:	Chapter 4 should have PCP send a challenge to Akechi.
context: Chapters 2 and 3 focus on PCP's crimes,\and on the announcements and investigation.\That sounds pretty cool!\Yeah, that's not bad.\But...\I can't think of anything for chapters 4 and 5.\Eh?\Chapter 4 should have PCP send a challenge to Akechi. response:	It says that if he can stop their crime, they will reveal themselves to him.
context: and on the announcements and investigation.\That sounds pretty cool!\Yeah, that's not bad.\But...\I can't think of anything for chapters 4 and 5.\Eh?\Chapter 4 should have PCP send a challenge to Akechi.\It says that if he can stop their crime, they will reveal themselves to him. response:	Then, chapter 5 is where the most important stuff happens...
context: That sounds pretty cool!\Yeah, that's not bad.\But...\I can't think of anything for chapters 4 and 5.\Eh?\Chapter 4 should have PCP send a challenge to Akechi.\It says that if he can stop their crime, they will reveal themselves to him.\Then, chapter 5 is where the most important stuff happens... response:	but I still can't think of anything.
context: Yeah, that's not bad.\But...\I can't think of anything for chapters 4 and 5.\Eh?\Chapter 4 should have PCP send a challenge to Akechi.\It says that if he can stop their crime, they will reveal themselves to him.\Then, chapter 5 is where the most important stuff happens...\but I still can't think of anything. response:	Well...
context: But...\I can't think of anything for chapters 4 and 5.\Eh?\Chapter 4 should have PCP send a challenge to Akechi.\It says that if he can stop their crime, they will reveal themselves to him.\Then, chapter 5 is where the most important stuff happens...\but I still can't think of anything.\Well... response:	Yeah, the challenge will determine how interesting the whole series is.
context: I can't think of anything for chapters 4 and 5.\Eh?\Chapter 4 should have PCP send a challenge to Akechi.\It says that if he can stop their crime, they will reveal themselves to him.\Then, chapter 5 is where the most important stuff happens...\but I still can't think of anything.\Well...\Yeah, the challenge will determine how interesting the whole series is. response:	That's true.
context: Eh?\Chapter 4 should have PCP send a challenge to Akechi.\It says that if he can stop their crime, they will reveal themselves to him.\Then, chapter 5 is where the most important stuff happens...\but I still can't think of anything.\Well...\Yeah, the challenge will determine how interesting the whole series is.\That's true. response:	This is a good outline, but the last chapters are the problem.
context: Chapter 4 should have PCP send a challenge to Akechi.\It says that if he can stop their crime, they will reveal themselves to him.\Then, chapter 5 is where the most important stuff happens...\but I still can't think of anything.\Well...\Yeah, the challenge will determine how interesting the whole series is.\That's true.\This is a good outline, but the last chapters are the problem. response:	While you're writing the first three,
context: It says that if he can stop their crime, they will reveal themselves to him.\Then, chapter 5 is where the most important stuff happens...\but I still can't think of anything.\Well...\Yeah, the challenge will determine how interesting the whole series is.\That's true.\This is a good outline, but the last chapters are the problem.\While you're writing the first three, response:	you could think about 4 and 5.
context: Then, chapter 5 is where the most important stuff happens...\but I still can't think of anything.\Well...\Yeah, the challenge will determine how interesting the whole series is.\That's true.\This is a good outline, but the last chapters are the problem.\While you're writing the first three,\you could think about 4 and 5. response:	That won't work.
context: but I still can't think of anything.\Well...\Yeah, the challenge will determine how interesting the whole series is.\That's true.\This is a good outline, but the last chapters are the problem.\While you're writing the first three,\you could think about 4 and 5.\That won't work. response:	Beating +Natural and Crow is the purpose of the series.
context: Well...\Yeah, the challenge will determine how interesting the whole series is.\That's true.\This is a good outline, but the last chapters are the problem.\While you're writing the first three,\you could think about 4 and 5.\That won't work.\Beating +Natural and Crow is the purpose of the series. response:	If you don't know the ending,
context: Yeah, the challenge will determine how interesting the whole series is.\That's true.\This is a good outline, but the last chapters are the problem.\While you're writing the first three,\you could think about 4 and 5.\That won't work.\Beating +Natural and Crow is the purpose of the series.\If you don't know the ending, response:	you'll be better off making single-chapter stories.
context: That's true.\This is a good outline, but the last chapters are the problem.\While you're writing the first three,\you could think about 4 and 5.\That won't work.\Beating +Natural and Crow is the purpose of the series.\If you don't know the ending,\you'll be better off making single-chapter stories. response:	I'll think about it.
context: This is a good outline, but the last chapters are the problem.\While you're writing the first three,\you could think about 4 and 5.\That won't work.\Beating +Natural and Crow is the purpose of the series.\If you don't know the ending,\you'll be better off making single-chapter stories.\I'll think about it. response:	A cool ending.
context: While you're writing the first three,\you could think about 4 and 5.\That won't work.\Beating +Natural and Crow is the purpose of the series.\If you don't know the ending,\you'll be better off making single-chapter stories.\I'll think about it.\A cool ending. response:	I'll give it some thought too.
context: you could think about 4 and 5.\That won't work.\Beating +Natural and Crow is the purpose of the series.\If you don't know the ending,\you'll be better off making single-chapter stories.\I'll think about it.\A cool ending.\I'll give it some thought too. response:	But the dialog and plot are your job, Takagi-kun.
context: That won't work.\Beating +Natural and Crow is the purpose of the series.\If you don't know the ending,\you'll be better off making single-chapter stories.\I'll think about it.\A cool ending.\I'll give it some thought too.\But the dialog and plot are your job, Takagi-kun. response:	So good luck.
context: Beating +Natural and Crow is the purpose of the series.\If you don't know the ending,\you'll be better off making single-chapter stories.\I'll think about it.\A cool ending.\I'll give it some thought too.\But the dialog and plot are your job, Takagi-kun.\So good luck. response:	That's right.
context: If you don't know the ending,\you'll be better off making single-chapter stories.\I'll think about it.\A cool ending.\I'll give it some thought too.\But the dialog and plot are your job, Takagi-kun.\So good luck.\That's right. response:	If I can't think of a story,
context: you'll be better off making single-chapter stories.\I'll think about it.\A cool ending.\I'll give it some thought too.\But the dialog and plot are your job, Takagi-kun.\So good luck.\That's right.\If I can't think of a story, response:	I'll never beat Iwase.
context: I'll think about it.\A cool ending.\I'll give it some thought too.\But the dialog and plot are your job, Takagi-kun.\So good luck.\That's right.\If I can't think of a story,\I'll never beat Iwase. response:	Thank you, Vice Principal.
context: A cool ending.\I'll give it some thought too.\But the dialog and plot are your job, Takagi-kun.\So good luck.\That's right.\If I can't think of a story,\I'll never beat Iwase.\Thank you, Vice Principal. response:	I'm the Principal now.
context: I'll give it some thought too.\But the dialog and plot are your job, Takagi-kun.\So good luck.\That's right.\If I can't think of a story,\I'll never beat Iwase.\Thank you, Vice Principal.\I'm the Principal now. response:	So you're writing manga now.
context: But the dialog and plot are your job, Takagi-kun.\So good luck.\That's right.\If I can't think of a story,\I'll never beat Iwase.\Thank you, Vice Principal.\I'm the Principal now.\So you're writing manga now. response:	It's pretty popular with the kids.
context: So good luck.\That's right.\If I can't think of a story,\I'll never beat Iwase.\Thank you, Vice Principal.\I'm the Principal now.\So you're writing manga now.\It's pretty popular with the kids. response:	So you went to the elementary school?
context: That's right.\If I can't think of a story,\I'll never beat Iwase.\Thank you, Vice Principal.\I'm the Principal now.\So you're writing manga now.\It's pretty popular with the kids.\So you went to the elementary school? response:	Yeah, it really brought me back.
context: If I can't think of a story,\I'll never beat Iwase.\Thank you, Vice Principal.\I'm the Principal now.\So you're writing manga now.\It's pretty popular with the kids.\So you went to the elementary school?\Yeah, it really brought me back. response:	So did you get any ideas?
context: I'll never beat Iwase.\Thank you, Vice Principal.\I'm the Principal now.\So you're writing manga now.\It's pretty popular with the kids.\So you went to the elementary school?\Yeah, it really brought me back.\So did you get any ideas? response:	Well, not really.
context: Thank you, Vice Principal.\I'm the Principal now.\So you're writing manga now.\It's pretty popular with the kids.\So you went to the elementary school?\Yeah, it really brought me back.\So did you get any ideas?\Well, not really. response:	Sorry, I've got a message.
context: I'm the Principal now.\So you're writing manga now.\It's pretty popular with the kids.\So you went to the elementary school?\Yeah, it really brought me back.\So did you get any ideas?\Well, not really.\Sorry, I've got a message. response:	Azuki?
context: So you're writing manga now.\It's pretty popular with the kids.\So you went to the elementary school?\Yeah, it really brought me back.\So did you get any ideas?\Well, not really.\Sorry, I've got a message.\Azuki? response:	Yeah.
context: It's pretty popular with the kids.\So you went to the elementary school?\Yeah, it really brought me back.\So did you get any ideas?\Well, not really.\Sorry, I've got a message.\Azuki?\Yeah. response:	What is it?
context: So you went to the elementary school?\Yeah, it really brought me back.\So did you get any ideas?\Well, not really.\Sorry, I've got a message.\Azuki?\Yeah.\What is it? response:	Nothing, the message doesn't mean much.
context: Yeah, it really brought me back.\So did you get any ideas?\Well, not really.\Sorry, I've got a message.\Azuki?\Yeah.\What is it?\Nothing, the message doesn't mean much. response:	See?
context: So did you get any ideas?\Well, not really.\Sorry, I've got a message.\Azuki?\Yeah.\What is it?\Nothing, the message doesn't mean much.\See? response:	What is this?
context: Well, not really.\Sorry, I've got a message.\Azuki?\Yeah.\What is it?\Nothing, the message doesn't mean much.\See?\What is this? response:	Some people need the rain
context: Sorry, I've got a message.\Azuki?\Yeah.\What is it?\Nothing, the message doesn't mean much.\See?\What is this?\Some people need the rain response:	But for some other people,
context: Azuki?\Yeah.\What is it?\Nothing, the message doesn't mean much.\See?\What is this?\Some people need the rain\But for some other people, response:	Can be a really bad thing, right?
context: Yeah.\What is it?\Nothing, the message doesn't mean much.\See?\What is this?\Some people need the rain\But for some other people,\Can be a really bad thing, right? response:	Too much rain...
context: What is it?\Nothing, the message doesn't mean much.\See?\What is this?\Some people need the rain\But for some other people,\Can be a really bad thing, right?\Too much rain... response:	Azuki sends some strange messages from time to time.
context: Nothing, the message doesn't mean much.\See?\What is this?\Some people need the rain\But for some other people,\Can be a really bad thing, right?\Too much rain...\Azuki sends some strange messages from time to time. response:	If I ask what they mean, she just says what?
context: See?\What is this?\Some people need the rain\But for some other people,\Can be a really bad thing, right?\Too much rain...\Azuki sends some strange messages from time to time.\If I ask what they mean, she just says what? response:	So I just say that's true.
context: What is this?\Some people need the rain\But for some other people,\Can be a really bad thing, right?\Too much rain...\Azuki sends some strange messages from time to time.\If I ask what they mean, she just says what?\So I just say that's true. response:	On your phone, how many letters does it show per line?
context: Some people need the rain\But for some other people,\Can be a really bad thing, right?\Too much rain...\Azuki sends some strange messages from time to time.\If I ask what they mean, she just says what?\So I just say that's true.\On your phone, how many letters does it show per line? response:	Huh? 12 letters I think...
context: But for some other people,\Can be a really bad thing, right?\Too much rain...\Azuki sends some strange messages from time to time.\If I ask what they mean, she just says what?\So I just say that's true.\On your phone, how many letters does it show per line?\Huh? 12 letters I think... response:	That's normal, right?
context: Can be a really bad thing, right?\Too much rain...\Azuki sends some strange messages from time to time.\If I ask what they mean, she just says what?\So I just say that's true.\On your phone, how many letters does it show per line?\Huh? 12 letters I think...\That's normal, right? response:	Yeah.
context: Too much rain...\Azuki sends some strange messages from time to time.\If I ask what they mean, she just says what?\So I just say that's true.\On your phone, how many letters does it show per line?\Huh? 12 letters I think...\That's normal, right?\Yeah. response:	Mine is 12 too.
context: Azuki sends some strange messages from time to time.\If I ask what they mean, she just says what?\So I just say that's true.\On your phone, how many letters does it show per line?\Huh? 12 letters I think...\That's normal, right?\Yeah.\Mine is 12 too. response:	I see!
context: If I ask what they mean, she just says what?\So I just say that's true.\On your phone, how many letters does it show per line?\Huh? 12 letters I think...\That's normal, right?\Yeah.\Mine is 12 too.\I see! response:	This is it!
context: So I just say that's true.\On your phone, how many letters does it show per line?\Huh? 12 letters I think...\That's normal, right?\Yeah.\Mine is 12 too.\I see!\This is it! response:	PCP doesn't want their phone number getting out, so they have a group phone.
context: On your phone, how many letters does it show per line?\Huh? 12 letters I think...\That's normal, right?\Yeah.\Mine is 12 too.\I see!\This is it!\PCP doesn't want their phone number getting out, so they have a group phone. response:	That's not too unbelievable, right?
context: Huh? 12 letters I think...\That's normal, right?\Yeah.\Mine is 12 too.\I see!\This is it!\PCP doesn't want their phone number getting out, so they have a group phone.\That's not too unbelievable, right? response:	Yeah...
context: That's normal, right?\Yeah.\Mine is 12 too.\I see!\This is it!\PCP doesn't want their phone number getting out, so they have a group phone.\That's not too unbelievable, right?\Yeah... response:	It's manga, so that should be fine.
context: Yeah.\Mine is 12 too.\I see!\This is it!\PCP doesn't want their phone number getting out, so they have a group phone.\That's not too unbelievable, right?\Yeah...\It's manga, so that should be fine. response:	I thought so too.
context: Mine is 12 too.\I see!\This is it!\PCP doesn't want their phone number getting out, so they have a group phone.\That's not too unbelievable, right?\Yeah...\It's manga, so that should be fine.\I thought so too. response:	From that phone they send Akechi a message.
context: I see!\This is it!\PCP doesn't want their phone number getting out, so they have a group phone.\That's not too unbelievable, right?\Yeah...\It's manga, so that should be fine.\I thought so too.\From that phone they send Akechi a message. response:	Oh!
context: This is it!\PCP doesn't want their phone number getting out, so they have a group phone.\That's not too unbelievable, right?\Yeah...\It's manga, so that should be fine.\I thought so too.\From that phone they send Akechi a message.\Oh! response:	Between 8 and 8:30,
context: PCP doesn't want their phone number getting out, so they have a group phone.\That's not too unbelievable, right?\Yeah...\It's manga, so that should be fine.\I thought so too.\From that phone they send Akechi a message.\Oh!\Between 8 and 8:30, response:	I'm going to set off fireworks on the school grounds.
context: That's not too unbelievable, right?\Yeah...\It's manga, so that should be fine.\I thought so too.\From that phone they send Akechi a message.\Oh!\Between 8 and 8:30,\I'm going to set off fireworks on the school grounds. response:	If you can stop me, I'll reveal my identity.
context: Yeah...\It's manga, so that should be fine.\I thought so too.\From that phone they send Akechi a message.\Oh!\Between 8 and 8:30,\I'm going to set off fireworks on the school grounds.\If you can stop me, I'll reveal my identity. response:	Fireworks...
context: It's manga, so that should be fine.\I thought so too.\From that phone they send Akechi a message.\Oh!\Between 8 and 8:30,\I'm going to set off fireworks on the school grounds.\If you can stop me, I'll reveal my identity.\Fireworks... response:	That's a good item for summer!
context: I thought so too.\From that phone they send Akechi a message.\Oh!\Between 8 and 8:30,\I'm going to set off fireworks on the school grounds.\If you can stop me, I'll reveal my identity.\Fireworks...\That's a good item for summer! response:	Yeah.
context: From that phone they send Akechi a message.\Oh!\Between 8 and 8:30,\I'm going to set off fireworks on the school grounds.\If you can stop me, I'll reveal my identity.\Fireworks...\That's a good item for summer!\Yeah. response:	He has until that time on that day to identify the fireworks culprit.
context: Oh!\Between 8 and 8:30,\I'm going to set off fireworks on the school grounds.\If you can stop me, I'll reveal my identity.\Fireworks...\That's a good item for summer!\Yeah.\He has until that time on that day to identify the fireworks culprit. response:	He'll have to stake out the campus.
context: Between 8 and 8:30,\I'm going to set off fireworks on the school grounds.\If you can stop me, I'll reveal my identity.\Fireworks...\That's a good item for summer!\Yeah.\He has until that time on that day to identify the fireworks culprit.\He'll have to stake out the campus. response:	We can draw it like this.
context: I'm going to set off fireworks on the school grounds.\If you can stop me, I'll reveal my identity.\Fireworks...\That's a good item for summer!\Yeah.\He has until that time on that day to identify the fireworks culprit.\He'll have to stake out the campus.\We can draw it like this. response:	Yeah.
context: If you can stop me, I'll reveal my identity.\Fireworks...\That's a good item for summer!\Yeah.\He has until that time on that day to identify the fireworks culprit.\He'll have to stake out the campus.\We can draw it like this.\Yeah. response:	When the time comes, Akechi doesn't know who the culprit is.
context: Fireworks...\That's a good item for summer!\Yeah.\He has until that time on that day to identify the fireworks culprit.\He'll have to stake out the campus.\We can draw it like this.\Yeah.\When the time comes, Akechi doesn't know who the culprit is. response:	What would you do?
context: That's a good item for summer!\Yeah.\He has until that time on that day to identify the fireworks culprit.\He'll have to stake out the campus.\We can draw it like this.\Yeah.\When the time comes, Akechi doesn't know who the culprit is.\What would you do? response:	Well, then...
context: Yeah.\He has until that time on that day to identify the fireworks culprit.\He'll have to stake out the campus.\We can draw it like this.\Yeah.\When the time comes, Akechi doesn't know who the culprit is.\What would you do?\Well, then... response:	when the time comes he'll have to stand guard.
context: He has until that time on that day to identify the fireworks culprit.\He'll have to stake out the campus.\We can draw it like this.\Yeah.\When the time comes, Akechi doesn't know who the culprit is.\What would you do?\Well, then...\when the time comes he'll have to stand guard. response:	That's right.
context: He'll have to stake out the campus.\We can draw it like this.\Yeah.\When the time comes, Akechi doesn't know who the culprit is.\What would you do?\Well, then...\when the time comes he'll have to stand guard.\That's right. response:	Then, at 7:55 he'll get this message.
context: We can draw it like this.\Yeah.\When the time comes, Akechi doesn't know who the culprit is.\What would you do?\Well, then...\when the time comes he'll have to stand guard.\That's right.\Then, at 7:55 he'll get this message. response:	This looks pretty suspicious...
context: Yeah.\When the time comes, Akechi doesn't know who the culprit is.\What would you do?\Well, then...\when the time comes he'll have to stand guard.\That's right.\Then, at 7:55 he'll get this message.\This looks pretty suspicious... response:	Is this a code?
context: When the time comes, Akechi doesn't know who the culprit is.\What would you do?\Well, then...\when the time comes he'll have to stand guard.\That's right.\Then, at 7:55 he'll get this message.\This looks pretty suspicious...\Is this a code? response:	That's right, Saiko.
context: What would you do?\Well, then...\when the time comes he'll have to stand guard.\That's right.\Then, at 7:55 he'll get this message.\This looks pretty suspicious...\Is this a code?\That's right, Saiko. response:	Watermelon, pudding, squid...
context: Well, then...\when the time comes he'll have to stand guard.\That's right.\Then, at 7:55 he'll get this message.\This looks pretty suspicious...\Is this a code?\That's right, Saiko.\Watermelon, pudding, squid... response:	The hint is in this line...
context: when the time comes he'll have to stand guard.\That's right.\Then, at 7:55 he'll get this message.\This looks pretty suspicious...\Is this a code?\That's right, Saiko.\Watermelon, pudding, squid...\The hint is in this line... response:	Take away I and KA...
context: That's right.\Then, at 7:55 he'll get this message.\This looks pretty suspicious...\Is this a code?\That's right, Saiko.\Watermelon, pudding, squid...\The hint is in this line...\Take away I and KA... response:	SU... PURIN... KURA...
context: Then, at 7:55 he'll get this message.\This looks pretty suspicious...\Is this a code?\That's right, Saiko.\Watermelon, pudding, squid...\The hint is in this line...\Take away I and KA...\SU... PURIN... KURA... response:	Sprinkler!
context: This looks pretty suspicious...\Is this a code?\That's right, Saiko.\Watermelon, pudding, squid...\The hint is in this line...\Take away I and KA...\SU... PURIN... KURA...\Sprinkler! response:	The sprinklers will be the trigger!
context: Is this a code?\That's right, Saiko.\Watermelon, pudding, squid...\The hint is in this line...\Take away I and KA...\SU... PURIN... KURA...\Sprinkler!\The sprinklers will be the trigger! response:	Akechi will deduce that too.
context: That's right, Saiko.\Watermelon, pudding, squid...\The hint is in this line...\Take away I and KA...\SU... PURIN... KURA...\Sprinkler!\The sprinklers will be the trigger!\Akechi will deduce that too. response:	He'll examine the school sprinklers,
context: Watermelon, pudding, squid...\The hint is in this line...\Take away I and KA...\SU... PURIN... KURA...\Sprinkler!\The sprinklers will be the trigger!\Akechi will deduce that too.\He'll examine the school sprinklers, response:	but he can't open them on his own.
context: The hint is in this line...\Take away I and KA...\SU... PURIN... KURA...\Sprinkler!\The sprinklers will be the trigger!\Akechi will deduce that too.\He'll examine the school sprinklers,\but he can't open them on his own. response:	Saiko, what would you do in Akechi's position?
context: Take away I and KA...\SU... PURIN... KURA...\Sprinkler!\The sprinklers will be the trigger!\Akechi will deduce that too.\He'll examine the school sprinklers,\but he can't open them on his own.\Saiko, what would you do in Akechi's position? response:	I think I would guard the sprinkler switch.
context: SU... PURIN... KURA...\Sprinkler!\The sprinklers will be the trigger!\Akechi will deduce that too.\He'll examine the school sprinklers,\but he can't open them on his own.\Saiko, what would you do in Akechi's position?\I think I would guard the sprinkler switch. response:	The switch is near the staff room.
context: Sprinkler!\The sprinklers will be the trigger!\Akechi will deduce that too.\He'll examine the school sprinklers,\but he can't open them on his own.\Saiko, what would you do in Akechi's position?\I think I would guard the sprinkler switch.\The switch is near the staff room. response:	Akechi guards the switch,
context: The sprinklers will be the trigger!\Akechi will deduce that too.\He'll examine the school sprinklers,\but he can't open them on his own.\Saiko, what would you do in Akechi's position?\I think I would guard the sprinkler switch.\The switch is near the staff room.\Akechi guards the switch, response:	and watches the sprinklers through the window.
context: Akechi will deduce that too.\He'll examine the school sprinklers,\but he can't open them on his own.\Saiko, what would you do in Akechi's position?\I think I would guard the sprinkler switch.\The switch is near the staff room.\Akechi guards the switch,\and watches the sprinklers through the window. response:	But if he guards both, PCP will...
context: He'll examine the school sprinklers,\but he can't open them on his own.\Saiko, what would you do in Akechi's position?\I think I would guard the sprinkler switch.\The switch is near the staff room.\Akechi guards the switch,\and watches the sprinklers through the window.\But if he guards both, PCP will... response:	Saiko, read it one more time.
context: but he can't open them on his own.\Saiko, what would you do in Akechi's position?\I think I would guard the sprinkler switch.\The switch is near the staff room.\Akechi guards the switch,\and watches the sprinklers through the window.\But if he guards both, PCP will...\Saiko, read it one more time. response:	This time put everything in hiragana.
context: Saiko, what would you do in Akechi's position?\I think I would guard the sprinkler switch.\The switch is near the staff room.\Akechi guards the switch,\and watches the sprinklers through the window.\But if he guards both, PCP will...\Saiko, read it one more time.\This time put everything in hiragana. response:	Remove I and KA from the whole thing and read the end of each line.
context: I think I would guard the sprinkler switch.\The switch is near the staff room.\Akechi guards the switch,\and watches the sprinklers through the window.\But if he guards both, PCP will...\Saiko, read it one more time.\This time put everything in hiragana.\Remove I and KA from the whole thing and read the end of each line. response:	SU...
context: The switch is near the staff room.\Akechi guards the switch,\and watches the sprinklers through the window.\But if he guards both, PCP will...\Saiko, read it one more time.\This time put everything in hiragana.\Remove I and KA from the whole thing and read the end of each line.\SU... response:	NA...
context: Akechi guards the switch,\and watches the sprinklers through the window.\But if he guards both, PCP will...\Saiko, read it one more time.\This time put everything in hiragana.\Remove I and KA from the whole thing and read the end of each line.\SU...\NA... response:	BA...
context: and watches the sprinklers through the window.\But if he guards both, PCP will...\Saiko, read it one more time.\This time put everything in hiragana.\Remove I and KA from the whole thing and read the end of each line.\SU...\NA...\BA... response:	DE...
context: But if he guards both, PCP will...\Saiko, read it one more time.\This time put everything in hiragana.\Remove I and KA from the whole thing and read the end of each line.\SU...\NA...\BA...\DE... response:	Oh! I see!
context: Saiko, read it one more time.\This time put everything in hiragana.\Remove I and KA from the whole thing and read the end of each line.\SU...\NA...\BA...\DE...\Oh! I see! response:	Wow...
context: This time put everything in hiragana.\Remove I and KA from the whole thing and read the end of each line.\SU...\NA...\BA...\DE...\Oh! I see!\Wow... response:	Yes, this is good.
context: Remove I and KA from the whole thing and read the end of each line.\SU...\NA...\BA...\DE...\Oh! I see!\Wow...\Yes, this is good. response:	Launch from the sand pit,
context: SU...\NA...\BA...\DE...\Oh! I see!\Wow...\Yes, this is good.\Launch from the sand pit, response:	That's how I will win.
context: NA...\BA...\DE...\Oh! I see!\Wow...\Yes, this is good.\Launch from the sand pit,\That's how I will win. response:	This is really nicely done.
context: BA...\DE...\Oh! I see!\Wow...\Yes, this is good.\Launch from the sand pit,\That's how I will win.\This is really nicely done. response:	I didn't see the sand pit message!
context: DE...\Oh! I see!\Wow...\Yes, this is good.\Launch from the sand pit,\That's how I will win.\This is really nicely done.\I didn't see the sand pit message! response:	Yes!
context: Oh! I see!\Wow...\Yes, this is good.\Launch from the sand pit,\That's how I will win.\This is really nicely done.\I didn't see the sand pit message!\Yes! response:	Makoto sends him a message from the sand pit explaining the trick.
context: Wow...\Yes, this is good.\Launch from the sand pit,\That's how I will win.\This is really nicely done.\I didn't see the sand pit message!\Yes!\Makoto sends him a message from the sand pit explaining the trick. response:	Akechi realizes that he's been tricked.
context: Yes, this is good.\Launch from the sand pit,\That's how I will win.\This is really nicely done.\I didn't see the sand pit message!\Yes!\Makoto sends him a message from the sand pit explaining the trick.\Akechi realizes that he's been tricked. response:	He can't see the sand pit very well from the staff room.
context: Launch from the sand pit,\That's how I will win.\This is really nicely done.\I didn't see the sand pit message!\Yes!\Makoto sends him a message from the sand pit explaining the trick.\Akechi realizes that he's been tricked.\He can't see the sand pit very well from the staff room. response:	And he can't make out the identity of the person who is there.
context: That's how I will win.\This is really nicely done.\I didn't see the sand pit message!\Yes!\Makoto sends him a message from the sand pit explaining the trick.\Akechi realizes that he's been tricked.\He can't see the sand pit very well from the staff room.\And he can't make out the identity of the person who is there. response:	Makoto picks up the fireworks and lights them off!
context: This is really nicely done.\I didn't see the sand pit message!\Yes!\Makoto sends him a message from the sand pit explaining the trick.\Akechi realizes that he's been tricked.\He can't see the sand pit very well from the staff room.\And he can't make out the identity of the person who is there.\Makoto picks up the fireworks and lights them off! response:	For this trick, he can have a lighter on his strap.
context: I didn't see the sand pit message!\Yes!\Makoto sends him a message from the sand pit explaining the trick.\Akechi realizes that he's been tricked.\He can't see the sand pit very well from the staff room.\And he can't make out the identity of the person who is there.\Makoto picks up the fireworks and lights them off!\For this trick, he can have a lighter on his strap. response:	Yeah, this is interesting!
context: Yes!\Makoto sends him a message from the sand pit explaining the trick.\Akechi realizes that he's been tricked.\He can't see the sand pit very well from the staff room.\And he can't make out the identity of the person who is there.\Makoto picks up the fireworks and lights them off!\For this trick, he can have a lighter on his strap.\Yeah, this is interesting! response:	Watermelon and pudding...
context: Makoto sends him a message from the sand pit explaining the trick.\Akechi realizes that he's been tricked.\He can't see the sand pit very well from the staff room.\And he can't make out the identity of the person who is there.\Makoto picks up the fireworks and lights them off!\For this trick, he can have a lighter on his strap.\Yeah, this is interesting!\Watermelon and pudding... response:	Those connect to the earlier crimes!
context: Akechi realizes that he's been tricked.\He can't see the sand pit very well from the staff room.\And he can't make out the identity of the person who is there.\Makoto picks up the fireworks and lights them off!\For this trick, he can have a lighter on his strap.\Yeah, this is interesting!\Watermelon and pudding...\Those connect to the earlier crimes! response:	Akechi is defeated, and PCP is victorious!
context: He can't see the sand pit very well from the staff room.\And he can't make out the identity of the person who is there.\Makoto picks up the fireworks and lights them off!\For this trick, he can have a lighter on his strap.\Yeah, this is interesting!\Watermelon and pudding...\Those connect to the earlier crimes!\Akechi is defeated, and PCP is victorious! response:	This series will work.
context: And he can't make out the identity of the person who is there.\Makoto picks up the fireworks and lights them off!\For this trick, he can have a lighter on his strap.\Yeah, this is interesting!\Watermelon and pudding...\Those connect to the earlier crimes!\Akechi is defeated, and PCP is victorious!\This series will work. response:	Okay, start writing all 5 chapters now.
context: Makoto picks up the fireworks and lights them off!\For this trick, he can have a lighter on his strap.\Yeah, this is interesting!\Watermelon and pudding...\Those connect to the earlier crimes!\Akechi is defeated, and PCP is victorious!\This series will work.\Okay, start writing all 5 chapters now. response:	Okay!
context: For this trick, he can have a lighter on his strap.\Yeah, this is interesting!\Watermelon and pudding...\Those connect to the earlier crimes!\Akechi is defeated, and PCP is victorious!\This series will work.\Okay, start writing all 5 chapters now.\Okay! response:	You did it, Shujin!
context: Yeah, this is interesting!\Watermelon and pudding...\Those connect to the earlier crimes!\Akechi is defeated, and PCP is victorious!\This series will work.\Okay, start writing all 5 chapters now.\Okay!\You did it, Shujin! response:	Yeah!
context: Watermelon and pudding...\Those connect to the earlier crimes!\Akechi is defeated, and PCP is victorious!\This series will work.\Okay, start writing all 5 chapters now.\Okay!\You did it, Shujin!\Yeah! response:	PCP is going to do a series?
context: Those connect to the earlier crimes!\Akechi is defeated, and PCP is victorious!\This series will work.\Okay, start writing all 5 chapters now.\Okay!\You did it, Shujin!\Yeah!\PCP is going to do a series? response:	Yeah.
context: Akechi is defeated, and PCP is victorious!\This series will work.\Okay, start writing all 5 chapters now.\Okay!\You did it, Shujin!\Yeah!\PCP is going to do a series?\Yeah. response:	It looks like its going to be more than 4 chapters long.
context: This series will work.\Okay, start writing all 5 chapters now.\Okay!\You did it, Shujin!\Yeah!\PCP is going to do a series?\Yeah.\It looks like its going to be more than 4 chapters long. response:	Their future is riding on it.
context: Okay, start writing all 5 chapters now.\Okay!\You did it, Shujin!\Yeah!\PCP is going to do a series?\Yeah.\It looks like its going to be more than 4 chapters long.\Their future is riding on it. response:	I'm sure Takagi-kun worked really hard to write it.
context: Okay!\You did it, Shujin!\Yeah!\PCP is going to do a series?\Yeah.\It looks like its going to be more than 4 chapters long.\Their future is riding on it.\I'm sure Takagi-kun worked really hard to write it. response:	I know he will put everything he has into it.
