context: The Year 1879 (What is now) Menlo Park, America response:	What's happening? The Year 1879 (What is now) Menlo Park, America
context: And they are getting a bit edgy after waiting for more than a year with no results.\Remember, I built this company on your advice.\Opportunity...\What?\It is when things go wrong\that there is a chance for opportunity.\You have a good point there!\Thank you very much. response:	Teacher, bye-bye!
context: Remember, I built this company on your advice.\Opportunity...\What?\It is when things go wrong\that there is a chance for opportunity.\You have a good point there!\Thank you very much.\Teacher, bye-bye! response:	See you tomorrow!
context: Opportunity...\What?\It is when things go wrong\that there is a chance for opportunity.\You have a good point there!\Thank you very much.\Teacher, bye-bye!\See you tomorrow! response:	Mama...
context: What?\It is when things go wrong\that there is a chance for opportunity.\You have a good point there!\Thank you very much.\Teacher, bye-bye!\See you tomorrow!\Mama... response:	Really, you're just too irresponsible.
context: It is when things go wrong\that there is a chance for opportunity.\You have a good point there!\Thank you very much.\Teacher, bye-bye!\See you tomorrow!\Mama...\Really, you're just too irresponsible. response:	I'm very sorry.
context: that there is a chance for opportunity.\You have a good point there!\Thank you very much.\Teacher, bye-bye!\See you tomorrow!\Mama...\Really, you're just too irresponsible.\I'm very sorry. response:	Now, now.
context: You have a good point there!\Thank you very much.\Teacher, bye-bye!\See you tomorrow!\Mama...\Really, you're just too irresponsible.\I'm very sorry.\Now, now. response:	Mama! Sis!
context: Thank you very much.\Teacher, bye-bye!\See you tomorrow!\Mama...\Really, you're just too irresponsible.\I'm very sorry.\Now, now.\Mama! Sis! response:	Papa!
context: Teacher, bye-bye!\See you tomorrow!\Mama...\Really, you're just too irresponsible.\I'm very sorry.\Now, now.\Mama! Sis!\Papa! response:	My, you've gotten big!
context: See you tomorrow!\Mama...\Really, you're just too irresponsible.\I'm very sorry.\Now, now.\Mama! Sis!\Papa!\My, you've gotten big! response:	You all came to pick me up!
context: Mama...\Really, you're just too irresponsible.\I'm very sorry.\Now, now.\Mama! Sis!\Papa!\My, you've gotten big!\You all came to pick me up! response:	Yeah, we all came to pick you up.
context: Really, you're just too irresponsible.\I'm very sorry.\Now, now.\Mama! Sis!\Papa!\My, you've gotten big!\You all came to pick me up!\Yeah, we all came to pick you up. response:	Yeah!
context: I'm very sorry.\Now, now.\Mama! Sis!\Papa!\My, you've gotten big!\You all came to pick me up!\Yeah, we all came to pick you up.\Yeah! response:	Hey, Papa. What was that book, anyway?
context: Now, now.\Mama! Sis!\Papa!\My, you've gotten big!\You all came to pick me up!\Yeah, we all came to pick you up.\Yeah!\Hey, Papa. What was that book, anyway? response:	Good question.
context: Mama! Sis!\Papa!\My, you've gotten big!\You all came to pick me up!\Yeah, we all came to pick you up.\Yeah!\Hey, Papa. What was that book, anyway?\Good question. response:	Maybe it was a magical book.
context: Papa!\My, you've gotten big!\You all came to pick me up!\Yeah, we all came to pick you up.\Yeah!\Hey, Papa. What was that book, anyway?\Good question.\Maybe it was a magical book. response:	From the far-distant future.
context: My, you've gotten big!\You all came to pick me up!\Yeah, we all came to pick you up.\Yeah!\Hey, Papa. What was that book, anyway?\Good question.\Maybe it was a magical book.\From the far-distant future. response:	Magical? Try to be a little more realistic.
context: You all came to pick me up!\Yeah, we all came to pick you up.\Yeah!\Hey, Papa. What was that book, anyway?\Good question.\Maybe it was a magical book.\From the far-distant future.\Magical? Try to be a little more realistic. response:	All science and invention is like fantasy to the people of the past.
context: Yeah, we all came to pick you up.\Yeah!\Hey, Papa. What was that book, anyway?\Good question.\Maybe it was a magical book.\From the far-distant future.\Magical? Try to be a little more realistic.\All science and invention is like fantasy to the people of the past. response:	The scientists tried to give form to things that existed solely in their imaginations,
context: Yeah!\Hey, Papa. What was that book, anyway?\Good question.\Maybe it was a magical book.\From the far-distant future.\Magical? Try to be a little more realistic.\All science and invention is like fantasy to the people of the past.\The scientists tried to give form to things that existed solely in their imaginations, response:	with unwavering hard work and passion.
context: Hey, Papa. What was that book, anyway?\Good question.\Maybe it was a magical book.\From the far-distant future.\Magical? Try to be a little more realistic.\All science and invention is like fantasy to the people of the past.\The scientists tried to give form to things that existed solely in their imaginations,\with unwavering hard work and passion. response:	Some day, someone will discover the principle behind TSS
context: Good question.\Maybe it was a magical book.\From the far-distant future.\Magical? Try to be a little more realistic.\All science and invention is like fantasy to the people of the past.\The scientists tried to give form to things that existed solely in their imaginations,\with unwavering hard work and passion.\Some day, someone will discover the principle behind TSS response:	and put it into practical use.
context: Maybe it was a magical book.\From the far-distant future.\Magical? Try to be a little more realistic.\All science and invention is like fantasy to the people of the past.\The scientists tried to give form to things that existed solely in their imaginations,\with unwavering hard work and passion.\Some day, someone will discover the principle behind TSS\and put it into practical use. response:	Yes, most likely.
context: From the far-distant future.\Magical? Try to be a little more realistic.\All science and invention is like fantasy to the people of the past.\The scientists tried to give form to things that existed solely in their imaginations,\with unwavering hard work and passion.\Some day, someone will discover the principle behind TSS\and put it into practical use.\Yes, most likely. response:	You read the entire book, right?
context: Magical? Try to be a little more realistic.\All science and invention is like fantasy to the people of the past.\The scientists tried to give form to things that existed solely in their imaginations,\with unwavering hard work and passion.\Some day, someone will discover the principle behind TSS\and put it into practical use.\Yes, most likely.\You read the entire book, right? response:	Yes.
context: All science and invention is like fantasy to the people of the past.\The scientists tried to give form to things that existed solely in their imaginations,\with unwavering hard work and passion.\Some day, someone will discover the principle behind TSS\and put it into practical use.\Yes, most likely.\You read the entire book, right?\Yes. response:	I see...
context: The scientists tried to give form to things that existed solely in their imaginations,\with unwavering hard work and passion.\Some day, someone will discover the principle behind TSS\and put it into practical use.\Yes, most likely.\You read the entire book, right?\Yes.\I see... response:	Then you know what will happen when it is put into practical use, too?
context: with unwavering hard work and passion.\Some day, someone will discover the principle behind TSS\and put it into practical use.\Yes, most likely.\You read the entire book, right?\Yes.\I see...\Then you know what will happen when it is put into practical use, too? response:	Even so, I will do it.
context: Some day, someone will discover the principle behind TSS\and put it into practical use.\Yes, most likely.\You read the entire book, right?\Yes.\I see...\Then you know what will happen when it is put into practical use, too?\Even so, I will do it. response:	Even if it seems like that will put things in the wrong direction...
context: and put it into practical use.\Yes, most likely.\You read the entire book, right?\Yes.\I see...\Then you know what will happen when it is put into practical use, too?\Even so, I will do it.\Even if it seems like that will put things in the wrong direction... response:	You can have this.
context: Yes, most likely.\You read the entire book, right?\Yes.\I see...\Then you know what will happen when it is put into practical use, too?\Even so, I will do it.\Even if it seems like that will put things in the wrong direction...\You can have this. response:	I don't need it anymore.
context: You read the entire book, right?\Yes.\I see...\Then you know what will happen when it is put into practical use, too?\Even so, I will do it.\Even if it seems like that will put things in the wrong direction...\You can have this.\I don't need it anymore. response:	In 1910, when Edison invented the toaster,
context: Yes.\I see...\Then you know what will happen when it is put into practical use, too?\Even so, I will do it.\Even if it seems like that will put things in the wrong direction...\You can have this.\I don't need it anymore.\In 1910, when Edison invented the toaster, response:	he used the press to publish the idea, Two meals a day is unhealthy.
context: I see...\Then you know what will happen when it is put into practical use, too?\Even so, I will do it.\Even if it seems like that will put things in the wrong direction...\You can have this.\I don't need it anymore.\In 1910, when Edison invented the toaster,\he used the press to publish the idea, Two meals a day is unhealthy. response:	We should all eat three meals a day.
context: Then you know what will happen when it is put into practical use, too?\Even so, I will do it.\Even if it seems like that will put things in the wrong direction...\You can have this.\I don't need it anymore.\In 1910, when Edison invented the toaster,\he used the press to publish the idea, Two meals a day is unhealthy.\We should all eat three meals a day. response:	From this, the practice of three meals a day quickly spread,
context: Even so, I will do it.\Even if it seems like that will put things in the wrong direction...\You can have this.\I don't need it anymore.\In 1910, when Edison invented the toaster,\he used the press to publish the idea, Two meals a day is unhealthy.\We should all eat three meals a day.\From this, the practice of three meals a day quickly spread, response:	and became entrenched.
context: Even if it seems like that will put things in the wrong direction...\You can have this.\I don't need it anymore.\In 1910, when Edison invented the toaster,\he used the press to publish the idea, Two meals a day is unhealthy.\We should all eat three meals a day.\From this, the practice of three meals a day quickly spread,\and became entrenched. response:	And at the same time, sales of the toaster rapidly spread.
context: You can have this.\I don't need it anymore.\In 1910, when Edison invented the toaster,\he used the press to publish the idea, Two meals a day is unhealthy.\We should all eat three meals a day.\From this, the practice of three meals a day quickly spread,\and became entrenched.\And at the same time, sales of the toaster rapidly spread. response:	He wasn't just an inventor,
context: I don't need it anymore.\In 1910, when Edison invented the toaster,\he used the press to publish the idea, Two meals a day is unhealthy.\We should all eat three meals a day.\From this, the practice of three meals a day quickly spread,\and became entrenched.\And at the same time, sales of the toaster rapidly spread.\He wasn't just an inventor, response:	he was also an excellent businessman.
context: In 1910, when Edison invented the toaster,\he used the press to publish the idea, Two meals a day is unhealthy.\We should all eat three meals a day.\From this, the practice of three meals a day quickly spread,\and became entrenched.\And at the same time, sales of the toaster rapidly spread.\He wasn't just an inventor,\he was also an excellent businessman. response:	He was also an excellent businessman, huh?
context: he used the press to publish the idea, Two meals a day is unhealthy.\We should all eat three meals a day.\From this, the practice of three meals a day quickly spread,\and became entrenched.\And at the same time, sales of the toaster rapidly spread.\He wasn't just an inventor,\he was also an excellent businessman.\He was also an excellent businessman, huh? response:	Mr. Gilbert, Mr. Franklin, Mr. Volta, Mr. Faraday,
context: We should all eat three meals a day.\From this, the practice of three meals a day quickly spread,\and became entrenched.\And at the same time, sales of the toaster rapidly spread.\He wasn't just an inventor,\he was also an excellent businessman.\He was also an excellent businessman, huh?\Mr. Gilbert, Mr. Franklin, Mr. Volta, Mr. Faraday, response:	Mr. Morse, Mr. Bell, Mr. Hertz, Mr. Edison...
context: From this, the practice of three meals a day quickly spread,\and became entrenched.\And at the same time, sales of the toaster rapidly spread.\He wasn't just an inventor,\he was also an excellent businessman.\He was also an excellent businessman, huh?\Mr. Gilbert, Mr. Franklin, Mr. Volta, Mr. Faraday,\Mr. Morse, Mr. Bell, Mr. Hertz, Mr. Edison... response:	I'm going to work hard, too.
context: and became entrenched.\And at the same time, sales of the toaster rapidly spread.\He wasn't just an inventor,\he was also an excellent businessman.\He was also an excellent businessman, huh?\Mr. Gilbert, Mr. Franklin, Mr. Volta, Mr. Faraday,\Mr. Morse, Mr. Bell, Mr. Hertz, Mr. Edison...\I'm going to work hard, too. response:	Believing that someday, I can create what I imagine.
context: And at the same time, sales of the toaster rapidly spread.\He wasn't just an inventor,\he was also an excellent businessman.\He was also an excellent businessman, huh?\Mr. Gilbert, Mr. Franklin, Mr. Volta, Mr. Faraday,\Mr. Morse, Mr. Bell, Mr. Hertz, Mr. Edison...\I'm going to work hard, too.\Believing that someday, I can create what I imagine. response:	Wow! The needle's spinning!
context: He wasn't just an inventor,\he was also an excellent businessman.\He was also an excellent businessman, huh?\Mr. Gilbert, Mr. Franklin, Mr. Volta, Mr. Faraday,\Mr. Morse, Mr. Bell, Mr. Hertz, Mr. Edison...\I'm going to work hard, too.\Believing that someday, I can create what I imagine.\Wow! The needle's spinning! response:	This was the principle on which the motor was based.
context: he was also an excellent businessman.\He was also an excellent businessman, huh?\Mr. Gilbert, Mr. Franklin, Mr. Volta, Mr. Faraday,\Mr. Morse, Mr. Bell, Mr. Hertz, Mr. Edison...\I'm going to work hard, too.\Believing that someday, I can create what I imagine.\Wow! The needle's spinning!\This was the principle on which the motor was based. response:	Isn't science interesting?
context: He was also an excellent businessman, huh?\Mr. Gilbert, Mr. Franklin, Mr. Volta, Mr. Faraday,\Mr. Morse, Mr. Bell, Mr. Hertz, Mr. Edison...\I'm going to work hard, too.\Believing that someday, I can create what I imagine.\Wow! The needle's spinning!\This was the principle on which the motor was based.\Isn't science interesting? response:	Yeah!
context: Mr. Gilbert, Mr. Franklin, Mr. Volta, Mr. Faraday,\Mr. Morse, Mr. Bell, Mr. Hertz, Mr. Edison...\I'm going to work hard, too.\Believing that someday, I can create what I imagine.\Wow! The needle's spinning!\This was the principle on which the motor was based.\Isn't science interesting?\Yeah! response:	When I grow up, I'm going to be a scientist like you, Grandma!
context: Mr. Morse, Mr. Bell, Mr. Hertz, Mr. Edison...\I'm going to work hard, too.\Believing that someday, I can create what I imagine.\Wow! The needle's spinning!\This was the principle on which the motor was based.\Isn't science interesting?\Yeah!\When I grow up, I'm going to be a scientist like you, Grandma! response:	I see. In that case...
context: I'm going to work hard, too.\Believing that someday, I can create what I imagine.\Wow! The needle's spinning!\This was the principle on which the motor was based.\Isn't science interesting?\Yeah!\When I grow up, I'm going to be a scientist like you, Grandma!\I see. In that case... response:	What? But isn't that your treasure, Grandma?
context: Believing that someday, I can create what I imagine.\Wow! The needle's spinning!\This was the principle on which the motor was based.\Isn't science interesting?\Yeah!\When I grow up, I'm going to be a scientist like you, Grandma!\I see. In that case...\What? But isn't that your treasure, Grandma? response:	Are you sure?
context: Wow! The needle's spinning!\This was the principle on which the motor was based.\Isn't science interesting?\Yeah!\When I grow up, I'm going to be a scientist like you, Grandma!\I see. In that case...\What? But isn't that your treasure, Grandma?\Are you sure? response:	Yes.
context: This was the principle on which the motor was based.\Isn't science interesting?\Yeah!\When I grow up, I'm going to be a scientist like you, Grandma!\I see. In that case...\What? But isn't that your treasure, Grandma?\Are you sure?\Yes. response:	You see...
context: Isn't science interesting?\Yeah!\When I grow up, I'm going to be a scientist like you, Grandma!\I see. In that case...\What? But isn't that your treasure, Grandma?\Are you sure?\Yes.\You see... response:	This is a good luck charm for those who wish to become scientists.
context: Yeah!\When I grow up, I'm going to be a scientist like you, Grandma!\I see. In that case...\What? But isn't that your treasure, Grandma?\Are you sure?\Yes.\You see...\This is a good luck charm for those who wish to become scientists. response:	Thanks!
context: When I grow up, I'm going to be a scientist like you, Grandma!\I see. In that case...\What? But isn't that your treasure, Grandma?\Are you sure?\Yes.\You see...\This is a good luck charm for those who wish to become scientists.\Thanks! response:	Wh-What is this?
context: I see. In that case...\What? But isn't that your treasure, Grandma?\Are you sure?\Yes.\You see...\This is a good luck charm for those who wish to become scientists.\Thanks!\Wh-What is this? response:	What's wrong?
context: What? But isn't that your treasure, Grandma?\Are you sure?\Yes.\You see...\This is a good luck charm for those who wish to become scientists.\Thanks!\Wh-What is this?\What's wrong? response:	Well, um...
context: Are you sure?\Yes.\You see...\This is a good luck charm for those who wish to become scientists.\Thanks!\Wh-What is this?\What's wrong?\Well, um... response:	I can't find a book. It was supposed to be here.
context: Yes.\You see...\This is a good luck charm for those who wish to become scientists.\Thanks!\Wh-What is this?\What's wrong?\Well, um...\I can't find a book. It was supposed to be here. response:	A book?
context: You see...\This is a good luck charm for those who wish to become scientists.\Thanks!\Wh-What is this?\What's wrong?\Well, um...\I can't find a book. It was supposed to be here.\A book? response:	Yes.
context: This is a good luck charm for those who wish to become scientists.\Thanks!\Wh-What is this?\What's wrong?\Well, um...\I can't find a book. It was supposed to be here.\A book?\Yes. response:	It was about the history of inventions that involve electricity and magnetism.
context: Thanks!\Wh-What is this?\What's wrong?\Well, um...\I can't find a book. It was supposed to be here.\A book?\Yes.\It was about the history of inventions that involve electricity and magnetism. response:	In its place, I found this...
context: Wh-What is this?\What's wrong?\Well, um...\I can't find a book. It was supposed to be here.\A book?\Yes.\It was about the history of inventions that involve electricity and magnetism.\In its place, I found this... response:	I see!
context: What's wrong?\Well, um...\I can't find a book. It was supposed to be here.\A book?\Yes.\It was about the history of inventions that involve electricity and magnetism.\In its place, I found this...\I see! response:	Someone might be playing a prank.
context: Well, um...\I can't find a book. It was supposed to be here.\A book?\Yes.\It was about the history of inventions that involve electricity and magnetism.\In its place, I found this...\I see!\Someone might be playing a prank. response:	I'll investigate right away.
context: I can't find a book. It was supposed to be here.\A book?\Yes.\It was about the history of inventions that involve electricity and magnetism.\In its place, I found this...\I see!\Someone might be playing a prank.\I'll investigate right away. response:	No, it's all right.
context: A book?\Yes.\It was about the history of inventions that involve electricity and magnetism.\In its place, I found this...\I see!\Someone might be playing a prank.\I'll investigate right away.\No, it's all right. response:	That book has flown away to guide someone.
context: Yes.\It was about the history of inventions that involve electricity and magnetism.\In its place, I found this...\I see!\Someone might be playing a prank.\I'll investigate right away.\No, it's all right.\That book has flown away to guide someone. response:	Flown away to guide someone?
context: It was about the history of inventions that involve electricity and magnetism.\In its place, I found this...\I see!\Someone might be playing a prank.\I'll investigate right away.\No, it's all right.\That book has flown away to guide someone.\Flown away to guide someone? response:	Yes.
context: In its place, I found this...\I see!\Someone might be playing a prank.\I'll investigate right away.\No, it's all right.\That book has flown away to guide someone.\Flown away to guide someone?\Yes. response:	To a girl... in the age of creating what you imagine, right?
context: I see!\Someone might be playing a prank.\I'll investigate right away.\No, it's all right.\That book has flown away to guide someone.\Flown away to guide someone?\Yes.\To a girl... in the age of creating what you imagine, right? response:	Mari and Waka's Quick Science
context: Someone might be playing a prank.\I'll investigate right away.\No, it's all right.\That book has flown away to guide someone.\Flown away to guide someone?\Yes.\To a girl... in the age of creating what you imagine, right?\Mari and Waka's Quick Science response:	Mari and Waka's Quick Science! Mari and Waka's Quick Science
context: I'll investigate right away.\No, it's all right.\That book has flown away to guide someone.\Flown away to guide someone?\Yes.\To a girl... in the age of creating what you imagine, right?\Mari and Waka's Quick Science\Mari and Waka's Quick Science! Mari and Waka's Quick Science response:	Mari and Waka's Quick Science!
context: No, it's all right.\That book has flown away to guide someone.\Flown away to guide someone?\Yes.\To a girl... in the age of creating what you imagine, right?\Mari and Waka's Quick Science\Mari and Waka's Quick Science! Mari and Waka's Quick Science\Mari and Waka's Quick Science! response:	This is the toaster that Edison invented!
context: That book has flown away to guide someone.\Flown away to guide someone?\Yes.\To a girl... in the age of creating what you imagine, right?\Mari and Waka's Quick Science\Mari and Waka's Quick Science! Mari and Waka's Quick Science\Mari and Waka's Quick Science!\This is the toaster that Edison invented! response:	It looks so fancy!
context: Flown away to guide someone?\Yes.\To a girl... in the age of creating what you imagine, right?\Mari and Waka's Quick Science\Mari and Waka's Quick Science! Mari and Waka's Quick Science\Mari and Waka's Quick Science!\This is the toaster that Edison invented!\It looks so fancy! response:	Huh?
context: Yes.\To a girl... in the age of creating what you imagine, right?\Mari and Waka's Quick Science\Mari and Waka's Quick Science! Mari and Waka's Quick Science\Mari and Waka's Quick Science!\This is the toaster that Edison invented!\It looks so fancy!\Huh? response:	It flipped out!
context: To a girl... in the age of creating what you imagine, right?\Mari and Waka's Quick Science\Mari and Waka's Quick Science! Mari and Waka's Quick Science\Mari and Waka's Quick Science!\This is the toaster that Edison invented!\It looks so fancy!\Huh?\It flipped out! response:	That's right.
context: Mari and Waka's Quick Science\Mari and Waka's Quick Science! Mari and Waka's Quick Science\Mari and Waka's Quick Science!\This is the toaster that Edison invented!\It looks so fancy!\Huh?\It flipped out!\That's right. response:	It was simple, but it was made to bake both sides properly.
context: Mari and Waka's Quick Science! Mari and Waka's Quick Science\Mari and Waka's Quick Science!\This is the toaster that Edison invented!\It looks so fancy!\Huh?\It flipped out!\That's right.\It was simple, but it was made to bake both sides properly. response:	How convenient!
context: Mari and Waka's Quick Science!\This is the toaster that Edison invented!\It looks so fancy!\Huh?\It flipped out!\That's right.\It was simple, but it was made to bake both sides properly.\How convenient! response:	And here's a percolator for making coffee in a matching design.
context: This is the toaster that Edison invented!\It looks so fancy!\Huh?\It flipped out!\That's right.\It was simple, but it was made to bake both sides properly.\How convenient!\And here's a percolator for making coffee in a matching design. response:	It was sold with cups and sugar tins, too.
context: It looks so fancy!\Huh?\It flipped out!\That's right.\It was simple, but it was made to bake both sides properly.\How convenient!\And here's a percolator for making coffee in a matching design.\It was sold with cups and sugar tins, too. response:	He made it part of a series!
context: Huh?\It flipped out!\That's right.\It was simple, but it was made to bake both sides properly.\How convenient!\And here's a percolator for making coffee in a matching design.\It was sold with cups and sugar tins, too.\He made it part of a series! response:	And fans, and heaters...
context: It flipped out!\That's right.\It was simple, but it was made to bake both sides properly.\How convenient!\And here's a percolator for making coffee in a matching design.\It was sold with cups and sugar tins, too.\He made it part of a series!\And fans, and heaters... response:	to bring us an era of luxurious lives through electricity.
context: That's right.\It was simple, but it was made to bake both sides properly.\How convenient!\And here's a percolator for making coffee in a matching design.\It was sold with cups and sugar tins, too.\He made it part of a series!\And fans, and heaters...\to bring us an era of luxurious lives through electricity. response:	Wow!
context: It was simple, but it was made to bake both sides properly.\How convenient!\And here's a percolator for making coffee in a matching design.\It was sold with cups and sugar tins, too.\He made it part of a series!\And fans, and heaters...\to bring us an era of luxurious lives through electricity.\Wow! response:	He really had it all coordinated!
context: How convenient!\And here's a percolator for making coffee in a matching design.\It was sold with cups and sugar tins, too.\He made it part of a series!\And fans, and heaters...\to bring us an era of luxurious lives through electricity.\Wow!\He really had it all coordinated! response:	All I knew about Edison's inventions were the light bulb,
context: And here's a percolator for making coffee in a matching design.\It was sold with cups and sugar tins, too.\He made it part of a series!\And fans, and heaters...\to bring us an era of luxurious lives through electricity.\Wow!\He really had it all coordinated!\All I knew about Edison's inventions were the light bulb, response:	the phonograph, the copier, and a few other things.
context: It was sold with cups and sugar tins, too.\He made it part of a series!\And fans, and heaters...\to bring us an era of luxurious lives through electricity.\Wow!\He really had it all coordinated!\All I knew about Edison's inventions were the light bulb,\the phonograph, the copier, and a few other things. response:	But he really invented so much, didn't he?
context: He made it part of a series!\And fans, and heaters...\to bring us an era of luxurious lives through electricity.\Wow!\He really had it all coordinated!\All I knew about Edison's inventions were the light bulb,\the phonograph, the copier, and a few other things.\But he really invented so much, didn't he? response:	What was amazing about him is that, for instance, when inventing the light bulb,
context: And fans, and heaters...\to bring us an era of luxurious lives through electricity.\Wow!\He really had it all coordinated!\All I knew about Edison's inventions were the light bulb,\the phonograph, the copier, and a few other things.\But he really invented so much, didn't he?\What was amazing about him is that, for instance, when inventing the light bulb, response:	he also invented the socket, the outlet, and the plug.
context: to bring us an era of luxurious lives through electricity.\Wow!\He really had it all coordinated!\All I knew about Edison's inventions were the light bulb,\the phonograph, the copier, and a few other things.\But he really invented so much, didn't he?\What was amazing about him is that, for instance, when inventing the light bulb,\he also invented the socket, the outlet, and the plug. response:	He always created supplements to his inventions.
context: Wow!\He really had it all coordinated!\All I knew about Edison's inventions were the light bulb,\the phonograph, the copier, and a few other things.\But he really invented so much, didn't he?\What was amazing about him is that, for instance, when inventing the light bulb,\he also invented the socket, the outlet, and the plug.\He always created supplements to his inventions. response:	And many of those remain the same today.
context: He really had it all coordinated!\All I knew about Edison's inventions were the light bulb,\the phonograph, the copier, and a few other things.\But he really invented so much, didn't he?\What was amazing about him is that, for instance, when inventing the light bulb,\he also invented the socket, the outlet, and the plug.\He always created supplements to his inventions.\And many of those remain the same today. response:	Then this socket is Mr. Edison's invention?
context: All I knew about Edison's inventions were the light bulb,\the phonograph, the copier, and a few other things.\But he really invented so much, didn't he?\What was amazing about him is that, for instance, when inventing the light bulb,\he also invented the socket, the outlet, and the plug.\He always created supplements to his inventions.\And many of those remain the same today.\Then this socket is Mr. Edison's invention? response:	Yes, that's right.
context: the phonograph, the copier, and a few other things.\But he really invented so much, didn't he?\What was amazing about him is that, for instance, when inventing the light bulb,\he also invented the socket, the outlet, and the plug.\He always created supplements to his inventions.\And many of those remain the same today.\Then this socket is Mr. Edison's invention?\Yes, that's right. response:	He made all kinds of things he imagined practical!
context: But he really invented so much, didn't he?\What was amazing about him is that, for instance, when inventing the light bulb,\he also invented the socket, the outlet, and the plug.\He always created supplements to his inventions.\And many of those remain the same today.\Then this socket is Mr. Edison's invention?\Yes, that's right.\He made all kinds of things he imagined practical! response:	Yes. Create what you imagine!
context: What was amazing about him is that, for instance, when inventing the light bulb,\he also invented the socket, the outlet, and the plug.\He always created supplements to his inventions.\And many of those remain the same today.\Then this socket is Mr. Edison's invention?\Yes, that's right.\He made all kinds of things he imagined practical!\Yes. Create what you imagine! response:	He really did create what he imagined! Create what you imagine!
context: he also invented the socket, the outlet, and the plug.\He always created supplements to his inventions.\And many of those remain the same today.\Then this socket is Mr. Edison's invention?\Yes, that's right.\He made all kinds of things he imagined practical!\Yes. Create what you imagine!\He really did create what he imagined! Create what you imagine! response:	Yes! I'm gonna imagine things, too! Create what you imagine!
