context: Redraw? response:	After what Eiji said about the name, we can't make it into a manuscript.
context: I don't know if you're lying or not, but it'd obviously be Shouko-chan.\She didn't give me any chocolate for Valentines...\Don't speak anymore!\No matter how many thousands of sit ups I do every day,\it's all pointless if I can get stabbed so easily and end up like this.\How is it?\It's gotten more interesting since the name we read.\He used a calligraphy pen for the artwork and a lot of slanted lines... response:	to give it more intensity than the one-shot version.
context: She didn't give me any chocolate for Valentines...\Don't speak anymore!\No matter how many thousands of sit ups I do every day,\it's all pointless if I can get stabbed so easily and end up like this.\How is it?\It's gotten more interesting since the name we read.\He used a calligraphy pen for the artwork and a lot of slanted lines...\to give it more intensity than the one-shot version. response:	Can we win against this?
context: Don't speak anymore!\No matter how many thousands of sit ups I do every day,\it's all pointless if I can get stabbed so easily and end up like this.\How is it?\It's gotten more interesting since the name we read.\He used a calligraphy pen for the artwork and a lot of slanted lines...\to give it more intensity than the one-shot version.\Can we win against this? response:	We have to.
context: No matter how many thousands of sit ups I do every day,\it's all pointless if I can get stabbed so easily and end up like this.\How is it?\It's gotten more interesting since the name we read.\He used a calligraphy pen for the artwork and a lot of slanted lines...\to give it more intensity than the one-shot version.\Can we win against this?\We have to. response:	The early report for this comes out tomorrow, then the real deal on Friday.
context: it's all pointless if I can get stabbed so easily and end up like this.\How is it?\It's gotten more interesting since the name we read.\He used a calligraphy pen for the artwork and a lot of slanted lines...\to give it more intensity than the one-shot version.\Can we win against this?\We have to.\The early report for this comes out tomorrow, then the real deal on Friday. response:	The results come out that fast?
context: How is it?\It's gotten more interesting since the name we read.\He used a calligraphy pen for the artwork and a lot of slanted lines...\to give it more intensity than the one-shot version.\Can we win against this?\We have to.\The early report for this comes out tomorrow, then the real deal on Friday.\The results come out that fast? response:	Well, it's a week.
context: It's gotten more interesting since the name we read.\He used a calligraphy pen for the artwork and a lot of slanted lines...\to give it more intensity than the one-shot version.\Can we win against this?\We have to.\The early report for this comes out tomorrow, then the real deal on Friday.\The results come out that fast?\Well, it's a week. response:	I wonder if Hattori-san'll tell us the results.
context: He used a calligraphy pen for the artwork and a lot of slanted lines...\to give it more intensity than the one-shot version.\Can we win against this?\We have to.\The early report for this comes out tomorrow, then the real deal on Friday.\The results come out that fast?\Well, it's a week.\I wonder if Hattori-san'll tell us the results. response:	He probably will if we ask,
context: to give it more intensity than the one-shot version.\Can we win against this?\We have to.\The early report for this comes out tomorrow, then the real deal on Friday.\The results come out that fast?\Well, it's a week.\I wonder if Hattori-san'll tell us the results.\He probably will if we ask, response:	but I doubt he'll go out of his way to tell us.
context: Can we win against this?\We have to.\The early report for this comes out tomorrow, then the real deal on Friday.\The results come out that fast?\Well, it's a week.\I wonder if Hattori-san'll tell us the results.\He probably will if we ask,\but I doubt he'll go out of his way to tell us. response:	When our results come out, he might tell us if we did better than Fukuda-san.
context: We have to.\The early report for this comes out tomorrow, then the real deal on Friday.\The results come out that fast?\Well, it's a week.\I wonder if Hattori-san'll tell us the results.\He probably will if we ask,\but I doubt he'll go out of his way to tell us.\When our results come out, he might tell us if we did better than Fukuda-san. response:	So you're saying that if he doesn't tell us anything, it means ours was worse?
context: The early report for this comes out tomorrow, then the real deal on Friday.\The results come out that fast?\Well, it's a week.\I wonder if Hattori-san'll tell us the results.\He probably will if we ask,\but I doubt he'll go out of his way to tell us.\When our results come out, he might tell us if we did better than Fukuda-san.\So you're saying that if he doesn't tell us anything, it means ours was worse? response:	Let's just not ask about what results other works are getting.
context: The results come out that fast?\Well, it's a week.\I wonder if Hattori-san'll tell us the results.\He probably will if we ask,\but I doubt he'll go out of his way to tell us.\When our results come out, he might tell us if we did better than Fukuda-san.\So you're saying that if he doesn't tell us anything, it means ours was worse?\Let's just not ask about what results other works are getting. response:	We'll just concentrate on making our serialization name.
context: Well, it's a week.\I wonder if Hattori-san'll tell us the results.\He probably will if we ask,\but I doubt he'll go out of his way to tell us.\When our results come out, he might tell us if we did better than Fukuda-san.\So you're saying that if he doesn't tell us anything, it means ours was worse?\Let's just not ask about what results other works are getting.\We'll just concentrate on making our serialization name. response:	Mm, got it.
context: I wonder if Hattori-san'll tell us the results.\He probably will if we ask,\but I doubt he'll go out of his way to tell us.\When our results come out, he might tell us if we did better than Fukuda-san.\So you're saying that if he doesn't tell us anything, it means ours was worse?\Let's just not ask about what results other works are getting.\We'll just concentrate on making our serialization name.\Mm, got it. response:	Ah, but I'm so worried about it...
context: He probably will if we ask,\but I doubt he'll go out of his way to tell us.\When our results come out, he might tell us if we did better than Fukuda-san.\So you're saying that if he doesn't tell us anything, it means ours was worse?\Let's just not ask about what results other works are getting.\We'll just concentrate on making our serialization name.\Mm, got it.\Ah, but I'm so worried about it... response:	I want to be number one...
context: but I doubt he'll go out of his way to tell us.\When our results come out, he might tell us if we did better than Fukuda-san.\So you're saying that if he doesn't tell us anything, it means ours was worse?\Let's just not ask about what results other works are getting.\We'll just concentrate on making our serialization name.\Mm, got it.\Ah, but I'm so worried about it...\I want to be number one... response:	Oh man, tomorrow's the early report, eh?
context: When our results come out, he might tell us if we did better than Fukuda-san.\So you're saying that if he doesn't tell us anything, it means ours was worse?\Let's just not ask about what results other works are getting.\We'll just concentrate on making our serialization name.\Mm, got it.\Ah, but I'm so worried about it...\I want to be number one...\Oh man, tomorrow's the early report, eh? response:	Niizuma-sensei, mine was interesting, right?
context: So you're saying that if he doesn't tell us anything, it means ours was worse?\Let's just not ask about what results other works are getting.\We'll just concentrate on making our serialization name.\Mm, got it.\Ah, but I'm so worried about it...\I want to be number one...\Oh man, tomorrow's the early report, eh?\Niizuma-sensei, mine was interesting, right? response:	KIYOSHI is cool!
context: Let's just not ask about what results other works are getting.\We'll just concentrate on making our serialization name.\Mm, got it.\Ah, but I'm so worried about it...\I want to be number one...\Oh man, tomorrow's the early report, eh?\Niizuma-sensei, mine was interesting, right?\KIYOSHI is cool! response:	It was interesting. And the artwork noticeably improved.
context: We'll just concentrate on making our serialization name.\Mm, got it.\Ah, but I'm so worried about it...\I want to be number one...\Oh man, tomorrow's the early report, eh?\Niizuma-sensei, mine was interesting, right?\KIYOSHI is cool!\It was interesting. And the artwork noticeably improved. response:	The early report for KIYOSHI Knight...
context: Mm, got it.\Ah, but I'm so worried about it...\I want to be number one...\Oh man, tomorrow's the early report, eh?\Niizuma-sensei, mine was interesting, right?\KIYOSHI is cool!\It was interesting. And the artwork noticeably improved.\The early report for KIYOSHI Knight... response:	Please!
context: Ah, but I'm so worried about it...\I want to be number one...\Oh man, tomorrow's the early report, eh?\Niizuma-sensei, mine was interesting, right?\KIYOSHI is cool!\It was interesting. And the artwork noticeably improved.\The early report for KIYOSHI Knight...\Please! response:	All right!
context: I want to be number one...\Oh man, tomorrow's the early report, eh?\Niizuma-sensei, mine was interesting, right?\KIYOSHI is cool!\It was interesting. And the artwork noticeably improved.\The early report for KIYOSHI Knight...\Please!\All right! response:	Aw man, if Fukuda Shinta follows right after Niizuma Eiji, gets serialized,
context: Oh man, tomorrow's the early report, eh?\Niizuma-sensei, mine was interesting, right?\KIYOSHI is cool!\It was interesting. And the artwork noticeably improved.\The early report for KIYOSHI Knight...\Please!\All right!\Aw man, if Fukuda Shinta follows right after Niizuma Eiji, gets serialized, response:	and becomes a hit, then I'll be a prime choice to be the next captain!
context: Niizuma-sensei, mine was interesting, right?\KIYOSHI is cool!\It was interesting. And the artwork noticeably improved.\The early report for KIYOSHI Knight...\Please!\All right!\Aw man, if Fukuda Shinta follows right after Niizuma Eiji, gets serialized,\and becomes a hit, then I'll be a prime choice to be the next captain! response:	No, I can't relax yet. Who knows what'll happen in the real deal.
context: KIYOSHI is cool!\It was interesting. And the artwork noticeably improved.\The early report for KIYOSHI Knight...\Please!\All right!\Aw man, if Fukuda Shinta follows right after Niizuma Eiji, gets serialized,\and becomes a hit, then I'll be a prime choice to be the next captain!\No, I can't relax yet. Who knows what'll happen in the real deal. response:	Or what the other three works will get...
context: It was interesting. And the artwork noticeably improved.\The early report for KIYOSHI Knight...\Please!\All right!\Aw man, if Fukuda Shinta follows right after Niizuma Eiji, gets serialized,\and becomes a hit, then I'll be a prime choice to be the next captain!\No, I can't relax yet. Who knows what'll happen in the real deal.\Or what the other three works will get... response:	Especially Ashirogi Muto.
context: The early report for KIYOSHI Knight...\Please!\All right!\Aw man, if Fukuda Shinta follows right after Niizuma Eiji, gets serialized,\and becomes a hit, then I'll be a prime choice to be the next captain!\No, I can't relax yet. Who knows what'll happen in the real deal.\Or what the other three works will get...\Especially Ashirogi Muto. response:	And Makaino Kouji with totally unpredictable votes...
context: Please!\All right!\Aw man, if Fukuda Shinta follows right after Niizuma Eiji, gets serialized,\and becomes a hit, then I'll be a prime choice to be the next captain!\No, I can't relax yet. Who knows what'll happen in the real deal.\Or what the other three works will get...\Especially Ashirogi Muto.\And Makaino Kouji with totally unpredictable votes... response:	KOOGY-san, the Monday after next is the deadline.
context: All right!\Aw man, if Fukuda Shinta follows right after Niizuma Eiji, gets serialized,\and becomes a hit, then I'll be a prime choice to be the next captain!\No, I can't relax yet. Who knows what'll happen in the real deal.\Or what the other three works will get...\Especially Ashirogi Muto.\And Makaino Kouji with totally unpredictable votes...\KOOGY-san, the Monday after next is the deadline. response:	You understand that, don't you?
context: Aw man, if Fukuda Shinta follows right after Niizuma Eiji, gets serialized,\and becomes a hit, then I'll be a prime choice to be the next captain!\No, I can't relax yet. Who knows what'll happen in the real deal.\Or what the other three works will get...\Especially Ashirogi Muto.\And Makaino Kouji with totally unpredictable votes...\KOOGY-san, the Monday after next is the deadline.\You understand that, don't you? response:	I know, I'm just collecting data.
context: and becomes a hit, then I'll be a prime choice to be the next captain!\No, I can't relax yet. Who knows what'll happen in the real deal.\Or what the other three works will get...\Especially Ashirogi Muto.\And Makaino Kouji with totally unpredictable votes...\KOOGY-san, the Monday after next is the deadline.\You understand that, don't you?\I know, I'm just collecting data. response:	I can't help it if it's a little late, right?
context: No, I can't relax yet. Who knows what'll happen in the real deal.\Or what the other three works will get...\Especially Ashirogi Muto.\And Makaino Kouji with totally unpredictable votes...\KOOGY-san, the Monday after next is the deadline.\You understand that, don't you?\I know, I'm just collecting data.\I can't help it if it's a little late, right? response:	Jump!
context: Or what the other three works will get...\Especially Ashirogi Muto.\And Makaino Kouji with totally unpredictable votes...\KOOGY-san, the Monday after next is the deadline.\You understand that, don't you?\I know, I'm just collecting data.\I can't help it if it's a little late, right?\Jump! response:	Times three!
context: Especially Ashirogi Muto.\And Makaino Kouji with totally unpredictable votes...\KOOGY-san, the Monday after next is the deadline.\You understand that, don't you?\I know, I'm just collecting data.\I can't help it if it's a little late, right?\Jump!\Times three! response:	Times three more!
context: And Makaino Kouji with totally unpredictable votes...\KOOGY-san, the Monday after next is the deadline.\You understand that, don't you?\I know, I'm just collecting data.\I can't help it if it's a little late, right?\Jump!\Times three!\Times three more! response:	It's here!
context: KOOGY-san, the Monday after next is the deadline.\You understand that, don't you?\I know, I'm just collecting data.\I can't help it if it's a little late, right?\Jump!\Times three!\Times three more!\It's here! response:	Real deal!
context: You understand that, don't you?\I know, I'm just collecting data.\I can't help it if it's a little late, right?\Jump!\Times three!\Times three more!\It's here!\Real deal! response:	Hello?
context: I know, I'm just collecting data.\I can't help it if it's a little late, right?\Jump!\Times three!\Times three more!\It's here!\Real deal!\Hello? response:	Yes.
context: I can't help it if it's a little late, right?\Jump!\Times three!\Times three more!\It's here!\Real deal!\Hello?\Yes. response:	Just as I expected!
context: Jump!\Times three!\Times three more!\It's here!\Real deal!\Hello?\Yes.\Just as I expected! response:	So is it okay for me to start on serialization names for KIYOSHI Knight?
context: Times three!\Times three more!\It's here!\Real deal!\Hello?\Yes.\Just as I expected!\So is it okay for me to start on serialization names for KIYOSHI Knight? response:	Oh, so you did it!
context: Times three more!\It's here!\Real deal!\Hello?\Yes.\Just as I expected!\So is it okay for me to start on serialization names for KIYOSHI Knight?\Oh, so you did it! response:	Congratulations!
context: It's here!\Real deal!\Hello?\Yes.\Just as I expected!\So is it okay for me to start on serialization names for KIYOSHI Knight?\Oh, so you did it!\Congratulations! response:	You'll submit them for the serialization meeting, right?
context: Real deal!\Hello?\Yes.\Just as I expected!\So is it okay for me to start on serialization names for KIYOSHI Knight?\Oh, so you did it!\Congratulations!\You'll submit them for the serialization meeting, right? response:	AAoki-san...
context: Hello?\Yes.\Just as I expected!\So is it okay for me to start on serialization names for KIYOSHI Knight?\Oh, so you did it!\Congratulations!\You'll submit them for the serialization meeting, right?\AAoki-san... response:	Fukuda-kun just got a call from his editor.
context: Yes.\Just as I expected!\So is it okay for me to start on serialization names for KIYOSHI Knight?\Oh, so you did it!\Congratulations!\You'll submit them for the serialization meeting, right?\AAoki-san...\Fukuda-kun just got a call from his editor. response:	It sounds like the results for the real deal were really good.
context: Just as I expected!\So is it okay for me to start on serialization names for KIYOSHI Knight?\Oh, so you did it!\Congratulations!\You'll submit them for the serialization meeting, right?\AAoki-san...\Fukuda-kun just got a call from his editor.\It sounds like the results for the real deal were really good. response:	I see. Is that the only matter of importance?
context: So is it okay for me to start on serialization names for KIYOSHI Knight?\Oh, so you did it!\Congratulations!\You'll submit them for the serialization meeting, right?\AAoki-san...\Fukuda-kun just got a call from his editor.\It sounds like the results for the real deal were really good.\I see. Is that the only matter of importance? response:	YYes.
context: Oh, so you did it!\Congratulations!\You'll submit them for the serialization meeting, right?\AAoki-san...\Fukuda-kun just got a call from his editor.\It sounds like the results for the real deal were really good.\I see. Is that the only matter of importance?\YYes. response:	I have no real interest in the results of others.
context: Congratulations!\You'll submit them for the serialization meeting, right?\AAoki-san...\Fukuda-kun just got a call from his editor.\It sounds like the results for the real deal were really good.\I see. Is that the only matter of importance?\YYes.\I have no real interest in the results of others. response:	Excuse me.
context: You'll submit them for the serialization meeting, right?\AAoki-san...\Fukuda-kun just got a call from his editor.\It sounds like the results for the real deal were really good.\I see. Is that the only matter of importance?\YYes.\I have no real interest in the results of others.\Excuse me. response:	Shit!
context: AAoki-san...\Fukuda-kun just got a call from his editor.\It sounds like the results for the real deal were really good.\I see. Is that the only matter of importance?\YYes.\I have no real interest in the results of others.\Excuse me.\Shit! response:	The one who proposed the trade for the painting...
context: Fukuda-kun just got a call from his editor.\It sounds like the results for the real deal were really good.\I see. Is that the only matter of importance?\YYes.\I have no real interest in the results of others.\Excuse me.\Shit!\The one who proposed the trade for the painting... response:	I stole for the surveillance camera video they were gonna use as proof against me...
context: It sounds like the results for the real deal were really good.\I see. Is that the only matter of importance?\YYes.\I have no real interest in the results of others.\Excuse me.\Shit!\The one who proposed the trade for the painting...\I stole for the surveillance camera video they were gonna use as proof against me... response:	And that me in the video, too...
context: I see. Is that the only matter of importance?\YYes.\I have no real interest in the results of others.\Excuse me.\Shit!\The one who proposed the trade for the painting...\I stole for the surveillance camera video they were gonna use as proof against me...\And that me in the video, too... response:	It was you?!
context: YYes.\I have no real interest in the results of others.\Excuse me.\Shit!\The one who proposed the trade for the painting...\I stole for the surveillance camera video they were gonna use as proof against me...\And that me in the video, too...\It was you?! response:	I don't know who that person is,
context: I have no real interest in the results of others.\Excuse me.\Shit!\The one who proposed the trade for the painting...\I stole for the surveillance camera video they were gonna use as proof against me...\And that me in the video, too...\It was you?!\I don't know who that person is, response:	but the fact that you're the one carrying that stolen painting is unshakable proof!
context: Excuse me.\Shit!\The one who proposed the trade for the painting...\I stole for the surveillance camera video they were gonna use as proof against me...\And that me in the video, too...\It was you?!\I don't know who that person is,\but the fact that you're the one carrying that stolen painting is unshakable proof! response:	If there's no proof, you just need to make it!
context: Shit!\The one who proposed the trade for the painting...\I stole for the surveillance camera video they were gonna use as proof against me...\And that me in the video, too...\It was you?!\I don't know who that person is,\but the fact that you're the one carrying that stolen painting is unshakable proof!\If there's no proof, you just need to make it! response:	The painting our artist father protected so dearly... Thank you so much.
context: The one who proposed the trade for the painting...\I stole for the surveillance camera video they were gonna use as proof against me...\And that me in the video, too...\It was you?!\I don't know who that person is,\but the fact that you're the one carrying that stolen painting is unshakable proof!\If there's no proof, you just need to make it!\The painting our artist father protected so dearly... Thank you so much. response:	And about your 10,000 dollar fee...
context: I stole for the surveillance camera video they were gonna use as proof against me...\And that me in the video, too...\It was you?!\I don't know who that person is,\but the fact that you're the one carrying that stolen painting is unshakable proof!\If there's no proof, you just need to make it!\The painting our artist father protected so dearly... Thank you so much.\And about your 10,000 dollar fee... response:	I just received it.
context: And that me in the video, too...\It was you?!\I don't know who that person is,\but the fact that you're the one carrying that stolen painting is unshakable proof!\If there's no proof, you just need to make it!\The painting our artist father protected so dearly... Thank you so much.\And about your 10,000 dollar fee...\I just received it. response:	Eh?
context: It was you?!\I don't know who that person is,\but the fact that you're the one carrying that stolen painting is unshakable proof!\If there's no proof, you just need to make it!\The painting our artist father protected so dearly... Thank you so much.\And about your 10,000 dollar fee...\I just received it.\Eh? response:	Saori-san, your smile is worth more than 10,000 dollars.
context: I don't know who that person is,\but the fact that you're the one carrying that stolen painting is unshakable proof!\If there's no proof, you just need to make it!\The painting our artist father protected so dearly... Thank you so much.\And about your 10,000 dollar fee...\I just received it.\Eh?\Saori-san, your smile is worth more than 10,000 dollars. response:	Isn't this awesome?
context: but the fact that you're the one carrying that stolen painting is unshakable proof!\If there's no proof, you just need to make it!\The painting our artist father protected so dearly... Thank you so much.\And about your 10,000 dollar fee...\I just received it.\Eh?\Saori-san, your smile is worth more than 10,000 dollars.\Isn't this awesome? response:	Our work is running in Weekly Shounen Jack!
context: If there's no proof, you just need to make it!\The painting our artist father protected so dearly... Thank you so much.\And about your 10,000 dollar fee...\I just received it.\Eh?\Saori-san, your smile is worth more than 10,000 dollars.\Isn't this awesome?\Our work is running in Weekly Shounen Jack! response:	TRAP is so interesting!
context: The painting our artist father protected so dearly... Thank you so much.\And about your 10,000 dollar fee...\I just received it.\Eh?\Saori-san, your smile is worth more than 10,000 dollars.\Isn't this awesome?\Our work is running in Weekly Shounen Jack!\TRAP is so interesting! response:	You'll be all right! You'll win over Kiyoshiko no Yoru.
context: And about your 10,000 dollar fee...\I just received it.\Eh?\Saori-san, your smile is worth more than 10,000 dollars.\Isn't this awesome?\Our work is running in Weekly Shounen Jack!\TRAP is so interesting!\You'll be all right! You'll win over Kiyoshiko no Yoru. response:	Kiyoshi no Yoru = Kiyoshi Night
context: I just received it.\Eh?\Saori-san, your smile is worth more than 10,000 dollars.\Isn't this awesome?\Our work is running in Weekly Shounen Jack!\TRAP is so interesting!\You'll be all right! You'll win over Kiyoshiko no Yoru.\Kiyoshi no Yoru = Kiyoshi Night response:	It's not Kiyoshiko no Yoru, it's Knight.
context: Eh?\Saori-san, your smile is worth more than 10,000 dollars.\Isn't this awesome?\Our work is running in Weekly Shounen Jack!\TRAP is so interesting!\You'll be all right! You'll win over Kiyoshiko no Yoru.\Kiyoshi no Yoru = Kiyoshi Night\It's not Kiyoshiko no Yoru, it's Knight. response:	Saikou, what's with the glum face?
context: Saori-san, your smile is worth more than 10,000 dollars.\Isn't this awesome?\Our work is running in Weekly Shounen Jack!\TRAP is so interesting!\You'll be all right! You'll win over Kiyoshiko no Yoru.\Kiyoshi no Yoru = Kiyoshi Night\It's not Kiyoshiko no Yoru, it's Knight.\Saikou, what's with the glum face? response:	When I see my own drawings running in Jack like this, it makes me realize how bad they really are.
context: Isn't this awesome?\Our work is running in Weekly Shounen Jack!\TRAP is so interesting!\You'll be all right! You'll win over Kiyoshiko no Yoru.\Kiyoshi no Yoru = Kiyoshi Night\It's not Kiyoshiko no Yoru, it's Knight.\Saikou, what's with the glum face?\When I see my own drawings running in Jack like this, it makes me realize how bad they really are. response:	Not only were ONE PIECE and NARUTO well done from their first chapter onward, they were individualistic.
context: Our work is running in Weekly Shounen Jack!\TRAP is so interesting!\You'll be all right! You'll win over Kiyoshiko no Yoru.\Kiyoshi no Yoru = Kiyoshi Night\It's not Kiyoshiko no Yoru, it's Knight.\Saikou, what's with the glum face?\When I see my own drawings running in Jack like this, it makes me realize how bad they really are.\Not only were ONE PIECE and NARUTO well done from their first chapter onward, they were individualistic. response:	Don't you think Oda-sensei's and Kishimoto-sensei's drawings are unique?
context: TRAP is so interesting!\You'll be all right! You'll win over Kiyoshiko no Yoru.\Kiyoshi no Yoru = Kiyoshi Night\It's not Kiyoshiko no Yoru, it's Knight.\Saikou, what's with the glum face?\When I see my own drawings running in Jack like this, it makes me realize how bad they really are.\Not only were ONE PIECE and NARUTO well done from their first chapter onward, they were individualistic.\Don't you think Oda-sensei's and Kishimoto-sensei's drawings are unique? response:	Well, you're certainly right about that, but there are so many people to compare to...
context: You'll be all right! You'll win over Kiyoshiko no Yoru.\Kiyoshi no Yoru = Kiyoshi Night\It's not Kiyoshiko no Yoru, it's Knight.\Saikou, what's with the glum face?\When I see my own drawings running in Jack like this, it makes me realize how bad they really are.\Not only were ONE PIECE and NARUTO well done from their first chapter onward, they were individualistic.\Don't you think Oda-sensei's and Kishimoto-sensei's drawings are unique?\Well, you're certainly right about that, but there are so many people to compare to... response:	That's got to be Miho.
context: Kiyoshi no Yoru = Kiyoshi Night\It's not Kiyoshiko no Yoru, it's Knight.\Saikou, what's with the glum face?\When I see my own drawings running in Jack like this, it makes me realize how bad they really are.\Not only were ONE PIECE and NARUTO well done from their first chapter onward, they were individualistic.\Don't you think Oda-sensei's and Kishimoto-sensei's drawings are unique?\Well, you're certainly right about that, but there are so many people to compare to...\That's got to be Miho. response:	I told her that it was going on sale today.
context: It's not Kiyoshiko no Yoru, it's Knight.\Saikou, what's with the glum face?\When I see my own drawings running in Jack like this, it makes me realize how bad they really are.\Not only were ONE PIECE and NARUTO well done from their first chapter onward, they were individualistic.\Don't you think Oda-sensei's and Kishimoto-sensei's drawings are unique?\Well, you're certainly right about that, but there are so many people to compare to...\That's got to be Miho.\I told her that it was going on sale today. response:	So it is Azuki? Did she write any impressions she had?
context: Saikou, what's with the glum face?\When I see my own drawings running in Jack like this, it makes me realize how bad they really are.\Not only were ONE PIECE and NARUTO well done from their first chapter onward, they were individualistic.\Don't you think Oda-sensei's and Kishimoto-sensei's drawings are unique?\Well, you're certainly right about that, but there are so many people to compare to...\That's got to be Miho.\I told her that it was going on sale today.\So it is Azuki? Did she write any impressions she had? response:	She said TRAP was interesting!
context: When I see my own drawings running in Jack like this, it makes me realize how bad they really are.\Not only were ONE PIECE and NARUTO well done from their first chapter onward, they were individualistic.\Don't you think Oda-sensei's and Kishimoto-sensei's drawings are unique?\Well, you're certainly right about that, but there are so many people to compare to...\That's got to be Miho.\I told her that it was going on sale today.\So it is Azuki? Did she write any impressions she had?\She said TRAP was interesting! response:	I suddenly feel really confident.
context: Not only were ONE PIECE and NARUTO well done from their first chapter onward, they were individualistic.\Don't you think Oda-sensei's and Kishimoto-sensei's drawings are unique?\Well, you're certainly right about that, but there are so many people to compare to...\That's got to be Miho.\I told her that it was going on sale today.\So it is Azuki? Did she write any impressions she had?\She said TRAP was interesting!\I suddenly feel really confident. response:	We're definitely getting 1st!
context: Don't you think Oda-sensei's and Kishimoto-sensei's drawings are unique?\Well, you're certainly right about that, but there are so many people to compare to...\That's got to be Miho.\I told her that it was going on sale today.\So it is Azuki? Did she write any impressions she had?\She said TRAP was interesting!\I suddenly feel really confident.\We're definitely getting 1st! response:	Same guy as always.
context: Well, you're certainly right about that, but there are so many people to compare to...\That's got to be Miho.\I told her that it was going on sale today.\So it is Azuki? Did she write any impressions she had?\She said TRAP was interesting!\I suddenly feel really confident.\We're definitely getting 1st!\Same guy as always. response:	Mm, this is interesting.
context: That's got to be Miho.\I told her that it was going on sale today.\So it is Azuki? Did she write any impressions she had?\She said TRAP was interesting!\I suddenly feel really confident.\We're definitely getting 1st!\Same guy as always.\Mm, this is interesting. response:	The story and drawings are way powered up from when it was a name.
context: I told her that it was going on sale today.\So it is Azuki? Did she write any impressions she had?\She said TRAP was interesting!\I suddenly feel really confident.\We're definitely getting 1st!\Same guy as always.\Mm, this is interesting.\The story and drawings are way powered up from when it was a name. response:	That's Ashirogi-sensei for you.
context: So it is Azuki? Did she write any impressions she had?\She said TRAP was interesting!\I suddenly feel really confident.\We're definitely getting 1st!\Same guy as always.\Mm, this is interesting.\The story and drawings are way powered up from when it was a name.\That's Ashirogi-sensei for you. response:	Their stories are amazing and they've got drawings to match them.
context: She said TRAP was interesting!\I suddenly feel really confident.\We're definitely getting 1st!\Same guy as always.\Mm, this is interesting.\The story and drawings are way powered up from when it was a name.\That's Ashirogi-sensei for you.\Their stories are amazing and they've got drawings to match them. response:	Between theirs and mine, which is more interesting?
context: I suddenly feel really confident.\We're definitely getting 1st!\Same guy as always.\Mm, this is interesting.\The story and drawings are way powered up from when it was a name.\That's Ashirogi-sensei for you.\Their stories are amazing and they've got drawings to match them.\Between theirs and mine, which is more interesting? response:	Hmm... it's a tie.
context: We're definitely getting 1st!\Same guy as always.\Mm, this is interesting.\The story and drawings are way powered up from when it was a name.\That's Ashirogi-sensei for you.\Their stories are amazing and they've got drawings to match them.\Between theirs and mine, which is more interesting?\Hmm... it's a tie. response:	So by that do you mean...
context: Same guy as always.\Mm, this is interesting.\The story and drawings are way powered up from when it was a name.\That's Ashirogi-sensei for you.\Their stories are amazing and they've got drawings to match them.\Between theirs and mine, which is more interesting?\Hmm... it's a tie.\So by that do you mean... response:	So back then... it was between Fukuda-kun and Mashiro-kun's works?
context: Mm, this is interesting.\The story and drawings are way powered up from when it was a name.\That's Ashirogi-sensei for you.\Their stories are amazing and they've got drawings to match them.\Between theirs and mine, which is more interesting?\Hmm... it's a tie.\So by that do you mean...\So back then... it was between Fukuda-kun and Mashiro-kun's works? response:	If that's true...
context: The story and drawings are way powered up from when it was a name.\That's Ashirogi-sensei for you.\Their stories are amazing and they've got drawings to match them.\Between theirs and mine, which is more interesting?\Hmm... it's a tie.\So by that do you mean...\So back then... it was between Fukuda-kun and Mashiro-kun's works?\If that's true... response:	Did you see the early report?
context: That's Ashirogi-sensei for you.\Their stories are amazing and they've got drawings to match them.\Between theirs and mine, which is more interesting?\Hmm... it's a tie.\So by that do you mean...\So back then... it was between Fukuda-kun and Mashiro-kun's works?\If that's true...\Did you see the early report? response:	Yeah.
context: Their stories are amazing and they've got drawings to match them.\Between theirs and mine, which is more interesting?\Hmm... it's a tie.\So by that do you mean...\So back then... it was between Fukuda-kun and Mashiro-kun's works?\If that's true...\Did you see the early report?\Yeah. response:	This Golden Future Cup's turning out to be a pretty interesting one.
context: Between theirs and mine, which is more interesting?\Hmm... it's a tie.\So by that do you mean...\So back then... it was between Fukuda-kun and Mashiro-kun's works?\If that's true...\Did you see the early report?\Yeah.\This Golden Future Cup's turning out to be a pretty interesting one. response:	How's the one you're editor for, Aida-san?
context: Hmm... it's a tie.\So by that do you mean...\So back then... it was between Fukuda-kun and Mashiro-kun's works?\If that's true...\Did you see the early report?\Yeah.\This Golden Future Cup's turning out to be a pretty interesting one.\How's the one you're editor for, Aida-san? response:	I'm sure mine's amazing too.
context: So by that do you mean...\So back then... it was between Fukuda-kun and Mashiro-kun's works?\If that's true...\Did you see the early report?\Yeah.\This Golden Future Cup's turning out to be a pretty interesting one.\How's the one you're editor for, Aida-san?\I'm sure mine's amazing too. response:	I'm psyched for the third week.
context: So back then... it was between Fukuda-kun and Mashiro-kun's works?\If that's true...\Did you see the early report?\Yeah.\This Golden Future Cup's turning out to be a pretty interesting one.\How's the one you're editor for, Aida-san?\I'm sure mine's amazing too.\I'm psyched for the third week. response:	Hello, Takagi-kun?
context: If that's true...\Did you see the early report?\Yeah.\This Golden Future Cup's turning out to be a pretty interesting one.\How's the one you're editor for, Aida-san?\I'm sure mine's amazing too.\I'm psyched for the third week.\Hello, Takagi-kun? response:	It's Hattori.
