context: The salinity in the Narunami area around noon is expected to be 57 per mill. response:	Around 6PM, it will rise to 60 per mill.
context: and I'm sure your dad feels the same.\And I know you do, too.\If you can tell each other you care about each other, you'll become stronger!\You'll be happier!\Huh?\Ow!\Damn it, what the hell?\I said that I'd support her... response:	But I don't think I can control myself...
context: And I know you do, too.\If you can tell each other you care about each other, you'll become stronger!\You'll be happier!\Huh?\Ow!\Damn it, what the hell?\I said that I'd support her...\But I don't think I can control myself... response:	Food's ready!
context: If you can tell each other you care about each other, you'll become stronger!\You'll be happier!\Huh?\Ow!\Damn it, what the hell?\I said that I'd support her...\But I don't think I can control myself...\Food's ready! response:	We've been waiting!
context: You'll be happier!\Huh?\Ow!\Damn it, what the hell?\I said that I'd support her...\But I don't think I can control myself...\Food's ready!\We've been waiting! response:	Looks great!
context: Huh?\Ow!\Damn it, what the hell?\I said that I'd support her...\But I don't think I can control myself...\Food's ready!\We've been waiting!\Looks great! response:	I'm so hungry!
context: Ow!\Damn it, what the hell?\I said that I'd support her...\But I don't think I can control myself...\Food's ready!\We've been waiting!\Looks great!\I'm so hungry! response:	Mom? Dad?
context: Damn it, what the hell?\I said that I'd support her...\But I don't think I can control myself...\Food's ready!\We've been waiting!\Looks great!\I'm so hungry!\Mom? Dad? response:	Did something happen?
context: I said that I'd support her...\But I don't think I can control myself...\Food's ready!\We've been waiting!\Looks great!\I'm so hungry!\Mom? Dad?\Did something happen? response:	Come here.
context: But I don't think I can control myself...\Food's ready!\We've been waiting!\Looks great!\I'm so hungry!\Mom? Dad?\Did something happen?\Come here. response:	What's wrong?
context: Food's ready!\We've been waiting!\Looks great!\I'm so hungry!\Mom? Dad?\Did something happen?\Come here.\What's wrong? response:	Manaka, you can't go to the surface anymore.
context: We've been waiting!\Looks great!\I'm so hungry!\Mom? Dad?\Did something happen?\Come here.\What's wrong?\Manaka, you can't go to the surface anymore. response:	What?
context: Looks great!\I'm so hungry!\Mom? Dad?\Did something happen?\Come here.\What's wrong?\Manaka, you can't go to the surface anymore.\What? response:	Sakishima
context: I'm so hungry!\Mom? Dad?\Did something happen?\Come here.\What's wrong?\Manaka, you can't go to the surface anymore.\What?\Sakishima response:	Manaka's your friend.
context: Mom? Dad?\Did something happen?\Come here.\What's wrong?\Manaka, you can't go to the surface anymore.\What?\Sakishima\Manaka's your friend. response:	She's your friend, you.
context: Did something happen?\Come here.\What's wrong?\Manaka, you can't go to the surface anymore.\What?\Sakishima\Manaka's your friend.\She's your friend, you. response:	All right!
context: Come here.\What's wrong?\Manaka, you can't go to the surface anymore.\What?\Sakishima\Manaka's your friend.\She's your friend, you.\All right! response:	Now if you'll open your textbook to page 48
context: What's wrong?\Manaka, you can't go to the surface anymore.\What?\Sakishima\Manaka's your friend.\She's your friend, you.\All right!\Now if you'll open your textbook to page 48 response:	I'm late!
context: Manaka, you can't go to the surface anymore.\What?\Sakishima\Manaka's your friend.\She's your friend, you.\All right!\Now if you'll open your textbook to page 48\I'm late! response:	I couldn't really sleep well last night, and so...
context: What?\Sakishima\Manaka's your friend.\She's your friend, you.\All right!\Now if you'll open your textbook to page 48\I'm late!\I couldn't really sleep well last night, and so... response:	I'm sorry!
context: Sakishima\Manaka's your friend.\She's your friend, you.\All right!\Now if you'll open your textbook to page 48\I'm late!\I couldn't really sleep well last night, and so...\I'm sorry! response:	So at least you showed up, Hikari.
context: Manaka's your friend.\She's your friend, you.\All right!\Now if you'll open your textbook to page 48\I'm late!\I couldn't really sleep well last night, and so...\I'm sorry!\So at least you showed up, Hikari. response:	Huh?
context: She's your friend, you.\All right!\Now if you'll open your textbook to page 48\I'm late!\I couldn't really sleep well last night, and so...\I'm sorry!\So at least you showed up, Hikari.\Huh? response:	Well, all of the Shioshishio kids didn't show up today.
context: All right!\Now if you'll open your textbook to page 48\I'm late!\I couldn't really sleep well last night, and so...\I'm sorry!\So at least you showed up, Hikari.\Huh?\Well, all of the Shioshishio kids didn't show up today. response:	I tried to contact them but couldn't reach them.
context: Now if you'll open your textbook to page 48\I'm late!\I couldn't really sleep well last night, and so...\I'm sorry!\So at least you showed up, Hikari.\Huh?\Well, all of the Shioshishio kids didn't show up today.\I tried to contact them but couldn't reach them. response:	Have you heard anything?
context: I'm late!\I couldn't really sleep well last night, and so...\I'm sorry!\So at least you showed up, Hikari.\Huh?\Well, all of the Shioshishio kids didn't show up today.\I tried to contact them but couldn't reach them.\Have you heard anything? response:	Those adults are trying to stop the Ofunehiki again!
context: I couldn't really sleep well last night, and so...\I'm sorry!\So at least you showed up, Hikari.\Huh?\Well, all of the Shioshishio kids didn't show up today.\I tried to contact them but couldn't reach them.\Have you heard anything?\Those adults are trying to stop the Ofunehiki again! response:	I'll go.
context: I'm sorry!\So at least you showed up, Hikari.\Huh?\Well, all of the Shioshishio kids didn't show up today.\I tried to contact them but couldn't reach them.\Have you heard anything?\Those adults are trying to stop the Ofunehiki again!\I'll go. response:	I'll go back to the village and settle this once and for all!
context: So at least you showed up, Hikari.\Huh?\Well, all of the Shioshishio kids didn't show up today.\I tried to contact them but couldn't reach them.\Have you heard anything?\Those adults are trying to stop the Ofunehiki again!\I'll go.\I'll go back to the village and settle this once and for all! response:	Hey, Hikari!
context: Huh?\Well, all of the Shioshishio kids didn't show up today.\I tried to contact them but couldn't reach them.\Have you heard anything?\Those adults are trying to stop the Ofunehiki again!\I'll go.\I'll go back to the village and settle this once and for all!\Hey, Hikari! response:	I'm gonna tell them!
context: Well, all of the Shioshishio kids didn't show up today.\I tried to contact them but couldn't reach them.\Have you heard anything?\Those adults are trying to stop the Ofunehiki again!\I'll go.\I'll go back to the village and settle this once and for all!\Hey, Hikari!\I'm gonna tell them! response:	I'm gonna tell all the old guys and Dad... All of them!
context: I tried to contact them but couldn't reach them.\Have you heard anything?\Those adults are trying to stop the Ofunehiki again!\I'll go.\I'll go back to the village and settle this once and for all!\Hey, Hikari!\I'm gonna tell them!\I'm gonna tell all the old guys and Dad... All of them! response:	What... is this?
context: Have you heard anything?\Those adults are trying to stop the Ofunehiki again!\I'll go.\I'll go back to the village and settle this once and for all!\Hey, Hikari!\I'm gonna tell them!\I'm gonna tell all the old guys and Dad... All of them!\What... is this? response:	Where'd everyone go?
context: Those adults are trying to stop the Ofunehiki again!\I'll go.\I'll go back to the village and settle this once and for all!\Hey, Hikari!\I'm gonna tell them!\I'm gonna tell all the old guys and Dad... All of them!\What... is this?\Where'd everyone go? response:	Hikari!
context: I'll go.\I'll go back to the village and settle this once and for all!\Hey, Hikari!\I'm gonna tell them!\I'm gonna tell all the old guys and Dad... All of them!\What... is this?\Where'd everyone go?\Hikari! response:	Hey! Did something happen to the village?
context: I'll go back to the village and settle this once and for all!\Hey, Hikari!\I'm gonna tell them!\I'm gonna tell all the old guys and Dad... All of them!\What... is this?\Where'd everyone go?\Hikari!\Hey! Did something happen to the village? response:	So you've come back.
context: Hey, Hikari!\I'm gonna tell them!\I'm gonna tell all the old guys and Dad... All of them!\What... is this?\Where'd everyone go?\Hikari!\Hey! Did something happen to the village?\So you've come back. response:	Thank goodness.
context: I'm gonna tell them!\I'm gonna tell all the old guys and Dad... All of them!\What... is this?\Where'd everyone go?\Hikari!\Hey! Did something happen to the village?\So you've come back.\Thank goodness. response:	Come on. Let's hurry and go see Uroko-sama.
context: I'm gonna tell all the old guys and Dad... All of them!\What... is this?\Where'd everyone go?\Hikari!\Hey! Did something happen to the village?\So you've come back.\Thank goodness.\Come on. Let's hurry and go see Uroko-sama. response:	Why do I have to go see Uroko-sama?
context: What... is this?\Where'd everyone go?\Hikari!\Hey! Did something happen to the village?\So you've come back.\Thank goodness.\Come on. Let's hurry and go see Uroko-sama.\Why do I have to go see Uroko-sama? response:	Just come on!
context: Where'd everyone go?\Hikari!\Hey! Did something happen to the village?\So you've come back.\Thank goodness.\Come on. Let's hurry and go see Uroko-sama.\Why do I have to go see Uroko-sama?\Just come on! response:	Let go!
context: Hikari!\Hey! Did something happen to the village?\So you've come back.\Thank goodness.\Come on. Let's hurry and go see Uroko-sama.\Why do I have to go see Uroko-sama?\Just come on!\Let go! response:	I said let go!
context: Hey! Did something happen to the village?\So you've come back.\Thank goodness.\Come on. Let's hurry and go see Uroko-sama.\Why do I have to go see Uroko-sama?\Just come on!\Let go!\I said let go! response:	Hii-kun!
context: So you've come back.\Thank goodness.\Come on. Let's hurry and go see Uroko-sama.\Why do I have to go see Uroko-sama?\Just come on!\Let go!\I said let go!\Hii-kun! response:	Manaka!
context: Thank goodness.\Come on. Let's hurry and go see Uroko-sama.\Why do I have to go see Uroko-sama?\Just come on!\Let go!\I said let go!\Hii-kun!\Manaka! response:	Hii-kun!
context: Come on. Let's hurry and go see Uroko-sama.\Why do I have to go see Uroko-sama?\Just come on!\Let go!\I said let go!\Hii-kun!\Manaka!\Hii-kun! response:	Manaka, you were told not to leave your house.
context: Why do I have to go see Uroko-sama?\Just come on!\Let go!\I said let go!\Hii-kun!\Manaka!\Hii-kun!\Manaka, you were told not to leave your house. response:	Hey, Hikari!
context: Just come on!\Let go!\I said let go!\Hii-kun!\Manaka!\Hii-kun!\Manaka, you were told not to leave your house.\Hey, Hikari! response:	Come on!
context: Let go!\I said let go!\Hii-kun!\Manaka!\Hii-kun!\Manaka, you were told not to leave your house.\Hey, Hikari!\Come on! response:	Wait! Hikari!
context: I said let go!\Hii-kun!\Manaka!\Hii-kun!\Manaka, you were told not to leave your house.\Hey, Hikari!\Come on!\Wait! Hikari! response:	What happened?
context: Hii-kun!\Manaka!\Hii-kun!\Manaka, you were told not to leave your house.\Hey, Hikari!\Come on!\Wait! Hikari!\What happened? response:	Since I was gone, the village totally seems...
context: Manaka!\Hii-kun!\Manaka, you were told not to leave your house.\Hey, Hikari!\Come on!\Wait! Hikari!\What happened?\Since I was gone, the village totally seems... response:	When I got home last night,
context: Hii-kun!\Manaka, you were told not to leave your house.\Hey, Hikari!\Come on!\Wait! Hikari!\What happened?\Since I was gone, the village totally seems...\When I got home last night, response:	there were a lot of adults waiting and they said not to go up to the surface again.
context: Manaka, you were told not to leave your house.\Hey, Hikari!\Come on!\Wait! Hikari!\What happened?\Since I was gone, the village totally seems...\When I got home last night,\there were a lot of adults waiting and they said not to go up to the surface again. response:	My dad wouldn't let me out of the house.
context: Hey, Hikari!\Come on!\Wait! Hikari!\What happened?\Since I was gone, the village totally seems...\When I got home last night,\there were a lot of adults waiting and they said not to go up to the surface again.\My dad wouldn't let me out of the house. response:	Don't go up to the surface?
context: Come on!\Wait! Hikari!\What happened?\Since I was gone, the village totally seems...\When I got home last night,\there were a lot of adults waiting and they said not to go up to the surface again.\My dad wouldn't let me out of the house.\Don't go up to the surface? response:	Why?
context: Wait! Hikari!\What happened?\Since I was gone, the village totally seems...\When I got home last night,\there were a lot of adults waiting and they said not to go up to the surface again.\My dad wouldn't let me out of the house.\Don't go up to the surface?\Why? response:	That's just what they said when I got back.
context: What happened?\Since I was gone, the village totally seems...\When I got home last night,\there were a lot of adults waiting and they said not to go up to the surface again.\My dad wouldn't let me out of the house.\Don't go up to the surface?\Why?\That's just what they said when I got back. response:	But why? Why'd they say that?!
context: Since I was gone, the village totally seems...\When I got home last night,\there were a lot of adults waiting and they said not to go up to the surface again.\My dad wouldn't let me out of the house.\Don't go up to the surface?\Why?\That's just what they said when I got back.\But why? Why'd they say that?! response:	I don't know!
context: When I got home last night,\there were a lot of adults waiting and they said not to go up to the surface again.\My dad wouldn't let me out of the house.\Don't go up to the surface?\Why?\That's just what they said when I got back.\But why? Why'd they say that?!\I don't know! response:	They said it was dangerous on the surface.
context: there were a lot of adults waiting and they said not to go up to the surface again.\My dad wouldn't let me out of the house.\Don't go up to the surface?\Why?\That's just what they said when I got back.\But why? Why'd they say that?!\I don't know!\They said it was dangerous on the surface. response:	So they said that Chii-chan and Kaname...
context: My dad wouldn't let me out of the house.\Don't go up to the surface?\Why?\That's just what they said when I got back.\But why? Why'd they say that?!\I don't know!\They said it was dangerous on the surface.\So they said that Chii-chan and Kaname... response:	that none of us could leave the village.
context: Don't go up to the surface?\Why?\That's just what they said when I got back.\But why? Why'd they say that?!\I don't know!\They said it was dangerous on the surface.\So they said that Chii-chan and Kaname...\that none of us could leave the village. response:	Then why'd you come outside by yourself?
context: Why?\That's just what they said when I got back.\But why? Why'd they say that?!\I don't know!\They said it was dangerous on the surface.\So they said that Chii-chan and Kaname...\that none of us could leave the village.\Then why'd you come outside by yourself? response:	Because...
context: That's just what they said when I got back.\But why? Why'd they say that?!\I don't know!\They said it was dangerous on the surface.\So they said that Chii-chan and Kaname...\that none of us could leave the village.\Then why'd you come outside by yourself?\Because... response:	Because I had to tell you, Hii-kun!
context: But why? Why'd they say that?!\I don't know!\They said it was dangerous on the surface.\So they said that Chii-chan and Kaname...\that none of us could leave the village.\Then why'd you come outside by yourself?\Because...\Because I had to tell you, Hii-kun! response:	Even if we care about each other...
context: I don't know!\They said it was dangerous on the surface.\So they said that Chii-chan and Kaname...\that none of us could leave the village.\Then why'd you come outside by yourself?\Because...\Because I had to tell you, Hii-kun!\Even if we care about each other... response:	Manaka's feelings and my feelings are different.
context: They said it was dangerous on the surface.\So they said that Chii-chan and Kaname...\that none of us could leave the village.\Then why'd you come outside by yourself?\Because...\Because I had to tell you, Hii-kun!\Even if we care about each other...\Manaka's feelings and my feelings are different. response:	But I...
context: So they said that Chii-chan and Kaname...\that none of us could leave the village.\Then why'd you come outside by yourself?\Because...\Because I had to tell you, Hii-kun!\Even if we care about each other...\Manaka's feelings and my feelings are different.\But I... response:	I had to tell you...
context: that none of us could leave the village.\Then why'd you come outside by yourself?\Because...\Because I had to tell you, Hii-kun!\Even if we care about each other...\Manaka's feelings and my feelings are different.\But I...\I had to tell you... response:	The way I feel about Manaka...
context: Then why'd you come outside by yourself?\Because...\Because I had to tell you, Hii-kun!\Even if we care about each other...\Manaka's feelings and my feelings are different.\But I...\I had to tell you...\The way I feel about Manaka... response:	Because I had to tell you.
context: Because...\Because I had to tell you, Hii-kun!\Even if we care about each other...\Manaka's feelings and my feelings are different.\But I...\I had to tell you...\The way I feel about Manaka...\Because I had to tell you. response:	No!
context: Because I had to tell you, Hii-kun!\Even if we care about each other...\Manaka's feelings and my feelings are different.\But I...\I had to tell you...\The way I feel about Manaka...\Because I had to tell you.\No! response:	I-I'm sorry...
context: Even if we care about each other...\Manaka's feelings and my feelings are different.\But I...\I had to tell you...\The way I feel about Manaka...\Because I had to tell you.\No!\I-I'm sorry... response:	Dad.
context: Manaka's feelings and my feelings are different.\But I...\I had to tell you...\The way I feel about Manaka...\Because I had to tell you.\No!\I-I'm sorry...\Dad. response:	That's enough, Hikari.
context: But I...\I had to tell you...\The way I feel about Manaka...\Because I had to tell you.\No!\I-I'm sorry...\Dad.\That's enough, Hikari. response:	Come home.
context: I had to tell you...\The way I feel about Manaka...\Because I had to tell you.\No!\I-I'm sorry...\Dad.\That's enough, Hikari.\Come home. response:	What's going to happen on the surface?
context: The way I feel about Manaka...\Because I had to tell you.\No!\I-I'm sorry...\Dad.\That's enough, Hikari.\Come home.\What's going to happen on the surface? response:	The world becomes more and more gray...
context: Because I had to tell you.\No!\I-I'm sorry...\Dad.\That's enough, Hikari.\Come home.\What's going to happen on the surface?\The world becomes more and more gray... response:	The humans will forget the Sea God...
context: No!\I-I'm sorry...\Dad.\That's enough, Hikari.\Come home.\What's going to happen on the surface?\The world becomes more and more gray...\The humans will forget the Sea God... response:	This is the story of humans themselves...
context: I-I'm sorry...\Dad.\That's enough, Hikari.\Come home.\What's going to happen on the surface?\The world becomes more and more gray...\The humans will forget the Sea God...\This is the story of humans themselves... response:	The humans will not be able to bear the cold that is about to come.
context: Dad.\That's enough, Hikari.\Come home.\What's going to happen on the surface?\The world becomes more and more gray...\The humans will forget the Sea God...\This is the story of humans themselves...\The humans will not be able to bear the cold that is about to come. response:	Episode Ten: The Saltflake Snow Falls and Falls
context: That's enough, Hikari.\Come home.\What's going to happen on the surface?\The world becomes more and more gray...\The humans will forget the Sea God...\This is the story of humans themselves...\The humans will not be able to bear the cold that is about to come.\Episode Ten: The Saltflake Snow Falls and Falls response:	You need to make your choice.
