context: What's happened so far! response:	I've been thinking, and well, I thought maybe I could do the play after all...
context: But a two-hour slot is hard to get.\So I was thinking we could break it into two parts.\I wouldn't know without asking you,\so what do you think?\Hmm... that's a tough choice...\I'd like to do it all at once,\but it'll be tough physically too...\The problem is whether the audience would come. response:	What kind of timeslots would it be?
context: So I was thinking we could break it into two parts.\I wouldn't know without asking you,\so what do you think?\Hmm... that's a tough choice...\I'd like to do it all at once,\but it'll be tough physically too...\The problem is whether the audience would come.\What kind of timeslots would it be? response:	We're a last-minute entry so all the good times are out.
context: I wouldn't know without asking you,\so what do you think?\Hmm... that's a tough choice...\I'd like to do it all at once,\but it'll be tough physically too...\The problem is whether the audience would come.\What kind of timeslots would it be?\We're a last-minute entry so all the good times are out. response:	Nobody would come at like 9:30 A.M or 4 P.M.
context: so what do you think?\Hmm... that's a tough choice...\I'd like to do it all at once,\but it'll be tough physically too...\The problem is whether the audience would come.\What kind of timeslots would it be?\We're a last-minute entry so all the good times are out.\Nobody would come at like 9:30 A.M or 4 P.M. response:	So I thought we could use the lunch hour.
context: Hmm... that's a tough choice...\I'd like to do it all at once,\but it'll be tough physically too...\The problem is whether the audience would come.\What kind of timeslots would it be?\We're a last-minute entry so all the good times are out.\Nobody would come at like 9:30 A.M or 4 P.M.\So I thought we could use the lunch hour. response:	Right?
context: I'd like to do it all at once,\but it'll be tough physically too...\The problem is whether the audience would come.\What kind of timeslots would it be?\We're a last-minute entry so all the good times are out.\Nobody would come at like 9:30 A.M or 4 P.M.\So I thought we could use the lunch hour.\Right? response:	And here's the latest!
context: but it'll be tough physically too...\The problem is whether the audience would come.\What kind of timeslots would it be?\We're a last-minute entry so all the good times are out.\Nobody would come at like 9:30 A.M or 4 P.M.\So I thought we could use the lunch hour.\Right?\And here's the latest! response:	The wind ensemble won't be using the gym this year.
context: The problem is whether the audience would come.\What kind of timeslots would it be?\We're a last-minute entry so all the good times are out.\Nobody would come at like 9:30 A.M or 4 P.M.\So I thought we could use the lunch hour.\Right?\And here's the latest!\The wind ensemble won't be using the gym this year. response:	Its president is in my section on the Student Council,
context: What kind of timeslots would it be?\We're a last-minute entry so all the good times are out.\Nobody would come at like 9:30 A.M or 4 P.M.\So I thought we could use the lunch hour.\Right?\And here's the latest!\The wind ensemble won't be using the gym this year.\Its president is in my section on the Student Council, response:	I often help him out with work, or trade assignments.
context: We're a last-minute entry so all the good times are out.\Nobody would come at like 9:30 A.M or 4 P.M.\So I thought we could use the lunch hour.\Right?\And here's the latest!\The wind ensemble won't be using the gym this year.\Its president is in my section on the Student Council,\I often help him out with work, or trade assignments. response:	So when I asked him, he was really eager to give us their slot.
context: Nobody would come at like 9:30 A.M or 4 P.M.\So I thought we could use the lunch hour.\Right?\And here's the latest!\The wind ensemble won't be using the gym this year.\Its president is in my section on the Student Council,\I often help him out with work, or trade assignments.\So when I asked him, he was really eager to give us their slot. response:	You're just like a politician!
context: So I thought we could use the lunch hour.\Right?\And here's the latest!\The wind ensemble won't be using the gym this year.\Its president is in my section on the Student Council,\I often help him out with work, or trade assignments.\So when I asked him, he was really eager to give us their slot.\You're just like a politician! response:	The world works through connections!
context: Right?\And here's the latest!\The wind ensemble won't be using the gym this year.\Its president is in my section on the Student Council,\I often help him out with work, or trade assignments.\So when I asked him, he was really eager to give us their slot.\You're just like a politician!\The world works through connections! response:	Where's the wind ensemble going to play?
context: And here's the latest!\The wind ensemble won't be using the gym this year.\Its president is in my section on the Student Council,\I often help him out with work, or trade assignments.\So when I asked him, he was really eager to give us their slot.\You're just like a politician!\The world works through connections!\Where's the wind ensemble going to play? response:	The roof.
context: The wind ensemble won't be using the gym this year.\Its president is in my section on the Student Council,\I often help him out with work, or trade assignments.\So when I asked him, he was really eager to give us their slot.\You're just like a politician!\The world works through connections!\Where's the wind ensemble going to play?\The roof. response:	They're going to play the Titanic theme at sunset.
context: Its president is in my section on the Student Council,\I often help him out with work, or trade assignments.\So when I asked him, he was really eager to give us their slot.\You're just like a politician!\The world works through connections!\Where's the wind ensemble going to play?\The roof.\They're going to play the Titanic theme at sunset. response:	Sweet! Let's go!
context: I often help him out with work, or trade assignments.\So when I asked him, he was really eager to give us their slot.\You're just like a politician!\The world works through connections!\Where's the wind ensemble going to play?\The roof.\They're going to play the Titanic theme at sunset.\Sweet! Let's go! response:	My Heart Will Go On, huh?
context: So when I asked him, he was really eager to give us their slot.\You're just like a politician!\The world works through connections!\Where's the wind ensemble going to play?\The roof.\They're going to play the Titanic theme at sunset.\Sweet! Let's go!\My Heart Will Go On, huh? response:	What a great song.
context: You're just like a politician!\The world works through connections!\Where's the wind ensemble going to play?\The roof.\They're going to play the Titanic theme at sunset.\Sweet! Let's go!\My Heart Will Go On, huh?\What a great song. response:	Celine Dion is the modern songstress.
context: The world works through connections!\Where's the wind ensemble going to play?\The roof.\They're going to play the Titanic theme at sunset.\Sweet! Let's go!\My Heart Will Go On, huh?\What a great song.\Celine Dion is the modern songstress. response:	I can sing that.
context: Where's the wind ensemble going to play?\The roof.\They're going to play the Titanic theme at sunset.\Sweet! Let's go!\My Heart Will Go On, huh?\What a great song.\Celine Dion is the modern songstress.\I can sing that. response:	I learned it with Kazuma.
context: The roof.\They're going to play the Titanic theme at sunset.\Sweet! Let's go!\My Heart Will Go On, huh?\What a great song.\Celine Dion is the modern songstress.\I can sing that.\I learned it with Kazuma. response:	Oh my gosh! I want to hear it! I want to hear it!
context: They're going to play the Titanic theme at sunset.\Sweet! Let's go!\My Heart Will Go On, huh?\What a great song.\Celine Dion is the modern songstress.\I can sing that.\I learned it with Kazuma.\Oh my gosh! I want to hear it! I want to hear it! response:	Ooh, then shall we treat ourselves to karaoke after this?
context: Sweet! Let's go!\My Heart Will Go On, huh?\What a great song.\Celine Dion is the modern songstress.\I can sing that.\I learned it with Kazuma.\Oh my gosh! I want to hear it! I want to hear it!\Ooh, then shall we treat ourselves to karaoke after this? response:	Great idea!
context: My Heart Will Go On, huh?\What a great song.\Celine Dion is the modern songstress.\I can sing that.\I learned it with Kazuma.\Oh my gosh! I want to hear it! I want to hear it!\Ooh, then shall we treat ourselves to karaoke after this?\Great idea! response:	I'll sing Romance by Penicillin!
context: What a great song.\Celine Dion is the modern songstress.\I can sing that.\I learned it with Kazuma.\Oh my gosh! I want to hear it! I want to hear it!\Ooh, then shall we treat ourselves to karaoke after this?\Great idea!\I'll sing Romance by Penicillin! response:	That's too you!
context: Celine Dion is the modern songstress.\I can sing that.\I learned it with Kazuma.\Oh my gosh! I want to hear it! I want to hear it!\Ooh, then shall we treat ourselves to karaoke after this?\Great idea!\I'll sing Romance by Penicillin!\That's too you! response:	I'll do Shiina Ringo-san's Queen of Entertainment!
context: I can sing that.\I learned it with Kazuma.\Oh my gosh! I want to hear it! I want to hear it!\Ooh, then shall we treat ourselves to karaoke after this?\Great idea!\I'll sing Romance by Penicillin!\That's too you!\I'll do Shiina Ringo-san's Queen of Entertainment! response:	Good choice!
context: I learned it with Kazuma.\Oh my gosh! I want to hear it! I want to hear it!\Ooh, then shall we treat ourselves to karaoke after this?\Great idea!\I'll sing Romance by Penicillin!\That's too you!\I'll do Shiina Ringo-san's Queen of Entertainment!\Good choice! response:	We'll do Citron.
context: Oh my gosh! I want to hear it! I want to hear it!\Ooh, then shall we treat ourselves to karaoke after this?\Great idea!\I'll sing Romance by Penicillin!\That's too you!\I'll do Shiina Ringo-san's Queen of Entertainment!\Good choice!\We'll do Citron. response:	Not Kiroro?
context: Ooh, then shall we treat ourselves to karaoke after this?\Great idea!\I'll sing Romance by Penicillin!\That's too you!\I'll do Shiina Ringo-san's Queen of Entertainment!\Good choice!\We'll do Citron.\Not Kiroro? response:	Hey!
context: Great idea!\I'll sing Romance by Penicillin!\That's too you!\I'll do Shiina Ringo-san's Queen of Entertainment!\Good choice!\We'll do Citron.\Not Kiroro?\Hey! response:	We're short on time, aren't we? Are you sure you can be playing around?!
context: I'll sing Romance by Penicillin!\That's too you!\I'll do Shiina Ringo-san's Queen of Entertainment!\Good choice!\We'll do Citron.\Not Kiroro?\Hey!\We're short on time, aren't we? Are you sure you can be playing around?! response:	It's no big deal.
context: That's too you!\I'll do Shiina Ringo-san's Queen of Entertainment!\Good choice!\We'll do Citron.\Not Kiroro?\Hey!\We're short on time, aren't we? Are you sure you can be playing around?!\It's no big deal. response:	I'm glad you're finally into it.
context: I'll do Shiina Ringo-san's Queen of Entertainment!\Good choice!\We'll do Citron.\Not Kiroro?\Hey!\We're short on time, aren't we? Are you sure you can be playing around?!\It's no big deal.\I'm glad you're finally into it. response:	As it turned out, Maho-san was? forced to sing Nakayama Miho's song!
context: Good choice!\We'll do Citron.\Not Kiroro?\Hey!\We're short on time, aren't we? Are you sure you can be playing around?!\It's no big deal.\I'm glad you're finally into it.\As it turned out, Maho-san was? forced to sing Nakayama Miho's song! response:	I want to go home...
context: We'll do Citron.\Not Kiroro?\Hey!\We're short on time, aren't we? Are you sure you can be playing around?!\It's no big deal.\I'm glad you're finally into it.\As it turned out, Maho-san was? forced to sing Nakayama Miho's song!\I want to go home... response:	I'm home!
context: Not Kiroro?\Hey!\We're short on time, aren't we? Are you sure you can be playing around?!\It's no big deal.\I'm glad you're finally into it.\As it turned out, Maho-san was? forced to sing Nakayama Miho's song!\I want to go home...\I'm home! response:	I'm exhausted.
context: Hey!\We're short on time, aren't we? Are you sure you can be playing around?!\It's no big deal.\I'm glad you're finally into it.\As it turned out, Maho-san was? forced to sing Nakayama Miho's song!\I want to go home...\I'm home!\I'm exhausted. response:	Sis...
context: We're short on time, aren't we? Are you sure you can be playing around?!\It's no big deal.\I'm glad you're finally into it.\As it turned out, Maho-san was? forced to sing Nakayama Miho's song!\I want to go home...\I'm home!\I'm exhausted.\Sis... response:	You have to memorize your lines by tomorrow, right
context: It's no big deal.\I'm glad you're finally into it.\As it turned out, Maho-san was? forced to sing Nakayama Miho's song!\I want to go home...\I'm home!\I'm exhausted.\Sis...\You have to memorize your lines by tomorrow, right response:	We're going to do a script reading.
context: I'm glad you're finally into it.\As it turned out, Maho-san was? forced to sing Nakayama Miho's song!\I want to go home...\I'm home!\I'm exhausted.\Sis...\You have to memorize your lines by tomorrow, right\We're going to do a script reading. response:	Come on...
context: As it turned out, Maho-san was? forced to sing Nakayama Miho's song!\I want to go home...\I'm home!\I'm exhausted.\Sis...\You have to memorize your lines by tomorrow, right\We're going to do a script reading.\Come on... response:	I'm pooped, but it feels good.
context: I want to go home...\I'm home!\I'm exhausted.\Sis...\You have to memorize your lines by tomorrow, right\We're going to do a script reading.\Come on...\I'm pooped, but it feels good. response:	This is totally different from being worn out from studying.
context: I'm home!\I'm exhausted.\Sis...\You have to memorize your lines by tomorrow, right\We're going to do a script reading.\Come on...\I'm pooped, but it feels good.\This is totally different from being worn out from studying. response:	I wonder if this is how Arima feels after practice?
context: I'm exhausted.\Sis...\You have to memorize your lines by tomorrow, right\We're going to do a script reading.\Come on...\I'm pooped, but it feels good.\This is totally different from being worn out from studying.\I wonder if this is how Arima feels after practice? response:	The characters are swamped by the steadily
context: Sis...\You have to memorize your lines by tomorrow, right\We're going to do a script reading.\Come on...\I'm pooped, but it feels good.\This is totally different from being worn out from studying.\I wonder if this is how Arima feels after practice?\The characters are swamped by the steadily response:	advancing preparations for the Culture Fair.
context: You have to memorize your lines by tomorrow, right\We're going to do a script reading.\Come on...\I'm pooped, but it feels good.\This is totally different from being worn out from studying.\I wonder if this is how Arima feels after practice?\The characters are swamped by the steadily\advancing preparations for the Culture Fair. response:	But unrelated to that,
context: We're going to do a script reading.\Come on...\I'm pooped, but it feels good.\This is totally different from being worn out from studying.\I wonder if this is how Arima feels after practice?\The characters are swamped by the steadily\advancing preparations for the Culture Fair.\But unrelated to that, response:	Miyazawa Yukino and Arima Souichirou,
context: Come on...\I'm pooped, but it feels good.\This is totally different from being worn out from studying.\I wonder if this is how Arima feels after practice?\The characters are swamped by the steadily\advancing preparations for the Culture Fair.\But unrelated to that,\Miyazawa Yukino and Arima Souichirou, response:	who worry about what others think,
context: I'm pooped, but it feels good.\This is totally different from being worn out from studying.\I wonder if this is how Arima feels after practice?\The characters are swamped by the steadily\advancing preparations for the Culture Fair.\But unrelated to that,\Miyazawa Yukino and Arima Souichirou,\who worry about what others think, response:	were reflecting about themselves.
context: This is totally different from being worn out from studying.\I wonder if this is how Arima feels after practice?\The characters are swamped by the steadily\advancing preparations for the Culture Fair.\But unrelated to that,\Miyazawa Yukino and Arima Souichirou,\who worry about what others think,\were reflecting about themselves. response:	The two of them then?!
context: I wonder if this is how Arima feels after practice?\The characters are swamped by the steadily\advancing preparations for the Culture Fair.\But unrelated to that,\Miyazawa Yukino and Arima Souichirou,\who worry about what others think,\were reflecting about themselves.\The two of them then?! response:	A Different Story from Before
