context: You can't blame them. response:	Working at an inn is hard.
context: Why do you insist on doing such hard work?\Don't you think there might be something else that would suit you better?\Such as being a designer, a creator, or even an artist?\I think it's better to do something you like as your career!\I've got to get up early in the mornings,\and I don't get any breaks.\I can't go out and have fun either.\But even then, there are things I like about this job. response:	You've never worked, so I doubt you would understand.
context: Don't you think there might be something else that would suit you better?\Such as being a designer, a creator, or even an artist?\I think it's better to do something you like as your career!\I've got to get up early in the mornings,\and I don't get any breaks.\I can't go out and have fun either.\But even then, there are things I like about this job.\You've never worked, so I doubt you would understand. response:	You're right. I've never worked.
context: Such as being a designer, a creator, or even an artist?\I think it's better to do something you like as your career!\I've got to get up early in the mornings,\and I don't get any breaks.\I can't go out and have fun either.\But even then, there are things I like about this job.\You've never worked, so I doubt you would understand.\You're right. I've never worked. response:	Sorry about last night.
context: I think it's better to do something you like as your career!\I've got to get up early in the mornings,\and I don't get any breaks.\I can't go out and have fun either.\But even then, there are things I like about this job.\You've never worked, so I doubt you would understand.\You're right. I've never worked.\Sorry about last night. response:	Just forget about our past promises.
context: I've got to get up early in the mornings,\and I don't get any breaks.\I can't go out and have fun either.\But even then, there are things I like about this job.\You've never worked, so I doubt you would understand.\You're right. I've never worked.\Sorry about last night.\Just forget about our past promises. response:	Why?
context: and I don't get any breaks.\I can't go out and have fun either.\But even then, there are things I like about this job.\You've never worked, so I doubt you would understand.\You're right. I've never worked.\Sorry about last night.\Just forget about our past promises.\Why? response:	You don't like working at an inn, right?
context: I can't go out and have fun either.\But even then, there are things I like about this job.\You've never worked, so I doubt you would understand.\You're right. I've never worked.\Sorry about last night.\Just forget about our past promises.\Why?\You don't like working at an inn, right? response:	Then there's no way we can get married.
context: But even then, there are things I like about this job.\You've never worked, so I doubt you would understand.\You're right. I've never worked.\Sorry about last night.\Just forget about our past promises.\Why?\You don't like working at an inn, right?\Then there's no way we can get married. response:	You're the one who proposed to me,
context: You've never worked, so I doubt you would understand.\You're right. I've never worked.\Sorry about last night.\Just forget about our past promises.\Why?\You don't like working at an inn, right?\Then there's no way we can get married.\You're the one who proposed to me, response:	and now you're calling it off?
context: You're right. I've never worked.\Sorry about last night.\Just forget about our past promises.\Why?\You don't like working at an inn, right?\Then there's no way we can get married.\You're the one who proposed to me,\and now you're calling it off? response:	That hurts my pride.
context: Sorry about last night.\Just forget about our past promises.\Why?\You don't like working at an inn, right?\Then there's no way we can get married.\You're the one who proposed to me,\and now you're calling it off?\That hurts my pride. response:	I only want to marry someone
context: Just forget about our past promises.\Why?\You don't like working at an inn, right?\Then there's no way we can get married.\You're the one who proposed to me,\and now you're calling it off?\That hurts my pride.\I only want to marry someone response:	who will work here with me.
context: Why?\You don't like working at an inn, right?\Then there's no way we can get married.\You're the one who proposed to me,\and now you're calling it off?\That hurts my pride.\I only want to marry someone\who will work here with me. response:	Someone like that curly-haired girl.
context: You don't like working at an inn, right?\Then there's no way we can get married.\You're the one who proposed to me,\and now you're calling it off?\That hurts my pride.\I only want to marry someone\who will work here with me.\Someone like that curly-haired girl. response:	You don't get it, do you, Yosuke?
context: Then there's no way we can get married.\You're the one who proposed to me,\and now you're calling it off?\That hurts my pride.\I only want to marry someone\who will work here with me.\Someone like that curly-haired girl.\You don't get it, do you, Yosuke? response:	I know how to work too.
context: You're the one who proposed to me,\and now you're calling it off?\That hurts my pride.\I only want to marry someone\who will work here with me.\Someone like that curly-haired girl.\You don't get it, do you, Yosuke?\I know how to work too. response:	I just choose not to.
context: and now you're calling it off?\That hurts my pride.\I only want to marry someone\who will work here with me.\Someone like that curly-haired girl.\You don't get it, do you, Yosuke?\I know how to work too.\I just choose not to. response:	It's not like I can't work!
context: That hurts my pride.\I only want to marry someone\who will work here with me.\Someone like that curly-haired girl.\You don't get it, do you, Yosuke?\I know how to work too.\I just choose not to.\It's not like I can't work! response:	It's not like Ohana's anything special!
context: I only want to marry someone\who will work here with me.\Someone like that curly-haired girl.\You don't get it, do you, Yosuke?\I know how to work too.\I just choose not to.\It's not like I can't work!\It's not like Ohana's anything special! response:	Why isn't this slimy stuff coming off?!
context: who will work here with me.\Someone like that curly-haired girl.\You don't get it, do you, Yosuke?\I know how to work too.\I just choose not to.\It's not like I can't work!\It's not like Ohana's anything special!\Why isn't this slimy stuff coming off?! response:	It just won't come off!
context: Someone like that curly-haired girl.\You don't get it, do you, Yosuke?\I know how to work too.\I just choose not to.\It's not like I can't work!\It's not like Ohana's anything special!\Why isn't this slimy stuff coming off?!\It just won't come off! response:	Jeez...
context: You don't get it, do you, Yosuke?\I know how to work too.\I just choose not to.\It's not like I can't work!\It's not like Ohana's anything special!\Why isn't this slimy stuff coming off?!\It just won't come off!\Jeez... response:	What? What?!
context: I know how to work too.\I just choose not to.\It's not like I can't work!\It's not like Ohana's anything special!\Why isn't this slimy stuff coming off?!\It just won't come off!\Jeez...\What? What?! response:	You have to rinse away the cleanser when you're done.
context: I just choose not to.\It's not like I can't work!\It's not like Ohana's anything special!\Why isn't this slimy stuff coming off?!\It just won't come off!\Jeez...\What? What?!\You have to rinse away the cleanser when you're done. response:	See, it's all clean now.
context: It's not like I can't work!\It's not like Ohana's anything special!\Why isn't this slimy stuff coming off?!\It just won't come off!\Jeez...\What? What?!\You have to rinse away the cleanser when you're done.\See, it's all clean now. response:	How are the preparations coming?!
context: It's not like Ohana's anything special!\Why isn't this slimy stuff coming off?!\It just won't come off!\Jeez...\What? What?!\You have to rinse away the cleanser when you're done.\See, it's all clean now.\How are the preparations coming?! response:	We're finished...
context: Why isn't this slimy stuff coming off?!\It just won't come off!\Jeez...\What? What?!\You have to rinse away the cleanser when you're done.\See, it's all clean now.\How are the preparations coming?!\We're finished... response:	W-What? Yuina?
context: It just won't come off!\Jeez...\What? What?!\You have to rinse away the cleanser when you're done.\See, it's all clean now.\How are the preparations coming?!\We're finished...\W-What? Yuina? response:	5:55 p.m...
context: Jeez...\What? What?!\You have to rinse away the cleanser when you're done.\See, it's all clean now.\How are the preparations coming?!\We're finished...\W-What? Yuina?\5:55 p.m... response:	I wouldn't have been able to finish this without Yuina's help.
context: What? What?!\You have to rinse away the cleanser when you're done.\See, it's all clean now.\How are the preparations coming?!\We're finished...\W-What? Yuina?\5:55 p.m...\I wouldn't have been able to finish this without Yuina's help. response:	Really?!
context: You have to rinse away the cleanser when you're done.\See, it's all clean now.\How are the preparations coming?!\We're finished...\W-What? Yuina?\5:55 p.m...\I wouldn't have been able to finish this without Yuina's help.\Really?! response:	I've got a blister thanks to you.
context: See, it's all clean now.\How are the preparations coming?!\We're finished...\W-What? Yuina?\5:55 p.m...\I wouldn't have been able to finish this without Yuina's help.\Really?!\I've got a blister thanks to you. response:	Have you finished setting the tables?
context: How are the preparations coming?!\We're finished...\W-What? Yuina?\5:55 p.m...\I wouldn't have been able to finish this without Yuina's help.\Really?!\I've got a blister thanks to you.\Have you finished setting the tables? response:	Just about!
context: We're finished...\W-What? Yuina?\5:55 p.m...\I wouldn't have been able to finish this without Yuina's help.\Really?!\I've got a blister thanks to you.\Have you finished setting the tables?\Just about! response:	Everyone came and helped us!
context: W-What? Yuina?\5:55 p.m...\I wouldn't have been able to finish this without Yuina's help.\Really?!\I've got a blister thanks to you.\Have you finished setting the tables?\Just about!\Everyone came and helped us! response:	Ohana, we're finished over here!
context: 5:55 p.m...\I wouldn't have been able to finish this without Yuina's help.\Really?!\I've got a blister thanks to you.\Have you finished setting the tables?\Just about!\Everyone came and helped us!\Ohana, we're finished over here! response:	Are you sure you don't need us to help with anything else?
context: I wouldn't have been able to finish this without Yuina's help.\Really?!\I've got a blister thanks to you.\Have you finished setting the tables?\Just about!\Everyone came and helped us!\Ohana, we're finished over here!\Are you sure you don't need us to help with anything else? response:	Yup!
context: Really?!\I've got a blister thanks to you.\Have you finished setting the tables?\Just about!\Everyone came and helped us!\Ohana, we're finished over here!\Are you sure you don't need us to help with anything else?\Yup! response:	Us waitresses will handle the rest!
context: I've got a blister thanks to you.\Have you finished setting the tables?\Just about!\Everyone came and helped us!\Ohana, we're finished over here!\Are you sure you don't need us to help with anything else?\Yup!\Us waitresses will handle the rest! response:	Looks like the bath's been cleaned, too.
context: Have you finished setting the tables?\Just about!\Everyone came and helped us!\Ohana, we're finished over here!\Are you sure you don't need us to help with anything else?\Yup!\Us waitresses will handle the rest!\Looks like the bath's been cleaned, too. response:	It's time for you customers to enjoy your baths!
context: Just about!\Everyone came and helped us!\Ohana, we're finished over here!\Are you sure you don't need us to help with anything else?\Yup!\Us waitresses will handle the rest!\Looks like the bath's been cleaned, too.\It's time for you customers to enjoy your baths! response:	Huh? Is that Yuina?
context: Everyone came and helped us!\Ohana, we're finished over here!\Are you sure you don't need us to help with anything else?\Yup!\Us waitresses will handle the rest!\Looks like the bath's been cleaned, too.\It's time for you customers to enjoy your baths!\Huh? Is that Yuina? response:	Yeah!
context: Ohana, we're finished over here!\Are you sure you don't need us to help with anything else?\Yup!\Us waitresses will handle the rest!\Looks like the bath's been cleaned, too.\It's time for you customers to enjoy your baths!\Huh? Is that Yuina?\Yeah! response:	Wow, were you cleaning the bath for us?
context: Are you sure you don't need us to help with anything else?\Yup!\Us waitresses will handle the rest!\Looks like the bath's been cleaned, too.\It's time for you customers to enjoy your baths!\Huh? Is that Yuina?\Yeah!\Wow, were you cleaning the bath for us? response:	Wow!
context: Yup!\Us waitresses will handle the rest!\Looks like the bath's been cleaned, too.\It's time for you customers to enjoy your baths!\Huh? Is that Yuina?\Yeah!\Wow, were you cleaning the bath for us?\Wow! response:	It's so clean!
context: Us waitresses will handle the rest!\Looks like the bath's been cleaned, too.\It's time for you customers to enjoy your baths!\Huh? Is that Yuina?\Yeah!\Wow, were you cleaning the bath for us?\Wow!\It's so clean! response:	Man, I want to go in!
context: Looks like the bath's been cleaned, too.\It's time for you customers to enjoy your baths!\Huh? Is that Yuina?\Yeah!\Wow, were you cleaning the bath for us?\Wow!\It's so clean!\Man, I want to go in! response:	Hello, I'm Yosuke Hiwatari, the head clerk here.
context: It's time for you customers to enjoy your baths!\Huh? Is that Yuina?\Yeah!\Wow, were you cleaning the bath for us?\Wow!\It's so clean!\Man, I want to go in!\Hello, I'm Yosuke Hiwatari, the head clerk here. response:	I'd like to say a few words before you enjoy your meal.
context: Huh? Is that Yuina?\Yeah!\Wow, were you cleaning the bath for us?\Wow!\It's so clean!\Man, I want to go in!\Hello, I'm Yosuke Hiwatari, the head clerk here.\I'd like to say a few words before you enjoy your meal. response:	You've all gone through a lot of trouble because of me.
context: Yeah!\Wow, were you cleaning the bath for us?\Wow!\It's so clean!\Man, I want to go in!\Hello, I'm Yosuke Hiwatari, the head clerk here.\I'd like to say a few words before you enjoy your meal.\You've all gone through a lot of trouble because of me. response:	It's thanks to you that we were able to deliver this dinner at all.
context: Wow, were you cleaning the bath for us?\Wow!\It's so clean!\Man, I want to go in!\Hello, I'm Yosuke Hiwatari, the head clerk here.\I'd like to say a few words before you enjoy your meal.\You've all gone through a lot of trouble because of me.\It's thanks to you that we were able to deliver this dinner at all. response:	I'd like to represent this inn and thank you all.
context: Wow!\It's so clean!\Man, I want to go in!\Hello, I'm Yosuke Hiwatari, the head clerk here.\I'd like to say a few words before you enjoy your meal.\You've all gone through a lot of trouble because of me.\It's thanks to you that we were able to deliver this dinner at all.\I'd like to represent this inn and thank you all. response:	Thank you all so much!
context: It's so clean!\Man, I want to go in!\Hello, I'm Yosuke Hiwatari, the head clerk here.\I'd like to say a few words before you enjoy your meal.\You've all gone through a lot of trouble because of me.\It's thanks to you that we were able to deliver this dinner at all.\I'd like to represent this inn and thank you all.\Thank you all so much! response:	You cleaned the bath, Princess Yuina?!
context: Man, I want to go in!\Hello, I'm Yosuke Hiwatari, the head clerk here.\I'd like to say a few words before you enjoy your meal.\You've all gone through a lot of trouble because of me.\It's thanks to you that we were able to deliver this dinner at all.\I'd like to represent this inn and thank you all.\Thank you all so much!\You cleaned the bath, Princess Yuina?! response:	What?
context: Hello, I'm Yosuke Hiwatari, the head clerk here.\I'd like to say a few words before you enjoy your meal.\You've all gone through a lot of trouble because of me.\It's thanks to you that we were able to deliver this dinner at all.\I'd like to represent this inn and thank you all.\Thank you all so much!\You cleaned the bath, Princess Yuina?!\What? response:	Y-Yeah.
context: I'd like to say a few words before you enjoy your meal.\You've all gone through a lot of trouble because of me.\It's thanks to you that we were able to deliver this dinner at all.\I'd like to represent this inn and thank you all.\Thank you all so much!\You cleaned the bath, Princess Yuina?!\What?\Y-Yeah. response:	The princess cleaned the bath for us peasants...
context: You've all gone through a lot of trouble because of me.\It's thanks to you that we were able to deliver this dinner at all.\I'd like to represent this inn and thank you all.\Thank you all so much!\You cleaned the bath, Princess Yuina?!\What?\Y-Yeah.\The princess cleaned the bath for us peasants... response:	Thank you, God...
context: It's thanks to you that we were able to deliver this dinner at all.\I'd like to represent this inn and thank you all.\Thank you all so much!\You cleaned the bath, Princess Yuina?!\What?\Y-Yeah.\The princess cleaned the bath for us peasants...\Thank you, God... response:	I swear never to take a bath in my own home again!
context: I'd like to represent this inn and thank you all.\Thank you all so much!\You cleaned the bath, Princess Yuina?!\What?\Y-Yeah.\The princess cleaned the bath for us peasants...\Thank you, God...\I swear never to take a bath in my own home again! response:	O-Okay...
context: Thank you all so much!\You cleaned the bath, Princess Yuina?!\What?\Y-Yeah.\The princess cleaned the bath for us peasants...\Thank you, God...\I swear never to take a bath in my own home again!\O-Okay... response:	Hey, do you have some free time later?
context: You cleaned the bath, Princess Yuina?!\What?\Y-Yeah.\The princess cleaned the bath for us peasants...\Thank you, God...\I swear never to take a bath in my own home again!\O-Okay...\Hey, do you have some free time later? response:	This feels great...
context: What?\Y-Yeah.\The princess cleaned the bath for us peasants...\Thank you, God...\I swear never to take a bath in my own home again!\O-Okay...\Hey, do you have some free time later?\This feels great... response:	It was nice of him
context: Y-Yeah.\The princess cleaned the bath for us peasants...\Thank you, God...\I swear never to take a bath in my own home again!\O-Okay...\Hey, do you have some free time later?\This feels great...\It was nice of him response:	to let us have the outdoor bath to ourselves
context: The princess cleaned the bath for us peasants...\Thank you, God...\I swear never to take a bath in my own home again!\O-Okay...\Hey, do you have some free time later?\This feels great...\It was nice of him\to let us have the outdoor bath to ourselves response:	as a thanks.
context: Thank you, God...\I swear never to take a bath in my own home again!\O-Okay...\Hey, do you have some free time later?\This feels great...\It was nice of him\to let us have the outdoor bath to ourselves\as a thanks. response:	Yeah...
context: I swear never to take a bath in my own home again!\O-Okay...\Hey, do you have some free time later?\This feels great...\It was nice of him\to let us have the outdoor bath to ourselves\as a thanks.\Yeah... response:	I'm glad we managed to finish in time.
context: O-Okay...\Hey, do you have some free time later?\This feels great...\It was nice of him\to let us have the outdoor bath to ourselves\as a thanks.\Yeah...\I'm glad we managed to finish in time. response:	Thanks for helping us, Yuina.
context: Hey, do you have some free time later?\This feels great...\It was nice of him\to let us have the outdoor bath to ourselves\as a thanks.\Yeah...\I'm glad we managed to finish in time.\Thanks for helping us, Yuina. response:	My blister hurts!
context: This feels great...\It was nice of him\to let us have the outdoor bath to ourselves\as a thanks.\Yeah...\I'm glad we managed to finish in time.\Thanks for helping us, Yuina.\My blister hurts! response:	You got a blister from cleaning the bath?
context: It was nice of him\to let us have the outdoor bath to ourselves\as a thanks.\Yeah...\I'm glad we managed to finish in time.\Thanks for helping us, Yuina.\My blister hurts!\You got a blister from cleaning the bath? response:	Hey, it was my first time!
context: to let us have the outdoor bath to ourselves\as a thanks.\Yeah...\I'm glad we managed to finish in time.\Thanks for helping us, Yuina.\My blister hurts!\You got a blister from cleaning the bath?\Hey, it was my first time! response:	It's the first time I've worked!
context: as a thanks.\Yeah...\I'm glad we managed to finish in time.\Thanks for helping us, Yuina.\My blister hurts!\You got a blister from cleaning the bath?\Hey, it was my first time!\It's the first time I've worked! response:	This job is really hard work, isn't it?
context: Yeah...\I'm glad we managed to finish in time.\Thanks for helping us, Yuina.\My blister hurts!\You got a blister from cleaning the bath?\Hey, it was my first time!\It's the first time I've worked!\This job is really hard work, isn't it? response:	My blister hurts and so does my hip.
context: I'm glad we managed to finish in time.\Thanks for helping us, Yuina.\My blister hurts!\You got a blister from cleaning the bath?\Hey, it was my first time!\It's the first time I've worked!\This job is really hard work, isn't it?\My blister hurts and so does my hip. response:	I even got really sweaty,
context: Thanks for helping us, Yuina.\My blister hurts!\You got a blister from cleaning the bath?\Hey, it was my first time!\It's the first time I've worked!\This job is really hard work, isn't it?\My blister hurts and so does my hip.\I even got really sweaty, response:	but it was surprisingly fun!
context: My blister hurts!\You got a blister from cleaning the bath?\Hey, it was my first time!\It's the first time I've worked!\This job is really hard work, isn't it?\My blister hurts and so does my hip.\I even got really sweaty,\but it was surprisingly fun! response:	Of course it was!
context: You got a blister from cleaning the bath?\Hey, it was my first time!\It's the first time I've worked!\This job is really hard work, isn't it?\My blister hurts and so does my hip.\I even got really sweaty,\but it was surprisingly fun!\Of course it was! response:	You were able to sit in an outdoor bath as your thanks
context: Hey, it was my first time!\It's the first time I've worked!\This job is really hard work, isn't it?\My blister hurts and so does my hip.\I even got really sweaty,\but it was surprisingly fun!\Of course it was!\You were able to sit in an outdoor bath as your thanks response:	for your first time working!
context: It's the first time I've worked!\This job is really hard work, isn't it?\My blister hurts and so does my hip.\I even got really sweaty,\but it was surprisingly fun!\Of course it was!\You were able to sit in an outdoor bath as your thanks\for your first time working! response:	There's no way it wasn't fun!
context: This job is really hard work, isn't it?\My blister hurts and so does my hip.\I even got really sweaty,\but it was surprisingly fun!\Of course it was!\You were able to sit in an outdoor bath as your thanks\for your first time working!\There's no way it wasn't fun! response:	I was thanked with a slap from Madam Manager
context: My blister hurts and so does my hip.\I even got really sweaty,\but it was surprisingly fun!\Of course it was!\You were able to sit in an outdoor bath as your thanks\for your first time working!\There's no way it wasn't fun!\I was thanked with a slap from Madam Manager response:	the first time I worked!
context: I even got really sweaty,\but it was surprisingly fun!\Of course it was!\You were able to sit in an outdoor bath as your thanks\for your first time working!\There's no way it wasn't fun!\I was thanked with a slap from Madam Manager\the first time I worked! response:	A really hard one at that!
context: but it was surprisingly fun!\Of course it was!\You were able to sit in an outdoor bath as your thanks\for your first time working!\There's no way it wasn't fun!\I was thanked with a slap from Madam Manager\the first time I worked!\A really hard one at that! response:	Really?
context: Of course it was!\You were able to sit in an outdoor bath as your thanks\for your first time working!\There's no way it wasn't fun!\I was thanked with a slap from Madam Manager\the first time I worked!\A really hard one at that!\Really? response:	Stop exposing yourself.
context: You were able to sit in an outdoor bath as your thanks\for your first time working!\There's no way it wasn't fun!\I was thanked with a slap from Madam Manager\the first time I worked!\A really hard one at that!\Really?\Stop exposing yourself. response:	I sleep on a crappy futon, and my roommate is Minchi...
context: for your first time working!\There's no way it wasn't fun!\I was thanked with a slap from Madam Manager\the first time I worked!\A really hard one at that!\Really?\Stop exposing yourself.\I sleep on a crappy futon, and my roommate is Minchi... response:	That's got nothing to do with work.
context: There's no way it wasn't fun!\I was thanked with a slap from Madam Manager\the first time I worked!\A really hard one at that!\Really?\Stop exposing yourself.\I sleep on a crappy futon, and my roommate is Minchi...\That's got nothing to do with work. response:	Oh, that reminds me...
context: I was thanked with a slap from Madam Manager\the first time I worked!\A really hard one at that!\Really?\Stop exposing yourself.\I sleep on a crappy futon, and my roommate is Minchi...\That's got nothing to do with work.\Oh, that reminds me... response:	Did you get a perverted gift like I asked you to?
context: the first time I worked!\A really hard one at that!\Really?\Stop exposing yourself.\I sleep on a crappy futon, and my roommate is Minchi...\That's got nothing to do with work.\Oh, that reminds me...\Did you get a perverted gift like I asked you to? response:	Buy it yourself!
context: A really hard one at that!\Really?\Stop exposing yourself.\I sleep on a crappy futon, and my roommate is Minchi...\That's got nothing to do with work.\Oh, that reminds me...\Did you get a perverted gift like I asked you to?\Buy it yourself! response:	Ohana!
context: Really?\Stop exposing yourself.\I sleep on a crappy futon, and my roommate is Minchi...\That's got nothing to do with work.\Oh, that reminds me...\Did you get a perverted gift like I asked you to?\Buy it yourself!\Ohana! response:	If you're drowning, inhale through your nose
context: Stop exposing yourself.\I sleep on a crappy futon, and my roommate is Minchi...\That's got nothing to do with work.\Oh, that reminds me...\Did you get a perverted gift like I asked you to?\Buy it yourself!\Ohana!\If you're drowning, inhale through your nose response:	and breathe out with your mouth!
context: I sleep on a crappy futon, and my roommate is Minchi...\That's got nothing to do with work.\Oh, that reminds me...\Did you get a perverted gift like I asked you to?\Buy it yourself!\Ohana!\If you're drowning, inhale through your nose\and breathe out with your mouth! response:	I don't think she heard you.
context: That's got nothing to do with work.\Oh, that reminds me...\Did you get a perverted gift like I asked you to?\Buy it yourself!\Ohana!\If you're drowning, inhale through your nose\and breathe out with your mouth!\I don't think she heard you. response:	Balut!
context: Oh, that reminds me...\Did you get a perverted gift like I asked you to?\Buy it yourself!\Ohana!\If you're drowning, inhale through your nose\and breathe out with your mouth!\I don't think she heard you.\Balut! response:	Did everyone check their rooms?
context: Did you get a perverted gift like I asked you to?\Buy it yourself!\Ohana!\If you're drowning, inhale through your nose\and breathe out with your mouth!\I don't think she heard you.\Balut!\Did everyone check their rooms? response:	Make sure you didn't forget anything!
context: Buy it yourself!\Ohana!\If you're drowning, inhale through your nose\and breathe out with your mouth!\I don't think she heard you.\Balut!\Did everyone check their rooms?\Make sure you didn't forget anything! response:	From today, I'm going to start studying again.
context: Ohana!\If you're drowning, inhale through your nose\and breathe out with your mouth!\I don't think she heard you.\Balut!\Did everyone check their rooms?\Make sure you didn't forget anything!\From today, I'm going to start studying again. response:	I've got to learn to think about those who are working.
context: If you're drowning, inhale through your nose\and breathe out with your mouth!\I don't think she heard you.\Balut!\Did everyone check their rooms?\Make sure you didn't forget anything!\From today, I'm going to start studying again.\I've got to learn to think about those who are working. response:	I've got to learn to think with them,
context: and breathe out with your mouth!\I don't think she heard you.\Balut!\Did everyone check their rooms?\Make sure you didn't forget anything!\From today, I'm going to start studying again.\I've got to learn to think about those who are working.\I've got to learn to think with them, response:	instead of giving them all the work to do.
context: I don't think she heard you.\Balut!\Did everyone check their rooms?\Make sure you didn't forget anything!\From today, I'm going to start studying again.\I've got to learn to think about those who are working.\I've got to learn to think with them,\instead of giving them all the work to do. response:	Yeah!
context: Balut!\Did everyone check their rooms?\Make sure you didn't forget anything!\From today, I'm going to start studying again.\I've got to learn to think about those who are working.\I've got to learn to think with them,\instead of giving them all the work to do.\Yeah! response:	I'm also going to start learning about inns.
context: Did everyone check their rooms?\Make sure you didn't forget anything!\From today, I'm going to start studying again.\I've got to learn to think about those who are working.\I've got to learn to think with them,\instead of giving them all the work to do.\Yeah!\I'm also going to start learning about inns. response:	You've decided to become Madam Manager?!
context: Make sure you didn't forget anything!\From today, I'm going to start studying again.\I've got to learn to think about those who are working.\I've got to learn to think with them,\instead of giving them all the work to do.\Yeah!\I'm also going to start learning about inns.\You've decided to become Madam Manager?! response:	Yeah!
context: From today, I'm going to start studying again.\I've got to learn to think about those who are working.\I've got to learn to think with them,\instead of giving them all the work to do.\Yeah!\I'm also going to start learning about inns.\You've decided to become Madam Manager?!\Yeah! response:	But of Fukuya Inn.
context: I've got to learn to think about those who are working.\I've got to learn to think with them,\instead of giving them all the work to do.\Yeah!\I'm also going to start learning about inns.\You've decided to become Madam Manager?!\Yeah!\But of Fukuya Inn. response:	Jeez...
context: I've got to learn to think with them,\instead of giving them all the work to do.\Yeah!\I'm also going to start learning about inns.\You've decided to become Madam Manager?!\Yeah!\But of Fukuya Inn.\Jeez... response:	Just kidding!
context: instead of giving them all the work to do.\Yeah!\I'm also going to start learning about inns.\You've decided to become Madam Manager?!\Yeah!\But of Fukuya Inn.\Jeez...\Just kidding! response:	I'm still undecided.
context: Yeah!\I'm also going to start learning about inns.\You've decided to become Madam Manager?!\Yeah!\But of Fukuya Inn.\Jeez...\Just kidding!\I'm still undecided. response:	Really?
context: I'm also going to start learning about inns.\You've decided to become Madam Manager?!\Yeah!\But of Fukuya Inn.\Jeez...\Just kidding!\I'm still undecided.\Really? response:	So, coming and working here is also a possibility?
context: You've decided to become Madam Manager?!\Yeah!\But of Fukuya Inn.\Jeez...\Just kidding!\I'm still undecided.\Really?\So, coming and working here is also a possibility? response:	That's also undecided!
context: Yeah!\But of Fukuya Inn.\Jeez...\Just kidding!\I'm still undecided.\Really?\So, coming and working here is also a possibility?\That's also undecided! response:	Let's go, Yuina!
context: But of Fukuya Inn.\Jeez...\Just kidding!\I'm still undecided.\Really?\So, coming and working here is also a possibility?\That's also undecided!\Let's go, Yuina! response:	Coming!
context: Jeez...\Just kidding!\I'm still undecided.\Really?\So, coming and working here is also a possibility?\That's also undecided!\Let's go, Yuina!\Coming! response:	Yunosagi looks really pretty in the sunset.
context: Just kidding!\I'm still undecided.\Really?\So, coming and working here is also a possibility?\That's also undecided!\Let's go, Yuina!\Coming!\Yunosagi looks really pretty in the sunset. response:	I was born and raised in the inn.
context: I'm still undecided.\Really?\So, coming and working here is also a possibility?\That's also undecided!\Let's go, Yuina!\Coming!\Yunosagi looks really pretty in the sunset.\I was born and raised in the inn. response:	I was too close to it,
context: Really?\So, coming and working here is also a possibility?\That's also undecided!\Let's go, Yuina!\Coming!\Yunosagi looks really pretty in the sunset.\I was born and raised in the inn.\I was too close to it, response:	which is why I thought it would be hard.
context: So, coming and working here is also a possibility?\That's also undecided!\Let's go, Yuina!\Coming!\Yunosagi looks really pretty in the sunset.\I was born and raised in the inn.\I was too close to it,\which is why I thought it would be hard. response:	But...
context: That's also undecided!\Let's go, Yuina!\Coming!\Yunosagi looks really pretty in the sunset.\I was born and raised in the inn.\I was too close to it,\which is why I thought it would be hard.\But... response:	it's up to me to try and find...
context: Let's go, Yuina!\Coming!\Yunosagi looks really pretty in the sunset.\I was born and raised in the inn.\I was too close to it,\which is why I thought it would be hard.\But...\it's up to me to try and find... response:	things I like and want to do.
context: Coming!\Yunosagi looks really pretty in the sunset.\I was born and raised in the inn.\I was too close to it,\which is why I thought it would be hard.\But...\it's up to me to try and find...\things I like and want to do. response:	Well, I guess I better fest it up.
context: Yunosagi looks really pretty in the sunset.\I was born and raised in the inn.\I was too close to it,\which is why I thought it would be hard.\But...\it's up to me to try and find...\things I like and want to do.\Well, I guess I better fest it up. response:	I'm home!
context: I was born and raised in the inn.\I was too close to it,\which is why I thought it would be hard.\But...\it's up to me to try and find...\things I like and want to do.\Well, I guess I better fest it up.\I'm home! response:	Come on!
context: I was too close to it,\which is why I thought it would be hard.\But...\it's up to me to try and find...\things I like and want to do.\Well, I guess I better fest it up.\I'm home!\Come on! response:	Mom!
context: which is why I thought it would be hard.\But...\it's up to me to try and find...\things I like and want to do.\Well, I guess I better fest it up.\I'm home!\Come on!\Mom! response:	Mom!
context: But...\it's up to me to try and find...\things I like and want to do.\Well, I guess I better fest it up.\I'm home!\Come on!\Mom!\Mom! response:	Episode 16 That Sky, This Sky
