context: In the year 845... response:	the Colossal and Armored Titans suddenly appeared,
context: What are you saying?\Eren came out of the Titan's vital point.\It's probably related to the mystery behind them.\Don't worry.\As long as I avoid striking it in the center,\he won't die.\It'll just hurt...\a tiny bit! response:	Armin...
context: Eren came out of the Titan's vital point.\It's probably related to the mystery behind them.\Don't worry.\As long as I avoid striking it in the center,\he won't die.\It'll just hurt...\a tiny bit!\Armin... response:	Armin, that's insane! Stop!
context: It's probably related to the mystery behind them.\Don't worry.\As long as I avoid striking it in the center,\he won't die.\It'll just hurt...\a tiny bit!\Armin...\Armin, that's insane! Stop! response:	Mikasa, do what you can!
context: Don't worry.\As long as I avoid striking it in the center,\he won't die.\It'll just hurt...\a tiny bit!\Armin...\Armin, that's insane! Stop!\Mikasa, do what you can! response:	If you go, some lives might be saved!
context: As long as I avoid striking it in the center,\he won't die.\It'll just hurt...\a tiny bit!\Armin...\Armin, that's insane! Stop!\Mikasa, do what you can!\If you go, some lives might be saved! response:	Leave Eren to me!
context: he won't die.\It'll just hurt...\a tiny bit!\Armin...\Armin, that's insane! Stop!\Mikasa, do what you can!\If you go, some lives might be saved!\Leave Eren to me! response:	Eren, can you hear me?
context: It'll just hurt...\a tiny bit!\Armin...\Armin, that's insane! Stop!\Mikasa, do what you can!\If you go, some lives might be saved!\Leave Eren to me!\Eren, can you hear me? response:	Come to your senses!
context: a tiny bit!\Armin...\Armin, that's insane! Stop!\Mikasa, do what you can!\If you go, some lives might be saved!\Leave Eren to me!\Eren, can you hear me?\Come to your senses! response:	If we don't get out of here, we'll all die!
context: Armin...\Armin, that's insane! Stop!\Mikasa, do what you can!\If you go, some lives might be saved!\Leave Eren to me!\Eren, can you hear me?\Come to your senses!\If we don't get out of here, we'll all die! response:	Don't let the Titan's body take over!
context: Armin, that's insane! Stop!\Mikasa, do what you can!\If you go, some lives might be saved!\Leave Eren to me!\Eren, can you hear me?\Come to your senses!\If we don't get out of here, we'll all die!\Don't let the Titan's body take over! response:	Just come out of that lump of flesh, now!
context: Mikasa, do what you can!\If you go, some lives might be saved!\Leave Eren to me!\Eren, can you hear me?\Come to your senses!\If we don't get out of here, we'll all die!\Don't let the Titan's body take over!\Just come out of that lump of flesh, now! response:	Come out?
context: If you go, some lives might be saved!\Leave Eren to me!\Eren, can you hear me?\Come to your senses!\If we don't get out of here, we'll all die!\Don't let the Titan's body take over!\Just come out of that lump of flesh, now!\Come out? response:	Why?
context: Leave Eren to me!\Eren, can you hear me?\Come to your senses!\If we don't get out of here, we'll all die!\Don't let the Titan's body take over!\Just come out of that lump of flesh, now!\Come out?\Why? response:	I'm tired...
context: Eren, can you hear me?\Come to your senses!\If we don't get out of here, we'll all die!\Don't let the Titan's body take over!\Just come out of that lump of flesh, now!\Come out?\Why?\I'm tired... response:	Eren! Get out of there!
context: Come to your senses!\If we don't get out of here, we'll all die!\Don't let the Titan's body take over!\Just come out of that lump of flesh, now!\Come out?\Why?\I'm tired...\Eren! Get out of there! response:	Hurry!
context: If we don't get out of here, we'll all die!\Don't let the Titan's body take over!\Just come out of that lump of flesh, now!\Come out?\Why?\I'm tired...\Eren! Get out of there!\Hurry! response:	Eren! Eren!
context: Don't let the Titan's body take over!\Just come out of that lump of flesh, now!\Come out?\Why?\I'm tired...\Eren! Get out of there!\Hurry!\Eren! Eren! response:	What happened to avenging your mother?
context: Just come out of that lump of flesh, now!\Come out?\Why?\I'm tired...\Eren! Get out of there!\Hurry!\Eren! Eren!\What happened to avenging your mother? response:	Aren't you going to wipe out the Titans?
context: Come out?\Why?\I'm tired...\Eren! Get out of there!\Hurry!\Eren! Eren!\What happened to avenging your mother?\Aren't you going to wipe out the Titans? response:	Don't you hate the things that killed your mother?
context: Why?\I'm tired...\Eren! Get out of there!\Hurry!\Eren! Eren!\What happened to avenging your mother?\Aren't you going to wipe out the Titans?\Don't you hate the things that killed your mother? response:	What are you talking about, Armin?
context: I'm tired...\Eren! Get out of there!\Hurry!\Eren! Eren!\What happened to avenging your mother?\Aren't you going to wipe out the Titans?\Don't you hate the things that killed your mother?\What are you talking about, Armin? response:	Mom's right here...
context: Eren! Get out of there!\Hurry!\Eren! Eren!\What happened to avenging your mother?\Aren't you going to wipe out the Titans?\Don't you hate the things that killed your mother?\What are you talking about, Armin?\Mom's right here... response:	Eren! Eren!
context: Hurry!\Eren! Eren!\What happened to avenging your mother?\Aren't you going to wipe out the Titans?\Don't you hate the things that killed your mother?\What are you talking about, Armin?\Mom's right here...\Eren! Eren! response:	Wake up, Eren!
context: Eren! Eren!\What happened to avenging your mother?\Aren't you going to wipe out the Titans?\Don't you hate the things that killed your mother?\What are you talking about, Armin?\Mom's right here...\Eren! Eren!\Wake up, Eren! response:	You're still in there, aren't you?
context: What happened to avenging your mother?\Aren't you going to wipe out the Titans?\Don't you hate the things that killed your mother?\What are you talking about, Armin?\Mom's right here...\Eren! Eren!\Wake up, Eren!\You're still in there, aren't you? response:	If we stay here, the Titans will kill us!
context: Aren't you going to wipe out the Titans?\Don't you hate the things that killed your mother?\What are you talking about, Armin?\Mom's right here...\Eren! Eren!\Wake up, Eren!\You're still in there, aren't you?\If we stay here, the Titans will kill us! response:	Everything will end here!
context: Don't you hate the things that killed your mother?\What are you talking about, Armin?\Mom's right here...\Eren! Eren!\Wake up, Eren!\You're still in there, aren't you?\If we stay here, the Titans will kill us!\Everything will end here! response:	Like I said...
context: What are you talking about, Armin?\Mom's right here...\Eren! Eren!\Wake up, Eren!\You're still in there, aren't you?\If we stay here, the Titans will kill us!\Everything will end here!\Like I said... response:	I don't understand you, Armin.
context: Mom's right here...\Eren! Eren!\Wake up, Eren!\You're still in there, aren't you?\If we stay here, the Titans will kill us!\Everything will end here!\Like I said...\I don't understand you, Armin. response:	Why do I have to leave?
context: Eren! Eren!\Wake up, Eren!\You're still in there, aren't you?\If we stay here, the Titans will kill us!\Everything will end here!\Like I said...\I don't understand you, Armin.\Why do I have to leave? response:	Yeah...
context: Wake up, Eren!\You're still in there, aren't you?\If we stay here, the Titans will kill us!\Everything will end here!\Like I said...\I don't understand you, Armin.\Why do I have to leave?\Yeah... response:	Why would I want to leave?
context: You're still in there, aren't you?\If we stay here, the Titans will kill us!\Everything will end here!\Like I said...\I don't understand you, Armin.\Why do I have to leave?\Yeah...\Why would I want to leave? response:	Why would I want to join the Survey Corps?
context: If we stay here, the Titans will kill us!\Everything will end here!\Like I said...\I don't understand you, Armin.\Why do I have to leave?\Yeah...\Why would I want to leave?\Why would I want to join the Survey Corps? response:	Looks like we have to deviate from the plan, like it or not.
context: Everything will end here!\Like I said...\I don't understand you, Armin.\Why do I have to leave?\Yeah...\Why would I want to leave?\Why would I want to join the Survey Corps?\Looks like we have to deviate from the plan, like it or not. response:	Gotcha!
context: Like I said...\I don't understand you, Armin.\Why do I have to leave?\Yeah...\Why would I want to leave?\Why would I want to join the Survey Corps?\Looks like we have to deviate from the plan, like it or not.\Gotcha! response:	So you're finally down, bastard?
context: I don't understand you, Armin.\Why do I have to leave?\Yeah...\Why would I want to leave?\Why would I want to join the Survey Corps?\Looks like we have to deviate from the plan, like it or not.\Gotcha!\So you're finally down, bastard? response:	Fall back for now!
context: Why do I have to leave?\Yeah...\Why would I want to leave?\Why would I want to join the Survey Corps?\Looks like we have to deviate from the plan, like it or not.\Gotcha!\So you're finally down, bastard?\Fall back for now! response:	I'm here.
context: Yeah...\Why would I want to leave?\Why would I want to join the Survey Corps?\Looks like we have to deviate from the plan, like it or not.\Gotcha!\So you're finally down, bastard?\Fall back for now!\I'm here. response:	I'll join up with Mitabi's squad.
context: Why would I want to leave?\Why would I want to join the Survey Corps?\Looks like we have to deviate from the plan, like it or not.\Gotcha!\So you're finally down, bastard?\Fall back for now!\I'm here.\I'll join up with Mitabi's squad. response:	What?!
context: Why would I want to join the Survey Corps?\Looks like we have to deviate from the plan, like it or not.\Gotcha!\So you're finally down, bastard?\Fall back for now!\I'm here.\I'll join up with Mitabi's squad.\What?! response:	Jean!
context: Looks like we have to deviate from the plan, like it or not.\Gotcha!\So you're finally down, bastard?\Fall back for now!\I'm here.\I'll join up with Mitabi's squad.\What?!\Jean! response:	Hurry! Go!
context: Gotcha!\So you're finally down, bastard?\Fall back for now!\I'm here.\I'll join up with Mitabi's squad.\What?!\Jean!\Hurry! Go! response:	I won't let anyone else die because of me!
context: So you're finally down, bastard?\Fall back for now!\I'm here.\I'll join up with Mitabi's squad.\What?!\Jean!\Hurry! Go!\I won't let anyone else die because of me! response:	Damn it... A malfunction, at a time like this?
context: Fall back for now!\I'm here.\I'll join up with Mitabi's squad.\What?!\Jean!\Hurry! Go!\I won't let anyone else die because of me!\Damn it... A malfunction, at a time like this? response:	Jean!
context: I'm here.\I'll join up with Mitabi's squad.\What?!\Jean!\Hurry! Go!\I won't let anyone else die because of me!\Damn it... A malfunction, at a time like this?\Jean! response:	What's wrong?
context: I'll join up with Mitabi's squad.\What?!\Jean!\Hurry! Go!\I won't let anyone else die because of me!\Damn it... A malfunction, at a time like this?\Jean!\What's wrong? response:	Why isn't he using his Maneuver Gear?
context: What?!\Jean!\Hurry! Go!\I won't let anyone else die because of me!\Damn it... A malfunction, at a time like this?\Jean!\What's wrong?\Why isn't he using his Maneuver Gear? response:	No way... Is it broken?
context: Jean!\Hurry! Go!\I won't let anyone else die because of me!\Damn it... A malfunction, at a time like this?\Jean!\What's wrong?\Why isn't he using his Maneuver Gear?\No way... Is it broken? response:	I'll come up with something!
context: Hurry! Go!\I won't let anyone else die because of me!\Damn it... A malfunction, at a time like this?\Jean!\What's wrong?\Why isn't he using his Maneuver Gear?\No way... Is it broken?\I'll come up with something! response:	Damn it.
context: I won't let anyone else die because of me!\Damn it... A malfunction, at a time like this?\Jean!\What's wrong?\Why isn't he using his Maneuver Gear?\No way... Is it broken?\I'll come up with something!\Damn it. response:	Why am I the one slowing us down?
context: Damn it... A malfunction, at a time like this?\Jean!\What's wrong?\Why isn't he using his Maneuver Gear?\No way... Is it broken?\I'll come up with something!\Damn it.\Why am I the one slowing us down? response:	Can I really come up with something?
context: Jean!\What's wrong?\Why isn't he using his Maneuver Gear?\No way... Is it broken?\I'll come up with something!\Damn it.\Why am I the one slowing us down?\Can I really come up with something? response:	Eren...
context: What's wrong?\Why isn't he using his Maneuver Gear?\No way... Is it broken?\I'll come up with something!\Damn it.\Why am I the one slowing us down?\Can I really come up with something?\Eren... response:	Eren!
context: Why isn't he using his Maneuver Gear?\No way... Is it broken?\I'll come up with something!\Damn it.\Why am I the one slowing us down?\Can I really come up with something?\Eren...\Eren! response:	Eren!
context: No way... Is it broken?\I'll come up with something!\Damn it.\Why am I the one slowing us down?\Can I really come up with something?\Eren...\Eren!\Eren! response:	Eren!
context: I'll come up with something!\Damn it.\Why am I the one slowing us down?\Can I really come up with something?\Eren...\Eren!\Eren!\Eren! response:	One day, we're going to explore the outside world, right?
context: Damn it.\Why am I the one slowing us down?\Can I really come up with something?\Eren...\Eren!\Eren!\Eren!\One day, we're going to explore the outside world, right? response:	Far beyond these walls
context: Why am I the one slowing us down?\Can I really come up with something?\Eren...\Eren!\Eren!\Eren!\One day, we're going to explore the outside world, right?\Far beyond these walls response:	is flaming water! Frozen earth!
context: Can I really come up with something?\Eren...\Eren!\Eren!\Eren!\One day, we're going to explore the outside world, right?\Far beyond these walls\is flaming water! Frozen earth! response:	Snow-white plains of sand!
context: Eren...\Eren!\Eren!\Eren!\One day, we're going to explore the outside world, right?\Far beyond these walls\is flaming water! Frozen earth!\Snow-white plains of sand! response:	The world my mom and dad tried to see...
context: Eren!\Eren!\Eren!\One day, we're going to explore the outside world, right?\Far beyond these walls\is flaming water! Frozen earth!\Snow-white plains of sand!\The world my mom and dad tried to see... response:	I thought maybe you'd forgotten.
context: Eren!\Eren!\One day, we're going to explore the outside world, right?\Far beyond these walls\is flaming water! Frozen earth!\Snow-white plains of sand!\The world my mom and dad tried to see...\I thought maybe you'd forgotten. response:	But the reason you stopped mentioning it
context: Eren!\One day, we're going to explore the outside world, right?\Far beyond these walls\is flaming water! Frozen earth!\Snow-white plains of sand!\The world my mom and dad tried to see...\I thought maybe you'd forgotten.\But the reason you stopped mentioning it response:	was because you didn't want me to join the Survey Corps, right?
context: One day, we're going to explore the outside world, right?\Far beyond these walls\is flaming water! Frozen earth!\Snow-white plains of sand!\The world my mom and dad tried to see...\I thought maybe you'd forgotten.\But the reason you stopped mentioning it\was because you didn't want me to join the Survey Corps, right? response:	The outside world?
context: Far beyond these walls\is flaming water! Frozen earth!\Snow-white plains of sand!\The world my mom and dad tried to see...\I thought maybe you'd forgotten.\But the reason you stopped mentioning it\was because you didn't want me to join the Survey Corps, right?\The outside world? response:	Eren... Answer me!
context: is flaming water! Frozen earth!\Snow-white plains of sand!\The world my mom and dad tried to see...\I thought maybe you'd forgotten.\But the reason you stopped mentioning it\was because you didn't want me to join the Survey Corps, right?\The outside world?\Eren... Answer me! response:	You knew that hell was one step beyond the walls.
context: Snow-white plains of sand!\The world my mom and dad tried to see...\I thought maybe you'd forgotten.\But the reason you stopped mentioning it\was because you didn't want me to join the Survey Corps, right?\The outside world?\Eren... Answer me!\You knew that hell was one step beyond the walls. response:	You might die horribly, like my mom and dad did.
context: The world my mom and dad tried to see...\I thought maybe you'd forgotten.\But the reason you stopped mentioning it\was because you didn't want me to join the Survey Corps, right?\The outside world?\Eren... Answer me!\You knew that hell was one step beyond the walls.\You might die horribly, like my mom and dad did. response:	So why did you want to go?
context: I thought maybe you'd forgotten.\But the reason you stopped mentioning it\was because you didn't want me to join the Survey Corps, right?\The outside world?\Eren... Answer me!\You knew that hell was one step beyond the walls.\You might die horribly, like my mom and dad did.\So why did you want to go? response:	Why?
context: But the reason you stopped mentioning it\was because you didn't want me to join the Survey Corps, right?\The outside world?\Eren... Answer me!\You knew that hell was one step beyond the walls.\You might die horribly, like my mom and dad did.\So why did you want to go?\Why? response:	You know why.
context: was because you didn't want me to join the Survey Corps, right?\The outside world?\Eren... Answer me!\You knew that hell was one step beyond the walls.\You might die horribly, like my mom and dad did.\So why did you want to go?\Why?\You know why. response:	Because I was born into this world!
context: The outside world?\Eren... Answer me!\You knew that hell was one step beyond the walls.\You might die horribly, like my mom and dad did.\So why did you want to go?\Why?\You know why.\Because I was born into this world! response:	Go. Run. Live.
context: Eren... Answer me!\You knew that hell was one step beyond the walls.\You might die horribly, like my mom and dad did.\So why did you want to go?\Why?\You know why.\Because I was born into this world!\Go. Run. Live. response:	Those words fill the air,
context: You knew that hell was one step beyond the walls.\You might die horribly, like my mom and dad did.\So why did you want to go?\Why?\You know why.\Because I was born into this world!\Go. Run. Live.\Those words fill the air, response:	as many lives are lost on the battlefield.
context: You might die horribly, like my mom and dad did.\So why did you want to go?\Why?\You know why.\Because I was born into this world!\Go. Run. Live.\Those words fill the air,\as many lives are lost on the battlefield. response:	Eren heads for the gate, carrying hope with him.
context: So why did you want to go?\Why?\You know why.\Because I was born into this world!\Go. Run. Live.\Those words fill the air,\as many lives are lost on the battlefield.\Eren heads for the gate, carrying hope with him. response:	Primal Desires The Battle for Trost (9)
