context: There was a bit of a commotion in town and we got separated. response:	Calm down. If you would, please tell me what happened in more detail.
context: It turns the audience's dreaming energy into magic.\Chariot will then be able to use still greater magic, in turn giving people even bigger dreams to see.\Dream Fuel Spirit raised my magic to a new level.\It was a huge success! Did you see all their smiles?\Yes, that was marvelous.\This power is incomparable.\Huh?\With this much, the magic world will once more be reinvigorated. response:	What?
context: Chariot will then be able to use still greater magic, in turn giving people even bigger dreams to see.\Dream Fuel Spirit raised my magic to a new level.\It was a huge success! Did you see all their smiles?\Yes, that was marvelous.\This power is incomparable.\Huh?\With this much, the magic world will once more be reinvigorated.\What? response:	In exchange for that, there's no need to be concerned over a few trifling sacrifices.
context: Dream Fuel Spirit raised my magic to a new level.\It was a huge success! Did you see all their smiles?\Yes, that was marvelous.\This power is incomparable.\Huh?\With this much, the magic world will once more be reinvigorated.\What?\In exchange for that, there's no need to be concerned over a few trifling sacrifices. response:	Sacrifices?
context: It was a huge success! Did you see all their smiles?\Yes, that was marvelous.\This power is incomparable.\Huh?\With this much, the magic world will once more be reinvigorated.\What?\In exchange for that, there's no need to be concerned over a few trifling sacrifices.\Sacrifices? response:	Dream Fuel Spirit absorbs the dreaming energy of those it's used on, converting it into magic.
context: Yes, that was marvelous.\This power is incomparable.\Huh?\With this much, the magic world will once more be reinvigorated.\What?\In exchange for that, there's no need to be concerned over a few trifling sacrifices.\Sacrifices?\Dream Fuel Spirit absorbs the dreaming energy of those it's used on, converting it into magic. response:	You never... said anything about that.
context: This power is incomparable.\Huh?\With this much, the magic world will once more be reinvigorated.\What?\In exchange for that, there's no need to be concerned over a few trifling sacrifices.\Sacrifices?\Dream Fuel Spirit absorbs the dreaming energy of those it's used on, converting it into magic.\You never... said anything about that. response:	I didn't? Well, it wasn't even worth mentioning.
context: Huh?\With this much, the magic world will once more be reinvigorated.\What?\In exchange for that, there's no need to be concerned over a few trifling sacrifices.\Sacrifices?\Dream Fuel Spirit absorbs the dreaming energy of those it's used on, converting it into magic.\You never... said anything about that.\I didn't? Well, it wasn't even worth mentioning. response:	Y-You can't be...
context: With this much, the magic world will once more be reinvigorated.\What?\In exchange for that, there's no need to be concerned over a few trifling sacrifices.\Sacrifices?\Dream Fuel Spirit absorbs the dreaming energy of those it's used on, converting it into magic.\You never... said anything about that.\I didn't? Well, it wasn't even worth mentioning.\Y-You can't be... response:	What happens to the people you absorb from?
context: What?\In exchange for that, there's no need to be concerned over a few trifling sacrifices.\Sacrifices?\Dream Fuel Spirit absorbs the dreaming energy of those it's used on, converting it into magic.\You never... said anything about that.\I didn't? Well, it wasn't even worth mentioning.\Y-You can't be...\What happens to the people you absorb from? response:	Nothing much. They merely lose a certain ability.
context: In exchange for that, there's no need to be concerned over a few trifling sacrifices.\Sacrifices?\Dream Fuel Spirit absorbs the dreaming energy of those it's used on, converting it into magic.\You never... said anything about that.\I didn't? Well, it wasn't even worth mentioning.\Y-You can't be...\What happens to the people you absorb from?\Nothing much. They merely lose a certain ability. response:	What's the problem with normal people losing an ability they'd ordinarily never even use?
context: Sacrifices?\Dream Fuel Spirit absorbs the dreaming energy of those it's used on, converting it into magic.\You never... said anything about that.\I didn't? Well, it wasn't even worth mentioning.\Y-You can't be...\What happens to the people you absorb from?\Nothing much. They merely lose a certain ability.\What's the problem with normal people losing an ability they'd ordinarily never even use? response:	Well, I guess there might be an issue if a child from a magic lineage was sitting in the audience,
context: Dream Fuel Spirit absorbs the dreaming energy of those it's used on, converting it into magic.\You never... said anything about that.\I didn't? Well, it wasn't even worth mentioning.\Y-You can't be...\What happens to the people you absorb from?\Nothing much. They merely lose a certain ability.\What's the problem with normal people losing an ability they'd ordinarily never even use?\Well, I guess there might be an issue if a child from a magic lineage was sitting in the audience, response:	but why would any self-respecting witch allow them to see a heretic like you?
context: You never... said anything about that.\I didn't? Well, it wasn't even worth mentioning.\Y-You can't be...\What happens to the people you absorb from?\Nothing much. They merely lose a certain ability.\What's the problem with normal people losing an ability they'd ordinarily never even use?\Well, I guess there might be an issue if a child from a magic lineage was sitting in the audience,\but why would any self-respecting witch allow them to see a heretic like you? response:	Why, Croix?
context: I didn't? Well, it wasn't even worth mentioning.\Y-You can't be...\What happens to the people you absorb from?\Nothing much. They merely lose a certain ability.\What's the problem with normal people losing an ability they'd ordinarily never even use?\Well, I guess there might be an issue if a child from a magic lineage was sitting in the audience,\but why would any self-respecting witch allow them to see a heretic like you?\Why, Croix? response:	If I had known that, I never would have used it!
context: Y-You can't be...\What happens to the people you absorb from?\Nothing much. They merely lose a certain ability.\What's the problem with normal people losing an ability they'd ordinarily never even use?\Well, I guess there might be an issue if a child from a magic lineage was sitting in the audience,\but why would any self-respecting witch allow them to see a heretic like you?\Why, Croix?\If I had known that, I never would have used it! response:	I never asked for that kind of power.
context: What happens to the people you absorb from?\Nothing much. They merely lose a certain ability.\What's the problem with normal people losing an ability they'd ordinarily never even use?\Well, I guess there might be an issue if a child from a magic lineage was sitting in the audience,\but why would any self-respecting witch allow them to see a heretic like you?\Why, Croix?\If I had known that, I never would have used it!\I never asked for that kind of power. response:	You never asked for power?
context: Nothing much. They merely lose a certain ability.\What's the problem with normal people losing an ability they'd ordinarily never even use?\Well, I guess there might be an issue if a child from a magic lineage was sitting in the audience,\but why would any self-respecting witch allow them to see a heretic like you?\Why, Croix?\If I had known that, I never would have used it!\I never asked for that kind of power.\You never asked for power? response:	Enough with your naivete!
context: What's the problem with normal people losing an ability they'd ordinarily never even use?\Well, I guess there might be an issue if a child from a magic lineage was sitting in the audience,\but why would any self-respecting witch allow them to see a heretic like you?\Why, Croix?\If I had known that, I never would have used it!\I never asked for that kind of power.\You never asked for power?\Enough with your naivete! response:	This is exactly why you still haven't gotten the final Word!
context: Well, I guess there might be an issue if a child from a magic lineage was sitting in the audience,\but why would any self-respecting witch allow them to see a heretic like you?\Why, Croix?\If I had known that, I never would have used it!\I never asked for that kind of power.\You never asked for power?\Enough with your naivete!\This is exactly why you still haven't gotten the final Word! response:	You have a responsibility as the chosen one. A duty to obtain the world reconstruction magic!
context: but why would any self-respecting witch allow them to see a heretic like you?\Why, Croix?\If I had known that, I never would have used it!\I never asked for that kind of power.\You never asked for power?\Enough with your naivete!\This is exactly why you still haven't gotten the final Word!\You have a responsibility as the chosen one. A duty to obtain the world reconstruction magic! response:	And yet!
context: Why, Croix?\If I had known that, I never would have used it!\I never asked for that kind of power.\You never asked for power?\Enough with your naivete!\This is exactly why you still haven't gotten the final Word!\You have a responsibility as the chosen one. A duty to obtain the world reconstruction magic!\And yet! response:	What the hell are you thinking, wasting your time on these ridiculous shows?!
context: If I had known that, I never would have used it!\I never asked for that kind of power.\You never asked for power?\Enough with your naivete!\This is exactly why you still haven't gotten the final Word!\You have a responsibility as the chosen one. A duty to obtain the world reconstruction magic!\And yet!\What the hell are you thinking, wasting your time on these ridiculous shows?! response:	Croix...
context: I never asked for that kind of power.\You never asked for power?\Enough with your naivete!\This is exactly why you still haven't gotten the final Word!\You have a responsibility as the chosen one. A duty to obtain the world reconstruction magic!\And yet!\What the hell are you thinking, wasting your time on these ridiculous shows?!\Croix... response:	What is a Shiny Rod supposed to be?! Don't give it such a strange name.
context: You never asked for power?\Enough with your naivete!\This is exactly why you still haven't gotten the final Word!\You have a responsibility as the chosen one. A duty to obtain the world reconstruction magic!\And yet!\What the hell are you thinking, wasting your time on these ridiculous shows?!\Croix...\What is a Shiny Rod supposed to be?! Don't give it such a strange name. response:	Are you telling me the Claimh Solais chose you just for this?
context: Enough with your naivete!\This is exactly why you still haven't gotten the final Word!\You have a responsibility as the chosen one. A duty to obtain the world reconstruction magic!\And yet!\What the hell are you thinking, wasting your time on these ridiculous shows?!\Croix...\What is a Shiny Rod supposed to be?! Don't give it such a strange name.\Are you telling me the Claimh Solais chose you just for this? response:	This utter absurdity?!
context: This is exactly why you still haven't gotten the final Word!\You have a responsibility as the chosen one. A duty to obtain the world reconstruction magic!\And yet!\What the hell are you thinking, wasting your time on these ridiculous shows?!\Croix...\What is a Shiny Rod supposed to be?! Don't give it such a strange name.\Are you telling me the Claimh Solais chose you just for this?\This utter absurdity?! response:	Why...
context: You have a responsibility as the chosen one. A duty to obtain the world reconstruction magic!\And yet!\What the hell are you thinking, wasting your time on these ridiculous shows?!\Croix...\What is a Shiny Rod supposed to be?! Don't give it such a strange name.\Are you telling me the Claimh Solais chose you just for this?\This utter absurdity?!\Why... response:	Why were you chosen...
context: And yet!\What the hell are you thinking, wasting your time on these ridiculous shows?!\Croix...\What is a Shiny Rod supposed to be?! Don't give it such a strange name.\Are you telling me the Claimh Solais chose you just for this?\This utter absurdity?!\Why...\Why were you chosen... response:	I don't know either.
context: What the hell are you thinking, wasting your time on these ridiculous shows?!\Croix...\What is a Shiny Rod supposed to be?! Don't give it such a strange name.\Are you telling me the Claimh Solais chose you just for this?\This utter absurdity?!\Why...\Why were you chosen...\I don't know either. response:	All I want to do is use magic to make people happy.
context: Croix...\What is a Shiny Rod supposed to be?! Don't give it such a strange name.\Are you telling me the Claimh Solais chose you just for this?\This utter absurdity?!\Why...\Why were you chosen...\I don't know either.\All I want to do is use magic to make people happy. response:	That's all I can do...
context: What is a Shiny Rod supposed to be?! Don't give it such a strange name.\Are you telling me the Claimh Solais chose you just for this?\This utter absurdity?!\Why...\Why were you chosen...\I don't know either.\All I want to do is use magic to make people happy.\That's all I can do... response:	You don't understand a thing.
context: Are you telling me the Claimh Solais chose you just for this?\This utter absurdity?!\Why...\Why were you chosen...\I don't know either.\All I want to do is use magic to make people happy.\That's all I can do...\You don't understand a thing. response:	Your shows will soon be shunned and forgotten.
context: This utter absurdity?!\Why...\Why were you chosen...\I don't know either.\All I want to do is use magic to make people happy.\That's all I can do...\You don't understand a thing.\Your shows will soon be shunned and forgotten. response:	Magic will... be forgotten.
context: Why...\Why were you chosen...\I don't know either.\All I want to do is use magic to make people happy.\That's all I can do...\You don't understand a thing.\Your shows will soon be shunned and forgotten.\Magic will... be forgotten. response:	I can't take the same path as you. I must go my own way.
context: Why were you chosen...\I don't know either.\All I want to do is use magic to make people happy.\That's all I can do...\You don't understand a thing.\Your shows will soon be shunned and forgotten.\Magic will... be forgotten.\I can't take the same path as you. I must go my own way. response:	Goodbye.
context: I don't know either.\All I want to do is use magic to make people happy.\That's all I can do...\You don't understand a thing.\Your shows will soon be shunned and forgotten.\Magic will... be forgotten.\I can't take the same path as you. I must go my own way.\Goodbye. response:	After that, I stopped using Dream Fuel Spirit.
context: All I want to do is use magic to make people happy.\That's all I can do...\You don't understand a thing.\Your shows will soon be shunned and forgotten.\Magic will... be forgotten.\I can't take the same path as you. I must go my own way.\Goodbye.\After that, I stopped using Dream Fuel Spirit. response:	What are you doing?
context: That's all I can do...\You don't understand a thing.\Your shows will soon be shunned and forgotten.\Magic will... be forgotten.\I can't take the same path as you. I must go my own way.\Goodbye.\After that, I stopped using Dream Fuel Spirit.\What are you doing? response:	People are always yearning for something new, something bigger...
context: You don't understand a thing.\Your shows will soon be shunned and forgotten.\Magic will... be forgotten.\I can't take the same path as you. I must go my own way.\Goodbye.\After that, I stopped using Dream Fuel Spirit.\What are you doing?\People are always yearning for something new, something bigger... response:	Magic will...
context: Your shows will soon be shunned and forgotten.\Magic will... be forgotten.\I can't take the same path as you. I must go my own way.\Goodbye.\After that, I stopped using Dream Fuel Spirit.\What are you doing?\People are always yearning for something new, something bigger...\Magic will... response:	Didn't you bring any new magic?
context: Magic will... be forgotten.\I can't take the same path as you. I must go my own way.\Goodbye.\After that, I stopped using Dream Fuel Spirit.\What are you doing?\People are always yearning for something new, something bigger...\Magic will...\Didn't you bring any new magic? response:	I want more fun magic!
context: I can't take the same path as you. I must go my own way.\Goodbye.\After that, I stopped using Dream Fuel Spirit.\What are you doing?\People are always yearning for something new, something bigger...\Magic will...\Didn't you bring any new magic?\I want more fun magic! response:	Something more!
context: Goodbye.\After that, I stopped using Dream Fuel Spirit.\What are you doing?\People are always yearning for something new, something bigger...\Magic will...\Didn't you bring any new magic?\I want more fun magic!\Something more! response:	Noctu Orfei Aude Fraetor!
context: After that, I stopped using Dream Fuel Spirit.\What are you doing?\People are always yearning for something new, something bigger...\Magic will...\Didn't you bring any new magic?\I want more fun magic!\Something more!\Noctu Orfei Aude Fraetor! response:	Incredible...
context: What are you doing?\People are always yearning for something new, something bigger...\Magic will...\Didn't you bring any new magic?\I want more fun magic!\Something more!\Noctu Orfei Aude Fraetor!\Incredible... response:	Crapamnesia magic!
context: People are always yearning for something new, something bigger...\Magic will...\Didn't you bring any new magic?\I want more fun magic!\Something more!\Noctu Orfei Aude Fraetor!\Incredible...\Crapamnesia magic! response:	This is Diana.
context: Magic will...\Didn't you bring any new magic?\I want more fun magic!\Something more!\Noctu Orfei Aude Fraetor!\Incredible...\Crapamnesia magic!\This is Diana. response:	I have an urgent message regarding Akko.
context: Didn't you bring any new magic?\I want more fun magic!\Something more!\Noctu Orfei Aude Fraetor!\Incredible...\Crapamnesia magic!\This is Diana.\I have an urgent message regarding Akko. response:	Can I help you?
context: I want more fun magic!\Something more!\Noctu Orfei Aude Fraetor!\Incredible...\Crapamnesia magic!\This is Diana.\I have an urgent message regarding Akko.\Can I help you? response:	Akko has yet to return from her trip into town.
context: Something more!\Noctu Orfei Aude Fraetor!\Incredible...\Crapamnesia magic!\This is Diana.\I have an urgent message regarding Akko.\Can I help you?\Akko has yet to return from her trip into town. response:	Do you know anything about that?
context: Noctu Orfei Aude Fraetor!\Incredible...\Crapamnesia magic!\This is Diana.\I have an urgent message regarding Akko.\Can I help you?\Akko has yet to return from her trip into town.\Do you know anything about that? response:	Did you not meet Akko in the city?
context: Incredible...\Crapamnesia magic!\This is Diana.\I have an urgent message regarding Akko.\Can I help you?\Akko has yet to return from her trip into town.\Do you know anything about that?\Did you not meet Akko in the city? response:	I'm sorry.
context: Crapamnesia magic!\This is Diana.\I have an urgent message regarding Akko.\Can I help you?\Akko has yet to return from her trip into town.\Do you know anything about that?\Did you not meet Akko in the city?\I'm sorry. response:	Why are you apologizing?
context: This is Diana.\I have an urgent message regarding Akko.\Can I help you?\Akko has yet to return from her trip into town.\Do you know anything about that?\Did you not meet Akko in the city?\I'm sorry.\Why are you apologizing? response:	While we're at it, may we continue our conversation from this afternoon?
context: I have an urgent message regarding Akko.\Can I help you?\Akko has yet to return from her trip into town.\Do you know anything about that?\Did you not meet Akko in the city?\I'm sorry.\Why are you apologizing?\While we're at it, may we continue our conversation from this afternoon? response:	I'm a little tied up with other things right now.
context: Can I help you?\Akko has yet to return from her trip into town.\Do you know anything about that?\Did you not meet Akko in the city?\I'm sorry.\Why are you apologizing?\While we're at it, may we continue our conversation from this afternoon?\I'm a little tied up with other things right now. response:	Then I'll get right to the point.
context: Akko has yet to return from her trip into town.\Do you know anything about that?\Did you not meet Akko in the city?\I'm sorry.\Why are you apologizing?\While we're at it, may we continue our conversation from this afternoon?\I'm a little tied up with other things right now.\Then I'll get right to the point. response:	There are no records of a student by the name of Ursula Callistis attending this school.
context: Do you know anything about that?\Did you not meet Akko in the city?\I'm sorry.\Why are you apologizing?\While we're at it, may we continue our conversation from this afternoon?\I'm a little tied up with other things right now.\Then I'll get right to the point.\There are no records of a student by the name of Ursula Callistis attending this school. response:	Your real name is Chariot du Nord.
context: Did you not meet Akko in the city?\I'm sorry.\Why are you apologizing?\While we're at it, may we continue our conversation from this afternoon?\I'm a little tied up with other things right now.\Then I'll get right to the point.\There are no records of a student by the name of Ursula Callistis attending this school.\Your real name is Chariot du Nord. response:	You are Shiny Chariot, correct?
context: I'm sorry.\Why are you apologizing?\While we're at it, may we continue our conversation from this afternoon?\I'm a little tied up with other things right now.\Then I'll get right to the point.\There are no records of a student by the name of Ursula Callistis attending this school.\Your real name is Chariot du Nord.\You are Shiny Chariot, correct? response:	Yes, that's right.
context: Why are you apologizing?\While we're at it, may we continue our conversation from this afternoon?\I'm a little tied up with other things right now.\Then I'll get right to the point.\There are no records of a student by the name of Ursula Callistis attending this school.\Your real name is Chariot du Nord.\You are Shiny Chariot, correct?\Yes, that's right. response:	You ran into Akko earlier, didn't you?
context: While we're at it, may we continue our conversation from this afternoon?\I'm a little tied up with other things right now.\Then I'll get right to the point.\There are no records of a student by the name of Ursula Callistis attending this school.\Your real name is Chariot du Nord.\You are Shiny Chariot, correct?\Yes, that's right.\You ran into Akko earlier, didn't you? response:	Please tell me what happened!
context: I'm a little tied up with other things right now.\Then I'll get right to the point.\There are no records of a student by the name of Ursula Callistis attending this school.\Your real name is Chariot du Nord.\You are Shiny Chariot, correct?\Yes, that's right.\You ran into Akko earlier, didn't you?\Please tell me what happened! response:	Fine.
context: Then I'll get right to the point.\There are no records of a student by the name of Ursula Callistis attending this school.\Your real name is Chariot du Nord.\You are Shiny Chariot, correct?\Yes, that's right.\You ran into Akko earlier, didn't you?\Please tell me what happened!\Fine. response:	Those who saw your show became unable to use magic?
context: There are no records of a student by the name of Ursula Callistis attending this school.\Your real name is Chariot du Nord.\You are Shiny Chariot, correct?\Yes, that's right.\You ran into Akko earlier, didn't you?\Please tell me what happened!\Fine.\Those who saw your show became unable to use magic? response:	I hurt Akko.
context: Your real name is Chariot du Nord.\You are Shiny Chariot, correct?\Yes, that's right.\You ran into Akko earlier, didn't you?\Please tell me what happened!\Fine.\Those who saw your show became unable to use magic?\I hurt Akko. response:	And you didn't chase after her?
context: You are Shiny Chariot, correct?\Yes, that's right.\You ran into Akko earlier, didn't you?\Please tell me what happened!\Fine.\Those who saw your show became unable to use magic?\I hurt Akko.\And you didn't chase after her? response:	Are you saying you left her alone in that condition and returned by yourself?
context: Yes, that's right.\You ran into Akko earlier, didn't you?\Please tell me what happened!\Fine.\Those who saw your show became unable to use magic?\I hurt Akko.\And you didn't chase after her?\Are you saying you left her alone in that condition and returned by yourself? response:	Professor Ursula!
context: You ran into Akko earlier, didn't you?\Please tell me what happened!\Fine.\Those who saw your show became unable to use magic?\I hurt Akko.\And you didn't chase after her?\Are you saying you left her alone in that condition and returned by yourself?\Professor Ursula! response:	I can no longer be of help to Akko.
context: Please tell me what happened!\Fine.\Those who saw your show became unable to use magic?\I hurt Akko.\And you didn't chase after her?\Are you saying you left her alone in that condition and returned by yourself?\Professor Ursula!\I can no longer be of help to Akko. response:	What are you saying?! Now is the time she most needs you by her side!
context: Fine.\Those who saw your show became unable to use magic?\I hurt Akko.\And you didn't chase after her?\Are you saying you left her alone in that condition and returned by yourself?\Professor Ursula!\I can no longer be of help to Akko.\What are you saying?! Now is the time she most needs you by her side! response:	I'm sorry, but there's something else I must be doing.
context: Those who saw your show became unable to use magic?\I hurt Akko.\And you didn't chase after her?\Are you saying you left her alone in that condition and returned by yourself?\Professor Ursula!\I can no longer be of help to Akko.\What are you saying?! Now is the time she most needs you by her side!\I'm sorry, but there's something else I must be doing. response:	How can anything possibly be more important than worrying about Akko right now?!
context: I hurt Akko.\And you didn't chase after her?\Are you saying you left her alone in that condition and returned by yourself?\Professor Ursula!\I can no longer be of help to Akko.\What are you saying?! Now is the time she most needs you by her side!\I'm sorry, but there's something else I must be doing.\How can anything possibly be more important than worrying about Akko right now?! response:	I understand. That's enough.
context: And you didn't chase after her?\Are you saying you left her alone in that condition and returned by yourself?\Professor Ursula!\I can no longer be of help to Akko.\What are you saying?! Now is the time she most needs you by her side!\I'm sorry, but there's something else I must be doing.\How can anything possibly be more important than worrying about Akko right now?!\I understand. That's enough. response:	We'll find Akko.
context: Are you saying you left her alone in that condition and returned by yourself?\Professor Ursula!\I can no longer be of help to Akko.\What are you saying?! Now is the time she most needs you by her side!\I'm sorry, but there's something else I must be doing.\How can anything possibly be more important than worrying about Akko right now?!\I understand. That's enough.\We'll find Akko. response:	I'm more disappointed in what you did today than all that you've done in the past.
context: Professor Ursula!\I can no longer be of help to Akko.\What are you saying?! Now is the time she most needs you by her side!\I'm sorry, but there's something else I must be doing.\How can anything possibly be more important than worrying about Akko right now?!\I understand. That's enough.\We'll find Akko.\I'm more disappointed in what you did today than all that you've done in the past. response:	Please... take care of Akko.
context: I can no longer be of help to Akko.\What are you saying?! Now is the time she most needs you by her side!\I'm sorry, but there's something else I must be doing.\How can anything possibly be more important than worrying about Akko right now?!\I understand. That's enough.\We'll find Akko.\I'm more disappointed in what you did today than all that you've done in the past.\Please... take care of Akko. response:	Little Witch Academia
context: What are you saying?! Now is the time she most needs you by her side!\I'm sorry, but there's something else I must be doing.\How can anything possibly be more important than worrying about Akko right now?!\I understand. That's enough.\We'll find Akko.\I'm more disappointed in what you did today than all that you've done in the past.\Please... take care of Akko.\Little Witch Academia response:	Little Witch Academia
context: I'm sorry, but there's something else I must be doing.\How can anything possibly be more important than worrying about Akko right now?!\I understand. That's enough.\We'll find Akko.\I'm more disappointed in what you did today than all that you've done in the past.\Please... take care of Akko.\Little Witch Academia\Little Witch Academia response:	Akko still hasn't come back?
context: How can anything possibly be more important than worrying about Akko right now?!\I understand. That's enough.\We'll find Akko.\I'm more disappointed in what you did today than all that you've done in the past.\Please... take care of Akko.\Little Witch Academia\Little Witch Academia\Akko still hasn't come back? response:	Yes, she may still be somewhere out in town.
context: I understand. That's enough.\We'll find Akko.\I'm more disappointed in what you did today than all that you've done in the past.\Please... take care of Akko.\Little Witch Academia\Little Witch Academia\Akko still hasn't come back?\Yes, she may still be somewhere out in town. response:	Did you learn anything new?
context: We'll find Akko.\I'm more disappointed in what you did today than all that you've done in the past.\Please... take care of Akko.\Little Witch Academia\Little Witch Academia\Akko still hasn't come back?\Yes, she may still be somewhere out in town.\Did you learn anything new? response:	That can't be...
context: I'm more disappointed in what you did today than all that you've done in the past.\Please... take care of Akko.\Little Witch Academia\Little Witch Academia\Akko still hasn't come back?\Yes, she may still be somewhere out in town.\Did you learn anything new?\That can't be... response:	You're kidding. It's really Chariot's fault that Akko can't fly?
context: Please... take care of Akko.\Little Witch Academia\Little Witch Academia\Akko still hasn't come back?\Yes, she may still be somewhere out in town.\Did you learn anything new?\That can't be...\You're kidding. It's really Chariot's fault that Akko can't fly? response:	There's no chance Akko could've imagined that.
context: Little Witch Academia\Little Witch Academia\Akko still hasn't come back?\Yes, she may still be somewhere out in town.\Did you learn anything new?\That can't be...\You're kidding. It's really Chariot's fault that Akko can't fly?\There's no chance Akko could've imagined that. response:	You don't think she's not planning to come back...
context: Little Witch Academia\Akko still hasn't come back?\Yes, she may still be somewhere out in town.\Did you learn anything new?\That can't be...\You're kidding. It's really Chariot's fault that Akko can't fly?\There's no chance Akko could've imagined that.\You don't think she's not planning to come back... response:	Of course not!
context: Akko still hasn't come back?\Yes, she may still be somewhere out in town.\Did you learn anything new?\That can't be...\You're kidding. It's really Chariot's fault that Akko can't fly?\There's no chance Akko could've imagined that.\You don't think she's not planning to come back...\Of course not! response:	Akko would never leave over something like that...
context: Yes, she may still be somewhere out in town.\Did you learn anything new?\That can't be...\You're kidding. It's really Chariot's fault that Akko can't fly?\There's no chance Akko could've imagined that.\You don't think she's not planning to come back...\Of course not!\Akko would never leave over something like that... response:	Y-You're right.
context: Did you learn anything new?\That can't be...\You're kidding. It's really Chariot's fault that Akko can't fly?\There's no chance Akko could've imagined that.\You don't think she's not planning to come back...\Of course not!\Akko would never leave over something like that...\Y-You're right. response:	Sorry, I didn't mean it.
context: That can't be...\You're kidding. It's really Chariot's fault that Akko can't fly?\There's no chance Akko could've imagined that.\You don't think she's not planning to come back...\Of course not!\Akko would never leave over something like that...\Y-You're right.\Sorry, I didn't mean it. response:	But how does Professor Ursula know all that?
context: You're kidding. It's really Chariot's fault that Akko can't fly?\There's no chance Akko could've imagined that.\You don't think she's not planning to come back...\Of course not!\Akko would never leave over something like that...\Y-You're right.\Sorry, I didn't mean it.\But how does Professor Ursula know all that? response:	I'll tell you in due time.
context: There's no chance Akko could've imagined that.\You don't think she's not planning to come back...\Of course not!\Akko would never leave over something like that...\Y-You're right.\Sorry, I didn't mean it.\But how does Professor Ursula know all that?\I'll tell you in due time. response:	The most important thing now is to find Akko.
context: You don't think she's not planning to come back...\Of course not!\Akko would never leave over something like that...\Y-You're right.\Sorry, I didn't mean it.\But how does Professor Ursula know all that?\I'll tell you in due time.\The most important thing now is to find Akko. response:	We're going too!
context: Of course not!\Akko would never leave over something like that...\Y-You're right.\Sorry, I didn't mean it.\But how does Professor Ursula know all that?\I'll tell you in due time.\The most important thing now is to find Akko.\We're going too! response:	Me too!
context: Akko would never leave over something like that...\Y-You're right.\Sorry, I didn't mean it.\But how does Professor Ursula know all that?\I'll tell you in due time.\The most important thing now is to find Akko.\We're going too!\Me too! response:	Well, then we'll start looking around the terminal.
context: Y-You're right.\Sorry, I didn't mean it.\But how does Professor Ursula know all that?\I'll tell you in due time.\The most important thing now is to find Akko.\We're going too!\Me too!\Well, then we'll start looking around the terminal. response:	Understood. I will start my search from the Leyline.
context: Sorry, I didn't mean it.\But how does Professor Ursula know all that?\I'll tell you in due time.\The most important thing now is to find Akko.\We're going too!\Me too!\Well, then we'll start looking around the terminal.\Understood. I will start my search from the Leyline. response:	Got it. Let's go!
context: But how does Professor Ursula know all that?\I'll tell you in due time.\The most important thing now is to find Akko.\We're going too!\Me too!\Well, then we'll start looking around the terminal.\Understood. I will start my search from the Leyline.\Got it. Let's go! response:	Akko!
context: I'll tell you in due time.\The most important thing now is to find Akko.\We're going too!\Me too!\Well, then we'll start looking around the terminal.\Understood. I will start my search from the Leyline.\Got it. Let's go!\Akko! response:	Akko!
context: The most important thing now is to find Akko.\We're going too!\Me too!\Well, then we'll start looking around the terminal.\Understood. I will start my search from the Leyline.\Got it. Let's go!\Akko!\Akko! response:	I swear, if Akko doesn't come back, she'd better hope I don't find her.
context: We're going too!\Me too!\Well, then we'll start looking around the terminal.\Understood. I will start my search from the Leyline.\Got it. Let's go!\Akko!\Akko!\I swear, if Akko doesn't come back, she'd better hope I don't find her. response:	Seriously, Akko's a genius at making people run themselves ragged.
context: Me too!\Well, then we'll start looking around the terminal.\Understood. I will start my search from the Leyline.\Got it. Let's go!\Akko!\Akko!\I swear, if Akko doesn't come back, she'd better hope I don't find her.\Seriously, Akko's a genius at making people run themselves ragged. response:	Sucy!
context: Well, then we'll start looking around the terminal.\Understood. I will start my search from the Leyline.\Got it. Let's go!\Akko!\Akko!\I swear, if Akko doesn't come back, she'd better hope I don't find her.\Seriously, Akko's a genius at making people run themselves ragged.\Sucy! response:	I couldn't find her at the terminal.
context: Understood. I will start my search from the Leyline.\Got it. Let's go!\Akko!\Akko!\I swear, if Akko doesn't come back, she'd better hope I don't find her.\Seriously, Akko's a genius at making people run themselves ragged.\Sucy!\I couldn't find her at the terminal. response:	She's not on this side either. Maybe she's not in the area.
context: Got it. Let's go!\Akko!\Akko!\I swear, if Akko doesn't come back, she'd better hope I don't find her.\Seriously, Akko's a genius at making people run themselves ragged.\Sucy!\I couldn't find her at the terminal.\She's not on this side either. Maybe she's not in the area. response:	We should check out the plaza, just in case.
context: Akko!\Akko!\I swear, if Akko doesn't come back, she'd better hope I don't find her.\Seriously, Akko's a genius at making people run themselves ragged.\Sucy!\I couldn't find her at the terminal.\She's not on this side either. Maybe she's not in the area.\We should check out the plaza, just in case. response:	Come on.
context: Akko!\I swear, if Akko doesn't come back, she'd better hope I don't find her.\Seriously, Akko's a genius at making people run themselves ragged.\Sucy!\I couldn't find her at the terminal.\She's not on this side either. Maybe she's not in the area.\We should check out the plaza, just in case.\Come on. response:	I hate this.
context: I swear, if Akko doesn't come back, she'd better hope I don't find her.\Seriously, Akko's a genius at making people run themselves ragged.\Sucy!\I couldn't find her at the terminal.\She's not on this side either. Maybe she's not in the area.\We should check out the plaza, just in case.\Come on.\I hate this. response:	I don't want Akko to go away!
