context: That far off future was suddenly upon us... response:	And soon, it too will become a passing memory.
context: My heart races like the rhythm of the waves Takanaru kodou wa namima o utau rizumu\As I discover that intangible certainty Katachi no nai tashika na mono mitsukete\Congratulations on your promotion to Prima, Alicia!\Whenever I am blessed with kindness, Yasashisa ni meguriau toki\I can always feel the wind as it sweeps past Fukinukeru kaze wa itsudemo\It fades away in the distance, as I gently close my eyes Haruka tooku tokete yuku sotto me o tojita\If you visit here, come with open arms Kono basho ni otozureta nara ryoute hirogete uketomete\If you visit here, come with open arms Kono basho ni otozureta nara ryoute hirogete uketomete Snow? response:	If you visit here, come with open arms Kono basho ni otozureta nara ryoute hirogete uketomete
context: As I discover that intangible certainty Katachi no nai tashika na mono mitsukete\Congratulations on your promotion to Prima, Alicia!\Whenever I am blessed with kindness, Yasashisa ni meguriau toki\I can always feel the wind as it sweeps past Fukinukeru kaze wa itsudemo\It fades away in the distance, as I gently close my eyes Haruka tooku tokete yuku sotto me o tojita\If you visit here, come with open arms Kono basho ni otozureta nara ryoute hirogete uketomete\If you visit here, come with open arms Kono basho ni otozureta nara ryoute hirogete uketomete Snow?\If you visit here, come with open arms Kono basho ni otozureta nara ryoute hirogete uketomete response:	If you visit here, come with open arms Kono basho ni otozureta nara ryoute hirogete uketomete But it's not the right season yet...
context: Congratulations on your promotion to Prima, Alicia!\Whenever I am blessed with kindness, Yasashisa ni meguriau toki\I can always feel the wind as it sweeps past Fukinukeru kaze wa itsudemo\It fades away in the distance, as I gently close my eyes Haruka tooku tokete yuku sotto me o tojita\If you visit here, come with open arms Kono basho ni otozureta nara ryoute hirogete uketomete\If you visit here, come with open arms Kono basho ni otozureta nara ryoute hirogete uketomete Snow?\If you visit here, come with open arms Kono basho ni otozureta nara ryoute hirogete uketomete\If you visit here, come with open arms Kono basho ni otozureta nara ryoute hirogete uketomete But it's not the right season yet... response:	The blue sky and the starry night will be here to greet you Aoi sora mo hoshizora mo mukaetekureru But it's not the right season yet...
context: Whenever I am blessed with kindness, Yasashisa ni meguriau toki\I can always feel the wind as it sweeps past Fukinukeru kaze wa itsudemo\It fades away in the distance, as I gently close my eyes Haruka tooku tokete yuku sotto me o tojita\If you visit here, come with open arms Kono basho ni otozureta nara ryoute hirogete uketomete\If you visit here, come with open arms Kono basho ni otozureta nara ryoute hirogete uketomete Snow?\If you visit here, come with open arms Kono basho ni otozureta nara ryoute hirogete uketomete\If you visit here, come with open arms Kono basho ni otozureta nara ryoute hirogete uketomete But it's not the right season yet...\The blue sky and the starry night will be here to greet you Aoi sora mo hoshizora mo mukaetekureru But it's not the right season yet... response:	The blue sky and the starry night will be here to greet you Aoi sora mo hoshizora mo mukaetekureru She truly is Snow White, isn't she?
context: I can always feel the wind as it sweeps past Fukinukeru kaze wa itsudemo\It fades away in the distance, as I gently close my eyes Haruka tooku tokete yuku sotto me o tojita\If you visit here, come with open arms Kono basho ni otozureta nara ryoute hirogete uketomete\If you visit here, come with open arms Kono basho ni otozureta nara ryoute hirogete uketomete Snow?\If you visit here, come with open arms Kono basho ni otozureta nara ryoute hirogete uketomete\If you visit here, come with open arms Kono basho ni otozureta nara ryoute hirogete uketomete But it's not the right season yet...\The blue sky and the starry night will be here to greet you Aoi sora mo hoshizora mo mukaetekureru But it's not the right season yet...\The blue sky and the starry night will be here to greet you Aoi sora mo hoshizora mo mukaetekureru She truly is Snow White, isn't she? response:	The blue sky and the starry night will be here to greet you Aoi sora mo hoshizora mo mukaetekureru
context: It fades away in the distance, as I gently close my eyes Haruka tooku tokete yuku sotto me o tojita\If you visit here, come with open arms Kono basho ni otozureta nara ryoute hirogete uketomete\If you visit here, come with open arms Kono basho ni otozureta nara ryoute hirogete uketomete Snow?\If you visit here, come with open arms Kono basho ni otozureta nara ryoute hirogete uketomete\If you visit here, come with open arms Kono basho ni otozureta nara ryoute hirogete uketomete But it's not the right season yet...\The blue sky and the starry night will be here to greet you Aoi sora mo hoshizora mo mukaetekureru But it's not the right season yet...\The blue sky and the starry night will be here to greet you Aoi sora mo hoshizora mo mukaetekureru She truly is Snow White, isn't she?\The blue sky and the starry night will be here to greet you Aoi sora mo hoshizora mo mukaetekureru response:	The blue sky and the starry night will be here to greet you Aoi sora mo hoshizora mo mukaetekureru Alicia.
context: If you visit here, come with open arms Kono basho ni otozureta nara ryoute hirogete uketomete\If you visit here, come with open arms Kono basho ni otozureta nara ryoute hirogete uketomete Snow?\If you visit here, come with open arms Kono basho ni otozureta nara ryoute hirogete uketomete\If you visit here, come with open arms Kono basho ni otozureta nara ryoute hirogete uketomete But it's not the right season yet...\The blue sky and the starry night will be here to greet you Aoi sora mo hoshizora mo mukaetekureru But it's not the right season yet...\The blue sky and the starry night will be here to greet you Aoi sora mo hoshizora mo mukaetekureru She truly is Snow White, isn't she?\The blue sky and the starry night will be here to greet you Aoi sora mo hoshizora mo mukaetekureru\The blue sky and the starry night will be here to greet you Aoi sora mo hoshizora mo mukaetekureru Alicia. response:	The blue sky and the starry night will be here to greet you Aoi sora mo hoshizora mo mukaetekureru
context: If you visit here, come with open arms Kono basho ni otozureta nara ryoute hirogete uketomete Snow?\If you visit here, come with open arms Kono basho ni otozureta nara ryoute hirogete uketomete\If you visit here, come with open arms Kono basho ni otozureta nara ryoute hirogete uketomete But it's not the right season yet...\The blue sky and the starry night will be here to greet you Aoi sora mo hoshizora mo mukaetekureru But it's not the right season yet...\The blue sky and the starry night will be here to greet you Aoi sora mo hoshizora mo mukaetekureru She truly is Snow White, isn't she?\The blue sky and the starry night will be here to greet you Aoi sora mo hoshizora mo mukaetekureru\The blue sky and the starry night will be here to greet you Aoi sora mo hoshizora mo mukaetekureru Alicia.\The blue sky and the starry night will be here to greet you Aoi sora mo hoshizora mo mukaetekureru response:	Thank you... Thank you very much, for everything!
context: If you visit here, come with open arms Kono basho ni otozureta nara ryoute hirogete uketomete\If you visit here, come with open arms Kono basho ni otozureta nara ryoute hirogete uketomete But it's not the right season yet...\The blue sky and the starry night will be here to greet you Aoi sora mo hoshizora mo mukaetekureru But it's not the right season yet...\The blue sky and the starry night will be here to greet you Aoi sora mo hoshizora mo mukaetekureru She truly is Snow White, isn't she?\The blue sky and the starry night will be here to greet you Aoi sora mo hoshizora mo mukaetekureru\The blue sky and the starry night will be here to greet you Aoi sora mo hoshizora mo mukaetekureru Alicia.\The blue sky and the starry night will be here to greet you Aoi sora mo hoshizora mo mukaetekureru\Thank you... Thank you very much, for everything! response:	Of that I'm certain Sou kitto
context: If you visit here, come with open arms Kono basho ni otozureta nara ryoute hirogete uketomete But it's not the right season yet...\The blue sky and the starry night will be here to greet you Aoi sora mo hoshizora mo mukaetekureru But it's not the right season yet...\The blue sky and the starry night will be here to greet you Aoi sora mo hoshizora mo mukaetekureru She truly is Snow White, isn't she?\The blue sky and the starry night will be here to greet you Aoi sora mo hoshizora mo mukaetekureru\The blue sky and the starry night will be here to greet you Aoi sora mo hoshizora mo mukaetekureru Alicia.\The blue sky and the starry night will be here to greet you Aoi sora mo hoshizora mo mukaetekureru\Thank you... Thank you very much, for everything!\Of that I'm certain Sou kitto response:	Good morning, President Aria.
context: The blue sky and the starry night will be here to greet you Aoi sora mo hoshizora mo mukaetekureru But it's not the right season yet...\The blue sky and the starry night will be here to greet you Aoi sora mo hoshizora mo mukaetekureru She truly is Snow White, isn't she?\The blue sky and the starry night will be here to greet you Aoi sora mo hoshizora mo mukaetekureru\The blue sky and the starry night will be here to greet you Aoi sora mo hoshizora mo mukaetekureru Alicia.\The blue sky and the starry night will be here to greet you Aoi sora mo hoshizora mo mukaetekureru\Thank you... Thank you very much, for everything!\Of that I'm certain Sou kitto\Good morning, President Aria. response:	Alicia...
context: The blue sky and the starry night will be here to greet you Aoi sora mo hoshizora mo mukaetekureru She truly is Snow White, isn't she?\The blue sky and the starry night will be here to greet you Aoi sora mo hoshizora mo mukaetekureru\The blue sky and the starry night will be here to greet you Aoi sora mo hoshizora mo mukaetekureru Alicia.\The blue sky and the starry night will be here to greet you Aoi sora mo hoshizora mo mukaetekureru\Thank you... Thank you very much, for everything!\Of that I'm certain Sou kitto\Good morning, President Aria.\Alicia... response:	Oh, it's been a while since I've had hot cocoa with whipped cream!
context: The blue sky and the starry night will be here to greet you Aoi sora mo hoshizora mo mukaetekureru\The blue sky and the starry night will be here to greet you Aoi sora mo hoshizora mo mukaetekureru Alicia.\The blue sky and the starry night will be here to greet you Aoi sora mo hoshizora mo mukaetekureru\Thank you... Thank you very much, for everything!\Of that I'm certain Sou kitto\Good morning, President Aria.\Alicia...\Oh, it's been a while since I've had hot cocoa with whipped cream! response:	I want extra cream on mine!
context: The blue sky and the starry night will be here to greet you Aoi sora mo hoshizora mo mukaetekureru Alicia.\The blue sky and the starry night will be here to greet you Aoi sora mo hoshizora mo mukaetekureru\Thank you... Thank you very much, for everything!\Of that I'm certain Sou kitto\Good morning, President Aria.\Alicia...\Oh, it's been a while since I've had hot cocoa with whipped cream!\I want extra cream on mine! response:	My, my.
context: The blue sky and the starry night will be here to greet you Aoi sora mo hoshizora mo mukaetekureru\Thank you... Thank you very much, for everything!\Of that I'm certain Sou kitto\Good morning, President Aria.\Alicia...\Oh, it's been a while since I've had hot cocoa with whipped cream!\I want extra cream on mine!\My, my. response:	You're really like a selfish little kid, Athena.
context: Thank you... Thank you very much, for everything!\Of that I'm certain Sou kitto\Good morning, President Aria.\Alicia...\Oh, it's been a while since I've had hot cocoa with whipped cream!\I want extra cream on mine!\My, my.\You're really like a selfish little kid, Athena. response:	Okay, here comes the walnut bread!
context: Of that I'm certain Sou kitto\Good morning, President Aria.\Alicia...\Oh, it's been a while since I've had hot cocoa with whipped cream!\I want extra cream on mine!\My, my.\You're really like a selfish little kid, Athena.\Okay, here comes the walnut bread! response:	The cookies are fresh out of the oven, too!
context: Good morning, President Aria.\Alicia...\Oh, it's been a while since I've had hot cocoa with whipped cream!\I want extra cream on mine!\My, my.\You're really like a selfish little kid, Athena.\Okay, here comes the walnut bread!\The cookies are fresh out of the oven, too! response:	Why?
context: Alicia...\Oh, it's been a while since I've had hot cocoa with whipped cream!\I want extra cream on mine!\My, my.\You're really like a selfish little kid, Athena.\Okay, here comes the walnut bread!\The cookies are fresh out of the oven, too!\Why? response:	Everyone's here...
context: Oh, it's been a while since I've had hot cocoa with whipped cream!\I want extra cream on mine!\My, my.\You're really like a selfish little kid, Athena.\Okay, here comes the walnut bread!\The cookies are fresh out of the oven, too!\Why?\Everyone's here... response:	I see.
context: I want extra cream on mine!\My, my.\You're really like a selfish little kid, Athena.\Okay, here comes the walnut bread!\The cookies are fresh out of the oven, too!\Why?\Everyone's here...\I see. response:	This place is still filled with all those fun memories we shared.
context: My, my.\You're really like a selfish little kid, Athena.\Okay, here comes the walnut bread!\The cookies are fresh out of the oven, too!\Why?\Everyone's here...\I see.\This place is still filled with all those fun memories we shared. response:	Opening this shutter is my first task of the day.
context: You're really like a selfish little kid, Athena.\Okay, here comes the walnut bread!\The cookies are fresh out of the oven, too!\Why?\Everyone's here...\I see.\This place is still filled with all those fun memories we shared.\Opening this shutter is my first task of the day. response:	If I open it now, my usual day will begin.
context: Okay, here comes the walnut bread!\The cookies are fresh out of the oven, too!\Why?\Everyone's here...\I see.\This place is still filled with all those fun memories we shared.\Opening this shutter is my first task of the day.\If I open it now, my usual day will begin. response:	This precious mirage will vanish in the morning air.
context: The cookies are fresh out of the oven, too!\Why?\Everyone's here...\I see.\This place is still filled with all those fun memories we shared.\Opening this shutter is my first task of the day.\If I open it now, my usual day will begin.\This precious mirage will vanish in the morning air. response:	But...
context: Why?\Everyone's here...\I see.\This place is still filled with all those fun memories we shared.\Opening this shutter is my first task of the day.\If I open it now, my usual day will begin.\This precious mirage will vanish in the morning air.\But... response:	Because today is a new beginning!
context: Everyone's here...\I see.\This place is still filled with all those fun memories we shared.\Opening this shutter is my first task of the day.\If I open it now, my usual day will begin.\This precious mirage will vanish in the morning air.\But...\Because today is a new beginning! response:	Dear Ai, shall I tell you how everyone is doing?
context: I see.\This place is still filled with all those fun memories we shared.\Opening this shutter is my first task of the day.\If I open it now, my usual day will begin.\This precious mirage will vanish in the morning air.\But...\Because today is a new beginning!\Dear Ai, shall I tell you how everyone is doing? response:	The gentle wind strokes my cheek Hoho o naderu yasashii kaze
context: This place is still filled with all those fun memories we shared.\Opening this shutter is my first task of the day.\If I open it now, my usual day will begin.\This precious mirage will vanish in the morning air.\But...\Because today is a new beginning!\Dear Ai, shall I tell you how everyone is doing?\The gentle wind strokes my cheek Hoho o naderu yasashii kaze response:	The gentle wind strokes my cheek Hoho o naderu yasashii kaze Good morning!
context: Opening this shutter is my first task of the day.\If I open it now, my usual day will begin.\This precious mirage will vanish in the morning air.\But...\Because today is a new beginning!\Dear Ai, shall I tell you how everyone is doing?\The gentle wind strokes my cheek Hoho o naderu yasashii kaze\The gentle wind strokes my cheek Hoho o naderu yasashii kaze Good morning! response:	The gentle wind strokes my cheek Hoho o naderu yasashii kaze Lately, Woody the Sylph has been bringing me freshly laid eggs before he goes to work.
context: If I open it now, my usual day will begin.\This precious mirage will vanish in the morning air.\But...\Because today is a new beginning!\Dear Ai, shall I tell you how everyone is doing?\The gentle wind strokes my cheek Hoho o naderu yasashii kaze\The gentle wind strokes my cheek Hoho o naderu yasashii kaze Good morning!\The gentle wind strokes my cheek Hoho o naderu yasashii kaze Lately, Woody the Sylph has been bringing me freshly laid eggs before he goes to work. response:	The gentle wind strokes my cheek Hoho o naderu yasashii kaze
context: This precious mirage will vanish in the morning air.\But...\Because today is a new beginning!\Dear Ai, shall I tell you how everyone is doing?\The gentle wind strokes my cheek Hoho o naderu yasashii kaze\The gentle wind strokes my cheek Hoho o naderu yasashii kaze Good morning!\The gentle wind strokes my cheek Hoho o naderu yasashii kaze Lately, Woody the Sylph has been bringing me freshly laid eggs before he goes to work.\The gentle wind strokes my cheek Hoho o naderu yasashii kaze response:	The gentle wind strokes my cheek Hoho o naderu yasashii kaze Apparently he's started raising chickens at his home in Ukijima.
context: But...\Because today is a new beginning!\Dear Ai, shall I tell you how everyone is doing?\The gentle wind strokes my cheek Hoho o naderu yasashii kaze\The gentle wind strokes my cheek Hoho o naderu yasashii kaze Good morning!\The gentle wind strokes my cheek Hoho o naderu yasashii kaze Lately, Woody the Sylph has been bringing me freshly laid eggs before he goes to work.\The gentle wind strokes my cheek Hoho o naderu yasashii kaze\The gentle wind strokes my cheek Hoho o naderu yasashii kaze Apparently he's started raising chickens at his home in Ukijima. response:	I sway among the sound of waves Namioto ni yurarete Apparently he's started raising chickens at his home in Ukijima.
context: Because today is a new beginning!\Dear Ai, shall I tell you how everyone is doing?\The gentle wind strokes my cheek Hoho o naderu yasashii kaze\The gentle wind strokes my cheek Hoho o naderu yasashii kaze Good morning!\The gentle wind strokes my cheek Hoho o naderu yasashii kaze Lately, Woody the Sylph has been bringing me freshly laid eggs before he goes to work.\The gentle wind strokes my cheek Hoho o naderu yasashii kaze\The gentle wind strokes my cheek Hoho o naderu yasashii kaze Apparently he's started raising chickens at his home in Ukijima.\I sway among the sound of waves Namioto ni yurarete Apparently he's started raising chickens at his home in Ukijima. response:	I sway among the sound of waves Namioto ni yurarete
context: Dear Ai, shall I tell you how everyone is doing?\The gentle wind strokes my cheek Hoho o naderu yasashii kaze\The gentle wind strokes my cheek Hoho o naderu yasashii kaze Good morning!\The gentle wind strokes my cheek Hoho o naderu yasashii kaze Lately, Woody the Sylph has been bringing me freshly laid eggs before he goes to work.\The gentle wind strokes my cheek Hoho o naderu yasashii kaze\The gentle wind strokes my cheek Hoho o naderu yasashii kaze Apparently he's started raising chickens at his home in Ukijima.\I sway among the sound of waves Namioto ni yurarete Apparently he's started raising chickens at his home in Ukijima.\I sway among the sound of waves Namioto ni yurarete response:	I sway among the sound of waves Namioto ni yurarete Aika?
context: The gentle wind strokes my cheek Hoho o naderu yasashii kaze\The gentle wind strokes my cheek Hoho o naderu yasashii kaze Good morning!\The gentle wind strokes my cheek Hoho o naderu yasashii kaze Lately, Woody the Sylph has been bringing me freshly laid eggs before he goes to work.\The gentle wind strokes my cheek Hoho o naderu yasashii kaze\The gentle wind strokes my cheek Hoho o naderu yasashii kaze Apparently he's started raising chickens at his home in Ukijima.\I sway among the sound of waves Namioto ni yurarete Apparently he's started raising chickens at his home in Ukijima.\I sway among the sound of waves Namioto ni yurarete\I sway among the sound of waves Namioto ni yurarete Aika? response:	I sway among the sound of waves Namioto ni yurarete As for Aika, the young Himeya branch manager, Aika?
context: The gentle wind strokes my cheek Hoho o naderu yasashii kaze Good morning!\The gentle wind strokes my cheek Hoho o naderu yasashii kaze Lately, Woody the Sylph has been bringing me freshly laid eggs before he goes to work.\The gentle wind strokes my cheek Hoho o naderu yasashii kaze\The gentle wind strokes my cheek Hoho o naderu yasashii kaze Apparently he's started raising chickens at his home in Ukijima.\I sway among the sound of waves Namioto ni yurarete Apparently he's started raising chickens at his home in Ukijima.\I sway among the sound of waves Namioto ni yurarete\I sway among the sound of waves Namioto ni yurarete Aika?\I sway among the sound of waves Namioto ni yurarete As for Aika, the young Himeya branch manager, Aika? response:	I sway among the sound of waves Namioto ni yurarete As for Aika, the young Himeya branch manager, Yes, yes!
context: The gentle wind strokes my cheek Hoho o naderu yasashii kaze Lately, Woody the Sylph has been bringing me freshly laid eggs before he goes to work.\The gentle wind strokes my cheek Hoho o naderu yasashii kaze\The gentle wind strokes my cheek Hoho o naderu yasashii kaze Apparently he's started raising chickens at his home in Ukijima.\I sway among the sound of waves Namioto ni yurarete Apparently he's started raising chickens at his home in Ukijima.\I sway among the sound of waves Namioto ni yurarete\I sway among the sound of waves Namioto ni yurarete Aika?\I sway among the sound of waves Namioto ni yurarete As for Aika, the young Himeya branch manager, Aika?\I sway among the sound of waves Namioto ni yurarete As for Aika, the young Himeya branch manager, Yes, yes! response:	I sway among the sound of waves Namioto ni yurarete As for Aika, the young Himeya branch manager,
context: The gentle wind strokes my cheek Hoho o naderu yasashii kaze\The gentle wind strokes my cheek Hoho o naderu yasashii kaze Apparently he's started raising chickens at his home in Ukijima.\I sway among the sound of waves Namioto ni yurarete Apparently he's started raising chickens at his home in Ukijima.\I sway among the sound of waves Namioto ni yurarete\I sway among the sound of waves Namioto ni yurarete Aika?\I sway among the sound of waves Namioto ni yurarete As for Aika, the young Himeya branch manager, Aika?\I sway among the sound of waves Namioto ni yurarete As for Aika, the young Himeya branch manager, Yes, yes!\I sway among the sound of waves Namioto ni yurarete As for Aika, the young Himeya branch manager, response:	I sway among the sound of waves Namioto ni yurarete she's adjusted to her position well, and has become a very dignified supervisor.
context: The gentle wind strokes my cheek Hoho o naderu yasashii kaze Apparently he's started raising chickens at his home in Ukijima.\I sway among the sound of waves Namioto ni yurarete Apparently he's started raising chickens at his home in Ukijima.\I sway among the sound of waves Namioto ni yurarete\I sway among the sound of waves Namioto ni yurarete Aika?\I sway among the sound of waves Namioto ni yurarete As for Aika, the young Himeya branch manager, Aika?\I sway among the sound of waves Namioto ni yurarete As for Aika, the young Himeya branch manager, Yes, yes!\I sway among the sound of waves Namioto ni yurarete As for Aika, the young Himeya branch manager,\I sway among the sound of waves Namioto ni yurarete she's adjusted to her position well, and has become a very dignified supervisor. response:	And I can feel my whole body relax Karada no naka hodoketeyuku yo she's adjusted to her position well, and has become a very dignified supervisor.
context: I sway among the sound of waves Namioto ni yurarete Apparently he's started raising chickens at his home in Ukijima.\I sway among the sound of waves Namioto ni yurarete\I sway among the sound of waves Namioto ni yurarete Aika?\I sway among the sound of waves Namioto ni yurarete As for Aika, the young Himeya branch manager, Aika?\I sway among the sound of waves Namioto ni yurarete As for Aika, the young Himeya branch manager, Yes, yes!\I sway among the sound of waves Namioto ni yurarete As for Aika, the young Himeya branch manager,\I sway among the sound of waves Namioto ni yurarete she's adjusted to her position well, and has become a very dignified supervisor.\And I can feel my whole body relax Karada no naka hodoketeyuku yo she's adjusted to her position well, and has become a very dignified supervisor. response:	And I can feel my whole body relax Karada no naka hodoketeyuku yo But when it's just the two of us...
context: I sway among the sound of waves Namioto ni yurarete\I sway among the sound of waves Namioto ni yurarete Aika?\I sway among the sound of waves Namioto ni yurarete As for Aika, the young Himeya branch manager, Aika?\I sway among the sound of waves Namioto ni yurarete As for Aika, the young Himeya branch manager, Yes, yes!\I sway among the sound of waves Namioto ni yurarete As for Aika, the young Himeya branch manager,\I sway among the sound of waves Namioto ni yurarete she's adjusted to her position well, and has become a very dignified supervisor.\And I can feel my whole body relax Karada no naka hodoketeyuku yo she's adjusted to her position well, and has become a very dignified supervisor.\And I can feel my whole body relax Karada no naka hodoketeyuku yo But when it's just the two of us... response:	And I can feel my whole body relax Karada no naka hodoketeyuku yo ...secretly, she's still the same crybaby.
context: I sway among the sound of waves Namioto ni yurarete Aika?\I sway among the sound of waves Namioto ni yurarete As for Aika, the young Himeya branch manager, Aika?\I sway among the sound of waves Namioto ni yurarete As for Aika, the young Himeya branch manager, Yes, yes!\I sway among the sound of waves Namioto ni yurarete As for Aika, the young Himeya branch manager,\I sway among the sound of waves Namioto ni yurarete she's adjusted to her position well, and has become a very dignified supervisor.\And I can feel my whole body relax Karada no naka hodoketeyuku yo she's adjusted to her position well, and has become a very dignified supervisor.\And I can feel my whole body relax Karada no naka hodoketeyuku yo But when it's just the two of us...\And I can feel my whole body relax Karada no naka hodoketeyuku yo ...secretly, she's still the same crybaby. response:	And I can feel my whole body relax Karada no naka hodoketeyuku yo
context: I sway among the sound of waves Namioto ni yurarete As for Aika, the young Himeya branch manager, Aika?\I sway among the sound of waves Namioto ni yurarete As for Aika, the young Himeya branch manager, Yes, yes!\I sway among the sound of waves Namioto ni yurarete As for Aika, the young Himeya branch manager,\I sway among the sound of waves Namioto ni yurarete she's adjusted to her position well, and has become a very dignified supervisor.\And I can feel my whole body relax Karada no naka hodoketeyuku yo she's adjusted to her position well, and has become a very dignified supervisor.\And I can feel my whole body relax Karada no naka hodoketeyuku yo But when it's just the two of us...\And I can feel my whole body relax Karada no naka hodoketeyuku yo ...secretly, she's still the same crybaby.\And I can feel my whole body relax Karada no naka hodoketeyuku yo response:	I heard Al was promoted recently, so he's no longer an apprentice.
context: I sway among the sound of waves Namioto ni yurarete As for Aika, the young Himeya branch manager, Yes, yes!\I sway among the sound of waves Namioto ni yurarete As for Aika, the young Himeya branch manager,\I sway among the sound of waves Namioto ni yurarete she's adjusted to her position well, and has become a very dignified supervisor.\And I can feel my whole body relax Karada no naka hodoketeyuku yo she's adjusted to her position well, and has become a very dignified supervisor.\And I can feel my whole body relax Karada no naka hodoketeyuku yo But when it's just the two of us...\And I can feel my whole body relax Karada no naka hodoketeyuku yo ...secretly, she's still the same crybaby.\And I can feel my whole body relax Karada no naka hodoketeyuku yo\I heard Al was promoted recently, so he's no longer an apprentice. response:	I close my eyes, and then I can see... Me o tojite mietekuru I heard Al was promoted recently, so he's no longer an apprentice.
context: I sway among the sound of waves Namioto ni yurarete As for Aika, the young Himeya branch manager,\I sway among the sound of waves Namioto ni yurarete she's adjusted to her position well, and has become a very dignified supervisor.\And I can feel my whole body relax Karada no naka hodoketeyuku yo she's adjusted to her position well, and has become a very dignified supervisor.\And I can feel my whole body relax Karada no naka hodoketeyuku yo But when it's just the two of us...\And I can feel my whole body relax Karada no naka hodoketeyuku yo ...secretly, she's still the same crybaby.\And I can feel my whole body relax Karada no naka hodoketeyuku yo\I heard Al was promoted recently, so he's no longer an apprentice.\I close my eyes, and then I can see... Me o tojite mietekuru I heard Al was promoted recently, so he's no longer an apprentice. response:	I close my eyes, and then I can see... Me o tojite mietekuru Why yes, thank you.
context: I sway among the sound of waves Namioto ni yurarete she's adjusted to her position well, and has become a very dignified supervisor.\And I can feel my whole body relax Karada no naka hodoketeyuku yo she's adjusted to her position well, and has become a very dignified supervisor.\And I can feel my whole body relax Karada no naka hodoketeyuku yo But when it's just the two of us...\And I can feel my whole body relax Karada no naka hodoketeyuku yo ...secretly, she's still the same crybaby.\And I can feel my whole body relax Karada no naka hodoketeyuku yo\I heard Al was promoted recently, so he's no longer an apprentice.\I close my eyes, and then I can see... Me o tojite mietekuru I heard Al was promoted recently, so he's no longer an apprentice.\I close my eyes, and then I can see... Me o tojite mietekuru Why yes, thank you. response:	I close my eyes, and then I can see... Me o tojite mietekuru
context: And I can feel my whole body relax Karada no naka hodoketeyuku yo she's adjusted to her position well, and has become a very dignified supervisor.\And I can feel my whole body relax Karada no naka hodoketeyuku yo But when it's just the two of us...\And I can feel my whole body relax Karada no naka hodoketeyuku yo ...secretly, she's still the same crybaby.\And I can feel my whole body relax Karada no naka hodoketeyuku yo\I heard Al was promoted recently, so he's no longer an apprentice.\I close my eyes, and then I can see... Me o tojite mietekuru I heard Al was promoted recently, so he's no longer an apprentice.\I close my eyes, and then I can see... Me o tojite mietekuru Why yes, thank you.\I close my eyes, and then I can see... Me o tojite mietekuru response:	I close my eyes, and then I can see... Me o tojite mietekuru I haven't seen him for a while, but Aika keeps me updated constantly.
context: And I can feel my whole body relax Karada no naka hodoketeyuku yo But when it's just the two of us...\And I can feel my whole body relax Karada no naka hodoketeyuku yo ...secretly, she's still the same crybaby.\And I can feel my whole body relax Karada no naka hodoketeyuku yo\I heard Al was promoted recently, so he's no longer an apprentice.\I close my eyes, and then I can see... Me o tojite mietekuru I heard Al was promoted recently, so he's no longer an apprentice.\I close my eyes, and then I can see... Me o tojite mietekuru Why yes, thank you.\I close my eyes, and then I can see... Me o tojite mietekuru\I close my eyes, and then I can see... Me o tojite mietekuru I haven't seen him for a while, but Aika keeps me updated constantly. response:	Come, let's paddle away Saa, kogidasou Akatsuki was also promoted.
context: And I can feel my whole body relax Karada no naka hodoketeyuku yo ...secretly, she's still the same crybaby.\And I can feel my whole body relax Karada no naka hodoketeyuku yo\I heard Al was promoted recently, so he's no longer an apprentice.\I close my eyes, and then I can see... Me o tojite mietekuru I heard Al was promoted recently, so he's no longer an apprentice.\I close my eyes, and then I can see... Me o tojite mietekuru Why yes, thank you.\I close my eyes, and then I can see... Me o tojite mietekuru\I close my eyes, and then I can see... Me o tojite mietekuru I haven't seen him for a while, but Aika keeps me updated constantly.\Come, let's paddle away Saa, kogidasou Akatsuki was also promoted. response:	Come, let's paddle away Saa, kogidasou
context: And I can feel my whole body relax Karada no naka hodoketeyuku yo\I heard Al was promoted recently, so he's no longer an apprentice.\I close my eyes, and then I can see... Me o tojite mietekuru I heard Al was promoted recently, so he's no longer an apprentice.\I close my eyes, and then I can see... Me o tojite mietekuru Why yes, thank you.\I close my eyes, and then I can see... Me o tojite mietekuru\I close my eyes, and then I can see... Me o tojite mietekuru I haven't seen him for a while, but Aika keeps me updated constantly.\Come, let's paddle away Saa, kogidasou Akatsuki was also promoted.\Come, let's paddle away Saa, kogidasou response:	Come, let's paddle away Saa, kogidasou He often appears out of nowhere and surprises me at the office.
context: I heard Al was promoted recently, so he's no longer an apprentice.\I close my eyes, and then I can see... Me o tojite mietekuru I heard Al was promoted recently, so he's no longer an apprentice.\I close my eyes, and then I can see... Me o tojite mietekuru Why yes, thank you.\I close my eyes, and then I can see... Me o tojite mietekuru\I close my eyes, and then I can see... Me o tojite mietekuru I haven't seen him for a while, but Aika keeps me updated constantly.\Come, let's paddle away Saa, kogidasou Akatsuki was also promoted.\Come, let's paddle away Saa, kogidasou\Come, let's paddle away Saa, kogidasou He often appears out of nowhere and surprises me at the office. response:	To the shining waves Hikaru nami e He often appears out of nowhere and surprises me at the office.
