context: <Don't catch a cold!> response:	<Hachoo!>
context: Shion?\As long as you have it, we will meet again.\Get out of the lab.\Bella knows the escape route.\Bella?\What do you mean, Shion?\What's going on here?\They're not after me? response:	Don't ask questions.
context: As long as you have it, we will meet again.\Get out of the lab.\Bella knows the escape route.\Bella?\What do you mean, Shion?\What's going on here?\They're not after me?\Don't ask questions. response:	Goodbye, Suou.
context: Get out of the lab.\Bella knows the escape route.\Bella?\What do you mean, Shion?\What's going on here?\They're not after me?\Don't ask questions.\Goodbye, Suou. response:	They've raided the house.
context: Bella knows the escape route.\Bella?\What do you mean, Shion?\What's going on here?\They're not after me?\Don't ask questions.\Goodbye, Suou.\They've raided the house. response:	I'm escaping.
context: Bella?\What do you mean, Shion?\What's going on here?\They're not after me?\Don't ask questions.\Goodbye, Suou.\They've raided the house.\I'm escaping. response:	Roger that.
context: What do you mean, Shion?\What's going on here?\They're not after me?\Don't ask questions.\Goodbye, Suou.\They've raided the house.\I'm escaping.\Roger that. response:	Get it back as planned.
context: What's going on here?\They're not after me?\Don't ask questions.\Goodbye, Suou.\They've raided the house.\I'm escaping.\Roger that.\Get it back as planned. response:	The priority order is Shion, the professor, and the data.
context: They're not after me?\Don't ask questions.\Goodbye, Suou.\They've raided the house.\I'm escaping.\Roger that.\Get it back as planned.\The priority order is Shion, the professor, and the data. response:	Gotcha.
context: Don't ask questions.\Goodbye, Suou.\They've raided the house.\I'm escaping.\Roger that.\Get it back as planned.\The priority order is Shion, the professor, and the data.\Gotcha. response:	I've lost the primary target.
context: Goodbye, Suou.\They've raided the house.\I'm escaping.\Roger that.\Get it back as planned.\The priority order is Shion, the professor, and the data.\Gotcha.\I've lost the primary target. response:	Looks like he's escaped.
context: They've raided the house.\I'm escaping.\Roger that.\Get it back as planned.\The priority order is Shion, the professor, and the data.\Gotcha.\I've lost the primary target.\Looks like he's escaped. response:	July, do you know where he is?
context: I'm escaping.\Roger that.\Get it back as planned.\The priority order is Shion, the professor, and the data.\Gotcha.\I've lost the primary target.\Looks like he's escaped.\July, do you know where he is? response:	No.
context: Roger that.\Get it back as planned.\The priority order is Shion, the professor, and the data.\Gotcha.\I've lost the primary target.\Looks like he's escaped.\July, do you know where he is?\No. response:	There's no glass in that room.
context: Get it back as planned.\The priority order is Shion, the professor, and the data.\Gotcha.\I've lost the primary target.\Looks like he's escaped.\July, do you know where he is?\No.\There's no glass in that room. response:	Okay.
context: The priority order is Shion, the professor, and the data.\Gotcha.\I've lost the primary target.\Looks like he's escaped.\July, do you know where he is?\No.\There's no glass in that room.\Okay. response:	What about the professor's room?
context: Gotcha.\I've lost the primary target.\Looks like he's escaped.\July, do you know where he is?\No.\There's no glass in that room.\Okay.\What about the professor's room? response:	Someone's there.
context: I've lost the primary target.\Looks like he's escaped.\July, do you know where he is?\No.\There's no glass in that room.\Okay.\What about the professor's room?\Someone's there. response:	Is it Shion? Or the FSB?
context: Looks like he's escaped.\July, do you know where he is?\No.\There's no glass in that room.\Okay.\What about the professor's room?\Someone's there.\Is it Shion? Or the FSB? response:	Neither.
context: July, do you know where he is?\No.\There's no glass in that room.\Okay.\What about the professor's room?\Someone's there.\Is it Shion? Or the FSB?\Neither. response:	An adult.
context: No.\There's no glass in that room.\Okay.\What about the professor's room?\Someone's there.\Is it Shion? Or the FSB?\Neither.\An adult. response:	Asian.
context: There's no glass in that room.\Okay.\What about the professor's room?\Someone's there.\Is it Shion? Or the FSB?\Neither.\An adult.\Asian. response:	He's wearing a mask.
context: Okay.\What about the professor's room?\Someone's there.\Is it Shion? Or the FSB?\Neither.\An adult.\Asian.\He's wearing a mask. response:	A mask?
context: What about the professor's room?\Someone's there.\Is it Shion? Or the FSB?\Neither.\An adult.\Asian.\He's wearing a mask.\A mask? response:	April, we're being tapped.
context: Someone's there.\Is it Shion? Or the FSB?\Neither.\An adult.\Asian.\He's wearing a mask.\A mask?\April, we're being tapped. response:	Cease all radio communication.
context: Is it Shion? Or the FSB?\Neither.\An adult.\Asian.\He's wearing a mask.\A mask?\April, we're being tapped.\Cease all radio communication. response:	We'll go with plan C.
context: Neither.\An adult.\Asian.\He's wearing a mask.\A mask?\April, we're being tapped.\Cease all radio communication.\We'll go with plan C. response:	Who are you?
context: An adult.\Asian.\He's wearing a mask.\A mask?\April, we're being tapped.\Cease all radio communication.\We'll go with plan C.\Who are you? response:	Why?
context: Asian.\He's wearing a mask.\A mask?\April, we're being tapped.\Cease all radio communication.\We'll go with plan C.\Who are you?\Why? response:	I ask the questions here.
context: He's wearing a mask.\A mask?\April, we're being tapped.\Cease all radio communication.\We'll go with plan C.\Who are you?\Why?\I ask the questions here. response:	Where's the meteor core?
context: A mask?\April, we're being tapped.\Cease all radio communication.\We'll go with plan C.\Who are you?\Why?\I ask the questions here.\Where's the meteor core? response:	Shion?
context: April, we're being tapped.\Cease all radio communication.\We'll go with plan C.\Who are you?\Why?\I ask the questions here.\Where's the meteor core?\Shion? response:	Where is he?
context: Cease all radio communication.\We'll go with plan C.\Who are you?\Why?\I ask the questions here.\Where's the meteor core?\Shion?\Where is he? response:	He's gone.
context: We'll go with plan C.\Who are you?\Why?\I ask the questions here.\Where's the meteor core?\Shion?\Where is he?\He's gone. response:	Then you are of no use to me.
context: Who are you?\Why?\I ask the questions here.\Where's the meteor core?\Shion?\Where is he?\He's gone.\Then you are of no use to me. response:	Professor!
context: Why?\I ask the questions here.\Where's the meteor core?\Shion?\Where is he?\He's gone.\Then you are of no use to me.\Professor! response:	Shit! He's dead.
context: I ask the questions here.\Where's the meteor core?\Shion?\Where is he?\He's gone.\Then you are of no use to me.\Professor!\Shit! He's dead. response:	He isn't wounded.
context: Where's the meteor core?\Shion?\Where is he?\He's gone.\Then you are of no use to me.\Professor!\Shit! He's dead.\He isn't wounded. response:	There's no vomit or any other traces.
context: Shion?\Where is he?\He's gone.\Then you are of no use to me.\Professor!\Shit! He's dead.\He isn't wounded.\There's no vomit or any other traces. response:	It can't be...
context: Where is he?\He's gone.\Then you are of no use to me.\Professor!\Shit! He's dead.\He isn't wounded.\There's no vomit or any other traces.\It can't be... response:	I'm April from MI6.
context: He's gone.\Then you are of no use to me.\Professor!\Shit! He's dead.\He isn't wounded.\There's no vomit or any other traces.\It can't be...\I'm April from MI6. response:	I'm sure you've heard of it.
context: Then you are of no use to me.\Professor!\Shit! He's dead.\He isn't wounded.\There's no vomit or any other traces.\It can't be...\I'm April from MI6.\I'm sure you've heard of it. response:	What happened, Shion? Why is he dead?
context: Professor!\Shit! He's dead.\He isn't wounded.\There's no vomit or any other traces.\It can't be...\I'm April from MI6.\I'm sure you've heard of it.\What happened, Shion? Why is he dead? response:	Bella.
context: Shit! He's dead.\He isn't wounded.\There's no vomit or any other traces.\It can't be...\I'm April from MI6.\I'm sure you've heard of it.\What happened, Shion? Why is he dead?\Bella. response:	Suou?
context: He isn't wounded.\There's no vomit or any other traces.\It can't be...\I'm April from MI6.\I'm sure you've heard of it.\What happened, Shion? Why is he dead?\Bella.\Suou? response:	Where is he? Where's Shion?!
context: There's no vomit or any other traces.\It can't be...\I'm April from MI6.\I'm sure you've heard of it.\What happened, Shion? Why is he dead?\Bella.\Suou?\Where is he? Where's Shion?! response:	I don't know.
context: It can't be...\I'm April from MI6.\I'm sure you've heard of it.\What happened, Shion? Why is he dead?\Bella.\Suou?\Where is he? Where's Shion?!\I don't know. response:	Come with me.
context: I'm April from MI6.\I'm sure you've heard of it.\What happened, Shion? Why is he dead?\Bella.\Suou?\Where is he? Where's Shion?!\I don't know.\Come with me. response:	Stop right there.
context: I'm sure you've heard of it.\What happened, Shion? Why is he dead?\Bella.\Suou?\Where is he? Where's Shion?!\I don't know.\Come with me.\Stop right there. response:	You'll have to come with me.
context: What happened, Shion? Why is he dead?\Bella.\Suou?\Where is he? Where's Shion?!\I don't know.\Come with me.\Stop right there.\You'll have to come with me. response:	If you're a good girl, I'll give this to you.
context: Bella.\Suou?\Where is he? Where's Shion?!\I don't know.\Come with me.\Stop right there.\You'll have to come with me.\If you're a good girl, I'll give this to you. response:	Oww!
context: Suou?\Where is he? Where's Shion?!\I don't know.\Come with me.\Stop right there.\You'll have to come with me.\If you're a good girl, I'll give this to you.\Oww! response:	Stop it... I don't want to eat so many hamburgers to remunerate.
context: Where is he? Where's Shion?!\I don't know.\Come with me.\Stop right there.\You'll have to come with me.\If you're a good girl, I'll give this to you.\Oww!\Stop it... I don't want to eat so many hamburgers to remunerate. response:	It's pointless.
context: I don't know.\Come with me.\Stop right there.\You'll have to come with me.\If you're a good girl, I'll give this to you.\Oww!\Stop it... I don't want to eat so many hamburgers to remunerate.\It's pointless. response:	Damn, I'm gonna wake up with muscle ache tomorrow morning.
context: Come with me.\Stop right there.\You'll have to come with me.\If you're a good girl, I'll give this to you.\Oww!\Stop it... I don't want to eat so many hamburgers to remunerate.\It's pointless.\Damn, I'm gonna wake up with muscle ache tomorrow morning. response:	So you're a contractor...
context: Stop right there.\You'll have to come with me.\If you're a good girl, I'll give this to you.\Oww!\Stop it... I don't want to eat so many hamburgers to remunerate.\It's pointless.\Damn, I'm gonna wake up with muscle ache tomorrow morning.\So you're a contractor... response:	Such a pain...
context: You'll have to come with me.\If you're a good girl, I'll give this to you.\Oww!\Stop it... I don't want to eat so many hamburgers to remunerate.\It's pointless.\Damn, I'm gonna wake up with muscle ache tomorrow morning.\So you're a contractor...\Such a pain... response:	Sorry about that.
context: If you're a good girl, I'll give this to you.\Oww!\Stop it... I don't want to eat so many hamburgers to remunerate.\It's pointless.\Damn, I'm gonna wake up with muscle ache tomorrow morning.\So you're a contractor...\Such a pain...\Sorry about that. response:	You!
context: Oww!\Stop it... I don't want to eat so many hamburgers to remunerate.\It's pointless.\Damn, I'm gonna wake up with muscle ache tomorrow morning.\So you're a contractor...\Such a pain...\Sorry about that.\You! response:	Kureteku yuubae ni senaka osarete
context: Stop it... I don't want to eat so many hamburgers to remunerate.\It's pointless.\Damn, I'm gonna wake up with muscle ache tomorrow morning.\So you're a contractor...\Such a pain...\Sorry about that.\You!\Kureteku yuubae ni senaka osarete response:	My back is pressed by the darkening glow of dusk
context: It's pointless.\Damn, I'm gonna wake up with muscle ache tomorrow morning.\So you're a contractor...\Such a pain...\Sorry about that.\You!\Kureteku yuubae ni senaka osarete\My back is pressed by the darkening glow of dusk response:	Arukidasu kage ga shimesu hou e
context: Damn, I'm gonna wake up with muscle ache tomorrow morning.\So you're a contractor...\Such a pain...\Sorry about that.\You!\Kureteku yuubae ni senaka osarete\My back is pressed by the darkening glow of dusk\Arukidasu kage ga shimesu hou e response:	I start walking toward where my shadow points
context: So you're a contractor...\Such a pain...\Sorry about that.\You!\Kureteku yuubae ni senaka osarete\My back is pressed by the darkening glow of dusk\Arukidasu kage ga shimesu hou e\I start walking toward where my shadow points response:	Taenai ikutsu mo no deai to wakare o
context: Such a pain...\Sorry about that.\You!\Kureteku yuubae ni senaka osarete\My back is pressed by the darkening glow of dusk\Arukidasu kage ga shimesu hou e\I start walking toward where my shadow points\Taenai ikutsu mo no deai to wakare o response:	Repeating the many, ceaseless encounters and partings
context: Sorry about that.\You!\Kureteku yuubae ni senaka osarete\My back is pressed by the darkening glow of dusk\Arukidasu kage ga shimesu hou e\I start walking toward where my shadow points\Taenai ikutsu mo no deai to wakare o\Repeating the many, ceaseless encounters and partings response:	Kurikaeshi doko e mukau no ka
context: You!\Kureteku yuubae ni senaka osarete\My back is pressed by the darkening glow of dusk\Arukidasu kage ga shimesu hou e\I start walking toward where my shadow points\Taenai ikutsu mo no deai to wakare o\Repeating the many, ceaseless encounters and partings\Kurikaeshi doko e mukau no ka response:	Where do I head to?
context: Kureteku yuubae ni senaka osarete\My back is pressed by the darkening glow of dusk\Arukidasu kage ga shimesu hou e\I start walking toward where my shadow points\Taenai ikutsu mo no deai to wakare o\Repeating the many, ceaseless encounters and partings\Kurikaeshi doko e mukau no ka\Where do I head to? response:	Hito wa dare mo mayoinagara
context: My back is pressed by the darkening glow of dusk\Arukidasu kage ga shimesu hou e\I start walking toward where my shadow points\Taenai ikutsu mo no deai to wakare o\Repeating the many, ceaseless encounters and partings\Kurikaeshi doko e mukau no ka\Where do I head to?\Hito wa dare mo mayoinagara response:	For all people, while they are lost,
context: Arukidasu kage ga shimesu hou e\I start walking toward where my shadow points\Taenai ikutsu mo no deai to wakare o\Repeating the many, ceaseless encounters and partings\Kurikaeshi doko e mukau no ka\Where do I head to?\Hito wa dare mo mayoinagara\For all people, while they are lost, response:	tsumi to iu na no sadame o seotte
context: I start walking toward where my shadow points\Taenai ikutsu mo no deai to wakare o\Repeating the many, ceaseless encounters and partings\Kurikaeshi doko e mukau no ka\Where do I head to?\Hito wa dare mo mayoinagara\For all people, while they are lost,\tsumi to iu na no sadame o seotte response:	they bear the fate known as sin
context: Taenai ikutsu mo no deai to wakare o\Repeating the many, ceaseless encounters and partings\Kurikaeshi doko e mukau no ka\Where do I head to?\Hito wa dare mo mayoinagara\For all people, while they are lost,\tsumi to iu na no sadame o seotte\they bear the fate known as sin response:	Sore de mo nao ikiru imi o shiru darou
context: Repeating the many, ceaseless encounters and partings\Kurikaeshi doko e mukau no ka\Where do I head to?\Hito wa dare mo mayoinagara\For all people, while they are lost,\tsumi to iu na no sadame o seotte\they bear the fate known as sin\Sore de mo nao ikiru imi o shiru darou response:	Nevertheless, I'll still learn of the meaning to live, right?
context: Kurikaeshi doko e mukau no ka\Where do I head to?\Hito wa dare mo mayoinagara\For all people, while they are lost,\tsumi to iu na no sadame o seotte\they bear the fate known as sin\Sore de mo nao ikiru imi o shiru darou\Nevertheless, I'll still learn of the meaning to live, right? response:	Bokura wa sou Day by Day
context: Where do I head to?\Hito wa dare mo mayoinagara\For all people, while they are lost,\tsumi to iu na no sadame o seotte\they bear the fate known as sin\Sore de mo nao ikiru imi o shiru darou\Nevertheless, I'll still learn of the meaning to live, right?\Bokura wa sou Day by Day response:	That's right, Day by Day,
context: Hito wa dare mo mayoinagara\For all people, while they are lost,\tsumi to iu na no sadame o seotte\they bear the fate known as sin\Sore de mo nao ikiru imi o shiru darou\Nevertheless, I'll still learn of the meaning to live, right?\Bokura wa sou Day by Day\That's right, Day by Day, response:	ashita e tsuzuku michi no tochuu de
context: For all people, while they are lost,\tsumi to iu na no sadame o seotte\they bear the fate known as sin\Sore de mo nao ikiru imi o shiru darou\Nevertheless, I'll still learn of the meaning to live, right?\Bokura wa sou Day by Day\That's right, Day by Day,\ashita e tsuzuku michi no tochuu de response:	we're midway on the road leading to tomorrow
context: tsumi to iu na no sadame o seotte\they bear the fate known as sin\Sore de mo nao ikiru imi o shiru darou\Nevertheless, I'll still learn of the meaning to live, right?\Bokura wa sou Day by Day\That's right, Day by Day,\ashita e tsuzuku michi no tochuu de\we're midway on the road leading to tomorrow response:	Now Say It Again kimi to futari no mama
context: they bear the fate known as sin\Sore de mo nao ikiru imi o shiru darou\Nevertheless, I'll still learn of the meaning to live, right?\Bokura wa sou Day by Day\That's right, Day by Day,\ashita e tsuzuku michi no tochuu de\we're midway on the road leading to tomorrow\Now Say It Again kimi to futari no mama response:	Now Say It Again, though it'd be great if
context: Sore de mo nao ikiru imi o shiru darou\Nevertheless, I'll still learn of the meaning to live, right?\Bokura wa sou Day by Day\That's right, Day by Day,\ashita e tsuzuku michi no tochuu de\we're midway on the road leading to tomorrow\Now Say It Again kimi to futari no mama\Now Say It Again, though it'd be great if response:	irareta nara ii no ni naa...
context: Nevertheless, I'll still learn of the meaning to live, right?\Bokura wa sou Day by Day\That's right, Day by Day,\ashita e tsuzuku michi no tochuu de\we're midway on the road leading to tomorrow\Now Say It Again kimi to futari no mama\Now Say It Again, though it'd be great if\irareta nara ii no ni naa... response:	I could remain together with you...
context: Bokura wa sou Day by Day\That's right, Day by Day,\ashita e tsuzuku michi no tochuu de\we're midway on the road leading to tomorrow\Now Say It Again kimi to futari no mama\Now Say It Again, though it'd be great if\irareta nara ii no ni naa...\I could remain together with you... response:	BK201...
context: That's right, Day by Day,\ashita e tsuzuku michi no tochuu de\we're midway on the road leading to tomorrow\Now Say It Again kimi to futari no mama\Now Say It Again, though it'd be great if\irareta nara ii no ni naa...\I could remain together with you...\BK201... response:	A star falls from the fabricated sky.
context: ashita e tsuzuku michi no tochuu de\we're midway on the road leading to tomorrow\Now Say It Again kimi to futari no mama\Now Say It Again, though it'd be great if\irareta nara ii no ni naa...\I could remain together with you...\BK201...\A star falls from the fabricated sky. response:	A life disappears after an ephemeral glitter.
context: we're midway on the road leading to tomorrow\Now Say It Again kimi to futari no mama\Now Say It Again, though it'd be great if\irareta nara ii no ni naa...\I could remain together with you...\BK201...\A star falls from the fabricated sky.\A life disappears after an ephemeral glitter. response:	The red flames erase the bonds that have formed,
context: Now Say It Again kimi to futari no mama\Now Say It Again, though it'd be great if\irareta nara ii no ni naa...\I could remain together with you...\BK201...\A star falls from the fabricated sky.\A life disappears after an ephemeral glitter.\The red flames erase the bonds that have formed, response:	and burns everything to ash.
context: Now Say It Again, though it'd be great if\irareta nara ii no ni naa...\I could remain together with you...\BK201...\A star falls from the fabricated sky.\A life disappears after an ephemeral glitter.\The red flames erase the bonds that have formed,\and burns everything to ash. response:	A cold blade pierces the heart,
context: irareta nara ii no ni naa...\I could remain together with you...\BK201...\A star falls from the fabricated sky.\A life disappears after an ephemeral glitter.\The red flames erase the bonds that have formed,\and burns everything to ash.\A cold blade pierces the heart, response:	and the girl roams through the freezing city.
context: I could remain together with you...\BK201...\A star falls from the fabricated sky.\A life disappears after an ephemeral glitter.\The red flames erase the bonds that have formed,\and burns everything to ash.\A cold blade pierces the heart,\and the girl roams through the freezing city. response:	A fallen star never regains its radiance.
context: BK201...\A star falls from the fabricated sky.\A life disappears after an ephemeral glitter.\The red flames erase the bonds that have formed,\and burns everything to ash.\A cold blade pierces the heart,\and the girl roams through the freezing city.\A fallen star never regains its radiance. response:	It only fades further.
context: A star falls from the fabricated sky.\A life disappears after an ephemeral glitter.\The red flames erase the bonds that have formed,\and burns everything to ash.\A cold blade pierces the heart,\and the girl roams through the freezing city.\A fallen star never regains its radiance.\It only fades further. response:	And then... Another star falls.
