context: We're about to enter Tokyo airspace. Three minutes until the drop point. response:	Open the hatch.
context: Shu?\I'm sorry, Sir!\The member of the Undertakers we had in custody has escaped!\Can I assume Arisa's in her dorm?\Well, she normally is. But if you're going to make a move, tell me first!\To fool your enemies, you must first fool your allies.\What's the point of tricking us?!\Things are a mess here thanks to you! response:	Bear with me, Aya!
context: I'm sorry, Sir!\The member of the Undertakers we had in custody has escaped!\Can I assume Arisa's in her dorm?\Well, she normally is. But if you're going to make a move, tell me first!\To fool your enemies, you must first fool your allies.\What's the point of tricking us?!\Things are a mess here thanks to you!\Bear with me, Aya! response:	If you get carried away and rush out there now, you'll just get captured by the Secret Service.
context: The member of the Undertakers we had in custody has escaped!\Can I assume Arisa's in her dorm?\Well, she normally is. But if you're going to make a move, tell me first!\To fool your enemies, you must first fool your allies.\What's the point of tricking us?!\Things are a mess here thanks to you!\Bear with me, Aya!\If you get carried away and rush out there now, you'll just get captured by the Secret Service. response:	Samukawa to the Secret Service.
context: Can I assume Arisa's in her dorm?\Well, she normally is. But if you're going to make a move, tell me first!\To fool your enemies, you must first fool your allies.\What's the point of tricking us?!\Things are a mess here thanks to you!\Bear with me, Aya!\If you get carried away and rush out there now, you'll just get captured by the Secret Service.\Samukawa to the Secret Service. response:	The prisoner's on the loose. Capture him ASAP.
context: Well, she normally is. But if you're going to make a move, tell me first!\To fool your enemies, you must first fool your allies.\What's the point of tricking us?!\Things are a mess here thanks to you!\Bear with me, Aya!\If you get carried away and rush out there now, you'll just get captured by the Secret Service.\Samukawa to the Secret Service.\The prisoner's on the loose. Capture him ASAP. response:	You two search the area around Schoolhouse 2.
context: To fool your enemies, you must first fool your allies.\What's the point of tricking us?!\Things are a mess here thanks to you!\Bear with me, Aya!\If you get carried away and rush out there now, you'll just get captured by the Secret Service.\Samukawa to the Secret Service.\The prisoner's on the loose. Capture him ASAP.\You two search the area around Schoolhouse 2. response:	Yes, Sir!
context: What's the point of tricking us?!\Things are a mess here thanks to you!\Bear with me, Aya!\If you get carried away and rush out there now, you'll just get captured by the Secret Service.\Samukawa to the Secret Service.\The prisoner's on the loose. Capture him ASAP.\You two search the area around Schoolhouse 2.\Yes, Sir! response:	Inori, you look for Kuhouin. Argo might make contact with her.
context: Things are a mess here thanks to you!\Bear with me, Aya!\If you get carried away and rush out there now, you'll just get captured by the Secret Service.\Samukawa to the Secret Service.\The prisoner's on the loose. Capture him ASAP.\You two search the area around Schoolhouse 2.\Yes, Sir!\Inori, you look for Kuhouin. Argo might make contact with her. response:	You... You joined the Secret Service?
context: Bear with me, Aya!\If you get carried away and rush out there now, you'll just get captured by the Secret Service.\Samukawa to the Secret Service.\The prisoner's on the loose. Capture him ASAP.\You two search the area around Schoolhouse 2.\Yes, Sir!\Inori, you look for Kuhouin. Argo might make contact with her.\You... You joined the Secret Service? response:	He ran toward the gym!
context: If you get carried away and rush out there now, you'll just get captured by the Secret Service.\Samukawa to the Secret Service.\The prisoner's on the loose. Capture him ASAP.\You two search the area around Schoolhouse 2.\Yes, Sir!\Inori, you look for Kuhouin. Argo might make contact with her.\You... You joined the Secret Service?\He ran toward the gym! response:	Follow me!
context: Samukawa to the Secret Service.\The prisoner's on the loose. Capture him ASAP.\You two search the area around Schoolhouse 2.\Yes, Sir!\Inori, you look for Kuhouin. Argo might make contact with her.\You... You joined the Secret Service?\He ran toward the gym!\Follow me! response:	Yes, Sir!
context: The prisoner's on the loose. Capture him ASAP.\You two search the area around Schoolhouse 2.\Yes, Sir!\Inori, you look for Kuhouin. Argo might make contact with her.\You... You joined the Secret Service?\He ran toward the gym!\Follow me!\Yes, Sir! response:	That's far enough, Argo!
context: You two search the area around Schoolhouse 2.\Yes, Sir!\Inori, you look for Kuhouin. Argo might make contact with her.\You... You joined the Secret Service?\He ran toward the gym!\Follow me!\Yes, Sir!\That's far enough, Argo! response:	You're a cornered rat.
context: Yes, Sir!\Inori, you look for Kuhouin. Argo might make contact with her.\You... You joined the Secret Service?\He ran toward the gym!\Follow me!\Yes, Sir!\That's far enough, Argo!\You're a cornered rat. response:	Give up and surrender.
context: Inori, you look for Kuhouin. Argo might make contact with her.\You... You joined the Secret Service?\He ran toward the gym!\Follow me!\Yes, Sir!\That's far enough, Argo!\You're a cornered rat.\Give up and surrender. response:	Well, well. For a second there I thought you had guys showing yourself,
context: You... You joined the Secret Service?\He ran toward the gym!\Follow me!\Yes, Sir!\That's far enough, Argo!\You're a cornered rat.\Give up and surrender.\Well, well. For a second there I thought you had guys showing yourself, response:	but you brought Voids for insurance.
context: He ran toward the gym!\Follow me!\Yes, Sir!\That's far enough, Argo!\You're a cornered rat.\Give up and surrender.\Well, well. For a second there I thought you had guys showing yourself,\but you brought Voids for insurance. response:	Maybe you think wearing that thing makes you like Gai,
context: Follow me!\Yes, Sir!\That's far enough, Argo!\You're a cornered rat.\Give up and surrender.\Well, well. For a second there I thought you had guys showing yourself,\but you brought Voids for insurance.\Maybe you think wearing that thing makes you like Gai, response:	but you're not even close, you poser!
context: Yes, Sir!\That's far enough, Argo!\You're a cornered rat.\Give up and surrender.\Well, well. For a second there I thought you had guys showing yourself,\but you brought Voids for insurance.\Maybe you think wearing that thing makes you like Gai,\but you're not even close, you poser! response:	We'll fight one-on-one. If you lose, your little King act...
context: That's far enough, Argo!\You're a cornered rat.\Give up and surrender.\Well, well. For a second there I thought you had guys showing yourself,\but you brought Voids for insurance.\Maybe you think wearing that thing makes you like Gai,\but you're not even close, you poser!\We'll fight one-on-one. If you lose, your little King act... response:	ends here and now!
context: You're a cornered rat.\Give up and surrender.\Well, well. For a second there I thought you had guys showing yourself,\but you brought Voids for insurance.\Maybe you think wearing that thing makes you like Gai,\but you're not even close, you poser!\We'll fight one-on-one. If you lose, your little King act...\ends here and now! response:	Too bad, Void Prince!
context: Give up and surrender.\Well, well. For a second there I thought you had guys showing yourself,\but you brought Voids for insurance.\Maybe you think wearing that thing makes you like Gai,\but you're not even close, you poser!\We'll fight one-on-one. If you lose, your little King act...\ends here and now!\Too bad, Void Prince! response:	Argo!
context: Well, well. For a second there I thought you had guys showing yourself,\but you brought Voids for insurance.\Maybe you think wearing that thing makes you like Gai,\but you're not even close, you poser!\We'll fight one-on-one. If you lose, your little King act...\ends here and now!\Too bad, Void Prince!\Argo! response:	How the hell did you wind up like this?
context: but you brought Voids for insurance.\Maybe you think wearing that thing makes you like Gai,\but you're not even close, you poser!\We'll fight one-on-one. If you lose, your little King act...\ends here and now!\Too bad, Void Prince!\Argo!\How the hell did you wind up like this? response:	We really liked that pale-faced weakling struggling with all his might thing you had going!
context: Maybe you think wearing that thing makes you like Gai,\but you're not even close, you poser!\We'll fight one-on-one. If you lose, your little King act...\ends here and now!\Too bad, Void Prince!\Argo!\How the hell did you wind up like this?\We really liked that pale-faced weakling struggling with all his might thing you had going! response:	You try doing this, then.
context: but you're not even close, you poser!\We'll fight one-on-one. If you lose, your little King act...\ends here and now!\Too bad, Void Prince!\Argo!\How the hell did you wind up like this?\We really liked that pale-faced weakling struggling with all his might thing you had going!\You try doing this, then. response:	If you think there's some other way to keep everyone safe in this situation, then tell me!
context: We'll fight one-on-one. If you lose, your little King act...\ends here and now!\Too bad, Void Prince!\Argo!\How the hell did you wind up like this?\We really liked that pale-faced weakling struggling with all his might thing you had going!\You try doing this, then.\If you think there's some other way to keep everyone safe in this situation, then tell me! response:	Get away from Shu!
context: ends here and now!\Too bad, Void Prince!\Argo!\How the hell did you wind up like this?\We really liked that pale-faced weakling struggling with all his might thing you had going!\You try doing this, then.\If you think there's some other way to keep everyone safe in this situation, then tell me!\Get away from Shu! response:	You?
context: Too bad, Void Prince!\Argo!\How the hell did you wind up like this?\We really liked that pale-faced weakling struggling with all his might thing you had going!\You try doing this, then.\If you think there's some other way to keep everyone safe in this situation, then tell me!\Get away from Shu!\You? response:	I'm not as soft as Shu.
context: Argo!\How the hell did you wind up like this?\We really liked that pale-faced weakling struggling with all his might thing you had going!\You try doing this, then.\If you think there's some other way to keep everyone safe in this situation, then tell me!\Get away from Shu!\You?\I'm not as soft as Shu. response:	Surrender! Now!
context: How the hell did you wind up like this?\We really liked that pale-faced weakling struggling with all his might thing you had going!\You try doing this, then.\If you think there's some other way to keep everyone safe in this situation, then tell me!\Get away from Shu!\You?\I'm not as soft as Shu.\Surrender! Now! response:	No way...
context: We really liked that pale-faced weakling struggling with all his might thing you had going!\You try doing this, then.\If you think there's some other way to keep everyone safe in this situation, then tell me!\Get away from Shu!\You?\I'm not as soft as Shu.\Surrender! Now!\No way... response:	This can't be...
context: You try doing this, then.\If you think there's some other way to keep everyone safe in this situation, then tell me!\Get away from Shu!\You?\I'm not as soft as Shu.\Surrender! Now!\No way...\This can't be... response:	Stop it...
context: If you think there's some other way to keep everyone safe in this situation, then tell me!\Get away from Shu!\You?\I'm not as soft as Shu.\Surrender! Now!\No way...\This can't be...\Stop it... response:	I don't...
context: Get away from Shu!\You?\I'm not as soft as Shu.\Surrender! Now!\No way...\This can't be...\Stop it...\I don't... response:	This is Samukawa.
context: You?\I'm not as soft as Shu.\Surrender! Now!\No way...\This can't be...\Stop it...\I don't...\This is Samukawa. response:	Secure a perimeter around the gym and arrest anyone within 30 meters, regardless of rank.
context: I'm not as soft as Shu.\Surrender! Now!\No way...\This can't be...\Stop it...\I don't...\This is Samukawa.\Secure a perimeter around the gym and arrest anyone within 30 meters, regardless of rank. response:	This gym is to be sealed off, effective immediately.
context: Surrender! Now!\No way...\This can't be...\Stop it...\I don't...\This is Samukawa.\Secure a perimeter around the gym and arrest anyone within 30 meters, regardless of rank.\This gym is to be sealed off, effective immediately. response:	Yahiro...
context: No way...\This can't be...\Stop it...\I don't...\This is Samukawa.\Secure a perimeter around the gym and arrest anyone within 30 meters, regardless of rank.\This gym is to be sealed off, effective immediately.\Yahiro... response:	There was nothing wrong with that girl,
context: This can't be...\Stop it...\I don't...\This is Samukawa.\Secure a perimeter around the gym and arrest anyone within 30 meters, regardless of rank.\This gym is to be sealed off, effective immediately.\Yahiro...\There was nothing wrong with that girl, response:	but she died anyway.
context: Stop it...\I don't...\This is Samukawa.\Secure a perimeter around the gym and arrest anyone within 30 meters, regardless of rank.\This gym is to be sealed off, effective immediately.\Yahiro...\There was nothing wrong with that girl,\but she died anyway. response:	Was it because her Void broke?
context: I don't...\This is Samukawa.\Secure a perimeter around the gym and arrest anyone within 30 meters, regardless of rank.\This gym is to be sealed off, effective immediately.\Yahiro...\There was nothing wrong with that girl,\but she died anyway.\Was it because her Void broke? response:	We can't know that for sure.
context: This is Samukawa.\Secure a perimeter around the gym and arrest anyone within 30 meters, regardless of rank.\This gym is to be sealed off, effective immediately.\Yahiro...\There was nothing wrong with that girl,\but she died anyway.\Was it because her Void broke?\We can't know that for sure. response:	I'm certain of it!
context: Secure a perimeter around the gym and arrest anyone within 30 meters, regardless of rank.\This gym is to be sealed off, effective immediately.\Yahiro...\There was nothing wrong with that girl,\but she died anyway.\Was it because her Void broke?\We can't know that for sure.\I'm certain of it! response:	You lied to me.
context: This gym is to be sealed off, effective immediately.\Yahiro...\There was nothing wrong with that girl,\but she died anyway.\Was it because her Void broke?\We can't know that for sure.\I'm certain of it!\You lied to me. response:	You told me a genomic weapon killed Hare.
context: Yahiro...\There was nothing wrong with that girl,\but she died anyway.\Was it because her Void broke?\We can't know that for sure.\I'm certain of it!\You lied to me.\You told me a genomic weapon killed Hare. response:	What now?
context: There was nothing wrong with that girl,\but she died anyway.\Was it because her Void broke?\We can't know that for sure.\I'm certain of it!\You lied to me.\You told me a genomic weapon killed Hare.\What now? response:	A kingdom centered around Voids lives side by side with death!
context: but she died anyway.\Was it because her Void broke?\We can't know that for sure.\I'm certain of it!\You lied to me.\You told me a genomic weapon killed Hare.\What now?\A kingdom centered around Voids lives side by side with death! response:	There's no going back now.
context: Was it because her Void broke?\We can't know that for sure.\I'm certain of it!\You lied to me.\You told me a genomic weapon killed Hare.\What now?\A kingdom centered around Voids lives side by side with death!\There's no going back now. response:	I knew you'd hesitate to use Voids if you found out.
context: We can't know that for sure.\I'm certain of it!\You lied to me.\You told me a genomic weapon killed Hare.\What now?\A kingdom centered around Voids lives side by side with death!\There's no going back now.\I knew you'd hesitate to use Voids if you found out. response:	But if our current system collapses, all of us will end up dead.
context: I'm certain of it!\You lied to me.\You told me a genomic weapon killed Hare.\What now?\A kingdom centered around Voids lives side by side with death!\There's no going back now.\I knew you'd hesitate to use Voids if you found out.\But if our current system collapses, all of us will end up dead. response:	We have to keep going.
context: You lied to me.\You told me a genomic weapon killed Hare.\What now?\A kingdom centered around Voids lives side by side with death!\There's no going back now.\I knew you'd hesitate to use Voids if you found out.\But if our current system collapses, all of us will end up dead.\We have to keep going. response:	We have to keep the truth from everyone until we begin our operation.
context: You told me a genomic weapon killed Hare.\What now?\A kingdom centered around Voids lives side by side with death!\There's no going back now.\I knew you'd hesitate to use Voids if you found out.\But if our current system collapses, all of us will end up dead.\We have to keep going.\We have to keep the truth from everyone until we begin our operation. response:	Got it?
context: What now?\A kingdom centered around Voids lives side by side with death!\There's no going back now.\I knew you'd hesitate to use Voids if you found out.\But if our current system collapses, all of us will end up dead.\We have to keep going.\We have to keep the truth from everyone until we begin our operation.\Got it? response:	What the hell are you saying?!
context: A kingdom centered around Voids lives side by side with death!\There's no going back now.\I knew you'd hesitate to use Voids if you found out.\But if our current system collapses, all of us will end up dead.\We have to keep going.\We have to keep the truth from everyone until we begin our operation.\Got it?\What the hell are you saying?! response:	Stop using Voids right now!
context: There's no going back now.\I knew you'd hesitate to use Voids if you found out.\But if our current system collapses, all of us will end up dead.\We have to keep going.\We have to keep the truth from everyone until we begin our operation.\Got it?\What the hell are you saying?!\Stop using Voids right now! response:	If you start a war like this, you have no idea how many will die!
context: I knew you'd hesitate to use Voids if you found out.\But if our current system collapses, all of us will end up dead.\We have to keep going.\We have to keep the truth from everyone until we begin our operation.\Got it?\What the hell are you saying?!\Stop using Voids right now!\If you start a war like this, you have no idea how many will die! response:	Don't listen to him, he's crazy!
context: But if our current system collapses, all of us will end up dead.\We have to keep going.\We have to keep the truth from everyone until we begin our operation.\Got it?\What the hell are you saying?!\Stop using Voids right now!\If you start a war like this, you have no idea how many will die!\Don't listen to him, he's crazy! response:	Come on, open your eyes!
context: We have to keep going.\We have to keep the truth from everyone until we begin our operation.\Got it?\What the hell are you saying?!\Stop using Voids right now!\If you start a war like this, you have no idea how many will die!\Don't listen to him, he's crazy!\Come on, open your eyes! response:	You're right...
context: We have to keep the truth from everyone until we begin our operation.\Got it?\What the hell are you saying?!\Stop using Voids right now!\If you start a war like this, you have no idea how many will die!\Don't listen to him, he's crazy!\Come on, open your eyes!\You're right... response:	Shu!
context: Got it?\What the hell are you saying?!\Stop using Voids right now!\If you start a war like this, you have no idea how many will die!\Don't listen to him, he's crazy!\Come on, open your eyes!\You're right...\Shu! response:	Shu
context: What the hell are you saying?!\Stop using Voids right now!\If you start a war like this, you have no idea how many will die!\Don't listen to him, he's crazy!\Come on, open your eyes!\You're right...\Shu!\Shu response:	If I break this, Argo will die.
context: Stop using Voids right now!\If you start a war like this, you have no idea how many will die!\Don't listen to him, he's crazy!\Come on, open your eyes!\You're right...\Shu!\Shu\If I break this, Argo will die. response:	I have to tell everyone as soon as possible!
context: If you start a war like this, you have no idea how many will die!\Don't listen to him, he's crazy!\Come on, open your eyes!\You're right...\Shu!\Shu\If I break this, Argo will die.\I have to tell everyone as soon as possible! response:	I can't believe Voids are...
context: Don't listen to him, he's crazy!\Come on, open your eyes!\You're right...\Shu!\Shu\If I break this, Argo will die.\I have to tell everyone as soon as possible!\I can't believe Voids are... response:	I found you.
context: Come on, open your eyes!\You're right...\Shu!\Shu\If I break this, Argo will die.\I have to tell everyone as soon as possible!\I can't believe Voids are...\I found you. response:	You...
context: You're right...\Shu!\Shu\If I break this, Argo will die.\I have to tell everyone as soon as possible!\I can't believe Voids are...\I found you.\You... response:	You didn't hold up your end.
context: Shu!\Shu\If I break this, Argo will die.\I have to tell everyone as soon as possible!\I can't believe Voids are...\I found you.\You...\You didn't hold up your end. response:	I assume we can forget about the deal.
context: Shu\If I break this, Argo will die.\I have to tell everyone as soon as possible!\I can't believe Voids are...\I found you.\You...\You didn't hold up your end.\I assume we can forget about the deal. response:	I suppose there's no choice.
context: If I break this, Argo will die.\I have to tell everyone as soon as possible!\I can't believe Voids are...\I found you.\You...\You didn't hold up your end.\I assume we can forget about the deal.\I suppose there's no choice. response:	Please leave Japan as soon as you can.
context: I have to tell everyone as soon as possible!\I can't believe Voids are...\I found you.\You...\You didn't hold up your end.\I assume we can forget about the deal.\I suppose there's no choice.\Please leave Japan as soon as you can. response:	There's trouble brewing on the Pacific.
context: I can't believe Voids are...\I found you.\You...\You didn't hold up your end.\I assume we can forget about the deal.\I suppose there's no choice.\Please leave Japan as soon as you can.\There's trouble brewing on the Pacific. response:	It's finally time, then.
context: I found you.\You...\You didn't hold up your end.\I assume we can forget about the deal.\I suppose there's no choice.\Please leave Japan as soon as you can.\There's trouble brewing on the Pacific.\It's finally time, then. response:	I doubt Shu'll ever forgive me for this.
