context: hontou wa totemo totemo ureshikatta yo response:	but the truth is, I was really, really happy.
context: What's up with that?\I had a change of mood.\That's a lie.\Yeah, it is.\Jintan.\Grab a hold of that.\Like this?\Heave-ho! response:	Good afternoon.
context: I had a change of mood.\That's a lie.\Yeah, it is.\Jintan.\Grab a hold of that.\Like this?\Heave-ho!\Good afternoon. response:	Oh, you really came.
context: That's a lie.\Yeah, it is.\Jintan.\Grab a hold of that.\Like this?\Heave-ho!\Good afternoon.\Oh, you really came. response:	What the?
context: Yeah, it is.\Jintan.\Grab a hold of that.\Like this?\Heave-ho!\Good afternoon.\Oh, you really came.\What the? response:	Is something wrong?
context: Jintan.\Grab a hold of that.\Like this?\Heave-ho!\Good afternoon.\Oh, you really came.\What the?\Is something wrong? response:	It's just that I caught a familiar scent.
context: Grab a hold of that.\Like this?\Heave-ho!\Good afternoon.\Oh, you really came.\What the?\Is something wrong?\It's just that I caught a familiar scent. response:	You called Saa for me, Jintan?
context: Like this?\Heave-ho!\Good afternoon.\Oh, you really came.\What the?\Is something wrong?\It's just that I caught a familiar scent.\You called Saa for me, Jintan? response:	Yeah.
context: Heave-ho!\Good afternoon.\Oh, you really came.\What the?\Is something wrong?\It's just that I caught a familiar scent.\You called Saa for me, Jintan?\Yeah. response:	Thank you, Jintan.
context: Good afternoon.\Oh, you really came.\What the?\Is something wrong?\It's just that I caught a familiar scent.\You called Saa for me, Jintan?\Yeah.\Thank you, Jintan. response:	Jintan?
context: Oh, you really came.\What the?\Is something wrong?\It's just that I caught a familiar scent.\You called Saa for me, Jintan?\Yeah.\Thank you, Jintan.\Jintan? response:	It's nothing.
context: What the?\Is something wrong?\It's just that I caught a familiar scent.\You called Saa for me, Jintan?\Yeah.\Thank you, Jintan.\Jintan?\It's nothing. response:	So this is really the end.
context: Is something wrong?\It's just that I caught a familiar scent.\You called Saa for me, Jintan?\Yeah.\Thank you, Jintan.\Jintan?\It's nothing.\So this is really the end. response:	Heave-ho.
context: It's just that I caught a familiar scent.\You called Saa for me, Jintan?\Yeah.\Thank you, Jintan.\Jintan?\It's nothing.\So this is really the end.\Heave-ho. response:	Here we go.
context: You called Saa for me, Jintan?\Yeah.\Thank you, Jintan.\Jintan?\It's nothing.\So this is really the end.\Heave-ho.\Here we go. response:	It's fine like this right?
context: Yeah.\Thank you, Jintan.\Jintan?\It's nothing.\So this is really the end.\Heave-ho.\Here we go.\It's fine like this right? response:	Our interests are the same as Menma's.
context: Thank you, Jintan.\Jintan?\It's nothing.\So this is really the end.\Heave-ho.\Here we go.\It's fine like this right?\Our interests are the same as Menma's. response:	I'll make sure she goes to heaven.
context: Jintan?\It's nothing.\So this is really the end.\Heave-ho.\Here we go.\It's fine like this right?\Our interests are the same as Menma's.\I'll make sure she goes to heaven. response:	But right now I can still stop her.
context: It's nothing.\So this is really the end.\Heave-ho.\Here we go.\It's fine like this right?\Our interests are the same as Menma's.\I'll make sure she goes to heaven.\But right now I can still stop her. response:	Yadomi?
context: So this is really the end.\Heave-ho.\Here we go.\It's fine like this right?\Our interests are the same as Menma's.\I'll make sure she goes to heaven.\But right now I can still stop her.\Yadomi? response:	Menma must be happy.
context: Heave-ho.\Here we go.\It's fine like this right?\Our interests are the same as Menma's.\I'll make sure she goes to heaven.\But right now I can still stop her.\Yadomi?\Menma must be happy. response:	Yeah, right.
context: Here we go.\It's fine like this right?\Our interests are the same as Menma's.\I'll make sure she goes to heaven.\But right now I can still stop her.\Yadomi?\Menma must be happy.\Yeah, right. response:	I won't let him stop her.
context: It's fine like this right?\Our interests are the same as Menma's.\I'll make sure she goes to heaven.\But right now I can still stop her.\Yadomi?\Menma must be happy.\Yeah, right.\I won't let him stop her. response:	Right now I can stop her.
context: Our interests are the same as Menma's.\I'll make sure she goes to heaven.\But right now I can still stop her.\Yadomi?\Menma must be happy.\Yeah, right.\I won't let him stop her.\Right now I can stop her. response:	I can stop her, but...
context: I'll make sure she goes to heaven.\But right now I can still stop her.\Yadomi?\Menma must be happy.\Yeah, right.\I won't let him stop her.\Right now I can stop her.\I can stop her, but... response:	I'm going to heaven.
context: But right now I can still stop her.\Yadomi?\Menma must be happy.\Yeah, right.\I won't let him stop her.\Right now I can stop her.\I can stop her, but...\I'm going to heaven. response:	Heave-ho!
context: Yadomi?\Menma must be happy.\Yeah, right.\I won't let him stop her.\Right now I can stop her.\I can stop her, but...\I'm going to heaven.\Heave-ho! response:	Heave-ho!
context: Menma must be happy.\Yeah, right.\I won't let him stop her.\Right now I can stop her.\I can stop her, but...\I'm going to heaven.\Heave-ho!\Heave-ho! response:	Heave-ho!
context: Yeah, right.\I won't let him stop her.\Right now I can stop her.\I can stop her, but...\I'm going to heaven.\Heave-ho!\Heave-ho!\Heave-ho! response:	Heave-ho!
context: I won't let him stop her.\Right now I can stop her.\I can stop her, but...\I'm going to heaven.\Heave-ho!\Heave-ho!\Heave-ho!\Heave-ho! response:	Heave-ho!
context: Right now I can stop her.\I can stop her, but...\I'm going to heaven.\Heave-ho!\Heave-ho!\Heave-ho!\Heave-ho!\Heave-ho! response:	Wow! You're so strong, Saa!
context: I can stop her, but...\I'm going to heaven.\Heave-ho!\Heave-ho!\Heave-ho!\Heave-ho!\Heave-ho!\Wow! You're so strong, Saa! response:	Yadomi?
context: I'm going to heaven.\Heave-ho!\Heave-ho!\Heave-ho!\Heave-ho!\Heave-ho!\Wow! You're so strong, Saa!\Yadomi? response:	Now all that's left is the launch.
context: Heave-ho!\Heave-ho!\Heave-ho!\Heave-ho!\Heave-ho!\Wow! You're so strong, Saa!\Yadomi?\Now all that's left is the launch. response:	This was a job well done.
context: Heave-ho!\Heave-ho!\Heave-ho!\Heave-ho!\Wow! You're so strong, Saa!\Yadomi?\Now all that's left is the launch.\This was a job well done. response:	Hey, does anyone have any last words or something...
context: Heave-ho!\Heave-ho!\Heave-ho!\Wow! You're so strong, Saa!\Yadomi?\Now all that's left is the launch.\This was a job well done.\Hey, does anyone have any last words or something... response:	Her brother is here.
context: Heave-ho!\Heave-ho!\Wow! You're so strong, Saa!\Yadomi?\Now all that's left is the launch.\This was a job well done.\Hey, does anyone have any last words or something...\Her brother is here. response:	Oh yeah.
context: Heave-ho!\Wow! You're so strong, Saa!\Yadomi?\Now all that's left is the launch.\This was a job well done.\Hey, does anyone have any last words or something...\Her brother is here.\Oh yeah. response:	Then I'll just let it out.
context: Wow! You're so strong, Saa!\Yadomi?\Now all that's left is the launch.\This was a job well done.\Hey, does anyone have any last words or something...\Her brother is here.\Oh yeah.\Then I'll just let it out. response:	It was really fun!
context: Yadomi?\Now all that's left is the launch.\This was a job well done.\Hey, does anyone have any last words or something...\Her brother is here.\Oh yeah.\Then I'll just let it out.\It was really fun! response:	Thanks for everything!
context: Now all that's left is the launch.\This was a job well done.\Hey, does anyone have any last words or something...\Her brother is here.\Oh yeah.\Then I'll just let it out.\It was really fun!\Thanks for everything! response:	Poppo.
context: This was a job well done.\Hey, does anyone have any last words or something...\Her brother is here.\Oh yeah.\Then I'll just let it out.\It was really fun!\Thanks for everything!\Poppo. response:	You go too, Jintan.
context: Hey, does anyone have any last words or something...\Her brother is here.\Oh yeah.\Then I'll just let it out.\It was really fun!\Thanks for everything!\Poppo.\You go too, Jintan. response:	Let's get this thing going. If it gets too late, it'll bother the neighborhood.
context: Her brother is here.\Oh yeah.\Then I'll just let it out.\It was really fun!\Thanks for everything!\Poppo.\You go too, Jintan.\Let's get this thing going. If it gets too late, it'll bother the neighborhood. response:	Right.
context: Oh yeah.\Then I'll just let it out.\It was really fun!\Thanks for everything!\Poppo.\You go too, Jintan.\Let's get this thing going. If it gets too late, it'll bother the neighborhood.\Right. response:	Jintan?
context: Then I'll just let it out.\It was really fun!\Thanks for everything!\Poppo.\You go too, Jintan.\Let's get this thing going. If it gets too late, it'll bother the neighborhood.\Right.\Jintan? response:	Is this all right? I can still stop this.
context: It was really fun!\Thanks for everything!\Poppo.\You go too, Jintan.\Let's get this thing going. If it gets too late, it'll bother the neighborhood.\Right.\Jintan?\Is this all right? I can still stop this. response:	I can stop it.
context: Thanks for everything!\Poppo.\You go too, Jintan.\Let's get this thing going. If it gets too late, it'll bother the neighborhood.\Right.\Jintan?\Is this all right? I can still stop this.\I can stop it. response:	Wait...
context: Poppo.\You go too, Jintan.\Let's get this thing going. If it gets too late, it'll bother the neighborhood.\Right.\Jintan?\Is this all right? I can still stop this.\I can stop it.\Wait... response:	The firework went up.
context: You go too, Jintan.\Let's get this thing going. If it gets too late, it'll bother the neighborhood.\Right.\Jintan?\Is this all right? I can still stop this.\I can stop it.\Wait...\The firework went up. response:	Wow! A flower blossomed in the sky!
context: Let's get this thing going. If it gets too late, it'll bother the neighborhood.\Right.\Jintan?\Is this all right? I can still stop this.\I can stop it.\Wait...\The firework went up.\Wow! A flower blossomed in the sky! response:	Huh?
context: Right.\Jintan?\Is this all right? I can still stop this.\I can stop it.\Wait...\The firework went up.\Wow! A flower blossomed in the sky!\Huh? response:	Umm... Huh?
context: Jintan?\Is this all right? I can still stop this.\I can stop it.\Wait...\The firework went up.\Wow! A flower blossomed in the sky!\Huh?\Umm... Huh? response:	Menma?
context: Is this all right? I can still stop this.\I can stop it.\Wait...\The firework went up.\Wow! A flower blossomed in the sky!\Huh?\Umm... Huh?\Menma? response:	Is she there?
context: I can stop it.\Wait...\The firework went up.\Wow! A flower blossomed in the sky!\Huh?\Umm... Huh?\Menma?\Is she there? response:	Hey, is she still there?
context: Wait...\The firework went up.\Wow! A flower blossomed in the sky!\Huh?\Umm... Huh?\Menma?\Is she there?\Hey, is she still there? response:	Huh?
context: The firework went up.\Wow! A flower blossomed in the sky!\Huh?\Umm... Huh?\Menma?\Is she there?\Hey, is she still there?\Huh? response:	Hey, the fireworks...
context: Wow! A flower blossomed in the sky!\Huh?\Umm... Huh?\Menma?\Is she there?\Hey, is she still there?\Huh?\Hey, the fireworks... response:	I'm sorry, Menma.
context: Huh?\Umm... Huh?\Menma?\Is she there?\Hey, is she still there?\Huh?\Hey, the fireworks...\I'm sorry, Menma. response:	What happened?
context: Umm... Huh?\Menma?\Is she there?\Hey, is she still there?\Huh?\Hey, the fireworks...\I'm sorry, Menma.\What happened? response:	Huh? What's going on?
context: Menma?\Is she there?\Hey, is she still there?\Huh?\Hey, the fireworks...\I'm sorry, Menma.\What happened?\Huh? What's going on? response:	I'm glad you didn't disappear.
context: Is she there?\Hey, is she still there?\Huh?\Hey, the fireworks...\I'm sorry, Menma.\What happened?\Huh? What's going on?\I'm glad you didn't disappear. response:	Goodbye, Menma
context: Hey, is she still there?\Huh?\Hey, the fireworks...\I'm sorry, Menma.\What happened?\Huh? What's going on?\I'm glad you didn't disappear.\Goodbye, Menma response:	Thank you for doing this for me today.
context: Huh?\Hey, the fireworks...\I'm sorry, Menma.\What happened?\Huh? What's going on?\I'm glad you didn't disappear.\Goodbye, Menma\Thank you for doing this for me today. response:	I'm going to heaven tomorrow.
context: Hey, the fireworks...\I'm sorry, Menma.\What happened?\Huh? What's going on?\I'm glad you didn't disappear.\Goodbye, Menma\Thank you for doing this for me today.\I'm going to heaven tomorrow. response:	I want to be friends with everyone until the very end. Thank you all.
context: I'm sorry, Menma.\What happened?\Huh? What's going on?\I'm glad you didn't disappear.\Goodbye, Menma\Thank you for doing this for me today.\I'm going to heaven tomorrow.\I want to be friends with everyone until the very end. Thank you all. response:	Super Peace Busters
context: What happened?\Huh? What's going on?\I'm glad you didn't disappear.\Goodbye, Menma\Thank you for doing this for me today.\I'm going to heaven tomorrow.\I want to be friends with everyone until the very end. Thank you all.\Super Peace Busters response:	Fireworks
context: Huh? What's going on?\I'm glad you didn't disappear.\Goodbye, Menma\Thank you for doing this for me today.\I'm going to heaven tomorrow.\I want to be friends with everyone until the very end. Thank you all.\Super Peace Busters\Fireworks response:	We still don't know the name of the flower we saw that day.
context: I'm glad you didn't disappear.\Goodbye, Menma\Thank you for doing this for me today.\I'm going to heaven tomorrow.\I want to be friends with everyone until the very end. Thank you all.\Super Peace Busters\Fireworks\We still don't know the name of the flower we saw that day. response:	nanpeeji mo tsuiyashite
context: Goodbye, Menma\Thank you for doing this for me today.\I'm going to heaven tomorrow.\I want to be friends with everyone until the very end. Thank you all.\Super Peace Busters\Fireworks\We still don't know the name of the flower we saw that day.\nanpeeji mo tsuiyashite response:	nanpeeji mo tsuiyashite
context: Thank you for doing this for me today.\I'm going to heaven tomorrow.\I want to be friends with everyone until the very end. Thank you all.\Super Peace Busters\Fireworks\We still don't know the name of the flower we saw that day.\nanpeeji mo tsuiyashite\nanpeeji mo tsuiyashite response:	Upon pages and pages of entries
context: I'm going to heaven tomorrow.\I want to be friends with everyone until the very end. Thank you all.\Super Peace Busters\Fireworks\We still don't know the name of the flower we saw that day.\nanpeeji mo tsuiyashite\nanpeeji mo tsuiyashite\Upon pages and pages of entries response:	Upon pages and pages of entries
context: I want to be friends with everyone until the very end. Thank you all.\Super Peace Busters\Fireworks\We still don't know the name of the flower we saw that day.\nanpeeji mo tsuiyashite\nanpeeji mo tsuiyashite\Upon pages and pages of entries\Upon pages and pages of entries response:	tuzurareta bokura no kibun
context: Super Peace Busters\Fireworks\We still don't know the name of the flower we saw that day.\nanpeeji mo tsuiyashite\nanpeeji mo tsuiyashite\Upon pages and pages of entries\Upon pages and pages of entries\tuzurareta bokura no kibun response:	tuzurareta bokura no kibun
context: Fireworks\We still don't know the name of the flower we saw that day.\nanpeeji mo tsuiyashite\nanpeeji mo tsuiyashite\Upon pages and pages of entries\Upon pages and pages of entries\tuzurareta bokura no kibun\tuzurareta bokura no kibun response:	We've put down all our emotions
context: We still don't know the name of the flower we saw that day.\nanpeeji mo tsuiyashite\nanpeeji mo tsuiyashite\Upon pages and pages of entries\Upon pages and pages of entries\tuzurareta bokura no kibun\tuzurareta bokura no kibun\We've put down all our emotions response:	We've put down all our emotions
context: nanpeeji mo tsuiyashite\nanpeeji mo tsuiyashite\Upon pages and pages of entries\Upon pages and pages of entries\tuzurareta bokura no kibun\tuzurareta bokura no kibun\We've put down all our emotions\We've put down all our emotions response:	doushiteka ichigyou no
context: nanpeeji mo tsuiyashite\Upon pages and pages of entries\Upon pages and pages of entries\tuzurareta bokura no kibun\tuzurareta bokura no kibun\We've put down all our emotions\We've put down all our emotions\doushiteka ichigyou no response:	doushiteka ichigyou no
context: Upon pages and pages of entries\Upon pages and pages of entries\tuzurareta bokura no kibun\tuzurareta bokura no kibun\We've put down all our emotions\We've put down all our emotions\doushiteka ichigyou no\doushiteka ichigyou no response:	But now I've hit a writer's block
context: Upon pages and pages of entries\tuzurareta bokura no kibun\tuzurareta bokura no kibun\We've put down all our emotions\We've put down all our emotions\doushiteka ichigyou no\doushiteka ichigyou no\But now I've hit a writer's block response:	But now I've hit a writer's block
context: tuzurareta bokura no kibun\tuzurareta bokura no kibun\We've put down all our emotions\We've put down all our emotions\doushiteka ichigyou no\doushiteka ichigyou no\But now I've hit a writer's block\But now I've hit a writer's block response:	kuuhaku wo umerarenai
context: tuzurareta bokura no kibun\We've put down all our emotions\We've put down all our emotions\doushiteka ichigyou no\doushiteka ichigyou no\But now I've hit a writer's block\But now I've hit a writer's block\kuuhaku wo umerarenai response:	kuuhaku wo umerarenai
context: We've put down all our emotions\We've put down all our emotions\doushiteka ichigyou no\doushiteka ichigyou no\But now I've hit a writer's block\But now I've hit a writer's block\kuuhaku wo umerarenai\kuuhaku wo umerarenai response:	I don't know how to finish this page anymore
context: We've put down all our emotions\doushiteka ichigyou no\doushiteka ichigyou no\But now I've hit a writer's block\But now I've hit a writer's block\kuuhaku wo umerarenai\kuuhaku wo umerarenai\I don't know how to finish this page anymore response:	I don't know how to finish this page anymore
context: doushiteka ichigyou no\doushiteka ichigyou no\But now I've hit a writer's block\But now I've hit a writer's block\kuuhaku wo umerarenai\kuuhaku wo umerarenai\I don't know how to finish this page anymore\I don't know how to finish this page anymore response:	oshibana no shiori hasande
context: doushiteka ichigyou no\But now I've hit a writer's block\But now I've hit a writer's block\kuuhaku wo umerarenai\kuuhaku wo umerarenai\I don't know how to finish this page anymore\I don't know how to finish this page anymore\oshibana no shiori hasande response:	oshibana no shiori hasande
context: But now I've hit a writer's block\But now I've hit a writer's block\kuuhaku wo umerarenai\kuuhaku wo umerarenai\I don't know how to finish this page anymore\I don't know how to finish this page anymore\oshibana no shiori hasande\oshibana no shiori hasande response:	Putting a bookmark in my diary
context: But now I've hit a writer's block\kuuhaku wo umerarenai\kuuhaku wo umerarenai\I don't know how to finish this page anymore\I don't know how to finish this page anymore\oshibana no shiori hasande\oshibana no shiori hasande\Putting a bookmark in my diary response:	Putting a bookmark in my diary
context: kuuhaku wo umerarenai\kuuhaku wo umerarenai\I don't know how to finish this page anymore\I don't know how to finish this page anymore\oshibana no shiori hasande\oshibana no shiori hasande\Putting a bookmark in my diary\Putting a bookmark in my diary response:	kimi to korogasu tsukaisute no jitensha
context: kuuhaku wo umerarenai\I don't know how to finish this page anymore\I don't know how to finish this page anymore\oshibana no shiori hasande\oshibana no shiori hasande\Putting a bookmark in my diary\Putting a bookmark in my diary\kimi to korogasu tsukaisute no jitensha response:	kimi to korogasu tsukaisute no jitensha
context: I don't know how to finish this page anymore\I don't know how to finish this page anymore\oshibana no shiori hasande\oshibana no shiori hasande\Putting a bookmark in my diary\Putting a bookmark in my diary\kimi to korogasu tsukaisute no jitensha\kimi to korogasu tsukaisute no jitensha response:	You and I go out to ride the bike we found in the dumpster
context: I don't know how to finish this page anymore\oshibana no shiori hasande\oshibana no shiori hasande\Putting a bookmark in my diary\Putting a bookmark in my diary\kimi to korogasu tsukaisute no jitensha\kimi to korogasu tsukaisute no jitensha\You and I go out to ride the bike we found in the dumpster response:	You and I go out to ride the bike we found in the dumpster
context: oshibana no shiori hasande\oshibana no shiori hasande\Putting a bookmark in my diary\Putting a bookmark in my diary\kimi to korogasu tsukaisute no jitensha\kimi to korogasu tsukaisute no jitensha\You and I go out to ride the bike we found in the dumpster\You and I go out to ride the bike we found in the dumpster response:	wasurekake no renga wo
context: oshibana no shiori hasande\Putting a bookmark in my diary\Putting a bookmark in my diary\kimi to korogasu tsukaisute no jitensha\kimi to korogasu tsukaisute no jitensha\You and I go out to ride the bike we found in the dumpster\You and I go out to ride the bike we found in the dumpster\wasurekake no renga wo response:	wasurekake no renga wo
context: Putting a bookmark in my diary\Putting a bookmark in my diary\kimi to korogasu tsukaisute no jitensha\kimi to korogasu tsukaisute no jitensha\You and I go out to ride the bike we found in the dumpster\You and I go out to ride the bike we found in the dumpster\wasurekake no renga wo\wasurekake no renga wo response:	Let's go to our secret place
context: Putting a bookmark in my diary\kimi to korogasu tsukaisute no jitensha\kimi to korogasu tsukaisute no jitensha\You and I go out to ride the bike we found in the dumpster\You and I go out to ride the bike we found in the dumpster\wasurekake no renga wo\wasurekake no renga wo\Let's go to our secret place response:	Let's go to our secret place
context: kimi to korogasu tsukaisute no jitensha\kimi to korogasu tsukaisute no jitensha\You and I go out to ride the bike we found in the dumpster\You and I go out to ride the bike we found in the dumpster\wasurekake no renga wo\wasurekake no renga wo\Let's go to our secret place\Let's go to our secret place response:	tsumiageta basho ni yukou
context: kimi to korogasu tsukaisute no jitensha\You and I go out to ride the bike we found in the dumpster\You and I go out to ride the bike we found in the dumpster\wasurekake no renga wo\wasurekake no renga wo\Let's go to our secret place\Let's go to our secret place\tsumiageta basho ni yukou response:	tsumiageta basho ni yukou
context: You and I go out to ride the bike we found in the dumpster\You and I go out to ride the bike we found in the dumpster\wasurekake no renga wo\wasurekake no renga wo\Let's go to our secret place\Let's go to our secret place\tsumiageta basho ni yukou\tsumiageta basho ni yukou response:	Where we piled up our bricks of memories
context: You and I go out to ride the bike we found in the dumpster\wasurekake no renga wo\wasurekake no renga wo\Let's go to our secret place\Let's go to our secret place\tsumiageta basho ni yukou\tsumiageta basho ni yukou\Where we piled up our bricks of memories response:	Where we piled up our bricks of memories
context: wasurekake no renga wo\wasurekake no renga wo\Let's go to our secret place\Let's go to our secret place\tsumiageta basho ni yukou\tsumiageta basho ni yukou\Where we piled up our bricks of memories\Where we piled up our bricks of memories response:	umi wo miwatasu saka wo kakenobotte
context: wasurekake no renga wo\Let's go to our secret place\Let's go to our secret place\tsumiageta basho ni yukou\tsumiageta basho ni yukou\Where we piled up our bricks of memories\Where we piled up our bricks of memories\umi wo miwatasu saka wo kakenobotte response:	umi wo miwatasu saka wo kakenobotte
context: Let's go to our secret place\Let's go to our secret place\tsumiageta basho ni yukou\tsumiageta basho ni yukou\Where we piled up our bricks of memories\Where we piled up our bricks of memories\umi wo miwatasu saka wo kakenobotte\umi wo miwatasu saka wo kakenobotte response:	Run up the hill, where we can see the horizon
context: Let's go to our secret place\tsumiageta basho ni yukou\tsumiageta basho ni yukou\Where we piled up our bricks of memories\Where we piled up our bricks of memories\umi wo miwatasu saka wo kakenobotte\umi wo miwatasu saka wo kakenobotte\Run up the hill, where we can see the horizon response:	Run up the hill, where we can see the horizon
context: tsumiageta basho ni yukou\tsumiageta basho ni yukou\Where we piled up our bricks of memories\Where we piled up our bricks of memories\umi wo miwatasu saka wo kakenobotte\umi wo miwatasu saka wo kakenobotte\Run up the hill, where we can see the horizon\Run up the hill, where we can see the horizon response:	kowaikurai ni aoi sora to
context: tsumiageta basho ni yukou\Where we piled up our bricks of memories\Where we piled up our bricks of memories\umi wo miwatasu saka wo kakenobotte\umi wo miwatasu saka wo kakenobotte\Run up the hill, where we can see the horizon\Run up the hill, where we can see the horizon\kowaikurai ni aoi sora to response:	kowaikurai ni aoi sora to
context: Where we piled up our bricks of memories\Where we piled up our bricks of memories\umi wo miwatasu saka wo kakenobotte\umi wo miwatasu saka wo kakenobotte\Run up the hill, where we can see the horizon\Run up the hill, where we can see the horizon\kowaikurai ni aoi sora to\kowaikurai ni aoi sora to response:	Where we can see the sky so fearfully blue
context: Where we piled up our bricks of memories\umi wo miwatasu saka wo kakenobotte\umi wo miwatasu saka wo kakenobotte\Run up the hill, where we can see the horizon\Run up the hill, where we can see the horizon\kowaikurai ni aoi sora to\kowaikurai ni aoi sora to\Where we can see the sky so fearfully blue response:	Where we can see the sky so fearfully blue
context: umi wo miwatasu saka wo kakenobotte\umi wo miwatasu saka wo kakenobotte\Run up the hill, where we can see the horizon\Run up the hill, where we can see the horizon\kowaikurai ni aoi sora to\kowaikurai ni aoi sora to\Where we can see the sky so fearfully blue\Where we can see the sky so fearfully blue response:	migite ni saidaa hidarite wa
context: umi wo miwatasu saka wo kakenobotte\Run up the hill, where we can see the horizon\Run up the hill, where we can see the horizon\kowaikurai ni aoi sora to\kowaikurai ni aoi sora to\Where we can see the sky so fearfully blue\Where we can see the sky so fearfully blue\migite ni saidaa hidarite wa response:	migite ni saidaa hidarite wa
context: Run up the hill, where we can see the horizon\Run up the hill, where we can see the horizon\kowaikurai ni aoi sora to\kowaikurai ni aoi sora to\Where we can see the sky so fearfully blue\Where we can see the sky so fearfully blue\migite ni saidaa hidarite wa\migite ni saidaa hidarite wa response:	With cider in my right hand
context: Run up the hill, where we can see the horizon\kowaikurai ni aoi sora to\kowaikurai ni aoi sora to\Where we can see the sky so fearfully blue\Where we can see the sky so fearfully blue\migite ni saidaa hidarite wa\migite ni saidaa hidarite wa\With cider in my right hand response:	With cider in my right hand
context: kowaikurai ni aoi sora to\kowaikurai ni aoi sora to\Where we can see the sky so fearfully blue\Where we can see the sky so fearfully blue\migite ni saidaa hidarite wa\migite ni saidaa hidarite wa\With cider in my right hand\With cider in my right hand response:	zutto kimi wo sagashiteiru
context: kowaikurai ni aoi sora to\Where we can see the sky so fearfully blue\Where we can see the sky so fearfully blue\migite ni saidaa hidarite wa\migite ni saidaa hidarite wa\With cider in my right hand\With cider in my right hand\zutto kimi wo sagashiteiru response:	zutto kimi wo sagashiteiru
context: Where we can see the sky so fearfully blue\Where we can see the sky so fearfully blue\migite ni saidaa hidarite wa\migite ni saidaa hidarite wa\With cider in my right hand\With cider in my right hand\zutto kimi wo sagashiteiru\zutto kimi wo sagashiteiru response:	My other hand helps me search for you
context: Where we can see the sky so fearfully blue\migite ni saidaa hidarite wa\migite ni saidaa hidarite wa\With cider in my right hand\With cider in my right hand\zutto kimi wo sagashiteiru\zutto kimi wo sagashiteiru\My other hand helps me search for you response:	My other hand helps me search for you
context: migite ni saidaa hidarite wa\migite ni saidaa hidarite wa\With cider in my right hand\With cider in my right hand\zutto kimi wo sagashiteiru\zutto kimi wo sagashiteiru\My other hand helps me search for you\My other hand helps me search for you response:	souyatte ima wa boku no hou e
context: migite ni saidaa hidarite wa\With cider in my right hand\With cider in my right hand\zutto kimi wo sagashiteiru\zutto kimi wo sagashiteiru\My other hand helps me search for you\My other hand helps me search for you\souyatte ima wa boku no hou e response:	souyatte ima wa boku no hou e
context: With cider in my right hand\With cider in my right hand\zutto kimi wo sagashiteiru\zutto kimi wo sagashiteiru\My other hand helps me search for you\My other hand helps me search for you\souyatte ima wa boku no hou e\souyatte ima wa boku no hou e response:	You used to come find me way back when
context: With cider in my right hand\zutto kimi wo sagashiteiru\zutto kimi wo sagashiteiru\My other hand helps me search for you\My other hand helps me search for you\souyatte ima wa boku no hou e\souyatte ima wa boku no hou e\You used to come find me way back when response:	You used to come find me way back when
context: zutto kimi wo sagashiteiru\zutto kimi wo sagashiteiru\My other hand helps me search for you\My other hand helps me search for you\souyatte ima wa boku no hou e\souyatte ima wa boku no hou e\You used to come find me way back when\You used to come find me way back when response:	toitsumeru koto mo nakute
context: zutto kimi wo sagashiteiru\My other hand helps me search for you\My other hand helps me search for you\souyatte ima wa boku no hou e\souyatte ima wa boku no hou e\You used to come find me way back when\You used to come find me way back when\toitsumeru koto mo nakute response:	toitsumeru koto mo nakute
context: My other hand helps me search for you\My other hand helps me search for you\souyatte ima wa boku no hou e\souyatte ima wa boku no hou e\You used to come find me way back when\You used to come find me way back when\toitsumeru koto mo nakute\toitsumeru koto mo nakute response:	You used to demand me of so much more
context: My other hand helps me search for you\souyatte ima wa boku no hou e\souyatte ima wa boku no hou e\You used to come find me way back when\You used to come find me way back when\toitsumeru koto mo nakute\toitsumeru koto mo nakute\You used to demand me of so much more response:	You used to demand me of so much more
context: souyatte ima wa boku no hou e\souyatte ima wa boku no hou e\You used to come find me way back when\You used to come find me way back when\toitsumeru koto mo nakute\toitsumeru koto mo nakute\You used to demand me of so much more\You used to demand me of so much more response:	mada futari wa sugu soko ni irunoni
context: souyatte ima wa boku no hou e\You used to come find me way back when\You used to come find me way back when\toitsumeru koto mo nakute\toitsumeru koto mo nakute\You used to demand me of so much more\You used to demand me of so much more\mada futari wa sugu soko ni irunoni response:	mada futari wa sugu soko ni irunoni
context: You used to come find me way back when\You used to come find me way back when\toitsumeru koto mo nakute\toitsumeru koto mo nakute\You used to demand me of so much more\You used to demand me of so much more\mada futari wa sugu soko ni irunoni\mada futari wa sugu soko ni irunoni response:	You're both still standing right by my side
context: You used to come find me way back when\toitsumeru koto mo nakute\toitsumeru koto mo nakute\You used to demand me of so much more\You used to demand me of so much more\mada futari wa sugu soko ni irunoni\mada futari wa sugu soko ni irunoni\You're both still standing right by my side response:	You're both still standing right by my side
context: toitsumeru koto mo nakute\toitsumeru koto mo nakute\You used to demand me of so much more\You used to demand me of so much more\mada futari wa sugu soko ni irunoni\mada futari wa sugu soko ni irunoni\You're both still standing right by my side\You're both still standing right by my side response:	douka mata aemasuyouni nante
context: toitsumeru koto mo nakute\You used to demand me of so much more\You used to demand me of so much more\mada futari wa sugu soko ni irunoni\mada futari wa sugu soko ni irunoni\You're both still standing right by my side\You're both still standing right by my side\douka mata aemasuyouni nante response:	douka mata aemasuyouni nante
