context: When we started living in the same dorm together, response:	I figured trouble would come of it.
context: There's no need to act so surprised!\S-Sorry. I just didn't expect this.\Does it look weird?\That's not what I meant. You just look different.\Different how?\Let's see...\I think this side of you isn't so bad.\Really? response:	Yeah, I was pretty taken aback.
context: S-Sorry. I just didn't expect this.\Does it look weird?\That's not what I meant. You just look different.\Different how?\Let's see...\I think this side of you isn't so bad.\Really?\Yeah, I was pretty taken aback. response:	It's a huge success!
context: Does it look weird?\That's not what I meant. You just look different.\Different how?\Let's see...\I think this side of you isn't so bad.\Really?\Yeah, I was pretty taken aback.\It's a huge success! response:	It's snowing.
context: That's not what I meant. You just look different.\Different how?\Let's see...\I think this side of you isn't so bad.\Really?\Yeah, I was pretty taken aback.\It's a huge success!\It's snowing. response:	Hey, stupid couples, go blow yourselves up!
context: Different how?\Let's see...\I think this side of you isn't so bad.\Really?\Yeah, I was pretty taken aback.\It's a huge success!\It's snowing.\Hey, stupid couples, go blow yourselves up! response:	Don't hang up on me!
context: Let's see...\I think this side of you isn't so bad.\Really?\Yeah, I was pretty taken aback.\It's a huge success!\It's snowing.\Hey, stupid couples, go blow yourselves up!\Don't hang up on me! response:	Let me talk to Ryunosuke!
context: I think this side of you isn't so bad.\Really?\Yeah, I was pretty taken aback.\It's a huge success!\It's snowing.\Hey, stupid couples, go blow yourselves up!\Don't hang up on me!\Let me talk to Ryunosuke! response:	Request denied.
context: Really?\Yeah, I was pretty taken aback.\It's a huge success!\It's snowing.\Hey, stupid couples, go blow yourselves up!\Don't hang up on me!\Let me talk to Ryunosuke!\Request denied. response:	For a country bumpkin like you to try to set a flag...
context: Yeah, I was pretty taken aback.\It's a huge success!\It's snowing.\Hey, stupid couples, go blow yourselves up!\Don't hang up on me!\Let me talk to Ryunosuke!\Request denied.\For a country bumpkin like you to try to set a flag... response:	by sending something like this is inconceivable!
context: It's a huge success!\It's snowing.\Hey, stupid couples, go blow yourselves up!\Don't hang up on me!\Let me talk to Ryunosuke!\Request denied.\For a country bumpkin like you to try to set a flag...\by sending something like this is inconceivable! response:	Just let me talk to Ryunosuke!
context: It's snowing.\Hey, stupid couples, go blow yourselves up!\Don't hang up on me!\Let me talk to Ryunosuke!\Request denied.\For a country bumpkin like you to try to set a flag...\by sending something like this is inconceivable!\Just let me talk to Ryunosuke! response:	I refuse.
context: Hey, stupid couples, go blow yourselves up!\Don't hang up on me!\Let me talk to Ryunosuke!\Request denied.\For a country bumpkin like you to try to set a flag...\by sending something like this is inconceivable!\Just let me talk to Ryunosuke!\I refuse. response:	Snow.
context: Don't hang up on me!\Let me talk to Ryunosuke!\Request denied.\For a country bumpkin like you to try to set a flag...\by sending something like this is inconceivable!\Just let me talk to Ryunosuke!\I refuse.\Snow. response:	Sora
context: Let me talk to Ryunosuke!\Request denied.\For a country bumpkin like you to try to set a flag...\by sending something like this is inconceivable!\Just let me talk to Ryunosuke!\I refuse.\Snow.\Sora response:	It's coming down pretty hard.
context: Request denied.\For a country bumpkin like you to try to set a flag...\by sending something like this is inconceivable!\Just let me talk to Ryunosuke!\I refuse.\Snow.\Sora\It's coming down pretty hard. response:	I wonder if any will stick.
context: For a country bumpkin like you to try to set a flag...\by sending something like this is inconceivable!\Just let me talk to Ryunosuke!\I refuse.\Snow.\Sora\It's coming down pretty hard.\I wonder if any will stick. response:	I guess it's okay if snow falls on me...
context: by sending something like this is inconceivable!\Just let me talk to Ryunosuke!\I refuse.\Snow.\Sora\It's coming down pretty hard.\I wonder if any will stick.\I guess it's okay if snow falls on me... response:	Here.
context: Just let me talk to Ryunosuke!\I refuse.\Snow.\Sora\It's coming down pretty hard.\I wonder if any will stick.\I guess it's okay if snow falls on me...\Here. response:	You want me to hold it?
context: I refuse.\Snow.\Sora\It's coming down pretty hard.\I wonder if any will stick.\I guess it's okay if snow falls on me...\Here.\You want me to hold it? response:	I'm letting you use my umbrella, so the least you can do is hold it.
context: Snow.\Sora\It's coming down pretty hard.\I wonder if any will stick.\I guess it's okay if snow falls on me...\Here.\You want me to hold it?\I'm letting you use my umbrella, so the least you can do is hold it. response:	Okay, okay.
context: Sora\It's coming down pretty hard.\I wonder if any will stick.\I guess it's okay if snow falls on me...\Here.\You want me to hold it?\I'm letting you use my umbrella, so the least you can do is hold it.\Okay, okay. response:	What'd you think of the play?
context: It's coming down pretty hard.\I wonder if any will stick.\I guess it's okay if snow falls on me...\Here.\You want me to hold it?\I'm letting you use my umbrella, so the least you can do is hold it.\Okay, okay.\What'd you think of the play? response:	It was interesting, but the actors also surprised me...
context: I wonder if any will stick.\I guess it's okay if snow falls on me...\Here.\You want me to hold it?\I'm letting you use my umbrella, so the least you can do is hold it.\Okay, okay.\What'd you think of the play?\It was interesting, but the actors also surprised me... response:	and made me frustrated.
context: I guess it's okay if snow falls on me...\Here.\You want me to hold it?\I'm letting you use my umbrella, so the least you can do is hold it.\Okay, okay.\What'd you think of the play?\It was interesting, but the actors also surprised me...\and made me frustrated. response:	Yeah, I feel the same way when I play games.
context: Here.\You want me to hold it?\I'm letting you use my umbrella, so the least you can do is hold it.\Okay, okay.\What'd you think of the play?\It was interesting, but the actors also surprised me...\and made me frustrated.\Yeah, I feel the same way when I play games. response:	Professionals are on a completely different level than us,
context: You want me to hold it?\I'm letting you use my umbrella, so the least you can do is hold it.\Okay, okay.\What'd you think of the play?\It was interesting, but the actors also surprised me...\and made me frustrated.\Yeah, I feel the same way when I play games.\Professionals are on a completely different level than us, response:	from their oratory skills to their acting talents...
context: I'm letting you use my umbrella, so the least you can do is hold it.\Okay, okay.\What'd you think of the play?\It was interesting, but the actors also surprised me...\and made me frustrated.\Yeah, I feel the same way when I play games.\Professionals are on a completely different level than us,\from their oratory skills to their acting talents... response:	We've got to work harder.
context: Okay, okay.\What'd you think of the play?\It was interesting, but the actors also surprised me...\and made me frustrated.\Yeah, I feel the same way when I play games.\Professionals are on a completely different level than us,\from their oratory skills to their acting talents...\We've got to work harder. response:	But, I guess that isn't something I should say...
context: What'd you think of the play?\It was interesting, but the actors also surprised me...\and made me frustrated.\Yeah, I feel the same way when I play games.\Professionals are on a completely different level than us,\from their oratory skills to their acting talents...\We've got to work harder.\But, I guess that isn't something I should say... response:	to someone who's already working really hard.
context: It was interesting, but the actors also surprised me...\and made me frustrated.\Yeah, I feel the same way when I play games.\Professionals are on a completely different level than us,\from their oratory skills to their acting talents...\We've got to work harder.\But, I guess that isn't something I should say...\to someone who's already working really hard. response:	You think I'm working hard?
context: and made me frustrated.\Yeah, I feel the same way when I play games.\Professionals are on a completely different level than us,\from their oratory skills to their acting talents...\We've got to work harder.\But, I guess that isn't something I should say...\to someone who's already working really hard.\You think I'm working hard? response:	You're working really hard.
context: Yeah, I feel the same way when I play games.\Professionals are on a completely different level than us,\from their oratory skills to their acting talents...\We've got to work harder.\But, I guess that isn't something I should say...\to someone who's already working really hard.\You think I'm working hard?\You're working really hard. response:	Still not confident?
context: Professionals are on a completely different level than us,\from their oratory skills to their acting talents...\We've got to work harder.\But, I guess that isn't something I should say...\to someone who's already working really hard.\You think I'm working hard?\You're working really hard.\Still not confident? response:	Do I look that way?
context: from their oratory skills to their acting talents...\We've got to work harder.\But, I guess that isn't something I should say...\to someone who's already working really hard.\You think I'm working hard?\You're working really hard.\Still not confident?\Do I look that way? response:	Kinda.
context: We've got to work harder.\But, I guess that isn't something I should say...\to someone who's already working really hard.\You think I'm working hard?\You're working really hard.\Still not confident?\Do I look that way?\Kinda. response:	There's an audition for an agency in February.
context: But, I guess that isn't something I should say...\to someone who's already working really hard.\You think I'm working hard?\You're working really hard.\Still not confident?\Do I look that way?\Kinda.\There's an audition for an agency in February. response:	Really?
context: to someone who's already working really hard.\You think I'm working hard?\You're working really hard.\Still not confident?\Do I look that way?\Kinda.\There's an audition for an agency in February.\Really? response:	My parents told me to come back to Osaka...
context: You think I'm working hard?\You're working really hard.\Still not confident?\Do I look that way?\Kinda.\There's an audition for an agency in February.\Really?\My parents told me to come back to Osaka... response:	if an agency doesn't hire me.
context: You're working really hard.\Still not confident?\Do I look that way?\Kinda.\There's an audition for an agency in February.\Really?\My parents told me to come back to Osaka...\if an agency doesn't hire me. response:	What?
context: Still not confident?\Do I look that way?\Kinda.\There's an audition for an agency in February.\Really?\My parents told me to come back to Osaka...\if an agency doesn't hire me.\What? response:	Hold up. What does that mean?
context: Do I look that way?\Kinda.\There's an audition for an agency in February.\Really?\My parents told me to come back to Osaka...\if an agency doesn't hire me.\What?\Hold up. What does that mean? response:	Exactly how it sounds.
context: Kinda.\There's an audition for an agency in February.\Really?\My parents told me to come back to Osaka...\if an agency doesn't hire me.\What?\Hold up. What does that mean?\Exactly how it sounds. response:	If I fail the audition, I'll transfer schools and go back to Osaka.
context: There's an audition for an agency in February.\Really?\My parents told me to come back to Osaka...\if an agency doesn't hire me.\What?\Hold up. What does that mean?\Exactly how it sounds.\If I fail the audition, I'll transfer schools and go back to Osaka. response:	If I pass, I'll work for an agency while attending Suimei High.
context: Really?\My parents told me to come back to Osaka...\if an agency doesn't hire me.\What?\Hold up. What does that mean?\Exactly how it sounds.\If I fail the audition, I'll transfer schools and go back to Osaka.\If I pass, I'll work for an agency while attending Suimei High. response:	You mean...
context: My parents told me to come back to Osaka...\if an agency doesn't hire me.\What?\Hold up. What does that mean?\Exactly how it sounds.\If I fail the audition, I'll transfer schools and go back to Osaka.\If I pass, I'll work for an agency while attending Suimei High.\You mean... response:	Kanda-kun.
context: if an agency doesn't hire me.\What?\Hold up. What does that mean?\Exactly how it sounds.\If I fail the audition, I'll transfer schools and go back to Osaka.\If I pass, I'll work for an agency while attending Suimei High.\You mean...\Kanda-kun. response:	Would you be sad if I left?
context: What?\Hold up. What does that mean?\Exactly how it sounds.\If I fail the audition, I'll transfer schools and go back to Osaka.\If I pass, I'll work for an agency while attending Suimei High.\You mean...\Kanda-kun.\Would you be sad if I left? response:	Don't ask me that.
context: Hold up. What does that mean?\Exactly how it sounds.\If I fail the audition, I'll transfer schools and go back to Osaka.\If I pass, I'll work for an agency while attending Suimei High.\You mean...\Kanda-kun.\Would you be sad if I left?\Don't ask me that. response:	I know you'll pass.
context: Exactly how it sounds.\If I fail the audition, I'll transfer schools and go back to Osaka.\If I pass, I'll work for an agency while attending Suimei High.\You mean...\Kanda-kun.\Would you be sad if I left?\Don't ask me that.\I know you'll pass. response:	Actually, there's one more thing.
context: If I fail the audition, I'll transfer schools and go back to Osaka.\If I pass, I'll work for an agency while attending Suimei High.\You mean...\Kanda-kun.\Would you be sad if I left?\Don't ask me that.\I know you'll pass.\Actually, there's one more thing. response:	If I pass my audition...
context: If I pass, I'll work for an agency while attending Suimei High.\You mean...\Kanda-kun.\Would you be sad if I left?\Don't ask me that.\I know you'll pass.\Actually, there's one more thing.\If I pass my audition... response:	I want you...
context: You mean...\Kanda-kun.\Would you be sad if I left?\Don't ask me that.\I know you'll pass.\Actually, there's one more thing.\If I pass my audition...\I want you... response:	to hear what I have to say.
context: Kanda-kun.\Would you be sad if I left?\Don't ask me that.\I know you'll pass.\Actually, there's one more thing.\If I pass my audition...\I want you...\to hear what I have to say. response:	What do you want to tell me?
context: Would you be sad if I left?\Don't ask me that.\I know you'll pass.\Actually, there's one more thing.\If I pass my audition...\I want you...\to hear what I have to say.\What do you want to tell me? response:	I'll tell you then, not now!
context: Don't ask me that.\I know you'll pass.\Actually, there's one more thing.\If I pass my audition...\I want you...\to hear what I have to say.\What do you want to tell me?\I'll tell you then, not now! response:	Once I say it, things will change!
context: I know you'll pass.\Actually, there's one more thing.\If I pass my audition...\I want you...\to hear what I have to say.\What do you want to tell me?\I'll tell you then, not now!\Once I say it, things will change! response:	Are you sure?
context: Actually, there's one more thing.\If I pass my audition...\I want you...\to hear what I have to say.\What do you want to tell me?\I'll tell you then, not now!\Once I say it, things will change!\Are you sure? response:	Okay. I promise I'll listen.
context: If I pass my audition...\I want you...\to hear what I have to say.\What do you want to tell me?\I'll tell you then, not now!\Once I say it, things will change!\Are you sure?\Okay. I promise I'll listen. response:	Anyway...
context: I want you...\to hear what I have to say.\What do you want to tell me?\I'll tell you then, not now!\Once I say it, things will change!\Are you sure?\Okay. I promise I'll listen.\Anyway... response:	I-If... If the time comes and I'm hesitating,
context: to hear what I have to say.\What do you want to tell me?\I'll tell you then, not now!\Once I say it, things will change!\Are you sure?\Okay. I promise I'll listen.\Anyway...\I-If... If the time comes and I'm hesitating, response:	I want you to tell me...
context: What do you want to tell me?\I'll tell you then, not now!\Once I say it, things will change!\Are you sure?\Okay. I promise I'll listen.\Anyway...\I-If... If the time comes and I'm hesitating,\I want you to tell me... response:	To leap into space!
context: I'll tell you then, not now!\Once I say it, things will change!\Are you sure?\Okay. I promise I'll listen.\Anyway...\I-If... If the time comes and I'm hesitating,\I want you to tell me...\To leap into space! response:	Say what?
context: Once I say it, things will change!\Are you sure?\Okay. I promise I'll listen.\Anyway...\I-If... If the time comes and I'm hesitating,\I want you to tell me...\To leap into space!\Say what? response:	Who cares what it means? Just say it!
context: Are you sure?\Okay. I promise I'll listen.\Anyway...\I-If... If the time comes and I'm hesitating,\I want you to tell me...\To leap into space!\Say what?\Who cares what it means? Just say it! response:	I'm not sure I understand, but sure.
context: Okay. I promise I'll listen.\Anyway...\I-If... If the time comes and I'm hesitating,\I want you to tell me...\To leap into space!\Say what?\Who cares what it means? Just say it!\I'm not sure I understand, but sure. response:	Hello?
context: Anyway...\I-If... If the time comes and I'm hesitating,\I want you to tell me...\To leap into space!\Say what?\Who cares what it means? Just say it!\I'm not sure I understand, but sure.\Hello? response:	Kanda-kun?
context: I-If... If the time comes and I'm hesitating,\I want you to tell me...\To leap into space!\Say what?\Who cares what it means? Just say it!\I'm not sure I understand, but sure.\Hello?\Kanda-kun? response:	It's Ayano. Is Shiina-san with you?
context: I want you to tell me...\To leap into space!\Say what?\Who cares what it means? Just say it!\I'm not sure I understand, but sure.\Hello?\Kanda-kun?\It's Ayano. Is Shiina-san with you? response:	What? Shiina?
context: To leap into space!\Say what?\Who cares what it means? Just say it!\I'm not sure I understand, but sure.\Hello?\Kanda-kun?\It's Ayano. Is Shiina-san with you?\What? Shiina? response:	I'm sorry. Shiina-san has disappeared...
context: Say what?\Who cares what it means? Just say it!\I'm not sure I understand, but sure.\Hello?\Kanda-kun?\It's Ayano. Is Shiina-san with you?\What? Shiina?\I'm sorry. Shiina-san has disappeared... response:	The hotel staff said they saw her go outside.
context: Who cares what it means? Just say it!\I'm not sure I understand, but sure.\Hello?\Kanda-kun?\It's Ayano. Is Shiina-san with you?\What? Shiina?\I'm sorry. Shiina-san has disappeared...\The hotel staff said they saw her go outside. response:	Do you have any idea where she might have gone?
context: I'm not sure I understand, but sure.\Hello?\Kanda-kun?\It's Ayano. Is Shiina-san with you?\What? Shiina?\I'm sorry. Shiina-san has disappeared...\The hotel staff said they saw her go outside.\Do you have any idea where she might have gone? response:	Is something wrong?
context: Hello?\Kanda-kun?\It's Ayano. Is Shiina-san with you?\What? Shiina?\I'm sorry. Shiina-san has disappeared...\The hotel staff said they saw her go outside.\Do you have any idea where she might have gone?\Is something wrong? response:	Aoyama, take this.
context: Kanda-kun?\It's Ayano. Is Shiina-san with you?\What? Shiina?\I'm sorry. Shiina-san has disappeared...\The hotel staff said they saw her go outside.\Do you have any idea where she might have gone?\Is something wrong?\Aoyama, take this. response:	Kanda-kun?
context: It's Ayano. Is Shiina-san with you?\What? Shiina?\I'm sorry. Shiina-san has disappeared...\The hotel staff said they saw her go outside.\Do you have any idea where she might have gone?\Is something wrong?\Aoyama, take this.\Kanda-kun? response:	Misaki...
context: What? Shiina?\I'm sorry. Shiina-san has disappeared...\The hotel staff said they saw her go outside.\Do you have any idea where she might have gone?\Is something wrong?\Aoyama, take this.\Kanda-kun?\Misaki... response:	Answer me.
context: I'm sorry. Shiina-san has disappeared...\The hotel staff said they saw her go outside.\Do you have any idea where she might have gone?\Is something wrong?\Aoyama, take this.\Kanda-kun?\Misaki...\Answer me. response:	I love you.
context: The hotel staff said they saw her go outside.\Do you have any idea where she might have gone?\Is something wrong?\Aoyama, take this.\Kanda-kun?\Misaki...\Answer me.\I love you. response:	I love you.
context: Do you have any idea where she might have gone?\Is something wrong?\Aoyama, take this.\Kanda-kun?\Misaki...\Answer me.\I love you.\I love you. response:	Really?
context: Is something wrong?\Aoyama, take this.\Kanda-kun?\Misaki...\Answer me.\I love you.\I love you.\Really? response:	Yes, I've always loved you.
context: Aoyama, take this.\Kanda-kun?\Misaki...\Answer me.\I love you.\I love you.\Really?\Yes, I've always loved you. response:	The snow stopped.
context: Kanda-kun?\Misaki...\Answer me.\I love you.\I love you.\Really?\Yes, I've always loved you.\The snow stopped. response:	Shiina!
context: Misaki...\Answer me.\I love you.\I love you.\Really?\Yes, I've always loved you.\The snow stopped.\Shiina! response:	You...
context: Answer me.\I love you.\I love you.\Really?\Yes, I've always loved you.\The snow stopped.\Shiina!\You... response:	Sorata.
context: I love you.\I love you.\Really?\Yes, I've always loved you.\The snow stopped.\Shiina!\You...\Sorata. response:	You idiot, what are you doing?
context: I love you.\Really?\Yes, I've always loved you.\The snow stopped.\Shiina!\You...\Sorata.\You idiot, what are you doing? response:	Where are your shoes?
context: Really?\Yes, I've always loved you.\The snow stopped.\Shiina!\You...\Sorata.\You idiot, what are you doing?\Where are your shoes? response:	They disappeared somewhere while I was walking.
context: Yes, I've always loved you.\The snow stopped.\Shiina!\You...\Sorata.\You idiot, what are you doing?\Where are your shoes?\They disappeared somewhere while I was walking. response:	Somewhere...
context: The snow stopped.\Shiina!\You...\Sorata.\You idiot, what are you doing?\Where are your shoes?\They disappeared somewhere while I was walking.\Somewhere... response:	You can have this.
context: Shiina!\You...\Sorata.\You idiot, what are you doing?\Where are your shoes?\They disappeared somewhere while I was walking.\Somewhere...\You can have this. response:	It's good. I wanted you to eat it.
context: You...\Sorata.\You idiot, what are you doing?\Where are your shoes?\They disappeared somewhere while I was walking.\Somewhere...\You can have this.\It's good. I wanted you to eat it. response:	That's why you left?
context: Sorata.\You idiot, what are you doing?\Where are your shoes?\They disappeared somewhere while I was walking.\Somewhere...\You can have this.\It's good. I wanted you to eat it.\That's why you left? response:	What were you thinking?
context: You idiot, what are you doing?\Where are your shoes?\They disappeared somewhere while I was walking.\Somewhere...\You can have this.\It's good. I wanted you to eat it.\That's why you left?\What were you thinking? response:	You've been angry a lot recently.
context: Where are your shoes?\They disappeared somewhere while I was walking.\Somewhere...\You can have this.\It's good. I wanted you to eat it.\That's why you left?\What were you thinking?\You've been angry a lot recently. response:	There's a lot I want to talk to you about,
context: They disappeared somewhere while I was walking.\Somewhere...\You can have this.\It's good. I wanted you to eat it.\That's why you left?\What were you thinking?\You've been angry a lot recently.\There's a lot I want to talk to you about, response:	but you always look so unhappy.
context: Somewhere...\You can have this.\It's good. I wanted you to eat it.\That's why you left?\What were you thinking?\You've been angry a lot recently.\There's a lot I want to talk to you about,\but you always look so unhappy. response:	I don't like it, so I tried to think of what I could do to help.
context: You can have this.\It's good. I wanted you to eat it.\That's why you left?\What were you thinking?\You've been angry a lot recently.\There's a lot I want to talk to you about,\but you always look so unhappy.\I don't like it, so I tried to think of what I could do to help. response:	How could I make you happy? How could I make you have fun?
context: It's good. I wanted you to eat it.\That's why you left?\What were you thinking?\You've been angry a lot recently.\There's a lot I want to talk to you about,\but you always look so unhappy.\I don't like it, so I tried to think of what I could do to help.\How could I make you happy? How could I make you have fun? response:	But I don't know.
context: That's why you left?\What were you thinking?\You've been angry a lot recently.\There's a lot I want to talk to you about,\but you always look so unhappy.\I don't like it, so I tried to think of what I could do to help.\How could I make you happy? How could I make you have fun?\But I don't know. response:	This is all I can do.
context: What were you thinking?\You've been angry a lot recently.\There's a lot I want to talk to you about,\but you always look so unhappy.\I don't like it, so I tried to think of what I could do to help.\How could I make you happy? How could I make you have fun?\But I don't know.\This is all I can do. response:	Is it good?
context: You've been angry a lot recently.\There's a lot I want to talk to you about,\but you always look so unhappy.\I don't like it, so I tried to think of what I could do to help.\How could I make you happy? How could I make you have fun?\But I don't know.\This is all I can do.\Is it good? response:	It's hard.
context: There's a lot I want to talk to you about,\but you always look so unhappy.\I don't like it, so I tried to think of what I could do to help.\How could I make you happy? How could I make you have fun?\But I don't know.\This is all I can do.\Is it good?\It's hard. response:	You're mad.
context: but you always look so unhappy.\I don't like it, so I tried to think of what I could do to help.\How could I make you happy? How could I make you have fun?\But I don't know.\This is all I can do.\Is it good?\It's hard.\You're mad. response:	That's right, I'm mad.
context: I don't like it, so I tried to think of what I could do to help.\How could I make you happy? How could I make you have fun?\But I don't know.\This is all I can do.\Is it good?\It's hard.\You're mad.\That's right, I'm mad. response:	Sorata.
context: How could I make you happy? How could I make you have fun?\But I don't know.\This is all I can do.\Is it good?\It's hard.\You're mad.\That's right, I'm mad.\Sorata. response:	I'll worry about you if you disappear without saying anything.
context: But I don't know.\This is all I can do.\Is it good?\It's hard.\You're mad.\That's right, I'm mad.\Sorata.\I'll worry about you if you disappear without saying anything. response:	They said you suddenly vanished and they couldn't find you.
context: This is all I can do.\Is it good?\It's hard.\You're mad.\That's right, I'm mad.\Sorata.\I'll worry about you if you disappear without saying anything.\They said you suddenly vanished and they couldn't find you. response:	I thought you might have been involved in an accident.
context: Is it good?\It's hard.\You're mad.\That's right, I'm mad.\Sorata.\I'll worry about you if you disappear without saying anything.\They said you suddenly vanished and they couldn't find you.\I thought you might have been involved in an accident. response:	I thought my heart was going to stop.
context: It's hard.\You're mad.\That's right, I'm mad.\Sorata.\I'll worry about you if you disappear without saying anything.\They said you suddenly vanished and they couldn't find you.\I thought you might have been involved in an accident.\I thought my heart was going to stop. response:	Sorata.
context: You're mad.\That's right, I'm mad.\Sorata.\I'll worry about you if you disappear without saying anything.\They said you suddenly vanished and they couldn't find you.\I thought you might have been involved in an accident.\I thought my heart was going to stop.\Sorata. response:	You need more self-awareness.
context: That's right, I'm mad.\Sorata.\I'll worry about you if you disappear without saying anything.\They said you suddenly vanished and they couldn't find you.\I thought you might have been involved in an accident.\I thought my heart was going to stop.\Sorata.\You need more self-awareness. response:	Walking around here barefoot, cutting your finger...
context: Sorata.\I'll worry about you if you disappear without saying anything.\They said you suddenly vanished and they couldn't find you.\I thought you might have been involved in an accident.\I thought my heart was going to stop.\Sorata.\You need more self-awareness.\Walking around here barefoot, cutting your finger... response:	You're a professional manga artist.
context: I'll worry about you if you disappear without saying anything.\They said you suddenly vanished and they couldn't find you.\I thought you might have been involved in an accident.\I thought my heart was going to stop.\Sorata.\You need more self-awareness.\Walking around here barefoot, cutting your finger...\You're a professional manga artist. response:	I think about you a lot.
context: They said you suddenly vanished and they couldn't find you.\I thought you might have been involved in an accident.\I thought my heart was going to stop.\Sorata.\You need more self-awareness.\Walking around here barefoot, cutting your finger...\You're a professional manga artist.\I think about you a lot. response:	It made me want to make lunch for you.
context: I thought you might have been involved in an accident.\I thought my heart was going to stop.\Sorata.\You need more self-awareness.\Walking around here barefoot, cutting your finger...\You're a professional manga artist.\I think about you a lot.\It made me want to make lunch for you. response:	I didn't think of you like this before.
context: I thought my heart was going to stop.\Sorata.\You need more self-awareness.\Walking around here barefoot, cutting your finger...\You're a professional manga artist.\I think about you a lot.\It made me want to make lunch for you.\I didn't think of you like this before. response:	I don't understand it myself.
context: Sorata.\You need more self-awareness.\Walking around here barefoot, cutting your finger...\You're a professional manga artist.\I think about you a lot.\It made me want to make lunch for you.\I didn't think of you like this before.\I don't understand it myself. response:	I've never felt this way before.
context: You need more self-awareness.\Walking around here barefoot, cutting your finger...\You're a professional manga artist.\I think about you a lot.\It made me want to make lunch for you.\I didn't think of you like this before.\I don't understand it myself.\I've never felt this way before. response:	Watching you draw manga gave me goosebumps.
context: Walking around here barefoot, cutting your finger...\You're a professional manga artist.\I think about you a lot.\It made me want to make lunch for you.\I didn't think of you like this before.\I don't understand it myself.\I've never felt this way before.\Watching you draw manga gave me goosebumps. response:	It shocked me.
context: You're a professional manga artist.\I think about you a lot.\It made me want to make lunch for you.\I didn't think of you like this before.\I don't understand it myself.\I've never felt this way before.\Watching you draw manga gave me goosebumps.\It shocked me. response:	You put all you had into drawing, never thinking about...
context: I think about you a lot.\It made me want to make lunch for you.\I didn't think of you like this before.\I don't understand it myself.\I've never felt this way before.\Watching you draw manga gave me goosebumps.\It shocked me.\You put all you had into drawing, never thinking about... response:	compromising or consequences.
context: It made me want to make lunch for you.\I didn't think of you like this before.\I don't understand it myself.\I've never felt this way before.\Watching you draw manga gave me goosebumps.\It shocked me.\You put all you had into drawing, never thinking about...\compromising or consequences. response:	You put everything on the line so naturally.
context: I didn't think of you like this before.\I don't understand it myself.\I've never felt this way before.\Watching you draw manga gave me goosebumps.\It shocked me.\You put all you had into drawing, never thinking about...\compromising or consequences.\You put everything on the line so naturally. response:	Since then, I haven't been able to take my eyes off you.
context: I don't understand it myself.\I've never felt this way before.\Watching you draw manga gave me goosebumps.\It shocked me.\You put all you had into drawing, never thinking about...\compromising or consequences.\You put everything on the line so naturally.\Since then, I haven't been able to take my eyes off you. response:	Since then, I've liked that about you.
context: I've never felt this way before.\Watching you draw manga gave me goosebumps.\It shocked me.\You put all you had into drawing, never thinking about...\compromising or consequences.\You put everything on the line so naturally.\Since then, I haven't been able to take my eyes off you.\Since then, I've liked that about you. response:	So don't let me down.
context: Watching you draw manga gave me goosebumps.\It shocked me.\You put all you had into drawing, never thinking about...\compromising or consequences.\You put everything on the line so naturally.\Since then, I haven't been able to take my eyes off you.\Since then, I've liked that about you.\So don't let me down. response:	I have my eyes on you. I'm watching you, so...
context: It shocked me.\You put all you had into drawing, never thinking about...\compromising or consequences.\You put everything on the line so naturally.\Since then, I haven't been able to take my eyes off you.\Since then, I've liked that about you.\So don't let me down.\I have my eyes on you. I'm watching you, so... response:	Sorata...
context: You put all you had into drawing, never thinking about...\compromising or consequences.\You put everything on the line so naturally.\Since then, I haven't been able to take my eyes off you.\Since then, I've liked that about you.\So don't let me down.\I have my eyes on you. I'm watching you, so...\Sorata... response:	How long are you two going to stand there like that?
context: compromising or consequences.\You put everything on the line so naturally.\Since then, I haven't been able to take my eyes off you.\Since then, I've liked that about you.\So don't let me down.\I have my eyes on you. I'm watching you, so...\Sorata...\How long are you two going to stand there like that? response:	How long are we...
context: You put everything on the line so naturally.\Since then, I haven't been able to take my eyes off you.\Since then, I've liked that about you.\So don't let me down.\I have my eyes on you. I'm watching you, so...\Sorata...\How long are you two going to stand there like that?\How long are we... response:	How long have you been watching?
context: Since then, I haven't been able to take my eyes off you.\Since then, I've liked that about you.\So don't let me down.\I have my eyes on you. I'm watching you, so...\Sorata...\How long are you two going to stand there like that?\How long are we...\How long have you been watching? response:	If you knew, it'd make you want to die.
context: Since then, I've liked that about you.\So don't let me down.\I have my eyes on you. I'm watching you, so...\Sorata...\How long are you two going to stand there like that?\How long are we...\How long have you been watching?\If you knew, it'd make you want to die. response:	Don't tell me, then!
context: So don't let me down.\I have my eyes on you. I'm watching you, so...\Sorata...\How long are you two going to stand there like that?\How long are we...\How long have you been watching?\If you knew, it'd make you want to die.\Don't tell me, then! response:	Let's Make a Game! Screening Committee Member
context: I have my eyes on you. I'm watching you, so...\Sorata...\How long are you two going to stand there like that?\How long are we...\How long have you been watching?\If you knew, it'd make you want to die.\Don't tell me, then!\Let's Make a Game! Screening Committee Member response:	Here.
context: Sorata...\How long are you two going to stand there like that?\How long are we...\How long have you been watching?\If you knew, it'd make you want to die.\Don't tell me, then!\Let's Make a Game! Screening Committee Member\Here. response:	It's important, isn't it?
context: How long are you two going to stand there like that?\How long are we...\How long have you been watching?\If you knew, it'd make you want to die.\Don't tell me, then!\Let's Make a Game! Screening Committee Member\Here.\It's important, isn't it? response:	You dropped it.
