context: < Ishizaki Kanami > response:	< Friend>
context: Mao, we'll get off at the next stop.\We'll get onto another car.\They'll take good care of you.\Little boys as dolls are pretty popular.\That place.\He's gone.\We can get in from there.\Go scout that place. response:	Me?
context: We'll get onto another car.\They'll take good care of you.\Little boys as dolls are pretty popular.\That place.\He's gone.\We can get in from there.\Go scout that place.\Me? response:	Hey, aren't you the professional here?
context: They'll take good care of you.\Little boys as dolls are pretty popular.\That place.\He's gone.\We can get in from there.\Go scout that place.\Me?\Hey, aren't you the professional here? response:	Yes, missus slave driver!
context: Little boys as dolls are pretty popular.\That place.\He's gone.\We can get in from there.\Go scout that place.\Me?\Hey, aren't you the professional here?\Yes, missus slave driver! response:	More like an animal driver.
context: That place.\He's gone.\We can get in from there.\Go scout that place.\Me?\Hey, aren't you the professional here?\Yes, missus slave driver!\More like an animal driver. response:	Understand your surroundings.
context: He's gone.\We can get in from there.\Go scout that place.\Me?\Hey, aren't you the professional here?\Yes, missus slave driver!\More like an animal driver.\Understand your surroundings. response:	Almost anything can be used as a weapon.
context: We can get in from there.\Go scout that place.\Me?\Hey, aren't you the professional here?\Yes, missus slave driver!\More like an animal driver.\Understand your surroundings.\Almost anything can be used as a weapon. response:	Hey!
context: Go scout that place.\Me?\Hey, aren't you the professional here?\Yes, missus slave driver!\More like an animal driver.\Understand your surroundings.\Almost anything can be used as a weapon.\Hey! response:	Geez.
context: Me?\Hey, aren't you the professional here?\Yes, missus slave driver!\More like an animal driver.\Understand your surroundings.\Almost anything can be used as a weapon.\Hey!\Geez. response:	What the hell is he doing?
context: Hey, aren't you the professional here?\Yes, missus slave driver!\More like an animal driver.\Understand your surroundings.\Almost anything can be used as a weapon.\Hey!\Geez.\What the hell is he doing? response:	I've got to get her away from him.
context: Yes, missus slave driver!\More like an animal driver.\Understand your surroundings.\Almost anything can be used as a weapon.\Hey!\Geez.\What the hell is he doing?\I've got to get her away from him. response:	Can you do that by making some noise?
context: More like an animal driver.\Understand your surroundings.\Almost anything can be used as a weapon.\Hey!\Geez.\What the hell is he doing?\I've got to get her away from him.\Can you do that by making some noise? response:	Yes, but are you planning to go in with that?
context: Understand your surroundings.\Almost anything can be used as a weapon.\Hey!\Geez.\What the hell is he doing?\I've got to get her away from him.\Can you do that by making some noise?\Yes, but are you planning to go in with that? response:	If I use my rifle, the police could come.
context: Almost anything can be used as a weapon.\Hey!\Geez.\What the hell is he doing?\I've got to get her away from him.\Can you do that by making some noise?\Yes, but are you planning to go in with that?\If I use my rifle, the police could come. response:	Thinking rationally, aren't we?
context: Hey!\Geez.\What the hell is he doing?\I've got to get her away from him.\Can you do that by making some noise?\Yes, but are you planning to go in with that?\If I use my rifle, the police could come.\Thinking rationally, aren't we? response:	Oh well.
context: Geez.\What the hell is he doing?\I've got to get her away from him.\Can you do that by making some noise?\Yes, but are you planning to go in with that?\If I use my rifle, the police could come.\Thinking rationally, aren't we?\Oh well. response:	Who's that?!
context: What the hell is he doing?\I've got to get her away from him.\Can you do that by making some noise?\Yes, but are you planning to go in with that?\If I use my rifle, the police could come.\Thinking rationally, aren't we?\Oh well.\Who's that?! response:	Is someone there?
context: I've got to get her away from him.\Can you do that by making some noise?\Yes, but are you planning to go in with that?\If I use my rifle, the police could come.\Thinking rationally, aren't we?\Oh well.\Who's that?!\Is someone there? response:	What?! What's going on?!
context: Can you do that by making some noise?\Yes, but are you planning to go in with that?\If I use my rifle, the police could come.\Thinking rationally, aren't we?\Oh well.\Who's that?!\Is someone there?\What?! What's going on?! response:	That's enough!
context: Yes, but are you planning to go in with that?\If I use my rifle, the police could come.\Thinking rationally, aren't we?\Oh well.\Who's that?!\Is someone there?\What?! What's going on?!\That's enough! response:	Stop!
context: If I use my rifle, the police could come.\Thinking rationally, aren't we?\Oh well.\Who's that?!\Is someone there?\What?! What's going on?!\That's enough!\Stop! response:	Stop it!
context: Thinking rationally, aren't we?\Oh well.\Who's that?!\Is someone there?\What?! What's going on?!\That's enough!\Stop!\Stop it! response:	We have to rescue July!
context: Oh well.\Who's that?!\Is someone there?\What?! What's going on?!\That's enough!\Stop!\Stop it!\We have to rescue July! response:	Are you okay?
context: Who's that?!\Is someone there?\What?! What's going on?!\That's enough!\Stop!\Stop it!\We have to rescue July!\Are you okay? response:	It's dangerous if some amateurs try to deal with dolls.
context: Is someone there?\What?! What's going on?!\That's enough!\Stop!\Stop it!\We have to rescue July!\Are you okay?\It's dangerous if some amateurs try to deal with dolls. response:	Every country wants a skilled doll,
context: What?! What's going on?!\That's enough!\Stop!\Stop it!\We have to rescue July!\Are you okay?\It's dangerous if some amateurs try to deal with dolls.\Every country wants a skilled doll, response:	so doll smugglers are always in touch with intelligence agencies.
context: That's enough!\Stop!\Stop it!\We have to rescue July!\Are you okay?\It's dangerous if some amateurs try to deal with dolls.\Every country wants a skilled doll,\so doll smugglers are always in touch with intelligence agencies. response:	Feels good, huh?
context: Stop!\Stop it!\We have to rescue July!\Are you okay?\It's dangerous if some amateurs try to deal with dolls.\Every country wants a skilled doll,\so doll smugglers are always in touch with intelligence agencies.\Feels good, huh? response:	It's like an opiate for the brain.
context: Stop it!\We have to rescue July!\Are you okay?\It's dangerous if some amateurs try to deal with dolls.\Every country wants a skilled doll,\so doll smugglers are always in touch with intelligence agencies.\Feels good, huh?\It's like an opiate for the brain. response:	Your pain fades away; you feel sleepy.
context: We have to rescue July!\Are you okay?\It's dangerous if some amateurs try to deal with dolls.\Every country wants a skilled doll,\so doll smugglers are always in touch with intelligence agencies.\Feels good, huh?\It's like an opiate for the brain.\Your pain fades away; you feel sleepy. response:	And then, you stop breathing.
context: Are you okay?\It's dangerous if some amateurs try to deal with dolls.\Every country wants a skilled doll,\so doll smugglers are always in touch with intelligence agencies.\Feels good, huh?\It's like an opiate for the brain.\Your pain fades away; you feel sleepy.\And then, you stop breathing. response:	I've been looking for you!
context: It's dangerous if some amateurs try to deal with dolls.\Every country wants a skilled doll,\so doll smugglers are always in touch with intelligence agencies.\Feels good, huh?\It's like an opiate for the brain.\Your pain fades away; you feel sleepy.\And then, you stop breathing.\I've been looking for you! response:	What are you doing?!
context: Every country wants a skilled doll,\so doll smugglers are always in touch with intelligence agencies.\Feels good, huh?\It's like an opiate for the brain.\Your pain fades away; you feel sleepy.\And then, you stop breathing.\I've been looking for you!\What are you doing?! response:	Let go of me!
context: so doll smugglers are always in touch with intelligence agencies.\Feels good, huh?\It's like an opiate for the brain.\Your pain fades away; you feel sleepy.\And then, you stop breathing.\I've been looking for you!\What are you doing?!\Let go of me! response:	Close call.
context: Feels good, huh?\It's like an opiate for the brain.\Your pain fades away; you feel sleepy.\And then, you stop breathing.\I've been looking for you!\What are you doing?!\Let go of me!\Close call. response:	So you're a contractor as well.
context: It's like an opiate for the brain.\Your pain fades away; you feel sleepy.\And then, you stop breathing.\I've been looking for you!\What are you doing?!\Let go of me!\Close call.\So you're a contractor as well. response:	Let's go!
context: Your pain fades away; you feel sleepy.\And then, you stop breathing.\I've been looking for you!\What are you doing?!\Let go of me!\Close call.\So you're a contractor as well.\Let's go! response:	Stop it!
context: And then, you stop breathing.\I've been looking for you!\What are you doing?!\Let go of me!\Close call.\So you're a contractor as well.\Let's go!\Stop it! response:	Is this squirrel a contractor too?
context: I've been looking for you!\What are you doing?!\Let go of me!\Close call.\So you're a contractor as well.\Let's go!\Stop it!\Is this squirrel a contractor too? response:	Squirrel? I'm a cat!
context: What are you doing?!\Let go of me!\Close call.\So you're a contractor as well.\Let's go!\Stop it!\Is this squirrel a contractor too?\Squirrel? I'm a cat! response:	Well, now I-
context: Let go of me!\Close call.\So you're a contractor as well.\Let's go!\Stop it!\Is this squirrel a contractor too?\Squirrel? I'm a cat!\Well, now I- response:	You're coming along too.
context: Close call.\So you're a contractor as well.\Let's go!\Stop it!\Is this squirrel a contractor too?\Squirrel? I'm a cat!\Well, now I-\You're coming along too. response:	Don't! Don't follow, July.
context: So you're a contractor as well.\Let's go!\Stop it!\Is this squirrel a contractor too?\Squirrel? I'm a cat!\Well, now I-\You're coming along too.\Don't! Don't follow, July. response:	Look.
context: Let's go!\Stop it!\Is this squirrel a contractor too?\Squirrel? I'm a cat!\Well, now I-\You're coming along too.\Don't! Don't follow, July.\Look. response:	Those who're killed by me are lucky.
context: Stop it!\Is this squirrel a contractor too?\Squirrel? I'm a cat!\Well, now I-\You're coming along too.\Don't! Don't follow, July.\Look.\Those who're killed by me are lucky. response:	They die dreaming of something pleasant.
context: Is this squirrel a contractor too?\Squirrel? I'm a cat!\Well, now I-\You're coming along too.\Don't! Don't follow, July.\Look.\Those who're killed by me are lucky.\They die dreaming of something pleasant. response:	How long has it been since you've stopped dreaming?
context: Squirrel? I'm a cat!\Well, now I-\You're coming along too.\Don't! Don't follow, July.\Look.\Those who're killed by me are lucky.\They die dreaming of something pleasant.\How long has it been since you've stopped dreaming? response:	I'm asking you how long you've been a contractor.
context: Well, now I-\You're coming along too.\Don't! Don't follow, July.\Look.\Those who're killed by me are lucky.\They die dreaming of something pleasant.\How long has it been since you've stopped dreaming?\I'm asking you how long you've been a contractor. response:	You're still not aware of all this?
context: You're coming along too.\Don't! Don't follow, July.\Look.\Those who're killed by me are lucky.\They die dreaming of something pleasant.\How long has it been since you've stopped dreaming?\I'm asking you how long you've been a contractor.\You're still not aware of all this? response:	I'm really saved by not being able to dream.
context: Don't! Don't follow, July.\Look.\Those who're killed by me are lucky.\They die dreaming of something pleasant.\How long has it been since you've stopped dreaming?\I'm asking you how long you've been a contractor.\You're still not aware of all this?\I'm really saved by not being able to dream. response:	I used to often dream of the women I killed.
context: Look.\Those who're killed by me are lucky.\They die dreaming of something pleasant.\How long has it been since you've stopped dreaming?\I'm asking you how long you've been a contractor.\You're still not aware of all this?\I'm really saved by not being able to dream.\I used to often dream of the women I killed. response:	I murdered them in atrocious ways.
context: Those who're killed by me are lucky.\They die dreaming of something pleasant.\How long has it been since you've stopped dreaming?\I'm asking you how long you've been a contractor.\You're still not aware of all this?\I'm really saved by not being able to dream.\I used to often dream of the women I killed.\I murdered them in atrocious ways. response:	The complete opposite of how I'm killing now.
context: They die dreaming of something pleasant.\How long has it been since you've stopped dreaming?\I'm asking you how long you've been a contractor.\You're still not aware of all this?\I'm really saved by not being able to dream.\I used to often dream of the women I killed.\I murdered them in atrocious ways.\The complete opposite of how I'm killing now. response:	I enjoyed watching their suffering.
context: How long has it been since you've stopped dreaming?\I'm asking you how long you've been a contractor.\You're still not aware of all this?\I'm really saved by not being able to dream.\I used to often dream of the women I killed.\I murdered them in atrocious ways.\The complete opposite of how I'm killing now.\I enjoyed watching their suffering. response:	You beast!
context: I'm asking you how long you've been a contractor.\You're still not aware of all this?\I'm really saved by not being able to dream.\I used to often dream of the women I killed.\I murdered them in atrocious ways.\The complete opposite of how I'm killing now.\I enjoyed watching their suffering.\You beast! response:	Hearing that from an animal is funny.
context: You're still not aware of all this?\I'm really saved by not being able to dream.\I used to often dream of the women I killed.\I murdered them in atrocious ways.\The complete opposite of how I'm killing now.\I enjoyed watching their suffering.\You beast!\Hearing that from an animal is funny. response:	But now it's all pointless...
context: I'm really saved by not being able to dream.\I used to often dream of the women I killed.\I murdered them in atrocious ways.\The complete opposite of how I'm killing now.\I enjoyed watching their suffering.\You beast!\Hearing that from an animal is funny.\But now it's all pointless... response:	Or better said I've stopped killing them in an irrational way.
context: I used to often dream of the women I killed.\I murdered them in atrocious ways.\The complete opposite of how I'm killing now.\I enjoyed watching their suffering.\You beast!\Hearing that from an animal is funny.\But now it's all pointless...\Or better said I've stopped killing them in an irrational way. response:	I can't do it anymore, because I've become a contractor.
context: I murdered them in atrocious ways.\The complete opposite of how I'm killing now.\I enjoyed watching their suffering.\You beast!\Hearing that from an animal is funny.\But now it's all pointless...\Or better said I've stopped killing them in an irrational way.\I can't do it anymore, because I've become a contractor. response:	Isn't that ironic?
context: The complete opposite of how I'm killing now.\I enjoyed watching their suffering.\You beast!\Hearing that from an animal is funny.\But now it's all pointless...\Or better said I've stopped killing them in an irrational way.\I can't do it anymore, because I've become a contractor.\Isn't that ironic? response:	Feels good, eh?
context: I enjoyed watching their suffering.\You beast!\Hearing that from an animal is funny.\But now it's all pointless...\Or better said I've stopped killing them in an irrational way.\I can't do it anymore, because I've become a contractor.\Isn't that ironic?\Feels good, eh? response:	Just die like that?
context: You beast!\Hearing that from an animal is funny.\But now it's all pointless...\Or better said I've stopped killing them in an irrational way.\I can't do it anymore, because I've become a contractor.\Isn't that ironic?\Feels good, eh?\Just die like that? response:	Watch out!
context: Hearing that from an animal is funny.\But now it's all pointless...\Or better said I've stopped killing them in an irrational way.\I can't do it anymore, because I've become a contractor.\Isn't that ironic?\Feels good, eh?\Just die like that?\Watch out! response:	What the hell?!
context: But now it's all pointless...\Or better said I've stopped killing them in an irrational way.\I can't do it anymore, because I've become a contractor.\Isn't that ironic?\Feels good, eh?\Just die like that?\Watch out!\What the hell?! response:	How did you find us?
context: Or better said I've stopped killing them in an irrational way.\I can't do it anymore, because I've become a contractor.\Isn't that ironic?\Feels good, eh?\Just die like that?\Watch out!\What the hell?!\How did you find us? response:	Did you call the informant?
context: I can't do it anymore, because I've become a contractor.\Isn't that ironic?\Feels good, eh?\Just die like that?\Watch out!\What the hell?!\How did you find us?\Did you call the informant? response:	Wasn't that a bad idea? Especially in this situation...
context: Isn't that ironic?\Feels good, eh?\Just die like that?\Watch out!\What the hell?!\How did you find us?\Did you call the informant?\Wasn't that a bad idea? Especially in this situation... response:	Um...
context: Feels good, eh?\Just die like that?\Watch out!\What the hell?!\How did you find us?\Did you call the informant?\Wasn't that a bad idea? Especially in this situation...\Um... response:	If you want to thank someone, thank July.
context: Just die like that?\Watch out!\What the hell?!\How did you find us?\Did you call the informant?\Wasn't that a bad idea? Especially in this situation...\Um...\If you want to thank someone, thank July. response:	July!
context: Watch out!\What the hell?!\How did you find us?\Did you call the informant?\Wasn't that a bad idea? Especially in this situation...\Um...\If you want to thank someone, thank July.\July! response:	You okay? Hurt?
context: What the hell?!\How did you find us?\Did you call the informant?\Wasn't that a bad idea? Especially in this situation...\Um...\If you want to thank someone, thank July.\July!\You okay? Hurt? response:	A bump?
context: How did you find us?\Did you call the informant?\Wasn't that a bad idea? Especially in this situation...\Um...\If you want to thank someone, thank July.\July!\You okay? Hurt?\A bump? response:	Ouch.
context: Did you call the informant?\Wasn't that a bad idea? Especially in this situation...\Um...\If you want to thank someone, thank July.\July!\You okay? Hurt?\A bump?\Ouch. response:	Thanks.
context: Wasn't that a bad idea? Especially in this situation...\Um...\If you want to thank someone, thank July.\July!\You okay? Hurt?\A bump?\Ouch.\Thanks. response:	Kureteku yuubae ni senaka osarete
context: Um...\If you want to thank someone, thank July.\July!\You okay? Hurt?\A bump?\Ouch.\Thanks.\Kureteku yuubae ni senaka osarete response:	My back is pressed by the darkening glow of dusk
context: If you want to thank someone, thank July.\July!\You okay? Hurt?\A bump?\Ouch.\Thanks.\Kureteku yuubae ni senaka osarete\My back is pressed by the darkening glow of dusk response:	Arukidasu kage ga shimesu hou e
context: July!\You okay? Hurt?\A bump?\Ouch.\Thanks.\Kureteku yuubae ni senaka osarete\My back is pressed by the darkening glow of dusk\Arukidasu kage ga shimesu hou e response:	I start walking toward where my shadow points
context: You okay? Hurt?\A bump?\Ouch.\Thanks.\Kureteku yuubae ni senaka osarete\My back is pressed by the darkening glow of dusk\Arukidasu kage ga shimesu hou e\I start walking toward where my shadow points response:	Taenai ikutsu mo no deai to wakare o
context: A bump?\Ouch.\Thanks.\Kureteku yuubae ni senaka osarete\My back is pressed by the darkening glow of dusk\Arukidasu kage ga shimesu hou e\I start walking toward where my shadow points\Taenai ikutsu mo no deai to wakare o response:	Repeating the many, ceaseless encounters and partings
context: Ouch.\Thanks.\Kureteku yuubae ni senaka osarete\My back is pressed by the darkening glow of dusk\Arukidasu kage ga shimesu hou e\I start walking toward where my shadow points\Taenai ikutsu mo no deai to wakare o\Repeating the many, ceaseless encounters and partings response:	Kurikaeshi doko e mukau no ka
context: Thanks.\Kureteku yuubae ni senaka osarete\My back is pressed by the darkening glow of dusk\Arukidasu kage ga shimesu hou e\I start walking toward where my shadow points\Taenai ikutsu mo no deai to wakare o\Repeating the many, ceaseless encounters and partings\Kurikaeshi doko e mukau no ka response:	Where do I head to?
context: Kureteku yuubae ni senaka osarete\My back is pressed by the darkening glow of dusk\Arukidasu kage ga shimesu hou e\I start walking toward where my shadow points\Taenai ikutsu mo no deai to wakare o\Repeating the many, ceaseless encounters and partings\Kurikaeshi doko e mukau no ka\Where do I head to? response:	Hito wa dare mo mayoinagara
context: My back is pressed by the darkening glow of dusk\Arukidasu kage ga shimesu hou e\I start walking toward where my shadow points\Taenai ikutsu mo no deai to wakare o\Repeating the many, ceaseless encounters and partings\Kurikaeshi doko e mukau no ka\Where do I head to?\Hito wa dare mo mayoinagara response:	For all people, while they are lost,
context: Arukidasu kage ga shimesu hou e\I start walking toward where my shadow points\Taenai ikutsu mo no deai to wakare o\Repeating the many, ceaseless encounters and partings\Kurikaeshi doko e mukau no ka\Where do I head to?\Hito wa dare mo mayoinagara\For all people, while they are lost, response:	tsumi to iu na no sadame o seotte
context: I start walking toward where my shadow points\Taenai ikutsu mo no deai to wakare o\Repeating the many, ceaseless encounters and partings\Kurikaeshi doko e mukau no ka\Where do I head to?\Hito wa dare mo mayoinagara\For all people, while they are lost,\tsumi to iu na no sadame o seotte response:	they bear the fate known as sin
context: Taenai ikutsu mo no deai to wakare o\Repeating the many, ceaseless encounters and partings\Kurikaeshi doko e mukau no ka\Where do I head to?\Hito wa dare mo mayoinagara\For all people, while they are lost,\tsumi to iu na no sadame o seotte\they bear the fate known as sin response:	Sore de mo nao ikiru imi o shiru darou
context: Repeating the many, ceaseless encounters and partings\Kurikaeshi doko e mukau no ka\Where do I head to?\Hito wa dare mo mayoinagara\For all people, while they are lost,\tsumi to iu na no sadame o seotte\they bear the fate known as sin\Sore de mo nao ikiru imi o shiru darou response:	Nevertheless, I'll still learn of the meaning to live, right?
context: Kurikaeshi doko e mukau no ka\Where do I head to?\Hito wa dare mo mayoinagara\For all people, while they are lost,\tsumi to iu na no sadame o seotte\they bear the fate known as sin\Sore de mo nao ikiru imi o shiru darou\Nevertheless, I'll still learn of the meaning to live, right? response:	Bokura wa sou Day by Day
context: Where do I head to?\Hito wa dare mo mayoinagara\For all people, while they are lost,\tsumi to iu na no sadame o seotte\they bear the fate known as sin\Sore de mo nao ikiru imi o shiru darou\Nevertheless, I'll still learn of the meaning to live, right?\Bokura wa sou Day by Day response:	That's right, Day by Day,
context: Hito wa dare mo mayoinagara\For all people, while they are lost,\tsumi to iu na no sadame o seotte\they bear the fate known as sin\Sore de mo nao ikiru imi o shiru darou\Nevertheless, I'll still learn of the meaning to live, right?\Bokura wa sou Day by Day\That's right, Day by Day, response:	ashita e tsuzuku michi no tochuu de
context: For all people, while they are lost,\tsumi to iu na no sadame o seotte\they bear the fate known as sin\Sore de mo nao ikiru imi o shiru darou\Nevertheless, I'll still learn of the meaning to live, right?\Bokura wa sou Day by Day\That's right, Day by Day,\ashita e tsuzuku michi no tochuu de response:	we're midway on the road leading to tomorrow
context: tsumi to iu na no sadame o seotte\they bear the fate known as sin\Sore de mo nao ikiru imi o shiru darou\Nevertheless, I'll still learn of the meaning to live, right?\Bokura wa sou Day by Day\That's right, Day by Day,\ashita e tsuzuku michi no tochuu de\we're midway on the road leading to tomorrow response:	Now Say It Again kimi to futari no mama
context: they bear the fate known as sin\Sore de mo nao ikiru imi o shiru darou\Nevertheless, I'll still learn of the meaning to live, right?\Bokura wa sou Day by Day\That's right, Day by Day,\ashita e tsuzuku michi no tochuu de\we're midway on the road leading to tomorrow\Now Say It Again kimi to futari no mama response:	Now Say It Again, though it'd be great if
context: Sore de mo nao ikiru imi o shiru darou\Nevertheless, I'll still learn of the meaning to live, right?\Bokura wa sou Day by Day\That's right, Day by Day,\ashita e tsuzuku michi no tochuu de\we're midway on the road leading to tomorrow\Now Say It Again kimi to futari no mama\Now Say It Again, though it'd be great if response:	irareta nara ii no ni naa...
context: Nevertheless, I'll still learn of the meaning to live, right?\Bokura wa sou Day by Day\That's right, Day by Day,\ashita e tsuzuku michi no tochuu de\we're midway on the road leading to tomorrow\Now Say It Again kimi to futari no mama\Now Say It Again, though it'd be great if\irareta nara ii no ni naa... response:	I could remain together with you...
context: Bokura wa sou Day by Day\That's right, Day by Day,\ashita e tsuzuku michi no tochuu de\we're midway on the road leading to tomorrow\Now Say It Again kimi to futari no mama\Now Say It Again, though it'd be great if\irareta nara ii no ni naa...\I could remain together with you... response:	You're awake already?
context: That's right, Day by Day,\ashita e tsuzuku michi no tochuu de\we're midway on the road leading to tomorrow\Now Say It Again kimi to futari no mama\Now Say It Again, though it'd be great if\irareta nara ii no ni naa...\I could remain together with you...\You're awake already? response:	Let's get ready.
context: ashita e tsuzuku michi no tochuu de\we're midway on the road leading to tomorrow\Now Say It Again kimi to futari no mama\Now Say It Again, though it'd be great if\irareta nara ii no ni naa...\I could remain together with you...\You're awake already?\Let's get ready. response:	For hunting, you have to get to the spot early to camp.
context: we're midway on the road leading to tomorrow\Now Say It Again kimi to futari no mama\Now Say It Again, though it'd be great if\irareta nara ii no ni naa...\I could remain together with you...\You're awake already?\Let's get ready.\For hunting, you have to get to the spot early to camp. response:	I won't forget the glitter of that summer day.
context: Now Say It Again kimi to futari no mama\Now Say It Again, though it'd be great if\irareta nara ii no ni naa...\I could remain together with you...\You're awake already?\Let's get ready.\For hunting, you have to get to the spot early to camp.\I won't forget the glitter of that summer day. response:	The sunlight making its way into the room through the window...
context: Now Say It Again, though it'd be great if\irareta nara ii no ni naa...\I could remain together with you...\You're awake already?\Let's get ready.\For hunting, you have to get to the spot early to camp.\I won't forget the glitter of that summer day.\The sunlight making its way into the room through the window... response:	The spray of water trickling down your blond hair...
context: irareta nara ii no ni naa...\I could remain together with you...\You're awake already?\Let's get ready.\For hunting, you have to get to the spot early to camp.\I won't forget the glitter of that summer day.\The sunlight making its way into the room through the window...\The spray of water trickling down your blond hair... response:	The echoes through the cold wall.
context: I could remain together with you...\You're awake already?\Let's get ready.\For hunting, you have to get to the spot early to camp.\I won't forget the glitter of that summer day.\The sunlight making its way into the room through the window...\The spray of water trickling down your blond hair...\The echoes through the cold wall. response:	A distant memory of laughter. The fault of a memory.
context: You're awake already?\Let's get ready.\For hunting, you have to get to the spot early to camp.\I won't forget the glitter of that summer day.\The sunlight making its way into the room through the window...\The spray of water trickling down your blond hair...\The echoes through the cold wall.\A distant memory of laughter. The fault of a memory. response:	A memory takes place.
context: Let's get ready.\For hunting, you have to get to the spot early to camp.\I won't forget the glitter of that summer day.\The sunlight making its way into the room through the window...\The spray of water trickling down your blond hair...\The echoes through the cold wall.\A distant memory of laughter. The fault of a memory.\A memory takes place. response:	The silver train runs.
context: For hunting, you have to get to the spot early to camp.\I won't forget the glitter of that summer day.\The sunlight making its way into the room through the window...\The spray of water trickling down your blond hair...\The echoes through the cold wall.\A distant memory of laughter. The fault of a memory.\A memory takes place.\The silver train runs. response:	And then... we cannot go back to that day.
