context: Graduation response:	Captain Simon, congratulations on successfully
context: You failed once in front of the entire universe, remember?\Shut it!\At least you get to show off!\All I get to do is shoot!\Don't tell me...\I'm issuing orders from THERE?\You're on stage!\That might be the most embarrassing job... response:	Team Rabbits will hereby offer you a demonstration.
context: Shut it!\At least you get to show off!\All I get to do is shoot!\Don't tell me...\I'm issuing orders from THERE?\You're on stage!\That might be the most embarrassing job...\Team Rabbits will hereby offer you a demonstration. response:	I never expected a mission like this before graduation...
context: At least you get to show off!\All I get to do is shoot!\Don't tell me...\I'm issuing orders from THERE?\You're on stage!\That might be the most embarrassing job...\Team Rabbits will hereby offer you a demonstration.\I never expected a mission like this before graduation... response:	Let's do our best!
context: All I get to do is shoot!\Don't tell me...\I'm issuing orders from THERE?\You're on stage!\That might be the most embarrassing job...\Team Rabbits will hereby offer you a demonstration.\I never expected a mission like this before graduation...\Let's do our best! response:	This is a great chance to rid ourselves of the name Fail Five.
context: Don't tell me...\I'm issuing orders from THERE?\You're on stage!\That might be the most embarrassing job...\Team Rabbits will hereby offer you a demonstration.\I never expected a mission like this before graduation...\Let's do our best!\This is a great chance to rid ourselves of the name Fail Five. response:	Dude, you're planning to become an instant school hero, aren't you?
context: I'm issuing orders from THERE?\You're on stage!\That might be the most embarrassing job...\Team Rabbits will hereby offer you a demonstration.\I never expected a mission like this before graduation...\Let's do our best!\This is a great chance to rid ourselves of the name Fail Five.\Dude, you're planning to become an instant school hero, aren't you? response:	This really is a great opportunity, isn't it?
context: You're on stage!\That might be the most embarrassing job...\Team Rabbits will hereby offer you a demonstration.\I never expected a mission like this before graduation...\Let's do our best!\This is a great chance to rid ourselves of the name Fail Five.\Dude, you're planning to become an instant school hero, aren't you?\This really is a great opportunity, isn't it? response:	Assuming we don't fail!
context: That might be the most embarrassing job...\Team Rabbits will hereby offer you a demonstration.\I never expected a mission like this before graduation...\Let's do our best!\This is a great chance to rid ourselves of the name Fail Five.\Dude, you're planning to become an instant school hero, aren't you?\This really is a great opportunity, isn't it?\Assuming we don't fail! response:	Blue 1, Gold 4, Red 5, take off!
context: Team Rabbits will hereby offer you a demonstration.\I never expected a mission like this before graduation...\Let's do our best!\This is a great chance to rid ourselves of the name Fail Five.\Dude, you're planning to become an instant school hero, aren't you?\This really is a great opportunity, isn't it?\Assuming we don't fail!\Blue 1, Gold 4, Red 5, take off! response:	Blue 1, Red 5, linkage!
context: I never expected a mission like this before graduation...\Let's do our best!\This is a great chance to rid ourselves of the name Fail Five.\Dude, you're planning to become an instant school hero, aren't you?\This really is a great opportunity, isn't it?\Assuming we don't fail!\Blue 1, Gold 4, Red 5, take off!\Blue 1, Red 5, linkage! response:	Rose 3, blast off!
context: Let's do our best!\This is a great chance to rid ourselves of the name Fail Five.\Dude, you're planning to become an instant school hero, aren't you?\This really is a great opportunity, isn't it?\Assuming we don't fail!\Blue 1, Gold 4, Red 5, take off!\Blue 1, Red 5, linkage!\Rose 3, blast off! response:	Tamaki, you went lower than you were supposed to...
context: This is a great chance to rid ourselves of the name Fail Five.\Dude, you're planning to become an instant school hero, aren't you?\This really is a great opportunity, isn't it?\Assuming we don't fail!\Blue 1, Gold 4, Red 5, take off!\Blue 1, Red 5, linkage!\Rose 3, blast off!\Tamaki, you went lower than you were supposed to... response:	Gold 4, now!
context: Dude, you're planning to become an instant school hero, aren't you?\This really is a great opportunity, isn't it?\Assuming we don't fail!\Blue 1, Gold 4, Red 5, take off!\Blue 1, Red 5, linkage!\Rose 3, blast off!\Tamaki, you went lower than you were supposed to...\Gold 4, now! response:	No one was watching me!
context: This really is a great opportunity, isn't it?\Assuming we don't fail!\Blue 1, Gold 4, Red 5, take off!\Blue 1, Red 5, linkage!\Rose 3, blast off!\Tamaki, you went lower than you were supposed to...\Gold 4, now!\No one was watching me! response:	Who was that applause for?!
context: Assuming we don't fail!\Blue 1, Gold 4, Red 5, take off!\Blue 1, Red 5, linkage!\Rose 3, blast off!\Tamaki, you went lower than you were supposed to...\Gold 4, now!\No one was watching me!\Who was that applause for?! response:	That is all for their demonstration.
context: Blue 1, Gold 4, Red 5, take off!\Blue 1, Red 5, linkage!\Rose 3, blast off!\Tamaki, you went lower than you were supposed to...\Gold 4, now!\No one was watching me!\Who was that applause for?!\That is all for their demonstration. response:	It's over...
context: Blue 1, Red 5, linkage!\Rose 3, blast off!\Tamaki, you went lower than you were supposed to...\Gold 4, now!\No one was watching me!\Who was that applause for?!\That is all for their demonstration.\It's over... response:	I'm beat!
context: Rose 3, blast off!\Tamaki, you went lower than you were supposed to...\Gold 4, now!\No one was watching me!\Who was that applause for?!\That is all for their demonstration.\It's over...\I'm beat! response:	Hey!
context: Tamaki, you went lower than you were supposed to...\Gold 4, now!\No one was watching me!\Who was that applause for?!\That is all for their demonstration.\It's over...\I'm beat!\Hey! response:	Sorry for everything.
context: Gold 4, now!\No one was watching me!\Who was that applause for?!\That is all for their demonstration.\It's over...\I'm beat!\Hey!\Sorry for everything. response:	It won't be the same without you guys.
context: No one was watching me!\Who was that applause for?!\That is all for their demonstration.\It's over...\I'm beat!\Hey!\Sorry for everything.\It won't be the same without you guys. response:	Although we'll be hitting the frontlines soon enough.
context: Who was that applause for?!\That is all for their demonstration.\It's over...\I'm beat!\Hey!\Sorry for everything.\It won't be the same without you guys.\Although we'll be hitting the frontlines soon enough. response:	Bye! Let's meet up again sometime, Fail Five!
context: That is all for their demonstration.\It's over...\I'm beat!\Hey!\Sorry for everything.\It won't be the same without you guys.\Although we'll be hitting the frontlines soon enough.\Bye! Let's meet up again sometime, Fail Five! response:	Of all the nerve!
context: It's over...\I'm beat!\Hey!\Sorry for everything.\It won't be the same without you guys.\Although we'll be hitting the frontlines soon enough.\Bye! Let's meet up again sometime, Fail Five!\Of all the nerve! response:	Graduates, enter.
context: I'm beat!\Hey!\Sorry for everything.\It won't be the same without you guys.\Although we'll be hitting the frontlines soon enough.\Bye! Let's meet up again sometime, Fail Five!\Of all the nerve!\Graduates, enter. response:	Come receive your medal of rank, Tamaki Irie.
context: Hey!\Sorry for everything.\It won't be the same without you guys.\Although we'll be hitting the frontlines soon enough.\Bye! Let's meet up again sometime, Fail Five!\Of all the nerve!\Graduates, enter.\Come receive your medal of rank, Tamaki Irie. response:	Ma'am!
context: Sorry for everything.\It won't be the same without you guys.\Although we'll be hitting the frontlines soon enough.\Bye! Let's meet up again sometime, Fail Five!\Of all the nerve!\Graduates, enter.\Come receive your medal of rank, Tamaki Irie.\Ma'am! response:	Kei Kugimiya.
context: It won't be the same without you guys.\Although we'll be hitting the frontlines soon enough.\Bye! Let's meet up again sometime, Fail Five!\Of all the nerve!\Graduates, enter.\Come receive your medal of rank, Tamaki Irie.\Ma'am!\Kei Kugimiya. response:	Toshikazu Asagi.
context: Although we'll be hitting the frontlines soon enough.\Bye! Let's meet up again sometime, Fail Five!\Of all the nerve!\Graduates, enter.\Come receive your medal of rank, Tamaki Irie.\Ma'am!\Kei Kugimiya.\Toshikazu Asagi. response:	Ma'am!
context: Bye! Let's meet up again sometime, Fail Five!\Of all the nerve!\Graduates, enter.\Come receive your medal of rank, Tamaki Irie.\Ma'am!\Kei Kugimiya.\Toshikazu Asagi.\Ma'am! response:	Are you all right?
context: Of all the nerve!\Graduates, enter.\Come receive your medal of rank, Tamaki Irie.\Ma'am!\Kei Kugimiya.\Toshikazu Asagi.\Ma'am!\Are you all right? response:	What a doozy...
context: Graduates, enter.\Come receive your medal of rank, Tamaki Irie.\Ma'am!\Kei Kugimiya.\Toshikazu Asagi.\Ma'am!\Are you all right?\What a doozy... response:	What were you thinking, Asagi?
context: Come receive your medal of rank, Tamaki Irie.\Ma'am!\Kei Kugimiya.\Toshikazu Asagi.\Ma'am!\Are you all right?\What a doozy...\What were you thinking, Asagi? response:	I'll regret it forever.
context: Ma'am!\Kei Kugimiya.\Toshikazu Asagi.\Ma'am!\Are you all right?\What a doozy...\What were you thinking, Asagi?\I'll regret it forever. response:	I bet that gave you three holes in your tummy.
context: Kei Kugimiya.\Toshikazu Asagi.\Ma'am!\Are you all right?\What a doozy...\What were you thinking, Asagi?\I'll regret it forever.\I bet that gave you three holes in your tummy. response:	Did you get hurt?
context: Toshikazu Asagi.\Ma'am!\Are you all right?\What a doozy...\What were you thinking, Asagi?\I'll regret it forever.\I bet that gave you three holes in your tummy.\Did you get hurt? response:	Nah, I'm fine.
context: Ma'am!\Are you all right?\What a doozy...\What were you thinking, Asagi?\I'll regret it forever.\I bet that gave you three holes in your tummy.\Did you get hurt?\Nah, I'm fine. response:	Asagi hogged all of the attention back there, didn't he?
context: Are you all right?\What a doozy...\What were you thinking, Asagi?\I'll regret it forever.\I bet that gave you three holes in your tummy.\Did you get hurt?\Nah, I'm fine.\Asagi hogged all of the attention back there, didn't he? response:	That's not the type of attention I want!
context: What a doozy...\What were you thinking, Asagi?\I'll regret it forever.\I bet that gave you three holes in your tummy.\Did you get hurt?\Nah, I'm fine.\Asagi hogged all of the attention back there, didn't he?\That's not the type of attention I want! response:	Hurry on!
context: What were you thinking, Asagi?\I'll regret it forever.\I bet that gave you three holes in your tummy.\Did you get hurt?\Nah, I'm fine.\Asagi hogged all of the attention back there, didn't he?\That's not the type of attention I want!\Hurry on! response:	We'll never come back here again, will we?
context: I'll regret it forever.\I bet that gave you three holes in your tummy.\Did you get hurt?\Nah, I'm fine.\Asagi hogged all of the attention back there, didn't he?\That's not the type of attention I want!\Hurry on!\We'll never come back here again, will we? response:	Yeah...
context: I bet that gave you three holes in your tummy.\Did you get hurt?\Nah, I'm fine.\Asagi hogged all of the attention back there, didn't he?\That's not the type of attention I want!\Hurry on!\We'll never come back here again, will we?\Yeah... response:	That's kinda... sad.
context: Did you get hurt?\Nah, I'm fine.\Asagi hogged all of the attention back there, didn't he?\That's not the type of attention I want!\Hurry on!\We'll never come back here again, will we?\Yeah...\That's kinda... sad. response:	From now on...
context: Nah, I'm fine.\Asagi hogged all of the attention back there, didn't he?\That's not the type of attention I want!\Hurry on!\We'll never come back here again, will we?\Yeah...\That's kinda... sad.\From now on... response:	Wherever our team is, that will be where our home is.
context: Asagi hogged all of the attention back there, didn't he?\That's not the type of attention I want!\Hurry on!\We'll never come back here again, will we?\Yeah...\That's kinda... sad.\From now on...\Wherever our team is, that will be where our home is. response:	Let's strive...
context: That's not the type of attention I want!\Hurry on!\We'll never come back here again, will we?\Yeah...\That's kinda... sad.\From now on...\Wherever our team is, that will be where our home is.\Let's strive... response:	That's not our team name!
context: Hurry on!\We'll never come back here again, will we?\Yeah...\That's kinda... sad.\From now on...\Wherever our team is, that will be where our home is.\Let's strive...\That's not our team name! response:	Really?
context: We'll never come back here again, will we?\Yeah...\That's kinda... sad.\From now on...\Wherever our team is, that will be where our home is.\Let's strive...\That's not our team name!\Really? response:	Don't gimme that!
context: Yeah...\That's kinda... sad.\From now on...\Wherever our team is, that will be where our home is.\Let's strive...\That's not our team name!\Really?\Don't gimme that! response:	Stoopy-poopy-doopy head!
context: That's kinda... sad.\From now on...\Wherever our team is, that will be where our home is.\Let's strive...\That's not our team name!\Really?\Don't gimme that!\Stoopy-poopy-doopy head! response:	Look!
context: From now on...\Wherever our team is, that will be where our home is.\Let's strive...\That's not our team name!\Really?\Don't gimme that!\Stoopy-poopy-doopy head!\Look! response:	Stronghold of Lust
