context: I'm Gouda Takeo, a first-year in high school. response:	He's Sunakawa Makoto, a friend of mine.
context: But it's more because Yamato wished me good luck.\Yamato...\I haven't heard her voice in a while.\Fight\It's the first time I've gone this long without talking to her.\Evening.\Evening. Can I call you?\Send response:	Takeo-kun?
context: Yamato...\I haven't heard her voice in a while.\Fight\It's the first time I've gone this long without talking to her.\Evening.\Evening. Can I call you?\Send\Takeo-kun? response:	It's me!
context: I haven't heard her voice in a while.\Fight\It's the first time I've gone this long without talking to her.\Evening.\Evening. Can I call you?\Send\Takeo-kun?\It's me! response:	Yeah.
context: Fight\It's the first time I've gone this long without talking to her.\Evening.\Evening. Can I call you?\Send\Takeo-kun?\It's me!\Yeah. response:	Is something wrong?
context: It's the first time I've gone this long without talking to her.\Evening.\Evening. Can I call you?\Send\Takeo-kun?\It's me!\Yeah.\Is something wrong? response:	I just wanted to hear your voice.
context: Evening.\Evening. Can I call you?\Send\Takeo-kun?\It's me!\Yeah.\Is something wrong?\I just wanted to hear your voice. response:	Huh? My voice?
context: Evening. Can I call you?\Send\Takeo-kun?\It's me!\Yeah.\Is something wrong?\I just wanted to hear your voice.\Huh? My voice? response:	My voice... Okay.
context: Send\Takeo-kun?\It's me!\Yeah.\Is something wrong?\I just wanted to hear your voice.\Huh? My voice?\My voice... Okay. response:	Okay, I'll talk.
context: Takeo-kun?\It's me!\Yeah.\Is something wrong?\I just wanted to hear your voice.\Huh? My voice?\My voice... Okay.\Okay, I'll talk. response:	Um, this is Yamato.
context: It's me!\Yeah.\Is something wrong?\I just wanted to hear your voice.\Huh? My voice?\My voice... Okay.\Okay, I'll talk.\Um, this is Yamato. response:	How are you, Takeo-kun?
context: Yeah.\Is something wrong?\I just wanted to hear your voice.\Huh? My voice?\My voice... Okay.\Okay, I'll talk.\Um, this is Yamato.\How are you, Takeo-kun? response:	I'm fine!
context: Is something wrong?\I just wanted to hear your voice.\Huh? My voice?\My voice... Okay.\Okay, I'll talk.\Um, this is Yamato.\How are you, Takeo-kun?\I'm fine! response:	Yamato...
context: I just wanted to hear your voice.\Huh? My voice?\My voice... Okay.\Okay, I'll talk.\Um, this is Yamato.\How are you, Takeo-kun?\I'm fine!\Yamato... response:	And, um...
context: Huh? My voice?\My voice... Okay.\Okay, I'll talk.\Um, this is Yamato.\How are you, Takeo-kun?\I'm fine!\Yamato...\And, um... response:	Oh, man...
context: My voice... Okay.\Okay, I'll talk.\Um, this is Yamato.\How are you, Takeo-kun?\I'm fine!\Yamato...\And, um...\Oh, man... response:	It's hard to talk!
context: Okay, I'll talk.\Um, this is Yamato.\How are you, Takeo-kun?\I'm fine!\Yamato...\And, um...\Oh, man...\It's hard to talk! response:	Yamato...
context: Um, this is Yamato.\How are you, Takeo-kun?\I'm fine!\Yamato...\And, um...\Oh, man...\It's hard to talk!\Yamato... response:	Oh, your match is tomorrow, right?
context: How are you, Takeo-kun?\I'm fine!\Yamato...\And, um...\Oh, man...\It's hard to talk!\Yamato...\Oh, your match is tomorrow, right? response:	Come with Suna.
context: I'm fine!\Yamato...\And, um...\Oh, man...\It's hard to talk!\Yamato...\Oh, your match is tomorrow, right?\Come with Suna. response:	Okay, I will.
context: Yamato...\And, um...\Oh, man...\It's hard to talk!\Yamato...\Oh, your match is tomorrow, right?\Come with Suna.\Okay, I will. response:	I'm looking forward to it.
context: And, um...\Oh, man...\It's hard to talk!\Yamato...\Oh, your match is tomorrow, right?\Come with Suna.\Okay, I will.\I'm looking forward to it. response:	Watch me fight.
context: Oh, man...\It's hard to talk!\Yamato...\Oh, your match is tomorrow, right?\Come with Suna.\Okay, I will.\I'm looking forward to it.\Watch me fight. response:	You're done with training?
context: It's hard to talk!\Yamato...\Oh, your match is tomorrow, right?\Come with Suna.\Okay, I will.\I'm looking forward to it.\Watch me fight.\You're done with training? response:	Yeah.
context: Yamato...\Oh, your match is tomorrow, right?\Come with Suna.\Okay, I will.\I'm looking forward to it.\Watch me fight.\You're done with training?\Yeah. response:	The match will be 6 PM tomorrow, at the arena.
context: Oh, your match is tomorrow, right?\Come with Suna.\Okay, I will.\I'm looking forward to it.\Watch me fight.\You're done with training?\Yeah.\The match will be 6 PM tomorrow, at the arena. response:	Takeo, here.
context: Come with Suna.\Okay, I will.\I'm looking forward to it.\Watch me fight.\You're done with training?\Yeah.\The match will be 6 PM tomorrow, at the arena.\Takeo, here. response:	These are Yamato's!
context: Okay, I will.\I'm looking forward to it.\Watch me fight.\You're done with training?\Yeah.\The match will be 6 PM tomorrow, at the arena.\Takeo, here.\These are Yamato's! response:	You're perceptive.
context: I'm looking forward to it.\Watch me fight.\You're done with training?\Yeah.\The match will be 6 PM tomorrow, at the arena.\Takeo, here.\These are Yamato's!\You're perceptive. response:	She said she made too much when she was thinking about you.
context: Watch me fight.\You're done with training?\Yeah.\The match will be 6 PM tomorrow, at the arena.\Takeo, here.\These are Yamato's!\You're perceptive.\She said she made too much when she was thinking about you. response:	Why didn't she bring them to me?
context: You're done with training?\Yeah.\The match will be 6 PM tomorrow, at the arena.\Takeo, here.\These are Yamato's!\You're perceptive.\She said she made too much when she was thinking about you.\Why didn't she bring them to me? response:	She said she didn't want to bother you.
context: Yeah.\The match will be 6 PM tomorrow, at the arena.\Takeo, here.\These are Yamato's!\You're perceptive.\She said she made too much when she was thinking about you.\Why didn't she bring them to me?\She said she didn't want to bother you. response:	Like she could!
context: The match will be 6 PM tomorrow, at the arena.\Takeo, here.\These are Yamato's!\You're perceptive.\She said she made too much when she was thinking about you.\Why didn't she bring them to me?\She said she didn't want to bother you.\Like she could! response:	Right?
context: Takeo, here.\These are Yamato's!\You're perceptive.\She said she made too much when she was thinking about you.\Why didn't she bring them to me?\She said she didn't want to bother you.\Like she could!\Right? response:	You almost lost me there.
context: These are Yamato's!\You're perceptive.\She said she made too much when she was thinking about you.\Why didn't she bring them to me?\She said she didn't want to bother you.\Like she could!\Right?\You almost lost me there. response:	Yamato-san was almost passing out from excitement about the match.
context: You're perceptive.\She said she made too much when she was thinking about you.\Why didn't she bring them to me?\She said she didn't want to bother you.\Like she could!\Right?\You almost lost me there.\Yamato-san was almost passing out from excitement about the match. response:	Show off for her, okay?
context: She said she made too much when she was thinking about you.\Why didn't she bring them to me?\She said she didn't want to bother you.\Like she could!\Right?\You almost lost me there.\Yamato-san was almost passing out from excitement about the match.\Show off for her, okay? response:	All right, night.
context: Why didn't she bring them to me?\She said she didn't want to bother you.\Like she could!\Right?\You almost lost me there.\Yamato-san was almost passing out from excitement about the match.\Show off for her, okay?\All right, night. response:	Yamato...
context: She said she didn't want to bother you.\Like she could!\Right?\You almost lost me there.\Yamato-san was almost passing out from excitement about the match.\Show off for her, okay?\All right, night.\Yamato... response:	She didn't say anything like that.
context: Like she could!\Right?\You almost lost me there.\Yamato-san was almost passing out from excitement about the match.\Show off for her, okay?\All right, night.\Yamato...\She didn't say anything like that. response:	She just wished me good luck.
context: Right?\You almost lost me there.\Yamato-san was almost passing out from excitement about the match.\Show off for her, okay?\All right, night.\Yamato...\She didn't say anything like that.\She just wished me good luck. response:	Yamato...
context: You almost lost me there.\Yamato-san was almost passing out from excitement about the match.\Show off for her, okay?\All right, night.\Yamato...\She didn't say anything like that.\She just wished me good luck.\Yamato... response:	Good luck, Takeo-kun!
context: Yamato-san was almost passing out from excitement about the match.\Show off for her, okay?\All right, night.\Yamato...\She didn't say anything like that.\She just wished me good luck.\Yamato...\Good luck, Takeo-kun! response:	Yamato, this way.
context: Show off for her, okay?\All right, night.\Yamato...\She didn't say anything like that.\She just wished me good luck.\Yamato...\Good luck, Takeo-kun!\Yamato, this way. response:	I want you watching from up close.
context: All right, night.\Yamato...\She didn't say anything like that.\She just wished me good luck.\Yamato...\Good luck, Takeo-kun!\Yamato, this way.\I want you watching from up close. response:	Takeo-kun...
context: Yamato...\She didn't say anything like that.\She just wished me good luck.\Yamato...\Good luck, Takeo-kun!\Yamato, this way.\I want you watching from up close.\Takeo-kun... response:	Hey, Takeo.
context: She didn't say anything like that.\She just wished me good luck.\Yamato...\Good luck, Takeo-kun!\Yamato, this way.\I want you watching from up close.\Takeo-kun...\Hey, Takeo. response:	Been a while.
context: She just wished me good luck.\Yamato...\Good luck, Takeo-kun!\Yamato, this way.\I want you watching from up close.\Takeo-kun...\Hey, Takeo.\Been a while. response:	Iwayama Tsuyoshi Bianka HS
context: Yamato...\Good luck, Takeo-kun!\Yamato, this way.\I want you watching from up close.\Takeo-kun...\Hey, Takeo.\Been a while.\Iwayama Tsuyoshi Bianka HS response:	Hey, Tsuyoshi.
context: Good luck, Takeo-kun!\Yamato, this way.\I want you watching from up close.\Takeo-kun...\Hey, Takeo.\Been a while.\Iwayama Tsuyoshi Bianka HS\Hey, Tsuyoshi. response:	Long time, no see.
context: Yamato, this way.\I want you watching from up close.\Takeo-kun...\Hey, Takeo.\Been a while.\Iwayama Tsuyoshi Bianka HS\Hey, Tsuyoshi.\Long time, no see. response:	Good luck today.
context: I want you watching from up close.\Takeo-kun...\Hey, Takeo.\Been a while.\Iwayama Tsuyoshi Bianka HS\Hey, Tsuyoshi.\Long time, no see.\Good luck today. response:	He's a buddy of mine. In elementary school, we went to the same dojo.
context: Takeo-kun...\Hey, Takeo.\Been a while.\Iwayama Tsuyoshi Bianka HS\Hey, Tsuyoshi.\Long time, no see.\Good luck today.\He's a buddy of mine. In elementary school, we went to the same dojo. response:	Oh, nice to meet you.
context: Hey, Takeo.\Been a while.\Iwayama Tsuyoshi Bianka HS\Hey, Tsuyoshi.\Long time, no see.\Good luck today.\He's a buddy of mine. In elementary school, we went to the same dojo.\Oh, nice to meet you. response:	I'm Yamato, Takeo-kun's girlfriend.
context: Been a while.\Iwayama Tsuyoshi Bianka HS\Hey, Tsuyoshi.\Long time, no see.\Good luck today.\He's a buddy of mine. In elementary school, we went to the same dojo.\Oh, nice to meet you.\I'm Yamato, Takeo-kun's girlfriend. response:	Girlfriend?!
context: Iwayama Tsuyoshi Bianka HS\Hey, Tsuyoshi.\Long time, no see.\Good luck today.\He's a buddy of mine. In elementary school, we went to the same dojo.\Oh, nice to meet you.\I'm Yamato, Takeo-kun's girlfriend.\Girlfriend?! response:	You've already lost, Takeo!
context: Hey, Tsuyoshi.\Long time, no see.\Good luck today.\He's a buddy of mine. In elementary school, we went to the same dojo.\Oh, nice to meet you.\I'm Yamato, Takeo-kun's girlfriend.\Girlfriend?!\You've already lost, Takeo! response:	You were stronger than me until junior high,
context: Long time, no see.\Good luck today.\He's a buddy of mine. In elementary school, we went to the same dojo.\Oh, nice to meet you.\I'm Yamato, Takeo-kun's girlfriend.\Girlfriend?!\You've already lost, Takeo!\You were stronger than me until junior high, response:	but after starting high school, I've been competing at the national level.
context: Good luck today.\He's a buddy of mine. In elementary school, we went to the same dojo.\Oh, nice to meet you.\I'm Yamato, Takeo-kun's girlfriend.\Girlfriend?!\You've already lost, Takeo!\You were stronger than me until junior high,\but after starting high school, I've been competing at the national level. response:	I won't lose to some guy who's been fooling around with a girlfriend.
context: He's a buddy of mine. In elementary school, we went to the same dojo.\Oh, nice to meet you.\I'm Yamato, Takeo-kun's girlfriend.\Girlfriend?!\You've already lost, Takeo!\You were stronger than me until junior high,\but after starting high school, I've been competing at the national level.\I won't lose to some guy who's been fooling around with a girlfriend. response:	Takeo-kun, I think I'll go watch from the side.
context: Oh, nice to meet you.\I'm Yamato, Takeo-kun's girlfriend.\Girlfriend?!\You've already lost, Takeo!\You were stronger than me until junior high,\but after starting high school, I've been competing at the national level.\I won't lose to some guy who's been fooling around with a girlfriend.\Takeo-kun, I think I'll go watch from the side. response:	I'll be fine outside, too...
context: I'm Yamato, Takeo-kun's girlfriend.\Girlfriend?!\You've already lost, Takeo!\You were stronger than me until junior high,\but after starting high school, I've been competing at the national level.\I won't lose to some guy who's been fooling around with a girlfriend.\Takeo-kun, I think I'll go watch from the side.\I'll be fine outside, too... response:	Tsuyoshi, girlfriends aren't bad.
context: Girlfriend?!\You've already lost, Takeo!\You were stronger than me until junior high,\but after starting high school, I've been competing at the national level.\I won't lose to some guy who's been fooling around with a girlfriend.\Takeo-kun, I think I'll go watch from the side.\I'll be fine outside, too...\Tsuyoshi, girlfriends aren't bad. response:	What?
context: You've already lost, Takeo!\You were stronger than me until junior high,\but after starting high school, I've been competing at the national level.\I won't lose to some guy who's been fooling around with a girlfriend.\Takeo-kun, I think I'll go watch from the side.\I'll be fine outside, too...\Tsuyoshi, girlfriends aren't bad.\What? response:	Watch right in the middle of the room, Yamato.
context: You were stronger than me until junior high,\but after starting high school, I've been competing at the national level.\I won't lose to some guy who's been fooling around with a girlfriend.\Takeo-kun, I think I'll go watch from the side.\I'll be fine outside, too...\Tsuyoshi, girlfriends aren't bad.\What?\Watch right in the middle of the room, Yamato. response:	Okay!
context: but after starting high school, I've been competing at the national level.\I won't lose to some guy who's been fooling around with a girlfriend.\Takeo-kun, I think I'll go watch from the side.\I'll be fine outside, too...\Tsuyoshi, girlfriends aren't bad.\What?\Watch right in the middle of the room, Yamato.\Okay! response:	Good luck, Takeo-kun!
context: I won't lose to some guy who's been fooling around with a girlfriend.\Takeo-kun, I think I'll go watch from the side.\I'll be fine outside, too...\Tsuyoshi, girlfriends aren't bad.\What?\Watch right in the middle of the room, Yamato.\Okay!\Good luck, Takeo-kun! response:	The path of judo is not paved in a single day.
context: Takeo-kun, I think I'll go watch from the side.\I'll be fine outside, too...\Tsuyoshi, girlfriends aren't bad.\What?\Watch right in the middle of the room, Yamato.\Okay!\Good luck, Takeo-kun!\The path of judo is not paved in a single day. response:	Takeo's been led astray, wasting his time on romance.
context: I'll be fine outside, too...\Tsuyoshi, girlfriends aren't bad.\What?\Watch right in the middle of the room, Yamato.\Okay!\Good luck, Takeo-kun!\The path of judo is not paved in a single day.\Takeo's been led astray, wasting his time on romance. response:	He's lost his chance.
context: Tsuyoshi, girlfriends aren't bad.\What?\Watch right in the middle of the room, Yamato.\Okay!\Good luck, Takeo-kun!\The path of judo is not paved in a single day.\Takeo's been led astray, wasting his time on romance.\He's lost his chance. response:	The victory is mine.
context: What?\Watch right in the middle of the room, Yamato.\Okay!\Good luck, Takeo-kun!\The path of judo is not paved in a single day.\Takeo's been led astray, wasting his time on romance.\He's lost his chance.\The victory is mine. response:	Bow!
context: Watch right in the middle of the room, Yamato.\Okay!\Good luck, Takeo-kun!\The path of judo is not paved in a single day.\Takeo's been led astray, wasting his time on romance.\He's lost his chance.\The victory is mine.\Bow! response:	What does it mean to be strong?
context: Okay!\Good luck, Takeo-kun!\The path of judo is not paved in a single day.\Takeo's been led astray, wasting his time on romance.\He's lost his chance.\The victory is mine.\Bow!\What does it mean to be strong? response:	First player, forward.
context: Good luck, Takeo-kun!\The path of judo is not paved in a single day.\Takeo's been led astray, wasting his time on romance.\He's lost his chance.\The victory is mine.\Bow!\What does it mean to be strong?\First player, forward. response:	Put your back into it!
context: The path of judo is not paved in a single day.\Takeo's been led astray, wasting his time on romance.\He's lost his chance.\The victory is mine.\Bow!\What does it mean to be strong?\First player, forward.\Put your back into it! response:	Got it!
context: Takeo's been led astray, wasting his time on romance.\He's lost his chance.\The victory is mine.\Bow!\What does it mean to be strong?\First player, forward.\Put your back into it!\Got it! response:	Fight!
context: He's lost his chance.\The victory is mine.\Bow!\What does it mean to be strong?\First player, forward.\Put your back into it!\Got it!\Fight! response:	You've got this!
context: The victory is mine.\Bow!\What does it mean to be strong?\First player, forward.\Put your back into it!\Got it!\Fight!\You've got this! response:	Yamato...
context: Bow!\What does it mean to be strong?\First player, forward.\Put your back into it!\Got it!\Fight!\You've got this!\Yamato... response:	Everything you make tastes so heartfelt.
context: What does it mean to be strong?\First player, forward.\Put your back into it!\Got it!\Fight!\You've got this!\Yamato...\Everything you make tastes so heartfelt. response:	Fourth, forward!
context: First player, forward.\Put your back into it!\Got it!\Fight!\You've got this!\Yamato...\Everything you make tastes so heartfelt.\Fourth, forward! response:	Good luck, Captain.
context: Put your back into it!\Got it!\Fight!\You've got this!\Yamato...\Everything you make tastes so heartfelt.\Fourth, forward!\Good luck, Captain. response:	Yeah, I'll fight twice as hard in your stead.
context: Got it!\Fight!\You've got this!\Yamato...\Everything you make tastes so heartfelt.\Fourth, forward!\Good luck, Captain.\Yeah, I'll fight twice as hard in your stead. response:	Fight!
context: Fight!\You've got this!\Yamato...\Everything you make tastes so heartfelt.\Fourth, forward!\Good luck, Captain.\Yeah, I'll fight twice as hard in your stead.\Fight! response:	One more win!
context: You've got this!\Yamato...\Everything you make tastes so heartfelt.\Fourth, forward!\Good luck, Captain.\Yeah, I'll fight twice as hard in your stead.\Fight!\One more win! response:	Begin!
context: Yamato...\Everything you make tastes so heartfelt.\Fourth, forward!\Good luck, Captain.\Yeah, I'll fight twice as hard in your stead.\Fight!\One more win!\Begin! response:	Go!
context: Everything you make tastes so heartfelt.\Fourth, forward!\Good luck, Captain.\Yeah, I'll fight twice as hard in your stead.\Fight!\One more win!\Begin!\Go! response:	Fight!
context: Fourth, forward!\Good luck, Captain.\Yeah, I'll fight twice as hard in your stead.\Fight!\One more win!\Begin!\Go!\Fight! response:	Advantage.
context: Good luck, Captain.\Yeah, I'll fight twice as hard in your stead.\Fight!\One more win!\Begin!\Go!\Fight!\Advantage. response:	Bianka Shuuei
context: Yeah, I'll fight twice as hard in your stead.\Fight!\One more win!\Begin!\Go!\Fight!\Advantage.\Bianka Shuuei response:	Majority vote.
context: Fight!\One more win!\Begin!\Go!\Fight!\Advantage.\Bianka Shuuei\Majority vote. response:	Two wins and two losses.
context: One more win!\Begin!\Go!\Fight!\Advantage.\Bianka Shuuei\Majority vote.\Two wins and two losses. response:	The next match will be decisive.
context: Begin!\Go!\Fight!\Advantage.\Bianka Shuuei\Majority vote.\Two wins and two losses.\The next match will be decisive. response:	Shuuei High School's Team Champion, Gouda Takeo, forward!
context: Go!\Fight!\Advantage.\Bianka Shuuei\Majority vote.\Two wins and two losses.\The next match will be decisive.\Shuuei High School's Team Champion, Gouda Takeo, forward! response:	Sorry, Gouda...
context: Fight!\Advantage.\Bianka Shuuei\Majority vote.\Two wins and two losses.\The next match will be decisive.\Shuuei High School's Team Champion, Gouda Takeo, forward!\Sorry, Gouda... response:	I'm counting on you.
context: Advantage.\Bianka Shuuei\Majority vote.\Two wins and two losses.\The next match will be decisive.\Shuuei High School's Team Champion, Gouda Takeo, forward!\Sorry, Gouda...\I'm counting on you. response:	Bianka High School's Team Champion, Iwayama Tsuyoshi!
context: Bianka Shuuei\Majority vote.\Two wins and two losses.\The next match will be decisive.\Shuuei High School's Team Champion, Gouda Takeo, forward!\Sorry, Gouda...\I'm counting on you.\Bianka High School's Team Champion, Iwayama Tsuyoshi! response:	Here!
context: Majority vote.\Two wins and two losses.\The next match will be decisive.\Shuuei High School's Team Champion, Gouda Takeo, forward!\Sorry, Gouda...\I'm counting on you.\Bianka High School's Team Champion, Iwayama Tsuyoshi!\Here! response:	You might be wanting to impress your girlfriend,
context: Two wins and two losses.\The next match will be decisive.\Shuuei High School's Team Champion, Gouda Takeo, forward!\Sorry, Gouda...\I'm counting on you.\Bianka High School's Team Champion, Iwayama Tsuyoshi!\Here!\You might be wanting to impress your girlfriend, response:	but I won't let you.
context: The next match will be decisive.\Shuuei High School's Team Champion, Gouda Takeo, forward!\Sorry, Gouda...\I'm counting on you.\Bianka High School's Team Champion, Iwayama Tsuyoshi!\Here!\You might be wanting to impress your girlfriend,\but I won't let you. response:	Go, Tsuyoshi!
context: Shuuei High School's Team Champion, Gouda Takeo, forward!\Sorry, Gouda...\I'm counting on you.\Bianka High School's Team Champion, Iwayama Tsuyoshi!\Here!\You might be wanting to impress your girlfriend,\but I won't let you.\Go, Tsuyoshi! response:	Go, go, Tsuyoshi!
context: Sorry, Gouda...\I'm counting on you.\Bianka High School's Team Champion, Iwayama Tsuyoshi!\Here!\You might be wanting to impress your girlfriend,\but I won't let you.\Go, Tsuyoshi!\Go, go, Tsuyoshi! response:	You're the best in the prefecture!
context: I'm counting on you.\Bianka High School's Team Champion, Iwayama Tsuyoshi!\Here!\You might be wanting to impress your girlfriend,\but I won't let you.\Go, Tsuyoshi!\Go, go, Tsuyoshi!\You're the best in the prefecture! response:	Push, push, Tsuyoshi!
context: Bianka High School's Team Champion, Iwayama Tsuyoshi!\Here!\You might be wanting to impress your girlfriend,\but I won't let you.\Go, Tsuyoshi!\Go, go, Tsuyoshi!\You're the best in the prefecture!\Push, push, Tsuyoshi! response:	Bow!
context: Here!\You might be wanting to impress your girlfriend,\but I won't let you.\Go, Tsuyoshi!\Go, go, Tsuyoshi!\You're the best in the prefecture!\Push, push, Tsuyoshi!\Bow! response:	Begin!
context: You might be wanting to impress your girlfriend,\but I won't let you.\Go, Tsuyoshi!\Go, go, Tsuyoshi!\You're the best in the prefecture!\Push, push, Tsuyoshi!\Bow!\Begin! response:	All right!
context: but I won't let you.\Go, Tsuyoshi!\Go, go, Tsuyoshi!\You're the best in the prefecture!\Push, push, Tsuyoshi!\Bow!\Begin!\All right! response:	Come at me! Come on!
context: Go, Tsuyoshi!\Go, go, Tsuyoshi!\You're the best in the prefecture!\Push, push, Tsuyoshi!\Bow!\Begin!\All right!\Come at me! Come on! response:	What does it mean to be strong?
context: Go, go, Tsuyoshi!\You're the best in the prefecture!\Push, push, Tsuyoshi!\Bow!\Begin!\All right!\Come at me! Come on!\What does it mean to be strong? response:	Judo's been my life.
context: You're the best in the prefecture!\Push, push, Tsuyoshi!\Bow!\Begin!\All right!\Come at me! Come on!\What does it mean to be strong?\Judo's been my life. response:	There's no way I'll lose to Takeo, now that he's lost his bark!
context: Push, push, Tsuyoshi!\Bow!\Begin!\All right!\Come at me! Come on!\What does it mean to be strong?\Judo's been my life.\There's no way I'll lose to Takeo, now that he's lost his bark! response:	Wow! This is a match to remember!
context: Bow!\Begin!\All right!\Come at me! Come on!\What does it mean to be strong?\Judo's been my life.\There's no way I'll lose to Takeo, now that he's lost his bark!\Wow! This is a match to remember! response:	There's no way I'll lose.
context: Begin!\All right!\Come at me! Come on!\What does it mean to be strong?\Judo's been my life.\There's no way I'll lose to Takeo, now that he's lost his bark!\Wow! This is a match to remember!\There's no way I'll lose. response:	That's a win!
context: All right!\Come at me! Come on!\What does it mean to be strong?\Judo's been my life.\There's no way I'll lose to Takeo, now that he's lost his bark!\Wow! This is a match to remember!\There's no way I'll lose.\That's a win! response:	Not yet!
context: Come at me! Come on!\What does it mean to be strong?\Judo's been my life.\There's no way I'll lose to Takeo, now that he's lost his bark!\Wow! This is a match to remember!\There's no way I'll lose.\That's a win!\Not yet! response:	I can't lose!
context: What does it mean to be strong?\Judo's been my life.\There's no way I'll lose to Takeo, now that he's lost his bark!\Wow! This is a match to remember!\There's no way I'll lose.\That's a win!\Not yet!\I can't lose! response:	Dig in!
context: Judo's been my life.\There's no way I'll lose to Takeo, now that he's lost his bark!\Wow! This is a match to remember!\There's no way I'll lose.\That's a win!\Not yet!\I can't lose!\Dig in! response:	Almost there!
context: There's no way I'll lose to Takeo, now that he's lost his bark!\Wow! This is a match to remember!\There's no way I'll lose.\That's a win!\Not yet!\I can't lose!\Dig in!\Almost there! response:	There's no way I'll lose!
context: Wow! This is a match to remember!\There's no way I'll lose.\That's a win!\Not yet!\I can't lose!\Dig in!\Almost there!\There's no way I'll lose! response:	Takeo-kun...
context: There's no way I'll lose.\That's a win!\Not yet!\I can't lose!\Dig in!\Almost there!\There's no way I'll lose!\Takeo-kun... response:	No way...
context: That's a win!\Not yet!\I can't lose!\Dig in!\Almost there!\There's no way I'll lose!\Takeo-kun...\No way... response:	Wait!
context: Not yet!\I can't lose!\Dig in!\Almost there!\There's no way I'll lose!\Takeo-kun...\No way...\Wait! response:	Penalty!
context: I can't lose!\Dig in!\Almost there!\There's no way I'll lose!\Takeo-kun...\No way...\Wait!\Penalty! response:	Damn it.
context: Dig in!\Almost there!\There's no way I'll lose!\Takeo-kun...\No way...\Wait!\Penalty!\Damn it. response:	My heart...
context: Almost there!\There's no way I'll lose!\Takeo-kun...\No way...\Wait!\Penalty!\Damn it.\My heart... response:	It's on fire.
context: There's no way I'll lose!\Takeo-kun...\No way...\Wait!\Penalty!\Damn it.\My heart...\It's on fire. response:	So this... is your strength...
context: Takeo-kun...\No way...\Wait!\Penalty!\Damn it.\My heart...\It's on fire.\So this... is your strength... response:	Ippon!
context: No way...\Wait!\Penalty!\Damn it.\My heart...\It's on fire.\So this... is your strength...\Ippon! response:	It's over!
context: Wait!\Penalty!\Damn it.\My heart...\It's on fire.\So this... is your strength...\Ippon!\It's over! response:	Thank you!
context: Penalty!\Damn it.\My heart...\It's on fire.\So this... is your strength...\Ippon!\It's over!\Thank you! response:	Well, that was awesome to watch, even for a guy.
context: Damn it.\My heart...\It's on fire.\So this... is your strength...\Ippon!\It's over!\Thank you!\Well, that was awesome to watch, even for a guy. response:	Yamato, I love you.
context: My heart...\It's on fire.\So this... is your strength...\Ippon!\It's over!\Thank you!\Well, that was awesome to watch, even for a guy.\Yamato, I love you. response:	Good job, Takeo-kun!
context: It's on fire.\So this... is your strength...\Ippon!\It's over!\Thank you!\Well, that was awesome to watch, even for a guy.\Yamato, I love you.\Good job, Takeo-kun! response:	It was amazing.
context: So this... is your strength...\Ippon!\It's over!\Thank you!\Well, that was awesome to watch, even for a guy.\Yamato, I love you.\Good job, Takeo-kun!\It was amazing. response:	You were so cool!
context: Ippon!\It's over!\Thank you!\Well, that was awesome to watch, even for a guy.\Yamato, I love you.\Good job, Takeo-kun!\It was amazing.\You were so cool! response:	Thank you, Yamato!
context: It's over!\Thank you!\Well, that was awesome to watch, even for a guy.\Yamato, I love you.\Good job, Takeo-kun!\It was amazing.\You were so cool!\Thank you, Yamato! response:	It's because you were there, cheering me on.
context: Thank you!\Well, that was awesome to watch, even for a guy.\Yamato, I love you.\Good job, Takeo-kun!\It was amazing.\You were so cool!\Thank you, Yamato!\It's because you were there, cheering me on. response:	No, not at all...
context: Well, that was awesome to watch, even for a guy.\Yamato, I love you.\Good job, Takeo-kun!\It was amazing.\You were so cool!\Thank you, Yamato!\It's because you were there, cheering me on.\No, not at all... response:	Takeo, Yamato-san's already about to pass out.
context: Yamato, I love you.\Good job, Takeo-kun!\It was amazing.\You were so cool!\Thank you, Yamato!\It's because you were there, cheering me on.\No, not at all...\Takeo, Yamato-san's already about to pass out. response:	What does it mean to be strong?
context: Good job, Takeo-kun!\It was amazing.\You were so cool!\Thank you, Yamato!\It's because you were there, cheering me on.\No, not at all...\Takeo, Yamato-san's already about to pass out.\What does it mean to be strong? response:	I don't know.
context: It was amazing.\You were so cool!\Thank you, Yamato!\It's because you were there, cheering me on.\No, not at all...\Takeo, Yamato-san's already about to pass out.\What does it mean to be strong?\I don't know. response:	But, Yamato, I want to become a great man.
context: You were so cool!\Thank you, Yamato!\It's because you were there, cheering me on.\No, not at all...\Takeo, Yamato-san's already about to pass out.\What does it mean to be strong?\I don't know.\But, Yamato, I want to become a great man. response:	The stars are beautiful tonight.
context: Thank you, Yamato!\It's because you were there, cheering me on.\No, not at all...\Takeo, Yamato-san's already about to pass out.\What does it mean to be strong?\I don't know.\But, Yamato, I want to become a great man.\The stars are beautiful tonight. response:	Yeah!
context: It's because you were there, cheering me on.\No, not at all...\Takeo, Yamato-san's already about to pass out.\What does it mean to be strong?\I don't know.\But, Yamato, I want to become a great man.\The stars are beautiful tonight.\Yeah! response:	Oh, that reminds me!
context: No, not at all...\Takeo, Yamato-san's already about to pass out.\What does it mean to be strong?\I don't know.\But, Yamato, I want to become a great man.\The stars are beautiful tonight.\Yeah!\Oh, that reminds me! response:	We found the Takeo constellation.
