context: Whether or not anyone asked for you, response:	you will all be participating in internships with pros.
context: We were able to put two offers in.\Let's get started without ado.\I look forward to working with you!\I saw your guts at the sports festival.\I like you two.\However, being a hero's not so easy that you can rely on brute force alone.\I will teach you that as someone with more experience.\As expected of the Chivalrous Hero! response:	So manly!
context: Let's get started without ado.\I look forward to working with you!\I saw your guts at the sports festival.\I like you two.\However, being a hero's not so easy that you can rely on brute force alone.\I will teach you that as someone with more experience.\As expected of the Chivalrous Hero!\So manly! response:	Wait for me to finish!
context: I look forward to working with you!\I saw your guts at the sports festival.\I like you two.\However, being a hero's not so easy that you can rely on brute force alone.\I will teach you that as someone with more experience.\As expected of the Chivalrous Hero!\So manly!\Wait for me to finish! response:	S-Sorry!
context: I saw your guts at the sports festival.\I like you two.\However, being a hero's not so easy that you can rely on brute force alone.\I will teach you that as someone with more experience.\As expected of the Chivalrous Hero!\So manly!\Wait for me to finish!\S-Sorry! response:	I'll teach you manners properly, too.
context: I like you two.\However, being a hero's not so easy that you can rely on brute force alone.\I will teach you that as someone with more experience.\As expected of the Chivalrous Hero!\So manly!\Wait for me to finish!\S-Sorry!\I'll teach you manners properly, too. response:	Thank you very much!
context: However, being a hero's not so easy that you can rely on brute force alone.\I will teach you that as someone with more experience.\As expected of the Chivalrous Hero!\So manly!\Wait for me to finish!\S-Sorry!\I'll teach you manners properly, too.\Thank you very much! response:	First, I'll tell you the major premise.
context: I will teach you that as someone with more experience.\As expected of the Chivalrous Hero!\So manly!\Wait for me to finish!\S-Sorry!\I'll teach you manners properly, too.\Thank you very much!\First, I'll tell you the major premise. response:	Pro heroes receive wages from the government, so we are civil servants,
context: As expected of the Chivalrous Hero!\So manly!\Wait for me to finish!\S-Sorry!\I'll teach you manners properly, too.\Thank you very much!\First, I'll tell you the major premise.\Pro heroes receive wages from the government, so we are civil servants, response:	but because of how this came about,
context: So manly!\Wait for me to finish!\S-Sorry!\I'll teach you manners properly, too.\Thank you very much!\First, I'll tell you the major premise.\Pro heroes receive wages from the government, so we are civil servants,\but because of how this came about, response:	civil servants and pro heroes are very different.
context: Wait for me to finish!\S-Sorry!\I'll teach you manners properly, too.\Thank you very much!\First, I'll tell you the major premise.\Pro heroes receive wages from the government, so we are civil servants,\but because of how this came about,\civil servants and pro heroes are very different. response:	Regarding the actual duties of a pro hero...
context: S-Sorry!\I'll teach you manners properly, too.\Thank you very much!\First, I'll tell you the major premise.\Pro heroes receive wages from the government, so we are civil servants,\but because of how this came about,\civil servants and pro heroes are very different.\Regarding the actual duties of a pro hero... response:	Basic hero duties involve controlling crime, see?
context: I'll teach you manners properly, too.\Thank you very much!\First, I'll tell you the major premise.\Pro heroes receive wages from the government, so we are civil servants,\but because of how this came about,\civil servants and pro heroes are very different.\Regarding the actual duties of a pro hero...\Basic hero duties involve controlling crime, see? response:	Battle Hero: Gunhead
context: Thank you very much!\First, I'll tell you the major premise.\Pro heroes receive wages from the government, so we are civil servants,\but because of how this came about,\civil servants and pro heroes are very different.\Regarding the actual duties of a pro hero...\Basic hero duties involve controlling crime, see?\Battle Hero: Gunhead response:	When a crime occurs, the police will contact heroes for support.
context: First, I'll tell you the major premise.\Pro heroes receive wages from the government, so we are civil servants,\but because of how this came about,\civil servants and pro heroes are very different.\Regarding the actual duties of a pro hero...\Basic hero duties involve controlling crime, see?\Battle Hero: Gunhead\When a crime occurs, the police will contact heroes for support. response:	The requests will come all at once by district, see?
context: Pro heroes receive wages from the government, so we are civil servants,\but because of how this came about,\civil servants and pro heroes are very different.\Regarding the actual duties of a pro hero...\Basic hero duties involve controlling crime, see?\Battle Hero: Gunhead\When a crime occurs, the police will contact heroes for support.\The requests will come all at once by district, see? response:	We file reports on the services we provided, like assisting with arrests or rescuing people,
context: but because of how this came about,\civil servants and pro heroes are very different.\Regarding the actual duties of a pro hero...\Basic hero duties involve controlling crime, see?\Battle Hero: Gunhead\When a crime occurs, the police will contact heroes for support.\The requests will come all at once by district, see?\We file reports on the services we provided, like assisting with arrests or rescuing people, response:	to the government office.
context: civil servants and pro heroes are very different.\Regarding the actual duties of a pro hero...\Basic hero duties involve controlling crime, see?\Battle Hero: Gunhead\When a crime occurs, the police will contact heroes for support.\The requests will come all at once by district, see?\We file reports on the services we provided, like assisting with arrests or rescuing people,\to the government office. response:	And then, we receive pay based on an examination conducted by a special agency.
context: Regarding the actual duties of a pro hero...\Basic hero duties involve controlling crime, see?\Battle Hero: Gunhead\When a crime occurs, the police will contact heroes for support.\The requests will come all at once by district, see?\We file reports on the services we provided, like assisting with arrests or rescuing people,\to the government office.\And then, we receive pay based on an examination conducted by a special agency. response:	We usually get a percentage.
context: Basic hero duties involve controlling crime, see?\Battle Hero: Gunhead\When a crime occurs, the police will contact heroes for support.\The requests will come all at once by district, see?\We file reports on the services we provided, like assisting with arrests or rescuing people,\to the government office.\And then, we receive pay based on an examination conducted by a special agency.\We usually get a percentage. response:	Ochaco Uraraka - Quirk: Zero Gravity
context: Battle Hero: Gunhead\When a crime occurs, the police will contact heroes for support.\The requests will come all at once by district, see?\We file reports on the services we provided, like assisting with arrests or rescuing people,\to the government office.\And then, we receive pay based on an examination conducted by a special agency.\We usually get a percentage.\Ochaco Uraraka - Quirk: Zero Gravity response:	The way he talks is cute.
context: When a crime occurs, the police will contact heroes for support.\The requests will come all at once by district, see?\We file reports on the services we provided, like assisting with arrests or rescuing people,\to the government office.\And then, we receive pay based on an examination conducted by a special agency.\We usually get a percentage.\Ochaco Uraraka - Quirk: Zero Gravity\The way he talks is cute. response:	TV Station
context: The requests will come all at once by district, see?\We file reports on the services we provided, like assisting with arrests or rescuing people,\to the government office.\And then, we receive pay based on an examination conducted by a special agency.\We usually get a percentage.\Ochaco Uraraka - Quirk: Zero Gravity\The way he talks is cute.\TV Station response:	In addition, heroes are allowed to have side jobs.
context: We file reports on the services we provided, like assisting with arrests or rescuing people,\to the government office.\And then, we receive pay based on an examination conducted by a special agency.\We usually get a percentage.\Ochaco Uraraka - Quirk: Zero Gravity\The way he talks is cute.\TV Station\In addition, heroes are allowed to have side jobs. response:	When this was made official, there was a lot of argument about this,
context: to the government office.\And then, we receive pay based on an examination conducted by a special agency.\We usually get a percentage.\Ochaco Uraraka - Quirk: Zero Gravity\The way he talks is cute.\TV Station\In addition, heroes are allowed to have side jobs.\When this was made official, there was a lot of argument about this, response:	Snake Hero: Uwabami
context: And then, we receive pay based on an examination conducted by a special agency.\We usually get a percentage.\Ochaco Uraraka - Quirk: Zero Gravity\The way he talks is cute.\TV Station\In addition, heroes are allowed to have side jobs.\When this was made official, there was a lot of argument about this,\Snake Hero: Uwabami response:	but that ended thanks to our popularity and public demand.
context: We usually get a percentage.\Ochaco Uraraka - Quirk: Zero Gravity\The way he talks is cute.\TV Station\In addition, heroes are allowed to have side jobs.\When this was made official, there was a lot of argument about this,\Snake Hero: Uwabami\but that ended thanks to our popularity and public demand. response:	So now, I'm about to film a commercial.
context: Ochaco Uraraka - Quirk: Zero Gravity\The way he talks is cute.\TV Station\In addition, heroes are allowed to have side jobs.\When this was made official, there was a lot of argument about this,\Snake Hero: Uwabami\but that ended thanks to our popularity and public demand.\So now, I'm about to film a commercial. response:	Stick around, okay?
context: The way he talks is cute.\TV Station\In addition, heroes are allowed to have side jobs.\When this was made official, there was a lot of argument about this,\Snake Hero: Uwabami\but that ended thanks to our popularity and public demand.\So now, I'm about to film a commercial.\Stick around, okay? response:	Itsuka Kendo - Quirk: Big Fist
context: TV Station\In addition, heroes are allowed to have side jobs.\When this was made official, there was a lot of argument about this,\Snake Hero: Uwabami\but that ended thanks to our popularity and public demand.\So now, I'm about to film a commercial.\Stick around, okay?\Itsuka Kendo - Quirk: Big Fist response:	I wanted to experience something more hero-like, though...
context: In addition, heroes are allowed to have side jobs.\When this was made official, there was a lot of argument about this,\Snake Hero: Uwabami\but that ended thanks to our popularity and public demand.\So now, I'm about to film a commercial.\Stick around, okay?\Itsuka Kendo - Quirk: Big Fist\I wanted to experience something more hero-like, though... response:	No, this is not something you can avoid if you want to become a pro!
context: When this was made official, there was a lot of argument about this,\Snake Hero: Uwabami\but that ended thanks to our popularity and public demand.\So now, I'm about to film a commercial.\Stick around, okay?\Itsuka Kendo - Quirk: Big Fist\I wanted to experience something more hero-like, though...\No, this is not something you can avoid if you want to become a pro! response:	Momo Yaoyorozu - Quirk: Creation
context: Snake Hero: Uwabami\but that ended thanks to our popularity and public demand.\So now, I'm about to film a commercial.\Stick around, okay?\Itsuka Kendo - Quirk: Big Fist\I wanted to experience something more hero-like, though...\No, this is not something you can avoid if you want to become a pro!\Momo Yaoyorozu - Quirk: Creation response:	Besides, she is the one who fell for pathetic little me...
context: but that ended thanks to our popularity and public demand.\So now, I'm about to film a commercial.\Stick around, okay?\Itsuka Kendo - Quirk: Big Fist\I wanted to experience something more hero-like, though...\No, this is not something you can avoid if you want to become a pro!\Momo Yaoyorozu - Quirk: Creation\Besides, she is the one who fell for pathetic little me... response:	I will learn as much as I can!
context: So now, I'm about to film a commercial.\Stick around, okay?\Itsuka Kendo - Quirk: Big Fist\I wanted to experience something more hero-like, though...\No, this is not something you can avoid if you want to become a pro!\Momo Yaoyorozu - Quirk: Creation\Besides, she is the one who fell for pathetic little me...\I will learn as much as I can! response:	She's going all out...
context: Stick around, okay?\Itsuka Kendo - Quirk: Big Fist\I wanted to experience something more hero-like, though...\No, this is not something you can avoid if you want to become a pro!\Momo Yaoyorozu - Quirk: Creation\Besides, she is the one who fell for pathetic little me...\I will learn as much as I can!\She's going all out... response:	But all we can do while you're filming is watch, right?
context: Itsuka Kendo - Quirk: Big Fist\I wanted to experience something more hero-like, though...\No, this is not something you can avoid if you want to become a pro!\Momo Yaoyorozu - Quirk: Creation\Besides, she is the one who fell for pathetic little me...\I will learn as much as I can!\She's going all out...\But all we can do while you're filming is watch, right? response:	Do you know why I chose you two?
context: I wanted to experience something more hero-like, though...\No, this is not something you can avoid if you want to become a pro!\Momo Yaoyorozu - Quirk: Creation\Besides, she is the one who fell for pathetic little me...\I will learn as much as I can!\She's going all out...\But all we can do while you're filming is watch, right?\Do you know why I chose you two? response:	It's because...
context: No, this is not something you can avoid if you want to become a pro!\Momo Yaoyorozu - Quirk: Creation\Besides, she is the one who fell for pathetic little me...\I will learn as much as I can!\She's going all out...\But all we can do while you're filming is watch, right?\Do you know why I chose you two?\It's because... response:	Isn't it because you fell for our qualifications as heroes?
context: Momo Yaoyorozu - Quirk: Creation\Besides, she is the one who fell for pathetic little me...\I will learn as much as I can!\She's going all out...\But all we can do while you're filming is watch, right?\Do you know why I chose you two?\It's because...\Isn't it because you fell for our qualifications as heroes? response:	Of course! But that's not all.
context: Besides, she is the one who fell for pathetic little me...\I will learn as much as I can!\She's going all out...\But all we can do while you're filming is watch, right?\Do you know why I chose you two?\It's because...\Isn't it because you fell for our qualifications as heroes?\Of course! But that's not all. response:	Hm?
context: I will learn as much as I can!\She's going all out...\But all we can do while you're filming is watch, right?\Do you know why I chose you two?\It's because...\Isn't it because you fell for our qualifications as heroes?\Of course! But that's not all.\Hm? response:	It's also because you're cute!
context: She's going all out...\But all we can do while you're filming is watch, right?\Do you know why I chose you two?\It's because...\Isn't it because you fell for our qualifications as heroes?\Of course! But that's not all.\Hm?\It's also because you're cute! response:	Huh?
context: But all we can do while you're filming is watch, right?\Do you know why I chose you two?\It's because...\Isn't it because you fell for our qualifications as heroes?\Of course! But that's not all.\Hm?\It's also because you're cute!\Huh? response:	Tatooin Station
context: Do you know why I chose you two?\It's because...\Isn't it because you fell for our qualifications as heroes?\Of course! But that's not all.\Hm?\It's also because you're cute!\Huh?\Tatooin Station response:	Heroes must practice and train every day.
context: It's because...\Isn't it because you fell for our qualifications as heroes?\Of course! But that's not all.\Hm?\It's also because you're cute!\Huh?\Tatooin Station\Heroes must practice and train every day. response:	Kyoka Jiro - Quirk: Earphone Jack Pro Hero - Death Arms
context: Isn't it because you fell for our qualifications as heroes?\Of course! But that's not all.\Hm?\It's also because you're cute!\Huh?\Tatooin Station\Heroes must practice and train every day.\Kyoka Jiro - Quirk: Earphone Jack Pro Hero - Death Arms response:	That doesn't change even if they are on patrol!
context: Of course! But that's not all.\Hm?\It's also because you're cute!\Huh?\Tatooin Station\Heroes must practice and train every day.\Kyoka Jiro - Quirk: Earphone Jack Pro Hero - Death Arms\That doesn't change even if they are on patrol! response:	R-Right!
context: Hm?\It's also because you're cute!\Huh?\Tatooin Station\Heroes must practice and train every day.\Kyoka Jiro - Quirk: Earphone Jack Pro Hero - Death Arms\That doesn't change even if they are on patrol!\R-Right! response:	Man, this is harder than class!
context: It's also because you're cute!\Huh?\Tatooin Station\Heroes must practice and train every day.\Kyoka Jiro - Quirk: Earphone Jack Pro Hero - Death Arms\That doesn't change even if they are on patrol!\R-Right!\Man, this is harder than class! response:	An important part of being a hero is knowing how to pass idle hours.
context: Huh?\Tatooin Station\Heroes must practice and train every day.\Kyoka Jiro - Quirk: Earphone Jack Pro Hero - Death Arms\That doesn't change even if they are on patrol!\R-Right!\Man, this is harder than class!\An important part of being a hero is knowing how to pass idle hours. response:	Pro Hero - Mt. Lady - Quirk: Gigantification
context: Tatooin Station\Heroes must practice and train every day.\Kyoka Jiro - Quirk: Earphone Jack Pro Hero - Death Arms\That doesn't change even if they are on patrol!\R-Right!\Man, this is harder than class!\An important part of being a hero is knowing how to pass idle hours.\Pro Hero - Mt. Lady - Quirk: Gigantification response:	Do you understand?
context: Heroes must practice and train every day.\Kyoka Jiro - Quirk: Earphone Jack Pro Hero - Death Arms\That doesn't change even if they are on patrol!\R-Right!\Man, this is harder than class!\An important part of being a hero is knowing how to pass idle hours.\Pro Hero - Mt. Lady - Quirk: Gigantification\Do you understand? response:	Y-Yeah...
context: Kyoka Jiro - Quirk: Earphone Jack Pro Hero - Death Arms\That doesn't change even if they are on patrol!\R-Right!\Man, this is harder than class!\An important part of being a hero is knowing how to pass idle hours.\Pro Hero - Mt. Lady - Quirk: Gigantification\Do you understand?\Y-Yeah... response:	Minoru Mineta - Quirk: Pop Off
context: That doesn't change even if they are on patrol!\R-Right!\Man, this is harder than class!\An important part of being a hero is knowing how to pass idle hours.\Pro Hero - Mt. Lady - Quirk: Gigantification\Do you understand?\Y-Yeah...\Minoru Mineta - Quirk: Pop Off response:	I'm not into this kind of stuff...
context: R-Right!\Man, this is harder than class!\An important part of being a hero is knowing how to pass idle hours.\Pro Hero - Mt. Lady - Quirk: Gigantification\Do you understand?\Y-Yeah...\Minoru Mineta - Quirk: Pop Off\I'm not into this kind of stuff... response:	Tsuyu Asui - Quirk: Frog
context: Man, this is harder than class!\An important part of being a hero is knowing how to pass idle hours.\Pro Hero - Mt. Lady - Quirk: Gigantification\Do you understand?\Y-Yeah...\Minoru Mineta - Quirk: Pop Off\I'm not into this kind of stuff...\Tsuyu Asui - Quirk: Frog response:	I have been waiting for you, Shoto.
context: An important part of being a hero is knowing how to pass idle hours.\Pro Hero - Mt. Lady - Quirk: Gigantification\Do you understand?\Y-Yeah...\Minoru Mineta - Quirk: Pop Off\I'm not into this kind of stuff...\Tsuyu Asui - Quirk: Frog\I have been waiting for you, Shoto. response:	It seems you are finally ready to take the path of the mighty, huh?
context: Pro Hero - Mt. Lady - Quirk: Gigantification\Do you understand?\Y-Yeah...\Minoru Mineta - Quirk: Pop Off\I'm not into this kind of stuff...\Tsuyu Asui - Quirk: Frog\I have been waiting for you, Shoto.\It seems you are finally ready to take the path of the mighty, huh? response:	I have no intention of going down a path you made.
context: Do you understand?\Y-Yeah...\Minoru Mineta - Quirk: Pop Off\I'm not into this kind of stuff...\Tsuyu Asui - Quirk: Frog\I have been waiting for you, Shoto.\It seems you are finally ready to take the path of the mighty, huh?\I have no intention of going down a path you made. response:	Shoto Todoroki - Quirk: Half-Cold, Half-Hot
context: Y-Yeah...\Minoru Mineta - Quirk: Pop Off\I'm not into this kind of stuff...\Tsuyu Asui - Quirk: Frog\I have been waiting for you, Shoto.\It seems you are finally ready to take the path of the mighty, huh?\I have no intention of going down a path you made.\Shoto Todoroki - Quirk: Half-Cold, Half-Hot response:	I will take my own path.
context: Minoru Mineta - Quirk: Pop Off\I'm not into this kind of stuff...\Tsuyu Asui - Quirk: Frog\I have been waiting for you, Shoto.\It seems you are finally ready to take the path of the mighty, huh?\I have no intention of going down a path you made.\Shoto Todoroki - Quirk: Half-Cold, Half-Hot\I will take my own path. response:	Oh well, you should get ready, too.
context: I'm not into this kind of stuff...\Tsuyu Asui - Quirk: Frog\I have been waiting for you, Shoto.\It seems you are finally ready to take the path of the mighty, huh?\I have no intention of going down a path you made.\Shoto Todoroki - Quirk: Half-Cold, Half-Hot\I will take my own path.\Oh well, you should get ready, too. response:	Pro Hero - Endeavor - Quirk: Hellflame
context: Tsuyu Asui - Quirk: Frog\I have been waiting for you, Shoto.\It seems you are finally ready to take the path of the mighty, huh?\I have no intention of going down a path you made.\Shoto Todoroki - Quirk: Half-Cold, Half-Hot\I will take my own path.\Oh well, you should get ready, too.\Pro Hero - Endeavor - Quirk: Hellflame response:	We're going out.
context: I have been waiting for you, Shoto.\It seems you are finally ready to take the path of the mighty, huh?\I have no intention of going down a path you made.\Shoto Todoroki - Quirk: Half-Cold, Half-Hot\I will take my own path.\Oh well, you should get ready, too.\Pro Hero - Endeavor - Quirk: Hellflame\We're going out. response:	Where?
context: It seems you are finally ready to take the path of the mighty, huh?\I have no intention of going down a path you made.\Shoto Todoroki - Quirk: Half-Cold, Half-Hot\I will take my own path.\Oh well, you should get ready, too.\Pro Hero - Endeavor - Quirk: Hellflame\We're going out.\Where? response:	I'll show you what a hero is.
context: I have no intention of going down a path you made.\Shoto Todoroki - Quirk: Half-Cold, Half-Hot\I will take my own path.\Oh well, you should get ready, too.\Pro Hero - Endeavor - Quirk: Hellflame\We're going out.\Where?\I'll show you what a hero is. response:	Internship Day 1 - Night
context: Shoto Todoroki - Quirk: Half-Cold, Half-Hot\I will take my own path.\Oh well, you should get ready, too.\Pro Hero - Endeavor - Quirk: Hellflame\We're going out.\Where?\I'll show you what a hero is.\Internship Day 1 - Night response:	He is sleeping, right?
context: I will take my own path.\Oh well, you should get ready, too.\Pro Hero - Endeavor - Quirk: Hellflame\We're going out.\Where?\I'll show you what a hero is.\Internship Day 1 - Night\He is sleeping, right? response:	The first day, he ended up just testing me.
context: Oh well, you should get ready, too.\Pro Hero - Endeavor - Quirk: Hellflame\We're going out.\Where?\I'll show you what a hero is.\Internship Day 1 - Night\He is sleeping, right?\The first day, he ended up just testing me. response:	We didn't do any hero work.
context: Pro Hero - Endeavor - Quirk: Hellflame\We're going out.\Where?\I'll show you what a hero is.\Internship Day 1 - Night\He is sleeping, right?\The first day, he ended up just testing me.\We didn't do any hero work. response:	And after coming back from buying food, he went to sleep.
context: We're going out.\Where?\I'll show you what a hero is.\Internship Day 1 - Night\He is sleeping, right?\The first day, he ended up just testing me.\We didn't do any hero work.\And after coming back from buying food, he went to sleep. response:	Gran Torino. I didn't get any hits when I searched his name.
context: Where?\I'll show you what a hero is.\Internship Day 1 - Night\He is sleeping, right?\The first day, he ended up just testing me.\We didn't do any hero work.\And after coming back from buying food, he went to sleep.\Gran Torino. I didn't get any hits when I searched his name. response:	A U.A. teacher for just one year.
context: I'll show you what a hero is.\Internship Day 1 - Night\He is sleeping, right?\The first day, he ended up just testing me.\We didn't do any hero work.\And after coming back from buying food, he went to sleep.\Gran Torino. I didn't get any hits when I searched his name.\A U.A. teacher for just one year. response:	There are a lot of mysteries about him.
context: Internship Day 1 - Night\He is sleeping, right?\The first day, he ended up just testing me.\We didn't do any hero work.\And after coming back from buying food, he went to sleep.\Gran Torino. I didn't get any hits when I searched his name.\A U.A. teacher for just one year.\There are a lot of mysteries about him. response:	I need to think of One For All, of my own Quirk, more evenly.
context: He is sleeping, right?\The first day, he ended up just testing me.\We didn't do any hero work.\And after coming back from buying food, he went to sleep.\Gran Torino. I didn't get any hits when I searched his name.\A U.A. teacher for just one year.\There are a lot of mysteries about him.\I need to think of One For All, of my own Quirk, more evenly. response:	What Kacchan and the others can do as naturally as breathing,
context: The first day, he ended up just testing me.\We didn't do any hero work.\And after coming back from buying food, he went to sleep.\Gran Torino. I didn't get any hits when I searched his name.\A U.A. teacher for just one year.\There are a lot of mysteries about him.\I need to think of One For All, of my own Quirk, more evenly.\What Kacchan and the others can do as naturally as breathing, response:	I still feel the need to use in a conscious way.
context: We didn't do any hero work.\And after coming back from buying food, he went to sleep.\Gran Torino. I didn't get any hits when I searched his name.\A U.A. teacher for just one year.\There are a lot of mysteries about him.\I need to think of One For All, of my own Quirk, more evenly.\What Kacchan and the others can do as naturally as breathing,\I still feel the need to use in a conscious way. response:	If I can use my power at 5 like breathing,
context: And after coming back from buying food, he went to sleep.\Gran Torino. I didn't get any hits when I searched his name.\A U.A. teacher for just one year.\There are a lot of mysteries about him.\I need to think of One For All, of my own Quirk, more evenly.\What Kacchan and the others can do as naturally as breathing,\I still feel the need to use in a conscious way.\If I can use my power at 5 like breathing, response:	movements like that won't be impossible!
context: Gran Torino. I didn't get any hits when I searched his name.\A U.A. teacher for just one year.\There are a lot of mysteries about him.\I need to think of One For All, of my own Quirk, more evenly.\What Kacchan and the others can do as naturally as breathing,\I still feel the need to use in a conscious way.\If I can use my power at 5 like breathing,\movements like that won't be impossible! response:	Mr. Aizawa and Kirishima said so, too-
context: A U.A. teacher for just one year.\There are a lot of mysteries about him.\I need to think of One For All, of my own Quirk, more evenly.\What Kacchan and the others can do as naturally as breathing,\I still feel the need to use in a conscious way.\If I can use my power at 5 like breathing,\movements like that won't be impossible!\Mr. Aizawa and Kirishima said so, too- response:	If I can master my Quirk, there's a lot I can do!
context: There are a lot of mysteries about him.\I need to think of One For All, of my own Quirk, more evenly.\What Kacchan and the others can do as naturally as breathing,\I still feel the need to use in a conscious way.\If I can use my power at 5 like breathing,\movements like that won't be impossible!\Mr. Aizawa and Kirishima said so, too-\If I can master my Quirk, there's a lot I can do! response:	First off, using it instantaneously and intermittently!
context: I need to think of One For All, of my own Quirk, more evenly.\What Kacchan and the others can do as naturally as breathing,\I still feel the need to use in a conscious way.\If I can use my power at 5 like breathing,\movements like that won't be impossible!\Mr. Aizawa and Kirishima said so, too-\If I can master my Quirk, there's a lot I can do!\First off, using it instantaneously and intermittently! response:	All right! It's a matter of getting used to it.
context: What Kacchan and the others can do as naturally as breathing,\I still feel the need to use in a conscious way.\If I can use my power at 5 like breathing,\movements like that won't be impossible!\Mr. Aizawa and Kirishima said so, too-\If I can master my Quirk, there's a lot I can do!\First off, using it instantaneously and intermittently!\All right! It's a matter of getting used to it. response:	Even with just 5, I should be able to cross this distance.
context: I still feel the need to use in a conscious way.\If I can use my power at 5 like breathing,\movements like that won't be impossible!\Mr. Aizawa and Kirishima said so, too-\If I can master my Quirk, there's a lot I can do!\First off, using it instantaneously and intermittently!\All right! It's a matter of getting used to it.\Even with just 5, I should be able to cross this distance. response:	If I can go jump, jump, jump,
context: If I can use my power at 5 like breathing,\movements like that won't be impossible!\Mr. Aizawa and Kirishima said so, too-\If I can master my Quirk, there's a lot I can do!\First off, using it instantaneously and intermittently!\All right! It's a matter of getting used to it.\Even with just 5, I should be able to cross this distance.\If I can go jump, jump, jump, response:	then it'd be really cool!
context: movements like that won't be impossible!\Mr. Aizawa and Kirishima said so, too-\If I can master my Quirk, there's a lot I can do!\First off, using it instantaneously and intermittently!\All right! It's a matter of getting used to it.\Even with just 5, I should be able to cross this distance.\If I can go jump, jump, jump,\then it'd be really cool! response:	Imagine an egg not breaking in the microwave!
context: Mr. Aizawa and Kirishima said so, too-\If I can master my Quirk, there's a lot I can do!\First off, using it instantaneously and intermittently!\All right! It's a matter of getting used to it.\Even with just 5, I should be able to cross this distance.\If I can go jump, jump, jump,\then it'd be really cool!\Imagine an egg not breaking in the microwave! response:	Well, I knew this would happen...
context: If I can master my Quirk, there's a lot I can do!\First off, using it instantaneously and intermittently!\All right! It's a matter of getting used to it.\Even with just 5, I should be able to cross this distance.\If I can go jump, jump, jump,\then it'd be really cool!\Imagine an egg not breaking in the microwave!\Well, I knew this would happen... response:	I need to brace myself... and cushion my arms...
context: First off, using it instantaneously and intermittently!\All right! It's a matter of getting used to it.\Even with just 5, I should be able to cross this distance.\If I can go jump, jump, jump,\then it'd be really cool!\Imagine an egg not breaking in the microwave!\Well, I knew this would happen...\I need to brace myself... and cushion my arms... response:	Which means, from the second jump, I'll need to put power into my arms and legs...
context: All right! It's a matter of getting used to it.\Even with just 5, I should be able to cross this distance.\If I can go jump, jump, jump,\then it'd be really cool!\Imagine an egg not breaking in the microwave!\Well, I knew this would happen...\I need to brace myself... and cushion my arms...\Which means, from the second jump, I'll need to put power into my arms and legs... response:	Snap
context: Even with just 5, I should be able to cross this distance.\If I can go jump, jump, jump,\then it'd be really cool!\Imagine an egg not breaking in the microwave!\Well, I knew this would happen...\I need to brace myself... and cushion my arms...\Which means, from the second jump, I'll need to put power into my arms and legs...\Snap response:	But if I don't do it quickly, then I might break more bones...
context: If I can go jump, jump, jump,\then it'd be really cool!\Imagine an egg not breaking in the microwave!\Well, I knew this would happen...\I need to brace myself... and cushion my arms...\Which means, from the second jump, I'll need to put power into my arms and legs...\Snap\But if I don't do it quickly, then I might break more bones... response:	Thud
context: then it'd be really cool!\Imagine an egg not breaking in the microwave!\Well, I knew this would happen...\I need to brace myself... and cushion my arms...\Which means, from the second jump, I'll need to put power into my arms and legs...\Snap\But if I don't do it quickly, then I might break more bones...\Thud response:	It'll take too long to visualize like I usually do.
context: Imagine an egg not breaking in the microwave!\Well, I knew this would happen...\I need to brace myself... and cushion my arms...\Which means, from the second jump, I'll need to put power into my arms and legs...\Snap\But if I don't do it quickly, then I might break more bones...\Thud\It'll take too long to visualize like I usually do. response:	All right, one more time!
context: Well, I knew this would happen...\I need to brace myself... and cushion my arms...\Which means, from the second jump, I'll need to put power into my arms and legs...\Snap\But if I don't do it quickly, then I might break more bones...\Thud\It'll take too long to visualize like I usually do.\All right, one more time! response:	Reinforce my arms-
context: I need to brace myself... and cushion my arms...\Which means, from the second jump, I'll need to put power into my arms and legs...\Snap\But if I don't do it quickly, then I might break more bones...\Thud\It'll take too long to visualize like I usually do.\All right, one more time!\Reinforce my arms- response:	Switch faster-
context: Which means, from the second jump, I'll need to put power into my arms and legs...\Snap\But if I don't do it quickly, then I might break more bones...\Thud\It'll take too long to visualize like I usually do.\All right, one more time!\Reinforce my arms-\Switch faster- response:	Faster! Faster!
context: Snap\But if I don't do it quickly, then I might break more bones...\Thud\It'll take too long to visualize like I usually do.\All right, one more time!\Reinforce my arms-\Switch faster-\Faster! Faster! response:	What's that?
context: But if I don't do it quickly, then I might break more bones...\Thud\It'll take too long to visualize like I usually do.\All right, one more time!\Reinforce my arms-\Switch faster-\Faster! Faster!\What's that? response:	Let's go! We shouldn't get involved.
context: Thud\It'll take too long to visualize like I usually do.\All right, one more time!\Reinforce my arms-\Switch faster-\Faster! Faster!\What's that?\Let's go! We shouldn't get involved. response:	Faster!
context: It'll take too long to visualize like I usually do.\All right, one more time!\Reinforce my arms-\Switch faster-\Faster! Faster!\What's that?\Let's go! We shouldn't get involved.\Faster! response:	Morning. What's wrong?
context: All right, one more time!\Reinforce my arms-\Switch faster-\Faster! Faster!\What's that?\Let's go! We shouldn't get involved.\Faster!\Morning. What's wrong? response:	I was training on my own yesterday and got a little too caught up in it.
context: Reinforce my arms-\Switch faster-\Faster! Faster!\What's that?\Let's go! We shouldn't get involved.\Faster!\Morning. What's wrong?\I was training on my own yesterday and got a little too caught up in it. response:	I tried to digest what you said to me and put it into practice,
