context: Hey, are we there yet? response:	It's just a little farther, Ben-chan.
context: Who's there?\I thought I'd come check on your wounds.\Also, I thought you might be hungry.\Let's have some manju together.\I want some, too.\My wounds aren't serious.\Sorry, I let my guard down.\Don't cry. Don't be sad, Isanami. response:	Sorry. I won't cry.
context: I thought I'd come check on your wounds.\Also, I thought you might be hungry.\Let's have some manju together.\I want some, too.\My wounds aren't serious.\Sorry, I let my guard down.\Don't cry. Don't be sad, Isanami.\Sorry. I won't cry. response:	Don't you remember what the priest used to say?
context: Also, I thought you might be hungry.\Let's have some manju together.\I want some, too.\My wounds aren't serious.\Sorry, I let my guard down.\Don't cry. Don't be sad, Isanami.\Sorry. I won't cry.\Don't you remember what the priest used to say? response:	Your sorrow will summon the darkness.
context: Let's have some manju together.\I want some, too.\My wounds aren't serious.\Sorry, I let my guard down.\Don't cry. Don't be sad, Isanami.\Sorry. I won't cry.\Don't you remember what the priest used to say?\Your sorrow will summon the darkness. response:	She was abandoned under the torii of Izumo Shrine.
context: I want some, too.\My wounds aren't serious.\Sorry, I let my guard down.\Don't cry. Don't be sad, Isanami.\Sorry. I won't cry.\Don't you remember what the priest used to say?\Your sorrow will summon the darkness.\She was abandoned under the torii of Izumo Shrine. response:	The priest who raised her soon realized...
context: My wounds aren't serious.\Sorry, I let my guard down.\Don't cry. Don't be sad, Isanami.\Sorry. I won't cry.\Don't you remember what the priest used to say?\Your sorrow will summon the darkness.\She was abandoned under the torii of Izumo Shrine.\The priest who raised her soon realized... response:	When she cried, a priestess disappeared,
context: Sorry, I let my guard down.\Don't cry. Don't be sad, Isanami.\Sorry. I won't cry.\Don't you remember what the priest used to say?\Your sorrow will summon the darkness.\She was abandoned under the torii of Izumo Shrine.\The priest who raised her soon realized...\When she cried, a priestess disappeared, response:	as though swallowed by darkness.
context: Don't cry. Don't be sad, Isanami.\Sorry. I won't cry.\Don't you remember what the priest used to say?\Your sorrow will summon the darkness.\She was abandoned under the torii of Izumo Shrine.\The priest who raised her soon realized...\When she cried, a priestess disappeared,\as though swallowed by darkness. response:	They searched the shrine grounds,
context: Sorry. I won't cry.\Don't you remember what the priest used to say?\Your sorrow will summon the darkness.\She was abandoned under the torii of Izumo Shrine.\The priest who raised her soon realized...\When she cried, a priestess disappeared,\as though swallowed by darkness.\They searched the shrine grounds, response:	and found darkness seeping out from under the stones by the torii.
context: Don't you remember what the priest used to say?\Your sorrow will summon the darkness.\She was abandoned under the torii of Izumo Shrine.\The priest who raised her soon realized...\When she cried, a priestess disappeared,\as though swallowed by darkness.\They searched the shrine grounds,\and found darkness seeping out from under the stones by the torii. response:	The priest was horrified.
context: Your sorrow will summon the darkness.\She was abandoned under the torii of Izumo Shrine.\The priest who raised her soon realized...\When she cried, a priestess disappeared,\as though swallowed by darkness.\They searched the shrine grounds,\and found darkness seeping out from under the stones by the torii.\The priest was horrified. response:	According to legend, underneath there was the Slope to the Underworld.
context: She was abandoned under the torii of Izumo Shrine.\The priest who raised her soon realized...\When she cried, a priestess disappeared,\as though swallowed by darkness.\They searched the shrine grounds,\and found darkness seeping out from under the stones by the torii.\The priest was horrified.\According to legend, underneath there was the Slope to the Underworld. response:	Are you really all right, Isanami?
context: The priest who raised her soon realized...\When she cried, a priestess disappeared,\as though swallowed by darkness.\They searched the shrine grounds,\and found darkness seeping out from under the stones by the torii.\The priest was horrified.\According to legend, underneath there was the Slope to the Underworld.\Are you really all right, Isanami? response:	I'm fine.
context: When she cried, a priestess disappeared,\as though swallowed by darkness.\They searched the shrine grounds,\and found darkness seeping out from under the stones by the torii.\The priest was horrified.\According to legend, underneath there was the Slope to the Underworld.\Are you really all right, Isanami?\I'm fine. response:	You two should rest as well.
context: as though swallowed by darkness.\They searched the shrine grounds,\and found darkness seeping out from under the stones by the torii.\The priest was horrified.\According to legend, underneath there was the Slope to the Underworld.\Are you really all right, Isanami?\I'm fine.\You two should rest as well. response:	I'm going to sleep.
context: They searched the shrine grounds,\and found darkness seeping out from under the stones by the torii.\The priest was horrified.\According to legend, underneath there was the Slope to the Underworld.\Are you really all right, Isanami?\I'm fine.\You two should rest as well.\I'm going to sleep. response:	Will you be okay by yourself?
context: and found darkness seeping out from under the stones by the torii.\The priest was horrified.\According to legend, underneath there was the Slope to the Underworld.\Are you really all right, Isanami?\I'm fine.\You two should rest as well.\I'm going to sleep.\Will you be okay by yourself? response:	I can stay with you.
context: The priest was horrified.\According to legend, underneath there was the Slope to the Underworld.\Are you really all right, Isanami?\I'm fine.\You two should rest as well.\I'm going to sleep.\Will you be okay by yourself?\I can stay with you. response:	I'll be fine.
context: According to legend, underneath there was the Slope to the Underworld.\Are you really all right, Isanami?\I'm fine.\You two should rest as well.\I'm going to sleep.\Will you be okay by yourself?\I can stay with you.\I'll be fine. response:	Thanks, Ben-chan. See you tomorrow.
context: Are you really all right, Isanami?\I'm fine.\You two should rest as well.\I'm going to sleep.\Will you be okay by yourself?\I can stay with you.\I'll be fine.\Thanks, Ben-chan. See you tomorrow. response:	Ana, why?
context: I'm fine.\You two should rest as well.\I'm going to sleep.\Will you be okay by yourself?\I can stay with you.\I'll be fine.\Thanks, Ben-chan. See you tomorrow.\Ana, why? response:	Why?
context: You two should rest as well.\I'm going to sleep.\Will you be okay by yourself?\I can stay with you.\I'll be fine.\Thanks, Ben-chan. See you tomorrow.\Ana, why?\Why? response:	Saizo.
context: I'm going to sleep.\Will you be okay by yourself?\I can stay with you.\I'll be fine.\Thanks, Ben-chan. See you tomorrow.\Ana, why?\Why?\Saizo. response:	Saizo...
context: Will you be okay by yourself?\I can stay with you.\I'll be fine.\Thanks, Ben-chan. See you tomorrow.\Ana, why?\Why?\Saizo.\Saizo... response:	When the girl cried, the earth screamed.
context: I can stay with you.\I'll be fine.\Thanks, Ben-chan. See you tomorrow.\Ana, why?\Why?\Saizo.\Saizo...\When the girl cried, the earth screamed. response:	She was calling the darkness.
context: I'll be fine.\Thanks, Ben-chan. See you tomorrow.\Ana, why?\Why?\Saizo.\Saizo...\When the girl cried, the earth screamed.\She was calling the darkness. response:	There is only person who can call the darkness from the Underworld.
context: Thanks, Ben-chan. See you tomorrow.\Ana, why?\Why?\Saizo.\Saizo...\When the girl cried, the earth screamed.\She was calling the darkness.\There is only person who can call the darkness from the Underworld. response:	Izanami no Mikoto.
context: Ana, why?\Why?\Saizo.\Saizo...\When the girl cried, the earth screamed.\She was calling the darkness.\There is only person who can call the darkness from the Underworld.\Izanami no Mikoto. response:	Drawing on the negative human emotions for strength,
context: Why?\Saizo.\Saizo...\When the girl cried, the earth screamed.\She was calling the darkness.\There is only person who can call the darkness from the Underworld.\Izanami no Mikoto.\Drawing on the negative human emotions for strength, response:	she is the goddess of death who threatened...
context: Saizo.\Saizo...\When the girl cried, the earth screamed.\She was calling the darkness.\There is only person who can call the darkness from the Underworld.\Izanami no Mikoto.\Drawing on the negative human emotions for strength,\she is the goddess of death who threatened... response:	That's Isanami?
context: Saizo...\When the girl cried, the earth screamed.\She was calling the darkness.\There is only person who can call the darkness from the Underworld.\Izanami no Mikoto.\Drawing on the negative human emotions for strength,\she is the goddess of death who threatened...\That's Isanami? response:	You can't be serious.
context: When the girl cried, the earth screamed.\She was calling the darkness.\There is only person who can call the darkness from the Underworld.\Izanami no Mikoto.\Drawing on the negative human emotions for strength,\she is the goddess of death who threatened...\That's Isanami?\You can't be serious. response:	The Kushimitama keeps this power of destruction contained.
context: She was calling the darkness.\There is only person who can call the darkness from the Underworld.\Izanami no Mikoto.\Drawing on the negative human emotions for strength,\she is the goddess of death who threatened...\That's Isanami?\You can't be serious.\The Kushimitama keeps this power of destruction contained. response:	In other words, Isanami does not protect the Kushimitama.
context: There is only person who can call the darkness from the Underworld.\Izanami no Mikoto.\Drawing on the negative human emotions for strength,\she is the goddess of death who threatened...\That's Isanami?\You can't be serious.\The Kushimitama keeps this power of destruction contained.\In other words, Isanami does not protect the Kushimitama. response:	The Kushimitama protects our world from Isanami.
context: Izanami no Mikoto.\Drawing on the negative human emotions for strength,\she is the goddess of death who threatened...\That's Isanami?\You can't be serious.\The Kushimitama keeps this power of destruction contained.\In other words, Isanami does not protect the Kushimitama.\The Kushimitama protects our world from Isanami. response:	Isanami.
context: Drawing on the negative human emotions for strength,\she is the goddess of death who threatened...\That's Isanami?\You can't be serious.\The Kushimitama keeps this power of destruction contained.\In other words, Isanami does not protect the Kushimitama.\The Kushimitama protects our world from Isanami.\Isanami. response:	Damn it. Everyone's so annoying I can hardly stand it.
context: she is the goddess of death who threatened...\That's Isanami?\You can't be serious.\The Kushimitama keeps this power of destruction contained.\In other words, Isanami does not protect the Kushimitama.\The Kushimitama protects our world from Isanami.\Isanami.\Damn it. Everyone's so annoying I can hardly stand it. response:	Feeling bad won't make Rokuro-san any better, and Ana...
context: That's Isanami?\You can't be serious.\The Kushimitama keeps this power of destruction contained.\In other words, Isanami does not protect the Kushimitama.\The Kushimitama protects our world from Isanami.\Isanami.\Damn it. Everyone's so annoying I can hardly stand it.\Feeling bad won't make Rokuro-san any better, and Ana... response:	You're the pirate's black cat.
context: You can't be serious.\The Kushimitama keeps this power of destruction contained.\In other words, Isanami does not protect the Kushimitama.\The Kushimitama protects our world from Isanami.\Isanami.\Damn it. Everyone's so annoying I can hardly stand it.\Feeling bad won't make Rokuro-san any better, and Ana...\You're the pirate's black cat. response:	What do you want?
context: The Kushimitama keeps this power of destruction contained.\In other words, Isanami does not protect the Kushimitama.\The Kushimitama protects our world from Isanami.\Isanami.\Damn it. Everyone's so annoying I can hardly stand it.\Feeling bad won't make Rokuro-san any better, and Ana...\You're the pirate's black cat.\What do you want? response:	What are you doing? Stop licking me!
context: In other words, Isanami does not protect the Kushimitama.\The Kushimitama protects our world from Isanami.\Isanami.\Damn it. Everyone's so annoying I can hardly stand it.\Feeling bad won't make Rokuro-san any better, and Ana...\You're the pirate's black cat.\What do you want?\What are you doing? Stop licking me! response:	I'm not depressed like the stupid monkey!
context: The Kushimitama protects our world from Isanami.\Isanami.\Damn it. Everyone's so annoying I can hardly stand it.\Feeling bad won't make Rokuro-san any better, and Ana...\You're the pirate's black cat.\What do you want?\What are you doing? Stop licking me!\I'm not depressed like the stupid monkey! response:	Get off of me!
context: Isanami.\Damn it. Everyone's so annoying I can hardly stand it.\Feeling bad won't make Rokuro-san any better, and Ana...\You're the pirate's black cat.\What do you want?\What are you doing? Stop licking me!\I'm not depressed like the stupid monkey!\Get off of me! response:	Don't bite me!
context: Damn it. Everyone's so annoying I can hardly stand it.\Feeling bad won't make Rokuro-san any better, and Ana...\You're the pirate's black cat.\What do you want?\What are you doing? Stop licking me!\I'm not depressed like the stupid monkey!\Get off of me!\Don't bite me! response:	Cut it out, Veronica!
context: Feeling bad won't make Rokuro-san any better, and Ana...\You're the pirate's black cat.\What do you want?\What are you doing? Stop licking me!\I'm not depressed like the stupid monkey!\Get off of me!\Don't bite me!\Cut it out, Veronica! response:	You'll get a stomachache.
context: You're the pirate's black cat.\What do you want?\What are you doing? Stop licking me!\I'm not depressed like the stupid monkey!\Get off of me!\Don't bite me!\Cut it out, Veronica!\You'll get a stomachache. response:	Is that all you have to say?
context: What do you want?\What are you doing? Stop licking me!\I'm not depressed like the stupid monkey!\Get off of me!\Don't bite me!\Cut it out, Veronica!\You'll get a stomachache.\Is that all you have to say? response:	The next episode of Brave 10 is The Start of Tragedy.
context: What are you doing? Stop licking me!\I'm not depressed like the stupid monkey!\Get off of me!\Don't bite me!\Cut it out, Veronica!\You'll get a stomachache.\Is that all you have to say?\The next episode of Brave 10 is The Start of Tragedy. response:	The Start of Tragedy
context: I'm not depressed like the stupid monkey!\Get off of me!\Don't bite me!\Cut it out, Veronica!\You'll get a stomachache.\Is that all you have to say?\The next episode of Brave 10 is The Start of Tragedy.\The Start of Tragedy response:	Bring it on!
