context: Hey, that lndian prince who's visiting... response:	You think so? I wasn't that impressed...
context: Mr. Jones?\Um...\Yes?\Nothing...\Well... shall we go back?\Yes...\Um, Hakim told me.\Eh? response:	Hakim does things without thinking...
context: Um...\Yes?\Nothing...\Well... shall we go back?\Yes...\Um, Hakim told me.\Eh?\Hakim does things without thinking... response:	But, he's not a bad guy.
context: Yes?\Nothing...\Well... shall we go back?\Yes...\Um, Hakim told me.\Eh?\Hakim does things without thinking...\But, he's not a bad guy. response:	I've known him since public school...
context: Nothing...\Well... shall we go back?\Yes...\Um, Hakim told me.\Eh?\Hakim does things without thinking...\But, he's not a bad guy.\I've known him since public school... response:	I have already given Prince Hakim my answer.
context: Well... shall we go back?\Yes...\Um, Hakim told me.\Eh?\Hakim does things without thinking...\But, he's not a bad guy.\I've known him since public school...\I have already given Prince Hakim my answer. response:	Huh? No...
context: Yes...\Um, Hakim told me.\Eh?\Hakim does things without thinking...\But, he's not a bad guy.\I've known him since public school...\I have already given Prince Hakim my answer.\Huh? No... response:	What am I saying?
context: Um, Hakim told me.\Eh?\Hakim does things without thinking...\But, he's not a bad guy.\I've known him since public school...\I have already given Prince Hakim my answer.\Huh? No...\What am I saying? response:	This isn't about Hakim...
context: Eh?\Hakim does things without thinking...\But, he's not a bad guy.\I've known him since public school...\I have already given Prince Hakim my answer.\Huh? No...\What am I saying?\This isn't about Hakim... response:	Sometimes, I'm jealous of Hakim.
context: Hakim does things without thinking...\But, he's not a bad guy.\I've known him since public school...\I have already given Prince Hakim my answer.\Huh? No...\What am I saying?\This isn't about Hakim...\Sometimes, I'm jealous of Hakim. response:	I think about how wonderful would it be,
context: But, he's not a bad guy.\I've known him since public school...\I have already given Prince Hakim my answer.\Huh? No...\What am I saying?\This isn't about Hakim...\Sometimes, I'm jealous of Hakim.\I think about how wonderful would it be, response:	if I could speak my mind, and put my thoughts into action.
context: I've known him since public school...\I have already given Prince Hakim my answer.\Huh? No...\What am I saying?\This isn't about Hakim...\Sometimes, I'm jealous of Hakim.\I think about how wonderful would it be,\if I could speak my mind, and put my thoughts into action. response:	Yes... I do as well.
context: I have already given Prince Hakim my answer.\Huh? No...\What am I saying?\This isn't about Hakim...\Sometimes, I'm jealous of Hakim.\I think about how wonderful would it be,\if I could speak my mind, and put my thoughts into action.\Yes... I do as well. response:	Huh? You feel that way too, Emma?
context: Huh? No...\What am I saying?\This isn't about Hakim...\Sometimes, I'm jealous of Hakim.\I think about how wonderful would it be,\if I could speak my mind, and put my thoughts into action.\Yes... I do as well.\Huh? You feel that way too, Emma? response:	Yes.
context: What am I saying?\This isn't about Hakim...\Sometimes, I'm jealous of Hakim.\I think about how wonderful would it be,\if I could speak my mind, and put my thoughts into action.\Yes... I do as well.\Huh? You feel that way too, Emma?\Yes. response:	But, I could never be like Hakim.
context: This isn't about Hakim...\Sometimes, I'm jealous of Hakim.\I think about how wonderful would it be,\if I could speak my mind, and put my thoughts into action.\Yes... I do as well.\Huh? You feel that way too, Emma?\Yes.\But, I could never be like Hakim. response:	Be who you are...
context: Sometimes, I'm jealous of Hakim.\I think about how wonderful would it be,\if I could speak my mind, and put my thoughts into action.\Yes... I do as well.\Huh? You feel that way too, Emma?\Yes.\But, I could never be like Hakim.\Be who you are... response:	I like you just the way you are, Mr. Jones.
context: I think about how wonderful would it be,\if I could speak my mind, and put my thoughts into action.\Yes... I do as well.\Huh? You feel that way too, Emma?\Yes.\But, I could never be like Hakim.\Be who you are...\I like you just the way you are, Mr. Jones. response:	Emma...
context: if I could speak my mind, and put my thoughts into action.\Yes... I do as well.\Huh? You feel that way too, Emma?\Yes.\But, I could never be like Hakim.\Be who you are...\I like you just the way you are, Mr. Jones.\Emma... response:	That's right!
context: Yes... I do as well.\Huh? You feel that way too, Emma?\Yes.\But, I could never be like Hakim.\Be who you are...\I like you just the way you are, Mr. Jones.\Emma...\That's right! response:	Are you hungry?
context: Huh? You feel that way too, Emma?\Yes.\But, I could never be like Hakim.\Be who you are...\I like you just the way you are, Mr. Jones.\Emma...\That's right!\Are you hungry? response:	Let's get something to eat!
context: Yes.\But, I could never be like Hakim.\Be who you are...\I like you just the way you are, Mr. Jones.\Emma...\That's right!\Are you hungry?\Let's get something to eat! response:	U-Um...!
context: But, I could never be like Hakim.\Be who you are...\I like you just the way you are, Mr. Jones.\Emma...\That's right!\Are you hungry?\Let's get something to eat!\U-Um...! response:	I've been tense all day. I haven't eaten a thing!
context: Be who you are...\I like you just the way you are, Mr. Jones.\Emma...\That's right!\Are you hungry?\Let's get something to eat!\U-Um...!\I've been tense all day. I haven't eaten a thing! response:	Teresa!
context: I like you just the way you are, Mr. Jones.\Emma...\That's right!\Are you hungry?\Let's get something to eat!\U-Um...!\I've been tense all day. I haven't eaten a thing!\Teresa! response:	Y-Young Master!
context: Emma...\That's right!\Are you hungry?\Let's get something to eat!\U-Um...!\I've been tense all day. I haven't eaten a thing!\Teresa!\Y-Young Master! response:	Glad you're doing well!
context: That's right!\Are you hungry?\Let's get something to eat!\U-Um...!\I've been tense all day. I haven't eaten a thing!\Teresa!\Y-Young Master!\Glad you're doing well! response:	Young Master William!
context: Are you hungry?\Let's get something to eat!\U-Um...!\I've been tense all day. I haven't eaten a thing!\Teresa!\Y-Young Master!\Glad you're doing well!\Young Master William! response:	For Heaven's sake!
context: Let's get something to eat!\U-Um...!\I've been tense all day. I haven't eaten a thing!\Teresa!\Y-Young Master!\Glad you're doing well!\Young Master William!\For Heaven's sake! response:	Next Episode: The Dinner Party
