context: Once upon a time, there was a handsome slave. response:	What bound him were not heavy chains, but the princess's love.
context: I could go check it out if I became a bird, but...\It's covered with moss. I don't think we can climb this.\Damn...\If it's Fakir...\Fakir...\What is it?\Once before, when I lost this necklace, you held onto it for me. Remember, Fakir?\Huh? What about it? response:	Would you hold onto it for me again?
context: It's covered with moss. I don't think we can climb this.\Damn...\If it's Fakir...\Fakir...\What is it?\Once before, when I lost this necklace, you held onto it for me. Remember, Fakir?\Huh? What about it?\Would you hold onto it for me again? response:	What the heck is this all about?
context: Damn...\If it's Fakir...\Fakir...\What is it?\Once before, when I lost this necklace, you held onto it for me. Remember, Fakir?\Huh? What about it?\Would you hold onto it for me again?\What the heck is this all about? response:	Here...
context: If it's Fakir...\Fakir...\What is it?\Once before, when I lost this necklace, you held onto it for me. Remember, Fakir?\Huh? What about it?\Would you hold onto it for me again?\What the heck is this all about?\Here... response:	Huh?
context: Fakir...\What is it?\Once before, when I lost this necklace, you held onto it for me. Remember, Fakir?\Huh? What about it?\Would you hold onto it for me again?\What the heck is this all about?\Here...\Huh? response:	Wha?
context: What is it?\Once before, when I lost this necklace, you held onto it for me. Remember, Fakir?\Huh? What about it?\Would you hold onto it for me again?\What the heck is this all about?\Here...\Huh?\Wha? response:	What's going on? Where'd she go?
context: Once before, when I lost this necklace, you held onto it for me. Remember, Fakir?\Huh? What about it?\Would you hold onto it for me again?\What the heck is this all about?\Here...\Huh?\Wha?\What's going on? Where'd she go? response:	Quack!
context: Huh? What about it?\Would you hold onto it for me again?\What the heck is this all about?\Here...\Huh?\Wha?\What's going on? Where'd she go?\Quack! response:	A duck?!
context: Would you hold onto it for me again?\What the heck is this all about?\Here...\Huh?\Wha?\What's going on? Where'd she go?\Quack!\A duck?! response:	Quack!
context: What the heck is this all about?\Here...\Huh?\Wha?\What's going on? Where'd she go?\Quack!\A duck?!\Quack! response:	She...
context: Here...\Huh?\Wha?\What's going on? Where'd she go?\Quack!\A duck?!\Quack!\She... response:	So, this wasn't a pendant for her to become Tutu?
context: Huh?\Wha?\What's going on? Where'd she go?\Quack!\A duck?!\Quack!\She...\So, this wasn't a pendant for her to become Tutu? response:	It can't be... That duck?
context: Wha?\What's going on? Where'd she go?\Quack!\A duck?!\Quack!\She...\So, this wasn't a pendant for her to become Tutu?\It can't be... That duck? response:	You've caught me at a bad moment.
context: What's going on? Where'd she go?\Quack!\A duck?!\Quack!\She...\So, this wasn't a pendant for her to become Tutu?\It can't be... That duck?\You've caught me at a bad moment. response:	I don't think you're no good as a knight or anything, you know.
context: Quack!\A duck?!\Quack!\She...\So, this wasn't a pendant for her to become Tutu?\It can't be... That duck?\You've caught me at a bad moment.\I don't think you're no good as a knight or anything, you know. response:	She saw me crying.
context: A duck?!\Quack!\She...\So, this wasn't a pendant for her to become Tutu?\It can't be... That duck?\You've caught me at a bad moment.\I don't think you're no good as a knight or anything, you know.\She saw me crying. response:	She couldn't be drowning in there, could she?
context: Quack!\She...\So, this wasn't a pendant for her to become Tutu?\It can't be... That duck?\You've caught me at a bad moment.\I don't think you're no good as a knight or anything, you know.\She saw me crying.\She couldn't be drowning in there, could she? response:	Can ducks drown?
context: She...\So, this wasn't a pendant for her to become Tutu?\It can't be... That duck?\You've caught me at a bad moment.\I don't think you're no good as a knight or anything, you know.\She saw me crying.\She couldn't be drowning in there, could she?\Can ducks drown? response:	No, knowing her, it's possible.
context: So, this wasn't a pendant for her to become Tutu?\It can't be... That duck?\You've caught me at a bad moment.\I don't think you're no good as a knight or anything, you know.\She saw me crying.\She couldn't be drowning in there, could she?\Can ducks drown?\No, knowing her, it's possible. response:	That idiot!
context: It can't be... That duck?\You've caught me at a bad moment.\I don't think you're no good as a knight or anything, you know.\She saw me crying.\She couldn't be drowning in there, could she?\Can ducks drown?\No, knowing her, it's possible.\That idiot! response:	Quack!
context: You've caught me at a bad moment.\I don't think you're no good as a knight or anything, you know.\She saw me crying.\She couldn't be drowning in there, could she?\Can ducks drown?\No, knowing her, it's possible.\That idiot!\Quack! response:	Quack! Quack, quack, quack! Quack, quack, quack!
context: I don't think you're no good as a knight or anything, you know.\She saw me crying.\She couldn't be drowning in there, could she?\Can ducks drown?\No, knowing her, it's possible.\That idiot!\Quack!\Quack! Quack, quack, quack! Quack, quack, quack! response:	Quack! Quack, quack! Quack! Quack!
context: She saw me crying.\She couldn't be drowning in there, could she?\Can ducks drown?\No, knowing her, it's possible.\That idiot!\Quack!\Quack! Quack, quack, quack! Quack, quack, quack!\Quack! Quack, quack! Quack! Quack! response:	Why...
context: She couldn't be drowning in there, could she?\Can ducks drown?\No, knowing her, it's possible.\That idiot!\Quack!\Quack! Quack, quack, quack! Quack, quack, quack!\Quack! Quack, quack! Quack! Quack!\Why... response:	Why didn't you tell me?! Don't keep quiet about things like that!
context: Can ducks drown?\No, knowing her, it's possible.\That idiot!\Quack!\Quack! Quack, quack, quack! Quack, quack, quack!\Quack! Quack, quack! Quack! Quack!\Why...\Why didn't you tell me?! Don't keep quiet about things like that! response:	Quack?
context: No, knowing her, it's possible.\That idiot!\Quack!\Quack! Quack, quack, quack! Quack, quack, quack!\Quack! Quack, quack! Quack! Quack!\Why...\Why didn't you tell me?! Don't keep quiet about things like that!\Quack? response:	It's playing dirty!
context: That idiot!\Quack!\Quack! Quack, quack, quack! Quack, quack, quack!\Quack! Quack, quack! Quack! Quack!\Why...\Why didn't you tell me?! Don't keep quiet about things like that!\Quack?\It's playing dirty! response:	Quack!
context: Quack!\Quack! Quack, quack, quack! Quack, quack, quack!\Quack! Quack, quack! Quack! Quack!\Why...\Why didn't you tell me?! Don't keep quiet about things like that!\Quack?\It's playing dirty!\Quack! response:	Quack!
context: Quack! Quack, quack, quack! Quack, quack, quack!\Quack! Quack, quack! Quack! Quack!\Why...\Why didn't you tell me?! Don't keep quiet about things like that!\Quack?\It's playing dirty!\Quack!\Quack! response:	Quack! Quack!
context: Quack! Quack, quack! Quack! Quack!\Why...\Why didn't you tell me?! Don't keep quiet about things like that!\Quack?\It's playing dirty!\Quack!\Quack!\Quack! Quack! response:	You say that, but it's not like I revealed it to you because I wanted to!
context: Why...\Why didn't you tell me?! Don't keep quiet about things like that!\Quack?\It's playing dirty!\Quack!\Quack!\Quack! Quack!\You say that, but it's not like I revealed it to you because I wanted to! response:	But as a bird, I'm smaller and it's easier to check...
context: Why didn't you tell me?! Don't keep quiet about things like that!\Quack?\It's playing dirty!\Quack!\Quack!\Quack! Quack!\You say that, but it's not like I revealed it to you because I wanted to!\But as a bird, I'm smaller and it's easier to check... response:	Did you see?
context: Quack?\It's playing dirty!\Quack!\Quack!\Quack! Quack!\You say that, but it's not like I revealed it to you because I wanted to!\But as a bird, I'm smaller and it's easier to check...\Did you see? response:	I didn't look!
context: It's playing dirty!\Quack!\Quack!\Quack! Quack!\You say that, but it's not like I revealed it to you because I wanted to!\But as a bird, I'm smaller and it's easier to check...\Did you see?\I didn't look! response:	Or rather, how was it?!
context: Quack!\Quack!\Quack! Quack!\You say that, but it's not like I revealed it to you because I wanted to!\But as a bird, I'm smaller and it's easier to check...\Did you see?\I didn't look!\Or rather, how was it?! response:	Isn't that what you should be bringing up first?!
context: Quack!\Quack! Quack!\You say that, but it's not like I revealed it to you because I wanted to!\But as a bird, I'm smaller and it's easier to check...\Did you see?\I didn't look!\Or rather, how was it?!\Isn't that what you should be bringing up first?! response:	But you...
context: Quack! Quack!\You say that, but it's not like I revealed it to you because I wanted to!\But as a bird, I'm smaller and it's easier to check...\Did you see?\I didn't look!\Or rather, how was it?!\Isn't that what you should be bringing up first?!\But you... response:	Don't stand up!
context: You say that, but it's not like I revealed it to you because I wanted to!\But as a bird, I'm smaller and it's easier to check...\Did you see?\I didn't look!\Or rather, how was it?!\Isn't that what you should be bringing up first?!\But you...\Don't stand up! response:	We can get to the other side through the water.
context: But as a bird, I'm smaller and it's easier to check...\Did you see?\I didn't look!\Or rather, how was it?!\Isn't that what you should be bringing up first?!\But you...\Don't stand up!\We can get to the other side through the water. response:	I smelled a different kind of water, so there's probably a lake up ahead.
context: Did you see?\I didn't look!\Or rather, how was it?!\Isn't that what you should be bringing up first?!\But you...\Don't stand up!\We can get to the other side through the water.\I smelled a different kind of water, so there's probably a lake up ahead. response:	See? It looks like we can still go deeper, right?
context: I didn't look!\Or rather, how was it?!\Isn't that what you should be bringing up first?!\But you...\Don't stand up!\We can get to the other side through the water.\I smelled a different kind of water, so there's probably a lake up ahead.\See? It looks like we can still go deeper, right? response:	That's probably where Mytho is.
context: Or rather, how was it?!\Isn't that what you should be bringing up first?!\But you...\Don't stand up!\We can get to the other side through the water.\I smelled a different kind of water, so there's probably a lake up ahead.\See? It looks like we can still go deeper, right?\That's probably where Mytho is. response:	Are you okay, Fakir?
context: Isn't that what you should be bringing up first?!\But you...\Don't stand up!\We can get to the other side through the water.\I smelled a different kind of water, so there's probably a lake up ahead.\See? It looks like we can still go deeper, right?\That's probably where Mytho is.\Are you okay, Fakir? response:	Huh? What?
context: But you...\Don't stand up!\We can get to the other side through the water.\I smelled a different kind of water, so there's probably a lake up ahead.\See? It looks like we can still go deeper, right?\That's probably where Mytho is.\Are you okay, Fakir?\Huh? What? response:	A duck as Princess Tutu, huh?
context: Don't stand up!\We can get to the other side through the water.\I smelled a different kind of water, so there's probably a lake up ahead.\See? It looks like we can still go deeper, right?\That's probably where Mytho is.\Are you okay, Fakir?\Huh? What?\A duck as Princess Tutu, huh? response:	What?
context: We can get to the other side through the water.\I smelled a different kind of water, so there's probably a lake up ahead.\See? It looks like we can still go deeper, right?\That's probably where Mytho is.\Are you okay, Fakir?\Huh? What?\A duck as Princess Tutu, huh?\What? response:	I'll tell you something you'll want to hear.
context: I smelled a different kind of water, so there's probably a lake up ahead.\See? It looks like we can still go deeper, right?\That's probably where Mytho is.\Are you okay, Fakir?\Huh? What?\A duck as Princess Tutu, huh?\What?\I'll tell you something you'll want to hear. response:	Back when I was still a brat, when I read The Prince and the Raven to Mytho,
context: See? It looks like we can still go deeper, right?\That's probably where Mytho is.\Are you okay, Fakir?\Huh? What?\A duck as Princess Tutu, huh?\What?\I'll tell you something you'll want to hear.\Back when I was still a brat, when I read The Prince and the Raven to Mytho, response:	the thing he showed the most interest in was neither what happened to himself nor the raven,
context: That's probably where Mytho is.\Are you okay, Fakir?\Huh? What?\A duck as Princess Tutu, huh?\What?\I'll tell you something you'll want to hear.\Back when I was still a brat, when I read The Prince and the Raven to Mytho,\the thing he showed the most interest in was neither what happened to himself nor the raven, response:	but what happened to Tutu, about whom only a little was written.
context: Are you okay, Fakir?\Huh? What?\A duck as Princess Tutu, huh?\What?\I'll tell you something you'll want to hear.\Back when I was still a brat, when I read The Prince and the Raven to Mytho,\the thing he showed the most interest in was neither what happened to himself nor the raven,\but what happened to Tutu, about whom only a little was written. response:	He wanted to hear over and over again the part where Tutu becomes a speck of light and vanishes.
context: Huh? What?\A duck as Princess Tutu, huh?\What?\I'll tell you something you'll want to hear.\Back when I was still a brat, when I read The Prince and the Raven to Mytho,\the thing he showed the most interest in was neither what happened to himself nor the raven,\but what happened to Tutu, about whom only a little was written.\He wanted to hear over and over again the part where Tutu becomes a speck of light and vanishes. response:	Him coming to want to regain his heart is probably because it's Tutu who returns it to him.
context: A duck as Princess Tutu, huh?\What?\I'll tell you something you'll want to hear.\Back when I was still a brat, when I read The Prince and the Raven to Mytho,\the thing he showed the most interest in was neither what happened to himself nor the raven,\but what happened to Tutu, about whom only a little was written.\He wanted to hear over and over again the part where Tutu becomes a speck of light and vanishes.\Him coming to want to regain his heart is probably because it's Tutu who returns it to him. response:	But they said Mytho took out his heart himself...
context: What?\I'll tell you something you'll want to hear.\Back when I was still a brat, when I read The Prince and the Raven to Mytho,\the thing he showed the most interest in was neither what happened to himself nor the raven,\but what happened to Tutu, about whom only a little was written.\He wanted to hear over and over again the part where Tutu becomes a speck of light and vanishes.\Him coming to want to regain his heart is probably because it's Tutu who returns it to him.\But they said Mytho took out his heart himself... response:	That's the kind of guy he is.
context: I'll tell you something you'll want to hear.\Back when I was still a brat, when I read The Prince and the Raven to Mytho,\the thing he showed the most interest in was neither what happened to himself nor the raven,\but what happened to Tutu, about whom only a little was written.\He wanted to hear over and over again the part where Tutu becomes a speck of light and vanishes.\Him coming to want to regain his heart is probably because it's Tutu who returns it to him.\But they said Mytho took out his heart himself...\That's the kind of guy he is. response:	To protect someone, those who are small and weak...
context: Back when I was still a brat, when I read The Prince and the Raven to Mytho,\the thing he showed the most interest in was neither what happened to himself nor the raven,\but what happened to Tutu, about whom only a little was written.\He wanted to hear over and over again the part where Tutu becomes a speck of light and vanishes.\Him coming to want to regain his heart is probably because it's Tutu who returns it to him.\But they said Mytho took out his heart himself...\That's the kind of guy he is.\To protect someone, those who are small and weak... response:	That's Mytho's greatest wish.
context: the thing he showed the most interest in was neither what happened to himself nor the raven,\but what happened to Tutu, about whom only a little was written.\He wanted to hear over and over again the part where Tutu becomes a speck of light and vanishes.\Him coming to want to regain his heart is probably because it's Tutu who returns it to him.\But they said Mytho took out his heart himself...\That's the kind of guy he is.\To protect someone, those who are small and weak...\That's Mytho's greatest wish. response:	And to do that, he'll have no regard for himself.
context: but what happened to Tutu, about whom only a little was written.\He wanted to hear over and over again the part where Tutu becomes a speck of light and vanishes.\Him coming to want to regain his heart is probably because it's Tutu who returns it to him.\But they said Mytho took out his heart himself...\That's the kind of guy he is.\To protect someone, those who are small and weak...\That's Mytho's greatest wish.\And to do that, he'll have no regard for himself. response:	Even when he lost his heart, that was the one thing he never forgot.
context: He wanted to hear over and over again the part where Tutu becomes a speck of light and vanishes.\Him coming to want to regain his heart is probably because it's Tutu who returns it to him.\But they said Mytho took out his heart himself...\That's the kind of guy he is.\To protect someone, those who are small and weak...\That's Mytho's greatest wish.\And to do that, he'll have no regard for himself.\Even when he lost his heart, that was the one thing he never forgot. response:	That's just the kind of guy he is.
context: Him coming to want to regain his heart is probably because it's Tutu who returns it to him.\But they said Mytho took out his heart himself...\That's the kind of guy he is.\To protect someone, those who are small and weak...\That's Mytho's greatest wish.\And to do that, he'll have no regard for himself.\Even when he lost his heart, that was the one thing he never forgot.\That's just the kind of guy he is. response:	Let's go.
context: But they said Mytho took out his heart himself...\That's the kind of guy he is.\To protect someone, those who are small and weak...\That's Mytho's greatest wish.\And to do that, he'll have no regard for himself.\Even when he lost his heart, that was the one thing he never forgot.\That's just the kind of guy he is.\Let's go. response:	Right!
context: That's the kind of guy he is.\To protect someone, those who are small and weak...\That's Mytho's greatest wish.\And to do that, he'll have no regard for himself.\Even when he lost his heart, that was the one thing he never forgot.\That's just the kind of guy he is.\Let's go.\Right! response:	So, you've finally come.
context: To protect someone, those who are small and weak...\That's Mytho's greatest wish.\And to do that, he'll have no regard for himself.\Even when he lost his heart, that was the one thing he never forgot.\That's just the kind of guy he is.\Let's go.\Right!\So, you've finally come. response:	I've tired of waiting.
context: That's Mytho's greatest wish.\And to do that, he'll have no regard for himself.\Even when he lost his heart, that was the one thing he never forgot.\That's just the kind of guy he is.\Let's go.\Right!\So, you've finally come.\I've tired of waiting. response:	Mytho!
context: And to do that, he'll have no regard for himself.\Even when he lost his heart, that was the one thing he never forgot.\That's just the kind of guy he is.\Let's go.\Right!\So, you've finally come.\I've tired of waiting.\Mytho! response:	Now, tell me the best story ever.
context: Even when he lost his heart, that was the one thing he never forgot.\That's just the kind of guy he is.\Let's go.\Right!\So, you've finally come.\I've tired of waiting.\Mytho!\Now, tell me the best story ever. response:	Tell it to me with no regard for your lives!
context: That's just the kind of guy he is.\Let's go.\Right!\So, you've finally come.\I've tired of waiting.\Mytho!\Now, tell me the best story ever.\Tell it to me with no regard for your lives! response:	Please, stop doing this!
context: Let's go.\Right!\So, you've finally come.\I've tired of waiting.\Mytho!\Now, tell me the best story ever.\Tell it to me with no regard for your lives!\Please, stop doing this! response:	I agree, let us put an end to it.
context: Right!\So, you've finally come.\I've tired of waiting.\Mytho!\Now, tell me the best story ever.\Tell it to me with no regard for your lives!\Please, stop doing this!\I agree, let us put an end to it. response:	The prince's feeling of love is right here.
context: So, you've finally come.\I've tired of waiting.\Mytho!\Now, tell me the best story ever.\Tell it to me with no regard for your lives!\Please, stop doing this!\I agree, let us put an end to it.\The prince's feeling of love is right here. response:	The heart that loves people, loves all the world.
context: I've tired of waiting.\Mytho!\Now, tell me the best story ever.\Tell it to me with no regard for your lives!\Please, stop doing this!\I agree, let us put an end to it.\The prince's feeling of love is right here.\The heart that loves people, loves all the world. response:	It has yet to belong to anyone.
context: Mytho!\Now, tell me the best story ever.\Tell it to me with no regard for your lives!\Please, stop doing this!\I agree, let us put an end to it.\The prince's feeling of love is right here.\The heart that loves people, loves all the world.\It has yet to belong to anyone. response:	I wonder who this shard will choose? You or me?
context: Now, tell me the best story ever.\Tell it to me with no regard for your lives!\Please, stop doing this!\I agree, let us put an end to it.\The prince's feeling of love is right here.\The heart that loves people, loves all the world.\It has yet to belong to anyone.\I wonder who this shard will choose? You or me? response:	Whose words will it be drawn to once we've laid our hearts bare?
context: Tell it to me with no regard for your lives!\Please, stop doing this!\I agree, let us put an end to it.\The prince's feeling of love is right here.\The heart that loves people, loves all the world.\It has yet to belong to anyone.\I wonder who this shard will choose? You or me?\Whose words will it be drawn to once we've laid our hearts bare? response:	If the shard chooses you, I'll return the prince and the shard to you.
context: Please, stop doing this!\I agree, let us put an end to it.\The prince's feeling of love is right here.\The heart that loves people, loves all the world.\It has yet to belong to anyone.\I wonder who this shard will choose? You or me?\Whose words will it be drawn to once we've laid our hearts bare?\If the shard chooses you, I'll return the prince and the shard to you. response:	Now, why don't you speak to it of what's in your heart?
context: I agree, let us put an end to it.\The prince's feeling of love is right here.\The heart that loves people, loves all the world.\It has yet to belong to anyone.\I wonder who this shard will choose? You or me?\Whose words will it be drawn to once we've laid our hearts bare?\If the shard chooses you, I'll return the prince and the shard to you.\Now, why don't you speak to it of what's in your heart? response:	Well, Princess Tutu?
context: The prince's feeling of love is right here.\The heart that loves people, loves all the world.\It has yet to belong to anyone.\I wonder who this shard will choose? You or me?\Whose words will it be drawn to once we've laid our hearts bare?\If the shard chooses you, I'll return the prince and the shard to you.\Now, why don't you speak to it of what's in your heart?\Well, Princess Tutu? response:	Tell me, why do we have to fight in this way? Because we are...
context: The heart that loves people, loves all the world.\It has yet to belong to anyone.\I wonder who this shard will choose? You or me?\Whose words will it be drawn to once we've laid our hearts bare?\If the shard chooses you, I'll return the prince and the shard to you.\Now, why don't you speak to it of what's in your heart?\Well, Princess Tutu?\Tell me, why do we have to fight in this way? Because we are... response:	Ultimately, you are only borrowing the power of Princess Tutu.
context: It has yet to belong to anyone.\I wonder who this shard will choose? You or me?\Whose words will it be drawn to once we've laid our hearts bare?\If the shard chooses you, I'll return the prince and the shard to you.\Now, why don't you speak to it of what's in your heart?\Well, Princess Tutu?\Tell me, why do we have to fight in this way? Because we are...\Ultimately, you are only borrowing the power of Princess Tutu. response:	Just a sham of a princess, Ahiru.
context: I wonder who this shard will choose? You or me?\Whose words will it be drawn to once we've laid our hearts bare?\If the shard chooses you, I'll return the prince and the shard to you.\Now, why don't you speak to it of what's in your heart?\Well, Princess Tutu?\Tell me, why do we have to fight in this way? Because we are...\Ultimately, you are only borrowing the power of Princess Tutu.\Just a sham of a princess, Ahiru. response:	No one else but you could smilingly accept the fate of Princess Tutu.
context: Whose words will it be drawn to once we've laid our hearts bare?\If the shard chooses you, I'll return the prince and the shard to you.\Now, why don't you speak to it of what's in your heart?\Well, Princess Tutu?\Tell me, why do we have to fight in this way? Because we are...\Ultimately, you are only borrowing the power of Princess Tutu.\Just a sham of a princess, Ahiru.\No one else but you could smilingly accept the fate of Princess Tutu. response:	You are my princess.
context: If the shard chooses you, I'll return the prince and the shard to you.\Now, why don't you speak to it of what's in your heart?\Well, Princess Tutu?\Tell me, why do we have to fight in this way? Because we are...\Ultimately, you are only borrowing the power of Princess Tutu.\Just a sham of a princess, Ahiru.\No one else but you could smilingly accept the fate of Princess Tutu.\You are my princess. response:	Yes, I am your true princess.
context: Now, why don't you speak to it of what's in your heart?\Well, Princess Tutu?\Tell me, why do we have to fight in this way? Because we are...\Ultimately, you are only borrowing the power of Princess Tutu.\Just a sham of a princess, Ahiru.\No one else but you could smilingly accept the fate of Princess Tutu.\You are my princess.\Yes, I am your true princess. response:	The real me is just a duck with no powers of any sort.
context: Well, Princess Tutu?\Tell me, why do we have to fight in this way? Because we are...\Ultimately, you are only borrowing the power of Princess Tutu.\Just a sham of a princess, Ahiru.\No one else but you could smilingly accept the fate of Princess Tutu.\You are my princess.\Yes, I am your true princess.\The real me is just a duck with no powers of any sort. response:	But if I have you, I can change!
context: Tell me, why do we have to fight in this way? Because we are...\Ultimately, you are only borrowing the power of Princess Tutu.\Just a sham of a princess, Ahiru.\No one else but you could smilingly accept the fate of Princess Tutu.\You are my princess.\Yes, I am your true princess.\The real me is just a duck with no powers of any sort.\But if I have you, I can change! response:	All you children who love stories, come gather around.
context: Ultimately, you are only borrowing the power of Princess Tutu.\Just a sham of a princess, Ahiru.\No one else but you could smilingly accept the fate of Princess Tutu.\You are my princess.\Yes, I am your true princess.\The real me is just a duck with no powers of any sort.\But if I have you, I can change!\All you children who love stories, come gather around. response:	Swan Lake
context: Just a sham of a princess, Ahiru.\No one else but you could smilingly accept the fate of Princess Tutu.\You are my princess.\Yes, I am your true princess.\The real me is just a duck with no powers of any sort.\But if I have you, I can change!\All you children who love stories, come gather around.\Swan Lake response:	The voice calling, come now, wake up
context: No one else but you could smilingly accept the fate of Princess Tutu.\You are my princess.\Yes, I am your true princess.\The real me is just a duck with no powers of any sort.\But if I have you, I can change!\All you children who love stories, come gather around.\Swan Lake\The voice calling, come now, wake up response:	Wiping a tearstained face
context: You are my princess.\Yes, I am your true princess.\The real me is just a duck with no powers of any sort.\But if I have you, I can change!\All you children who love stories, come gather around.\Swan Lake\The voice calling, come now, wake up\Wiping a tearstained face response:	The brilliant light and the dew on trees are born
context: Yes, I am your true princess.\The real me is just a duck with no powers of any sort.\But if I have you, I can change!\All you children who love stories, come gather around.\Swan Lake\The voice calling, come now, wake up\Wiping a tearstained face\The brilliant light and the dew on trees are born response:	By the secret water's edge that no one knows of
context: The real me is just a duck with no powers of any sort.\But if I have you, I can change!\All you children who love stories, come gather around.\Swan Lake\The voice calling, come now, wake up\Wiping a tearstained face\The brilliant light and the dew on trees are born\By the secret water's edge that no one knows of response:	Dance the pas de deux of life
context: But if I have you, I can change!\All you children who love stories, come gather around.\Swan Lake\The voice calling, come now, wake up\Wiping a tearstained face\The brilliant light and the dew on trees are born\By the secret water's edge that no one knows of\Dance the pas de deux of life response:	Dreaming again today
context: All you children who love stories, come gather around.\Swan Lake\The voice calling, come now, wake up\Wiping a tearstained face\The brilliant light and the dew on trees are born\By the secret water's edge that no one knows of\Dance the pas de deux of life\Dreaming again today response:	It is a gentle, yet fierce current
context: Swan Lake\The voice calling, come now, wake up\Wiping a tearstained face\The brilliant light and the dew on trees are born\By the secret water's edge that no one knows of\Dance the pas de deux of life\Dreaming again today\It is a gentle, yet fierce current response:	How far does the labyrinth stretch?
context: The voice calling, come now, wake up\Wiping a tearstained face\The brilliant light and the dew on trees are born\By the secret water's edge that no one knows of\Dance the pas de deux of life\Dreaming again today\It is a gentle, yet fierce current\How far does the labyrinth stretch? response:	I shall go
context: Wiping a tearstained face\The brilliant light and the dew on trees are born\By the secret water's edge that no one knows of\Dance the pas de deux of life\Dreaming again today\It is a gentle, yet fierce current\How far does the labyrinth stretch?\I shall go response:	The dream I hold tight
context: The brilliant light and the dew on trees are born\By the secret water's edge that no one knows of\Dance the pas de deux of life\Dreaming again today\It is a gentle, yet fierce current\How far does the labyrinth stretch?\I shall go\The dream I hold tight response:	I loved like I was dreaming
context: By the secret water's edge that no one knows of\Dance the pas de deux of life\Dreaming again today\It is a gentle, yet fierce current\How far does the labyrinth stretch?\I shall go\The dream I hold tight\I loved like I was dreaming response:	It swells... My heart swells
context: Dance the pas de deux of life\Dreaming again today\It is a gentle, yet fierce current\How far does the labyrinth stretch?\I shall go\The dream I hold tight\I loved like I was dreaming\It swells... My heart swells response:	I thought how wonderful it was to be alive
context: Dreaming again today\It is a gentle, yet fierce current\How far does the labyrinth stretch?\I shall go\The dream I hold tight\I loved like I was dreaming\It swells... My heart swells\I thought how wonderful it was to be alive response:	I can't wait for tomorrow
context: It is a gentle, yet fierce current\How far does the labyrinth stretch?\I shall go\The dream I hold tight\I loved like I was dreaming\It swells... My heart swells\I thought how wonderful it was to be alive\I can't wait for tomorrow response:	I want to be there for you
context: How far does the labyrinth stretch?\I shall go\The dream I hold tight\I loved like I was dreaming\It swells... My heart swells\I thought how wonderful it was to be alive\I can't wait for tomorrow\I want to be there for you response:	At all times
context: I shall go\The dream I hold tight\I loved like I was dreaming\It swells... My heart swells\I thought how wonderful it was to be alive\I can't wait for tomorrow\I want to be there for you\At all times response:	Wait, it won't wait
context: The dream I hold tight\I loved like I was dreaming\It swells... My heart swells\I thought how wonderful it was to be alive\I can't wait for tomorrow\I want to be there for you\At all times\Wait, it won't wait response:	Running, running along
context: I loved like I was dreaming\It swells... My heart swells\I thought how wonderful it was to be alive\I can't wait for tomorrow\I want to be there for you\At all times\Wait, it won't wait\Running, running along response:	Passing by even the wind and the rain clouds
context: It swells... My heart swells\I thought how wonderful it was to be alive\I can't wait for tomorrow\I want to be there for you\At all times\Wait, it won't wait\Running, running along\Passing by even the wind and the rain clouds response:	Just beating my own wings
