context: It's no good, I can't get close. response:	Show it your perseverance.
context: I'll show you my perseverance!\Oh, no. I'm falling.\Kero-chan.\Sakura,\you saved me.\But why are you here?\Tomoyo-chan searched for it.\Is that because of a card? response:	It is the Float card.
context: Oh, no. I'm falling.\Kero-chan.\Sakura,\you saved me.\But why are you here?\Tomoyo-chan searched for it.\Is that because of a card?\It is the Float card. response:	It is a prankster that likes to make things float around.
context: Kero-chan.\Sakura,\you saved me.\But why are you here?\Tomoyo-chan searched for it.\Is that because of a card?\It is the Float card.\It is a prankster that likes to make things float around. response:	If we don't hurry and seal it,
context: Sakura,\you saved me.\But why are you here?\Tomoyo-chan searched for it.\Is that because of a card?\It is the Float card.\It is a prankster that likes to make things float around.\If we don't hurry and seal it, response:	Akane will be hurt.
context: you saved me.\But why are you here?\Tomoyo-chan searched for it.\Is that because of a card?\It is the Float card.\It is a prankster that likes to make things float around.\If we don't hurry and seal it,\Akane will be hurt. response:	I understand.
context: But why are you here?\Tomoyo-chan searched for it.\Is that because of a card?\It is the Float card.\It is a prankster that likes to make things float around.\If we don't hurry and seal it,\Akane will be hurt.\I understand. response:	Return to your rightful form,
context: Tomoyo-chan searched for it.\Is that because of a card?\It is the Float card.\It is a prankster that likes to make things float around.\If we don't hurry and seal it,\Akane will be hurt.\I understand.\Return to your rightful form, response:	Clow Card!
context: Is that because of a card?\It is the Float card.\It is a prankster that likes to make things float around.\If we don't hurry and seal it,\Akane will be hurt.\I understand.\Return to your rightful form,\Clow Card! response:	All right!
context: It is the Float card.\It is a prankster that likes to make things float around.\If we don't hurry and seal it,\Akane will be hurt.\I understand.\Return to your rightful form,\Clow Card!\All right! response:	Akane!
context: It is a prankster that likes to make things float around.\If we don't hurry and seal it,\Akane will be hurt.\I understand.\Return to your rightful form,\Clow Card!\All right!\Akane! response:	Oh, no! I can't stop!
context: If we don't hurry and seal it,\Akane will be hurt.\I understand.\Return to your rightful form,\Clow Card!\All right!\Akane!\Oh, no! I can't stop! response:	Wood!
context: Akane will be hurt.\I understand.\Return to your rightful form,\Clow Card!\All right!\Akane!\Oh, no! I can't stop!\Wood! response:	Mama'
context: I understand.\Return to your rightful form,\Clow Card!\All right!\Akane!\Oh, no! I can't stop!\Wood!\Mama' response:	Huh? Chau-chan.
context: Return to your rightful form,\Clow Card!\All right!\Akane!\Oh, no! I can't stop!\Wood!\Mama'\Huh? Chau-chan. response:	Are you OK?
context: Clow Card!\All right!\Akane!\Oh, no! I can't stop!\Wood!\Mama'\Huh? Chau-chan.\Are you OK? response:	Oh! Chau-chau.
context: All right!\Akane!\Oh, no! I can't stop!\Wood!\Mama'\Huh? Chau-chan.\Are you OK?\Oh! Chau-chau. response:	Well then, Akane-chan.
context: Akane!\Oh, no! I can't stop!\Wood!\Mama'\Huh? Chau-chan.\Are you OK?\Oh! Chau-chau.\Well then, Akane-chan. response:	Yeah. Wait just a bit, Mama.
context: Oh, no! I can't stop!\Wood!\Mama'\Huh? Chau-chan.\Are you OK?\Oh! Chau-chau.\Well then, Akane-chan.\Yeah. Wait just a bit, Mama. response:	Chau-chau.
context: Wood!\Mama'\Huh? Chau-chan.\Are you OK?\Oh! Chau-chau.\Well then, Akane-chan.\Yeah. Wait just a bit, Mama.\Chau-chau. response:	Miss.
context: Mama'\Huh? Chau-chan.\Are you OK?\Oh! Chau-chau.\Well then, Akane-chan.\Yeah. Wait just a bit, Mama.\Chau-chau.\Miss. response:	You really will take Chau-chan?
context: Huh? Chau-chan.\Are you OK?\Oh! Chau-chau.\Well then, Akane-chan.\Yeah. Wait just a bit, Mama.\Chau-chau.\Miss.\You really will take Chau-chan? response:	Yeah.
context: Are you OK?\Oh! Chau-chau.\Well then, Akane-chan.\Yeah. Wait just a bit, Mama.\Chau-chau.\Miss.\You really will take Chau-chan?\Yeah. response:	Take good care of him.
context: Oh! Chau-chau.\Well then, Akane-chan.\Yeah. Wait just a bit, Mama.\Chau-chau.\Miss.\You really will take Chau-chan?\Yeah.\Take good care of him. response:	Yeah.
context: Well then, Akane-chan.\Yeah. Wait just a bit, Mama.\Chau-chau.\Miss.\You really will take Chau-chan?\Yeah.\Take good care of him.\Yeah. response:	Our new house won't let us keep Chau-chan.
context: Yeah. Wait just a bit, Mama.\Chau-chau.\Miss.\You really will take Chau-chan?\Yeah.\Take good care of him.\Yeah.\Our new house won't let us keep Chau-chan. response:	If you get lonely
context: Chau-chau.\Miss.\You really will take Chau-chan?\Yeah.\Take good care of him.\Yeah.\Our new house won't let us keep Chau-chan.\If you get lonely response:	you can always visit Kero'
context: Miss.\You really will take Chau-chan?\Yeah.\Take good care of him.\Yeah.\Our new house won't let us keep Chau-chan.\If you get lonely\you can always visit Kero' response:	I mean Chau-chan.
context: You really will take Chau-chan?\Yeah.\Take good care of him.\Yeah.\Our new house won't let us keep Chau-chan.\If you get lonely\you can always visit Kero'\I mean Chau-chan. response:	Yeah!
context: Yeah.\Take good care of him.\Yeah.\Our new house won't let us keep Chau-chan.\If you get lonely\you can always visit Kero'\I mean Chau-chan.\Yeah! response:	But now
context: Take good care of him.\Yeah.\Our new house won't let us keep Chau-chan.\If you get lonely\you can always visit Kero'\I mean Chau-chan.\Yeah!\But now response:	I can always be together with Mom.
context: Yeah.\Our new house won't let us keep Chau-chan.\If you get lonely\you can always visit Kero'\I mean Chau-chan.\Yeah!\But now\I can always be together with Mom. response:	I won't be lonely anymore.
context: Our new house won't let us keep Chau-chan.\If you get lonely\you can always visit Kero'\I mean Chau-chan.\Yeah!\But now\I can always be together with Mom.\I won't be lonely anymore. response:	That's good.
context: If you get lonely\you can always visit Kero'\I mean Chau-chan.\Yeah!\But now\I can always be together with Mom.\I won't be lonely anymore.\That's good. response:	Yup.
context: you can always visit Kero'\I mean Chau-chan.\Yeah!\But now\I can always be together with Mom.\I won't be lonely anymore.\That's good.\Yup. response:	Akane-chan.
context: I mean Chau-chan.\Yeah!\But now\I can always be together with Mom.\I won't be lonely anymore.\That's good.\Yup.\Akane-chan. response:	Coming!
context: Yeah!\But now\I can always be together with Mom.\I won't be lonely anymore.\That's good.\Yup.\Akane-chan.\Coming! response:	Bye, bye.
context: But now\I can always be together with Mom.\I won't be lonely anymore.\That's good.\Yup.\Akane-chan.\Coming!\Bye, bye. response:	Akane's mom
context: I can always be together with Mom.\I won't be lonely anymore.\That's good.\Yup.\Akane-chan.\Coming!\Bye, bye.\Akane's mom response:	is changing jobs
context: I won't be lonely anymore.\That's good.\Yup.\Akane-chan.\Coming!\Bye, bye.\Akane's mom\is changing jobs response:	so she can always be with her.
context: That's good.\Yup.\Akane-chan.\Coming!\Bye, bye.\Akane's mom\is changing jobs\so she can always be with her. response:	Yeah.
context: Yup.\Akane-chan.\Coming!\Bye, bye.\Akane's mom\is changing jobs\so she can always be with her.\Yeah. response:	Chau-chan!
context: Akane-chan.\Coming!\Bye, bye.\Akane's mom\is changing jobs\so she can always be with her.\Yeah.\Chau-chan! response:	Bye, bye Chau-chan.
context: Coming!\Bye, bye.\Akane's mom\is changing jobs\so she can always be with her.\Yeah.\Chau-chan!\Bye, bye Chau-chan. response:	Bye, bye!
context: Bye, bye.\Akane's mom\is changing jobs\so she can always be with her.\Yeah.\Chau-chan!\Bye, bye Chau-chan.\Bye, bye! response:	So, shall we go home, Kero-chan?
context: Akane's mom\is changing jobs\so she can always be with her.\Yeah.\Chau-chan!\Bye, bye Chau-chan.\Bye, bye!\So, shall we go home, Kero-chan? response:	I haven't decided to go back to your place yet.
context: is changing jobs\so she can always be with her.\Yeah.\Chau-chan!\Bye, bye Chau-chan.\Bye, bye!\So, shall we go home, Kero-chan?\I haven't decided to go back to your place yet. response:	Are you still in a sour mood?
context: so she can always be with her.\Yeah.\Chau-chan!\Bye, bye Chau-chan.\Bye, bye!\So, shall we go home, Kero-chan?\I haven't decided to go back to your place yet.\Are you still in a sour mood? response:	Look.
context: Yeah.\Chau-chan!\Bye, bye Chau-chan.\Bye, bye!\So, shall we go home, Kero-chan?\I haven't decided to go back to your place yet.\Are you still in a sour mood?\Look. response:	Ah, this is'
context: Chau-chan!\Bye, bye Chau-chan.\Bye, bye!\So, shall we go home, Kero-chan?\I haven't decided to go back to your place yet.\Are you still in a sour mood?\Look.\Ah, this is' response:	You made this?
context: Bye, bye Chau-chan.\Bye, bye!\So, shall we go home, Kero-chan?\I haven't decided to go back to your place yet.\Are you still in a sour mood?\Look.\Ah, this is'\You made this? response:	Well?
context: Bye, bye!\So, shall we go home, Kero-chan?\I haven't decided to go back to your place yet.\Are you still in a sour mood?\Look.\Ah, this is'\You made this?\Well? response:	Is is it a little too girlish?
context: So, shall we go home, Kero-chan?\I haven't decided to go back to your place yet.\Are you still in a sour mood?\Look.\Ah, this is'\You made this?\Well?\Is is it a little too girlish? response:	No not at all'
context: I haven't decided to go back to your place yet.\Are you still in a sour mood?\Look.\Ah, this is'\You made this?\Well?\Is is it a little too girlish?\No not at all' response:	I think.
context: Are you still in a sour mood?\Look.\Ah, this is'\You made this?\Well?\Is is it a little too girlish?\No not at all'\I think. response:	This bed especially is pretty good.
context: Look.\Ah, this is'\You made this?\Well?\Is is it a little too girlish?\No not at all'\I think.\This bed especially is pretty good. response:	You broke it!
context: Ah, this is'\You made this?\Well?\Is is it a little too girlish?\No not at all'\I think.\This bed especially is pretty good.\You broke it! response:	After I went through all the trouble to make it.
context: You made this?\Well?\Is is it a little too girlish?\No not at all'\I think.\This bed especially is pretty good.\You broke it!\After I went through all the trouble to make it. response:	It wasn't on purpose.
context: Well?\Is is it a little too girlish?\No not at all'\I think.\This bed especially is pretty good.\You broke it!\After I went through all the trouble to make it.\It wasn't on purpose. response:	Wasn't it just poorly made?
context: Is is it a little too girlish?\No not at all'\I think.\This bed especially is pretty good.\You broke it!\After I went through all the trouble to make it.\It wasn't on purpose.\Wasn't it just poorly made? response:	You're horrible,
context: No not at all'\I think.\This bed especially is pretty good.\You broke it!\After I went through all the trouble to make it.\It wasn't on purpose.\Wasn't it just poorly made?\You're horrible, response:	I think you are just too fat.
context: I think.\This bed especially is pretty good.\You broke it!\After I went through all the trouble to make it.\It wasn't on purpose.\Wasn't it just poorly made?\You're horrible,\I think you are just too fat. response:	What's that?
context: This bed especially is pretty good.\You broke it!\After I went through all the trouble to make it.\It wasn't on purpose.\Wasn't it just poorly made?\You're horrible,\I think you are just too fat.\What's that? response:	I'm not fat.
context: You broke it!\After I went through all the trouble to make it.\It wasn't on purpose.\Wasn't it just poorly made?\You're horrible,\I think you are just too fat.\What's that?\I'm not fat. response:	You are just clumsy.
context: After I went through all the trouble to make it.\It wasn't on purpose.\Wasn't it just poorly made?\You're horrible,\I think you are just too fat.\What's that?\I'm not fat.\You are just clumsy. response:	Now you said it.
context: It wasn't on purpose.\Wasn't it just poorly made?\You're horrible,\I think you are just too fat.\What's that?\I'm not fat.\You are just clumsy.\Now you said it. response:	You monster.
context: Wasn't it just poorly made?\You're horrible,\I think you are just too fat.\What's that?\I'm not fat.\You are just clumsy.\Now you said it.\You monster. response:	Ah, you called me a monster again.
context: You're horrible,\I think you are just too fat.\What's that?\I'm not fat.\You are just clumsy.\Now you said it.\You monster.\Ah, you called me a monster again. response:	When all you have is dots for eyes.
context: I think you are just too fat.\What's that?\I'm not fat.\You are just clumsy.\Now you said it.\You monster.\Ah, you called me a monster again.\When all you have is dots for eyes. response:	What was that?
context: What's that?\I'm not fat.\You are just clumsy.\Now you said it.\You monster.\Ah, you called me a monster again.\When all you have is dots for eyes.\What was that? response:	Giant monster Sakura!
