context: From the news chopper to the studio- response:	I'm reporting live from the skies of Hosu City!
context: Momo Yaoyorozu - Quirk: Creation Itsuka Kendo - Quirk: Big Fist\We're gonna be on TV, huh?\Heroes... We are heroes...\Pro Hero - Uwabami\Now, shall we go on patrol?\Yes, ma'am!\Mind, Skill, Body\I see, well, I'm just glad you and Iida are both okay. response:	Ochaco Uraraka - Quirk: Zero Gravity
context: We're gonna be on TV, huh?\Heroes... We are heroes...\Pro Hero - Uwabami\Now, shall we go on patrol?\Yes, ma'am!\Mind, Skill, Body\I see, well, I'm just glad you and Iida are both okay.\Ochaco Uraraka - Quirk: Zero Gravity response:	When I got just the address, I got really nervous.
context: Heroes... We are heroes...\Pro Hero - Uwabami\Now, shall we go on patrol?\Yes, ma'am!\Mind, Skill, Body\I see, well, I'm just glad you and Iida are both okay.\Ochaco Uraraka - Quirk: Zero Gravity\When I got just the address, I got really nervous. response:	Sorry, Uraraka. There was a lot going on, so I couldn't contact you.
context: Pro Hero - Uwabami\Now, shall we go on patrol?\Yes, ma'am!\Mind, Skill, Body\I see, well, I'm just glad you and Iida are both okay.\Ochaco Uraraka - Quirk: Zero Gravity\When I got just the address, I got really nervous.\Sorry, Uraraka. There was a lot going on, so I couldn't contact you. response:	I know you went through a lot.
context: Now, shall we go on patrol?\Yes, ma'am!\Mind, Skill, Body\I see, well, I'm just glad you and Iida are both okay.\Ochaco Uraraka - Quirk: Zero Gravity\When I got just the address, I got really nervous.\Sorry, Uraraka. There was a lot going on, so I couldn't contact you.\I know you went through a lot. response:	Get some rest! And tell me more about it later.
context: Yes, ma'am!\Mind, Skill, Body\I see, well, I'm just glad you and Iida are both okay.\Ochaco Uraraka - Quirk: Zero Gravity\When I got just the address, I got really nervous.\Sorry, Uraraka. There was a lot going on, so I couldn't contact you.\I know you went through a lot.\Get some rest! And tell me more about it later. response:	Okay.
context: Mind, Skill, Body\I see, well, I'm just glad you and Iida are both okay.\Ochaco Uraraka - Quirk: Zero Gravity\When I got just the address, I got really nervous.\Sorry, Uraraka. There was a lot going on, so I couldn't contact you.\I know you went through a lot.\Get some rest! And tell me more about it later.\Okay. response:	Uravity, we're starting basic training.
context: I see, well, I'm just glad you and Iida are both okay.\Ochaco Uraraka - Quirk: Zero Gravity\When I got just the address, I got really nervous.\Sorry, Uraraka. There was a lot going on, so I couldn't contact you.\I know you went through a lot.\Get some rest! And tell me more about it later.\Okay.\Uravity, we're starting basic training. response:	Pro Hero - Gunhead
context: Ochaco Uraraka - Quirk: Zero Gravity\When I got just the address, I got really nervous.\Sorry, Uraraka. There was a lot going on, so I couldn't contact you.\I know you went through a lot.\Get some rest! And tell me more about it later.\Okay.\Uravity, we're starting basic training.\Pro Hero - Gunhead response:	Oh, right, sir!
context: When I got just the address, I got really nervous.\Sorry, Uraraka. There was a lot going on, so I couldn't contact you.\I know you went through a lot.\Get some rest! And tell me more about it later.\Okay.\Uravity, we're starting basic training.\Pro Hero - Gunhead\Oh, right, sir! response:	Well, I'll see you at school.
context: Sorry, Uraraka. There was a lot going on, so I couldn't contact you.\I know you went through a lot.\Get some rest! And tell me more about it later.\Okay.\Uravity, we're starting basic training.\Pro Hero - Gunhead\Oh, right, sir!\Well, I'll see you at school. response:	Sorry to bother you while you're busy! Bye!
context: I know you went through a lot.\Get some rest! And tell me more about it later.\Okay.\Uravity, we're starting basic training.\Pro Hero - Gunhead\Oh, right, sir!\Well, I'll see you at school.\Sorry to bother you while you're busy! Bye! response:	Your boyfriend?
context: Get some rest! And tell me more about it later.\Okay.\Uravity, we're starting basic training.\Pro Hero - Gunhead\Oh, right, sir!\Well, I'll see you at school.\Sorry to bother you while you're busy! Bye!\Your boyfriend? response:	N-No! That's not it!
context: Okay.\Uravity, we're starting basic training.\Pro Hero - Gunhead\Oh, right, sir!\Well, I'll see you at school.\Sorry to bother you while you're busy! Bye!\Your boyfriend?\N-No! That's not it! response:	Uraraka
context: Uravity, we're starting basic training.\Pro Hero - Gunhead\Oh, right, sir!\Well, I'll see you at school.\Sorry to bother you while you're busy! Bye!\Your boyfriend?\N-No! That's not it!\Uraraka response:	Telephone Corner
context: Pro Hero - Gunhead\Oh, right, sir!\Well, I'll see you at school.\Sorry to bother you while you're busy! Bye!\Your boyfriend?\N-No! That's not it!\Uraraka\Telephone Corner response:	Talking on the phone with a girl is... amazing!
context: Oh, right, sir!\Well, I'll see you at school.\Sorry to bother you while you're busy! Bye!\Your boyfriend?\N-No! That's not it!\Uraraka\Telephone Corner\Talking on the phone with a girl is... amazing! response:	Man, her voice was so close!
context: Well, I'll see you at school.\Sorry to bother you while you're busy! Bye!\Your boyfriend?\N-No! That's not it!\Uraraka\Telephone Corner\Talking on the phone with a girl is... amazing!\Man, her voice was so close! response:	Oh, Iida, just now, Uraraka said...
context: Sorry to bother you while you're busy! Bye!\Your boyfriend?\N-No! That's not it!\Uraraka\Telephone Corner\Talking on the phone with a girl is... amazing!\Man, her voice was so close!\Oh, Iida, just now, Uraraka said... response:	Midoriya.
context: Your boyfriend?\N-No! That's not it!\Uraraka\Telephone Corner\Talking on the phone with a girl is... amazing!\Man, her voice was so close!\Oh, Iida, just now, Uraraka said...\Midoriya. response:	Iida just finished getting examined.
context: N-No! That's not it!\Uraraka\Telephone Corner\Talking on the phone with a girl is... amazing!\Man, her voice was so close!\Oh, Iida, just now, Uraraka said...\Midoriya.\Iida just finished getting examined. response:	My left hand might have long-term damage...
context: Uraraka\Telephone Corner\Talking on the phone with a girl is... amazing!\Man, her voice was so close!\Oh, Iida, just now, Uraraka said...\Midoriya.\Iida just finished getting examined.\My left hand might have long-term damage... response:	Long-term... damage...?!
context: Telephone Corner\Talking on the phone with a girl is... amazing!\Man, her voice was so close!\Oh, Iida, just now, Uraraka said...\Midoriya.\Iida just finished getting examined.\My left hand might have long-term damage...\Long-term... damage...?! response:	Izuku Midoriya Quirk: One For All Smashes villains with a super power passed down from one generation to the next.
context: Talking on the phone with a girl is... amazing!\Man, her voice was so close!\Oh, Iida, just now, Uraraka said...\Midoriya.\Iida just finished getting examined.\My left hand might have long-term damage...\Long-term... damage...?!\Izuku Midoriya Quirk: One For All Smashes villains with a super power passed down from one generation to the next. response:	Affiliation: U.A. High School Hero Class 1-A Birthday: 7/15 Height: 166 cm Blood Type: O Likes: Pork Cutlet Bowl
context: Man, her voice was so close!\Oh, Iida, just now, Uraraka said...\Midoriya.\Iida just finished getting examined.\My left hand might have long-term damage...\Long-term... damage...?!\Izuku Midoriya Quirk: One For All Smashes villains with a super power passed down from one generation to the next.\Affiliation: U.A. High School Hero Class 1-A Birthday: 7/15 Height: 166 cm Blood Type: O Likes: Pork Cutlet Bowl response:	All Might (True Form) Quirk: One For All Smashes villains with a super power passed down from one generation to the next.
context: Oh, Iida, just now, Uraraka said...\Midoriya.\Iida just finished getting examined.\My left hand might have long-term damage...\Long-term... damage...?!\Izuku Midoriya Quirk: One For All Smashes villains with a super power passed down from one generation to the next.\Affiliation: U.A. High School Hero Class 1-A Birthday: 7/15 Height: 166 cm Blood Type: O Likes: Pork Cutlet Bowl\All Might (True Form) Quirk: One For All Smashes villains with a super power passed down from one generation to the next. response:	Affiliation: U.A. High School Hero Class Teacher Birthday: 6/10 Height: 220 cm Blood Type: A Likes: Yakushima Cedar
context: Midoriya.\Iida just finished getting examined.\My left hand might have long-term damage...\Long-term... damage...?!\Izuku Midoriya Quirk: One For All Smashes villains with a super power passed down from one generation to the next.\Affiliation: U.A. High School Hero Class 1-A Birthday: 7/15 Height: 166 cm Blood Type: O Likes: Pork Cutlet Bowl\All Might (True Form) Quirk: One For All Smashes villains with a super power passed down from one generation to the next.\Affiliation: U.A. High School Hero Class Teacher Birthday: 6/10 Height: 220 cm Blood Type: A Likes: Yakushima Cedar response:	Long-term... damage...
context: Iida just finished getting examined.\My left hand might have long-term damage...\Long-term... damage...?!\Izuku Midoriya Quirk: One For All Smashes villains with a super power passed down from one generation to the next.\Affiliation: U.A. High School Hero Class 1-A Birthday: 7/15 Height: 166 cm Blood Type: O Likes: Pork Cutlet Bowl\All Might (True Form) Quirk: One For All Smashes villains with a super power passed down from one generation to the next.\Affiliation: U.A. High School Hero Class Teacher Birthday: 6/10 Height: 220 cm Blood Type: A Likes: Yakushima Cedar\Long-term... damage... response:	Both of my arms were pretty beat up,
context: My left hand might have long-term damage...\Long-term... damage...?!\Izuku Midoriya Quirk: One For All Smashes villains with a super power passed down from one generation to the next.\Affiliation: U.A. High School Hero Class 1-A Birthday: 7/15 Height: 166 cm Blood Type: O Likes: Pork Cutlet Bowl\All Might (True Form) Quirk: One For All Smashes villains with a super power passed down from one generation to the next.\Affiliation: U.A. High School Hero Class Teacher Birthday: 6/10 Height: 220 cm Blood Type: A Likes: Yakushima Cedar\Long-term... damage...\Both of my arms were pretty beat up, response:	but it looks like the damage to my left arm was especially severe.
context: Long-term... damage...?!\Izuku Midoriya Quirk: One For All Smashes villains with a super power passed down from one generation to the next.\Affiliation: U.A. High School Hero Class 1-A Birthday: 7/15 Height: 166 cm Blood Type: O Likes: Pork Cutlet Bowl\All Might (True Form) Quirk: One For All Smashes villains with a super power passed down from one generation to the next.\Affiliation: U.A. High School Hero Class Teacher Birthday: 6/10 Height: 220 cm Blood Type: A Likes: Yakushima Cedar\Long-term... damage...\Both of my arms were pretty beat up,\but it looks like the damage to my left arm was especially severe. response:	There was damage to my brachial plexus.
context: Izuku Midoriya Quirk: One For All Smashes villains with a super power passed down from one generation to the next.\Affiliation: U.A. High School Hero Class 1-A Birthday: 7/15 Height: 166 cm Blood Type: O Likes: Pork Cutlet Bowl\All Might (True Form) Quirk: One For All Smashes villains with a super power passed down from one generation to the next.\Affiliation: U.A. High School Hero Class Teacher Birthday: 6/10 Height: 220 cm Blood Type: A Likes: Yakushima Cedar\Long-term... damage...\Both of my arms were pretty beat up,\but it looks like the damage to my left arm was especially severe.\There was damage to my brachial plexus. response:	But it just means that I'll have trouble moving my hand and fingers
context: Affiliation: U.A. High School Hero Class 1-A Birthday: 7/15 Height: 166 cm Blood Type: O Likes: Pork Cutlet Bowl\All Might (True Form) Quirk: One For All Smashes villains with a super power passed down from one generation to the next.\Affiliation: U.A. High School Hero Class Teacher Birthday: 6/10 Height: 220 cm Blood Type: A Likes: Yakushima Cedar\Long-term... damage...\Both of my arms were pretty beat up,\but it looks like the damage to my left arm was especially severe.\There was damage to my brachial plexus.\But it just means that I'll have trouble moving my hand and fingers response:	and experience some numbness.
context: All Might (True Form) Quirk: One For All Smashes villains with a super power passed down from one generation to the next.\Affiliation: U.A. High School Hero Class Teacher Birthday: 6/10 Height: 220 cm Blood Type: A Likes: Yakushima Cedar\Long-term... damage...\Both of my arms were pretty beat up,\but it looks like the damage to my left arm was especially severe.\There was damage to my brachial plexus.\But it just means that I'll have trouble moving my hand and fingers\and experience some numbness. response:	Apparently, there's a possibility that it can be healed with nerve transplant surgery.
context: Affiliation: U.A. High School Hero Class Teacher Birthday: 6/10 Height: 220 cm Blood Type: A Likes: Yakushima Cedar\Long-term... damage...\Both of my arms were pretty beat up,\but it looks like the damage to my left arm was especially severe.\There was damage to my brachial plexus.\But it just means that I'll have trouble moving my hand and fingers\and experience some numbness.\Apparently, there's a possibility that it can be healed with nerve transplant surgery. response:	When I found the hero killer, I stopped being able to think.
context: Long-term... damage...\Both of my arms were pretty beat up,\but it looks like the damage to my left arm was especially severe.\There was damage to my brachial plexus.\But it just means that I'll have trouble moving my hand and fingers\and experience some numbness.\Apparently, there's a possibility that it can be healed with nerve transplant surgery.\When I found the hero killer, I stopped being able to think. response:	The first thing I should've done was tell Manual.
context: Both of my arms were pretty beat up,\but it looks like the damage to my left arm was especially severe.\There was damage to my brachial plexus.\But it just means that I'll have trouble moving my hand and fingers\and experience some numbness.\Apparently, there's a possibility that it can be healed with nerve transplant surgery.\When I found the hero killer, I stopped being able to think.\The first thing I should've done was tell Manual. response:	But I forgot myself in my anger.
context: but it looks like the damage to my left arm was especially severe.\There was damage to my brachial plexus.\But it just means that I'll have trouble moving my hand and fingers\and experience some numbness.\Apparently, there's a possibility that it can be healed with nerve transplant surgery.\When I found the hero killer, I stopped being able to think.\The first thing I should've done was tell Manual.\But I forgot myself in my anger. response:	Being taken in by the hatred before you and trying to fulfill your own desires...
context: There was damage to my brachial plexus.\But it just means that I'll have trouble moving my hand and fingers\and experience some numbness.\Apparently, there's a possibility that it can be healed with nerve transplant surgery.\When I found the hero killer, I stopped being able to think.\The first thing I should've done was tell Manual.\But I forgot myself in my anger.\Being taken in by the hatred before you and trying to fulfill your own desires... response:	That is the furthest from what a hero should be.
context: But it just means that I'll have trouble moving my hand and fingers\and experience some numbness.\Apparently, there's a possibility that it can be healed with nerve transplant surgery.\When I found the hero killer, I stopped being able to think.\The first thing I should've done was tell Manual.\But I forgot myself in my anger.\Being taken in by the hatred before you and trying to fulfill your own desires...\That is the furthest from what a hero should be. response:	I hate him, but he spoke the truth.
context: and experience some numbness.\Apparently, there's a possibility that it can be healed with nerve transplant surgery.\When I found the hero killer, I stopped being able to think.\The first thing I should've done was tell Manual.\But I forgot myself in my anger.\Being taken in by the hatred before you and trying to fulfill your own desires...\That is the furthest from what a hero should be.\I hate him, but he spoke the truth. response:	That's why,
context: Apparently, there's a possibility that it can be healed with nerve transplant surgery.\When I found the hero killer, I stopped being able to think.\The first thing I should've done was tell Manual.\But I forgot myself in my anger.\Being taken in by the hatred before you and trying to fulfill your own desires...\That is the furthest from what a hero should be.\I hate him, but he spoke the truth.\That's why, response:	until I become a true hero,
context: When I found the hero killer, I stopped being able to think.\The first thing I should've done was tell Manual.\But I forgot myself in my anger.\Being taken in by the hatred before you and trying to fulfill your own desires...\That is the furthest from what a hero should be.\I hate him, but he spoke the truth.\That's why,\until I become a true hero, response:	I think I want to leave my left hand as it is.
context: The first thing I should've done was tell Manual.\But I forgot myself in my anger.\Being taken in by the hatred before you and trying to fulfill your own desires...\That is the furthest from what a hero should be.\I hate him, but he spoke the truth.\That's why,\until I become a true hero,\I think I want to leave my left hand as it is. response:	Iida...
context: But I forgot myself in my anger.\Being taken in by the hatred before you and trying to fulfill your own desires...\That is the furthest from what a hero should be.\I hate him, but he spoke the truth.\That's why,\until I become a true hero,\I think I want to leave my left hand as it is.\Iida... response:	Back then, if I had been more emphatic...
context: Being taken in by the hatred before you and trying to fulfill your own desires...\That is the furthest from what a hero should be.\I hate him, but he spoke the truth.\That's why,\until I become a true hero,\I think I want to leave my left hand as it is.\Iida...\Back then, if I had been more emphatic... response:	No, stop.
context: That is the furthest from what a hero should be.\I hate him, but he spoke the truth.\That's why,\until I become a true hero,\I think I want to leave my left hand as it is.\Iida...\Back then, if I had been more emphatic...\No, stop. response:	Iida's already accepted it.
context: I hate him, but he spoke the truth.\That's why,\until I become a true hero,\I think I want to leave my left hand as it is.\Iida...\Back then, if I had been more emphatic...\No, stop.\Iida's already accepted it. response:	It would be rude of me to apologize.
context: That's why,\until I become a true hero,\I think I want to leave my left hand as it is.\Iida...\Back then, if I had been more emphatic...\No, stop.\Iida's already accepted it.\It would be rude of me to apologize. response:	Iida, I feel the same way.
context: until I become a true hero,\I think I want to leave my left hand as it is.\Iida...\Back then, if I had been more emphatic...\No, stop.\Iida's already accepted it.\It would be rude of me to apologize.\Iida, I feel the same way. response:	I will let this hand guide me.
context: I think I want to leave my left hand as it is.\Iida...\Back then, if I had been more emphatic...\No, stop.\Iida's already accepted it.\It would be rude of me to apologize.\Iida, I feel the same way.\I will let this hand guide me. response:	Let's become stronger... together.
context: Iida...\Back then, if I had been more emphatic...\No, stop.\Iida's already accepted it.\It would be rude of me to apologize.\Iida, I feel the same way.\I will let this hand guide me.\Let's become stronger... together. response:	I feel... kind of bad...
context: Back then, if I had been more emphatic...\No, stop.\Iida's already accepted it.\It would be rude of me to apologize.\Iida, I feel the same way.\I will let this hand guide me.\Let's become stronger... together.\I feel... kind of bad... response:	About what?
context: No, stop.\Iida's already accepted it.\It would be rude of me to apologize.\Iida, I feel the same way.\I will let this hand guide me.\Let's become stronger... together.\I feel... kind of bad...\About what? response:	I feel like if I get involved... other people mess up their hands...
context: Iida's already accepted it.\It would be rude of me to apologize.\Iida, I feel the same way.\I will let this hand guide me.\Let's become stronger... together.\I feel... kind of bad...\About what?\I feel like if I get involved... other people mess up their hands... response:	Is it a curse?
context: It would be rude of me to apologize.\Iida, I feel the same way.\I will let this hand guide me.\Let's become stronger... together.\I feel... kind of bad...\About what?\I feel like if I get involved... other people mess up their hands...\Is it a curse? response:	Hosu General Hospital
context: Iida, I feel the same way.\I will let this hand guide me.\Let's become stronger... together.\I feel... kind of bad...\About what?\I feel like if I get involved... other people mess up their hands...\Is it a curse?\Hosu General Hospital response:	Todoroki, I didn't know you could make jokes!
context: I will let this hand guide me.\Let's become stronger... together.\I feel... kind of bad...\About what?\I feel like if I get involved... other people mess up their hands...\Is it a curse?\Hosu General Hospital\Todoroki, I didn't know you could make jokes! response:	No, I'm not joking.
context: Let's become stronger... together.\I feel... kind of bad...\About what?\I feel like if I get involved... other people mess up their hands...\Is it a curse?\Hosu General Hospital\Todoroki, I didn't know you could make jokes!\No, I'm not joking. response:	I'm like The Hand Crusher or something.
context: I feel... kind of bad...\About what?\I feel like if I get involved... other people mess up their hands...\Is it a curse?\Hosu General Hospital\Todoroki, I didn't know you could make jokes!\No, I'm not joking.\I'm like The Hand Crusher or something. response:	The Hand Crusher!
context: About what?\I feel like if I get involved... other people mess up their hands...\Is it a curse?\Hosu General Hospital\Todoroki, I didn't know you could make jokes!\No, I'm not joking.\I'm like The Hand Crusher or something.\The Hand Crusher! response:	Staff Room
context: I feel like if I get involved... other people mess up their hands...\Is it a curse?\Hosu General Hospital\Todoroki, I didn't know you could make jokes!\No, I'm not joking.\I'm like The Hand Crusher or something.\The Hand Crusher!\Staff Room response:	A phone call... is here! A phone call... is here!
context: Is it a curse?\Hosu General Hospital\Todoroki, I didn't know you could make jokes!\No, I'm not joking.\I'm like The Hand Crusher or something.\The Hand Crusher!\Staff Room\A phone call... is here! A phone call... is here! response:	Pro Hero - Present Mic Pro Hero: Eraser Head - Quirk: Erasure Pro Hero - All Might - Quirk: One For All
context: Hosu General Hospital\Todoroki, I didn't know you could make jokes!\No, I'm not joking.\I'm like The Hand Crusher or something.\The Hand Crusher!\Staff Room\A phone call... is here! A phone call... is here!\Pro Hero - Present Mic Pro Hero: Eraser Head - Quirk: Erasure Pro Hero - All Might - Quirk: One For All response:	A phone-
context: Todoroki, I didn't know you could make jokes!\No, I'm not joking.\I'm like The Hand Crusher or something.\The Hand Crusher!\Staff Room\A phone call... is here! A phone call... is here!\Pro Hero - Present Mic Pro Hero: Eraser Head - Quirk: Erasure Pro Hero - All Might - Quirk: One For All\A phone- response:	Yes, hello?
context: No, I'm not joking.\I'm like The Hand Crusher or something.\The Hand Crusher!\Staff Room\A phone call... is here! A phone call... is here!\Pro Hero - Present Mic Pro Hero: Eraser Head - Quirk: Erasure Pro Hero - All Might - Quirk: One For All\A phone-\Yes, hello? response:	That ringtone is annoying as usual.
context: I'm like The Hand Crusher or something.\The Hand Crusher!\Staff Room\A phone call... is here! A phone call... is here!\Pro Hero - Present Mic Pro Hero: Eraser Head - Quirk: Erasure Pro Hero - All Might - Quirk: One For All\A phone-\Yes, hello?\That ringtone is annoying as usual. response:	S-Sir!
context: The Hand Crusher!\Staff Room\A phone call... is here! A phone call... is here!\Pro Hero - Present Mic Pro Hero: Eraser Head - Quirk: Erasure Pro Hero - All Might - Quirk: One For All\A phone-\Yes, hello?\That ringtone is annoying as usual.\S-Sir! response:	Izuku Midoriya! Goodness!
context: Staff Room\A phone call... is here! A phone call... is here!\Pro Hero - Present Mic Pro Hero: Eraser Head - Quirk: Erasure Pro Hero - All Might - Quirk: One For All\A phone-\Yes, hello?\That ringtone is annoying as usual.\S-Sir!\Izuku Midoriya! Goodness! response:	Telephone Corner
context: A phone call... is here! A phone call... is here!\Pro Hero - Present Mic Pro Hero: Eraser Head - Quirk: Erasure Pro Hero - All Might - Quirk: One For All\A phone-\Yes, hello?\That ringtone is annoying as usual.\S-Sir!\Izuku Midoriya! Goodness!\Telephone Corner response:	Thanks to him, I'm getting a pay cut,
context: Pro Hero - Present Mic Pro Hero: Eraser Head - Quirk: Erasure Pro Hero - All Might - Quirk: One For All\A phone-\Yes, hello?\That ringtone is annoying as usual.\S-Sir!\Izuku Midoriya! Goodness!\Telephone Corner\Thanks to him, I'm getting a pay cut, response:	and my teaching license is being revoked for six months.
context: A phone-\Yes, hello?\That ringtone is annoying as usual.\S-Sir!\Izuku Midoriya! Goodness!\Telephone Corner\Thanks to him, I'm getting a pay cut,\and my teaching license is being revoked for six months. response:	Well, considering the extenuating circumstances, it couldn't be helped.
context: Yes, hello?\That ringtone is annoying as usual.\S-Sir!\Izuku Midoriya! Goodness!\Telephone Corner\Thanks to him, I'm getting a pay cut,\and my teaching license is being revoked for six months.\Well, considering the extenuating circumstances, it couldn't be helped. response:	The part where he just starts moving without thinking is just like you, Toshinori!
context: That ringtone is annoying as usual.\S-Sir!\Izuku Midoriya! Goodness!\Telephone Corner\Thanks to him, I'm getting a pay cut,\and my teaching license is being revoked for six months.\Well, considering the extenuating circumstances, it couldn't be helped.\The part where he just starts moving without thinking is just like you, Toshinori! response:	I humbly apologize!
context: S-Sir!\Izuku Midoriya! Goodness!\Telephone Corner\Thanks to him, I'm getting a pay cut,\and my teaching license is being revoked for six months.\Well, considering the extenuating circumstances, it couldn't be helped.\The part where he just starts moving without thinking is just like you, Toshinori!\I humbly apologize! response:	It is because of my insufficient teaching...
context: Izuku Midoriya! Goodness!\Telephone Corner\Thanks to him, I'm getting a pay cut,\and my teaching license is being revoked for six months.\Well, considering the extenuating circumstances, it couldn't be helped.\The part where he just starts moving without thinking is just like you, Toshinori!\I humbly apologize!\It is because of my insufficient teaching... response:	To cause you such trouble...
context: Telephone Corner\Thanks to him, I'm getting a pay cut,\and my teaching license is being revoked for six months.\Well, considering the extenuating circumstances, it couldn't be helped.\The part where he just starts moving without thinking is just like you, Toshinori!\I humbly apologize!\It is because of my insufficient teaching...\To cause you such trouble... response:	Oh dear...
context: Thanks to him, I'm getting a pay cut,\and my teaching license is being revoked for six months.\Well, considering the extenuating circumstances, it couldn't be helped.\The part where he just starts moving without thinking is just like you, Toshinori!\I humbly apologize!\It is because of my insufficient teaching...\To cause you such trouble...\Oh dear... response:	I don't care about my teaching license anymore anyway.
context: and my teaching license is being revoked for six months.\Well, considering the extenuating circumstances, it couldn't be helped.\The part where he just starts moving without thinking is just like you, Toshinori!\I humbly apologize!\It is because of my insufficient teaching...\To cause you such trouble...\Oh dear...\I don't care about my teaching license anymore anyway. response:	I only got it to teach you so I could keep my promise to your predecessor, Shimura.
context: Well, considering the extenuating circumstances, it couldn't be helped.\The part where he just starts moving without thinking is just like you, Toshinori!\I humbly apologize!\It is because of my insufficient teaching...\To cause you such trouble...\Oh dear...\I don't care about my teaching license anymore anyway.\I only got it to teach you so I could keep my promise to your predecessor, Shimura. response:	And I truly appreciate what you did.
context: The part where he just starts moving without thinking is just like you, Toshinori!\I humbly apologize!\It is because of my insufficient teaching...\To cause you such trouble...\Oh dear...\I don't care about my teaching license anymore anyway.\I only got it to teach you so I could keep my promise to your predecessor, Shimura.\And I truly appreciate what you did. response:	I am who I am today because of your teaching.
context: I humbly apologize!\It is because of my insufficient teaching...\To cause you such trouble...\Oh dear...\I don't care about my teaching license anymore anyway.\I only got it to teach you so I could keep my promise to your predecessor, Shimura.\And I truly appreciate what you did.\I am who I am today because of your teaching. response:	You say that, but you never come to visit.
context: It is because of my insufficient teaching...\To cause you such trouble...\Oh dear...\I don't care about my teaching license anymore anyway.\I only got it to teach you so I could keep my promise to your predecessor, Shimura.\And I truly appreciate what you did.\I am who I am today because of your teaching.\You say that, but you never come to visit. response:	I-It's just that... my new life as a teacher is so busy...
context: To cause you such trouble...\Oh dear...\I don't care about my teaching license anymore anyway.\I only got it to teach you so I could keep my promise to your predecessor, Shimura.\And I truly appreciate what you did.\I am who I am today because of your teaching.\You say that, but you never come to visit.\I-It's just that... my new life as a teacher is so busy... response:	I called today to talk about the hero killer.
context: Oh dear...\I don't care about my teaching license anymore anyway.\I only got it to teach you so I could keep my promise to your predecessor, Shimura.\And I truly appreciate what you did.\I am who I am today because of your teaching.\You say that, but you never come to visit.\I-It's just that... my new life as a teacher is so busy...\I called today to talk about the hero killer. response:	I only saw him in person for a few minutes,
context: I don't care about my teaching license anymore anyway.\I only got it to teach you so I could keep my promise to your predecessor, Shimura.\And I truly appreciate what you did.\I am who I am today because of your teaching.\You say that, but you never come to visit.\I-It's just that... my new life as a teacher is so busy...\I called today to talk about the hero killer.\I only saw him in person for a few minutes, response:	but even so, he had me shaking.
context: I only got it to teach you so I could keep my promise to your predecessor, Shimura.\And I truly appreciate what you did.\I am who I am today because of your teaching.\You say that, but you never come to visit.\I-It's just that... my new life as a teacher is so busy...\I called today to talk about the hero killer.\I only saw him in person for a few minutes,\but even so, he had me shaking. response:	Lounge
context: And I truly appreciate what you did.\I am who I am today because of your teaching.\You say that, but you never come to visit.\I-It's just that... my new life as a teacher is so busy...\I called today to talk about the hero killer.\I only saw him in person for a few minutes,\but even so, he had me shaking.\Lounge response:	To be able to frighten someone like you, Gran Torino...
context: I am who I am today because of your teaching.\You say that, but you never come to visit.\I-It's just that... my new life as a teacher is so busy...\I called today to talk about the hero killer.\I only saw him in person for a few minutes,\but even so, he had me shaking.\Lounge\To be able to frighten someone like you, Gran Torino... response:	But he had already been tied up, so what was it...?
context: You say that, but you never come to visit.\I-It's just that... my new life as a teacher is so busy...\I called today to talk about the hero killer.\I only saw him in person for a few minutes,\but even so, he had me shaking.\Lounge\To be able to frighten someone like you, Gran Torino...\But he had already been tied up, so what was it...? response:	The pressure I felt from him was probably his strong ideology...
context: I-It's just that... my new life as a teacher is so busy...\I called today to talk about the hero killer.\I only saw him in person for a few minutes,\but even so, he had me shaking.\Lounge\To be able to frighten someone like you, Gran Torino...\But he had already been tied up, so what was it...?\The pressure I felt from him was probably his strong ideology... response:	I'm not saying this to praise him,
context: I called today to talk about the hero killer.\I only saw him in person for a few minutes,\but even so, he had me shaking.\Lounge\To be able to frighten someone like you, Gran Torino...\But he had already been tied up, so what was it...?\The pressure I felt from him was probably his strong ideology...\I'm not saying this to praise him, response:	but it's the same quality as that Symbol of Peace thing you have.
context: I only saw him in person for a few minutes,\but even so, he had me shaking.\Lounge\To be able to frighten someone like you, Gran Torino...\But he had already been tied up, so what was it...?\The pressure I felt from him was probably his strong ideology...\I'm not saying this to praise him,\but it's the same quality as that Symbol of Peace thing you have. response:	The same quality...
context: but even so, he had me shaking.\Lounge\To be able to frighten someone like you, Gran Torino...\But he had already been tied up, so what was it...?\The pressure I felt from him was probably his strong ideology...\I'm not saying this to praise him,\but it's the same quality as that Symbol of Peace thing you have.\The same quality... response:	To put it simply, it's charisma.
context: Lounge\To be able to frighten someone like you, Gran Torino...\But he had already been tied up, so what was it...?\The pressure I felt from him was probably his strong ideology...\I'm not saying this to praise him,\but it's the same quality as that Symbol of Peace thing you have.\The same quality...\To put it simply, it's charisma. response:	Hero Killer: Stain's Ideology
context: To be able to frighten someone like you, Gran Torino...\But he had already been tied up, so what was it...?\The pressure I felt from him was probably his strong ideology...\I'm not saying this to praise him,\but it's the same quality as that Symbol of Peace thing you have.\The same quality...\To put it simply, it's charisma.\Hero Killer: Stain's Ideology response:	As the investigation continues, his ideology and opinion will be all over the media-
