context: So, Taihei... can I come by your place for dinner tonight? response:	Sure. Not a problem.
context: UMARU!\Gah! What, what happened?!\Big Brother, I swear.\It's not even time for spring cleaning yet!\Listen closely, Umaru.\Gah!\It's about your attitude, and how you don't care how dirty things get.\This is a detox, for the soul! response:	Wh-what I mean is...
context: Gah! What, what happened?!\Big Brother, I swear.\It's not even time for spring cleaning yet!\Listen closely, Umaru.\Gah!\It's about your attitude, and how you don't care how dirty things get.\This is a detox, for the soul!\Wh-what I mean is... response:	I clean every week, but when the weekend comes, it's dirty again.
context: Big Brother, I swear.\It's not even time for spring cleaning yet!\Listen closely, Umaru.\Gah!\It's about your attitude, and how you don't care how dirty things get.\This is a detox, for the soul!\Wh-what I mean is...\I clean every week, but when the weekend comes, it's dirty again. response:	It's because you're being lazy! You think it's okay to leave things messy and I'll clean it up later.
context: It's not even time for spring cleaning yet!\Listen closely, Umaru.\Gah!\It's about your attitude, and how you don't care how dirty things get.\This is a detox, for the soul!\Wh-what I mean is...\I clean every week, but when the weekend comes, it's dirty again.\It's because you're being lazy! You think it's okay to leave things messy and I'll clean it up later. response:	But if I didn't make a mess, you'd have nothing to do on the weekends, right?
context: Listen closely, Umaru.\Gah!\It's about your attitude, and how you don't care how dirty things get.\This is a detox, for the soul!\Wh-what I mean is...\I clean every week, but when the weekend comes, it's dirty again.\It's because you're being lazy! You think it's okay to leave things messy and I'll clean it up later.\But if I didn't make a mess, you'd have nothing to do on the weekends, right? response:	Why do I look all shriveled up?!
context: Gah!\It's about your attitude, and how you don't care how dirty things get.\This is a detox, for the soul!\Wh-what I mean is...\I clean every week, but when the weekend comes, it's dirty again.\It's because you're being lazy! You think it's okay to leave things messy and I'll clean it up later.\But if I didn't make a mess, you'd have nothing to do on the weekends, right?\Why do I look all shriveled up?! response:	Anyway, we're doing this.
context: It's about your attitude, and how you don't care how dirty things get.\This is a detox, for the soul!\Wh-what I mean is...\I clean every week, but when the weekend comes, it's dirty again.\It's because you're being lazy! You think it's okay to leave things messy and I'll clean it up later.\But if I didn't make a mess, you'd have nothing to do on the weekends, right?\Why do I look all shriveled up?!\Anyway, we're doing this. response:	Fine...
context: This is a detox, for the soul!\Wh-what I mean is...\I clean every week, but when the weekend comes, it's dirty again.\It's because you're being lazy! You think it's okay to leave things messy and I'll clean it up later.\But if I didn't make a mess, you'd have nothing to do on the weekends, right?\Why do I look all shriveled up?!\Anyway, we're doing this.\Fine... response:	Cleaning Technique No. 1: Decide What Goes Where!
context: Wh-what I mean is...\I clean every week, but when the weekend comes, it's dirty again.\It's because you're being lazy! You think it's okay to leave things messy and I'll clean it up later.\But if I didn't make a mess, you'd have nothing to do on the weekends, right?\Why do I look all shriveled up?!\Anyway, we're doing this.\Fine...\Cleaning Technique No. 1: Decide What Goes Where! response:	This place gets messy because things are just left scattered all over the floor.
context: I clean every week, but when the weekend comes, it's dirty again.\It's because you're being lazy! You think it's okay to leave things messy and I'll clean it up later.\But if I didn't make a mess, you'd have nothing to do on the weekends, right?\Why do I look all shriveled up?!\Anyway, we're doing this.\Fine...\Cleaning Technique No. 1: Decide What Goes Where!\This place gets messy because things are just left scattered all over the floor. response:	That's why we have to decide where each and every item goes.
context: It's because you're being lazy! You think it's okay to leave things messy and I'll clean it up later.\But if I didn't make a mess, you'd have nothing to do on the weekends, right?\Why do I look all shriveled up?!\Anyway, we're doing this.\Fine...\Cleaning Technique No. 1: Decide What Goes Where!\This place gets messy because things are just left scattered all over the floor.\That's why we have to decide where each and every item goes. response:	I'd like you to use the bookshelves.
context: But if I didn't make a mess, you'd have nothing to do on the weekends, right?\Why do I look all shriveled up?!\Anyway, we're doing this.\Fine...\Cleaning Technique No. 1: Decide What Goes Where!\This place gets messy because things are just left scattered all over the floor.\That's why we have to decide where each and every item goes.\I'd like you to use the bookshelves. response:	Roger that!
context: Why do I look all shriveled up?!\Anyway, we're doing this.\Fine...\Cleaning Technique No. 1: Decide What Goes Where!\This place gets messy because things are just left scattered all over the floor.\That's why we have to decide where each and every item goes.\I'd like you to use the bookshelves.\Roger that! response:	I wonder where Big Brother learned his technique...
context: Anyway, we're doing this.\Fine...\Cleaning Technique No. 1: Decide What Goes Where!\This place gets messy because things are just left scattered all over the floor.\That's why we have to decide where each and every item goes.\I'd like you to use the bookshelves.\Roger that!\I wonder where Big Brother learned his technique... response:	From THIS, huh?
context: Fine...\Cleaning Technique No. 1: Decide What Goes Where!\This place gets messy because things are just left scattered all over the floor.\That's why we have to decide where each and every item goes.\I'd like you to use the bookshelves.\Roger that!\I wonder where Big Brother learned his technique...\From THIS, huh? response:	We've pretty much figured out where things go, huh?
context: Cleaning Technique No. 1: Decide What Goes Where!\This place gets messy because things are just left scattered all over the floor.\That's why we have to decide where each and every item goes.\I'd like you to use the bookshelves.\Roger that!\I wonder where Big Brother learned his technique...\From THIS, huh?\We've pretty much figured out where things go, huh? response:	But there's a whole bunch still left over.
context: This place gets messy because things are just left scattered all over the floor.\That's why we have to decide where each and every item goes.\I'd like you to use the bookshelves.\Roger that!\I wonder where Big Brother learned his technique...\From THIS, huh?\We've pretty much figured out where things go, huh?\But there's a whole bunch still left over. response:	Cleaning Technique No. 2: Store Whatever Remains Left from Step 1!
context: That's why we have to decide where each and every item goes.\I'd like you to use the bookshelves.\Roger that!\I wonder where Big Brother learned his technique...\From THIS, huh?\We've pretty much figured out where things go, huh?\But there's a whole bunch still left over.\Cleaning Technique No. 2: Store Whatever Remains Left from Step 1! response:	If you can't come up with a place for something, it means you don't use it much and you should store it.
context: I'd like you to use the bookshelves.\Roger that!\I wonder where Big Brother learned his technique...\From THIS, huh?\We've pretty much figured out where things go, huh?\But there's a whole bunch still left over.\Cleaning Technique No. 2: Store Whatever Remains Left from Step 1!\If you can't come up with a place for something, it means you don't use it much and you should store it. response:	Let's box up volumes of the same size and genre together.
context: Roger that!\I wonder where Big Brother learned his technique...\From THIS, huh?\We've pretty much figured out where things go, huh?\But there's a whole bunch still left over.\Cleaning Technique No. 2: Store Whatever Remains Left from Step 1!\If you can't come up with a place for something, it means you don't use it much and you should store it.\Let's box up volumes of the same size and genre together. response:	But Big Brother, what genre is it if you've got a DVD inside of a game case?
context: I wonder where Big Brother learned his technique...\From THIS, huh?\We've pretty much figured out where things go, huh?\But there's a whole bunch still left over.\Cleaning Technique No. 2: Store Whatever Remains Left from Step 1!\If you can't come up with a place for something, it means you don't use it much and you should store it.\Let's box up volumes of the same size and genre together.\But Big Brother, what genre is it if you've got a DVD inside of a game case? response:	Why do you have things all mixed up like that?
context: From THIS, huh?\We've pretty much figured out where things go, huh?\But there's a whole bunch still left over.\Cleaning Technique No. 2: Store Whatever Remains Left from Step 1!\If you can't come up with a place for something, it means you don't use it much and you should store it.\Let's box up volumes of the same size and genre together.\But Big Brother, what genre is it if you've got a DVD inside of a game case?\Why do you have things all mixed up like that? response:	It's a pain to keep pulling discs out and putting them back in, so I just put them wherever...
context: We've pretty much figured out where things go, huh?\But there's a whole bunch still left over.\Cleaning Technique No. 2: Store Whatever Remains Left from Step 1!\If you can't come up with a place for something, it means you don't use it much and you should store it.\Let's box up volumes of the same size and genre together.\But Big Brother, what genre is it if you've got a DVD inside of a game case?\Why do you have things all mixed up like that?\It's a pain to keep pulling discs out and putting them back in, so I just put them wherever... response:	Put them back in their proper cases!
context: But there's a whole bunch still left over.\Cleaning Technique No. 2: Store Whatever Remains Left from Step 1!\If you can't come up with a place for something, it means you don't use it much and you should store it.\Let's box up volumes of the same size and genre together.\But Big Brother, what genre is it if you've got a DVD inside of a game case?\Why do you have things all mixed up like that?\It's a pain to keep pulling discs out and putting them back in, so I just put them wherever...\Put them back in their proper cases! response:	Okay, that's everything nice and stored.
context: Cleaning Technique No. 2: Store Whatever Remains Left from Step 1!\If you can't come up with a place for something, it means you don't use it much and you should store it.\Let's box up volumes of the same size and genre together.\But Big Brother, what genre is it if you've got a DVD inside of a game case?\Why do you have things all mixed up like that?\It's a pain to keep pulling discs out and putting them back in, so I just put them wherever...\Put them back in their proper cases!\Okay, that's everything nice and stored. response:	But if there's no more room to put stuff?
context: If you can't come up with a place for something, it means you don't use it much and you should store it.\Let's box up volumes of the same size and genre together.\But Big Brother, what genre is it if you've got a DVD inside of a game case?\Why do you have things all mixed up like that?\It's a pain to keep pulling discs out and putting them back in, so I just put them wherever...\Put them back in their proper cases!\Okay, that's everything nice and stored.\But if there's no more room to put stuff? response:	You toss it!
context: Let's box up volumes of the same size and genre together.\But Big Brother, what genre is it if you've got a DVD inside of a game case?\Why do you have things all mixed up like that?\It's a pain to keep pulling discs out and putting them back in, so I just put them wherever...\Put them back in their proper cases!\Okay, that's everything nice and stored.\But if there's no more room to put stuff?\You toss it! response:	HUH?! No way! That would be a waste! I mean, look how cute this doll thing is!
context: But Big Brother, what genre is it if you've got a DVD inside of a game case?\Why do you have things all mixed up like that?\It's a pain to keep pulling discs out and putting them back in, so I just put them wherever...\Put them back in their proper cases!\Okay, that's everything nice and stored.\But if there's no more room to put stuff?\You toss it!\HUH?! No way! That would be a waste! I mean, look how cute this doll thing is! response:	You call that cute?
context: Why do you have things all mixed up like that?\It's a pain to keep pulling discs out and putting them back in, so I just put them wherever...\Put them back in their proper cases!\Okay, that's everything nice and stored.\But if there's no more room to put stuff?\You toss it!\HUH?! No way! That would be a waste! I mean, look how cute this doll thing is!\You call that cute? response:	Listen closely, Umaru: All things are destined to meet their end!
context: It's a pain to keep pulling discs out and putting them back in, so I just put them wherever...\Put them back in their proper cases!\Okay, that's everything nice and stored.\But if there's no more room to put stuff?\You toss it!\HUH?! No way! That would be a waste! I mean, look how cute this doll thing is!\You call that cute?\Listen closely, Umaru: All things are destined to meet their end! response:	Out with the old and in with the new! This is the natural order of things!
context: Put them back in their proper cases!\Okay, that's everything nice and stored.\But if there's no more room to put stuff?\You toss it!\HUH?! No way! That would be a waste! I mean, look how cute this doll thing is!\You call that cute?\Listen closely, Umaru: All things are destined to meet their end!\Out with the old and in with the new! This is the natural order of things! response:	Out with the old and in with the new! This is the natural order of things! Hup, hup!
context: Okay, that's everything nice and stored.\But if there's no more room to put stuff?\You toss it!\HUH?! No way! That would be a waste! I mean, look how cute this doll thing is!\You call that cute?\Listen closely, Umaru: All things are destined to meet their end!\Out with the old and in with the new! This is the natural order of things!\Out with the old and in with the new! This is the natural order of things! Hup, hup! response:	THIS!
context: But if there's no more room to put stuff?\You toss it!\HUH?! No way! That would be a waste! I mean, look how cute this doll thing is!\You call that cute?\Listen closely, Umaru: All things are destined to meet their end!\Out with the old and in with the new! This is the natural order of things!\Out with the old and in with the new! This is the natural order of things! Hup, hup!\THIS! response:	That includes this, right?
context: You toss it!\HUH?! No way! That would be a waste! I mean, look how cute this doll thing is!\You call that cute?\Listen closely, Umaru: All things are destined to meet their end!\Out with the old and in with the new! This is the natural order of things!\Out with the old and in with the new! This is the natural order of things! Hup, hup!\THIS!\That includes this, right? response:	The sticky note on this page here says the same thing that you're saying.
context: HUH?! No way! That would be a waste! I mean, look how cute this doll thing is!\You call that cute?\Listen closely, Umaru: All things are destined to meet their end!\Out with the old and in with the new! This is the natural order of things!\Out with the old and in with the new! This is the natural order of things! Hup, hup!\THIS!\That includes this, right?\The sticky note on this page here says the same thing that you're saying. response:	M-maybe I could keep that stuffed doll of yours on my desk...
context: You call that cute?\Listen closely, Umaru: All things are destined to meet their end!\Out with the old and in with the new! This is the natural order of things!\Out with the old and in with the new! This is the natural order of things! Hup, hup!\THIS!\That includes this, right?\The sticky note on this page here says the same thing that you're saying.\M-maybe I could keep that stuffed doll of yours on my desk... response:	You don't mind?!
context: Listen closely, Umaru: All things are destined to meet their end!\Out with the old and in with the new! This is the natural order of things!\Out with the old and in with the new! This is the natural order of things! Hup, hup!\THIS!\That includes this, right?\The sticky note on this page here says the same thing that you're saying.\M-maybe I could keep that stuffed doll of yours on my desk...\You don't mind?! response:	Looks pretty clean, doesn't it?
context: Out with the old and in with the new! This is the natural order of things!\Out with the old and in with the new! This is the natural order of things! Hup, hup!\THIS!\That includes this, right?\The sticky note on this page here says the same thing that you're saying.\M-maybe I could keep that stuffed doll of yours on my desk...\You don't mind?!\Looks pretty clean, doesn't it? response:	Yeah!
context: Out with the old and in with the new! This is the natural order of things! Hup, hup!\THIS!\That includes this, right?\The sticky note on this page here says the same thing that you're saying.\M-maybe I could keep that stuffed doll of yours on my desk...\You don't mind?!\Looks pretty clean, doesn't it?\Yeah! response:	Flying leap!
context: THIS!\That includes this, right?\The sticky note on this page here says the same thing that you're saying.\M-maybe I could keep that stuffed doll of yours on my desk...\You don't mind?!\Looks pretty clean, doesn't it?\Yeah!\Flying leap! response:	All that's left is to see if you can keep things nice and neat.
context: That includes this, right?\The sticky note on this page here says the same thing that you're saying.\M-maybe I could keep that stuffed doll of yours on my desk...\You don't mind?!\Looks pretty clean, doesn't it?\Yeah!\Flying leap!\All that's left is to see if you can keep things nice and neat. response:	I'm bored of this game... oh, I know!
context: The sticky note on this page here says the same thing that you're saying.\M-maybe I could keep that stuffed doll of yours on my desk...\You don't mind?!\Looks pretty clean, doesn't it?\Yeah!\Flying leap!\All that's left is to see if you can keep things nice and neat.\I'm bored of this game... oh, I know! response:	I'll play one of those retro games that turned up yesterday.
context: M-maybe I could keep that stuffed doll of yours on my desk...\You don't mind?!\Looks pretty clean, doesn't it?\Yeah!\Flying leap!\All that's left is to see if you can keep things nice and neat.\I'm bored of this game... oh, I know!\I'll play one of those retro games that turned up yesterday. response:	It's fun to play these once in a while.
context: You don't mind?!\Looks pretty clean, doesn't it?\Yeah!\Flying leap!\All that's left is to see if you can keep things nice and neat.\I'm bored of this game... oh, I know!\I'll play one of those retro games that turned up yesterday.\It's fun to play these once in a while. response:	Why do you have things all mixed up like that?
context: Looks pretty clean, doesn't it?\Yeah!\Flying leap!\All that's left is to see if you can keep things nice and neat.\I'm bored of this game... oh, I know!\I'll play one of those retro games that turned up yesterday.\It's fun to play these once in a while.\Why do you have things all mixed up like that? response:	Which case did this belong to...?
context: Yeah!\Flying leap!\All that's left is to see if you can keep things nice and neat.\I'm bored of this game... oh, I know!\I'll play one of those retro games that turned up yesterday.\It's fun to play these once in a while.\Why do you have things all mixed up like that?\Which case did this belong to...? response:	Umaru... You can leave things a LITTLE messy...
context: Flying leap!\All that's left is to see if you can keep things nice and neat.\I'm bored of this game... oh, I know!\I'll play one of those retro games that turned up yesterday.\It's fun to play these once in a while.\Why do you have things all mixed up like that?\Which case did this belong to...?\Umaru... You can leave things a LITTLE messy... response:	He's all shriveled up.
context: All that's left is to see if you can keep things nice and neat.\I'm bored of this game... oh, I know!\I'll play one of those retro games that turned up yesterday.\It's fun to play these once in a while.\Why do you have things all mixed up like that?\Which case did this belong to...?\Umaru... You can leave things a LITTLE messy...\He's all shriveled up. response:	Are you going somewhere on Sunday?
context: I'm bored of this game... oh, I know!\I'll play one of those retro games that turned up yesterday.\It's fun to play these once in a while.\Why do you have things all mixed up like that?\Which case did this belong to...?\Umaru... You can leave things a LITTLE messy...\He's all shriveled up.\Are you going somewhere on Sunday? response:	We're going to the movies!
context: I'll play one of those retro games that turned up yesterday.\It's fun to play these once in a while.\Why do you have things all mixed up like that?\Which case did this belong to...?\Umaru... You can leave things a LITTLE messy...\He's all shriveled up.\Are you going somewhere on Sunday?\We're going to the movies! response:	This is a big crowd indeed!
context: It's fun to play these once in a while.\Why do you have things all mixed up like that?\Which case did this belong to...?\Umaru... You can leave things a LITTLE messy...\He's all shriveled up.\Are you going somewhere on Sunday?\We're going to the movies!\This is a big crowd indeed! response:	It's been a while since I've seen a movie at the theater.
context: Why do you have things all mixed up like that?\Which case did this belong to...?\Umaru... You can leave things a LITTLE messy...\He's all shriveled up.\Are you going somewhere on Sunday?\We're going to the movies!\This is a big crowd indeed!\It's been a while since I've seen a movie at the theater. response:	What do you think? Should we watch it first, or...?
context: Which case did this belong to...?\Umaru... You can leave things a LITTLE messy...\He's all shriveled up.\Are you going somewhere on Sunday?\We're going to the movies!\This is a big crowd indeed!\It's been a while since I've seen a movie at the theater.\What do you think? Should we watch it first, or...? response:	Well, it is almost lunch time.
context: Umaru... You can leave things a LITTLE messy...\He's all shriveled up.\Are you going somewhere on Sunday?\We're going to the movies!\This is a big crowd indeed!\It's been a while since I've seen a movie at the theater.\What do you think? Should we watch it first, or...?\Well, it is almost lunch time. response:	Yeah, that's true.
context: He's all shriveled up.\Are you going somewhere on Sunday?\We're going to the movies!\This is a big crowd indeed!\It's been a while since I've seen a movie at the theater.\What do you think? Should we watch it first, or...?\Well, it is almost lunch time.\Yeah, that's true. response:	Sylphyn has already bought popcorn and is standing in line!
context: Are you going somewhere on Sunday?\We're going to the movies!\This is a big crowd indeed!\It's been a while since I've seen a movie at the theater.\What do you think? Should we watch it first, or...?\Well, it is almost lunch time.\Yeah, that's true.\Sylphyn has already bought popcorn and is standing in line! response:	Shbwaa!
context: We're going to the movies!\This is a big crowd indeed!\It's been a while since I've seen a movie at the theater.\What do you think? Should we watch it first, or...?\Well, it is almost lunch time.\Yeah, that's true.\Sylphyn has already bought popcorn and is standing in line!\Shbwaa! response:	S-Sylphyn! You're already in line?
context: This is a big crowd indeed!\It's been a while since I've seen a movie at the theater.\What do you think? Should we watch it first, or...?\Well, it is almost lunch time.\Yeah, that's true.\Sylphyn has already bought popcorn and is standing in line!\Shbwaa!\S-Sylphyn! You're already in line? response:	And I've bought popcorn for everyone!
context: It's been a while since I've seen a movie at the theater.\What do you think? Should we watch it first, or...?\Well, it is almost lunch time.\Yeah, that's true.\Sylphyn has already bought popcorn and is standing in line!\Shbwaa!\S-Sylphyn! You're already in line?\And I've bought popcorn for everyone! response:	We were talking about getting something to eat first...
context: What do you think? Should we watch it first, or...?\Well, it is almost lunch time.\Yeah, that's true.\Sylphyn has already bought popcorn and is standing in line!\Shbwaa!\S-Sylphyn! You're already in line?\And I've bought popcorn for everyone!\We were talking about getting something to eat first... response:	Shwaaat?
context: Well, it is almost lunch time.\Yeah, that's true.\Sylphyn has already bought popcorn and is standing in line!\Shbwaa!\S-Sylphyn! You're already in line?\And I've bought popcorn for everyone!\We were talking about getting something to eat first...\Shwaaat? response:	Y-you were?
context: Yeah, that's true.\Sylphyn has already bought popcorn and is standing in line!\Shbwaa!\S-Sylphyn! You're already in line?\And I've bought popcorn for everyone!\We were talking about getting something to eat first...\Shwaaat?\Y-you were? response:	Sylphyn, I swear...
context: Sylphyn has already bought popcorn and is standing in line!\Shbwaa!\S-Sylphyn! You're already in line?\And I've bought popcorn for everyone!\We were talking about getting something to eat first...\Shwaaat?\Y-you were?\Sylphyn, I swear... response:	U-um, maybe we COULD see the movie first.
context: Shbwaa!\S-Sylphyn! You're already in line?\And I've bought popcorn for everyone!\We were talking about getting something to eat first...\Shwaaat?\Y-you were?\Sylphyn, I swear...\U-um, maybe we COULD see the movie first. response:	Huh?
context: S-Sylphyn! You're already in line?\And I've bought popcorn for everyone!\We were talking about getting something to eat first...\Shwaaat?\Y-you were?\Sylphyn, I swear...\U-um, maybe we COULD see the movie first.\Huh? response:	There sure are a lot of movies out, huh? Which one should we see?
context: And I've bought popcorn for everyone!\We were talking about getting something to eat first...\Shwaaat?\Y-you were?\Sylphyn, I swear...\U-um, maybe we COULD see the movie first.\Huh?\There sure are a lot of movies out, huh? Which one should we see? response:	That hasn't come out yet.
context: We were talking about getting something to eat first...\Shwaaat?\Y-you were?\Sylphyn, I swear...\U-um, maybe we COULD see the movie first.\Huh?\There sure are a lot of movies out, huh? Which one should we see?\That hasn't come out yet. response:	It's so sweet and delicious!
context: Shwaaat?\Y-you were?\Sylphyn, I swear...\U-um, maybe we COULD see the movie first.\Huh?\There sure are a lot of movies out, huh? Which one should we see?\That hasn't come out yet.\It's so sweet and delicious! response:	I can't stop eating it!
context: Y-you were?\Sylphyn, I swear...\U-um, maybe we COULD see the movie first.\Huh?\There sure are a lot of movies out, huh? Which one should we see?\That hasn't come out yet.\It's so sweet and delicious!\I can't stop eating it! response:	They all look good... it's hard to choose one, isn't it?
context: Sylphyn, I swear...\U-um, maybe we COULD see the movie first.\Huh?\There sure are a lot of movies out, huh? Which one should we see?\That hasn't come out yet.\It's so sweet and delicious!\I can't stop eating it!\They all look good... it's hard to choose one, isn't it? response:	Master Detective Nacon seems pretty popular.
context: U-um, maybe we COULD see the movie first.\Huh?\There sure are a lot of movies out, huh? Which one should we see?\That hasn't come out yet.\It's so sweet and delicious!\I can't stop eating it!\They all look good... it's hard to choose one, isn't it?\Master Detective Nacon seems pretty popular. response:	Whoa! 4.5 stars!
context: Huh?\There sure are a lot of movies out, huh? Which one should we see?\That hasn't come out yet.\It's so sweet and delicious!\I can't stop eating it!\They all look good... it's hard to choose one, isn't it?\Master Detective Nacon seems pretty popular.\Whoa! 4.5 stars! response:	I used to watch Nacon when I was in elementary school.
context: There sure are a lot of movies out, huh? Which one should we see?\That hasn't come out yet.\It's so sweet and delicious!\I can't stop eating it!\They all look good... it's hard to choose one, isn't it?\Master Detective Nacon seems pretty popular.\Whoa! 4.5 stars!\I used to watch Nacon when I was in elementary school. response:	I would like to see Precuare!
context: That hasn't come out yet.\It's so sweet and delicious!\I can't stop eating it!\They all look good... it's hard to choose one, isn't it?\Master Detective Nacon seems pretty popular.\Whoa! 4.5 stars!\I used to watch Nacon when I was in elementary school.\I would like to see Precuare! response:	Wow! You already bought the promotional booklet!
context: It's so sweet and delicious!\I can't stop eating it!\They all look good... it's hard to choose one, isn't it?\Master Detective Nacon seems pretty popular.\Whoa! 4.5 stars!\I used to watch Nacon when I was in elementary school.\I would like to see Precuare!\Wow! You already bought the promotional booklet! response:	That caters to an even younger audience...
context: I can't stop eating it!\They all look good... it's hard to choose one, isn't it?\Master Detective Nacon seems pretty popular.\Whoa! 4.5 stars!\I used to watch Nacon when I was in elementary school.\I would like to see Precuare!\Wow! You already bought the promotional booklet!\That caters to an even younger audience... response:	Okay everyone, let's all raise our voices!
context: They all look good... it's hard to choose one, isn't it?\Master Detective Nacon seems pretty popular.\Whoa! 4.5 stars!\I used to watch Nacon when I was in elementary school.\I would like to see Precuare!\Wow! You already bought the promotional booklet!\That caters to an even younger audience...\Okay everyone, let's all raise our voices! response:	Precuare!
context: Master Detective Nacon seems pretty popular.\Whoa! 4.5 stars!\I used to watch Nacon when I was in elementary school.\I would like to see Precuare!\Wow! You already bought the promotional booklet!\That caters to an even younger audience...\Okay everyone, let's all raise our voices!\Precuare! response:	I think I'd be a little embarrassed...
context: Whoa! 4.5 stars!\I used to watch Nacon when I was in elementary school.\I would like to see Precuare!\Wow! You already bought the promotional booklet!\That caters to an even younger audience...\Okay everyone, let's all raise our voices!\Precuare!\I think I'd be a little embarrassed... response:	What? But I spent last night watching the old shows and practicing for this.
context: I used to watch Nacon when I was in elementary school.\I would like to see Precuare!\Wow! You already bought the promotional booklet!\That caters to an even younger audience...\Okay everyone, let's all raise our voices!\Precuare!\I think I'd be a little embarrassed...\What? But I spent last night watching the old shows and practicing for this. response:	So long as I can be with the Master... I'm totally fine with this.
context: I would like to see Precuare!\Wow! You already bought the promotional booklet!\That caters to an even younger audience...\Okay everyone, let's all raise our voices!\Precuare!\I think I'd be a little embarrassed...\What? But I spent last night watching the old shows and practicing for this.\So long as I can be with the Master... I'm totally fine with this. response:	Let's just go with what everyone wants to watch.
context: Wow! You already bought the promotional booklet!\That caters to an even younger audience...\Okay everyone, let's all raise our voices!\Precuare!\I think I'd be a little embarrassed...\What? But I spent last night watching the old shows and practicing for this.\So long as I can be with the Master... I'm totally fine with this.\Let's just go with what everyone wants to watch. response:	I will see Precuare with UMR later!
context: That caters to an even younger audience...\Okay everyone, let's all raise our voices!\Precuare!\I think I'd be a little embarrassed...\What? But I spent last night watching the old shows and practicing for this.\So long as I can be with the Master... I'm totally fine with this.\Let's just go with what everyone wants to watch.\I will see Precuare with UMR later! response:	Huh?
context: Okay everyone, let's all raise our voices!\Precuare!\I think I'd be a little embarrassed...\What? But I spent last night watching the old shows and practicing for this.\So long as I can be with the Master... I'm totally fine with this.\Let's just go with what everyone wants to watch.\I will see Precuare with UMR later!\Huh? response:	Is that a foreigner?
context: Precuare!\I think I'd be a little embarrassed...\What? But I spent last night watching the old shows and practicing for this.\So long as I can be with the Master... I'm totally fine with this.\Let's just go with what everyone wants to watch.\I will see Precuare with UMR later!\Huh?\Is that a foreigner? response:	This is comfy indeed!
context: I think I'd be a little embarrassed...\What? But I spent last night watching the old shows and practicing for this.\So long as I can be with the Master... I'm totally fine with this.\Let's just go with what everyone wants to watch.\I will see Precuare with UMR later!\Huh?\Is that a foreigner?\This is comfy indeed! response:	Huh? What happened to the popcorn?
context: What? But I spent last night watching the old shows and practicing for this.\So long as I can be with the Master... I'm totally fine with this.\Let's just go with what everyone wants to watch.\I will see Precuare with UMR later!\Huh?\Is that a foreigner?\This is comfy indeed!\Huh? What happened to the popcorn? response:	We were lucky to find such good seats.
context: So long as I can be with the Master... I'm totally fine with this.\Let's just go with what everyone wants to watch.\I will see Precuare with UMR later!\Huh?\Is that a foreigner?\This is comfy indeed!\Huh? What happened to the popcorn?\We were lucky to find such good seats. response:	I never thought the four of us would be hanging out and watching a movie...
context: Let's just go with what everyone wants to watch.\I will see Precuare with UMR later!\Huh?\Is that a foreigner?\This is comfy indeed!\Huh? What happened to the popcorn?\We were lucky to find such good seats.\I never thought the four of us would be hanging out and watching a movie... response:	Still, I'm glad we were all able to become friends.
context: I will see Precuare with UMR later!\Huh?\Is that a foreigner?\This is comfy indeed!\Huh? What happened to the popcorn?\We were lucky to find such good seats.\I never thought the four of us would be hanging out and watching a movie...\Still, I'm glad we were all able to become friends. response:	A-are you okay, Kirie?
context: Huh?\Is that a foreigner?\This is comfy indeed!\Huh? What happened to the popcorn?\We were lucky to find such good seats.\I never thought the four of us would be hanging out and watching a movie...\Still, I'm glad we were all able to become friends.\A-are you okay, Kirie? response:	I-I'm fine! I'm just a little scared of the dark. But I'll be all right. Please, enjoy the movie!
context: Is that a foreigner?\This is comfy indeed!\Huh? What happened to the popcorn?\We were lucky to find such good seats.\I never thought the four of us would be hanging out and watching a movie...\Still, I'm glad we were all able to become friends.\A-are you okay, Kirie?\I-I'm fine! I'm just a little scared of the dark. But I'll be all right. Please, enjoy the movie! response:	Sorry, but I will...
context: This is comfy indeed!\Huh? What happened to the popcorn?\We were lucky to find such good seats.\I never thought the four of us would be hanging out and watching a movie...\Still, I'm glad we were all able to become friends.\A-are you okay, Kirie?\I-I'm fine! I'm just a little scared of the dark. But I'll be all right. Please, enjoy the movie!\Sorry, but I will... response:	An incident this week! An incident next week!
context: Huh? What happened to the popcorn?\We were lucky to find such good seats.\I never thought the four of us would be hanging out and watching a movie...\Still, I'm glad we were all able to become friends.\A-are you okay, Kirie?\I-I'm fine! I'm just a little scared of the dark. But I'll be all right. Please, enjoy the movie!\Sorry, but I will...\An incident this week! An incident next week! response:	He goes to the movies and a bomb goes off!
context: We were lucky to find such good seats.\I never thought the four of us would be hanging out and watching a movie...\Still, I'm glad we were all able to become friends.\A-are you okay, Kirie?\I-I'm fine! I'm just a little scared of the dark. But I'll be all right. Please, enjoy the movie!\Sorry, but I will...\An incident this week! An incident next week!\He goes to the movies and a bomb goes off! response:	Today, too, his deductive powers will leap into action!
context: I never thought the four of us would be hanging out and watching a movie...\Still, I'm glad we were all able to become friends.\A-are you okay, Kirie?\I-I'm fine! I'm just a little scared of the dark. But I'll be all right. Please, enjoy the movie!\Sorry, but I will...\An incident this week! An incident next week!\He goes to the movies and a bomb goes off!\Today, too, his deductive powers will leap into action! response:	He is Master Detective Nacon! And catastrophe awaits him at the restaurant!
