context: All right! I'm off! response:	Okay! Hurry back!
context: But you mistakenly thought that you would become stronger.\And if you had gone in search of Naraku's barrier,\you may've been in grave danger...\And so, that's...\So what?\Well, there's no way you've gotten stronger...\T-Then the training?!\l just wanted to take a bath. response:	Huh?
context: And if you had gone in search of Naraku's barrier,\you may've been in grave danger...\And so, that's...\So what?\Well, there's no way you've gotten stronger...\T-Then the training?!\l just wanted to take a bath.\Huh? response:	Yes, yes! You jumped to conclusions yet again.
context: you may've been in grave danger...\And so, that's...\So what?\Well, there's no way you've gotten stronger...\T-Then the training?!\l just wanted to take a bath.\Huh?\Yes, yes! You jumped to conclusions yet again. response:	Yes. You see, I haven't bathed in a while...
context: And so, that's...\So what?\Well, there's no way you've gotten stronger...\T-Then the training?!\l just wanted to take a bath.\Huh?\Yes, yes! You jumped to conclusions yet again.\Yes. You see, I haven't bathed in a while... response:	Eek!
context: So what?\Well, there's no way you've gotten stronger...\T-Then the training?!\l just wanted to take a bath.\Huh?\Yes, yes! You jumped to conclusions yet again.\Yes. You see, I haven't bathed in a while...\Eek! response:	What?!
context: Well, there's no way you've gotten stronger...\T-Then the training?!\l just wanted to take a bath.\Huh?\Yes, yes! You jumped to conclusions yet again.\Yes. You see, I haven't bathed in a while...\Eek!\What?! response:	There's no technique to break Naraku's barrier?
context: T-Then the training?!\l just wanted to take a bath.\Huh?\Yes, yes! You jumped to conclusions yet again.\Yes. You see, I haven't bathed in a while...\Eek!\What?!\There's no technique to break Naraku's barrier? response:	Well, it's not as though there isn't...
context: l just wanted to take a bath.\Huh?\Yes, yes! You jumped to conclusions yet again.\Yes. You see, I haven't bathed in a while...\Eek!\What?!\There's no technique to break Naraku's barrier?\Well, it's not as though there isn't... response:	And it's not as though there is...
context: Huh?\Yes, yes! You jumped to conclusions yet again.\Yes. You see, I haven't bathed in a while...\Eek!\What?!\There's no technique to break Naraku's barrier?\Well, it's not as though there isn't...\And it's not as though there is... response:	He's so useless!
context: Yes, yes! You jumped to conclusions yet again.\Yes. You see, I haven't bathed in a while...\Eek!\What?!\There's no technique to break Naraku's barrier?\Well, it's not as though there isn't...\And it's not as though there is...\He's so useless! response:	I was just going to tell him! He's so rash!
context: Yes. You see, I haven't bathed in a while...\Eek!\What?!\There's no technique to break Naraku's barrier?\Well, it's not as though there isn't...\And it's not as though there is...\He's so useless!\I was just going to tell him! He's so rash! response:	What do you mean?
context: Eek!\What?!\There's no technique to break Naraku's barrier?\Well, it's not as though there isn't...\And it's not as though there is...\He's so useless!\I was just going to tell him! He's so rash!\What do you mean? response:	Well, he had labored hard and persevered.
context: What?!\There's no technique to break Naraku's barrier?\Well, it's not as though there isn't...\And it's not as though there is...\He's so useless!\I was just going to tell him! He's so rash!\What do you mean?\Well, he had labored hard and persevered. response:	I thought I'd teach him the method
context: There's no technique to break Naraku's barrier?\Well, it's not as though there isn't...\And it's not as though there is...\He's so useless!\I was just going to tell him! He's so rash!\What do you mean?\Well, he had labored hard and persevered.\I thought I'd teach him the method response:	to become stronger to enable him to break the barrier.
context: Well, it's not as though there isn't...\And it's not as though there is...\He's so useless!\I was just going to tell him! He's so rash!\What do you mean?\Well, he had labored hard and persevered.\I thought I'd teach him the method\to become stronger to enable him to break the barrier. response:	Is it THAT method?
context: And it's not as though there is...\He's so useless!\I was just going to tell him! He's so rash!\What do you mean?\Well, he had labored hard and persevered.\I thought I'd teach him the method\to become stronger to enable him to break the barrier.\Is it THAT method? response:	Uh-huh. Can you tell Inuyasha about it?
context: He's so useless!\I was just going to tell him! He's so rash!\What do you mean?\Well, he had labored hard and persevered.\I thought I'd teach him the method\to become stronger to enable him to break the barrier.\Is it THAT method?\Uh-huh. Can you tell Inuyasha about it? response:	All right.
context: I was just going to tell him! He's so rash!\What do you mean?\Well, he had labored hard and persevered.\I thought I'd teach him the method\to become stronger to enable him to break the barrier.\Is it THAT method?\Uh-huh. Can you tell Inuyasha about it?\All right. response:	Still...
context: What do you mean?\Well, he had labored hard and persevered.\I thought I'd teach him the method\to become stronger to enable him to break the barrier.\Is it THAT method?\Uh-huh. Can you tell Inuyasha about it?\All right.\Still... response:	Be thankful you ended up with just one lump on your head.
context: Well, he had labored hard and persevered.\I thought I'd teach him the method\to become stronger to enable him to break the barrier.\Is it THAT method?\Uh-huh. Can you tell Inuyasha about it?\All right.\Still...\Be thankful you ended up with just one lump on your head. response:	I was away a whole night without telling them.
context: I thought I'd teach him the method\to become stronger to enable him to break the barrier.\Is it THAT method?\Uh-huh. Can you tell Inuyasha about it?\All right.\Still...\Be thankful you ended up with just one lump on your head.\I was away a whole night without telling them. response:	I guess everyone's worried.
context: to become stronger to enable him to break the barrier.\Is it THAT method?\Uh-huh. Can you tell Inuyasha about it?\All right.\Still...\Be thankful you ended up with just one lump on your head.\I was away a whole night without telling them.\I guess everyone's worried. response:	Hey! I'm back. Sorry I worried you.
context: Is it THAT method?\Uh-huh. Can you tell Inuyasha about it?\All right.\Still...\Be thankful you ended up with just one lump on your head.\I was away a whole night without telling them.\I guess everyone's worried.\Hey! I'm back. Sorry I worried you. response:	Ninja food is always so delicious!
context: Uh-huh. Can you tell Inuyasha about it?\All right.\Still...\Be thankful you ended up with just one lump on your head.\I was away a whole night without telling them.\I guess everyone's worried.\Hey! I'm back. Sorry I worried you.\Ninja food is always so delicious! response:	This flavor, we just can't duplicate it.
context: All right.\Still...\Be thankful you ended up with just one lump on your head.\I was away a whole night without telling them.\I guess everyone's worried.\Hey! I'm back. Sorry I worried you.\Ninja food is always so delicious!\This flavor, we just can't duplicate it. response:	Where's mine?!
context: Still...\Be thankful you ended up with just one lump on your head.\I was away a whole night without telling them.\I guess everyone's worried.\Hey! I'm back. Sorry I worried you.\Ninja food is always so delicious!\This flavor, we just can't duplicate it.\Where's mine?! response:	You weren't here, so I ate them.
context: Be thankful you ended up with just one lump on your head.\I was away a whole night without telling them.\I guess everyone's worried.\Hey! I'm back. Sorry I worried you.\Ninja food is always so delicious!\This flavor, we just can't duplicate it.\Where's mine?!\You weren't here, so I ate them. response:	What?! That's mine!
context: I was away a whole night without telling them.\I guess everyone's worried.\Hey! I'm back. Sorry I worried you.\Ninja food is always so delicious!\This flavor, we just can't duplicate it.\Where's mine?!\You weren't here, so I ate them.\What?! That's mine! response:	Inuyasha!
context: I guess everyone's worried.\Hey! I'm back. Sorry I worried you.\Ninja food is always so delicious!\This flavor, we just can't duplicate it.\Where's mine?!\You weren't here, so I ate them.\What?! That's mine!\Inuyasha! response:	Sit!
context: Hey! I'm back. Sorry I worried you.\Ninja food is always so delicious!\This flavor, we just can't duplicate it.\Where's mine?!\You weren't here, so I ate them.\What?! That's mine!\Inuyasha!\Sit! response:	Cripes! I brought you special treats.
context: Ninja food is always so delicious!\This flavor, we just can't duplicate it.\Where's mine?!\You weren't here, so I ate them.\What?! That's mine!\Inuyasha!\Sit!\Cripes! I brought you special treats. response:	It's your fault for not being here!
context: This flavor, we just can't duplicate it.\Where's mine?!\You weren't here, so I ate them.\What?! That's mine!\Inuyasha!\Sit!\Cripes! I brought you special treats.\It's your fault for not being here! response:	Why, you! Can't you be more concerned?!
context: Where's mine?!\You weren't here, so I ate them.\What?! That's mine!\Inuyasha!\Sit!\Cripes! I brought you special treats.\It's your fault for not being here!\Why, you! Can't you be more concerned?! response:	You're so hopeless. I'll share just a little.
context: You weren't here, so I ate them.\What?! That's mine!\Inuyasha!\Sit!\Cripes! I brought you special treats.\It's your fault for not being here!\Why, you! Can't you be more concerned?!\You're so hopeless. I'll share just a little. response:	Shaddup!
context: What?! That's mine!\Inuyasha!\Sit!\Cripes! I brought you special treats.\It's your fault for not being here!\Why, you! Can't you be more concerned?!\You're so hopeless. I'll share just a little.\Shaddup! response:	It controls the seas and hunts down humans and demons.
context: Inuyasha!\Sit!\Cripes! I brought you special treats.\It's your fault for not being here!\Why, you! Can't you be more concerned?!\You're so hopeless. I'll share just a little.\Shaddup!\It controls the seas and hunts down humans and demons. response:	That's the Demon Bat?
context: Sit!\Cripes! I brought you special treats.\It's your fault for not being here!\Why, you! Can't you be more concerned?!\You're so hopeless. I'll share just a little.\Shaddup!\It controls the seas and hunts down humans and demons.\That's the Demon Bat? response:	Yes... and if he destroys it,
context: Cripes! I brought you special treats.\It's your fault for not being here!\Why, you! Can't you be more concerned?!\You're so hopeless. I'll share just a little.\Shaddup!\It controls the seas and hunts down humans and demons.\That's the Demon Bat?\Yes... and if he destroys it, response:	Tetsusaiga will gain the power to break the barrier.
context: It's your fault for not being here!\Why, you! Can't you be more concerned?!\You're so hopeless. I'll share just a little.\Shaddup!\It controls the seas and hunts down humans and demons.\That's the Demon Bat?\Yes... and if he destroys it,\Tetsusaiga will gain the power to break the barrier. response:	But there's a problem.
context: Why, you! Can't you be more concerned?!\You're so hopeless. I'll share just a little.\Shaddup!\It controls the seas and hunts down humans and demons.\That's the Demon Bat?\Yes... and if he destroys it,\Tetsusaiga will gain the power to break the barrier.\But there's a problem. response:	A half-demon, one just like Master Inuyasha, protects the barrier.
context: You're so hopeless. I'll share just a little.\Shaddup!\It controls the seas and hunts down humans and demons.\That's the Demon Bat?\Yes... and if he destroys it,\Tetsusaiga will gain the power to break the barrier.\But there's a problem.\A half-demon, one just like Master Inuyasha, protects the barrier. response:	But she's a girl... so I don't know if Inuyasha can willingly kill her.
context: Shaddup!\It controls the seas and hunts down humans and demons.\That's the Demon Bat?\Yes... and if he destroys it,\Tetsusaiga will gain the power to break the barrier.\But there's a problem.\A half-demon, one just like Master Inuyasha, protects the barrier.\But she's a girl... so I don't know if Inuyasha can willingly kill her. response:	Next on Inuyasha: Shiori's Family and Inuyasha's Feelings
context: It controls the seas and hunts down humans and demons.\That's the Demon Bat?\Yes... and if he destroys it,\Tetsusaiga will gain the power to break the barrier.\But there's a problem.\A half-demon, one just like Master Inuyasha, protects the barrier.\But she's a girl... so I don't know if Inuyasha can willingly kill her.\Next on Inuyasha: Shiori's Family and Inuyasha's Feelings response:	Aah, a bath feels nice after all...
