context: Humans! response:	If you wish not for annihilation, take heed!
context: I'm only here today to promote my new song.\My apologies.\In that case, let's discuss your song.\Let me just say this.\To assuage the public's fears and worries,\heroes need to be both tough and strong\so that they can defeat evil with speed, grace, and brilliance.\I find it regrettable that there were heroes response:	who were completely beaten by evil this time.
context: My apologies.\In that case, let's discuss your song.\Let me just say this.\To assuage the public's fears and worries,\heroes need to be both tough and strong\so that they can defeat evil with speed, grace, and brilliance.\I find it regrettable that there were heroes\who were completely beaten by evil this time. response:	So that no hero ever dies in vain,
context: In that case, let's discuss your song.\Let me just say this.\To assuage the public's fears and worries,\heroes need to be both tough and strong\so that they can defeat evil with speed, grace, and brilliance.\I find it regrettable that there were heroes\who were completely beaten by evil this time.\So that no hero ever dies in vain, response:	I hope each will continue to train his hardest.
context: Let me just say this.\To assuage the public's fears and worries,\heroes need to be both tough and strong\so that they can defeat evil with speed, grace, and brilliance.\I find it regrettable that there were heroes\who were completely beaten by evil this time.\So that no hero ever dies in vain,\I hope each will continue to train his hardest. response:	My attacks have no effect.
context: To assuage the public's fears and worries,\heroes need to be both tough and strong\so that they can defeat evil with speed, grace, and brilliance.\I find it regrettable that there were heroes\who were completely beaten by evil this time.\So that no hero ever dies in vain,\I hope each will continue to train his hardest.\My attacks have no effect. response:	Could I be lacking in power?
context: heroes need to be both tough and strong\so that they can defeat evil with speed, grace, and brilliance.\I find it regrettable that there were heroes\who were completely beaten by evil this time.\So that no hero ever dies in vain,\I hope each will continue to train his hardest.\My attacks have no effect.\Could I be lacking in power? response:	I can't kill him unarmed.
context: so that they can defeat evil with speed, grace, and brilliance.\I find it regrettable that there were heroes\who were completely beaten by evil this time.\So that no hero ever dies in vain,\I hope each will continue to train his hardest.\My attacks have no effect.\Could I be lacking in power?\I can't kill him unarmed. response:	I need to retreat for now and find a weapon.
context: I find it regrettable that there were heroes\who were completely beaten by evil this time.\So that no hero ever dies in vain,\I hope each will continue to train his hardest.\My attacks have no effect.\Could I be lacking in power?\I can't kill him unarmed.\I need to retreat for now and find a weapon. response:	Caught you!
context: who were completely beaten by evil this time.\So that no hero ever dies in vain,\I hope each will continue to train his hardest.\My attacks have no effect.\Could I be lacking in power?\I can't kill him unarmed.\I need to retreat for now and find a weapon.\Caught you! response:	Crack crack, snap snap.
context: So that no hero ever dies in vain,\I hope each will continue to train his hardest.\My attacks have no effect.\Could I be lacking in power?\I can't kill him unarmed.\I need to retreat for now and find a weapon.\Caught you!\Crack crack, snap snap. response:	Huh?
context: I hope each will continue to train his hardest.\My attacks have no effect.\Could I be lacking in power?\I can't kill him unarmed.\I need to retreat for now and find a weapon.\Caught you!\Crack crack, snap snap.\Huh? response:	Wait there.
context: My attacks have no effect.\Could I be lacking in power?\I can't kill him unarmed.\I need to retreat for now and find a weapon.\Caught you!\Crack crack, snap snap.\Huh?\Wait there. response:	The next time we meet will be your demise.
context: Could I be lacking in power?\I can't kill him unarmed.\I need to retreat for now and find a weapon.\Caught you!\Crack crack, snap snap.\Huh?\Wait there.\The next time we meet will be your demise. response:	No matter.
context: I can't kill him unarmed.\I need to retreat for now and find a weapon.\Caught you!\Crack crack, snap snap.\Huh?\Wait there.\The next time we meet will be your demise.\No matter. response:	The small fry can be let go.
context: I need to retreat for now and find a weapon.\Caught you!\Crack crack, snap snap.\Huh?\Wait there.\The next time we meet will be your demise.\No matter.\The small fry can be let go. response:	Who are you?
context: Caught you!\Crack crack, snap snap.\Huh?\Wait there.\The next time we meet will be your demise.\No matter.\The small fry can be let go.\Who are you? response:	What are you doing here?
context: Crack crack, snap snap.\Huh?\Wait there.\The next time we meet will be your demise.\No matter.\The small fry can be let go.\Who are you?\What are you doing here? response:	There were orders to evacuate.
context: Huh?\Wait there.\The next time we meet will be your demise.\No matter.\The small fry can be let go.\Who are you?\What are you doing here?\There were orders to evacuate. response:	A hero?
context: Wait there.\The next time we meet will be your demise.\No matter.\The small fry can be let go.\Who are you?\What are you doing here?\There were orders to evacuate.\A hero? response:	If you're after the Deep Sea King, better forget it.
context: The next time we meet will be your demise.\No matter.\The small fry can be let go.\Who are you?\What are you doing here?\There were orders to evacuate.\A hero?\If you're after the Deep Sea King, better forget it. response:	Deep Sea King?
context: No matter.\The small fry can be let go.\Who are you?\What are you doing here?\There were orders to evacuate.\A hero?\If you're after the Deep Sea King, better forget it.\Deep Sea King? response:	You heroes could all jump him at once and still lose.
context: The small fry can be let go.\Who are you?\What are you doing here?\There were orders to evacuate.\A hero?\If you're after the Deep Sea King, better forget it.\Deep Sea King?\You heroes could all jump him at once and still lose. response:	You're fine at playing make-believe,
context: Who are you?\What are you doing here?\There were orders to evacuate.\A hero?\If you're after the Deep Sea King, better forget it.\Deep Sea King?\You heroes could all jump him at once and still lose.\You're fine at playing make-believe, response:	but against true power you don't stand a chance.
context: What are you doing here?\There were orders to evacuate.\A hero?\If you're after the Deep Sea King, better forget it.\Deep Sea King?\You heroes could all jump him at once and still lose.\You're fine at playing make-believe,\but against true power you don't stand a chance. response:	You can't protect a thing.
context: There were orders to evacuate.\A hero?\If you're after the Deep Sea King, better forget it.\Deep Sea King?\You heroes could all jump him at once and still lose.\You're fine at playing make-believe,\but against true power you don't stand a chance.\You can't protect a thing. response:	Who was that pervert?
context: A hero?\If you're after the Deep Sea King, better forget it.\Deep Sea King?\You heroes could all jump him at once and still lose.\You're fine at playing make-believe,\but against true power you don't stand a chance.\You can't protect a thing.\Who was that pervert? response:	The Seafolk?!
context: If you're after the Deep Sea King, better forget it.\Deep Sea King?\You heroes could all jump him at once and still lose.\You're fine at playing make-believe,\but against true power you don't stand a chance.\You can't protect a thing.\Who was that pervert?\The Seafolk?! response:	I sense numerous life signals nearby.
context: Deep Sea King?\You heroes could all jump him at once and still lose.\You're fine at playing make-believe,\but against true power you don't stand a chance.\You can't protect a thing.\Who was that pervert?\The Seafolk?!\I sense numerous life signals nearby. response:	With so many
context: You heroes could all jump him at once and still lose.\You're fine at playing make-believe,\but against true power you don't stand a chance.\You can't protect a thing.\Who was that pervert?\The Seafolk?!\I sense numerous life signals nearby.\With so many response:	The evacuation shelter!
context: You're fine at playing make-believe,\but against true power you don't stand a chance.\You can't protect a thing.\Who was that pervert?\The Seafolk?!\I sense numerous life signals nearby.\With so many\The evacuation shelter! response:	Daddy, are the scary monsters still outside?
context: but against true power you don't stand a chance.\You can't protect a thing.\Who was that pervert?\The Seafolk?!\I sense numerous life signals nearby.\With so many\The evacuation shelter!\Daddy, are the scary monsters still outside? response:	Don't worry. As long as we're in this shelter, we're safe.
context: You can't protect a thing.\Who was that pervert?\The Seafolk?!\I sense numerous life signals nearby.\With so many\The evacuation shelter!\Daddy, are the scary monsters still outside?\Don't worry. As long as we're in this shelter, we're safe. response:	Besidesif it comes down to it,
context: Who was that pervert?\The Seafolk?!\I sense numerous life signals nearby.\With so many\The evacuation shelter!\Daddy, are the scary monsters still outside?\Don't worry. As long as we're in this shelter, we're safe.\Besidesif it comes down to it, response:	I'm sure all of us together can beat a monster or two.
context: The Seafolk?!\I sense numerous life signals nearby.\With so many\The evacuation shelter!\Daddy, are the scary monsters still outside?\Don't worry. As long as we're in this shelter, we're safe.\Besidesif it comes down to it,\I'm sure all of us together can beat a monster or two. response:	I sense them
context: I sense numerous life signals nearby.\With so many\The evacuation shelter!\Daddy, are the scary monsters still outside?\Don't worry. As long as we're in this shelter, we're safe.\Besidesif it comes down to it,\I'm sure all of us together can beat a monster or two.\I sense them response:	Yes, so many!
context: With so many\The evacuation shelter!\Daddy, are the scary monsters still outside?\Don't worry. As long as we're in this shelter, we're safe.\Besidesif it comes down to it,\I'm sure all of us together can beat a monster or two.\I sense them\Yes, so many! response:	It's coming from...
context: The evacuation shelter!\Daddy, are the scary monsters still outside?\Don't worry. As long as we're in this shelter, we're safe.\Besidesif it comes down to it,\I'm sure all of us together can beat a monster or two.\I sense them\Yes, so many!\It's coming from... response:	over there!
context: Daddy, are the scary monsters still outside?\Don't worry. As long as we're in this shelter, we're safe.\Besidesif it comes down to it,\I'm sure all of us together can beat a monster or two.\I sense them\Yes, so many!\It's coming from...\over there! response:	Greetings
context: Don't worry. As long as we're in this shelter, we're safe.\Besidesif it comes down to it,\I'm sure all of us together can beat a monster or two.\I sense them\Yes, so many!\It's coming from...\over there!\Greetings response:	and goodbye.
context: Besidesif it comes down to it,\I'm sure all of us together can beat a monster or two.\I sense them\Yes, so many!\It's coming from...\over there!\Greetings\and goodbye. response:	Please wait!
context: I'm sure all of us together can beat a monster or two.\I sense them\Yes, so many!\It's coming from...\over there!\Greetings\and goodbye.\Please wait! response:	We surrender!
context: I sense them\Yes, so many!\It's coming from...\over there!\Greetings\and goodbye.\Please wait!\We surrender! response:	We will comply with any demands you have.
context: Yes, so many!\It's coming from...\over there!\Greetings\and goodbye.\Please wait!\We surrender!\We will comply with any demands you have. response:	But please do not attack. I beg you.
context: It's coming from...\over there!\Greetings\and goodbye.\Please wait!\We surrender!\We will comply with any demands you have.\But please do not attack. I beg you. response:	I'm only Class C, so I evacuated. Now I'm trapped.
context: over there!\Greetings\and goodbye.\Please wait!\We surrender!\We will comply with any demands you have.\But please do not attack. I beg you.\I'm only Class C, so I evacuated. Now I'm trapped. response:	I'm no hero. I'm a failure
context: Greetings\and goodbye.\Please wait!\We surrender!\We will comply with any demands you have.\But please do not attack. I beg you.\I'm only Class C, so I evacuated. Now I'm trapped.\I'm no hero. I'm a failure response:	Surrender?
context: and goodbye.\Please wait!\We surrender!\We will comply with any demands you have.\But please do not attack. I beg you.\I'm only Class C, so I evacuated. Now I'm trapped.\I'm no hero. I'm a failure\Surrender? response:	I've come to kill you. Your deaths are inevitable!
context: Please wait!\We surrender!\We will comply with any demands you have.\But please do not attack. I beg you.\I'm only Class C, so I evacuated. Now I'm trapped.\I'm no hero. I'm a failure\Surrender?\I've come to kill you. Your deaths are inevitable! response:	And as for my demands
context: We surrender!\We will comply with any demands you have.\But please do not attack. I beg you.\I'm only Class C, so I evacuated. Now I'm trapped.\I'm no hero. I'm a failure\Surrender?\I've come to kill you. Your deaths are inevitable!\And as for my demands response:	How about I demand you scream nicely as I slaughter you?
context: We will comply with any demands you have.\But please do not attack. I beg you.\I'm only Class C, so I evacuated. Now I'm trapped.\I'm no hero. I'm a failure\Surrender?\I've come to kill you. Your deaths are inevitable!\And as for my demands\How about I demand you scream nicely as I slaughter you? response:	I can't win
context: But please do not attack. I beg you.\I'm only Class C, so I evacuated. Now I'm trapped.\I'm no hero. I'm a failure\Surrender?\I've come to kill you. Your deaths are inevitable!\And as for my demands\How about I demand you scream nicely as I slaughter you?\I can't win response:	I know it won't amount to much,
context: I'm only Class C, so I evacuated. Now I'm trapped.\I'm no hero. I'm a failure\Surrender?\I've come to kill you. Your deaths are inevitable!\And as for my demands\How about I demand you scream nicely as I slaughter you?\I can't win\I know it won't amount to much, response:	but all I can do is buy time for the Class S heroes to get here.
context: I'm no hero. I'm a failure\Surrender?\I've come to kill you. Your deaths are inevitable!\And as for my demands\How about I demand you scream nicely as I slaughter you?\I can't win\I know it won't amount to much,\but all I can do is buy time for the Class S heroes to get here. response:	But look at this monster
context: Surrender?\I've come to kill you. Your deaths are inevitable!\And as for my demands\How about I demand you scream nicely as I slaughter you?\I can't win\I know it won't amount to much,\but all I can do is buy time for the Class S heroes to get here.\But look at this monster response:	Who am I kidding?
context: I've come to kill you. Your deaths are inevitable!\And as for my demands\How about I demand you scream nicely as I slaughter you?\I can't win\I know it won't amount to much,\but all I can do is buy time for the Class S heroes to get here.\But look at this monster\Who am I kidding? response:	I can't buy time just by talking to him.
context: And as for my demands\How about I demand you scream nicely as I slaughter you?\I can't win\I know it won't amount to much,\but all I can do is buy time for the Class S heroes to get here.\But look at this monster\Who am I kidding?\I can't buy time just by talking to him. response:	I pissed my pants
context: How about I demand you scream nicely as I slaughter you?\I can't win\I know it won't amount to much,\but all I can do is buy time for the Class S heroes to get here.\But look at this monster\Who am I kidding?\I can't buy time just by talking to him.\I pissed my pants response:	I'm pathetic.
context: I can't win\I know it won't amount to much,\but all I can do is buy time for the Class S heroes to get here.\But look at this monster\Who am I kidding?\I can't buy time just by talking to him.\I pissed my pants\I'm pathetic. response:	I'll fight with you!
context: I know it won't amount to much,\but all I can do is buy time for the Class S heroes to get here.\But look at this monster\Who am I kidding?\I can't buy time just by talking to him.\I pissed my pants\I'm pathetic.\I'll fight with you! response:	Heroes?
context: but all I can do is buy time for the Class S heroes to get here.\But look at this monster\Who am I kidding?\I can't buy time just by talking to him.\I pissed my pants\I'm pathetic.\I'll fight with you!\Heroes? response:	There are others in here too?
context: But look at this monster\Who am I kidding?\I can't buy time just by talking to him.\I pissed my pants\I'm pathetic.\I'll fight with you!\Heroes?\There are others in here too? response:	I may be the lowest ranking at 38,
context: Who am I kidding?\I can't buy time just by talking to him.\I pissed my pants\I'm pathetic.\I'll fight with you!\Heroes?\There are others in here too?\I may be the lowest ranking at 38, response:	but I'm still a Class A hero.
context: I can't buy time just by talking to him.\I pissed my pants\I'm pathetic.\I'll fight with you!\Heroes?\There are others in here too?\I may be the lowest ranking at 38,\but I'm still a Class A hero. response:	We can do this.
context: I pissed my pants\I'm pathetic.\I'll fight with you!\Heroes?\There are others in here too?\I may be the lowest ranking at 38,\but I'm still a Class A hero.\We can do this. response:	I-I'm a hero too!
context: I'm pathetic.\I'll fight with you!\Heroes?\There are others in here too?\I may be the lowest ranking at 38,\but I'm still a Class A hero.\We can do this.\I-I'm a hero too! response:	Allback-man is here!
context: I'll fight with you!\Heroes?\There are others in here too?\I may be the lowest ranking at 38,\but I'm still a Class A hero.\We can do this.\I-I'm a hero too!\Allback-man is here! response:	Heroes?
context: Heroes?\There are others in here too?\I may be the lowest ranking at 38,\but I'm still a Class A hero.\We can do this.\I-I'm a hero too!\Allback-man is here!\Heroes? response:	The heroes are here?
context: There are others in here too?\I may be the lowest ranking at 38,\but I'm still a Class A hero.\We can do this.\I-I'm a hero too!\Allback-man is here!\Heroes?\The heroes are here? response:	Heroes!
context: I may be the lowest ranking at 38,\but I'm still a Class A hero.\We can do this.\I-I'm a hero too!\Allback-man is here!\Heroes?\The heroes are here?\Heroes! response:	They'll save us!
context: but I'm still a Class A hero.\We can do this.\I-I'm a hero too!\Allback-man is here!\Heroes?\The heroes are here?\Heroes!\They'll save us! response:	I feel better with a Class A around.
context: We can do this.\I-I'm a hero too!\Allback-man is here!\Heroes?\The heroes are here?\Heroes!\They'll save us!\I feel better with a Class A around. response:	Yeah
context: I-I'm a hero too!\Allback-man is here!\Heroes?\The heroes are here?\Heroes!\They'll save us!\I feel better with a Class A around.\Yeah response:	Two Class C's, one Class B and one Class A
context: Allback-man is here!\Heroes?\The heroes are here?\Heroes!\They'll save us!\I feel better with a Class A around.\Yeah\Two Class C's, one Class B and one Class A response:	We can do it!
context: Heroes?\The heroes are here?\Heroes!\They'll save us!\I feel better with a Class A around.\Yeah\Two Class C's, one Class B and one Class A\We can do it! response:	We can win!
context: The heroes are here?\Heroes!\They'll save us!\I feel better with a Class A around.\Yeah\Two Class C's, one Class B and one Class A\We can do it!\We can win! response:	You sure this is the way?
context: Heroes!\They'll save us!\I feel better with a Class A around.\Yeah\Two Class C's, one Class B and one Class A\We can do it!\We can win!\You sure this is the way? response:	Yes, since residents are fleeing from this direction,
context: They'll save us!\I feel better with a Class A around.\Yeah\Two Class C's, one Class B and one Class A\We can do it!\We can win!\You sure this is the way?\Yes, since residents are fleeing from this direction, response:	we'll find monsters further up.
context: I feel better with a Class A around.\Yeah\Two Class C's, one Class B and one Class A\We can do it!\We can win!\You sure this is the way?\Yes, since residents are fleeing from this direction,\we'll find monsters further up. response:	Did you see a butt naked guy run past?
context: Yeah\Two Class C's, one Class B and one Class A\We can do it!\We can win!\You sure this is the way?\Yes, since residents are fleeing from this direction,\we'll find monsters further up.\Did you see a butt naked guy run past? response:	What?
context: Two Class C's, one Class B and one Class A\We can do it!\We can win!\You sure this is the way?\Yes, since residents are fleeing from this direction,\we'll find monsters further up.\Did you see a butt naked guy run past?\What? response:	Maybe he was taking a bath and was left behind.
context: We can do it!\We can win!\You sure this is the way?\Yes, since residents are fleeing from this direction,\we'll find monsters further up.\Did you see a butt naked guy run past?\What?\Maybe he was taking a bath and was left behind. response:	I'll check it out.
context: We can win!\You sure this is the way?\Yes, since residents are fleeing from this direction,\we'll find monsters further up.\Did you see a butt naked guy run past?\What?\Maybe he was taking a bath and was left behind.\I'll check it out. response:	Go on without me.
context: You sure this is the way?\Yes, since residents are fleeing from this direction,\we'll find monsters further up.\Did you see a butt naked guy run past?\What?\Maybe he was taking a bath and was left behind.\I'll check it out.\Go on without me. response:	Got it!
context: Yes, since residents are fleeing from this direction,\we'll find monsters further up.\Did you see a butt naked guy run past?\What?\Maybe he was taking a bath and was left behind.\I'll check it out.\Go on without me.\Got it! response:	Mumen Rider here.
context: we'll find monsters further up.\Did you see a butt naked guy run past?\What?\Maybe he was taking a bath and was left behind.\I'll check it out.\Go on without me.\Got it!\Mumen Rider here. response:	Yes, we're on our way.
context: Did you see a butt naked guy run past?\What?\Maybe he was taking a bath and was left behind.\I'll check it out.\Go on without me.\Got it!\Mumen Rider here.\Yes, we're on our way. response:	What! The shelter?
context: What?\Maybe he was taking a bath and was left behind.\I'll check it out.\Go on without me.\Got it!\Mumen Rider here.\Yes, we're on our way.\What! The shelter? response:	It was the other way!
context: Maybe he was taking a bath and was left behind.\I'll check it out.\Go on without me.\Got it!\Mumen Rider here.\Yes, we're on our way.\What! The shelter?\It was the other way! response:	All right. When I give the signal, charge him.
context: I'll check it out.\Go on without me.\Got it!\Mumen Rider here.\Yes, we're on our way.\What! The shelter?\It was the other way!\All right. When I give the signal, charge him. response:	One
context: Go on without me.\Got it!\Mumen Rider here.\Yes, we're on our way.\What! The shelter?\It was the other way!\All right. When I give the signal, charge him.\One response:	Two
context: Got it!\Mumen Rider here.\Yes, we're on our way.\What! The shelter?\It was the other way!\All right. When I give the signal, charge him.\One\Two response:	That's weird. I know I saw him
context: Mumen Rider here.\Yes, we're on our way.\What! The shelter?\It was the other way!\All right. When I give the signal, charge him.\One\Two\That's weird. I know I saw him response:	Why so quiet all of a sudden?
context: Yes, we're on our way.\What! The shelter?\It was the other way!\All right. When I give the signal, charge him.\One\Two\That's weird. I know I saw him\Why so quiet all of a sudden? response:	Are you one of the Seafolk?
context: What! The shelter?\It was the other way!\All right. When I give the signal, charge him.\One\Two\That's weird. I know I saw him\Why so quiet all of a sudden?\Are you one of the Seafolk? response:	Mumen Rider went in?
context: It was the other way!\All right. When I give the signal, charge him.\One\Two\That's weird. I know I saw him\Why so quiet all of a sudden?\Are you one of the Seafolk?\Mumen Rider went in? response:	Yes. I couldn't stop
context: All right. When I give the signal, charge him.\One\Two\That's weird. I know I saw him\Why so quiet all of a sudden?\Are you one of the Seafolk?\Mumen Rider went in?\Yes. I couldn't stop response:	Mumen Rider?!
context: One\Two\That's weird. I know I saw him\Why so quiet all of a sudden?\Are you one of the Seafolk?\Mumen Rider went in?\Yes. I couldn't stop\Mumen Rider?! response:	What's your location?
context: Two\That's weird. I know I saw him\Why so quiet all of a sudden?\Are you one of the Seafolk?\Mumen Rider went in?\Yes. I couldn't stop\Mumen Rider?!\What's your location? response:	This is beyond you.
context: That's weird. I know I saw him\Why so quiet all of a sudden?\Are you one of the Seafolk?\Mumen Rider went in?\Yes. I couldn't stop\Mumen Rider?!\What's your location?\This is beyond you. response:	The monster even took out a Class S hero!
context: Why so quiet all of a sudden?\Are you one of the Seafolk?\Mumen Rider went in?\Yes. I couldn't stop\Mumen Rider?!\What's your location?\This is beyond you.\The monster even took out a Class S hero! response:	We need to assemble a subjugation squad.
context: Are you one of the Seafolk?\Mumen Rider went in?\Yes. I couldn't stop\Mumen Rider?!\What's your location?\This is beyond you.\The monster even took out a Class S hero!\We need to assemble a subjugation squad. response:	A Class S hero was defeated?
context: Mumen Rider went in?\Yes. I couldn't stop\Mumen Rider?!\What's your location?\This is beyond you.\The monster even took out a Class S hero!\We need to assemble a subjugation squad.\A Class S hero was defeated? response:	Who is this?
context: Yes. I couldn't stop\Mumen Rider?!\What's your location?\This is beyond you.\The monster even took out a Class S hero!\We need to assemble a subjugation squad.\A Class S hero was defeated?\Who is this? response:	Where's Mumen Rider?
context: Mumen Rider?!\What's your location?\This is beyond you.\The monster even took out a Class S hero!\We need to assemble a subjugation squad.\A Class S hero was defeated?\Who is this?\Where's Mumen Rider? response:	Stand-up Peddling Mode!
context: What's your location?\This is beyond you.\The monster even took out a Class S hero!\We need to assemble a subjugation squad.\A Class S hero was defeated?\Who is this?\Where's Mumen Rider?\Stand-up Peddling Mode! response:	Roar, Justice!
context: This is beyond you.\The monster even took out a Class S hero!\We need to assemble a subjugation squad.\A Class S hero was defeated?\Who is this?\Where's Mumen Rider?\Stand-up Peddling Mode!\Roar, Justice! response:	Is this the Hero Association?
context: The monster even took out a Class S hero!\We need to assemble a subjugation squad.\A Class S hero was defeated?\Who is this?\Where's Mumen Rider?\Stand-up Peddling Mode!\Roar, Justice!\Is this the Hero Association? response:	Yes. Who are you?
context: We need to assemble a subjugation squad.\A Class S hero was defeated?\Who is this?\Where's Mumen Rider?\Stand-up Peddling Mode!\Roar, Justice!\Is this the Hero Association?\Yes. Who are you? response:	Give me the owner of that cell phone right now!
context: A Class S hero was defeated?\Who is this?\Where's Mumen Rider?\Stand-up Peddling Mode!\Roar, Justice!\Is this the Hero Association?\Yes. Who are you?\Give me the owner of that cell phone right now! response:	This is the hero Saitama.
context: Who is this?\Where's Mumen Rider?\Stand-up Peddling Mode!\Roar, Justice!\Is this the Hero Association?\Yes. Who are you?\Give me the owner of that cell phone right now!\This is the hero Saitama. response:	Saitama?
context: Where's Mumen Rider?\Stand-up Peddling Mode!\Roar, Justice!\Is this the Hero Association?\Yes. Who are you?\Give me the owner of that cell phone right now!\This is the hero Saitama.\Saitama? response:	NEXT EPISODE: UNYIELDING JUSTICE Hey, how'd you like my Gigantic Drill Stinger?
context: Stand-up Peddling Mode!\Roar, Justice!\Is this the Hero Association?\Yes. Who are you?\Give me the owner of that cell phone right now!\This is the hero Saitama.\Saitama?\NEXT EPISODE: UNYIELDING JUSTICE Hey, how'd you like my Gigantic Drill Stinger? response:	NEXT EPISODE: UNYIELDING JUSTICE By the way, I nailed ten of those Seafolk things!
context: Roar, Justice!\Is this the Hero Association?\Yes. Who are you?\Give me the owner of that cell phone right now!\This is the hero Saitama.\Saitama?\NEXT EPISODE: UNYIELDING JUSTICE Hey, how'd you like my Gigantic Drill Stinger?\NEXT EPISODE: UNYIELDING JUSTICE By the way, I nailed ten of those Seafolk things! response:	You're pretty upbeat.
context: Is this the Hero Association?\Yes. Who are you?\Give me the owner of that cell phone right now!\This is the hero Saitama.\Saitama?\NEXT EPISODE: UNYIELDING JUSTICE Hey, how'd you like my Gigantic Drill Stinger?\NEXT EPISODE: UNYIELDING JUSTICE By the way, I nailed ten of those Seafolk things!\You're pretty upbeat. response:	Oh, Lightning Max?
context: Yes. Who are you?\Give me the owner of that cell phone right now!\This is the hero Saitama.\Saitama?\NEXT EPISODE: UNYIELDING JUSTICE Hey, how'd you like my Gigantic Drill Stinger?\NEXT EPISODE: UNYIELDING JUSTICE By the way, I nailed ten of those Seafolk things!\You're pretty upbeat.\Oh, Lightning Max? response:	I won't ask how many Seafolk you defeated,
context: Give me the owner of that cell phone right now!\This is the hero Saitama.\Saitama?\NEXT EPISODE: UNYIELDING JUSTICE Hey, how'd you like my Gigantic Drill Stinger?\NEXT EPISODE: UNYIELDING JUSTICE By the way, I nailed ten of those Seafolk things!\You're pretty upbeat.\Oh, Lightning Max?\I won't ask how many Seafolk you defeated, response:	but I'm sure you did great.
context: This is the hero Saitama.\Saitama?\NEXT EPISODE: UNYIELDING JUSTICE Hey, how'd you like my Gigantic Drill Stinger?\NEXT EPISODE: UNYIELDING JUSTICE By the way, I nailed ten of those Seafolk things!\You're pretty upbeat.\Oh, Lightning Max?\I won't ask how many Seafolk you defeated,\but I'm sure you did great. response:	Next time on One-Punch Man: Episode 9,
context: Saitama?\NEXT EPISODE: UNYIELDING JUSTICE Hey, how'd you like my Gigantic Drill Stinger?\NEXT EPISODE: UNYIELDING JUSTICE By the way, I nailed ten of those Seafolk things!\You're pretty upbeat.\Oh, Lightning Max?\I won't ask how many Seafolk you defeated,\but I'm sure you did great.\Next time on One-Punch Man: Episode 9, response:	Unyielding Justice.
context: NEXT EPISODE: UNYIELDING JUSTICE Hey, how'd you like my Gigantic Drill Stinger?\NEXT EPISODE: UNYIELDING JUSTICE By the way, I nailed ten of those Seafolk things!\You're pretty upbeat.\Oh, Lightning Max?\I won't ask how many Seafolk you defeated,\but I'm sure you did great.\Next time on One-Punch Man: Episode 9,\Unyielding Justice. response:	I'm not sure who'll mete it out,
context: NEXT EPISODE: UNYIELDING JUSTICE By the way, I nailed ten of those Seafolk things!\You're pretty upbeat.\Oh, Lightning Max?\I won't ask how many Seafolk you defeated,\but I'm sure you did great.\Next time on One-Punch Man: Episode 9,\Unyielding Justice.\I'm not sure who'll mete it out, response:	but make sure our sacrifices weren't in vain!
